sl_100_5400_20251127 Coordinates.csv
2025/11/27 07:47:00.0000 UTC

Generated: Tue Oct  8 15:34:47 2024,
Start: 2025/11/27 07:47:00.00, Stop: 2025/11/27 09:17:00.00,
TIME_UNITS,STARLINK-4347 - X-Coordinate,STARLINK-1572 - X-Coordinate,STARLINK-3834 - X-Coordinate,STARLINK-31605 - X-Coordinate,STARLINK-4014 - X-Coordinate,STARLINK-1720 - X-Coordinate,STARLINK-30232 - X-Coordinate,STARLINK-30773 - X-Coordinate,STARLINK-4049 - X-Coordinate,STARLINK-3994 - X-Coordinate,STARLINK-3258 - X-Coordinate,STARLINK-1924 - X-Coordinate,STARLINK-1107 - X-Coordinate,STARLINK-1993 - X-Coordinate,STARLINK-31786 - X-Coordinate,STARLINK-1600 - X-Coordinate,STARLINK-31804 - X-Coordinate,STARLINK-3389 - X-Coordinate,STARLINK-30956 - X-Coordinate,STARLINK-5195 - X-Coordinate,STARLINK-3242 - X-Coordinate,STARLINK-5532 - X-Coordinate,STARLINK-30213 - X-Coordinate,STARLINK-5112 - X-Coordinate,STARLINK-3506 - X-Coordinate,STARLINK-30079 - X-Coordinate,STARLINK-31709 - X-Coordinate,STARLINK-31387 - X-Coordinate,STARLINK-5463 - X-Coordinate,STARLINK-5895 - X-Coordinate,STARLINK-2627 - X-Coordinate,STARLINK-1771 - X-Coordinate,STARLINK-4642 - X-Coordinate,STARLINK-5007 - X-Coordinate,STARLINK-5487 - X-Coordinate,STARLINK-3694 - X-Coordinate,STARLINK-31846 - X-Coordinate,STARLINK-5168 - X-Coordinate,STARLINK-2214 - X-Coordinate,STARLINK-30392 - X-Coordinate,STARLINK-5923 - X-Coordinate,STARLINK-31590 - X-Coordinate,STARLINK-4692 - X-Coordinate,STARLINK-31934 - X-Coordinate,STARLINK-5750 - X-Coordinate,STARLINK-1742 - X-Coordinate,STARLINK-4717 - X-Coordinate,STARLINK-32263 - X-Coordinate,STARLINK-5494 - X-Coordinate,STARLINK-3725 - X-Coordinate,STARLINK-4359 - X-Coordinate,STARLINK-3199 - X-Coordinate,STARLINK-2234 - X-Coordinate,STARLINK-3301 - X-Coordinate,STARLINK-5305 - X-Coordinate,STARLINK-6317 - X-Coordinate,STARLINK-4304 - X-Coordinate,STARLINK-2412 - X-Coordinate,STARLINK-4645 - X-Coordinate,STARLINK-1278 - X-Coordinate,STARLINK-30363 - X-Coordinate,STARLINK-3561 - X-Coordinate,STARLINK-31824 - X-Coordinate,STARLINK-11163 [DTC] - X-Coordinate,STARLINK-5666 - X-Coordinate,STARLINK-5013 - X-Coordinate,STARLINK-1374 - X-Coordinate,STARLINK-6273 - X-Coordinate,STARLINK-32017 - X-Coordinate,STARLINK-31713 - X-Coordinate,STARLINK-4102 - X-Coordinate,STARLINK-30085 - X-Coordinate,STARLINK-4783 - X-Coordinate,STARLINK-5738 - X-Coordinate,STARLINK-3124 - X-Coordinate,STARLINK-3881 - X-Coordinate,STARLINK-31029 - X-Coordinate,STARLINK-5052 - X-Coordinate,STARLINK-5595 - X-Coordinate,STARLINK-30702 - X-Coordinate,STARLINK-2286 - X-Coordinate,STARLINK-30955 - X-Coordinate,STARLINK-1009 - X-Coordinate,STARLINK-30890 - X-Coordinate,STARLINK-1154 - X-Coordinate,STARLINK-30989 - X-Coordinate,STARLINK-5323 - X-Coordinate,STARLINK-3756 - X-Coordinate,STARLINK-1356 - X-Coordinate,STARLINK-3894 - X-Coordinate,STARLINK-3113 - X-Coordinate,STARLINK-5132 - X-Coordinate,STARLINK-31570 - X-Coordinate,STARLINK-5446 - X-Coordinate,STARLINK-6147 - X-Coordinate,STARLINK-30355 - X-Coordinate,STARLINK-3831 - X-Coordinate,STARLINK-6225 - X-Coordinate,STARLINK-11109 [DTC] - X-Coordinate,STARLINK-1162 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-4347 - Y-Coordinate,STARLINK-1572 - Y-Coordinate,STARLINK-3834 - Y-Coordinate,STARLINK-31605 - Y-Coordinate,STARLINK-4014 - Y-Coordinate,STARLINK-1720 - Y-Coordinate,STARLINK-30232 - Y-Coordinate,STARLINK-30773 - Y-Coordinate,STARLINK-4049 - Y-Coordinate,STARLINK-3994 - Y-Coordinate,STARLINK-3258 - Y-Coordinate,STARLINK-1924 - Y-Coordinate,STARLINK-1107 - Y-Coordinate,STARLINK-1993 - Y-Coordinate,STARLINK-31786 - Y-Coordinate,STARLINK-1600 - Y-Coordinate,STARLINK-31804 - Y-Coordinate,STARLINK-3389 - Y-Coordinate,STARLINK-30956 - Y-Coordinate,STARLINK-5195 - Y-Coordinate,STARLINK-3242 - Y-Coordinate,STARLINK-5532 - Y-Coordinate,STARLINK-30213 - Y-Coordinate,STARLINK-5112 - Y-Coordinate,STARLINK-3506 - Y-Coordinate,STARLINK-30079 - Y-Coordinate,STARLINK-31709 - Y-Coordinate,STARLINK-31387 - Y-Coordinate,STARLINK-5463 - Y-Coordinate,STARLINK-5895 - Y-Coordinate,STARLINK-2627 - Y-Coordinate,STARLINK-1771 - Y-Coordinate,STARLINK-4642 - Y-Coordinate,STARLINK-5007 - Y-Coordinate,STARLINK-5487 - Y-Coordinate,STARLINK-3694 - Y-Coordinate,STARLINK-31846 - Y-Coordinate,STARLINK-5168 - Y-Coordinate,STARLINK-2214 - Y-Coordinate,STARLINK-30392 - Y-Coordinate,STARLINK-5923 - Y-Coordinate,STARLINK-31590 - Y-Coordinate,STARLINK-4692 - Y-Coordinate,STARLINK-31934 - Y-Coordinate,STARLINK-5750 - Y-Coordinate,STARLINK-1742 - Y-Coordinate,STARLINK-4717 - Y-Coordinate,STARLINK-32263 - Y-Coordinate,STARLINK-5494 - Y-Coordinate,STARLINK-3725 - Y-Coordinate,STARLINK-4359 - Y-Coordinate,STARLINK-3199 - Y-Coordinate,STARLINK-2234 - Y-Coordinate,STARLINK-3301 - Y-Coordinate,STARLINK-5305 - Y-Coordinate,STARLINK-6317 - Y-Coordinate,STARLINK-4304 - Y-Coordinate,STARLINK-2412 - Y-Coordinate,STARLINK-4645 - Y-Coordinate,STARLINK-1278 - Y-Coordinate,STARLINK-30363 - Y-Coordinate,STARLINK-3561 - Y-Coordinate,STARLINK-31824 - Y-Coordinate,STARLINK-11163 [DTC] - Y-Coordinate,STARLINK-5666 - Y-Coordinate,STARLINK-5013 - Y-Coordinate,STARLINK-1374 - Y-Coordinate,STARLINK-6273 - Y-Coordinate,STARLINK-32017 - Y-Coordinate,STARLINK-31713 - Y-Coordinate,STARLINK-4102 - Y-Coordinate,STARLINK-30085 - Y-Coordinate,STARLINK-4783 - Y-Coordinate,STARLINK-5738 - Y-Coordinate,STARLINK-3124 - Y-Coordinate,STARLINK-3881 - Y-Coordinate,STARLINK-31029 - Y-Coordinate,STARLINK-5052 - Y-Coordinate,STARLINK-5595 - Y-Coordinate,STARLINK-30702 - Y-Coordinate,STARLINK-2286 - Y-Coordinate,STARLINK-30955 - Y-Coordinate,STARLINK-1009 - Y-Coordinate,STARLINK-30890 - Y-Coordinate,STARLINK-1154 - Y-Coordinate,STARLINK-30989 - Y-Coordinate,STARLINK-5323 - Y-Coordinate,STARLINK-3756 - Y-Coordinate,STARLINK-1356 - Y-Coordinate,STARLINK-3894 - Y-Coordinate,STARLINK-3113 - Y-Coordinate,STARLINK-5132 - Y-Coordinate,STARLINK-31570 - Y-Coordinate,STARLINK-5446 - Y-Coordinate,STARLINK-6147 - Y-Coordinate,STARLINK-30355 - Y-Coordinate,STARLINK-3831 - Y-Coordinate,STARLINK-6225 - Y-Coordinate,STARLINK-11109 [DTC] - Y-Coordinate,STARLINK-1162 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-4347 - Z-Coordinate,STARLINK-1572 - Z-Coordinate,STARLINK-3834 - Z-Coordinate,STARLINK-31605 - Z-Coordinate,STARLINK-4014 - Z-Coordinate,STARLINK-1720 - Z-Coordinate,STARLINK-30232 - Z-Coordinate,STARLINK-30773 - Z-Coordinate,STARLINK-4049 - Z-Coordinate,STARLINK-3994 - Z-Coordinate,STARLINK-3258 - Z-Coordinate,STARLINK-1924 - Z-Coordinate,STARLINK-1107 - Z-Coordinate,STARLINK-1993 - Z-Coordinate,STARLINK-31786 - Z-Coordinate,STARLINK-1600 - Z-Coordinate,STARLINK-31804 - Z-Coordinate,STARLINK-3389 - Z-Coordinate,STARLINK-30956 - Z-Coordinate,STARLINK-5195 - Z-Coordinate,STARLINK-3242 - Z-Coordinate,STARLINK-5532 - Z-Coordinate,STARLINK-30213 - Z-Coordinate,STARLINK-5112 - Z-Coordinate,STARLINK-3506 - Z-Coordinate,STARLINK-30079 - Z-Coordinate,STARLINK-31709 - Z-Coordinate,STARLINK-31387 - Z-Coordinate,STARLINK-5463 - Z-Coordinate,STARLINK-5895 - Z-Coordinate,STARLINK-2627 - Z-Coordinate,STARLINK-1771 - Z-Coordinate,STARLINK-4642 - Z-Coordinate,STARLINK-5007 - Z-Coordinate,STARLINK-5487 - Z-Coordinate,STARLINK-3694 - Z-Coordinate,STARLINK-31846 - Z-Coordinate,STARLINK-5168 - Z-Coordinate,STARLINK-2214 - Z-Coordinate,STARLINK-30392 - Z-Coordinate,STARLINK-5923 - Z-Coordinate,STARLINK-31590 - Z-Coordinate,STARLINK-4692 - Z-Coordinate,STARLINK-31934 - Z-Coordinate,STARLINK-5750 - Z-Coordinate,STARLINK-1742 - Z-Coordinate,STARLINK-4717 - Z-Coordinate,STARLINK-32263 - Z-Coordinate,STARLINK-5494 - Z-Coordinate,STARLINK-3725 - Z-Coordinate,STARLINK-4359 - Z-Coordinate,STARLINK-3199 - Z-Coordinate,STARLINK-2234 - Z-Coordinate,STARLINK-3301 - Z-Coordinate,STARLINK-5305 - Z-Coordinate,STARLINK-6317 - Z-Coordinate,STARLINK-4304 - Z-Coordinate,STARLINK-2412 - Z-Coordinate,STARLINK-4645 - Z-Coordinate,STARLINK-1278 - Z-Coordinate,STARLINK-30363 - Z-Coordinate,STARLINK-3561 - Z-Coordinate,STARLINK-31824 - Z-Coordinate,STARLINK-11163 [DTC] - Z-Coordinate,STARLINK-5666 - Z-Coordinate,STARLINK-5013 - Z-Coordinate,STARLINK-1374 - Z-Coordinate,STARLINK-6273 - Z-Coordinate,STARLINK-32017 - Z-Coordinate,STARLINK-31713 - Z-Coordinate,STARLINK-4102 - Z-Coordinate,STARLINK-30085 - Z-Coordinate,STARLINK-4783 - Z-Coordinate,STARLINK-5738 - Z-Coordinate,STARLINK-3124 - Z-Coordinate,STARLINK-3881 - Z-Coordinate,STARLINK-31029 - Z-Coordinate,STARLINK-5052 - Z-Coordinate,STARLINK-5595 - Z-Coordinate,STARLINK-30702 - Z-Coordinate,STARLINK-2286 - Z-Coordinate,STARLINK-30955 - Z-Coordinate,STARLINK-1009 - Z-Coordinate,STARLINK-30890 - Z-Coordinate,STARLINK-1154 - Z-Coordinate,STARLINK-30989 - Z-Coordinate,STARLINK-5323 - Z-Coordinate,STARLINK-3756 - Z-Coordinate,STARLINK-1356 - Z-Coordinate,STARLINK-3894 - Z-Coordinate,STARLINK-3113 - Z-Coordinate,STARLINK-5132 - Z-Coordinate,STARLINK-31570 - Z-Coordinate,STARLINK-5446 - Z-Coordinate,STARLINK-6147 - Z-Coordinate,STARLINK-30355 - Z-Coordinate,STARLINK-3831 - Z-Coordinate,STARLINK-6225 - Z-Coordinate,STARLINK-11109 [DTC] - Z-Coordinate,STARLINK-1162 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,2160.3689,6446.7778,811.5833,-5123.0014,4557.3126,-2576.9732,-2508.6004,5691.5605,5114.8321,-6316.8635,-6234.8735,5511.9682,1496.9723,-4642.7467,-556.3983,3759.7212,-5712.7089,4567.9675,-1119.8868,3249.7647,-4000.2385,-920.1519,-3813.9240,-4330.2560,4730.1361,986.9216,6282.6217,-657.8193,-1355.4504,5318.7605,5551.3417,4404.8426,-5438.3571,4678.1008,1640.2395,-4119.2428,3958.6748,3711.8773,-3301.9265,-59.2229,5109.6588,2069.9741,-4165.8285,1941.8181,-2468.4832,1577.7719,-4943.2602,-4106.2005,-241.0657,6268.8982,-5318.5443,-4146.6114,4484.2057,-1075.7083,-2614.5842,-4995.8725,-4915.0705,-2748.9426,-1517.6248,-3705.8347,-3041.5553,-6774.1518,1429.1338,-5741.3878,-5684.8427,2083.8867,-6554.2164,-6611.4566,4664.4253,4529.8246,1947.6551,5046.6743,-5960.9257,-5249.5832,3609.2271,5039.3686,-6371.1414,-4493.6763,1884.6366,4316.4588,5577.1580,5203.1588,-3088.5929,-2192.7568,-3817.3751,4621.1068,3757.5304,-5044.5904,6312.4604,-1395.5076,2688.4986,-5384.1185,5598.5211,2109.5864,62.8991,-6341.8653,-4286.3013,1843.6697,3650.2826,-1069.6065,297994.4880,283509.1453,306064.0851,306466.2086,302975.2447,304217.6325,296736.7706,300570.8391,-102158307.8040,-102171001.8300,-102138495.6147,-102150028.8992,300987.6035,-102143821.5544,320.3494,-2406.8673,-6167.4941,2155.7922,15.8855,3356.5276,6310.4838,3770.4849,3979.8728,-1620.8335,-830.7285,-1929.3234,4744.1836,-2058.5403,-4933.2324,2461.6754,-3671.8394,-4211.2781,-5784.1116,3261.5517,4617.7499,2306.7034,-3571.6876,939.1739,-4926.8337,-6501.5702,13.9899,-5726.5435,-2287.3543,69.2383,3606.3321,660.9439,-3188.6173,-4609.7490,3192.2140,-5551.2166,-1115.4877,-4734.1353,-2533.5019,-4284.6468,-1458.6306,-6151.5079,2228.4721,6518.3990,-5838.3464,4586.3760,-3403.3226,5064.0904,6469.8496,-128.7951,3281.5256,-1177.7861,-3220.4284,4004.9389,1437.3206,-1928.7262,4334.3258,-4597.5370,4018.0998,-2260.1096,-4981.5182,635.2229,4893.4612,2804.0879,-2943.8157,5066.6099,2139.8274,-495.4750,3433.7269,4150.5794,-6155.1918,2880.0860,2699.8604,-2663.2921,-2164.2583,-895.0632,-791.4132,-200.5720,-1492.8278,-879.4378,-1970.2888,-3240.9875,-5396.8239,-4785.8265,-5756.4897,-2109.0346,3193.4028,-3108.5230,-1825.7535,-5141.7850,-6248.7061,-2152.7497,1931.5222,6540.1916,-6760.1890,-306.0993,754.2968,-5885.7848,2763.2219,4015.0640,219773.9782,229634.2290,226253.0259,221776.4505,229516.4046,226511.7942,222471.0046,223494.9433,316735883.8694,316750360.4805,316722418.4770,316733078.8160,223018.7429,316721478.1143,6577.2724,-401.7176,3015.4052,3905.3092,5192.4174,-5481.9742,-1427.6802,-580.4837,-2404.3100,2278.9917,-2875.3717,-3663.3057,-4416.2967,4684.1300,-4739.5764,-5264.2688,-638.5546,2966.2601,-3682.4064,-5162.1899,-3241.5652,6487.2140,-4558.6083,-5313.1980,1026.3602,-2191.7218,2656.4920,-3643.9461,6412.6284,-4487.3142,2015.7032,-5296.2423,2841.8374,-2228.9549,-5960.7839,-308.1310,-5450.2729,-3411.0004,-5514.5287,5316.6013,4462.6210,2082.4116,-5058.4410,-418.7583,-2995.3271,-4923.5896,3477.2542,-2021.3523,-2543.5536,-2910.5783,3002.3203,-5412.7173,-4099.8705,-5541.9705,-6278.9527,4395.5200,2190.8327,-4380.9719,-5424.0303,-5393.6870,3716.7793,-1239.4112,-4543.5925,2093.6479,2633.8612,4238.6414,-656.7133,2019.3977,3614.4725,-2962.9204,2477.2969,-3794.3859,2236.9142,-3670.5148,5480.4441,-4635.5996,2601.8203,5243.7901,-6526.1959,-5261.2994,-3502.6375,3232.3102,-3036.1216,-4517.9214,449.7950,4716.0620,4884.2013,-3532.6749,-2190.9637,-4413.4071,1258.1785,-3777.7779,-3380.9071,-688.6782,-1537.4308,2765.2646,-5375.8086,3164.0938,4908.4007,-5447.9150,-101266.3995,-101212.5651,-103483.9150,-96866.3582,-97754.9695,-108425.7629,-109195.2263,-100611.8917,-143936033.2791,-143959680.9581,-143919610.3852,-143934549.7718,-102260.0584,-143935975.2855,
300.000,3773.6190,5604.0338,-464.9170,-4676.7420,5067.6899,-597.9198,-849.7315,6191.7702,5193.8529,-6875.5954,-5416.7253,5556.3076,3314.0107,-4336.5698,-2354.1031,5206.2124,-6122.0871,2877.8528,-2736.8094,3960.8795,-3272.9089,810.7973,-5303.9267,-3122.4761,3429.8636,-551.0763,5296.9500,-2385.6952,-2519.6886,3786.3062,6389.0423,3907.9777,-6441.4493,3670.2781,2191.9717,-4924.6850,3042.3765,2926.2438,-4552.1929,-2122.0010,3369.7677,603.7324,-2403.0826,3264.0438,-3684.1170,2972.3057,-6170.0110,-2568.7096,500.4047,5228.0131,-6096.6871,-4990.5477,2625.7570,1042.9646,-2760.9777,-5917.6805,-3405.4999,-3574.5100,652.7714,-4200.8949,-4753.2844,-6639.8874,3298.8907,-5362.1770,-5706.4091,3984.0788,-6015.5581,-6831.4257,5971.8451,5751.2629,810.7050,5212.0708,-5656.4572,-6349.5351,2091.3583,3633.9993,-6857.5738,-5048.4083,719.8099,3120.2461,5598.1488,4554.6374,-3776.0973,-4105.5798,-4567.7572,3453.4258,3174.6248,-6243.2107,5119.7648,-3116.8888,1568.6916,-4890.3703,6464.7791,3099.5733,-1465.0608,-6658.6398,-3223.1532,312.2244,3997.0151,1108.1484,293349.0028,278574.4389,301372.7592,301653.5482,298194.0202,299452.7061,292040.8292,295329.0905,-109046638.3757,-109059751.3953,-109026899.6120,-109038825.4450,296217.7591,-109032083.4773,1603.3662,-3381.5949,-6765.9494,4016.4662,-1904.0280,4255.2795,6291.4653,2654.3748,2385.2432,-451.1463,647.3727,-3480.4290,4837.6442,-14.9834,-5366.8995,1063.6277,-2133.0941,-4522.6195,-4585.6984,1238.7465,5873.7966,3556.3145,-2156.8354,2735.3826,-5333.1022,-6870.2720,-1338.0778,-4638.5378,-408.1513,-865.7439,2652.3414,-1444.2194,-2242.6367,-5833.0722,1126.1622,-4622.7177,-3097.6885,-5996.0737,-791.5997,-3549.2624,-1914.0939,-6765.4185,3417.5657,5664.6645,-4403.9604,3005.5668,-2543.4963,5213.3840,5413.7003,-1469.4040,3197.2256,711.9849,-3834.6719,4396.9908,3444.9431,-146.6735,4721.5473,-2774.9024,4150.5809,-145.4436,-4320.6089,1840.8641,3790.5420,4049.3067,-1100.1454,4579.9936,3229.0967,1054.3011,2593.7319,3432.5158,-6829.1285,853.0899,3953.3775,-1215.1620,-3726.6045,-2393.0197,457.0507,1727.3174,-3312.1676,-2694.6072,-3489.7093,-4849.3272,-3815.8935,-4077.1569,-4706.1277,-3914.8672,1381.5192,-2179.6895,-2824.9504,-5345.1634,-6716.6487,-344.2024,369.4890,5674.4785,-6774.8103,1320.5401,2647.6377,-6671.9315,622.3992,4169.8302,225665.0622,235654.5197,232480.8186,228073.9717,235872.2112,232901.2535,228780.1524,229688.4263,314430316.3194,314444172.9139,314417515.7522,314427391.9845,229340.7483,314415983.3714,5590.2136,-2166.2140,1350.2241,2856.9559,4294.6812,-5430.6200,-2804.7548,1240.1438,-3889.1853,522.5570,-4251.9312,-2126.9366,-3139.1345,5377.2209,-3571.2500,-4434.6923,-2124.2574,4317.1012,-4444.9572,-5533.8012,-1614.0368,5913.3930,-3910.6718,-5534.4776,2732.7622,-723.0833,4080.7371,-4393.3661,6456.2459,-5774.2744,242.7040,-5525.3639,1151.2010,-765.0763,-6506.2992,1493.9126,-5269.2255,-1815.5431,-5136.1034,5434.0569,5754.1834,592.0564,-5518.4276,-1925.7982,-4022.3392,-5467.6543,1896.9649,-3581.4350,-4339.9660,-4278.2144,851.0503,-4739.5949,-5068.8038,-5242.8077,-5369.0542,3602.7294,3718.4473,-5236.4109,-5496.6942,-5501.1461,2577.9016,574.4684,-4624.2378,301.1622,3758.0141,3339.5146,1153.4602,532.8959,2062.8123,-1283.3423,741.4351,-4502.5871,477.3493,-2512.9804,5430.1594,-5362.3093,882.8527,4390.8553,-6072.4427,-5485.1100,-1929.5348,1947.5661,-4367.0865,-3825.8493,2207.5287,4560.4413,6013.9466,-1961.7818,-3714.6291,-3093.4050,-554.5283,-4885.0970,-2136.7137,-2430.8960,-12.9638,1380.9337,-5517.3471,1862.8597,5355.1873,-5322.4224,-101039.5918,-101101.4607,-103274.1209,-96871.6086,-97495.1885,-108113.2331,-109231.4156,-100643.1234,-143937982.1244,-143961512.5280,-143921170.2823,-143936595.9080,-102136.1357,-143937662.5810,
600.000,4933.3678,4191.2513,-1680.0778,-3774.9147,5114.3626,1413.3286,912.9594,6064.4059,4792.3157,-6747.7700,-4083.9037,5059.4764,4740.4122,-3655.9181,-3886.3603,6160.0552,-5921.0058,880.3718,-4126.8666,4340.4479,-2236.9127,2408.3548,-6296.7955,-1655.3583,1767.2717,-2028.7869,3777.7889,-3905.1384,-3500.6771,1897.9037,6591.3374,3084.2463,-6800.7667,2313.3545,2606.8259,-5253.8697,1868.9116,1869.0679,-5391.9586,-3988.5120,1291.0645,-918.2873,-430.3830,4271.2054,-4592.8757,4123.9885,-6784.8324,-741.0055,1247.2944,3684.1211,-6215.8377,-5382.5558,501.8220,3041.6515,-2696.9905,-6287.9285,-1537.8734,-4104.8783,2755.4102,-4341.6546,-5994.9467,-5842.4986,4858.4615,-4403.3622,-5202.4188,5490.5900,-4875.6184,-6390.1395,6657.4250,6369.0617,-398.4744,4917.0234,-4792.4294,-6840.9177,410.9153,1900.4551,-6666.8684,-5142.2600,-447.3386,1657.4564,5066.7689,3481.5969,-4138.3973,-5622.0012,-4886.2969,1990.4528,2339.7755,-6812.7790,3420.7014,-4507.0308,286.9423,-3956.0260,6677.5495,3806.9392,-2850.7909,-6333.6750,-1894.0011,-1232.0462,3972.4600,3165.4783,288599.3354,273512.9545,296545.4189,296706.4645,293277.9550,294550.4382,287213.8444,290030.6524,-115882991.0904,-115896507.6145,-115863355.7008,-115875629.9671,291315.1028,-115868370.4013,2777.2012,-4040.1781,-6693.7786,5453.4100,-3607.7220,4788.9815,5680.9287,1253.7848,528.1277,757.5874,2103.4014,-4664.9111,4421.5829,2051.7847,-5285.9873,-395.2689,-360.9192,-4424.3218,-2969.7150,-892.3110,6538.9607,4504.6719,-567.4670,4298.5310,-5230.5131,-6573.2906,-2595.7818,-3104.7209,1467.1036,-1784.9456,1437.6090,-3424.4393,-1086.3104,-6487.9503,-1036.6071,-3224.1994,-4782.0350,-6655.6954,989.3204,-2506.5006,-2250.8395,-6688.2200,4324.5935,4228.0633,-2563.5512,1159.0559,-1454.1258,4856.6289,3821.4707,-2709.3700,2753.7551,2498.7158,-4119.6643,4410.8828,5088.5146,1622.6982,4675.9047,-686.2855,3934.1549,1970.7671,-3262.8636,2869.4787,2342.1147,4852.2889,871.5084,3680.4973,4010.3566,2496.7812,1508.9707,2371.2315,-6822.9617,-1266.9848,4809.1363,327.0907,-4960.2103,-3703.1222,1650.3606,3455.9310,-4835.1379,-4273.5948,-4639.5162,-5979.5583,-1850.8296,-3011.3694,-3176.0523,-5362.7986,-607.2414,-1054.2699,-3586.8098,-5045.0376,-6518.5656,1532.3192,-1210.1718,4236.1255,-6132.0271,2806.5913,4310.8765,-6816.3402,-1584.0072,3959.6529,231473.2252,241568.3321,238605.5037,234268.2201,242123.4753,239187.0564,234990.7487,235733.6883,311974956.1478,311988186.7385,311962815.7638,311971878.8298,235560.7570,311960698.5703,4006.8681,-3694.9791,-460.6822,1484.0237,2933.5844,-4797.9289,-3882.7055,2923.0954,-4954.7943,-1290.4196,-5170.9753,-358.9429,-1482.8719,5490.4453,-2009.3717,-3128.9775,-3371.4098,5196.6614,-4735.7105,-5311.0902,187.6167,4713.2061,-2844.8545,-5161.6684,4143.1609,823.0713,5046.8930,-4649.8952,5815.0526,-6452.3545,-1556.4376,-5161.8285,-663.5784,780.6837,-6366.0762,3134.9187,-4499.7754,-24.1959,-4203.7472,4945.1264,6433.4089,-964.9689,-5386.8572,-3215.9185,-4633.1607,-5422.9392,114.0202,-4740.5979,-5677.3999,-5184.8836,-1391.2642,-3557.3711,-5483.5239,-4381.4249,-3890.7626,2424.1615,4844.1960,-5530.1184,-4979.3738,-5019.3191,1161.7728,2326.3014,-4188.2982,-1526.6572,4478.2835,2082.5007,2839.6253,-1010.7089,280.2281,540.5516,-1074.4058,-4731.2957,-1333.7046,-1086.8702,4794.8394,-5510.1217,-930.8371,3064.2176,-4977.4066,-5105.5807,-144.5024,454.2236,-5228.9712,-2725.4187,3727.6299,3917.4649,6504.4614,-177.6807,-4840.2458,-1440.3424,-2307.5257,-5468.1402,-652.2097,-3910.1301,1512.8706,-151.6486,-5066.2029,362.2666,5172.8537,-4608.8083,-100817.1257,-100990.3620,-103062.0968,-96881.9390,-97238.9878,-107794.8005,-109261.9705,-100791.8707,-143939930.5243,-143963342.8611,-143922742.0361,-143938643.4919,-102012.1496,-143939349.5755,
