sl_100_5400_20250829 Coordinates.csv
2025/08/29 07:47:00.0000 UTC

Generated: Tue Oct  8 15:35:09 2024,
Start: 2025/08/29 07:47:00.00, Stop: 2025/08/29 09:17:00.00,
TIME_UNITS,STARLINK-31222 - X-Coordinate,STARLINK-1806 - X-Coordinate,STARLINK-4444 - X-Coordinate,STARLINK-4531 - X-Coordinate,STARLINK-3119 - X-Coordinate,STARLINK-30948 - X-Coordinate,STARLINK-5648 - X-Coordinate,STARLINK-4495 - X-Coordinate,STARLINK-2025 - X-Coordinate,STARLINK-4190 - X-Coordinate,STARLINK-2709 - X-Coordinate,STARLINK-1679 - X-Coordinate,STARLINK-2081 - X-Coordinate,STARLINK-1665 - X-Coordinate,STARLINK-5795 - X-Coordinate,STARLINK-1337 - X-Coordinate,STARLINK-31158 - X-Coordinate,STARLINK-1230 - X-Coordinate,STARLINK-3623 - X-Coordinate,STARLINK-31712 - X-Coordinate,STARLINK-2511 - X-Coordinate,STARLINK-30203 - X-Coordinate,STARLINK-6232 - X-Coordinate,STARLINK-5491 - X-Coordinate,STARLINK-4681 - X-Coordinate,STARLINK-2561 - X-Coordinate,STARLINK-3194 - X-Coordinate,STARLINK-31585 - X-Coordinate,STARLINK-5411 - X-Coordinate,STARLINK-1279 - X-Coordinate,STARLINK-31774 - X-Coordinate,STARLINK-5466 - X-Coordinate,STARLINK-32278 - X-Coordinate,STARLINK-30326 - X-Coordinate,STARLINK-31272 - X-Coordinate,STARLINK-2534 - X-Coordinate,STARLINK-5655 - X-Coordinate,STARLINK-2322 - X-Coordinate,STARLINK-30267 - X-Coordinate,STARLINK-5512 - X-Coordinate,STARLINK-5314 - X-Coordinate,STARLINK-2663 - X-Coordinate,STARLINK-5369 - X-Coordinate,STARLINK-1724 - X-Coordinate,STARLINK-5264 - X-Coordinate,STARLINK-4253 - X-Coordinate,STARLINK-32126 - X-Coordinate,STARLINK-6130 - X-Coordinate,STARLINK-31070 - X-Coordinate,STARLINK-5126 - X-Coordinate,STARLINK-30779 - X-Coordinate,STARLINK-3926 - X-Coordinate,STARLINK-31593 - X-Coordinate,STARLINK-31791 - X-Coordinate,STARLINK-2020 - X-Coordinate,STARLINK-11158 [DTC] - X-Coordinate,STARLINK-31459 - X-Coordinate,STARLINK-31453 - X-Coordinate,STARLINK-5267 - X-Coordinate,STARLINK-3564 - X-Coordinate,STARLINK-31706 - X-Coordinate,STARLINK-30433 - X-Coordinate,STARLINK-2133 - X-Coordinate,STARLINK-3824 - X-Coordinate,STARLINK-30557 - X-Coordinate,STARLINK-1067 - X-Coordinate,STARLINK-1930 - X-Coordinate,STARLINK-5078 - X-Coordinate,STARLINK-31285 - X-Coordinate,STARLINK-30789 - X-Coordinate,STARLINK-31360 - X-Coordinate,STARLINK-3238 - X-Coordinate,STARLINK-11229 [DTC] - X-Coordinate,STARLINK-31757 - X-Coordinate,STARLINK-5948 - X-Coordinate,STARLINK-2651 - X-Coordinate,STARLINK-6116 - X-Coordinate,STARLINK-1017 - X-Coordinate,STARLINK-6337 - X-Coordinate,STARLINK-1133 - X-Coordinate,STARLINK-31305 - X-Coordinate,STARLINK-31344 - X-Coordinate,STARLINK-1464 - X-Coordinate,STARLINK-6310 - X-Coordinate,STARLINK-3053 - X-Coordinate,STARLINK-30496 - X-Coordinate,STARLINK-2361 - X-Coordinate,STARLINK-4429 - X-Coordinate,STARLINK-31640 - X-Coordinate,STARLINK-30145 - X-Coordinate,STARLINK-3289 - X-Coordinate,STARLINK-2310 - X-Coordinate,STARLINK-4539 - X-Coordinate,STARLINK-6123 - X-Coordinate,STARLINK-30945 - X-Coordinate,STARLINK-4180 - X-Coordinate,STARLINK-5328 - X-Coordinate,STARLINK-1199 - X-Coordinate,STARLINK-31907 - X-Coordinate,STARLINK-30311 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31222 - Y-Coordinate,STARLINK-1806 - Y-Coordinate,STARLINK-4444 - Y-Coordinate,STARLINK-4531 - Y-Coordinate,STARLINK-3119 - Y-Coordinate,STARLINK-30948 - Y-Coordinate,STARLINK-5648 - Y-Coordinate,STARLINK-4495 - Y-Coordinate,STARLINK-2025 - Y-Coordinate,STARLINK-4190 - Y-Coordinate,STARLINK-2709 - Y-Coordinate,STARLINK-1679 - Y-Coordinate,STARLINK-2081 - Y-Coordinate,STARLINK-1665 - Y-Coordinate,STARLINK-5795 - Y-Coordinate,STARLINK-1337 - Y-Coordinate,STARLINK-31158 - Y-Coordinate,STARLINK-1230 - Y-Coordinate,STARLINK-3623 - Y-Coordinate,STARLINK-31712 - Y-Coordinate,STARLINK-2511 - Y-Coordinate,STARLINK-30203 - Y-Coordinate,STARLINK-6232 - Y-Coordinate,STARLINK-5491 - Y-Coordinate,STARLINK-4681 - Y-Coordinate,STARLINK-2561 - Y-Coordinate,STARLINK-3194 - Y-Coordinate,STARLINK-31585 - Y-Coordinate,STARLINK-5411 - Y-Coordinate,STARLINK-1279 - Y-Coordinate,STARLINK-31774 - Y-Coordinate,STARLINK-5466 - Y-Coordinate,STARLINK-32278 - Y-Coordinate,STARLINK-30326 - Y-Coordinate,STARLINK-31272 - Y-Coordinate,STARLINK-2534 - Y-Coordinate,STARLINK-5655 - Y-Coordinate,STARLINK-2322 - Y-Coordinate,STARLINK-30267 - Y-Coordinate,STARLINK-5512 - Y-Coordinate,STARLINK-5314 - Y-Coordinate,STARLINK-2663 - Y-Coordinate,STARLINK-5369 - Y-Coordinate,STARLINK-1724 - Y-Coordinate,STARLINK-5264 - Y-Coordinate,STARLINK-4253 - Y-Coordinate,STARLINK-32126 - Y-Coordinate,STARLINK-6130 - Y-Coordinate,STARLINK-31070 - Y-Coordinate,STARLINK-5126 - Y-Coordinate,STARLINK-30779 - Y-Coordinate,STARLINK-3926 - Y-Coordinate,STARLINK-31593 - Y-Coordinate,STARLINK-31791 - Y-Coordinate,STARLINK-2020 - Y-Coordinate,STARLINK-11158 [DTC] - Y-Coordinate,STARLINK-31459 - Y-Coordinate,STARLINK-31453 - Y-Coordinate,STARLINK-5267 - Y-Coordinate,STARLINK-3564 - Y-Coordinate,STARLINK-31706 - Y-Coordinate,STARLINK-30433 - Y-Coordinate,STARLINK-2133 - Y-Coordinate,STARLINK-3824 - Y-Coordinate,STARLINK-30557 - Y-Coordinate,STARLINK-1067 - Y-Coordinate,STARLINK-1930 - Y-Coordinate,STARLINK-5078 - Y-Coordinate,STARLINK-31285 - Y-Coordinate,STARLINK-30789 - Y-Coordinate,STARLINK-31360 - Y-Coordinate,STARLINK-3238 - Y-Coordinate,STARLINK-11229 [DTC] - Y-Coordinate,STARLINK-31757 - Y-Coordinate,STARLINK-5948 - Y-Coordinate,STARLINK-2651 - Y-Coordinate,STARLINK-6116 - Y-Coordinate,STARLINK-1017 - Y-Coordinate,STARLINK-6337 - Y-Coordinate,STARLINK-1133 - Y-Coordinate,STARLINK-31305 - Y-Coordinate,STARLINK-31344 - Y-Coordinate,STARLINK-1464 - Y-Coordinate,STARLINK-6310 - Y-Coordinate,STARLINK-3053 - Y-Coordinate,STARLINK-30496 - Y-Coordinate,STARLINK-2361 - Y-Coordinate,STARLINK-4429 - Y-Coordinate,STARLINK-31640 - Y-Coordinate,STARLINK-30145 - Y-Coordinate,STARLINK-3289 - Y-Coordinate,STARLINK-2310 - Y-Coordinate,STARLINK-4539 - Y-Coordinate,STARLINK-6123 - Y-Coordinate,STARLINK-30945 - Y-Coordinate,STARLINK-4180 - Y-Coordinate,STARLINK-5328 - Y-Coordinate,STARLINK-1199 - Y-Coordinate,STARLINK-31907 - Y-Coordinate,STARLINK-30311 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31222 - Z-Coordinate,STARLINK-1806 - Z-Coordinate,STARLINK-4444 - Z-Coordinate,STARLINK-4531 - Z-Coordinate,STARLINK-3119 - Z-Coordinate,STARLINK-30948 - Z-Coordinate,STARLINK-5648 - Z-Coordinate,STARLINK-4495 - Z-Coordinate,STARLINK-2025 - Z-Coordinate,STARLINK-4190 - Z-Coordinate,STARLINK-2709 - Z-Coordinate,STARLINK-1679 - Z-Coordinate,STARLINK-2081 - Z-Coordinate,STARLINK-1665 - Z-Coordinate,STARLINK-5795 - Z-Coordinate,STARLINK-1337 - Z-Coordinate,STARLINK-31158 - Z-Coordinate,STARLINK-1230 - Z-Coordinate,STARLINK-3623 - Z-Coordinate,STARLINK-31712 - Z-Coordinate,STARLINK-2511 - Z-Coordinate,STARLINK-30203 - Z-Coordinate,STARLINK-6232 - Z-Coordinate,STARLINK-5491 - Z-Coordinate,STARLINK-4681 - Z-Coordinate,STARLINK-2561 - Z-Coordinate,STARLINK-3194 - Z-Coordinate,STARLINK-31585 - Z-Coordinate,STARLINK-5411 - Z-Coordinate,STARLINK-1279 - Z-Coordinate,STARLINK-31774 - Z-Coordinate,STARLINK-5466 - Z-Coordinate,STARLINK-32278 - Z-Coordinate,STARLINK-30326 - Z-Coordinate,STARLINK-31272 - Z-Coordinate,STARLINK-2534 - Z-Coordinate,STARLINK-5655 - Z-Coordinate,STARLINK-2322 - Z-Coordinate,STARLINK-30267 - Z-Coordinate,STARLINK-5512 - Z-Coordinate,STARLINK-5314 - Z-Coordinate,STARLINK-2663 - Z-Coordinate,STARLINK-5369 - Z-Coordinate,STARLINK-1724 - Z-Coordinate,STARLINK-5264 - Z-Coordinate,STARLINK-4253 - Z-Coordinate,STARLINK-32126 - Z-Coordinate,STARLINK-6130 - Z-Coordinate,STARLINK-31070 - Z-Coordinate,STARLINK-5126 - Z-Coordinate,STARLINK-30779 - Z-Coordinate,STARLINK-3926 - Z-Coordinate,STARLINK-31593 - Z-Coordinate,STARLINK-31791 - Z-Coordinate,STARLINK-2020 - Z-Coordinate,STARLINK-11158 [DTC] - Z-Coordinate,STARLINK-31459 - Z-Coordinate,STARLINK-31453 - Z-Coordinate,STARLINK-5267 - Z-Coordinate,STARLINK-3564 - Z-Coordinate,STARLINK-31706 - Z-Coordinate,STARLINK-30433 - Z-Coordinate,STARLINK-2133 - Z-Coordinate,STARLINK-3824 - Z-Coordinate,STARLINK-30557 - Z-Coordinate,STARLINK-1067 - Z-Coordinate,STARLINK-1930 - Z-Coordinate,STARLINK-5078 - Z-Coordinate,STARLINK-31285 - Z-Coordinate,STARLINK-30789 - Z-Coordinate,STARLINK-31360 - Z-Coordinate,STARLINK-3238 - Z-Coordinate,STARLINK-11229 [DTC] - Z-Coordinate,STARLINK-31757 - Z-Coordinate,STARLINK-5948 - Z-Coordinate,STARLINK-2651 - Z-Coordinate,STARLINK-6116 - Z-Coordinate,STARLINK-1017 - Z-Coordinate,STARLINK-6337 - Z-Coordinate,STARLINK-1133 - Z-Coordinate,STARLINK-31305 - Z-Coordinate,STARLINK-31344 - Z-Coordinate,STARLINK-1464 - Z-Coordinate,STARLINK-6310 - Z-Coordinate,STARLINK-3053 - Z-Coordinate,STARLINK-30496 - Z-Coordinate,STARLINK-2361 - Z-Coordinate,STARLINK-4429 - Z-Coordinate,STARLINK-31640 - Z-Coordinate,STARLINK-30145 - Z-Coordinate,STARLINK-3289 - Z-Coordinate,STARLINK-2310 - Z-Coordinate,STARLINK-4539 - Z-Coordinate,STARLINK-6123 - Z-Coordinate,STARLINK-30945 - Z-Coordinate,STARLINK-4180 - Z-Coordinate,STARLINK-5328 - Z-Coordinate,STARLINK-1199 - Z-Coordinate,STARLINK-31907 - Z-Coordinate,STARLINK-30311 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-3985.7474,4904.3055,-956.9449,1666.4871,2019.3565,143.6603,3482.2333,4559.7820,-4089.0592,1868.9770,-6308.2786,-6215.4045,-123.3532,4509.9288,2183.5010,-3016.3200,5042.4516,-1219.5824,6426.8711,-4085.4825,5117.8218,-5241.4856,-792.2744,5049.2540,-3616.5070,6369.0128,-1062.4759,-5043.8145,-1111.9273,-1986.7890,3380.9536,4136.7475,2980.4652,-4952.5930,6423.3334,5868.7023,-2645.3328,4703.7428,3784.2519,582.0081,6381.0648,-4596.3303,6502.5516,-4182.3589,-3606.8426,-5603.4833,174.1862,6353.6788,6630.9420,4494.0979,1767.7515,6547.3046,-3691.8528,6403.8753,-4182.5577,1452.3994,1688.3081,5973.9273,4960.6728,-4233.3655,-945.2278,1834.9588,3806.0249,4163.0314,2932.6865,-1616.0268,47.2986,-310.2762,-3240.3938,-3423.8128,-4938.9879,6454.4186,958.9271,1231.4859,2735.5167,-6147.7152,-840.9801,-1836.6678,-677.6400,5584.5457,-5984.1988,-4190.2933,1728.3108,3073.3396,3885.6577,6531.7087,2921.9556,-964.8824,4695.3842,1300.1428,-3080.6711,-2002.2491,-478.8732,3973.2081,264.6664,-1153.4461,-4895.2114,-4399.7614,-834.6489,1461.1367,211355.2653,238189.4045,229946.8536,225087.3687,232664.8565,229566.1945,225471.9928,226019.0520,50418563.2533,50425915.8846,50433652.2385,50405114.8736,226119.5092,50409310.6097,-3644.6515,-1078.0368,3010.1957,4529.1769,-1563.1782,-5266.0885,-4449.1376,2785.4314,-1352.9869,5373.5912,-2757.2231,817.1487,-6487.8040,-4567.0914,6227.1308,-6154.4040,-2498.3230,-6620.0837,-1386.1639,-2859.8149,4586.6150,-205.9755,5279.0478,4404.1042,2056.4389,-1861.4086,4165.8657,764.1808,-5146.2135,4085.4727,-3925.8027,-87.4949,-4102.8412,-4788.4458,695.4873,2772.8744,4350.8762,1484.6788,3217.5308,-6650.3498,-671.4503,5117.6992,-1890.9404,-3207.0235,3834.2506,-678.5260,-5027.8823,1156.6281,596.3174,-2840.0821,-4486.4349,-1045.8383,-5064.3690,-1992.6805,732.1095,-5207.9984,-5584.9995,672.6070,-2832.7839,-5338.5100,3980.2979,5421.1366,1818.0539,-5487.6895,6111.8314,-6477.3143,4163.9863,-5131.5806,5298.3365,-5913.7868,-4464.4489,5.5535,4783.8033,-3908.6710,-5198.8123,521.3794,5834.0283,-4121.4466,-6672.2165,2613.9554,-607.8702,-3315.8673,-6580.8081,4465.4403,4407.3503,278.7641,6090.0293,1200.8705,1665.6348,-6565.1417,-5960.3735,-5621.3203,4174.1833,5609.6584,-5790.9657,5867.5099,-498.8475,2936.7664,-6761.9220,5756.3588,292736.9057,315448.6996,299235.4946,298369.9572,302063.1348,300662.8531,308133.2189,302032.6459,331621595.7164,331647541.1895,331643225.4657,331629903.8928,303826.1109,331635196.9043,4190.6503,4751.3138,-6183.4358,-4953.9560,-6471.9047,-4516.6813,4012.9037,4376.3499,-5422.8195,-3930.6396,-552.1172,2926.8075,2391.9218,2579.2540,-2196.0576,934.6930,3915.3831,-1582.6426,2136.5390,4637.5014,345.3395,4524.1898,4420.1566,-1789.6717,5517.6374,1969.8937,-5417.7778,4521.0750,-4517.9128,-5229.8671,-4441.8776,5529.9300,-4574.4531,-802.9961,2287.9527,2392.9824,-4709.6492,-4847.6146,-4702.8660,1882.7399,-2682.9445,-656.5716,-1501.4030,-4402.7419,4477.8393,-4000.7205,4646.6049,2525.7082,-1668.2159,-4425.0704,-4875.5404,1951.7891,2695.0895,1236.8286,-5473.5144,4015.2282,-3538.3138,-3224.6291,3950.2915,1169.7256,5450.6867,-3919.6326,5472.0357,-616.8028,1447.9022,1803.8738,5509.1236,-4661.4309,2791.5116,485.1297,20.3442,-2487.4713,-4573.4845,-5465.1612,-3688.5895,-3107.3157,3666.1195,5236.6561,-1772.6418,-3148.3924,-3203.9607,-4323.4214,-1275.0035,4314.5250,3698.0062,-2351.2733,1460.1312,-6775.1064,4643.0666,1774.5013,1664.2159,-3497.6423,-5498.4417,900.8884,3464.8874,-3489.0983,4899.2719,-4468.0949,411.1809,3574.2302,-138044.8204,-142877.3002,-143423.5666,-136382.6144,-137673.4529,-148377.4003,-148771.4725,-142303.6092,-31337911.6624,-31357129.9007,-31325673.0969,-31323024.6249,-142006.9666,-31325796.5129,
300.000,-4217.4261,5152.4449,-971.6890,3564.1979,1311.8508,-1884.4841,1473.0145,4433.9097,-4986.0220,3473.2734,-6348.6978,-6442.4041,-1413.5815,3810.8508,3434.5400,-4058.9666,3437.6192,-2315.6261,6371.3364,-5073.5854,5597.0252,-5465.1415,1156.8701,6104.4187,-2561.2419,6182.0936,1108.6674,-4181.3192,-3132.5320,164.0317,1923.5085,3891.0361,916.2909,-5879.1436,6749.0938,5601.3718,-650.1109,4228.3730,4089.1923,-1042.0971,6782.1263,-3353.6700,5453.1072,-5681.7293,-1607.4969,-4651.9424,-1513.0903,5845.8560,6085.5645,4180.1541,320.0917,5533.1059,-5159.0236,5886.4325,-3304.3972,-403.9576,-307.7180,6461.0598,3294.8573,-5160.1206,1186.0118,3688.1651,4282.5131,3096.2718,4299.7574,-2651.8660,2192.0918,-2399.3721,-1347.3320,-4231.7690,-5478.7974,6753.9295,2485.2408,-893.3450,1300.3085,-4989.3750,882.4210,-3297.6559,-2158.0532,5228.0409,-6450.6518,-5604.2720,546.1411,4291.4290,4980.3354,6763.6173,4046.0209,-847.1436,5206.6221,-367.2355,-3843.1344,-3511.5322,1605.1482,4898.4917,-1512.3025,474.3330,-6128.3201,-4030.4993,-2297.4961,3258.1288,205140.9303,231429.9851,223363.9034,218561.7727,226202.4072,223137.9639,218957.9422,219708.2131,43164257.4949,43171188.0304,43179205.7919,43151551.9440,219621.1944,43155043.0571,-1668.3039,-2902.4204,822.5365,4473.3545,-3554.1646,-5475.8438,-4965.6079,784.8929,519.9779,5449.9910,-1454.9226,2196.4627,-6740.8973,-5711.7523,4982.1432,-5534.6156,-3820.8716,-5671.2572,-2663.4508,-928.7806,3393.1940,1829.1652,5781.1260,3276.1965,3913.9549,-3112.4180,4047.1886,2759.7211,-4866.0986,4162.4024,-5376.5520,-2235.1991,-4204.4123,-3600.8177,-877.1662,1196.3985,5153.4344,-553.2670,1151.8017,-6073.3705,-1393.5007,5547.4853,-3189.1909,-2305.5655,4146.0421,990.5692,-5729.6224,-594.2549,-1020.8239,-4548.3729,-5709.9041,-2169.8830,-4276.0986,-3432.9877,2720.2595,-4503.4885,-5259.5394,-1013.3215,-2843.3887,-4558.1084,4370.0302,5132.6502,-307.2980,-6064.2325,5438.6738,-5405.4951,3830.7711,-5015.8006,5442.1391,-4891.5389,-3299.0628,-1281.6659,3323.1547,-4360.0129,-6322.7897,1821.8159,6413.7048,-2530.9657,-5824.0302,904.9450,1081.3319,-1899.5314,-6878.1150,2728.8130,4504.8532,-1301.2457,5594.8133,-1074.5672,-433.1625,-6182.1086,-4712.0022,-5638.0146,4526.0421,4304.2149,-6187.7308,5068.0369,325.9816,4648.6135,-6326.6981,5635.3862,297048.6485,320284.0729,303830.7540,303097.6683,306764.3949,305342.1299,312748.2269,306710.8359,332644863.8675,332671010.5721,332667202.0401,332653048.7137,308514.1662,332658533.5938,5112.7631,3584.4276,-6826.3513,-3886.6473,-5835.3585,-3822.8859,4602.4069,5235.4121,-4776.9359,-2456.5326,-2302.8866,1253.2007,651.4809,859.5126,-3429.2484,-878.0358,4535.1802,-3210.9848,368.1904,4447.4628,2115.4095,3844.6110,3645.2702,-282.7833,5088.0802,193.9432,-5497.5979,4622.4496,-3826.1028,-5535.0070,-3736.1462,5251.2166,-5303.7478,742.4807,825.4228,3875.6217,-4596.7743,-5444.6093,-5361.5431,3180.2293,-628.6548,-2397.5300,-2866.9875,-3090.3920,5288.7509,-5024.7473,3437.0900,3679.0078,-3007.3220,-3109.4762,-3782.5223,3523.5784,1292.5044,-313.2520,-5446.7082,4988.3945,-4336.7821,-1936.7069,5408.6913,-645.2739,5094.3997,-2857.6084,5413.4198,1197.7915,-81.1321,3396.6901,5312.1599,-4152.4195,3861.6680,2249.5746,1840.1545,-752.0221,-5244.8325,-5181.9029,-2537.9490,-4418.0993,2507.6829,5522.5092,-3091.4350,-4448.7893,-1910.7939,-3495.9653,533.2403,4703.9571,1773.6106,-903.8459,-343.6417,-6811.6279,4369.4040,3092.4349,3283.7069,-1924.7293,-4981.7300,2349.4771,2249.5639,-4693.4617,3254.9062,-3174.4758,-1141.4155,2385.9721,-138151.4571,-142984.9857,-143438.7156,-136601.4063,-137626.5465,-148289.6853,-149032.8124,-141933.6797,-31343360.8855,-31362645.6880,-31331486.4600,-31327948.2349,-142101.9819,-31331293.8523,
600.000,-4073.1592,4922.2997,-786.6745,5091.8650,546.5978,-3714.7081,-679.6690,3922.2715,-5432.4402,4713.3661,-5767.7368,-6035.9872,-2556.0554,2741.7079,4389.2192,-4706.6390,1505.9701,-3217.8004,5682.9155,-5580.2104,5527.1928,-5192.1666,2972.7571,6566.6908,-1305.2122,5382.9673,3174.1071,-2934.0394,-4842.9583,2301.6829,303.8617,3317.5735,-1253.1529,-6240.3621,6399.2671,4807.2999,1388.8466,3390.2543,4036.3059,-2593.4144,6496.0839,-1758.3391,3875.9607,-6603.6705,557.9788,-3276.0768,-3015.4016,4793.2447,4943.2801,3483.4726,-1121.4238,3970.6523,-6094.7865,4767.1695,-2156.9530,-2254.0590,-2294.6807,6298.0854,1277.0100,-5577.9751,3176.6337,5172.9412,4392.6849,1709.6174,5250.5611,-3462.3284,4123.5578,-4249.3170,701.9253,-4628.9884,-5420.2235,6382.9593,3789.6321,-2908.0163,-236.9545,-3350.1310,2500.3078,-4480.4655,-3459.0108,4392.2432,-6266.0239,-6472.8394,-696.3478,5134.6936,5553.7376,6346.5606,4769.9209,-543.5312,5225.9932,-2025.0354,-4258.5600,-4655.7975,3511.2150,5369.1712,-3112.1850,2096.8874,-6748.7929,-3295.9046,-3537.6756,4725.6343,198839.8040,224571.7006,216682.5108,211937.7938,219640.0128,216611.3185,212350.2542,213291.2620,35889302.8291,35895809.0457,35904085.3460,35877376.0945,213025.7768,35880123.3119,490.6567,-4415.8382,-1447.9510,4013.9851,-5204.9198,-5190.2067,-5045.5400,-1313.7785,2308.1577,5004.5614,15.5536,3344.8998,-6325.6308,-6284.1591,3261.3112,-4359.6477,-4801.5455,-4159.3512,-3671.5606,1073.4376,1839.4390,3670.7561,5751.3906,1833.1220,5403.3185,-4052.6661,3589.3654,4493.6070,-4152.0636,3891.1978,-6296.1342,-4161.3360,-3932.7975,-2058.5448,-2353.8803,-531.2657,5498.4019,-2560.9216,-1035.4391,-4921.0966,-1966.0170,5444.2574,-4206.7065,-1205.0511,4105.2323,2604.9765,-5870.6035,-2316.1870,-2563.2121,-5791.9737,-6370.0070,-3117.5372,-3063.6456,-4525.8262,4463.7995,-3359.1863,-4436.1806,-2578.9950,-2634.5551,-3318.5204,4362.7056,4372.6145,-2386.9218,-6044.0624,4237.8083,-3795.0145,3176.1945,-4455.4211,5062.2337,-3356.2024,-1748.1247,-2433.0603,1532.5192,-4418.9833,-6840.6885,2988.2116,6387.6890,-727.8332,-4419.2338,-926.5748,2643.2578,-326.1528,-6492.8476,747.2144,4162.4927,-2747.6879,4539.7369,-3227.8921,-2471.8898,-5212.0168,-2984.0419,-5108.7772,4482.5969,2571.4465,-5947.8462,3800.0428,1075.8300,5888.6829,-5246.0214,4986.8400,301229.3255,324973.5181,308289.9761,307687.6372,311328.7700,309886.9056,317222.2134,311389.8128,333509466.8235,333535801.6543,333532509.2490,333517613.3438,313063.2402,333523207.0491,5465.5345,2031.3350,-6746.1313,-2400.7298,-4583.1097,-2721.4772,4699.4757,5529.1627,-3619.1345,-717.3761,-3804.5832,-555.3271,-1159.2065,-952.8267,-4299.2043,-2596.2090,4653.8987,-4493.4353,-1439.9202,3756.5106,3653.6557,2753.1369,2480.4041,1254.3661,4110.4037,-1602.8894,-4986.7027,4204.6914,-2726.0878,-5248.3116,-2611.7025,4405.9588,-5441.3739,2208.4555,-728.5289,4940.9071,-3993.5915,-5456.4754,-5424.9570,4137.7361,1492.3575,-3879.5437,-3926.4071,-1437.8798,5529.6875,-5509.1314,1846.7190,4438.9044,-4015.0498,-1458.8432,-2271.6209,4714.7465,-255.1854,-1828.1407,-4837.3746,5380.6796,-4649.5353,-431.1411,6292.3677,-2390.6618,4166.2041,-1490.2818,4771.4076,2883.0149,-1601.4961,4623.1184,4541.9097,-3200.9089,4496.0380,3764.2140,3437.5482,1064.5468,-5293.4885,-4320.7138,-1116.0730,-5252.0063,1081.9902,5214.0269,-4080.2183,-5272.1370,-402.2631,-2284.8735,2284.0326,4589.8569,-339.6614,639.8010,-2110.3225,-6127.6781,3603.6388,4078.0162,4548.5852,-144.2313,-3930.1242,3546.3920,774.1785,-5394.6169,1264.4540,-1539.9103,-2566.0514,942.3323,-138258.2737,-143092.5088,-143451.2409,-136825.2501,-137583.2109,-148196.1206,-149288.4215,-141576.1227,-31348804.6851,-31368159.1992,-31337299.8120,-31332904.7862,-142196.9186,-31336791.2245,
