sl_100_5400_20250509 Coordinates.csv
2025/05/09 07:47:00.0000 UTC

Generated: Tue Oct  8 15:35:09 2024,
Start: 2025/05/09 07:47:00.00, Stop: 2025/05/09 09:17:00.00,
TIME_UNITS,STARLINK-30487 - X-Coordinate,STARLINK-32089 - X-Coordinate,STARLINK-5080 - X-Coordinate,STARLINK-11244 [DTC] - X-Coordinate,STARLINK-4573 - X-Coordinate,STARLINK-11103 [DTC] - X-Coordinate,STARLINK-31206 - X-Coordinate,STARLINK-4323 - X-Coordinate,STARLINK-31840 - X-Coordinate,STARLINK-5041 - X-Coordinate,STARLINK-30796 - X-Coordinate,STARLINK-32199 - X-Coordinate,STARLINK-5245 - X-Coordinate,STARLINK-6182 - X-Coordinate,STARLINK-5387 - X-Coordinate,STARLINK-3298 - X-Coordinate,STARLINK-2735 - X-Coordinate,STARLINK-1680 - X-Coordinate,STARLINK-1179 - X-Coordinate,STARLINK-6358 - X-Coordinate,STARLINK-30153 - X-Coordinate,STARLINK-5743 - X-Coordinate,STARLINK-2558 - X-Coordinate,STARLINK-6250 - X-Coordinate,STARLINK-31408 - X-Coordinate,STARLINK-3899 - X-Coordinate,STARLINK-3838 - X-Coordinate,STARLINK-3865 - X-Coordinate,STARLINK-1568 - X-Coordinate,STARLINK-2562 - X-Coordinate,STARLINK-2002 - X-Coordinate,STARLINK-4116 - X-Coordinate,STARLINK-5923 - X-Coordinate,STARLINK-1061 - X-Coordinate,STARLINK-11102 [DTC] - X-Coordinate,STARLINK-5976 - X-Coordinate,STARLINK-4499 - X-Coordinate,STARLINK-31400 - X-Coordinate,STARLINK-4737 - X-Coordinate,STARLINK-31055 - X-Coordinate,STARLINK-3504 - X-Coordinate,STARLINK-31158 - X-Coordinate,STARLINK-30418 - X-Coordinate,STARLINK-1199 - X-Coordinate,STARLINK-3313 - X-Coordinate,STARLINK-31881 - X-Coordinate,STARLINK-30976 - X-Coordinate,STARLINK-3521 - X-Coordinate,STARLINK-11098 [DTC] - X-Coordinate,STARLINK-5212 - X-Coordinate,STARLINK-32189 - X-Coordinate,STARLINK-6277 - X-Coordinate,STARLINK-1955 - X-Coordinate,STARLINK-31758 - X-Coordinate,STARLINK-30610 - X-Coordinate,STARLINK-2349 - X-Coordinate,STARLINK-3088 - X-Coordinate,STARLINK-31770 - X-Coordinate,STARLINK-5063 - X-Coordinate,STARLINK-30917 - X-Coordinate,STARLINK-30998 - X-Coordinate,STARLINK-3765 - X-Coordinate,STARLINK-5552 - X-Coordinate,STARLINK-30387 - X-Coordinate,STARLINK-2092 - X-Coordinate,STARLINK-1974 - X-Coordinate,STARLINK-5952 - X-Coordinate,STARLINK-2616 - X-Coordinate,STARLINK-3741 - X-Coordinate,STARLINK-30572 - X-Coordinate,STARLINK-6203 - X-Coordinate,STARLINK-4317 - X-Coordinate,STARLINK-31904 - X-Coordinate,STARLINK-5442 - X-Coordinate,STARLINK-32154 - X-Coordinate,STARLINK-2058 - X-Coordinate,STARLINK-3804 - X-Coordinate,STARLINK-4546 - X-Coordinate,STARLINK-31134 - X-Coordinate,STARLINK-3794 - X-Coordinate,STARLINK-31051 - X-Coordinate,STARLINK-6379 - X-Coordinate,STARLINK-1701 - X-Coordinate,STARLINK-31933 - X-Coordinate,STARLINK-4071 - X-Coordinate,STARLINK-5163 - X-Coordinate,STARLINK-31080 - X-Coordinate,STARLINK-4038 - X-Coordinate,STARLINK-31980 - X-Coordinate,STARLINK-4020 - X-Coordinate,STARLINK-31950 - X-Coordinate,STARLINK-5496 - X-Coordinate,STARLINK-30768 - X-Coordinate,STARLINK-1103 - X-Coordinate,STARLINK-30483 - X-Coordinate,STARLINK-1138 - X-Coordinate,STARLINK-31480 - X-Coordinate,STARLINK-32049 - X-Coordinate,STARLINK-4217 - X-Coordinate,STARLINK-31519 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30487 - Y-Coordinate,STARLINK-32089 - Y-Coordinate,STARLINK-5080 - Y-Coordinate,STARLINK-11244 [DTC] - Y-Coordinate,STARLINK-4573 - Y-Coordinate,STARLINK-11103 [DTC] - Y-Coordinate,STARLINK-31206 - Y-Coordinate,STARLINK-4323 - Y-Coordinate,STARLINK-31840 - Y-Coordinate,STARLINK-5041 - Y-Coordinate,STARLINK-30796 - Y-Coordinate,STARLINK-32199 - Y-Coordinate,STARLINK-5245 - Y-Coordinate,STARLINK-6182 - Y-Coordinate,STARLINK-5387 - Y-Coordinate,STARLINK-3298 - Y-Coordinate,STARLINK-2735 - Y-Coordinate,STARLINK-1680 - Y-Coordinate,STARLINK-1179 - Y-Coordinate,STARLINK-6358 - Y-Coordinate,STARLINK-30153 - Y-Coordinate,STARLINK-5743 - Y-Coordinate,STARLINK-2558 - Y-Coordinate,STARLINK-6250 - Y-Coordinate,STARLINK-31408 - Y-Coordinate,STARLINK-3899 - Y-Coordinate,STARLINK-3838 - Y-Coordinate,STARLINK-3865 - Y-Coordinate,STARLINK-1568 - Y-Coordinate,STARLINK-2562 - Y-Coordinate,STARLINK-2002 - Y-Coordinate,STARLINK-4116 - Y-Coordinate,STARLINK-5923 - Y-Coordinate,STARLINK-1061 - Y-Coordinate,STARLINK-11102 [DTC] - Y-Coordinate,STARLINK-5976 - Y-Coordinate,STARLINK-4499 - Y-Coordinate,STARLINK-31400 - Y-Coordinate,STARLINK-4737 - Y-Coordinate,STARLINK-31055 - Y-Coordinate,STARLINK-3504 - Y-Coordinate,STARLINK-31158 - Y-Coordinate,STARLINK-30418 - Y-Coordinate,STARLINK-1199 - Y-Coordinate,STARLINK-3313 - Y-Coordinate,STARLINK-31881 - Y-Coordinate,STARLINK-30976 - Y-Coordinate,STARLINK-3521 - Y-Coordinate,STARLINK-11098 [DTC] - Y-Coordinate,STARLINK-5212 - Y-Coordinate,STARLINK-32189 - Y-Coordinate,STARLINK-6277 - Y-Coordinate,STARLINK-1955 - Y-Coordinate,STARLINK-31758 - Y-Coordinate,STARLINK-30610 - Y-Coordinate,STARLINK-2349 - Y-Coordinate,STARLINK-3088 - Y-Coordinate,STARLINK-31770 - Y-Coordinate,STARLINK-5063 - Y-Coordinate,STARLINK-30917 - Y-Coordinate,STARLINK-30998 - Y-Coordinate,STARLINK-3765 - Y-Coordinate,STARLINK-5552 - Y-Coordinate,STARLINK-30387 - Y-Coordinate,STARLINK-2092 - Y-Coordinate,STARLINK-1974 - Y-Coordinate,STARLINK-5952 - Y-Coordinate,STARLINK-2616 - Y-Coordinate,STARLINK-3741 - Y-Coordinate,STARLINK-30572 - Y-Coordinate,STARLINK-6203 - Y-Coordinate,STARLINK-4317 - Y-Coordinate,STARLINK-31904 - Y-Coordinate,STARLINK-5442 - Y-Coordinate,STARLINK-32154 - Y-Coordinate,STARLINK-2058 - Y-Coordinate,STARLINK-3804 - Y-Coordinate,STARLINK-4546 - Y-Coordinate,STARLINK-31134 - Y-Coordinate,STARLINK-3794 - Y-Coordinate,STARLINK-31051 - Y-Coordinate,STARLINK-6379 - Y-Coordinate,STARLINK-1701 - Y-Coordinate,STARLINK-31933 - Y-Coordinate,STARLINK-4071 - Y-Coordinate,STARLINK-5163 - Y-Coordinate,STARLINK-31080 - Y-Coordinate,STARLINK-4038 - Y-Coordinate,STARLINK-31980 - Y-Coordinate,STARLINK-4020 - Y-Coordinate,STARLINK-31950 - Y-Coordinate,STARLINK-5496 - Y-Coordinate,STARLINK-30768 - Y-Coordinate,STARLINK-1103 - Y-Coordinate,STARLINK-30483 - Y-Coordinate,STARLINK-1138 - Y-Coordinate,STARLINK-31480 - Y-Coordinate,STARLINK-32049 - Y-Coordinate,STARLINK-4217 - Y-Coordinate,STARLINK-31519 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30487 - Z-Coordinate,STARLINK-32089 - Z-Coordinate,STARLINK-5080 - Z-Coordinate,STARLINK-11244 [DTC] - Z-Coordinate,STARLINK-4573 - Z-Coordinate,STARLINK-11103 [DTC] - Z-Coordinate,STARLINK-31206 - Z-Coordinate,STARLINK-4323 - Z-Coordinate,STARLINK-31840 - Z-Coordinate,STARLINK-5041 - Z-Coordinate,STARLINK-30796 - Z-Coordinate,STARLINK-32199 - Z-Coordinate,STARLINK-5245 - Z-Coordinate,STARLINK-6182 - Z-Coordinate,STARLINK-5387 - Z-Coordinate,STARLINK-3298 - Z-Coordinate,STARLINK-2735 - Z-Coordinate,STARLINK-1680 - Z-Coordinate,STARLINK-1179 - Z-Coordinate,STARLINK-6358 - Z-Coordinate,STARLINK-30153 - Z-Coordinate,STARLINK-5743 - Z-Coordinate,STARLINK-2558 - Z-Coordinate,STARLINK-6250 - Z-Coordinate,STARLINK-31408 - Z-Coordinate,STARLINK-3899 - Z-Coordinate,STARLINK-3838 - Z-Coordinate,STARLINK-3865 - Z-Coordinate,STARLINK-1568 - Z-Coordinate,STARLINK-2562 - Z-Coordinate,STARLINK-2002 - Z-Coordinate,STARLINK-4116 - Z-Coordinate,STARLINK-5923 - Z-Coordinate,STARLINK-1061 - Z-Coordinate,STARLINK-11102 [DTC] - Z-Coordinate,STARLINK-5976 - Z-Coordinate,STARLINK-4499 - Z-Coordinate,STARLINK-31400 - Z-Coordinate,STARLINK-4737 - Z-Coordinate,STARLINK-31055 - Z-Coordinate,STARLINK-3504 - Z-Coordinate,STARLINK-31158 - Z-Coordinate,STARLINK-30418 - Z-Coordinate,STARLINK-1199 - Z-Coordinate,STARLINK-3313 - Z-Coordinate,STARLINK-31881 - Z-Coordinate,STARLINK-30976 - Z-Coordinate,STARLINK-3521 - Z-Coordinate,STARLINK-11098 [DTC] - Z-Coordinate,STARLINK-5212 - Z-Coordinate,STARLINK-32189 - Z-Coordinate,STARLINK-6277 - Z-Coordinate,STARLINK-1955 - Z-Coordinate,STARLINK-31758 - Z-Coordinate,STARLINK-30610 - Z-Coordinate,STARLINK-2349 - Z-Coordinate,STARLINK-3088 - Z-Coordinate,STARLINK-31770 - Z-Coordinate,STARLINK-5063 - Z-Coordinate,STARLINK-30917 - Z-Coordinate,STARLINK-30998 - Z-Coordinate,STARLINK-3765 - Z-Coordinate,STARLINK-5552 - Z-Coordinate,STARLINK-30387 - Z-Coordinate,STARLINK-2092 - Z-Coordinate,STARLINK-1974 - Z-Coordinate,STARLINK-5952 - Z-Coordinate,STARLINK-2616 - Z-Coordinate,STARLINK-3741 - Z-Coordinate,STARLINK-30572 - Z-Coordinate,STARLINK-6203 - Z-Coordinate,STARLINK-4317 - Z-Coordinate,STARLINK-31904 - Z-Coordinate,STARLINK-5442 - Z-Coordinate,STARLINK-32154 - Z-Coordinate,STARLINK-2058 - Z-Coordinate,STARLINK-3804 - Z-Coordinate,STARLINK-4546 - Z-Coordinate,STARLINK-31134 - Z-Coordinate,STARLINK-3794 - Z-Coordinate,STARLINK-31051 - Z-Coordinate,STARLINK-6379 - Z-Coordinate,STARLINK-1701 - Z-Coordinate,STARLINK-31933 - Z-Coordinate,STARLINK-4071 - Z-Coordinate,STARLINK-5163 - Z-Coordinate,STARLINK-31080 - Z-Coordinate,STARLINK-4038 - Z-Coordinate,STARLINK-31980 - Z-Coordinate,STARLINK-4020 - Z-Coordinate,STARLINK-31950 - Z-Coordinate,STARLINK-5496 - Z-Coordinate,STARLINK-30768 - Z-Coordinate,STARLINK-1103 - Z-Coordinate,STARLINK-30483 - Z-Coordinate,STARLINK-1138 - Z-Coordinate,STARLINK-31480 - Z-Coordinate,STARLINK-32049 - Z-Coordinate,STARLINK-4217 - Z-Coordinate,STARLINK-31519 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-6717.2985,3341.9796,0.0000,5447.4324,5668.3954,-3952.3898,46.6549,4199.1561,5984.9275,-3977.6787,2092.3037,-1587.0452,-4813.2954,-572.7249,6129.7917,4494.3962,-5383.1131,-4030.0154,-524.4816,-4785.5435,-338.8467,4453.9758,849.8002,3531.9045,-1484.5840,-181.6360,-2436.0341,-2763.7618,-144.0647,-5733.0386,536.0045,-4387.8288,6790.2648,-5853.4312,-3441.8394,-1953.9311,3780.5688,4530.0552,-874.1801,731.9339,-676.8201,-6482.7286,-803.4498,-5157.3880,-6311.9883,-5477.1775,751.0607,4237.9286,-2450.9309,2497.3744,1879.1285,4807.0497,-6625.6096,4288.9394,-2782.4332,-5728.0930,-4526.9137,4215.3652,-4169.2513,-4696.5059,6136.0371,5887.1726,4545.3035,-5809.0302,-6815.7333,4162.2741,5067.5864,6272.8355,3611.9719,5756.9170,2899.5826,-905.8116,-6246.2091,-3668.0457,4865.4580,-4196.4007,2447.0475,-5216.1999,5337.2793,-577.5042,-136.6048,-2841.5342,4616.0682,3854.3597,-557.2867,4292.1316,-5884.8084,1875.4285,-494.0300,-3951.2443,-5029.9731,734.0496,-6667.3378,-3770.7529,3136.1657,-2807.1357,-5287.6595,4855.7390,-5592.8004,-4985.0656,361256.4030,372186.3447,355121.5934,355646.5686,356551.1680,356274.3306,364732.9146,359432.5705,179645705.8197,179663570.3541,179643420.8382,179650840.7784,360386.8057,179648203.4609,-262.4082,-4086.8407,0.0000,-3464.8741,2803.1057,-1711.3155,6459.2573,3374.3930,2051.1598,-1398.6525,4652.3145,6164.8670,-370.8577,-6062.2279,-2465.4047,-4190.7145,4066.6827,-3939.3223,4212.3267,-3633.1871,6549.7008,2695.0688,4127.7803,4426.2459,-5817.6521,-4169.4211,3360.5359,-3778.9439,4762.2387,3568.3893,4365.5377,-1210.2324,1161.8080,1336.8177,4295.5667,-2249.0504,-5621.6030,4461.9516,6369.6858,-5616.4476,-6010.1103,1700.4166,6519.4979,776.4793,2783.0174,-4054.1647,-6841.0566,-1521.3057,-5976.1898,-4739.0322,-5469.2866,1849.9085,-738.7305,-3036.5989,-6140.1628,3777.4097,222.4533,4899.1268,418.7664,-3886.0395,3197.4996,-2456.4860,2127.4416,2357.8452,-659.9458,-4353.8470,4076.0252,-1046.9876,-4858.5138,-135.5723,-4269.7747,-1649.0263,-2090.3874,-4165.4647,1574.4371,-2738.1090,3451.1722,2745.3841,-3307.2829,4665.6736,-4541.8415,4592.0984,4391.1395,3349.1895,6714.2252,369.7590,3565.2893,6657.0169,-5139.9926,-1277.3469,-2115.2670,-5636.1264,-1453.0754,-4877.5226,-4397.5521,-4237.0023,-3878.5496,2316.5110,4068.3854,128.6027,-164725.6217,-183006.4400,-182633.9838,-177206.4938,-185493.2000,-181920.9427,-180840.0178,-179902.3360,110747154.3384,110743618.8348,110747359.0138,110773229.9090,-179927.1906,110765819.5033,1678.9535,-4323.9065,0.0000,1831.7522,-2783.1866,-5185.4092,-2184.6400,-4386.7452,2477.5658,5467.4760,4689.4491,2364.8853,4942.2765,-3328.0502,-2115.8017,3162.9762,-1421.2284,-4030.1519,-5471.5001,-3468.7841,-2249.7021,-4580.7083,5483.8995,-4009.5443,-3245.6879,-5521.9475,-5539.2854,-5098.5590,5000.8833,1504.5284,5336.7073,-5214.4639,903.5278,-3450.5359,3851.3108,-6277.8001,1373.3279,2460.8478,-2555.5134,-3864.5769,-3365.8570,-1482.9475,-2231.1645,4541.1378,-524.7917,-254.8769,-862.3544,-5255.6645,1881.2801,-4380.1543,-3631.6325,4637.7686,1839.5845,-4355.4717,-1643.8357,-788.7723,5261.9579,2176.3858,5483.3876,3302.3136,576.8977,2668.4729,-4802.1728,-2968.9676,-960.3373,-3409.7162,-2416.1659,2732.3392,3323.0543,3690.9156,-4638.9144,6673.5988,1753.0919,-4132.5865,4476.1535,-4783.5957,5460.0185,-3621.3387,-2789.2878,-5071.7936,5220.0721,-4359.3501,2698.6689,-4528.2378,-1566.4142,-5414.0378,-886.0813,16.8187,-4512.0517,-5538.5533,4084.8730,-3983.4353,-1180.4098,3117.7083,4223.4144,-4706.3809,1850.9160,-4188.5733,65.5811,4647.2864,-39071.8543,-41517.9167,-44769.1510,-37232.1051,-39030.4431,-49749.8678,-49673.8556,-41580.6761,75301353.7684,75331727.5254,75321278.8437,75303419.7896,-43132.1148,75309275.5091,
300.000,-6810.7964,1321.0726,0.0000,4881.1980,6583.8882,-5117.0025,1654.6688,2597.7463,6695.6436,-4184.9034,3995.3396,-399.0316,-3913.4038,-2315.6106,4840.2526,2768.1539,-4662.7530,-4299.6866,1634.0166,-5159.7103,1300.0660,5607.2250,2838.5502,4495.8552,-2968.8066,-2300.3753,-647.1784,-4596.7515,1755.1607,-4463.6204,2577.6770,-4045.5722,6281.3382,-4469.6266,-2626.4229,-47.3067,2779.4446,5801.7589,562.9377,-934.1096,-2112.7214,-5457.7664,745.9536,-3787.5216,-5390.8367,-6137.8253,-755.2659,4017.1828,-3325.4799,1384.4150,684.4295,5589.9284,-5973.6826,2544.0277,-4188.9363,-4604.5030,-2818.0197,5509.7996,-4069.2406,-5132.4921,6642.9595,5704.3210,5434.5254,-5428.6715,-6837.2132,3497.9959,5461.8541,6410.8799,1825.4431,4582.6182,1200.1339,1015.0207,-6068.8043,-5232.3013,5995.8387,-5670.3611,3849.7946,-5034.8407,3730.2129,1417.6943,-2072.4990,-1285.4409,4835.0135,5279.2879,659.4177,3811.0262,-4987.1660,2931.2256,-2076.8969,-4355.9246,-6044.1806,-1072.8391,-6914.2650,-4233.4318,1690.2161,-4580.7388,-6268.3178,4503.3461,-4595.0185,-4696.0301,364575.6996,376095.8916,358777.8695,359422.5716,360281.8440,359965.3684,368404.4181,363540.7711,177187478.2436,177205911.5134,177185622.7853,177191998.4345,364117.5687,177189931.1165,1272.4832,-4818.1200,0.0000,-4608.7696,1786.1849,-14.2772,5664.5101,2683.2241,912.9077,771.3013,3736.2271,6754.6399,1540.2462,-6205.5912,-3657.9323,-4490.0718,5061.0803,-2031.4373,3954.9666,-1689.6813,5860.7671,984.7463,3243.5775,2594.4948,-4520.5706,-3699.6930,4544.6813,-3126.4966,3809.4913,4245.5172,4489.9249,912.6720,432.8093,2499.8504,5717.5583,-1141.4692,-6316.4385,3436.7046,5612.6712,-4677.3064,-6349.8692,3032.8870,6853.2612,2283.9641,3691.1020,-2670.7392,-6859.4009,-3512.6283,-4704.4947,-6054.8215,-6465.8154,-85.3826,608.5843,-4297.5868,-5528.7154,4492.8779,1247.3769,3960.8646,2534.8820,-1981.6286,1778.7990,-3794.5461,3149.2926,4000.1429,553.7292,-5686.9576,2316.6107,-2404.5470,-4836.8728,-1608.7863,-5474.2274,-425.9463,-369.0938,-3620.3931,183.4177,-1629.6548,1783.0363,4266.5743,-4284.0206,3919.9634,-3597.0627,5832.3689,2746.5778,1823.8287,6879.2967,-1749.8628,4775.2300,5994.8699,-3844.4016,847.5507,-445.7581,-6190.3820,40.4886,-3193.4293,-5749.4548,-3825.6636,-2654.9920,355.6614,4821.8418,2270.1206,-156926.0091,-175186.4506,-174830.3120,-169493.5775,-177837.3574,-174285.7351,-173097.3714,-172495.9936,114647991.1803,114644451.2536,114647720.7808,114674261.6221,-172229.2771,114666576.8830,163.2673,-4648.2265,0.0000,18.1543,-1083.0052,-4387.5716,-3417.7796,-5858.5219,730.8810,5437.5401,4254.0522,605.4785,5480.2577,-2067.4269,-3366.1737,4462.5122,386.6596,-5039.2261,-5444.3796,-4320.0348,-3470.5203,-3958.7570,5409.2036,-4604.5774,-4163.7779,-5378.2796,-5180.0490,-4122.9380,5486.8901,3143.7725,4587.3057,-5541.4492,2933.1933,-4662.5585,2360.9992,-6854.1489,-437.1081,1019.7804,-4007.8380,-4926.9973,-1761.6542,-2854.0500,-767.8283,5314.5315,-2280.5019,1293.5275,682.8988,-4405.8074,3469.2150,-3047.6494,-2083.0281,4098.0065,3426.3726,-4652.1597,-126.6995,-2517.2492,6222.0927,697.0781,4965.5025,4216.0700,-966.2808,954.9941,-2962.1710,-1623.8828,853.0194,-1818.9843,-3597.7167,1032.0107,4575.8347,4813.4197,-4092.6082,6845.6291,3077.2118,-2717.1622,3199.2919,-3628.7918,5451.0473,-2070.5136,-3865.8307,-5518.1109,5536.8201,-3534.6446,4113.2186,-3920.7594,237.1929,-5502.9828,658.6705,1808.3143,-5285.4803,-5312.5271,3123.2516,-2948.8424,360.1468,4424.9137,3334.2206,-3514.2554,337.4158,-5107.7156,1854.2008,4389.5080,-39194.5174,-41653.7016,-44833.9848,-37485.1012,-39017.3046,-49710.5929,-49984.2575,-41568.7453,75300849.9287,75331312.8896,75320727.2242,75303572.8978,-43268.3199,75308970.0052,
600.000,-6243.4670,-824.4449,0.0000,3782.3150,6839.4588,-5764.6858,3125.2570,761.0451,6702.4885,-4036.4912,5520.9338,823.8429,-2675.5264,-3819.4546,3082.9208,749.5936,-3470.0971,-4200.8821,3637.2416,-5076.4951,2843.2583,6241.8410,4568.9165,5069.5628,-4189.4372,-4201.3870,1167.6167,-5973.6920,3515.2087,-2737.6853,4347.2950,-3363.9347,5142.4399,-2656.8772,-1553.1905,1811.4015,1496.9858,6477.6520,1984.8784,-2548.6200,-3321.4060,-3887.8825,2215.9777,-2075.1822,-3925.6281,-6178.8736,-2195.0398,3447.2110,-3880.2758,168.0302,-557.3680,5863.2065,-4740.4083,562.9402,-5189.1474,-3008.2965,-856.0158,6238.8368,-3619.0121,-5111.2274,6512.8423,4960.7490,5711.2061,-4534.9911,-6177.1079,2505.5492,5359.7312,5918.4780,-167.6494,2963.9507,-584.5996,2772.3400,-5289.3118,-6268.1127,6511.5440,-6591.6686,4916.2197,-4371.4281,1750.6276,3301.5286,-3835.6291,364.4187,4615.6132,6186.8128,1813.1860,3013.0266,-3602.6813,3714.9223,-3496.9221,-4387.6783,-6456.9318,-2754.4770,-6488.1198,-4322.7959,105.6354,-5891.8034,-6606.7594,3736.6582,-3127.4931,-3971.8205,367726.5307,379838.4754,362272.6630,363035.3417,363851.3090,363496.3927,371907.9348,367538.4609,174644560.0802,174663568.2202,174643153.9980,174648450.3193,367683.8756,174646971.7572,2682.2571,-5104.8514,0.0000,-5249.3463,602.8262,1644.6961,4305.1560,1634.5040,-312.6803,2857.2552,2498.1407,6633.7044,3333.2123,-5761.8757,-4529.5217,-4390.1674,5549.4479,88.4828,3368.2065,426.3629,4619.3525,-790.8981,2094.6752,521.8608,-2780.0379,-2923.9802,5323.5982,-2210.8290,2528.6372,4533.8920,4218.2383,2960.8248,-377.9822,3466.9050,6513.9511,168.3314,-6384.0453,2070.1295,4319.0259,-3297.6064,-6068.5513,4090.3137,6525.1825,3614.9342,4256.8564,-1004.0269,-6213.0735,-5146.4597,-2917.0098,-6774.2546,-6796.0312,-1988.4827,1931.9785,-5162.5472,-4382.9726,4785.2405,2221.2459,2624.6348,4390.7191,124.1399,180.0555,-4746.5667,3863.6855,5245.4781,1721.9431,-6448.2113,318.1271,-3513.1710,-4378.4789,-2965.3928,-6175.5374,922.6124,1414.4333,-2745.1188,-1192.2319,-400.1312,-22.0348,5349.4133,-4872.1492,2840.7759,-2350.1278,6525.2472,808.4540,146.5992,6358.7278,-3710.9505,5527.8208,4730.2681,-2193.6879,2872.6326,1242.2965,-6165.2942,1533.6350,-1178.7406,-6536.8322,-3074.3458,-1163.0954,-1669.3236,5112.3334,4180.5732,-149061.5539,-167282.1212,-166948.8168,-161702.4530,-170102.0134,-166574.0271,-165279.7575,-164975.1488,118494290.2994,118490762.8151,118493561.7874,118520699.2355,-164454.0539,118512795.1494,-1369.9426,-4452.1626,0.0000,-1797.6190,734.4118,-3080.1452,-4267.0280,-6709.6442,-1098.8695,4820.4577,3363.4426,-1222.8566,5427.3475,-586.0395,-4257.3567,5280.4760,2152.3723,-5509.4187,-4834.3946,-4710.7650,-4320.4056,-2913.8778,4753.3339,-4709.0098,-4615.7486,-4657.9188,-4265.2307,-2704.5127,5380.9035,4444.2754,3344.6237,-5274.4202,4650.8005,-5375.0981,593.4309,-6705.8909,-2200.3908,-536.0036,-5029.3700,-5446.0389,32.1734,-3910.7364,777.6086,5516.2859,-3790.7797,2696.2921,2155.0437,-3082.6764,4651.0189,-1387.1129,-301.0580,3120.0456,4643.6487,-4428.3301,1403.9648,-3973.4831,6522.2563,-860.6053,3910.4994,4679.0100,-2406.5001,-861.4783,-806.9060,-105.1647,2574.1814,-32.4513,-4395.4811,-779.2793,5333.7839,5400.4945,-3110.1369,6289.3014,4054.8045,-1009.2220,1559.6915,-2084.9448,4854.1930,-296.5180,-4517.9595,-5371.3977,5259.7691,-2333.0943,5085.1137,-2874.0171,2015.1651,-5001.3012,2132.9515,3404.5844,-5476.3638,-4516.9816,1810.4832,-1599.7526,1861.9576,5254.0254,2076.6753,-1945.2330,-1214.1302,-5454.1533,3442.6580,3638.7223,-39317.6099,-41789.8337,-44895.8149,-37743.1815,-39007.7869,-49665.6066,-50288.8800,-41681.5246,75300349.5805,75330896.1109,75320171.5175,75303749.1933,-43404.5023,75308664.3212,
