sl_5_86400_20250203 Coordinates.csv
2025/02/03 07:47:00.0000 UTC

Generated: Tue Oct  8 16:57:58 2024,
Start: 2025/02/03 07:47:00.00, Stop: 2025/02/04 07:47:00.00,
TIME_UNITS,STARLINK-11213 [DTC] - X-Coordinate,STARLINK-3610 - X-Coordinate,STARLINK-30782 - X-Coordinate,STARLINK-1764 - X-Coordinate,STARLINK-31345 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-11213 [DTC] - Y-Coordinate,STARLINK-3610 - Y-Coordinate,STARLINK-30782 - Y-Coordinate,STARLINK-1764 - Y-Coordinate,STARLINK-31345 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-11213 [DTC] - Z-Coordinate,STARLINK-3610 - Z-Coordinate,STARLINK-30782 - Z-Coordinate,STARLINK-1764 - Z-Coordinate,STARLINK-31345 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-3860.9787,-3375.0187,3743.5858,-3286.8088,-3377.3982,226552.9988,197939.3867,209134.5479,214974.4267,206747.1657,210480.0237,210897.6204,211174.9859,69695297.1372,69679701.6279,69665006.4621,69672493.0159,212102.4921,69675938.9488,5439.6160,5775.3432,-5564.6350,3490.7012,-5877.2548,292892.7344,281500.0011,300588.5115,300080.5217,299620.5160,299689.3385,291175.3479,294230.6619,-61892378.6259,-61893605.1384,-61903826.6586,-61894998.6046,295522.9602,-61898807.2472,-870.1363,-1773.6695,-1770.4673,-5001.9900,-995.2662,60396.2804,57027.0685,54554.0985,62483.2344,60249.2682,49538.9066,50015.9921,55568.7933,45757518.4083,45733313.0229,45735972.2363,45762281.5471,56359.8049,45756372.1364,
3600.000,1139.7485,1808.9088,-1702.6069,2072.2099,4016.4465,146773.0745,120476.5588,129562.9423,134341.0510,125480.7660,128885.8103,130494.2020,131619.2637,83402391.3894,83389540.1632,83379044.5033,83374430.6632,131245.2458,83383790.4462,-5326.9658,-6150.6860,6447.5711,-6371.3558,2859.2791,341310.7793,322095.2670,344855.6351,342925.8965,342952.8105,343443.5941,335502.7395,340371.2295,-41682326.9972,-41681563.3695,-41696873.8256,-41692278.0973,339010.6549,-41689657.5995,-3948.4964,-2604.8430,-1915.7464,1736.9991,4747.5142,62313.4822,58608.9951,57245.0384,62536.6022,63622.1422,53702.7790,49955.8232,59250.0592,45774852.4444,45751495.3010,45749822.3359,45772808.0207,58102.4410,45770651.5218,
7200.000,3297.6598,1189.2549,-1373.4251,-502.3814,-4119.0513,56894.7210,35387.2660,41799.5276,45371.1916,36246.0011,39546.3198,41345.2720,42200.9272,91392254.2089,91380756.4708,91376348.5947,91367528.5593,42133.3777,91374700.2718,2630.3799,4235.0780,-5151.7812,6407.1962,1859.1605,368283.1720,341964.0621,366965.8355,363609.6179,364396.8771,364521.7038,358373.8499,359603.8573,-18599844.6238,-18595915.1645,-18613804.0517,-18616669.3615,360840.9041,-18607620.8964,5227.5838,5328.3155,4425.3550,2568.9397,-5155.1059,64161.9041,60180.7297,60159.5661,61630.8395,66490.3925,58780.9758,50627.9519,58578.4271,45791926.5042,45770740.3337,45764693.5748,45781809.7203,59838.8832,45784942.9917,
10800.000,-6457.6393,-4737.0955,4702.2477,-2034.5315,3731.2543,-37333.4141,-51921.1276,-48466.9334,-47573.6815,-55310.1180,-49846.3771,-50884.5727,-49995.7740,93113515.7815,93101517.2279,93103725.3008,93096235.0690,-49540.9691,93097035.0956,217.7796,-1687.3396,2775.7088,-3943.0570,-5424.5683,371775.5015,339884.2184,365533.8438,359496.7265,362807.3988,360612.9547,358081.8042,360551.6012,5771960.2411,5779152.1148,5762129.2063,5753454.3096,359653.4146,5764277.7909,-1875.4048,-4757.5227,-4281.3649,-5321.3868,1882.4439,65948.7224,61743.3917,62981.7785,60000.3493,68867.9600,63880.0766,51965.2562,63092.2976,45808560.3647,45791058.8906,45780749.2711,45791728.2189,61568.9523,45799246.5297,
14400.000,5465.9601,6804.0822,-6754.7621,4948.6318,-2007.6083,-129785.3770,-135914.8644,-135418.7856,-139826.3242,-143404.0098,-134454.0437,-140205.6168,-137317.4728,88444845.1851,88430705.6748,88438196.2072,88434472.8939,-137931.1348,88429193.8478,-2307.2983,-318.4598,-314.3063,730.7095,5964.2688,351299.4934,316013.2927,340744.0755,332205.5616,338425.5023,333715.1149,334480.6148,335060.0474,29760729.6462,29769932.4958,29757481.7894,29746312.1976,335557.9521,29753622.3880,-3171.4234,1195.9740,1537.0985,4776.8180,2700.8849,67679.1253,63298.1001,65418.8055,62479.8213,70747.6261,63225.7537,53942.5696,61718.1243,45824603.0928,45812191.8525,45798136.2454,45803443.7908,63292.4699,45813562.1194,
18000.000,-850.5548,-5923.0644,6336.4771,-6599.6307,-1461.5386,-214372.9687,-211279.1313,-213519.8357,-221051.8279,-222471.8303,-212844.7729,-220731.4952,-218007.9327,77703455.4450,77686551.7489,77696001.7970,77695884.8203,-217409.2637,77688183.5722,3944.9731,1795.9848,-1851.7183,1637.5496,-3972.2148,307967.8664,271874.6305,294301.9911,285489.8509,292888.6362,288286.3136,289011.0556,290160.4209,51719599.9038,51728563.3229,51723430.7159,51713012.7698,290124.8435,51713365.0124,5369.6908,3081.1011,2115.0595,-1317.7845,-5392.4359,69356.9205,64846.0411,67279.2510,66749.6699,72095.7949,61326.0952,56570.6936,66737.7141,45839942.8188,45833487.4933,45816922.0149,45817422.0263,65009.2587,45827889.7444,
21600.000,-3813.5216,2492.8372,-3567.4896,5512.5440,5214.7718,-285462.9576,-273248.6818,-277871.2414,-286999.5650,-287494.9080,-278572.3622,-287084.4717,-282567.7855,61623521.1765,61604612.8356,61611545.1583,61613029.9193,-282924.9704,61608091.0502,-4778.3262,-3439.8399,3885.3401,-2948.4329,1306.4505,244439.5490,210258.5375,229270.5286,220909.3656,229134.8429,225096.2429,224641.5269,226607.8002,70140231.7191,70146751.4146,70149174.3069,70141427.9266,226282.2507,70134904.3778,-2810.5529,-5465.7759,-4509.3599,-2982.8012,4236.0324,70984.9084,66388.5477,68524.4388,70609.1669,72841.9995,60374.7987,59898.7633,65026.9940,45854513.9806,45854101.8964,45836967.4974,45834049.1246,66719.1422,45842229.3883,
25200.000,5434.4718,1465.8242,-174.1894,-1922.4456,-6809.8728,-338267.9601,-317903.3280,-324488.2230,-334243.9150,-334254.9875,-326815.5802,-334749.1299,-330332.9949,41305984.9465,41286787.0710,41287519.9825,41288244.1203,-330326.4658,41289912.1806,3245.8463,5105.0725,-5534.5956,3844.5533,752.9489,164757.5208,135044.9269,149832.8100,142345.6884,151206.0932,147391.0230,145748.1680,147566.1584,83756375.9731,83759307.9422,83766327.5429,83760500.7693,148126.9624,83751720.2390,-2275.8033,4421.2917,4167.1689,5417.9268,-97.0742,72565.1191,67927.2052,69278.7308,73942.0136,72855.3351,60274.9964,64023.0067,70162.9934,45868301.5680,45873459.3252,45857754.5137,45853534.5256,68421.9449,45856581.0345,
28800.000,-3995.0416,-3979.0664,3227.4891,-2275.6890,4898.4901,-369183.7252,-342410.1407,-350500.2103,-360154.5221,-359406.0163,-354153.4862,-360292.9351,-357087.4074,18143187.2597,18125577.0202,18119142.8206,18120234.7547,-356623.7119,18126167.9881,979.2341,-5623.4085,5994.0119,-4708.9664,-2420.0825,74089.0813,50958.5777,61019.5023,54758.4862,63886.8477,59883.3281,58058.1350,61240.1204,91630874.1944,91630415.2613,91637110.2137,91629354.3962,60660.9681,91626444.9206,5310.7884,-647.4995,-1327.9515,-4544.4964,-4138.3752,74098.9663,69464.0057,69796.1508,76769.1768,71908.4745,60906.4073,69060.5173,68518.8807,45881342.0944,45891433.9632,45878344.1092,45874532.5788,70117.4922,45870944.6668,
