sl_100_5400_20251110 Coordinates.csv
2025/11/10 07:47:00.0000 UTC

Generated: Tue Oct  8 15:34:56 2024,
Start: 2025/11/10 07:47:00.00, Stop: 2025/11/10 09:17:00.00,
TIME_UNITS,STARLINK-2064 - X-Coordinate,STARLINK-4594 - X-Coordinate,STARLINK-2354 - X-Coordinate,STARLINK-4181 - X-Coordinate,STARLINK-4169 - X-Coordinate,STARLINK-31682 - X-Coordinate,STARLINK-1568 - X-Coordinate,STARLINK-30587 - X-Coordinate,STARLINK-5581 - X-Coordinate,STARLINK-2024 - X-Coordinate,STARLINK-5405 - X-Coordinate,STARLINK-31616 - X-Coordinate,STARLINK-1984 - X-Coordinate,STARLINK-2314 - X-Coordinate,STARLINK-3895 - X-Coordinate,STARLINK-32148 - X-Coordinate,STARLINK-5647 - X-Coordinate,STARLINK-5946 - X-Coordinate,STARLINK-30222 - X-Coordinate,STARLINK-1555 - X-Coordinate,STARLINK-1176 - X-Coordinate,STARLINK-6047 - X-Coordinate,STARLINK-6270 - X-Coordinate,STARLINK-5893 - X-Coordinate,STARLINK-1394 - X-Coordinate,STARLINK-3334 - X-Coordinate,STARLINK-6347 - X-Coordinate,STARLINK-4732 - X-Coordinate,STARLINK-1777 - X-Coordinate,STARLINK-4134 - X-Coordinate,STARLINK-4004 - X-Coordinate,STARLINK-30883 - X-Coordinate,STARLINK-32165 - X-Coordinate,STARLINK-5433 - X-Coordinate,STARLINK-30973 - X-Coordinate,STARLINK-31577 - X-Coordinate,STARLINK-31214 - X-Coordinate,STARLINK-2684 - X-Coordinate,STARLINK-2609 - X-Coordinate,STARLINK-31041 - X-Coordinate,STARLINK-31412 - X-Coordinate,STARLINK-31564 - X-Coordinate,STARLINK-31245 - X-Coordinate,STARLINK-3369 - X-Coordinate,STARLINK-32246 - X-Coordinate,STARLINK-31021 - X-Coordinate,STARLINK-3653 - X-Coordinate,STARLINK-31260 - X-Coordinate,STARLINK-30141 - X-Coordinate,STARLINK-6168 - X-Coordinate,STARLINK-1616 - X-Coordinate,STARLINK-2702 - X-Coordinate,STARLINK-11142 [DTC] - X-Coordinate,STARLINK-3991 - X-Coordinate,STARLINK-31248 - X-Coordinate,STARLINK-5939 - X-Coordinate,STARLINK-5536 - X-Coordinate,STARLINK-4120 - X-Coordinate,STARLINK-5161 - X-Coordinate,STARLINK-30331 - X-Coordinate,STARLINK-1750 - X-Coordinate,STARLINK-30944 - X-Coordinate,STARLINK-2603 - X-Coordinate,STARLINK-6172 - X-Coordinate,STARLINK-31707 - X-Coordinate,STARLINK-32046 - X-Coordinate,STARLINK-3394 - X-Coordinate,STARLINK-6207 - X-Coordinate,STARLINK-1028 - X-Coordinate,STARLINK-32185 - X-Coordinate,STARLINK-4437 - X-Coordinate,STARLINK-1090 - X-Coordinate,STARLINK-1208 - X-Coordinate,STARLINK-5849 - X-Coordinate,STARLINK-2193 - X-Coordinate,STARLINK-31653 - X-Coordinate,STARLINK-6338 - X-Coordinate,STARLINK-11086 [DTC] - X-Coordinate,STARLINK-30575 - X-Coordinate,STARLINK-5475 - X-Coordinate,STARLINK-31992 - X-Coordinate,STARLINK-30715 - X-Coordinate,STARLINK-31276 - X-Coordinate,STARLINK-31091 - X-Coordinate,STARLINK-11130 [DTC] - X-Coordinate,STARLINK-30303 - X-Coordinate,STARLINK-6366 - X-Coordinate,STARLINK-4260 - X-Coordinate,STARLINK-4130 - X-Coordinate,STARLINK-1098 - X-Coordinate,STARLINK-32045 - X-Coordinate,STARLINK-31083 - X-Coordinate,STARLINK-4090 - X-Coordinate,STARLINK-2504 - X-Coordinate,STARLINK-6346 - X-Coordinate,STARLINK-30299 - X-Coordinate,STARLINK-5966 - X-Coordinate,STARLINK-31917 - X-Coordinate,STARLINK-30208 - X-Coordinate,STARLINK-3911 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-2064 - Y-Coordinate,STARLINK-4594 - Y-Coordinate,STARLINK-2354 - Y-Coordinate,STARLINK-4181 - Y-Coordinate,STARLINK-4169 - Y-Coordinate,STARLINK-31682 - Y-Coordinate,STARLINK-1568 - Y-Coordinate,STARLINK-30587 - Y-Coordinate,STARLINK-5581 - Y-Coordinate,STARLINK-2024 - Y-Coordinate,STARLINK-5405 - Y-Coordinate,STARLINK-31616 - Y-Coordinate,STARLINK-1984 - Y-Coordinate,STARLINK-2314 - Y-Coordinate,STARLINK-3895 - Y-Coordinate,STARLINK-32148 - Y-Coordinate,STARLINK-5647 - Y-Coordinate,STARLINK-5946 - Y-Coordinate,STARLINK-30222 - Y-Coordinate,STARLINK-1555 - Y-Coordinate,STARLINK-1176 - Y-Coordinate,STARLINK-6047 - Y-Coordinate,STARLINK-6270 - Y-Coordinate,STARLINK-5893 - Y-Coordinate,STARLINK-1394 - Y-Coordinate,STARLINK-3334 - Y-Coordinate,STARLINK-6347 - Y-Coordinate,STARLINK-4732 - Y-Coordinate,STARLINK-1777 - Y-Coordinate,STARLINK-4134 - Y-Coordinate,STARLINK-4004 - Y-Coordinate,STARLINK-30883 - Y-Coordinate,STARLINK-32165 - Y-Coordinate,STARLINK-5433 - Y-Coordinate,STARLINK-30973 - Y-Coordinate,STARLINK-31577 - Y-Coordinate,STARLINK-31214 - Y-Coordinate,STARLINK-2684 - Y-Coordinate,STARLINK-2609 - Y-Coordinate,STARLINK-31041 - Y-Coordinate,STARLINK-31412 - Y-Coordinate,STARLINK-31564 - Y-Coordinate,STARLINK-31245 - Y-Coordinate,STARLINK-3369 - Y-Coordinate,STARLINK-32246 - Y-Coordinate,STARLINK-31021 - Y-Coordinate,STARLINK-3653 - Y-Coordinate,STARLINK-31260 - Y-Coordinate,STARLINK-30141 - Y-Coordinate,STARLINK-6168 - Y-Coordinate,STARLINK-1616 - Y-Coordinate,STARLINK-2702 - Y-Coordinate,STARLINK-11142 [DTC] - Y-Coordinate,STARLINK-3991 - Y-Coordinate,STARLINK-31248 - Y-Coordinate,STARLINK-5939 - Y-Coordinate,STARLINK-5536 - Y-Coordinate,STARLINK-4120 - Y-Coordinate,STARLINK-5161 - Y-Coordinate,STARLINK-30331 - Y-Coordinate,STARLINK-1750 - Y-Coordinate,STARLINK-30944 - Y-Coordinate,STARLINK-2603 - Y-Coordinate,STARLINK-6172 - Y-Coordinate,STARLINK-31707 - Y-Coordinate,STARLINK-32046 - Y-Coordinate,STARLINK-3394 - Y-Coordinate,STARLINK-6207 - Y-Coordinate,STARLINK-1028 - Y-Coordinate,STARLINK-32185 - Y-Coordinate,STARLINK-4437 - Y-Coordinate,STARLINK-1090 - Y-Coordinate,STARLINK-1208 - Y-Coordinate,STARLINK-5849 - Y-Coordinate,STARLINK-2193 - Y-Coordinate,STARLINK-31653 - Y-Coordinate,STARLINK-6338 - Y-Coordinate,STARLINK-11086 [DTC] - Y-Coordinate,STARLINK-30575 - Y-Coordinate,STARLINK-5475 - Y-Coordinate,STARLINK-31992 - Y-Coordinate,STARLINK-30715 - Y-Coordinate,STARLINK-31276 - Y-Coordinate,STARLINK-31091 - Y-Coordinate,STARLINK-11130 [DTC] - Y-Coordinate,STARLINK-30303 - Y-Coordinate,STARLINK-6366 - Y-Coordinate,STARLINK-4260 - Y-Coordinate,STARLINK-4130 - Y-Coordinate,STARLINK-1098 - Y-Coordinate,STARLINK-32045 - Y-Coordinate,STARLINK-31083 - Y-Coordinate,STARLINK-4090 - Y-Coordinate,STARLINK-2504 - Y-Coordinate,STARLINK-6346 - Y-Coordinate,STARLINK-30299 - Y-Coordinate,STARLINK-5966 - Y-Coordinate,STARLINK-31917 - Y-Coordinate,STARLINK-30208 - Y-Coordinate,STARLINK-3911 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-2064 - Z-Coordinate,STARLINK-4594 - Z-Coordinate,STARLINK-2354 - Z-Coordinate,STARLINK-4181 - Z-Coordinate,STARLINK-4169 - Z-Coordinate,STARLINK-31682 - Z-Coordinate,STARLINK-1568 - Z-Coordinate,STARLINK-30587 - Z-Coordinate,STARLINK-5581 - Z-Coordinate,STARLINK-2024 - Z-Coordinate,STARLINK-5405 - Z-Coordinate,STARLINK-31616 - Z-Coordinate,STARLINK-1984 - Z-Coordinate,STARLINK-2314 - Z-Coordinate,STARLINK-3895 - Z-Coordinate,STARLINK-32148 - Z-Coordinate,STARLINK-5647 - Z-Coordinate,STARLINK-5946 - Z-Coordinate,STARLINK-30222 - Z-Coordinate,STARLINK-1555 - Z-Coordinate,STARLINK-1176 - Z-Coordinate,STARLINK-6047 - Z-Coordinate,STARLINK-6270 - Z-Coordinate,STARLINK-5893 - Z-Coordinate,STARLINK-1394 - Z-Coordinate,STARLINK-3334 - Z-Coordinate,STARLINK-6347 - Z-Coordinate,STARLINK-4732 - Z-Coordinate,STARLINK-1777 - Z-Coordinate,STARLINK-4134 - Z-Coordinate,STARLINK-4004 - Z-Coordinate,STARLINK-30883 - Z-Coordinate,STARLINK-32165 - Z-Coordinate,STARLINK-5433 - Z-Coordinate,STARLINK-30973 - Z-Coordinate,STARLINK-31577 - Z-Coordinate,STARLINK-31214 - Z-Coordinate,STARLINK-2684 - Z-Coordinate,STARLINK-2609 - Z-Coordinate,STARLINK-31041 - Z-Coordinate,STARLINK-31412 - Z-Coordinate,STARLINK-31564 - Z-Coordinate,STARLINK-31245 - Z-Coordinate,STARLINK-3369 - Z-Coordinate,STARLINK-32246 - Z-Coordinate,STARLINK-31021 - Z-Coordinate,STARLINK-3653 - Z-Coordinate,STARLINK-31260 - Z-Coordinate,STARLINK-30141 - Z-Coordinate,STARLINK-6168 - Z-Coordinate,STARLINK-1616 - Z-Coordinate,STARLINK-2702 - Z-Coordinate,STARLINK-11142 [DTC] - Z-Coordinate,STARLINK-3991 - Z-Coordinate,STARLINK-31248 - Z-Coordinate,STARLINK-5939 - Z-Coordinate,STARLINK-5536 - Z-Coordinate,STARLINK-4120 - Z-Coordinate,STARLINK-5161 - Z-Coordinate,STARLINK-30331 - Z-Coordinate,STARLINK-1750 - Z-Coordinate,STARLINK-30944 - Z-Coordinate,STARLINK-2603 - Z-Coordinate,STARLINK-6172 - Z-Coordinate,STARLINK-31707 - Z-Coordinate,STARLINK-32046 - Z-Coordinate,STARLINK-3394 - Z-Coordinate,STARLINK-6207 - Z-Coordinate,STARLINK-1028 - Z-Coordinate,STARLINK-32185 - Z-Coordinate,STARLINK-4437 - Z-Coordinate,STARLINK-1090 - Z-Coordinate,STARLINK-1208 - Z-Coordinate,STARLINK-5849 - Z-Coordinate,STARLINK-2193 - Z-Coordinate,STARLINK-31653 - Z-Coordinate,STARLINK-6338 - Z-Coordinate,STARLINK-11086 [DTC] - Z-Coordinate,STARLINK-30575 - Z-Coordinate,STARLINK-5475 - Z-Coordinate,STARLINK-31992 - Z-Coordinate,STARLINK-30715 - Z-Coordinate,STARLINK-31276 - Z-Coordinate,STARLINK-31091 - Z-Coordinate,STARLINK-11130 [DTC] - Z-Coordinate,STARLINK-30303 - Z-Coordinate,STARLINK-6366 - Z-Coordinate,STARLINK-4260 - Z-Coordinate,STARLINK-4130 - Z-Coordinate,STARLINK-1098 - Z-Coordinate,STARLINK-32045 - Z-Coordinate,STARLINK-31083 - Z-Coordinate,STARLINK-4090 - Z-Coordinate,STARLINK-2504 - Z-Coordinate,STARLINK-6346 - Z-Coordinate,STARLINK-30299 - Z-Coordinate,STARLINK-5966 - Z-Coordinate,STARLINK-31917 - Z-Coordinate,STARLINK-30208 - Z-Coordinate,STARLINK-3911 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-77.2813,1688.2898,1745.6263,5535.5566,4616.5775,0.0000,4186.1552,6247.4826,2963.8336,-5730.8912,-360.8503,-2573.4103,4650.5105,5616.7953,1998.8101,-1339.5265,5532.0471,6008.9233,-1645.7798,-5445.1740,-4171.2313,-1692.8341,-286.3592,5196.3679,4351.1585,453.9126,6920.3852,2212.9851,-2446.0805,-1022.2724,3253.4257,6205.3079,3438.5042,-6442.3778,-2529.0277,3024.4175,-2688.9729,-4813.8557,-5648.7399,2083.2860,4363.9347,-5184.1584,-3199.0387,-2637.8601,-4618.5051,5658.3445,-480.4800,6312.3243,-6625.0303,3014.6479,3100.5383,-6807.4940,1889.0181,-3394.2314,-4339.3030,-3337.0747,-6416.8918,-1314.4771,-2936.6795,1915.5478,3128.5286,6875.3604,-4175.5868,-3384.6884,2018.7687,-2193.5747,-4421.7917,6580.0639,5406.5797,3678.1580,873.0094,-4610.5754,-5834.6539,1576.7923,1217.0553,-1249.7833,3894.2292,-811.9624,5621.5063,-1431.2074,3193.7193,-1569.9801,4296.1443,-2872.5419,-2658.9918,2049.1991,-676.7928,-3275.4824,-1568.8302,-6425.1537,-4118.9142,850.9696,-4479.0611,243.7904,6003.1036,3467.0479,-6903.5930,-3821.2665,-2696.5124,4277.0162,-209616.5273,-233526.4693,-213490.5116,-214364.7933,-215473.1355,-215147.1070,-223487.0142,-217636.1676,-83632190.4081,-83671154.7483,-83651259.8300,-83644272.1044,-219245.6776,-83647094.0739,5519.4853,-5914.4008,6020.5929,1164.8080,4775.4356,0.0000,1372.2453,2983.8816,-5496.8239,-1134.7711,-6227.0927,4365.7870,-139.5881,-1937.0779,6128.0508,6189.2452,-580.5183,-2355.9967,-4836.3297,-1367.8898,3978.6644,-6464.0174,6459.6631,-4599.2626,318.3654,4137.2920,457.7078,6057.8838,-6064.7195,-4030.7949,4410.1853,-2340.4601,-2262.9516,2340.7141,4448.7574,5787.0269,5456.5789,-2337.0596,-3084.9981,-6018.5982,-3597.2262,838.2858,-5388.3661,3661.4132,-1547.8116,-3825.6526,-4241.5052,2617.2727,500.8155,4669.8907,-3782.5109,-173.3177,-3933.4002,-3627.9529,3406.8578,4044.5004,1610.0115,6780.1026,-3400.7246,6644.2973,-3689.9286,916.8368,2926.5532,5497.7263,6437.4444,3454.1488,-4339.7406,-2040.5275,-3029.3822,-2780.5289,1272.2612,-1034.5068,3640.0437,1919.3255,4064.9125,6508.2886,-4011.4226,-4725.3056,3999.4342,-5534.5713,3998.5928,5898.2637,-3111.2462,-4304.4440,-5741.5055,3678.2442,5210.8240,-5279.2409,-3829.9688,882.0445,-739.7549,5562.8597,2695.0573,6750.0833,364.6922,3740.5589,550.4231,-5000.4279,4817.2282,5239.9223,-264976.2399,-242373.0155,-254455.4516,-258945.5770,-250538.8764,-253810.0475,-255484.6747,-256267.9906,325972067.2968,326022596.9935,326007874.3078,325978419.5366,-256190.4116,325985046.0447,4154.0094,3157.2001,-2866.7412,3964.2595,-1935.0350,0.0000,5308.7885,402.2983,3083.6044,-3712.7014,3028.2600,-4578.6844,-5153.9677,-3519.1563,-2501.5152,2568.6461,4129.4211,2527.8714,-4695.5616,-4051.0640,3825.3441,1896.3990,2499.8610,-491.3947,5365.4615,-5537.9601,43.8165,-2510.3815,1957.1791,5515.8721,-4223.7177,1976.5380,-5400.4827,-915.3561,4664.1537,1082.0609,3144.4749,4357.6855,-2484.8973,2516.5973,3809.4300,-4343.2865,2686.6006,5224.2996,4891.7468,-1195.0776,-5438.2269,-208.2612,1989.3183,4138.3428,-4796.5394,1202.9284,-5122.9238,4802.4338,4078.4477,-4539.5402,2070.6678,-362.2586,-5262.3681,489.8197,-4941.9066,348.0859,4649.4551,2519.6884,954.6515,5445.9214,3052.6844,795.0795,3044.5559,4798.7450,6747.0280,4979.7311,658.7045,6475.1984,-5465.4074,1268.4837,-4102.0784,-4740.4974,-715.4884,-3957.3957,4514.1960,3114.7880,4342.0084,4408.6226,-2312.5029,-5397.5705,4516.7390,-3035.6493,5527.8737,2400.5806,-5437.2740,-3927.2033,-4528.4633,-1439.2606,3446.1364,-4703.6734,303.0508,2608.1112,4181.0169,1367.5510,159801.3101,159087.5437,157241.6907,163944.4051,162974.1030,152298.0283,151602.2569,159246.0168,-132227882.0906,-132215023.8046,-132234348.6912,-132221494.2900,158505.4372,-132222703.9230,
300.000,1527.2233,56.8573,2776.5291,6438.6890,5623.4998,0.0000,4083.3049,6508.1665,1622.1021,-6563.7452,-2007.9382,-507.7397,-5080.6752,5651.6890,3318.1032,173.2211,5627.9919,4655.4114,-3624.3140,-4716.9102,-3574.4413,-2107.7814,1310.5465,4410.4708,4835.6725,2574.2719,6694.6855,3128.0251,-3325.3939,-3014.6691,4882.8286,5743.2700,2324.2999,-5931.3279,-1380.3467,3828.8299,-739.7903,-6092.4333,-6530.5028,953.9984,2496.6318,-5061.1499,-3855.0854,-1341.6785,-4193.1744,4751.2578,-2487.9534,6400.3203,-6604.4586,4780.2674,2123.0192,-6810.6784,289.3551,-3949.9803,-3877.7709,-1365.3628,-6145.7617,-92.8749,-4715.6207,3286.8903,1057.0083,6664.2044,-2266.7312,-1568.9091,3429.3579,-321.9813,-4646.2932,5648.6176,3823.0597,1689.2925,638.3366,-4036.0516,-4755.9468,2750.6826,3088.0048,395.1835,1950.7684,-2679.2956,6342.9010,-2407.8879,3819.3825,58.0971,3297.5582,-4666.0602,-3947.7968,3612.4855,1325.3573,-3900.8499,-3511.1865,-5338.3098,-4629.8010,2598.3874,-2638.9293,1471.0940,5232.1316,4964.9095,-6518.2939,-5254.5688,-610.7200,4796.7441,-204068.4309,-228406.2689,-208051.8965,-209024.5244,-210086.2939,-209733.5382,-218032.3131,-212507.5537,-90727721.6307,-90767632.7369,-90747463.6475,-90739365.3332,-213857.6254,-90742720.4789,4392.1819,-5281.2818,4672.8704,-178.0914,4024.5111,0.0000,-797.3065,1451.6592,-6540.9810,180.4570,-5266.2391,4271.2401,-3840.2152,-3453.3043,6015.8809,5525.3997,-2509.9587,-3578.9192,-4106.8768,422.6626,5448.2814,-5413.5938,6724.3133,-4736.4808,-1681.2800,3865.7165,-1049.9025,4726.7281,-4803.4850,-3163.5128,3996.5113,-3833.3601,-4089.7332,3435.5940,5844.9093,4611.3928,5430.7115,-1173.0202,-2090.7779,-6738.4711,-4496.2149,2862.1911,-3841.7312,5185.8834,514.5756,-5036.7330,-3401.5933,1345.9698,2062.3746,3881.8863,-5382.4528,1044.2622,-5195.0806,-1616.8810,5002.8749,4891.1685,3156.2929,6760.5489,-2471.8252,6013.6609,-4089.6034,-617.2096,3707.5578,5660.8723,5859.2660,4539.4526,-2624.1003,-3328.1342,-3731.6800,-3653.6237,3415.7843,1020.7452,4395.7495,47.2723,2955.7029,6178.3567,-4768.8318,-5029.9619,2676.9302,-6180.5411,2037.0058,5232.4101,-4861.4234,-3297.7181,-5429.7622,2147.1735,5622.6374,-3674.5036,-2899.4303,2057.2573,1314.0705,4438.9214,3551.3406,6736.1463,-1457.7240,2248.9336,2014.9028,-4172.6132,5080.5411,3923.3320,-269189.8508,-247207.6308,-259146.9299,-263536.3477,-255081.8466,-258325.8082,-260098.4937,-260638.9385,324067732.1510,324117817.6265,324103244.0209,324074476.7280,-260769.5978,324080694.1789,5106.8795,4458.2503,-4239.9234,2500.5230,-151.6958,0.0000,5502.2262,1899.8902,1764.2128,-2188.4573,4036.5517,-5305.4040,2749.6478,-1950.7143,-767.6157,4014.0286,3168.5187,3680.5355,-4259.1469,-5050.6825,2329.9170,3802.9652,1072.4542,-2556.0483,4650.3786,-5140.3505,-1483.1785,-3972.6879,3525.8926,5350.0358,-2837.7397,484.7552,-4896.7189,901.7697,3449.1754,2801.8383,4102.7082,3026.1192,-751.9396,779.8282,4475.2659,-3553.7504,4103.4441,4356.7250,5458.9334,344.2438,-5480.6418,-1995.5718,500.3012,3181.6850,-3666.6032,-607.4193,-4266.7758,5432.5756,2651.7938,-4723.5393,589.5167,1445.7774,-4419.6686,-1053.0251,-5476.0311,1849.1258,5358.6245,3674.4911,-602.9953,5069.5268,4381.9718,2255.4257,4371.2893,5297.6966,5987.1302,5457.1819,2399.5064,6367.2657,-5441.0017,2678.0554,-4640.8239,-3601.2845,829.8434,-2078.8813,5273.9878,4421.5483,3536.0396,3685.7880,-540.8793,-5403.8943,3828.5326,-4370.9729,5192.0491,3881.4957,-4889.9468,-4542.8807,-5316.1424,366.3849,4304.7010,-4292.3148,-1234.9296,1190.1699,4665.2299,3031.1421,159705.2558,159014.7828,157268.3523,163758.0481,163052.8259,152427.2289,151382.6219,159578.9714,-132230703.1568,-132218279.3728,-132237670.9809,-132223909.8861,158447.1393,-132225763.4244,
600.000,3026.1850,-1619.1736,3576.9367,6708.3214,6069.6426,0.0000,3634.7135,6147.5072,142.3717,-6751.9534,-3494.6556,1626.6875,3186.8484,5136.7269,4299.3142,1707.7783,5203.8608,2853.7070,-5258.8442,-3564.8985,-2647.9095,-2358.1525,2770.7442,3156.9877,4886.9826,4440.1005,5822.2982,3777.9775,-3900.7016,-4727.7701,6016.2536,4724.4947,1018.9649,-4824.7221,-133.2451,4229.2352,1303.2267,-6768.0919,-6755.0133,-264.1090,381.1648,-4454.2646,-4157.3661,42.7663,-3407.2052,3381.0607,-4272.5439,5838.3547,-5946.4420,6079.7672,969.9591,-6135.5512,-1300.2532,-4174.2954,-3049.9103,723.3318,-5282.0421,1154.2154,-6036.2855,4349.1963,-1117.3567,5813.8636,-141.5809,417.9781,4494.5974,1547.3564,-4453.0685,4166.5520,1852.2911,-472.0946,250.2436,-3109.2712,-3189.9115,3715.0175,4683.6342,2023.0399,-175.4564,-4235.0305,6453.7580,-3115.7403,4110.9682,1719.9582,2003.0359,-5985.3121,-4805.0785,4849.1526,3179.8386,-4187.6288,-5122.8979,-3727.8974,-4720.7682,4119.9204,-548.2120,2555.3491,3982.7247,6006.2777,-5499.9505,-6144.8472,1538.3674,4865.8272,-198438.0307,-223185.2205,-202520.9501,-203590.4086,-204606.4820,-204229.0717,-212479.1623,-207398.4149,-97779976.1108,-97820825.2937,-97800378.9220,-97791232.5805,-208373.8824,-97795069.7221,2861.9795,-4155.1160,2860.8473,-1476.2023,2874.3053,0.0000,-2893.1849,-237.0631,-6961.1898,1454.0270,-3814.8793,3795.4100,6110.6924,-4608.3061,5308.6305,4315.4910,-4179.5081,-4490.4400,-3021.7366,2209.4123,6368.8993,-3805.6034,6341.0553,-4420.4144,-3489.5934,3270.7265,-2470.1064,2925.5915,-3039.3146,-2038.5004,3216.0067,-4948.9867,-5508.1168,4197.3650,6670.7965,2899.4706,4893.8518,74.4932,-895.0242,-6766.7752,-4980.9135,4582.0438,-1887.1528,6212.0555,2548.2206,-5761.7767,-2281.3044,-84.8614,3419.7954,2748.2968,-6436.6124,2164.7213,-5923.9922,550.2205,6079.0431,5308.5059,4391.8216,6070.1688,-1347.0248,4796.8469,-4145.7507,-2109.1540,4178.2661,5305.0985,4679.4214,5199.6975,-627.3294,-4314.8137,-4110.6839,-4178.1678,5182.4749,2997.4490,4736.7318,-1782.9864,1607.3771,5207.5468,-5109.7901,-4828.9279,1088.0948,-6211.4307,-130.8950,4063.3469,-6128.1594,-1988.1078,-4535.2121,441.1569,5521.2332,-1696.8796,-1735.8061,3071.2741,3210.9589,2901.0921,4114.6602,6047.4290,-3169.5204,574.7540,3295.8724,-2928.4112,4895.7432,2196.5594,-273285.8463,-251934.8893,-263725.3493,-268014.6597,-259513.4725,-262728.5214,-264596.3115,-264920.8705,322008972.4606,322058589.0501,322044166.1699,322016186.1835,-265235.5507,322021913.9547,5508.5342,5278.6863,-5152.3557,766.4579,1647.9807,0.0000,5099.8978,3194.1118,258.5841,-428.8070,4613.3278,-5440.3278,819.5131,-170.8931,1049.1802,5011.2335,1868.1302,4439.2195,-3368.7004,-5509.0273,583.7315,5304.8435,-469.7606,-4350.1824,3435.1086,-4192.8821,-2851.6380,-5008.3236,4699.4035,4607.2099,-1146.2798,-1059.2107,-3836.8707,2621.4863,1864.1922,4177.5061,4605.8007,1366.6207,1062.7435,-1043.5259,4638.5721,-2364.2227,5059.0475,3018.0141,5435.8981,1846.6717,-4933.5244,-3560.3203,-1042.2255,1884.4435,-2130.4041,-2352.2882,-2912.4527,5477.0888,932.6417,-4403.6138,-954.7652,3097.7171,-3102.1070,-2483.1494,-5421.6807,3153.0703,5487.7277,4435.7270,-2092.7186,4123.1519,5237.4187,3474.3751,5224.9484,5155.6492,4586.2286,5334.9437,3880.5433,5582.0262,-4832.7123,3776.7049,-4684.1876,-2043.6169,2286.3375,20.3847,5443.6675,5238.9159,2339.2627,2545.4681,1293.8623,-4811.5856,2730.5683,-5235.8208,4295.6861,4944.0185,-3804.1236,-4658.3419,-5532.5425,2132.2848,4702.8238,-3423.2594,-2640.7058,-361.9638,4649.4045,4365.6179,159608.8360,158941.8789,157297.1470,163566.4371,163127.7958,152562.1472,151168.4613,159821.8623,-132233521.7343,-132221534.9955,-132240990.3858,-132226343.5176,158388.7300,-132228822.6706,
