TIME_UNITS,STARLINK-6074 - X-Coordinate,STARLINK-30081 - X-Coordinate,STARLINK-2427 - X-Coordinate,STARLINK-11244 [DTC] - X-Coordinate,STARLINK-3894 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-6074 - Y-Coordinate,STARLINK-30081 - Y-Coordinate,STARLINK-2427 - Y-Coordinate,STARLINK-11244 [DTC] - Y-Coordinate,STARLINK-3894 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-6074 - Z-Coordinate,STARLINK-30081 - Z-Coordinate,STARLINK-2427 - Z-Coordinate,STARLINK-11244 [DTC] - Z-Coordinate,STARLINK-3894 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
32400.000,-188.7067,-5408.7559,5572.2781,-643.4608,6702.4298,-108811.2346,-90298.5719,-94841.6620,-94971.5659,-100084.3620,-96755.7634,-99012.5376,-98614.2625,-146455576.9300,-146448479.2536,-146442943.8169,-146472498.3451,-98714.4314,-146467809.6590,5415.7973,47.5667,1129.3939,-6552.4307,-1345.7454,372872.6978,386471.1076,389067.1174,379139.4225,385723.5086,385330.4645,383914.6393,383461.6070,82072120.6082,82095387.9821,82088339.9967,82088557.1555,384556.2779,82082964.5499,-4335.6102,4329.2555,-3954.9775,-1324.3928,1055.0632,54747.2872,51193.4318,50882.8982,59721.1025,50723.8548,42828.4295,54801.0545,53888.2999,72041145.4999,72022442.8000,72053918.3910,72043649.7930,52426.6150,72053399.0642,
36000.000,-3006.5039,3794.7179,-6893.7337,2927.1053,-5514.1775,-197914.3587,-186647.6897,-187772.1852,-188945.4750,-189178.8503,-189950.2625,-194984.2461,-192988.8763,-162785288.6358,-162783298.5213,-162774699.0010,-162804888.9986,-192557.7169,-162796960.9451,-6023.7120,-3814.5550,645.3982,3264.2677,2666.1715,334275.1219,348706.4014,350747.1214,342525.5242,349792.3070,347531.1605,350847.8508,348264.1264,41310470.7759,41336051.4611,41334860.6193,41320857.9430,347574.8579,41322044.3071,1661.1790,-4381.3737,-74.2461,5074.6180,3205.3355,52719.1487,49697.9244,48623.2863,58207.5893,50198.3058,41504.1290,50485.6541,49241.8729,72052882.8805,72033763.0701,72061729.0480,72058618.3452,50806.0615,72065015.1160,
39600.000,4727.8169,-1809.4517,5199.3308,-4930.5254,1831.5184,-274651.8540,-271397.5071,-268635.7789,-270818.9837,-268748.8770,-270553.1716,-277455.1846,-273534.4937,-167991483.6115,-167994577.0799,-167986146.7183,-168007190.5674,-274124.3959,-168003090.3301,4662.8860,6454.7760,-2136.2910,1678.9275,-3799.2841,275092.6563,286878.0466,289702.0509,283303.3611,290663.7109,287663.1447,291709.7775,287750.1644,-2306419.0919,-2280384.9199,-2275288.7588,-2300843.9220,288089.4011,-2293902.7185,1993.2513,1768.1353,4032.3272,-4241.8762,-5487.2136,50646.6265,48568.1365,46944.4258,56165.2329,51116.0376,40834.2950,45299.8794,50873.8187,72065389.7063,72045413.9588,72069627.6274,72076598.7433,49181.2810,72076614.9033,
43200.000,-5149.5056,-376.9897,-1457.3518,4805.4075,2307.6712,-334510.9905,-340950.6419,-332217.8793,-335285.6009,-332081.5902,-333591.3795,-341493.4333,-338600.3424,-161710201.8315,-161717713.6751,-161712411.8965,-161718763.3455,-338122.7586,-161722278.7111,-1303.0675,-6657.9903,3913.8370,-4667.2920,4869.7729,199083.4418,208266.6627,209925.0134,205261.0337,212926.1019,209624.2477,212829.6605,209721.5057,-45797156.5588,-45772394.0365,-45761955.6699,-45786866.7632,209904.2884,-45783757.3568,-4466.9287,1892.3177,-5526.3411,-464.1334,4329.2363,48528.6169,48213.2296,45860.9460,53522.8958,51589.4104,40870.7806,41071.2678,45858.1412,72078607.2201,72057451.7435,72077727.1316,72093927.8859,47552.4095,72088198.4106,
46800.000,4740.1343,2918.6359,-2208.9552,-1309.1073,-4793.8710,-374128.1015,-386651.6673,-374460.9400,-378231.3200,-374314.7086,-375355.7479,-383164.8196,-380102.4427,-144363023.3140,-144373700.6916,-144373716.1767,-144372248.1007,-380387.4881,-144376006.4306,-2766.5551,4472.9481,-5482.9852,4576.1883,-4962.0939,110931.7400,117848.6555,116582.1560,113505.2581,121474.3524,118323.0280,120218.3090,118501.5347,-86186890.2284,-86164757.7604,-86151029.8703,-86166249.9218,118039.9569,-86172925.9237,4230.9566,-4430.1206,3596.9012,4725.2162,-492.0117,46365.9092,47171.3404,45226.8191,50148.4075,51535.5985,41712.8059,37688.2666,47652.7973,72092429.5850,72069945.3704,72086136.4848,72104808.4230,45919.5829,72099765.6227,
50400.000,-3652.0647,-5329.4299,4179.5506,-3814.4612,5068.5687,-391537.0211,-406966.8068,-392682.1152,-397143.1101,-392358.8822,-393818.9471,-399966.0948,-397942.4454,-117128766.5719,-117140921.4104,-117147317.6028,-117145360.3543,-398151.3344,-117142877.8477,5713.8432,-1157.3003,5492.7078,-2881.0110,2946.9293,15873.7227,18290.6166,15658.0286,14330.5704,22109.3193,19176.4376,20212.5088,17695.1913,-120710831.1253,-120692097.9278,-120677818.6795,-120685734.1753,18410.3100,-120696794.0605,-1463.6988,4273.5220,527.2604,-4719.7280,-3677.1855,44169.2633,45773.6155,44774.5321,45817.3613,50979.8820,43471.3222,35033.9930,42666.7088,72106710.7369,72082979.6812,72094965.7152,72111850.2990,44282.9371,72111316.5244,
54000.000,1517.9738,6516.2555,-4476.9130,6649.0340,-4031.8964,-386487.5062,-401089.2748,-385700.5227,-391388.7263,-384825.8586,-389585.2232,-391009.1949,-390785.5826,-81863353.1647,-81875119.7786,-81887661.9797,-81887109.3933,-390226.7720,-81878542.0137,-6400.2412,-1799.0274,-3001.2734,837.4668,956.1181,-80961.3692,-83815.1355,-86412.9210,-83932.0125,-78792.4500,-82854.3208,-80602.8180,-81878.6803,-147003533.3600,-146988214.3047,-146976287.8410,-146981389.2747,-82558.3693,-146989961.6357,-2208.9829,-1553.5043,-4351.2475,408.3492,5529.6691,42017.4957,44231.3034,44186.8157,40939.4067,49937.0615,45017.2150,33044.4472,44219.2260,72121273.8437,72096658.5812,72104330.6754,72118504.0470,42642.6083,72122851.1002,
57600.000,1630.7988,-5429.9584,4051.3980,-4932.4078,2840.2047,-359384.4920,-369360.3992,-353894.3833,-359317.7774,-352051.6590,-360348.5336,-357053.1549,-355993.1983,-40973293.8663,-40982976.7099,-41000158.2806,-40999837.8135,-357085.6861,-40989250.2545,4985.2811,3756.8990,-1216.2730,1610.7736,-4917.2441,-178046.9364,-181686.0361,-183115.1841,-174972.3644,-174708.6628,-180783.4151,-175734.4624,-178803.0838,-163260969.2460,-163248273.0784,-163241216.9782,-163246135.6118,-178342.4198,-163248305.8685,4527.7117,-2128.4778,5471.6563,4250.9136,-3954.1732,40845.9354,42608.1778,43181.7086,40391.7648,48400.0405,40677.3568,31696.9864,39655.9089,72135922.7558,72111106.1404,72114357.4110,72126221.7063,40998.7325,72134369.3349,
61200.000,-4930.6581,2166.3204,-3528.4874,368.8272,-1574.2885,-301704.9803,-313701.7636,-299197.1630,-303429.1428,-296059.6310,-304437.5975,-300420.9436,-302125.9119,2748569.1801,2742099.1572,2722834.2227,2724880.0294,-300831.7179,2732333.6806,-2597.0030,-4799.7456,5000.2645,-4387.9123,6735.9530,-267887.3923,-268842.0898,-268225.0720,-257378.2249,-259417.0209,-266089.3384,-259169.4958,-262639.4715,-168364292.2677,-168352740.1863,-168352160.4850,-168357057.3312,-262742.8804,-168352769.2170,-4135.9647,4501.6601,-3241.6714,-5073.3745,-111.0433,40645.3155,40932.1812,41588.1584,41286.9314,46334.9935,35469.2944,31004.8130,40588.9629,72150454.7087,72126459.6857,72125185.8258,72135736.5303,39351.4458,72145871.2132,
64800.000,6822.2581,1898.0134,2406.1288,3433.0382,-401.7216,-221631.7539,-237578.9525,-225022.4557,-228114.5475,-220435.5710,-227977.5131,-224806.5758,-223578.0153,46313843.0537,46310778.7370,46292629.7856,46297350.6599,-225066.8570,46297867.4605,171.3849,5208.3177,-6414.4482,5627.1192,-5562.9200,-337285.5177,-339500.1705,-336192.1732,-324259.0881,-327430.2550,-333670.4410,-325754.4864,-329832.1738,-161956801.0773,-161944564.3649,-161950708.4111,-161953653.3843,-330287.2962,-161946378.6776,1232.5809,-4173.2448,-1011.4229,1269.9859,4082.2762,39913.1837,39218.3163,39391.9001,41738.4295,43670.7793,31219.2265,31019.7898,36790.7660,72164673.4527,72142839.7237,72136971.2559,72147633.3263,37700.8845,72157356.7199,
68400.000,-6198.8605,-4962.2155,20.2652,-4529.4655,3302.8102,-126832.9522,-145804.4385,-136094.6664,-138121.0543,-130135.1957,-136827.0308,-134965.7628,-135997.9593,86742848.3669,86742232.8232,86728448.9817,86734109.0361,-134660.7331,86727581.2255,1977.9782,-4663.5201,5152.0667,-3326.2014,2536.5515,-382662.9998,-388940.8511,-382517.6049,-370527.1376,-374409.6016,-379371.6295,-371554.6498,-377490.9174,-144468818.4958,-144454291.7111,-144465730.1186,-144463870.0799,-376585.1628,-144459195.9786,2391.9842,1304.4082,4615.2585,3664.2298,-5527.5448,38900.9932,37475.7265,36739.3154,41663.5484,40275.2221,27815.5513,31841.1475,36799.6128,72178401.9624,72160266.8034,72149880.1641,72162498.9976,36047.1848,72168825.8397,
72000.000,3300.5659,5958.6771,-3485.9779,3731.6378,-5940.8374,-24182.4116,-44236.3459,-38167.5853,-39161.0695,-31362.1996,-37231.8395,-36222.2636,-34383.4777,121268403.4256,121268283.9213,121261328.1849,121261832.7984,-35437.3895,121254085.4592,-4020.1170,2665.3589,-2591.2435,-1784.1997,450.6934,-401720.2613,-413815.8150,-404094.0987,-392837.2632,-397588.4293,-400436.1341,-394285.2592,-397184.5572,-117088761.2588,-117071272.0375,-117084836.5510,-117077331.0215,-398613.8794,-117079455.7491,-4595.0514,2330.9045,-5395.7119,-5293.6175,3507.7527,37716.4232,35710.4982,33898.2392,41087.5825,35923.9275,25141.3983,33579.8091,34019.0103,72191493.8995,72178503.1956,72164070.8861,72180364.8753,34390.4829,72180278.5573,
75600.000,425.7863,-5157.4885,6309.2443,-2215.8980,6488.8058,79311.4801,60597.8012,62364.0231,62411.3907,67577.6313,64247.8960,66494.0991,65612.4023,147525194.6130,147523346.6815,147523808.5639,147511350.0457,66200.2959,147511795.8383,5635.0914,770.6929,259.7861,5977.9361,-2294.4594,-393733.1201,-412370.6724,-399458.1304,-389531.6718,-396073.2125,-395707.1919,-394275.0929,-396578.1788,-81682354.8071,-81662641.8477,-81673961.8614,-81668185.6450,-394916.5451,-81672828.0342,4011.6803,-4578.0801,2832.3740,2097.9860,678.5191,36409.2091,33926.9635,31186.2172,40025.3341,31027.2727,23132.7786,35105.6885,32907.8374,72203843.0893,72196920.1838,72179640.6993,72197484.2509,32730.9151,72191714.8575,
79200.000,-3367.6756,3432.0699,-6631.9982,-54.4158,-4097.7090,176787.6478,161925.1152,158924.3712,160029.0852,160323.1120,161075.8800,166139.7115,163706.9876,163711781.4332,163706776.5995,163712505.2397,163691597.8970,163684.2924,163699009.2221,-5976.7090,-4460.3385,1343.4410,-6011.0874,3341.8926,-359673.8927,-384565.9431,-368908.9156,-360679.9961,-367945.3236,-365677.2636,-368951.2630,-363887.9430,-40665491.4165,-40645438.1413,-40650458.2057,-40657495.5902,-365698.6250,-40655290.9399,-1029.3494,4041.9353,1453.8943,2980.6628,-4465.4393,35006.9215,32128.3779,28885.4407,38469.7058,30462.4380,21767.0580,30746.2736,31278.3564,72215390.3960,72214672.6635,72196511.9193,72208131.9087,31068.6176,72203134.7251,
82800.000,4860.3366,-1447.0546,4040.2260,3285.2342,-109.9838,261923.7838,253170.4603,245230.7601,247360.1912,245352.7464,247130.9613,254068.5032,251194.6250,168714150.4500,168705979.5633,168712484.6874,168695548.3842,250706.4390,168701526.4241,4217.3196,6696.1970,-2822.4968,2334.8296,-4252.2002,-302150.9338,-332086.6931,-314473.4831,-308059.0024,-315437.5429,-312421.7674,-316408.3638,-314459.1443,3160602.0598,3178895.4589,3181874.9238,3162055.8997,-312817.0488,3171724.1190,-2596.6726,-1082.4703,-4867.7836,-5374.7480,5445.9615,33526.6882,30317.3056,27167.1569,36386.8700,31339.9413,21057.4471,25520.8255,28983.6464,72226127.5511,72231158.2868,72214258.9692,72215006.0229,29403.7267,72214538.1447,
86400.000,-5112.5686,-835.9128,-16.1145,-5787.5686,3822.9348,329313.2409,328389.0916,315722.4796,318750.3852,315612.1225,317093.1051,325022.8101,320666.8601,162182354.0742,162172230.3200,162174693.9217,162169458.6057,321627.2594,162169339.6811,-619.9028,-6396.1084,4489.5181,1815.5099,4893.9779,-225224.7544,-258239.1113,-239730.3576,-235043.0474,-242735.7915,-239421.7648,-242558.1664,-238309.0053,46800643.8315,46815699.0500,46824953.6408,46800549.4682,-239662.2795,46812665.6708,4635.4779,-2554.4290,5261.4298,2870.4536,-3050.8577,31979.9771,28495.8543,26045.8111,33705.6818,31774.4674,21055.8181,21254.2043,28503.8252,72236097.6881,72246227.2046,72232015.9040,72221521.0539,27736.3786,72225925.1012,
