sl_5_86400_20250804 Coordinates.csv
2025/08/04 07:47:00.0000 UTC

Generated: Tue Oct  8 16:57:57 2024,
Start: 2025/08/04 07:47:00.00, Stop: 2025/08/05 07:47:00.00,
TIME_UNITS,STARLINK-1500 - X-Coordinate,STARLINK-11250 [DTC] - X-Coordinate,STARLINK-30772 - X-Coordinate,STARLINK-30809 - X-Coordinate,STARLINK-30961 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-1500 - Y-Coordinate,STARLINK-11250 [DTC] - Y-Coordinate,STARLINK-30772 - Y-Coordinate,STARLINK-30809 - Y-Coordinate,STARLINK-30961 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-1500 - Z-Coordinate,STARLINK-11250 [DTC] - Z-Coordinate,STARLINK-30772 - Z-Coordinate,STARLINK-30809 - Z-Coordinate,STARLINK-30961 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-3119.7794,2097.7599,-3679.0535,-2685.9644,3761.2870,346501.6679,366165.6822,357029.3987,352112.4748,360519.9615,357079.3973,356498.8226,356072.3330,103185239.3924,103212831.7530,103162670.0941,103181924.7910,355289.8129,103172502.9368,-2855.1688,-5055.8782,3780.7111,-4785.6135,3823.4173,-1116.2461,8376.4676,-11227.0972,-10052.9945,-9826.7390,-9819.5668,-1317.5792,-3939.9076,302370591.2327,302371057.7225,302353472.1586,302353982.7776,-5521.8658,302356033.4359,-5482.8118,-3892.0869,-4494.8735,4225.6612,4387.3259,-181825.7842,-183337.1783,-186096.0479,-178941.7734,-180344.5521,-191054.7179,-191344.4652,-184711.9574,6581565.7685,6555050.4272,6586353.7853,6579826.2281,-184628.6510,6574990.5255,
3600.000,5353.5162,2793.4531,-64.9918,5658.7348,-5425.7676,333479.4842,353057.3913,345426.1059,341751.8186,350646.6364,347543.2990,345908.2545,344778.0807,21318502.2229,21339908.9100,21302560.6418,21317534.6638,345063.7205,21305959.2293,-760.7653,3147.0819,-5531.8098,3738.6498,-84.9299,84237.1340,99974.4967,77282.7473,79577.9578,79228.8843,78992.6512,86727.0749,81629.3683,318812769.6929,318820813.8506,318791684.6415,318801853.3640,83401.8961,318797082.7036,4311.7128,5218.9644,4157.1043,-1442.2679,-4326.4921,-181740.2262,-183847.5858,-185398.2488,-181151.1301,-179235.2122,-188861.2770,-193379.6502,-184711.7098,6519576.2719,6493981.6789,6530849.8710,6516438.3220,-185006.1096,6515838.3246,
7200.000,-6168.7802,-6407.9325,3141.0118,-6366.9793,5975.8363,300391.3746,317327.0529,311959.6966,309699.0896,318669.2228,315406.6381,313942.9462,312674.7549,-62021713.7554,-62007807.3838,-62029826.3697,-62025677.3498,312968.1204,-62033553.5680,3098.5494,-836.5023,6039.8411,-1593.7730,-3111.7641,163133.9700,185360.2454,160855.6119,164443.2542,163022.9549,163454.7272,169178.0404,168483.4207,313479770.3466,313493204.4195,313458867.9632,313473313.1051,166863.1807,313463134.0703,-490.6569,-1820.1431,-1282.7316,-2240.0611,1639.3022,-181759.4867,-184354.7197,-184580.2752,-184292.2263,-178607.2842,-185738.6450,-194677.3473,-186033.5967,6457327.6017,6433014.0564,6473440.6739,6452791.8860,-185368.4862,6456669.0275,
10800.000,4337.5964,5693.0407,-4772.6209,4978.7744,-4576.1476,249454.6002,261297.3423,258715.8460,259806.6742,266700.4136,260543.4224,262678.0231,261823.3738,-141142246.1574,-141136485.8448,-141143829.7926,-141151869.5897,261083.0958,-141153028.4237,-3967.0654,-1432.6727,-4410.8706,-1601.4768,4802.9207,231108.5915,259048.6449,234193.4868,240587.8607,236093.3282,239330.6704,241079.7126,238159.9945,286731114.6069,286747626.6745,286714335.2068,286725050.3513,239582.0881,286713937.4499,-3659.3236,-3262.2803,-2403.7234,4539.7406,2014.5317,-181855.5245,-184856.1172,-183958.4157,-187562.5699,-178445.4568,-183328.8658,-195296.7624,-184876.6103,6395019.2030,6372163.3964,6414345.6154,6389995.6893,-185715.7382,6397482.6526,
14400.000,-329.5873,-1289.3162,5108.5060,-2621.7658,1200.0347,183864.2938,188589.5265,189061.6767,195161.4681,198114.6914,188946.4968,195280.4609,191718.5969,-210636920.7164,-210639322.1130,-210635019.7084,-210651367.0698,192737.8957,-210646539.1462,4150.0531,3830.1504,843.3681,4941.0241,-5167.5079,284315.9763,316328.8661,292597.5573,300582.6386,293742.0046,298971.8982,298074.7664,297862.3927,240389488.5434,240406811.1906,240379463.5783,240379111.0128,296971.0365,240372300.5939,5519.4671,5348.6247,4589.7250,-4101.8544,-4474.9498,-182011.0590,-185349.7595,-183792.3482,-186281.5536,-178757.3734,-186818.4401,-195256.7541,-187214.0307,6332853.2832,6311447.3217,6353912.1326,6328897.7671,-186047.8241,6338279.2182,
18000.000,-3797.7784,-3164.6853,-4669.4921,212.2057,2861.5238,107624.3811,103883.5228,107461.2810,116207.9381,117316.5509,107739.3138,115847.5171,113452.7039,-265755983.6102,-265765995.2669,-265754414.0769,-265771075.0806,112297.1828,-265764607.6973,-4201.8097,-5324.7451,3230.7861,-6831.0830,4692.8207,319762.8893,353563.6221,332305.1986,340057.1514,332306.8648,337238.7435,336656.3343,334932.9770,177616560.2156,177632608.8586,177614123.1590,177598917.4619,335423.5654,177599874.5355,-3981.5540,-2591.5414,-3972.8640,1154.6448,4220.2166,-182214.5956,-185833.9215,-184215.5359,-184093.9102,-179577.9385,-190589.8170,-194540.4884,-185077.5499,6271021.7176,6250885.6914,6292478.3978,6270432.2744,-186364.7033,6279058.7427,
21600.000,5939.5283,4874.4005,3429.8438,1955.0242,-5780.3272,25326.5796,12610.9629,19183.9999,29164.7890,29427.1283,20673.0411,29172.3908,23935.0008,-302730773.9664,-302747353.5480,-302733206.8458,-302740683.1598,24882.3202,-302738804.4245,3553.7330,3850.8131,-5949.4750,6170.6878,-3555.4818,335482.2101,368417.6040,350777.8169,357788.8924,349382.2564,353731.1386,354348.7499,352478.3754,102697270.9025,102710260.0560,102701446.8827,102674175.6373,352540.3338,102681449.2835,-45.8032,-2551.5090,893.9618,2471.7097,-1440.5268,-182458.0808,-186307.0642,-185199.4490,-182381.7256,-180980.0834,-193382.6410,-193091.8425,-188194.5761,6209693.6242,6190501.1617,6230330.1047,6215651.6202,-186666.3362,6219821.2442,
25200.000,-5462.5251,-3976.6589,-1107.1199,-4038.1111,6418.5524,-58105.9970,-79398.4394,-70072.1865,-59805.3886,-60116.4097,-67283.0644,-59556.1014,-63210.8186,-319031432.9318,-319053136.0664,-319040653.8767,-319034716.0858,-63954.5063,-319039396.5345,-1349.7758,744.6438,6271.7712,-3238.9146,1403.4883,330646.7892,360000.6644,346891.1484,352878.8836,343982.6224,348108.4622,349776.9995,347634.5871,20747317.9501,20755864.8167,20755655.9233,20727844.4012,347278.1965,20732476.3138,4020.2008,5345.1397,2712.2680,-4617.6668,-2231.0363,-182735.6684,-186767.7530,-186561.1994,-181181.4746,-183098.5196,-195326.5184,-190807.0843,-185368.5651,6149004.4129,6130319.8938,6167698.5535,6163719.8886,-186952.6844,6160566.7412,
28800.000,3482.8733,2167.7888,-2224.7539,5674.1425,-4945.6660,-137695.2734,-166294.0543,-154594.1105,-144766.7150,-146149.0936,-150901.4721,-145185.1667,-148787.1035,-313540017.9023,-313565107.4053,-313557429.7506,-313545735.4910,-148582.6091,-313548429.2885,-2300.6761,-5432.6178,-4611.3541,-484.8416,1728.2304,305618.7618,328917.0237,320997.3558,325730.5803,316754.6377,320978.2037,322466.1373,319458.9619,-62636195.9081,-62632976.7757,-62627063.1213,-62645668.1178,320013.1460,-62650217.6728,-5524.5941,-3298.4771,-4671.1846,3943.1838,4534.8181,-183043.0152,-187214.5872,-188012.5446,-180462.3908,-186148.4328,-196532.6887,-187592.9182,-188935.2219,6089047.0167,6070372.4593,6104771.0154,6108061.0756,-187223.7102,6101295.2520,
