sl_100_5400_20250309 Coordinates.csv
2025/03/09 07:47:00.0000 UTC

Generated: Tue Oct  8 15:35:23 2024,
Start: 2025/03/09 07:47:00.00, Stop: 2025/03/09 09:17:00.00,
TIME_UNITS,STARLINK-30922 - X-Coordinate,STARLINK-11264 [DTC] - X-Coordinate,STARLINK-4635 - X-Coordinate,STARLINK-1822 - X-Coordinate,STARLINK-2097 - X-Coordinate,STARLINK-4411 - X-Coordinate,STARLINK-31328 - X-Coordinate,STARLINK-32087 - X-Coordinate,STARLINK-1748 - X-Coordinate,STARLINK-30592 - X-Coordinate,STARLINK-1670 - X-Coordinate,STARLINK-30558 - X-Coordinate,STARLINK-3300 - X-Coordinate,STARLINK-30577 - X-Coordinate,STARLINK-31877 - X-Coordinate,STARLINK-5930 - X-Coordinate,STARLINK-31416 - X-Coordinate,STARLINK-6042 - X-Coordinate,STARLINK-3640 - X-Coordinate,STARLINK-30204 - X-Coordinate,STARLINK-3924 - X-Coordinate,STARLINK-4167 - X-Coordinate,STARLINK-11082 [DTC] - X-Coordinate,STARLINK-6111 - X-Coordinate,STARLINK-32013 - X-Coordinate,STARLINK-5556 - X-Coordinate,STARLINK-30075 - X-Coordinate,STARLINK-1865 - X-Coordinate,STARLINK-5336 - X-Coordinate,STARLINK-6203 - X-Coordinate,STARLINK-30833 - X-Coordinate,STARLINK-2672 - X-Coordinate,STARLINK-31026 - X-Coordinate,STARLINK-5356 - X-Coordinate,STARLINK-5071 - X-Coordinate,STARLINK-5834 - X-Coordinate,STARLINK-31474 - X-Coordinate,STARLINK-30264 - X-Coordinate,STARLINK-11090 [DTC] - X-Coordinate,STARLINK-4058 - X-Coordinate,STARLINK-31520 - X-Coordinate,STARLINK-32269 - X-Coordinate,STARLINK-2340 - X-Coordinate,STARLINK-1412 - X-Coordinate,STARLINK-1144 - X-Coordinate,STARLINK-1056 - X-Coordinate,STARLINK-3127 - X-Coordinate,STARLINK-4501 - X-Coordinate,STARLINK-11248 [DTC] - X-Coordinate,STARLINK-5277 - X-Coordinate,STARLINK-1879 - X-Coordinate,STARLINK-31399 - X-Coordinate,STARLINK-30865 - X-Coordinate,STARLINK-4095 - X-Coordinate,STARLINK-31443 - X-Coordinate,STARLINK-31619 - X-Coordinate,STARLINK-5072 - X-Coordinate,STARLINK-4447 - X-Coordinate,STARLINK-3624 - X-Coordinate,STARLINK-31848 - X-Coordinate,STARLINK-1852 - X-Coordinate,STARLINK-4171 - X-Coordinate,STARLINK-31447 - X-Coordinate,STARLINK-5940 - X-Coordinate,STARLINK-4612 - X-Coordinate,STARLINK-6231 - X-Coordinate,STARLINK-5418 - X-Coordinate,STARLINK-31859 - X-Coordinate,STARLINK-30137 - X-Coordinate,STARLINK-4129 - X-Coordinate,STARLINK-30077 - X-Coordinate,STARLINK-30962 - X-Coordinate,STARLINK-5049 - X-Coordinate,STARLINK-31177 - X-Coordinate,STARLINK-5219 - X-Coordinate,STARLINK-32152 - X-Coordinate,STARLINK-4166 - X-Coordinate,STARLINK-4311 - X-Coordinate,STARLINK-6188 - X-Coordinate,STARLINK-30288 - X-Coordinate,STARLINK-2002 - X-Coordinate,STARLINK-32223 - X-Coordinate,STARLINK-5551 - X-Coordinate,STARLINK-4210 - X-Coordinate,STARLINK-32090 - X-Coordinate,STARLINK-31079 - X-Coordinate,STARLINK-3080 - X-Coordinate,STARLINK-6130 - X-Coordinate,STARLINK-5916 - X-Coordinate,STARLINK-6167 - X-Coordinate,STARLINK-5697 - X-Coordinate,STARLINK-6119 - X-Coordinate,STARLINK-4148 - X-Coordinate,STARLINK-31635 - X-Coordinate,STARLINK-1303 - X-Coordinate,STARLINK-3714 - X-Coordinate,STARLINK-3266 - X-Coordinate,STARLINK-3712 - X-Coordinate,STARLINK-31011 - X-Coordinate,STARLINK-1554 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30922 - Y-Coordinate,STARLINK-11264 [DTC] - Y-Coordinate,STARLINK-4635 - Y-Coordinate,STARLINK-1822 - Y-Coordinate,STARLINK-2097 - Y-Coordinate,STARLINK-4411 - Y-Coordinate,STARLINK-31328 - Y-Coordinate,STARLINK-32087 - Y-Coordinate,STARLINK-1748 - Y-Coordinate,STARLINK-30592 - Y-Coordinate,STARLINK-1670 - Y-Coordinate,STARLINK-30558 - Y-Coordinate,STARLINK-3300 - Y-Coordinate,STARLINK-30577 - Y-Coordinate,STARLINK-31877 - Y-Coordinate,STARLINK-5930 - Y-Coordinate,STARLINK-31416 - Y-Coordinate,STARLINK-6042 - Y-Coordinate,STARLINK-3640 - Y-Coordinate,STARLINK-30204 - Y-Coordinate,STARLINK-3924 - Y-Coordinate,STARLINK-4167 - Y-Coordinate,STARLINK-11082 [DTC] - Y-Coordinate,STARLINK-6111 - Y-Coordinate,STARLINK-32013 - Y-Coordinate,STARLINK-5556 - Y-Coordinate,STARLINK-30075 - Y-Coordinate,STARLINK-1865 - Y-Coordinate,STARLINK-5336 - Y-Coordinate,STARLINK-6203 - Y-Coordinate,STARLINK-30833 - Y-Coordinate,STARLINK-2672 - Y-Coordinate,STARLINK-31026 - Y-Coordinate,STARLINK-5356 - Y-Coordinate,STARLINK-5071 - Y-Coordinate,STARLINK-5834 - Y-Coordinate,STARLINK-31474 - Y-Coordinate,STARLINK-30264 - Y-Coordinate,STARLINK-11090 [DTC] - Y-Coordinate,STARLINK-4058 - Y-Coordinate,STARLINK-31520 - Y-Coordinate,STARLINK-32269 - Y-Coordinate,STARLINK-2340 - Y-Coordinate,STARLINK-1412 - Y-Coordinate,STARLINK-1144 - Y-Coordinate,STARLINK-1056 - Y-Coordinate,STARLINK-3127 - Y-Coordinate,STARLINK-4501 - Y-Coordinate,STARLINK-11248 [DTC] - Y-Coordinate,STARLINK-5277 - Y-Coordinate,STARLINK-1879 - Y-Coordinate,STARLINK-31399 - Y-Coordinate,STARLINK-30865 - Y-Coordinate,STARLINK-4095 - Y-Coordinate,STARLINK-31443 - Y-Coordinate,STARLINK-31619 - Y-Coordinate,STARLINK-5072 - Y-Coordinate,STARLINK-4447 - Y-Coordinate,STARLINK-3624 - Y-Coordinate,STARLINK-31848 - Y-Coordinate,STARLINK-1852 - Y-Coordinate,STARLINK-4171 - Y-Coordinate,STARLINK-31447 - Y-Coordinate,STARLINK-5940 - Y-Coordinate,STARLINK-4612 - Y-Coordinate,STARLINK-6231 - Y-Coordinate,STARLINK-5418 - Y-Coordinate,STARLINK-31859 - Y-Coordinate,STARLINK-30137 - Y-Coordinate,STARLINK-4129 - Y-Coordinate,STARLINK-30077 - Y-Coordinate,STARLINK-30962 - Y-Coordinate,STARLINK-5049 - Y-Coordinate,STARLINK-31177 - Y-Coordinate,STARLINK-5219 - Y-Coordinate,STARLINK-32152 - Y-Coordinate,STARLINK-4166 - Y-Coordinate,STARLINK-4311 - Y-Coordinate,STARLINK-6188 - Y-Coordinate,STARLINK-30288 - Y-Coordinate,STARLINK-2002 - Y-Coordinate,STARLINK-32223 - Y-Coordinate,STARLINK-5551 - Y-Coordinate,STARLINK-4210 - Y-Coordinate,STARLINK-32090 - Y-Coordinate,STARLINK-31079 - Y-Coordinate,STARLINK-3080 - Y-Coordinate,STARLINK-6130 - Y-Coordinate,STARLINK-5916 - Y-Coordinate,STARLINK-6167 - Y-Coordinate,STARLINK-5697 - Y-Coordinate,STARLINK-6119 - Y-Coordinate,STARLINK-4148 - Y-Coordinate,STARLINK-31635 - Y-Coordinate,STARLINK-1303 - Y-Coordinate,STARLINK-3714 - Y-Coordinate,STARLINK-3266 - Y-Coordinate,STARLINK-3712 - Y-Coordinate,STARLINK-31011 - Y-Coordinate,STARLINK-1554 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30922 - Z-Coordinate,STARLINK-11264 [DTC] - Z-Coordinate,STARLINK-4635 - Z-Coordinate,STARLINK-1822 - Z-Coordinate,STARLINK-2097 - Z-Coordinate,STARLINK-4411 - Z-Coordinate,STARLINK-31328 - Z-Coordinate,STARLINK-32087 - Z-Coordinate,STARLINK-1748 - Z-Coordinate,STARLINK-30592 - Z-Coordinate,STARLINK-1670 - Z-Coordinate,STARLINK-30558 - Z-Coordinate,STARLINK-3300 - Z-Coordinate,STARLINK-30577 - Z-Coordinate,STARLINK-31877 - Z-Coordinate,STARLINK-5930 - Z-Coordinate,STARLINK-31416 - Z-Coordinate,STARLINK-6042 - Z-Coordinate,STARLINK-3640 - Z-Coordinate,STARLINK-30204 - Z-Coordinate,STARLINK-3924 - Z-Coordinate,STARLINK-4167 - Z-Coordinate,STARLINK-11082 [DTC] - Z-Coordinate,STARLINK-6111 - Z-Coordinate,STARLINK-32013 - Z-Coordinate,STARLINK-5556 - Z-Coordinate,STARLINK-30075 - Z-Coordinate,STARLINK-1865 - Z-Coordinate,STARLINK-5336 - Z-Coordinate,STARLINK-6203 - Z-Coordinate,STARLINK-30833 - Z-Coordinate,STARLINK-2672 - Z-Coordinate,STARLINK-31026 - Z-Coordinate,STARLINK-5356 - Z-Coordinate,STARLINK-5071 - Z-Coordinate,STARLINK-5834 - Z-Coordinate,STARLINK-31474 - Z-Coordinate,STARLINK-30264 - Z-Coordinate,STARLINK-11090 [DTC] - Z-Coordinate,STARLINK-4058 - Z-Coordinate,STARLINK-31520 - Z-Coordinate,STARLINK-32269 - Z-Coordinate,STARLINK-2340 - Z-Coordinate,STARLINK-1412 - Z-Coordinate,STARLINK-1144 - Z-Coordinate,STARLINK-1056 - Z-Coordinate,STARLINK-3127 - Z-Coordinate,STARLINK-4501 - Z-Coordinate,STARLINK-11248 [DTC] - Z-Coordinate,STARLINK-5277 - Z-Coordinate,STARLINK-1879 - Z-Coordinate,STARLINK-31399 - Z-Coordinate,STARLINK-30865 - Z-Coordinate,STARLINK-4095 - Z-Coordinate,STARLINK-31443 - Z-Coordinate,STARLINK-31619 - Z-Coordinate,STARLINK-5072 - Z-Coordinate,STARLINK-4447 - Z-Coordinate,STARLINK-3624 - Z-Coordinate,STARLINK-31848 - Z-Coordinate,STARLINK-1852 - Z-Coordinate,STARLINK-4171 - Z-Coordinate,STARLINK-31447 - Z-Coordinate,STARLINK-5940 - Z-Coordinate,STARLINK-4612 - Z-Coordinate,STARLINK-6231 - Z-Coordinate,STARLINK-5418 - Z-Coordinate,STARLINK-31859 - Z-Coordinate,STARLINK-30137 - Z-Coordinate,STARLINK-4129 - Z-Coordinate,STARLINK-30077 - Z-Coordinate,STARLINK-30962 - Z-Coordinate,STARLINK-5049 - Z-Coordinate,STARLINK-31177 - Z-Coordinate,STARLINK-5219 - Z-Coordinate,STARLINK-32152 - Z-Coordinate,STARLINK-4166 - Z-Coordinate,STARLINK-4311 - Z-Coordinate,STARLINK-6188 - Z-Coordinate,STARLINK-30288 - Z-Coordinate,STARLINK-2002 - Z-Coordinate,STARLINK-32223 - Z-Coordinate,STARLINK-5551 - Z-Coordinate,STARLINK-4210 - Z-Coordinate,STARLINK-32090 - Z-Coordinate,STARLINK-31079 - Z-Coordinate,STARLINK-3080 - Z-Coordinate,STARLINK-6130 - Z-Coordinate,STARLINK-5916 - Z-Coordinate,STARLINK-6167 - Z-Coordinate,STARLINK-5697 - Z-Coordinate,STARLINK-6119 - Z-Coordinate,STARLINK-4148 - Z-Coordinate,STARLINK-31635 - Z-Coordinate,STARLINK-1303 - Z-Coordinate,STARLINK-3714 - Z-Coordinate,STARLINK-3266 - Z-Coordinate,STARLINK-3712 - Z-Coordinate,STARLINK-31011 - Z-Coordinate,STARLINK-1554 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,5889.7440,1590.7623,5918.8674,3840.1432,-2568.3902,-2573.3499,4064.9451,2941.4054,0.0000,3580.7428,-1483.0025,4569.2076,1354.5495,4858.8789,-5150.7776,950.5842,-4208.1884,-5609.8506,3046.1989,5589.0874,-5652.8292,3922.2038,-5479.5642,6874.2792,-5791.3939,3167.8399,3608.1191,5124.3886,-6263.1047,-5923.1283,2678.9174,5002.2583,-6603.4673,296.6837,2967.8238,-5718.1809,-5263.4871,-6652.3640,-6579.0413,3331.5866,-1876.1402,-2601.6087,-1251.6700,-584.3918,3031.6116,5365.1173,-5661.0987,-4483.3959,-2666.8238,4493.2223,-6532.1096,244.1381,3057.6622,4226.9926,5042.7826,344.4182,-2460.7970,608.4575,-1179.8321,1224.6869,-2000.1021,4459.9311,-6199.4016,-2776.7345,6846.5554,-2807.0540,3633.6003,2408.2460,5388.8829,425.5545,-5061.9475,-5033.6821,4837.5117,-3517.5567,-2465.2597,-5361.3356,4079.9019,-5464.9554,-4682.7859,6344.8148,4869.3996,4014.6480,-5834.0391,3420.5380,5886.8088,4377.7284,-1699.2092,-6231.6370,-5785.2292,797.2182,2161.4715,-4604.9443,-1227.9430,-159.6757,-663.6919,-5143.1647,-4346.5780,-6396.6508,-1938.0956,-417.3424,349531.1017,340596.0838,334779.3876,339874.8893,333217.7399,336253.1268,341333.9099,340203.1894,125166047.2907,125121859.0689,125155527.7573,125155249.2355,339948.7452,125148443.5093,650.6936,3705.5446,2881.1375,5448.3105,-4721.0531,2244.8082,3958.8924,4039.7468,0.0000,-2223.4104,-6545.7589,-2228.2819,-6291.2324,4059.0813,3955.5433,-3676.4280,5310.4226,-762.9800,-2813.7610,-1031.3357,3984.5379,3866.1756,3684.2706,870.0882,2647.7252,-5532.1295,-3901.9244,-1829.2591,-2859.1558,1691.4538,3449.5308,-4524.5584,-1095.2496,-6722.9093,-1374.8791,2672.3458,-1598.3020,1446.9874,598.3065,-2709.6234,-6307.2005,4651.2551,-4109.6077,4864.3585,-5915.2132,4372.7288,-2158.8895,-4193.2863,-3211.6214,1136.5219,-235.3755,5284.7854,-5746.2772,55.0528,892.2663,6409.9697,-3020.7249,3795.1800,-5797.5797,4859.3407,5240.1770,3391.5622,887.9267,4485.3874,585.6003,6225.6248,3794.0492,5254.8222,2803.6149,-6067.0896,-1118.3077,1292.7227,-1675.5945,-3572.7067,6459.8638,-1497.6674,-797.5311,-2999.5486,2269.2398,687.4859,4905.8824,2158.9863,-3757.9572,-2530.4860,-3144.2903,2663.8106,-1732.5006,2015.9627,-3662.2167,5084.5340,-6417.3889,-2348.0914,6620.3128,-6285.6290,6194.5774,3031.9829,-4491.3127,-1224.4698,-4781.9165,-4395.9779,-48001.6438,-78837.8287,-59386.9028,-56792.0676,-61708.9684,-59626.9275,-66474.2823,-60420.0873,-13201887.4479,-13244021.4902,-13206698.8058,-13198833.0245,-62206.9370,-13203953.4745,-3580.1903,-5370.0897,2123.2045,-1888.8648,-4362.3539,6036.6604,-3828.3940,4637.0728,0.0000,5395.0586,1690.7809,-4726.9276,2528.9621,-2837.6844,2078.1934,5810.8923,764.0438,3922.1534,-5539.6320,-3978.7230,95.6456,4177.7314,-1335.6354,-315.8567,2490.2224,2719.7833,-4461.7244,-4276.1311,836.7844,3182.4024,-5289.2382,-1448.1137,-1822.2365,-1676.1239,-6139.2642,2872.2295,4028.6623,-865.1385,-1323.4749,5412.5058,1803.8202,4257.1540,5382.0314,4880.1653,-1757.7594,-233.8047,-3341.1027,-3195.4970,5251.9209,-5187.6939,2189.4187,4300.6097,2379.8509,5466.0574,-4513.6055,2262.6646,5748.1184,5772.5039,3575.1151,-4630.8289,-4003.0364,-4061.0305,2700.8456,4494.5997,-817.0362,-1313.4803,4519.4014,-3622.0215,3345.3759,3286.2832,4597.0568,4583.6355,-4684.4988,4672.6969,19.6365,-3954.5501,5518.6268,-3061.0146,-4586.4613,2708.9885,398.2473,-5067.1882,-174.4585,-5461.4565,1407.2661,4665.2095,6504.7292,-2289.0186,1117.8638,-4652.8721,-1509.1124,-4629.0677,-1590.6734,-2647.7767,3018.3471,3484.3271,2954.3385,-2336.1375,-4639.8655,-5323.5281,174856.4669,173195.2720,170019.4381,177811.7444,175733.6897,165017.9782,165351.5027,171667.6953,59990057.4374,59973239.6373,59962086.1397,59978577.3979,171767.0727,59979897.7631,
300.000,5216.0879,3549.5002,5706.6213,4944.3389,-4278.8389,-4307.8551,4308.3100,4482.5780,0.0000,1970.8537,-2539.5001,3503.3126,157.0468,5281.2479,-3563.9163,-763.9939,-2915.2569,-6582.3949,1425.5511,5562.2614,-4660.4180,5459.4137,-4786.0485,6796.0040,-4372.4046,1314.7282,1667.5151,5191.9355,-6750.1374,-4609.6497,4502.7523,3643.7641,-6916.1465,-1283.4583,954.0768,-4237.2895,-6104.6002,-5811.9145,-5762.7700,2253.0217,-3113.4489,-1520.1549,-3304.2621,1107.9626,1974.0235,5902.2379,-5158.3741,-5754.0208,-4449.0880,3162.1146,-6804.8331,2231.6968,1730.5285,4432.0199,5969.5890,1954.1913,-4242.1869,211.8996,-2389.0495,3269.7545,-137.1539,4488.3746,-6190.6659,-1138.3964,6817.3425,-1916.7613,5209.1940,3707.9595,6460.9035,-916.7961,-5588.6730,-3976.4521,4122.1689,-4886.2586,-1227.7035,-6353.8461,3659.3004,-5787.0519,-3870.4071,6747.8420,5553.3469,4095.0809,-5233.3467,2354.8067,5137.2115,5093.6654,-3459.0578,-4998.0691,-6112.5761,2864.5563,713.9796,-5596.6257,-34.4199,-1808.3420,818.1153,-3459.0061,-5594.1416,-6892.9939,-3883.7297,-2361.3947,350399.4445,342157.8011,336097.1338,341182.7729,334450.1119,337448.3450,342617.4779,341295.2165,125428974.7945,125385735.7238,125418906.6157,125417792.3090,341219.8187,125411452.8553,-1234.7453,2750.7456,1351.5363,4849.9140,-4518.8493,2807.4777,2065.5945,2511.5100,0.0000,-3707.9310,-5524.9810,-4069.6933,-6868.4376,2235.5829,4759.1778,-2435.5585,6114.2296,-98.5550,-4241.3954,-2920.6588,4748.6361,3207.7690,4712.3563,-641.5662,3460.5663,-5629.1522,-4795.0387,-3527.1082,-1433.6526,3109.8211,2521.3970,-4973.9340,419.5374,-6114.5121,-2186.5973,3830.6722,147.2967,2817.4389,1783.9307,-4484.1166,-6073.5026,5989.8131,-3776.7343,5685.6248,-6584.1748,3263.3815,-446.9156,-3512.8702,-2088.5171,-313.4779,1028.0422,4467.0192,-6647.3046,-2038.0411,-641.3073,6473.3613,-3231.1901,5467.8701,-4414.7820,4244.0595,4724.6652,1458.2417,2554.8011,5694.6095,-622.3069,5816.5507,2490.8755,3685.6866,1414.8775,-6648.1080,886.2363,3167.8041,-3653.0360,-1909.7309,6570.7782,-197.4752,-2893.8140,-3725.6202,4166.8239,-909.8973,3891.2998,0.2979,-3894.2532,-4329.7397,-4486.8096,630.0511,-491.6150,3303.1690,-2072.4608,4782.1917,-6899.6097,-520.4365,6913.7440,-6460.2104,5317.4421,3716.7941,-3858.5289,-22.0608,-4036.4623,-3438.5819,-40650.6420,-71757.5591,-52114.0304,-49672.5622,-54580.8744,-52470.2526,-59251.3253,-53280.4934,-10462741.5287,-10505396.1466,-10467128.4119,-10459258.4819,-55056.8721,-10464783.9836,-4382.3616,-4993.2058,3663.3375,-107.8858,-3029.7735,4659.0699,-4902.2615,4480.8703,0.0000,5407.2291,3301.6574,-4399.1721,798.6543,-3905.9976,3335.1893,6454.5099,-794.2552,2034.9818,-5278.6877,-2942.2589,1882.2918,2777.6110,497.6587,1222.2848,3953.3994,3820.7765,-4730.9779,-2913.4164,-708.5228,4138.9633,-4518.6671,-3097.1798,-318.2043,-3012.1891,-6533.7596,3929.1494,3036.3882,-2322.8719,-3002.8031,4750.3005,2.4069,2891.9117,4717.3313,3779.8446,37.6159,1564.5166,-4590.5343,-1560.1242,4568.3714,-6188.1288,427.2074,4641.5602,935.2760,4895.1134,-3247.2570,793.0634,4452.3659,4265.7974,4749.7942,-4225.3279,-5014.8690,-5061.6885,1299.1478,3783.9875,999.1344,-3298.0054,3833.3018,-4382.1420,2089.8246,1667.4216,4000.0133,4708.0954,-4220.9885,4410.6312,-1774.0608,-2491.0927,5096.9955,-916.3175,-3971.0371,1314.9524,-1406.1771,-5448.7001,-2378.2083,-4862.1018,-135.6196,4656.1958,6001.2767,-3500.9523,2539.2272,-4130.5338,16.3831,-4068.5990,211.4576,-1236.3488,4353.3762,4688.1560,1279.7602,-585.6844,-4095.5366,-5517.3563,174781.3602,173137.8900,170036.5797,177649.7182,175837.8396,165140.3731,165123.7827,172087.3201,59991756.1264,59974595.8399,59963871.3986,59980716.6329,171717.9063,59981451.2443,
600.000,4067.3085,5141.6118,4954.2197,5557.8330,-5550.3892,-5603.2953,4165.0840,5595.6019,0.0000,201.8706,-3381.3490,2139.4864,-1046.9796,5229.1863,-1604.2577,-2456.3486,-1318.2322,-6870.8938,-292.7955,5021.7142,-3192.0427,6446.9734,-3571.3735,6060.5548,-2498.0421,-685.1995,-419.5311,4770.9386,-6585.9580,-2863.0463,5878.6016,1901.9984,-6559.4583,-2766.8087,-1127.1109,-2350.0183,-6339.9816,-4389.1765,-4328.4616,1001.4504,-4027.6936,-314.3587,-5021.1679,2657.6566,715.6874,5865.0610,-4182.0236,-6446.2944,-5764.2790,1563.8444,-6394.7604,4015.3180,244.5660,4249.4587,6297.0778,3356.2237,-5572.9959,-267.1987,-3412.2893,4986.3913,1772.5482,4126.6449,-5558.0266,579.5865,6110.1569,-794.4999,6292.7712,4671.4475,6910.3668,-2149.8343,-5606.7407,-2572.7041,3049.5253,-5794.8405,150.6894,-6696.1656,2932.4557,-5473.2275,-2722.1094,6501.4817,5697.8456,3813.7459,-4082.7301,1108.1371,3862.9071,5358.6454,-4908.4344,-3285.1149,-5865.4207,4650.9789,-802.8456,-6076.2539,1164.9909,-3261.7645,2262.0740,-1427.5122,-6278.0117,-6703.8485,-5458.4959,-4101.7111,351112.5391,343572.4570,337266.5178,342341.6779,335535.8785,338494.4626,343746.9065,342234.8576,125631955.9716,125589676.4088,125622319.2171,125620333.4143,342340.5545,125614514.3043,-3028.5661,1553.0778,-343.8264,3771.8133,-3899.4525,3006.8481,-53.0002,761.2815,0.0000,-4858.5690,-3955.4094,-5534.1044,-6762.4143,183.4167,5108.9134,-1012.5108,6298.2229,548.9512,-5290.1065,-4512.6074,5057.6774,2261.0242,5235.6173,-2102.8393,3962.3158,-5211.9205,-5269.1680,-4855.7655,137.0455,4264.9679,1387.2029,-4955.1767,1890.7001,-4924.3309,-2858.9123,4656.0877,1852.8896,3928.8556,2812.5357,-5829.3595,-5209.7890,6710.8586,-3117.8833,5969.9805,-6585.2711,1816.5194,1345.1475,-2499.7290,-789.0715,-1794.7586,2183.3303,3233.7216,-6902.6371,-3912.4701,-2076.0255,5875.7326,-3169.0356,6542.5414,-2608.1670,3238.8247,3781.7828,-637.8246,3950.5825,6372.2598,-1779.7073,4839.7078,981.2070,1755.7201,-90.7681,-6573.0779,2784.6426,4760.2322,-5282.9719,-86.9555,6035.0948,1095.4384,-4705.3798,-4057.3675,5665.6025,-2407.1610,2479.6090,-2162.8274,-3580.1377,-5718.5569,-5372.7736,-1449.1486,730.8278,4304.9768,-264.4634,4057.7609,-6713.8322,1330.0913,6519.0177,-5981.5116,3937.1749,4084.9510,-2854.4927,1175.9662,-2940.7643,-2195.0100,-33285.6808,-64644.9238,-44817.2566,-42527.4504,-47428.5722,-45291.8421,-52000.2008,-46252.0083,-7718411.1023,-7761562.6606,-7722354.1024,-7714550.2760,-47880.7960,-7720426.4923,-4714.4693,-4030.4492,4808.7010,1684.6564,-1371.5029,2785.1636,-5432.6422,3821.5459,0.0000,4820.5907,4557.3138,-3603.1912,-1017.8190,-4557.8173,4217.1626,6413.0408,-2263.2405,-74.0758,-4451.3136,-1591.5966,3465.8097,1077.9135,2272.8196,2629.6177,4975.8472,4512.6609,-4496.3795,-1237.2641,-2178.0918,4652.9994,-3249.8869,-4410.2282,1219.8478,-4026.4290,-6239.1568,4566.0868,1702.9496,-3524.4594,-4332.5624,3575.8344,-1799.3027,1202.1703,3538.9067,2272.6193,1828.8330,3194.6119,-5346.8674,243.2259,3347.2156,-6535.7127,-1381.5322,4461.4480,-609.5129,3796.5533,-1617.1415,-766.2171,2683.8495,2304.3534,5412.4157,-3346.4069,-5481.7282,-5519.1519,-248.5426,2668.5539,2707.6005,-4933.2782,2737.0161,-4651.0479,610.8696,-131.3651,2974.8144,4328.9449,-3307.6487,3661.0496,-3376.4485,-748.6262,4125.8929,1326.0287,-2931.7569,-219.8063,-3059.5531,-5218.8597,-4328.6055,-3741.4612,-1663.2802,4149.2326,4861.2465,-4339.4604,3689.1703,-3167.7276,1540.1091,-3074.3743,1990.7601,314.0130,5220.8575,5386.5268,-532.9295,1227.8822,-3114.6362,-5118.5280,174705.8860,173080.2665,170056.8134,177482.4918,175938.2476,165268.3042,164901.7687,172479.8617,59993450.1399,59975952.2574,59965666.1566,59982860.5189,171668.6310,59983004.7096,
