sl_100_5400_20250618 Coordinates.csv
2025/06/18 07:47:00.0000 UTC

Generated: Tue Oct  8 15:34:42 2024,
Start: 2025/06/18 07:47:00.00, Stop: 2025/06/18 09:17:00.00,
TIME_UNITS,STARLINK-4290 - X-Coordinate,STARLINK-1191 - X-Coordinate,STARLINK-31421 - X-Coordinate,STARLINK-30909 - X-Coordinate,STARLINK-5431 - X-Coordinate,STARLINK-5068 - X-Coordinate,STARLINK-3915 - X-Coordinate,STARLINK-30831 - X-Coordinate,STARLINK-1540 - X-Coordinate,STARLINK-5642 - X-Coordinate,STARLINK-2461 - X-Coordinate,STARLINK-3648 - X-Coordinate,STARLINK-1793 - X-Coordinate,STARLINK-2533 - X-Coordinate,STARLINK-3732 - X-Coordinate,STARLINK-31655 - X-Coordinate,STARLINK-30808 - X-Coordinate,STARLINK-3071 - X-Coordinate,STARLINK-4112 - X-Coordinate,STARLINK-11111 [DTC] - X-Coordinate,STARLINK-5552 - X-Coordinate,STARLINK-2443 - X-Coordinate,STARLINK-3202 - X-Coordinate,STARLINK-30315 - X-Coordinate,STARLINK-31819 - X-Coordinate,STARLINK-3822 - X-Coordinate,STARLINK-5526 - X-Coordinate,STARLINK-1067 - X-Coordinate,STARLINK-30276 - X-Coordinate,STARLINK-2687 - X-Coordinate,STARLINK-2053 - X-Coordinate,STARLINK-1913 - X-Coordinate,STARLINK-4127 - X-Coordinate,STARLINK-30481 - X-Coordinate,STARLINK-5006 - X-Coordinate,STARLINK-32278 - X-Coordinate,STARLINK-1150 - X-Coordinate,STARLINK-4407 - X-Coordinate,STARLINK-4335 - X-Coordinate,STARLINK-30884 - X-Coordinate,STARLINK-30216 - X-Coordinate,STARLINK-1973 - X-Coordinate,STARLINK-4336 - X-Coordinate,STARLINK-31946 - X-Coordinate,STARLINK-31467 - X-Coordinate,STARLINK-32106 - X-Coordinate,STARLINK-2238 - X-Coordinate,STARLINK-11080 [DTC] - X-Coordinate,STARLINK-3229 - X-Coordinate,STARLINK-3547 - X-Coordinate,STARLINK-6071 - X-Coordinate,STARLINK-1538 - X-Coordinate,STARLINK-5170 - X-Coordinate,STARLINK-6208 - X-Coordinate,STARLINK-1318 - X-Coordinate,STARLINK-31270 - X-Coordinate,STARLINK-31040 - X-Coordinate,STARLINK-11225 [DTC] - X-Coordinate,STARLINK-32145 - X-Coordinate,STARLINK-3811 - X-Coordinate,STARLINK-3875 - X-Coordinate,STARLINK-5880 - X-Coordinate,STARLINK-2763 - X-Coordinate,STARLINK-31404 - X-Coordinate,STARLINK-4119 - X-Coordinate,STARLINK-31059 - X-Coordinate,STARLINK-30787 - X-Coordinate,STARLINK-5515 - X-Coordinate,STARLINK-31855 - X-Coordinate,STARLINK-31640 - X-Coordinate,STARLINK-1653 - X-Coordinate,STARLINK-2698 - X-Coordinate,STARLINK-3680 - X-Coordinate,STARLINK-31341 - X-Coordinate,STARLINK-4612 - X-Coordinate,STARLINK-5485 - X-Coordinate,STARLINK-2749 - X-Coordinate,STARLINK-31734 - X-Coordinate,STARLINK-2751 - X-Coordinate,STARLINK-3360 - X-Coordinate,STARLINK-4337 - X-Coordinate,STARLINK-5498 - X-Coordinate,STARLINK-4091 - X-Coordinate,STARLINK-1873 - X-Coordinate,STARLINK-2130 - X-Coordinate,STARLINK-31983 - X-Coordinate,STARLINK-5729 - X-Coordinate,STARLINK-3632 - X-Coordinate,STARLINK-5089 - X-Coordinate,STARLINK-6150 - X-Coordinate,STARLINK-30104 - X-Coordinate,STARLINK-5863 - X-Coordinate,STARLINK-5503 - X-Coordinate,STARLINK-4673 - X-Coordinate,STARLINK-1892 - X-Coordinate,STARLINK-2667 - X-Coordinate,STARLINK-1029 - X-Coordinate,STARLINK-3524 - X-Coordinate,STARLINK-5710 - X-Coordinate,STARLINK-31145 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-4290 - Y-Coordinate,STARLINK-1191 - Y-Coordinate,STARLINK-31421 - Y-Coordinate,STARLINK-30909 - Y-Coordinate,STARLINK-5431 - Y-Coordinate,STARLINK-5068 - Y-Coordinate,STARLINK-3915 - Y-Coordinate,STARLINK-30831 - Y-Coordinate,STARLINK-1540 - Y-Coordinate,STARLINK-5642 - Y-Coordinate,STARLINK-2461 - Y-Coordinate,STARLINK-3648 - Y-Coordinate,STARLINK-1793 - Y-Coordinate,STARLINK-2533 - Y-Coordinate,STARLINK-3732 - Y-Coordinate,STARLINK-31655 - Y-Coordinate,STARLINK-30808 - Y-Coordinate,STARLINK-3071 - Y-Coordinate,STARLINK-4112 - Y-Coordinate,STARLINK-11111 [DTC] - Y-Coordinate,STARLINK-5552 - Y-Coordinate,STARLINK-2443 - Y-Coordinate,STARLINK-3202 - Y-Coordinate,STARLINK-30315 - Y-Coordinate,STARLINK-31819 - Y-Coordinate,STARLINK-3822 - Y-Coordinate,STARLINK-5526 - Y-Coordinate,STARLINK-1067 - Y-Coordinate,STARLINK-30276 - Y-Coordinate,STARLINK-2687 - Y-Coordinate,STARLINK-2053 - Y-Coordinate,STARLINK-1913 - Y-Coordinate,STARLINK-4127 - Y-Coordinate,STARLINK-30481 - Y-Coordinate,STARLINK-5006 - Y-Coordinate,STARLINK-32278 - Y-Coordinate,STARLINK-1150 - Y-Coordinate,STARLINK-4407 - Y-Coordinate,STARLINK-4335 - Y-Coordinate,STARLINK-30884 - Y-Coordinate,STARLINK-30216 - Y-Coordinate,STARLINK-1973 - Y-Coordinate,STARLINK-4336 - Y-Coordinate,STARLINK-31946 - Y-Coordinate,STARLINK-31467 - Y-Coordinate,STARLINK-32106 - Y-Coordinate,STARLINK-2238 - Y-Coordinate,STARLINK-11080 [DTC] - Y-Coordinate,STARLINK-3229 - Y-Coordinate,STARLINK-3547 - Y-Coordinate,STARLINK-6071 - Y-Coordinate,STARLINK-1538 - Y-Coordinate,STARLINK-5170 - Y-Coordinate,STARLINK-6208 - Y-Coordinate,STARLINK-1318 - Y-Coordinate,STARLINK-31270 - Y-Coordinate,STARLINK-31040 - Y-Coordinate,STARLINK-11225 [DTC] - Y-Coordinate,STARLINK-32145 - Y-Coordinate,STARLINK-3811 - Y-Coordinate,STARLINK-3875 - Y-Coordinate,STARLINK-5880 - Y-Coordinate,STARLINK-2763 - Y-Coordinate,STARLINK-31404 - Y-Coordinate,STARLINK-4119 - Y-Coordinate,STARLINK-31059 - Y-Coordinate,STARLINK-30787 - Y-Coordinate,STARLINK-5515 - Y-Coordinate,STARLINK-31855 - Y-Coordinate,STARLINK-31640 - Y-Coordinate,STARLINK-1653 - Y-Coordinate,STARLINK-2698 - Y-Coordinate,STARLINK-3680 - Y-Coordinate,STARLINK-31341 - Y-Coordinate,STARLINK-4612 - Y-Coordinate,STARLINK-5485 - Y-Coordinate,STARLINK-2749 - Y-Coordinate,STARLINK-31734 - Y-Coordinate,STARLINK-2751 - Y-Coordinate,STARLINK-3360 - Y-Coordinate,STARLINK-4337 - Y-Coordinate,STARLINK-5498 - Y-Coordinate,STARLINK-4091 - Y-Coordinate,STARLINK-1873 - Y-Coordinate,STARLINK-2130 - Y-Coordinate,STARLINK-31983 - Y-Coordinate,STARLINK-5729 - Y-Coordinate,STARLINK-3632 - Y-Coordinate,STARLINK-5089 - Y-Coordinate,STARLINK-6150 - Y-Coordinate,STARLINK-30104 - Y-Coordinate,STARLINK-5863 - Y-Coordinate,STARLINK-5503 - Y-Coordinate,STARLINK-4673 - Y-Coordinate,STARLINK-1892 - Y-Coordinate,STARLINK-2667 - Y-Coordinate,STARLINK-1029 - Y-Coordinate,STARLINK-3524 - Y-Coordinate,STARLINK-5710 - Y-Coordinate,STARLINK-31145 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-4290 - Z-Coordinate,STARLINK-1191 - Z-Coordinate,STARLINK-31421 - Z-Coordinate,STARLINK-30909 - Z-Coordinate,STARLINK-5431 - Z-Coordinate,STARLINK-5068 - Z-Coordinate,STARLINK-3915 - Z-Coordinate,STARLINK-30831 - Z-Coordinate,STARLINK-1540 - Z-Coordinate,STARLINK-5642 - Z-Coordinate,STARLINK-2461 - Z-Coordinate,STARLINK-3648 - Z-Coordinate,STARLINK-1793 - Z-Coordinate,STARLINK-2533 - Z-Coordinate,STARLINK-3732 - Z-Coordinate,STARLINK-31655 - Z-Coordinate,STARLINK-30808 - Z-Coordinate,STARLINK-3071 - Z-Coordinate,STARLINK-4112 - Z-Coordinate,STARLINK-11111 [DTC] - Z-Coordinate,STARLINK-5552 - Z-Coordinate,STARLINK-2443 - Z-Coordinate,STARLINK-3202 - Z-Coordinate,STARLINK-30315 - Z-Coordinate,STARLINK-31819 - Z-Coordinate,STARLINK-3822 - Z-Coordinate,STARLINK-5526 - Z-Coordinate,STARLINK-1067 - Z-Coordinate,STARLINK-30276 - Z-Coordinate,STARLINK-2687 - Z-Coordinate,STARLINK-2053 - Z-Coordinate,STARLINK-1913 - Z-Coordinate,STARLINK-4127 - Z-Coordinate,STARLINK-30481 - Z-Coordinate,STARLINK-5006 - Z-Coordinate,STARLINK-32278 - Z-Coordinate,STARLINK-1150 - Z-Coordinate,STARLINK-4407 - Z-Coordinate,STARLINK-4335 - Z-Coordinate,STARLINK-30884 - Z-Coordinate,STARLINK-30216 - Z-Coordinate,STARLINK-1973 - Z-Coordinate,STARLINK-4336 - Z-Coordinate,STARLINK-31946 - Z-Coordinate,STARLINK-31467 - Z-Coordinate,STARLINK-32106 - Z-Coordinate,STARLINK-2238 - Z-Coordinate,STARLINK-11080 [DTC] - Z-Coordinate,STARLINK-3229 - Z-Coordinate,STARLINK-3547 - Z-Coordinate,STARLINK-6071 - Z-Coordinate,STARLINK-1538 - Z-Coordinate,STARLINK-5170 - Z-Coordinate,STARLINK-6208 - Z-Coordinate,STARLINK-1318 - Z-Coordinate,STARLINK-31270 - Z-Coordinate,STARLINK-31040 - Z-Coordinate,STARLINK-11225 [DTC] - Z-Coordinate,STARLINK-32145 - Z-Coordinate,STARLINK-3811 - Z-Coordinate,STARLINK-3875 - Z-Coordinate,STARLINK-5880 - Z-Coordinate,STARLINK-2763 - Z-Coordinate,STARLINK-31404 - Z-Coordinate,STARLINK-4119 - Z-Coordinate,STARLINK-31059 - Z-Coordinate,STARLINK-30787 - Z-Coordinate,STARLINK-5515 - Z-Coordinate,STARLINK-31855 - Z-Coordinate,STARLINK-31640 - Z-Coordinate,STARLINK-1653 - Z-Coordinate,STARLINK-2698 - Z-Coordinate,STARLINK-3680 - Z-Coordinate,STARLINK-31341 - Z-Coordinate,STARLINK-4612 - Z-Coordinate,STARLINK-5485 - Z-Coordinate,STARLINK-2749 - Z-Coordinate,STARLINK-31734 - Z-Coordinate,STARLINK-2751 - Z-Coordinate,STARLINK-3360 - Z-Coordinate,STARLINK-4337 - Z-Coordinate,STARLINK-5498 - Z-Coordinate,STARLINK-4091 - Z-Coordinate,STARLINK-1873 - Z-Coordinate,STARLINK-2130 - Z-Coordinate,STARLINK-31983 - Z-Coordinate,STARLINK-5729 - Z-Coordinate,STARLINK-3632 - Z-Coordinate,STARLINK-5089 - Z-Coordinate,STARLINK-6150 - Z-Coordinate,STARLINK-30104 - Z-Coordinate,STARLINK-5863 - Z-Coordinate,STARLINK-5503 - Z-Coordinate,STARLINK-4673 - Z-Coordinate,STARLINK-1892 - Z-Coordinate,STARLINK-2667 - Z-Coordinate,STARLINK-1029 - Z-Coordinate,STARLINK-3524 - Z-Coordinate,STARLINK-5710 - Z-Coordinate,STARLINK-31145 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-6651.7629,3151.0806,1479.8706,-6336.1264,4023.8132,6795.6070,2665.9355,-5056.2749,-6354.4463,-6147.7534,1793.1774,-1306.9044,1630.5383,-6675.1346,-766.0121,130.3675,-4649.7302,-4527.7737,-1228.6762,5308.1691,-298.9668,5464.5607,-4311.0530,-3172.4668,-6046.4791,2570.5711,-1238.1436,-3978.2144,-2734.9775,-3786.5144,-3669.0581,1374.1358,-4133.0588,3803.3603,-6764.1084,3224.8164,-3247.1803,4165.3104,3666.4949,-3428.3081,5795.9486,2178.7095,-4098.3270,6033.2725,-371.2176,-4974.3287,3001.0614,-1945.7206,2226.8024,-3579.5336,876.0666,707.8672,3190.2282,4164.7684,-1514.6593,-4897.8009,-6573.8357,-447.0067,229.9235,2829.3884,-1930.9179,-6271.7064,-1977.2858,-5294.4497,66.6075,-4163.0543,-4543.0565,-3582.6848,903.9080,-6618.6002,-2743.5999,-1090.3640,-3126.3753,5459.2305,-2616.7797,4585.5694,-4125.1969,-5993.2761,-1195.2291,-3521.0274,5298.0115,1135.7435,3738.7434,-6277.1436,-5950.1134,4229.3896,3569.3305,4167.0418,5070.0082,3890.3591,-5791.6337,4883.8853,5069.3938,-135.7165,5551.7224,6230.9113,503.1517,-4020.1026,-5868.8301,-4418.0351,-318141.1912,-309572.1494,-321475.8247,-324292.7154,-318316.0095,-320755.8052,-314964.6956,-317217.7077,170277526.6114,170295480.6234,170272868.9011,170272604.6094,-318867.9321,170266340.4819,-1428.7012,4378.9775,-5371.7232,-1809.5784,-1382.4095,-1168.7728,-4598.5790,-3711.1515,-279.3397,2043.2780,6107.9197,-6196.3353,-4421.6055,-1761.1176,-4701.0525,-6220.6551,-2207.0647,-1954.1567,5723.6451,-3986.9839,905.1270,-2074.2484,5404.9695,-5490.0861,2946.9946,-4192.1284,3129.9578,1544.3986,-4820.7186,2592.2272,5762.4561,3924.7443,-2004.5415,-3854.2655,247.1419,2589.8033,3140.2858,-1330.5679,-1039.9786,-5629.0378,-1408.8455,-3548.0942,-3340.0326,2782.7249,-5217.8951,-503.1068,-5599.4000,3664.6860,-5961.1603,4511.8268,-6028.7139,-4106.6604,-6106.4212,-5545.3303,-3988.3647,-4805.6573,865.0177,-5120.2321,-6404.7801,-5803.7866,3918.9086,-2069.4645,-3834.0047,-4104.0094,-4198.5974,-2944.6392,-4246.1914,5916.0583,-6158.2299,188.0034,6133.4391,6741.5511,-6069.9586,-839.8752,-4271.5078,3714.5237,-1094.0142,2427.0589,-4717.5770,4918.7893,2825.2771,4541.4434,5734.8826,-1468.8888,-3011.6872,-5334.5573,5132.0548,470.5795,381.6396,3421.5578,-2745.9613,-4840.3395,3761.8028,-4691.2143,-4092.9957,-2220.9248,-4193.5731,-1475.2418,480.1258,-5286.7393,-190370.7827,-204221.6221,-201711.0390,-197259.7279,-203120.4549,-200576.5399,-194319.3279,-195896.8445,206655365.5722,206654638.3322,206654916.7281,206675216.3285,-196374.0348,206670875.3176,1216.9549,4330.4702,3593.6245,2154.7173,5442.4357,-848.8601,4417.0796,-2766.3221,2700.1707,-2512.5129,-2718.5276,2767.7035,-5079.2359,-453.0108,5003.1717,-2880.5994,4637.3219,4891.5361,-3689.1177,1132.6252,6867.1608,-3686.6298,-82.8298,-2811.5483,-1098.2928,4852.4499,6072.6511,5437.8774,-4172.8534,5168.4362,1053.7505,5488.7752,5163.6946,-4337.8314,-1584.2148,5419.9305,5214.0514,5384.1554,5792.2819,-2154.9793,-3546.4447,5517.6158,4490.8374,1529.1061,4361.1125,-4642.7453,2739.7351,5300.4836,2700.6188,-3838.0937,3300.5297,5508.0436,579.9327,66.5810,5437.0575,-9.4058,2010.7568,-4311.6555,-2356.7588,-2482.6938,-5363.8333,-2122.6563,5372.2531,-1270.0234,5488.7137,-4594.3471,-3077.8583,530.8297,-2793.0370,1614.8494,-1649.7046,1112.3574,-1160.6618,4065.7151,-4778.2090,3634.3014,5442.2971,2163.6839,4913.9243,3337.5764,3478.5519,-5144.8076,992.6555,-2417.9019,-1831.4242,462.6189,2991.3453,5492.9772,4707.1943,-4614.4187,2633.7065,-1055.2838,2883.5054,-5083.9450,192.2924,1949.4749,5465.4650,-5439.2042,3652.9171,765.8930,-21852.5818,-24704.6192,-25030.4176,-17663.0871,-19284.3841,-29999.4071,-30089.3418,-23855.4883,58828548.7245,58807909.0015,58849263.8402,58825908.2878,-23466.9726,58835738.9176,
300.000,-6883.5424,3806.0387,-306.2951,-6041.2093,2782.1348,6092.3152,661.4630,-6137.5817,-6763.9478,-6338.2316,2807.8642,-2670.9753,78.1205,-6539.9278,-2664.5396,-1199.7115,-5108.0966,-5948.0031,63.6612,4524.8538,-2164.5793,5471.3796,-3148.7260,-4194.3898,-4848.1590,474.4772,751.9901,-2676.9116,-4032.9379,-3122.4603,-2306.6871,3289.6442,-4142.6203,2572.2863,-6872.6637,4216.9540,-1246.8389,2477.5255,1875.6859,-4837.0436,5692.3432,199.9239,-2471.8427,6678.1967,-2406.9483,-5049.5294,1349.9656,-185.3287,631.1567,-2791.7678,-782.0994,-1462.9822,2040.0300,2781.9343,-3271.0916,-5702.4250,-5581.3438,-2144.2330,-1119.4487,1802.9805,-281.0490,-6877.6949,-3937.9008,-6183.2240,-2043.3109,-5397.7769,-5076.4430,-2067.1946,-706.3498,-6591.1759,-1650.9098,116.2835,-3927.8362,4355.5967,-4421.3358,5962.9692,-4865.1398,-4662.6446,-3081.2821,-1732.9730,5755.1807,2400.6756,4431.3964,-6844.8663,-5815.8927,3139.8554,5095.1424,4509.4775,5124.7203,4872.2946,-6682.6320,4423.0745,6259.8134,-2010.2275,4601.9410,5024.7510,-1661.5621,-4970.7885,-4848.7635,-5248.8546,-314230.1174,-305358.3505,-317371.7552,-320040.5319,-314064.3311,-316518.8056,-310813.2950,-313211.2091,165725556.8675,165743661.0696,165721515.7791,165720129.0490,-314642.1627,165714380.5421,-237.8701,2495.5859,-4648.6442,-69.2546,-3173.2892,-1688.6452,-4433.8979,-2859.7792,1018.6254,2809.9802,4794.9027,-6286.6805,-5586.4513,-477.9699,-4988.4352,-6643.5330,-100.0732,-1540.1937,6574.2951,-4940.6336,-379.0813,-3627.4352,5866.5279,-3926.7901,4069.7668,-4216.3408,2273.9674,3291.1419,-3175.3177,4459.1596,5903.3269,2892.9205,143.6822,-5410.3714,884.2011,634.4732,3956.3222,-239.7508,71.9607,-4919.4376,-3197.6779,-4432.5937,-2618.8315,1379.0888,-5265.9693,1639.8190,-5369.7003,4844.4847,-5512.8351,5883.8438,-6579.3227,-4151.7823,-6491.9392,-6184.6021,-2699.7531,-3494.4219,2019.2849,-5615.9344,-5528.7855,-6635.0264,5133.3192,-617.3813,-3160.2263,-2856.2966,-4351.8887,-1248.9637,-2410.1513,6304.3830,-6636.6670,1738.1112,6715.4378,6884.8253,-4945.4884,-2630.1574,-3912.1023,2533.8521,864.0500,3627.6880,-4865.2811,4864.7375,3626.9091,5458.6049,4569.6091,-275.4564,-1525.2335,-5905.7393,4400.6627,-1619.7633,-1740.5537,1507.5530,-1372.2458,-5259.2034,2586.7239,-5198.0564,-4886.2458,-3146.6327,-3947.2567,375.2100,2217.7099,-4408.6610,-196813.0596,-210701.5163,-208365.6697,-203914.1512,-209846.1518,-207343.0563,-201018.9232,-202460.7159,210328788.9358,210328674.9389,210328175.4729,210348959.9352,-203068.3219,210344206.4034,-597.6817,5207.6120,4714.8747,3396.0466,5468.7915,-2884.2790,5257.7035,-1060.9340,994.1282,-443.0572,-4129.3006,1066.3431,-4097.5194,-2211.0944,3969.3021,-1191.5629,4678.6320,3244.0423,-2154.2529,-704.9599,6576.0019,-2156.0903,-1870.8448,-3887.3880,-2529.6266,5450.3417,6515.5315,5457.0126,-4668.2598,4260.8923,2752.4850,5312.5852,5528.8839,-3498.9069,534.5347,5319.3415,5511.2499,6471.9163,6673.1162,-682.6671,-2348.5148,5300.2799,5926.0257,-7.5689,3588.0832,-4285.5531,4144.3653,4671.2429,4118.7590,-2339.9123,2033.0317,5322.3202,-1234.0941,-1461.6051,5455.8979,-1540.9740,3569.8251,-2977.0866,-3849.8503,-747.1429,-4628.8381,-646.8704,4689.3090,279.2101,4965.2611,-4051.5298,-4071.3568,2017.2039,-1408.2826,83.2732,145.8085,-698.8170,-2846.2292,4597.3896,-3614.7204,2465.7555,4840.1977,3401.1551,3832.3352,4586.0409,1385.0894,-3580.8625,2701.9215,-676.4375,-3420.4470,-1358.6263,1651.2218,4980.8055,4327.0049,-4703.8331,1226.9343,1069.7348,1521.7736,-4099.7348,-1607.4496,3517.8322,5419.0208,-4803.4210,4423.6475,-1047.1283,-21624.0489,-24562.0913,-24807.2008,-17633.7469,-18989.1017,-29672.7770,-30112.1890,-24154.7308,58825737.3385,58805201.0798,58846446.1964,58823334.6427,-23318.4063,58833138.1503,
600.000,-6429.7265,4142.5013,-2097.6080,-5180.9124,1314.7693,4765.9026,-1429.4544,-6586.6866,-6501.8620,-5885.8388,3591.0803,-3758.1810,-1443.1090,-5763.3330,-4274.7896,-2394.0725,-5115.7034,-6761.1111,1326.0894,3247.2628,-3744.3759,4950.3647,-1656.8295,-4848.5907,-3148.3998,-1679.2323,2703.7090,-1159.5688,-4982.4375,-2196.2549,-690.4697,4899.7348,-3802.8897,1125.4542,-6281.5518,4825.7759,859.2097,481.3048,-160.1687,-5772.5845,5056.3319,-1769.9883,-623.1198,6641.1911,-4182.2338,-4652.7324,-466.4003,1555.4513,-1063.1064,-1752.7884,-2346.7141,-3482.8053,674.0891,1118.8220,-4738.7964,-5947.3060,-4041.4738,-3581.2661,-2395.0923,605.3032,1356.0535,-6817.6278,-5508.5017,-6441.2277,-3936.1428,-6118.4439,-5158.1651,-335.9702,-2231.4855,-5890.2865,-392.2574,1319.2077,-4371.0681,2847.9687,-5777.5558,6762.9313,-5168.8256,-2856.3801,-4641.2944,252.9808,5575.9588,3384.4730,4710.7373,-6721.5093,-5128.8417,1712.1587,6119.9665,4456.9573,4723.8298,5425.1663,-6925.2315,3503.0797,6843.7147,-3658.3050,3180.5024,3310.3807,-3666.2977,-5471.4154,-3385.2713,-5569.8490,-310189.5253,-301011.2012,-313125.0211,-315647.2909,-309671.0101,-312137.3470,-306522.4072,-309181.8295,161094355.4215,161112595.3140,161090938.1431,161088399.0355,-310275.8351,161083192.6233,983.3612,367.4894,-3440.7902,1703.7130,-4683.6211,-2074.7498,-3884.2013,-1727.1276,2204.0525,3285.3416,3010.0987,-5756.3172,-6224.4920,876.2638,-4817.7049,-6390.8952,2007.3528,-1012.5626,6777.5646,-5366.7623,-1698.5855,-4802.3077,5757.8238,-1984.0242,4801.0259,-3881.8939,1264.6638,4747.7521,-1243.0742,5883.6330,5475.7868,1625.4398,2283.7571,-6451.6231,1438.4424,-1356.4742,4436.7618,795.8162,1092.5726,-3737.8313,-4663.5622,-4929.6310,-1544.5321,-165.4055,-4808.0419,3607.2624,-4641.8642,5540.1977,-4545.7351,6666.9074,-6500.2337,-3843.7258,-6236.9781,-6234.0163,-1192.9280,-1823.1076,3013.9229,-5521.9160,-4096.3593,-6804.0111,5871.6137,888.3264,-2222.4472,-1314.1148,-4127.1217,540.4799,-332.4280,6093.9333,-6442.7664,3109.7218,6629.5629,6344.7557,-3321.4157,-4189.3697,-3204.5641,1131.4367,2707.0087,4491.7637,-4568.4538,4371.3894,4050.4654,5850.9555,2936.2501,938.1562,142.3252,-5873.8297,3256.9346,-3530.4323,-3685.3450,-532.3891,122.7092,-5154.1210,1176.4541,-5226.9037,-5204.8066,-3796.4126,-3369.3119,2153.8973,3773.8675,-3087.1035,-203185.5137,-217092.9044,-214927.0964,-210476.1210,-216477.2977,-214016.2618,-207631.6107,-208993.9112,213901970.5742,213902469.7830,213901218.1520,213922432.0690,-209671.6780,213917296.6813,-2347.7974,5524.9927,5261.3081,4273.8137,4905.4338,-4613.2600,5531.5954,762.0016,-819.3624,1673.5284,-5096.9000,-750.2089,-2677.0787,-3731.2246,2506.8688,629.4024,4219.1418,1251.8165,-387.3819,-2460.3248,5584.7943,-392.4555,-3457.1309,-4548.4328,-3676.2704,5460.3301,6267.1740,4888.7670,-4666.2205,2894.1618,4153.7516,4557.9614,5298.5388,-2286.5756,2596.4217,4622.2492,5211.6663,6870.7682,6843.2703,862.7460,-899.8299,4512.3790,6729.9214,-1543.4076,2410.7114,-3448.1658,5102.8914,3497.7139,5092.4640,-589.9311,547.6515,4562.3235,-2915.0244,-2833.5854,4887.0960,-2902.5088,4746.0727,-1291.2420,-4912.6143,1068.9811,-3396.2554,898.0997,3496.4547,1796.9739,3906.8391,-3062.5841,-4630.9223,3287.7556,134.7440,-1457.7019,1925.5685,-2434.7957,-4226.5476,4621.8044,-2062.9885,1033.2306,3717.7417,4256.1286,2338.3537,5339.1092,-856.1249,-1637.7896,4119.8297,1138.9981,-4641.2558,-3027.4604,134.2090,3931.9936,3483.7818,-4292.0038,-311.3295,3081.2308,-2.2927,-2674.7169,-3232.7992,4703.6326,4788.0021,-3652.4533,4720.7946,-2748.0997,-21398.2319,-24419.2364,-24581.1335,-17609.5079,-18697.4474,-29340.4113,-30129.3017,-24387.4296,58822929.0948,58802494.2763,58843623.5468,58820780.9925,-23169.8240,58830537.1791,
