sl_10_5400_20250504 Coordinates.csv
2025/05/04 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:52 2024,
Start: 2025/05/04 07:47:00.00, Stop: 2025/05/04 09:17:00.00,
TIME_UNITS,STARLINK-1150 - X-Coordinate,STARLINK-3243 - X-Coordinate,STARLINK-11241 [DTC] - X-Coordinate,STARLINK-32272 - X-Coordinate,STARLINK-5000 - X-Coordinate,STARLINK-31492 - X-Coordinate,STARLINK-2403 - X-Coordinate,STARLINK-2421 - X-Coordinate,STARLINK-1999 - X-Coordinate,STARLINK-11272 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-1150 - Y-Coordinate,STARLINK-3243 - Y-Coordinate,STARLINK-11241 [DTC] - Y-Coordinate,STARLINK-32272 - Y-Coordinate,STARLINK-5000 - Y-Coordinate,STARLINK-31492 - Y-Coordinate,STARLINK-2403 - Y-Coordinate,STARLINK-2421 - Y-Coordinate,STARLINK-1999 - Y-Coordinate,STARLINK-11272 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-1150 - Z-Coordinate,STARLINK-3243 - Z-Coordinate,STARLINK-11241 [DTC] - Z-Coordinate,STARLINK-32272 - Z-Coordinate,STARLINK-5000 - Z-Coordinate,STARLINK-31492 - Z-Coordinate,STARLINK-2403 - Z-Coordinate,STARLINK-2421 - Z-Coordinate,STARLINK-1999 - Z-Coordinate,STARLINK-11272 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-1437.2761,-4149.5556,-569.8825,-701.7222,-2375.0647,4876.8517,1501.6905,-910.0623,3794.3193,5682.2317,320663.6707,334805.9841,322950.0265,323922.2780,324115.4891,324147.5029,332668.0426,327495.4952,177900429.0268,177919846.8520,177911197.9617,177921964.7297,328411.9358,177915008.9825,-4405.3138,3003.6419,-5438.8487,6661.6082,-4764.1989,4038.6084,4223.9393,-5656.4099,-3942.6318,-2844.6797,162320.4166,151251.7279,147990.9658,153375.8558,145047.5161,148642.5253,148985.2748,151369.5471,99199260.9470,99184127.8955,99181531.8820,99197796.1853,150267.0458,99206632.9592,5114.1295,4641.9926,-3810.0451,-1170.6434,4408.0955,-2546.1062,-5267.2088,3875.9412,-4249.6341,-2252.6860,140261.0189,139657.7226,136724.9557,144285.5362,142461.1995,131743.1358,131841.6356,137270.9410,75552607.0394,75533897.4737,75565819.4998,75557347.0523,138373.0102,75564873.2082,
300.000,-2973.6557,-3688.9554,-2006.1067,599.5814,-3338.7691,5954.2272,3102.1650,-2470.9171,1843.7378,5320.1120,317195.4549,331848.3437,319692.5579,320777.1077,320920.2079,320910.5758,329421.4463,323994.5278,175695116.3978,175714927.3081,175706551.5885,175717006.0562,325220.3681,175709719.2406,-2908.3773,4747.3793,-4103.6267,6138.7317,-3001.0127,3231.8611,2773.1418,-6003.8730,-4231.9957,-4110.9704,168930.2973,158148.2197,155018.0284,160302.6495,151920.9137,155499.0234,155950.7724,158320.5657,103064911.2426,103050070.5942,103046960.8621,103063858.3031,157182.6109,103072208.9829,5506.1009,3416.8441,-4854.3928,-2866.6603,5253.4063,-809.5924,-5524.9186,2394.1262,-5166.7896,-475.7796,140136.1630,139595.1983,136706.8237,144079.9510,142521.7015,131829.1234,131577.8834,137575.2030,75552538.3918,75533809.0567,75565450.4204,75557031.0135,138283.8385,75564821.7358,
600.000,-4261.6270,-2899.3713,-3271.1161,1870.2443,-4028.6026,6409.7246,4440.2547,-3765.1162,-297.8713,4387.9808,313592.4758,328739.6283,316292.4119,317487.5433,317582.6931,317532.3222,326025.4355,320437.4523,173405823.0121,173426016.5605,173417933.2419,173428040.6617,321883.1267,173420452.3495,-1160.8448,6010.4187,-2338.3963,4981.5029,-952.8615,2098.0988,1090.8125,-5772.0220,-4161.5209,-4929.8250,175464.4682,164986.2361,161977.6492,167162.5349,158728.5181,162286.5995,162846.5388,165109.5903,106881557.2467,106867017.0702,106863408.9067,106880940.1842,164030.4663,106888781.9881,5302.5392,1823.4943,-5316.3277,-4238.0272,5532.6474,1017.8241,-5189.1127,654.6020,-5531.4662,1356.5148,140010.9432,139530.7651,136691.6070,143869.1724,142578.4757,131920.7100,131319.8051,137931.2695,75552475.1258,75533722.5690,75565081.0216,75556726.8703,138194.5796,75564770.0909,
900.000,-5169.9658,-1841.5687,-4228.8775,2992.6772,-4378.8382,6204.0479,5379.3947,-4679.6073,-2418.5750,2972.1312,309856.4515,325481.5477,312751.1016,314055.1327,314104.1548,314014.4045,322481.6966,316844.4891,171033637.4013,171054202.9375,171046430.5814,171056155.7643,318401.6467,171048296.7828,663.3203,6670.6371,-343.3309,3317.2176,1174.4684,735.5143,-658.0984,-4971.7428,-3742.6394,-5229.1034,181920.2012,171762.6101,168866.7317,173952.3776,165467.2465,169002.4693,169669.2893,171742.9935,110647374.6876,110633142.7575,110629052.0451,110647215.8213,170807.5423,110654527.8578,4525.4196,33.6223,-5140.9352,-5130.2780,5215.9022,2730.7791,-4295.4990,-1155.3796,-5304.9618,3030.6257,139885.3586,139464.5612,136679.1646,143653.0932,142631.5403,132017.9731,131067.3203,138306.3513,75552417.2466,75533638.0352,75564711.3780,75556434.9890,138105.2335,75564718.2734,
1200.000,-5600.3587,-601.1496,-4770.3583,3859.5819,-4350.7799,5367.3692,5817.7256,-5140.6115,-4307.5383,1213.4091,305989.1567,322075.8209,309070.2019,310481.5026,310485.8788,310358.5536,318791.9761,313227.7123,168579687.7216,168600614.3981,168593170.8812,168602478.3017,314777.4274,168594380.6314,2386.8989,6667.6479,1659.7940,1324.4660,3169.0847,-732.0316,-2306.4534,-3670.8702,-3014.0985,-4992.2140,188294.8085,178474.1909,175682.2134,180669.0664,172134.0479,175643.9003,176415.7868,178233.5316,114360563.4653,114346647.2555,114342090.4460,114360883.3197,177510.7996,114367646.6441,3258.6161,-1759.9015,-4349.0449,-5443.3316,4337.2258,4136.6465,-2939.4724,-2841.2245,-4511.2209,4351.3593,139759.4086,139396.7094,136669.3502,143431.6008,142680.9143,132120.9927,130820.3517,138666.9300,75552364.7571,75533555.4807,75564341.5636,75556155.7333,138015.8003,75564666.2834,
1500.000,-5498.3503,718.0186,-4825.8359,4383.7228,-3937.1273,3994.9371,5699.4786,-5119.0988,-5775.7326,-707.0564,301992.4211,318524.1834,305251.3482,306768.3593,306729.2252,306566.5683,314958.0806,309590.3508,166045141.2165,166066417.9960,166059320.4947,166068174.3961,311012.0325,166059871.0673,3846.6869,6008.3599,3451.8034,-786.2824,4834.1587,-2166.2019,-3700.7016,-1988.3819,-2038.5646,-4257.8816,194585.6441,185117.8485,182421.0658,187309.5138,178725.9037,182208.2147,183082.8432,184598.8026,118019348.5118,118005755.1891,118000749.2783,118020165.7611,184137.2305,118026363.4281,1639.0692,-3364.1521,-3034.9343,-5142.1460,2991.0970,5077.5218,-1266.4485,-4222.2294,-3234.4911,5164.9344,139633.0925,139327.3195,136662.0124,143204.5772,142726.6166,132229.8507,130578.8250,138980.8182,75552317.6573,75533474.9307,75563971.6513,75555889.4647,137926.2801,75564614.1208,
1800.000,-4860.4341,2002.2810,-4374.1468,4506.4061,-3164.0345,2235.6952,5022.4318,-4631.5143,-6674.9740,-2586.8113,297868.1291,314828.3937,301296.2353,302917.4897,302835.6266,302640.3156,310981.8759,305926.5944,163431203.6621,163452819.3243,163446084.3002,163454448.8011,307107.0890,163445973.7888,4909.1385,4765.2165,4839.8787,-2794.6614,6007.5979,-3427.1937,-4715.2560,-83.1764,-897.7262,-3113.9898,200790.1050,191690.4784,189080.2969,193870.6563,185239.8291,188692.7924,189667.3191,190859.5094,121621980.6402,121608717.0582,121603279.5593,121623312.0551,190683.8606,121628929.1685,-157.9200,-4607.1540,-1355.7337,-4260.3816,1322.4810,5447.9421,543.3578,-5150.9648,-1610.8689,5376.7905,139506.4095,139256.4898,136656.9947,142971.8983,142768.6663,132344.6306,130342.6690,139219.0642,75552275.9450,75533396.4113,75563601.7136,75555636.5441,137836.6730,75564561.7857,
2100.000,-3736.1236,3137.7323,-3447.4827,4204.1055,-2090.3444,275.6534,3840.1387,-3736.1099,-6913.4389,-4223.5130,293618.2187,310990.2387,297206.6171,298930.7618,298806.5873,298581.7308,306865.2872,302221.8966,160739118.7929,160761061.9422,160754705.1285,160762544.3301,303064.2865,160753932.4464,5482.7572,3067.6075,5678.5936,-4493.0476,6578.2579,-4387.2581,-5264.0114,1861.1612,313.9730,-1686.7402,206905.6322,198189.0044,195656.9512,200349.4545,191672.8738,195095.0746,196166.1247,197037.6122,125166737.3804,125153810.0738,125147958.9908,125168597.7785,197147.7499,125173621.5378,-1937.8584,-5356.2058,486.8212,-2896.9063,-488.7240,5206.4598,2294.3716,-5528.6519,185.7895,4962.3045,139379.3590,139184.3091,136654.1360,142733.4343,142807.0821,132465.4173,130111.8156,139357.6927,75552239.6154,75533319.9488,75563231.8221,75555397.3319,137746.9790,75564509.2779,
2400.000,-2224.4136,4019.9423,-2130.4719,3492.5197,-803.6984,-1681.9518,2258.1965,-2525.7625,-6465.7308,-5436.7078,289244.6801,307011.5375,292984.3049,294810.1269,294643.6813,294392.8183,302610.2982,298453.7926,157970167.7104,157992426.7833,157986463.1722,157993741.2665,298885.3768,157985028.0513,5525.8144,1087.8643,5885.7016,-5707.9976,6496.7957,-4943.5585,-5307.6490,3653.9489,1496.6892,-126.6284,212929.7123,204610.3817,202148.1118,206742.8929,198022.1231,201412.5674,202576.2206,203154.4381,128651923.8035,128639338.9818,128633092.7830,128654326.0015,203525.9940,128658745.7455,-3508.4825,-5531.6059,2270.6026,-1205.2895,-2247.3138,4380.1123,3797.1466,-5315.1692,1962.4340,3969.5573,139251.9402,139110.8571,136653.2713,142489.0493,142841.8825,132592.2962,129886.1997,139379.2689,75552208.6612,75533245.5700,75562862.0480,75555172.1893,137657.1982,75564456.5976,
