sl_100_5400_20250418 Coordinates.csv
2025/04/18 07:47:00.0000 UTC

Generated: Tue Oct  8 15:34:47 2024,
Start: 2025/04/18 07:47:00.00, Stop: 2025/04/18 09:17:00.00,
TIME_UNITS,STARLINK-11213 [DTC] - X-Coordinate,STARLINK-2479 - X-Coordinate,STARLINK-3687 - X-Coordinate,STARLINK-31464 - X-Coordinate,STARLINK-3797 - X-Coordinate,STARLINK-4442 - X-Coordinate,STARLINK-11234 [DTC] - X-Coordinate,STARLINK-3044 - X-Coordinate,STARLINK-6062 - X-Coordinate,STARLINK-3773 - X-Coordinate,STARLINK-3296 - X-Coordinate,STARLINK-3967 - X-Coordinate,STARLINK-3333 - X-Coordinate,STARLINK-2464 - X-Coordinate,STARLINK-5133 - X-Coordinate,STARLINK-3920 - X-Coordinate,STARLINK-5844 - X-Coordinate,STARLINK-1802 - X-Coordinate,STARLINK-3234 - X-Coordinate,STARLINK-1862 - X-Coordinate,STARLINK-4381 - X-Coordinate,STARLINK-31557 - X-Coordinate,STARLINK-31528 - X-Coordinate,STARLINK-31868 - X-Coordinate,STARLINK-30946 - X-Coordinate,STARLINK-31025 - X-Coordinate,STARLINK-4502 - X-Coordinate,STARLINK-31077 - X-Coordinate,STARLINK-3837 - X-Coordinate,STARLINK-30056 - X-Coordinate,STARLINK-6375 - X-Coordinate,STARLINK-4477 - X-Coordinate,STARLINK-31366 - X-Coordinate,STARLINK-31796 - X-Coordinate,STARLINK-5359 - X-Coordinate,STARLINK-5943 - X-Coordinate,STARLINK-31596 - X-Coordinate,STARLINK-3711 - X-Coordinate,STARLINK-3642 - X-Coordinate,STARLINK-1474 - X-Coordinate,STARLINK-5038 - X-Coordinate,STARLINK-3712 - X-Coordinate,STARLINK-6159 - X-Coordinate,STARLINK-3241 - X-Coordinate,STARLINK-6255 - X-Coordinate,STARLINK-5402 - X-Coordinate,STARLINK-2152 - X-Coordinate,STARLINK-2639 - X-Coordinate,STARLINK-31344 - X-Coordinate,STARLINK-32014 - X-Coordinate,STARLINK-1806 - X-Coordinate,STARLINK-30305 - X-Coordinate,STARLINK-11167 [DTC] - X-Coordinate,STARLINK-30967 - X-Coordinate,STARLINK-4602 - X-Coordinate,STARLINK-30464 - X-Coordinate,STARLINK-3569 - X-Coordinate,STARLINK-5616 - X-Coordinate,STARLINK-4218 - X-Coordinate,STARLINK-5985 - X-Coordinate,STARLINK-6099 - X-Coordinate,STARLINK-2279 - X-Coordinate,STARLINK-1341 - X-Coordinate,STARLINK-31029 - X-Coordinate,STARLINK-3509 - X-Coordinate,STARLINK-2562 - X-Coordinate,STARLINK-2487 - X-Coordinate,STARLINK-1318 - X-Coordinate,STARLINK-6223 - X-Coordinate,STARLINK-2505 - X-Coordinate,STARLINK-3103 - X-Coordinate,STARLINK-3651 - X-Coordinate,STARLINK-32246 - X-Coordinate,STARLINK-31896 - X-Coordinate,STARLINK-2408 - X-Coordinate,STARLINK-2404 - X-Coordinate,STARLINK-30472 - X-Coordinate,STARLINK-11186 [DTC] - X-Coordinate,STARLINK-30359 - X-Coordinate,STARLINK-1626 - X-Coordinate,STARLINK-3292 - X-Coordinate,STARLINK-1201 - X-Coordinate,STARLINK-3256 - X-Coordinate,STARLINK-4200 - X-Coordinate,STARLINK-5024 - X-Coordinate,STARLINK-3281 - X-Coordinate,STARLINK-1240 - X-Coordinate,STARLINK-1449 - X-Coordinate,STARLINK-31608 - X-Coordinate,STARLINK-4300 - X-Coordinate,STARLINK-1781 - X-Coordinate,STARLINK-30551 - X-Coordinate,STARLINK-4089 - X-Coordinate,STARLINK-4697 - X-Coordinate,STARLINK-1920 - X-Coordinate,STARLINK-2332 - X-Coordinate,STARLINK-4675 - X-Coordinate,STARLINK-30316 - X-Coordinate,STARLINK-30852 - X-Coordinate,STARLINK-2111 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-11213 [DTC] - Y-Coordinate,STARLINK-2479 - Y-Coordinate,STARLINK-3687 - Y-Coordinate,STARLINK-31464 - Y-Coordinate,STARLINK-3797 - Y-Coordinate,STARLINK-4442 - Y-Coordinate,STARLINK-11234 [DTC] - Y-Coordinate,STARLINK-3044 - Y-Coordinate,STARLINK-6062 - Y-Coordinate,STARLINK-3773 - Y-Coordinate,STARLINK-3296 - Y-Coordinate,STARLINK-3967 - Y-Coordinate,STARLINK-3333 - Y-Coordinate,STARLINK-2464 - Y-Coordinate,STARLINK-5133 - Y-Coordinate,STARLINK-3920 - Y-Coordinate,STARLINK-5844 - Y-Coordinate,STARLINK-1802 - Y-Coordinate,STARLINK-3234 - Y-Coordinate,STARLINK-1862 - Y-Coordinate,STARLINK-4381 - Y-Coordinate,STARLINK-31557 - Y-Coordinate,STARLINK-31528 - Y-Coordinate,STARLINK-31868 - Y-Coordinate,STARLINK-30946 - Y-Coordinate,STARLINK-31025 - Y-Coordinate,STARLINK-4502 - Y-Coordinate,STARLINK-31077 - Y-Coordinate,STARLINK-3837 - Y-Coordinate,STARLINK-30056 - Y-Coordinate,STARLINK-6375 - Y-Coordinate,STARLINK-4477 - Y-Coordinate,STARLINK-31366 - Y-Coordinate,STARLINK-31796 - Y-Coordinate,STARLINK-5359 - Y-Coordinate,STARLINK-5943 - Y-Coordinate,STARLINK-31596 - Y-Coordinate,STARLINK-3711 - Y-Coordinate,STARLINK-3642 - Y-Coordinate,STARLINK-1474 - Y-Coordinate,STARLINK-5038 - Y-Coordinate,STARLINK-3712 - Y-Coordinate,STARLINK-6159 - Y-Coordinate,STARLINK-3241 - Y-Coordinate,STARLINK-6255 - Y-Coordinate,STARLINK-5402 - Y-Coordinate,STARLINK-2152 - Y-Coordinate,STARLINK-2639 - Y-Coordinate,STARLINK-31344 - Y-Coordinate,STARLINK-32014 - Y-Coordinate,STARLINK-1806 - Y-Coordinate,STARLINK-30305 - Y-Coordinate,STARLINK-11167 [DTC] - Y-Coordinate,STARLINK-30967 - Y-Coordinate,STARLINK-4602 - Y-Coordinate,STARLINK-30464 - Y-Coordinate,STARLINK-3569 - Y-Coordinate,STARLINK-5616 - Y-Coordinate,STARLINK-4218 - Y-Coordinate,STARLINK-5985 - Y-Coordinate,STARLINK-6099 - Y-Coordinate,STARLINK-2279 - Y-Coordinate,STARLINK-1341 - Y-Coordinate,STARLINK-31029 - Y-Coordinate,STARLINK-3509 - Y-Coordinate,STARLINK-2562 - Y-Coordinate,STARLINK-2487 - Y-Coordinate,STARLINK-1318 - Y-Coordinate,STARLINK-6223 - Y-Coordinate,STARLINK-2505 - Y-Coordinate,STARLINK-3103 - Y-Coordinate,STARLINK-3651 - Y-Coordinate,STARLINK-32246 - Y-Coordinate,STARLINK-31896 - Y-Coordinate,STARLINK-2408 - Y-Coordinate,STARLINK-2404 - Y-Coordinate,STARLINK-30472 - Y-Coordinate,STARLINK-11186 [DTC] - Y-Coordinate,STARLINK-30359 - Y-Coordinate,STARLINK-1626 - Y-Coordinate,STARLINK-3292 - Y-Coordinate,STARLINK-1201 - Y-Coordinate,STARLINK-3256 - Y-Coordinate,STARLINK-4200 - Y-Coordinate,STARLINK-5024 - Y-Coordinate,STARLINK-3281 - Y-Coordinate,STARLINK-1240 - Y-Coordinate,STARLINK-1449 - Y-Coordinate,STARLINK-31608 - Y-Coordinate,STARLINK-4300 - Y-Coordinate,STARLINK-1781 - Y-Coordinate,STARLINK-30551 - Y-Coordinate,STARLINK-4089 - Y-Coordinate,STARLINK-4697 - Y-Coordinate,STARLINK-1920 - Y-Coordinate,STARLINK-2332 - Y-Coordinate,STARLINK-4675 - Y-Coordinate,STARLINK-30316 - Y-Coordinate,STARLINK-30852 - Y-Coordinate,STARLINK-2111 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-11213 [DTC] - Z-Coordinate,STARLINK-2479 - Z-Coordinate,STARLINK-3687 - Z-Coordinate,STARLINK-31464 - Z-Coordinate,STARLINK-3797 - Z-Coordinate,STARLINK-4442 - Z-Coordinate,STARLINK-11234 [DTC] - Z-Coordinate,STARLINK-3044 - Z-Coordinate,STARLINK-6062 - Z-Coordinate,STARLINK-3773 - Z-Coordinate,STARLINK-3296 - Z-Coordinate,STARLINK-3967 - Z-Coordinate,STARLINK-3333 - Z-Coordinate,STARLINK-2464 - Z-Coordinate,STARLINK-5133 - Z-Coordinate,STARLINK-3920 - Z-Coordinate,STARLINK-5844 - Z-Coordinate,STARLINK-1802 - Z-Coordinate,STARLINK-3234 - Z-Coordinate,STARLINK-1862 - Z-Coordinate,STARLINK-4381 - Z-Coordinate,STARLINK-31557 - Z-Coordinate,STARLINK-31528 - Z-Coordinate,STARLINK-31868 - Z-Coordinate,STARLINK-30946 - Z-Coordinate,STARLINK-31025 - Z-Coordinate,STARLINK-4502 - Z-Coordinate,STARLINK-31077 - Z-Coordinate,STARLINK-3837 - Z-Coordinate,STARLINK-30056 - Z-Coordinate,STARLINK-6375 - Z-Coordinate,STARLINK-4477 - Z-Coordinate,STARLINK-31366 - Z-Coordinate,STARLINK-31796 - Z-Coordinate,STARLINK-5359 - Z-Coordinate,STARLINK-5943 - Z-Coordinate,STARLINK-31596 - Z-Coordinate,STARLINK-3711 - Z-Coordinate,STARLINK-3642 - Z-Coordinate,STARLINK-1474 - Z-Coordinate,STARLINK-5038 - Z-Coordinate,STARLINK-3712 - Z-Coordinate,STARLINK-6159 - Z-Coordinate,STARLINK-3241 - Z-Coordinate,STARLINK-6255 - Z-Coordinate,STARLINK-5402 - Z-Coordinate,STARLINK-2152 - Z-Coordinate,STARLINK-2639 - Z-Coordinate,STARLINK-31344 - Z-Coordinate,STARLINK-32014 - Z-Coordinate,STARLINK-1806 - Z-Coordinate,STARLINK-30305 - Z-Coordinate,STARLINK-11167 [DTC] - Z-Coordinate,STARLINK-30967 - Z-Coordinate,STARLINK-4602 - Z-Coordinate,STARLINK-30464 - Z-Coordinate,STARLINK-3569 - Z-Coordinate,STARLINK-5616 - Z-Coordinate,STARLINK-4218 - Z-Coordinate,STARLINK-5985 - Z-Coordinate,STARLINK-6099 - Z-Coordinate,STARLINK-2279 - Z-Coordinate,STARLINK-1341 - Z-Coordinate,STARLINK-31029 - Z-Coordinate,STARLINK-3509 - Z-Coordinate,STARLINK-2562 - Z-Coordinate,STARLINK-2487 - Z-Coordinate,STARLINK-1318 - Z-Coordinate,STARLINK-6223 - Z-Coordinate,STARLINK-2505 - Z-Coordinate,STARLINK-3103 - Z-Coordinate,STARLINK-3651 - Z-Coordinate,STARLINK-32246 - Z-Coordinate,STARLINK-31896 - Z-Coordinate,STARLINK-2408 - Z-Coordinate,STARLINK-2404 - Z-Coordinate,STARLINK-30472 - Z-Coordinate,STARLINK-11186 [DTC] - Z-Coordinate,STARLINK-30359 - Z-Coordinate,STARLINK-1626 - Z-Coordinate,STARLINK-3292 - Z-Coordinate,STARLINK-1201 - Z-Coordinate,STARLINK-3256 - Z-Coordinate,STARLINK-4200 - Z-Coordinate,STARLINK-5024 - Z-Coordinate,STARLINK-3281 - Z-Coordinate,STARLINK-1240 - Z-Coordinate,STARLINK-1449 - Z-Coordinate,STARLINK-31608 - Z-Coordinate,STARLINK-4300 - Z-Coordinate,STARLINK-1781 - Z-Coordinate,STARLINK-30551 - Z-Coordinate,STARLINK-4089 - Z-Coordinate,STARLINK-4697 - Z-Coordinate,STARLINK-1920 - Z-Coordinate,STARLINK-2332 - Z-Coordinate,STARLINK-4675 - Z-Coordinate,STARLINK-30316 - Z-Coordinate,STARLINK-30852 - Z-Coordinate,STARLINK-2111 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,5567.3553,-4778.6092,-3171.5315,-4647.0170,-3082.3475,940.3293,-4244.6453,4025.5164,-6787.5618,-2448.4292,-3222.4785,3129.2163,-4881.8423,4985.3434,1093.7908,-2526.9171,5316.1079,-3244.2090,4006.6373,-6124.4323,6124.6330,0.0000,6079.4800,-216.0590,-5994.8628,-4065.5208,-687.9430,-2384.4767,-4343.3991,4751.5366,-4760.8828,4512.9364,489.2559,3958.0257,980.2340,-5563.1180,-4434.5660,-876.5431,-3571.6605,3692.7042,2295.7449,5941.9737,5059.9123,-1899.9143,-5526.7780,234.7108,-835.2996,-4464.9433,-4124.3707,-3939.9356,3233.6666,5973.4711,-1089.9421,-5065.4303,3798.7162,-750.1385,-5703.3265,5420.1372,4808.6729,1839.7181,-1214.2529,-5516.5273,-1428.5051,-5866.2257,-2834.0112,4799.1719,6012.2412,-6821.4962,3884.1697,-634.9418,-4546.5124,-680.9755,1521.7719,4181.9941,609.1674,6005.2429,-5352.5271,220.8049,3864.0113,317.8227,-3933.2933,-2230.3021,4255.3059,1785.9382,6204.3084,-3281.0472,698.1888,676.4660,5397.1008,1517.1088,5601.2099,4956.6122,-3457.2056,-3435.3422,5279.7079,6200.4435,5018.8779,2901.3380,-2847.6379,4177.7905,-187425.2976,-193721.4400,-195843.3333,-193479.2438,-195526.5185,-194524.8769,-186233.4723,-189810.2617,168701419.5482,168686859.3123,168696530.8141,168696933.5120,-189992.4348,168689981.4560,-896.2525,-251.9785,2687.3198,1946.9725,-4210.5980,-394.1167,-2153.9366,-2127.8221,-623.7147,3602.7925,-5997.9917,5176.1695,4729.4101,-4272.1978,-6443.6674,-4010.5333,776.6046,3647.2095,-5489.4358,1273.0423,-2975.1451,0.0000,-2436.7660,6795.1805,1516.5080,-5443.5734,5320.9589,4477.5539,1903.8820,-2726.0316,3935.7965,1209.5184,-5967.0762,3363.9632,6363.8244,3886.2398,3275.6769,-5819.7674,-4153.3343,5669.3330,-3258.2867,1018.0035,-4291.4553,-3677.9704,-587.2476,6239.3462,6831.7310,5118.2246,-3970.5280,-1329.7472,-6051.6565,-3363.6600,-3845.8745,-1118.4050,5349.6875,-5923.8463,417.7890,-4177.6931,-796.8578,6578.3685,-6825.4544,-3857.3730,3912.6318,-506.8474,4313.8180,-639.9746,-3398.7999,876.2125,-3486.2211,-4394.9422,4162.0225,6650.3494,4625.0370,-3416.0320,-5035.1209,-2142.8203,1180.0446,4388.2007,3963.5538,4120.3418,-5660.9631,-5349.5176,4943.2661,4950.0386,273.2538,-5988.0993,6812.7167,-5995.0017,2944.5446,3871.7429,3177.1212,-2013.8431,3780.5949,-5802.7265,-3277.3543,2143.2150,2925.1778,5824.9781,4519.3237,-844.3850,-276106.0345,-296380.0898,-295116.0507,-290097.3817,-298158.0160,-294685.6488,-296678.4863,-295290.7217,63657405.3164,63658589.3791,63643399.3899,63645631.0829,-294284.4863,63643468.5402,-3673.7008,4995.5252,-5532.8356,4588.7114,4530.9790,6856.5732,4750.9271,-5218.7298,-1293.9198,-5187.3412,-1224.9764,3348.5508,-1299.2397,2162.1846,-2268.1362,5022.1383,4375.5959,4898.1106,1278.8170,2881.4813,1352.4729,0.0000,2039.1292,582.0546,-3149.5668,904.3114,-4366.4248,-4621.7102,5029.6818,4246.3224,3145.7549,5091.6528,3253.7614,-4420.9660,-2591.0267,-1463.9244,4009.8105,3629.8150,-4228.5485,-1493.3866,-5737.4744,3379.2413,2013.3341,5529.3916,4138.7003,-3025.6588,734.3029,1330.1917,3785.9119,-5417.0254,915.3313,1015.1243,-5326.4768,-4611.9762,-2205.4012,-3535.4939,-3888.8391,-1218.3747,4897.7559,-1302.7798,185.7746,1549.7264,-5530.9373,3644.9571,4590.9143,4936.0923,399.8258,775.0345,4559.4218,-5275.7590,3205.1912,-1779.5168,4871.3589,-4170.4420,-4714.8954,-2703.2419,4238.4306,5102.0515,-4184.0987,5490.4152,557.2951,-3795.7116,-2307.5779,4476.6490,3023.0258,-1107.8784,-994.5300,-3172.9811,2955.7184,-5533.3195,-2551.1440,4403.6943,-4649.8462,-1540.9160,-2977.7781,-2199.1628,-3763.8036,2096.9079,4412.5170,5443.2969,-186793.1891,-191874.7749,-192642.4596,-185017.8710,-186910.0623,-197630.1393,-197466.5696,-189488.5803,74098803.5351,74080590.1201,74070199.3557,74080182.0422,-190967.7759,74089195.3674,
300.000,4184.2939,-5459.2901,-1551.3852,-3405.0689,-3771.0830,773.6050,-4107.8422,3562.1306,-6324.8748,-1035.8201,-4278.4890,4575.6287,-3547.0295,3485.6934,-116.5255,-4391.7605,4902.9710,-2315.1965,2620.2714,-4852.7440,5591.0831,0.0000,4809.3690,1298.1220,-5858.9917,-5193.8213,811.2869,-515.3739,-4138.5046,4019.6340,-3905.6095,4064.6777,-1217.9872,5404.5081,2607.9696,-4678.7029,-3541.1434,-2376.3840,-4032.3490,4346.0274,2038.1139,5109.1663,3474.8776,-3754.4966,-6022.5540,1916.4246,378.3055,-3548.5975,-5631.4293,-4733.5665,2119.7234,4747.0313,-3129.5697,-5584.3936,4343.0542,-2537.0160,-6186.5585,5052.8572,3465.6420,2260.8763,-2616.2412,-5632.6255,667.1095,-4879.4680,-787.3221,3527.0057,5028.4611,-6529.5457,2599.2336,-2658.2992,-3107.3272,537.4615,3407.0239,2324.7605,-1011.5986,5892.7157,-4177.2943,2178.6531,5438.6941,2454.9174,-4642.7870,-3184.6199,4654.1602,2969.2063,6692.1748,-4314.1897,1893.4593,-855.8542,6412.1373,3494.0245,5436.0362,4403.9487,-2652.0245,-4518.8059,3679.5645,5799.6129,4795.5613,4129.4829,-770.6264,3202.1087,-181649.7652,-187355.0532,-189639.5763,-187192.0263,-189302.1213,-188345.6749,-180032.6025,-183245.4380,167275249.3858,167260466.7979,167270519.8754,167270640.9490,-183752.8430,167263865.9903,-2215.1042,1541.2917,4125.3880,3734.5150,-2296.8258,1872.0953,-21.6589,-4060.6838,952.3017,5077.0874,-5402.1600,4884.6793,5147.2195,-4687.8886,-6896.7423,-3524.0754,-1312.7014,5289.7071,-5674.8579,2407.0191,-2232.5801,0.0000,-3312.3049,6629.2571,3226.8146,-4427.8387,6164.7300,5456.7294,3820.2129,-4546.9305,5425.9011,-879.9433,-6408.8766,1910.6208,6321.8494,5126.0135,4990.1330,-6153.4414,-2240.0820,4394.6506,-5008.9264,-574.0276,-5017.8925,-2584.1435,1282.0049,6448.6436,6828.7515,5925.3404,-2871.8636,641.0112,-6530.4591,-4411.4932,-3011.7880,887.0912,3891.8561,-6021.3392,1938.8232,-4683.6207,-2416.3131,5695.8628,-6191.5267,-2413.7673,4433.6655,1056.8165,4306.3821,-2324.8615,-4227.2711,2053.7185,-5094.4379,-4523.9221,3866.0418,6895.3061,4653.6484,-4453.8147,-5871.9125,-3495.7035,2932.8023,3402.5665,2828.2147,3776.8058,-4572.2577,-3731.2972,3418.2115,3308.1530,-1052.3878,-5358.2967,6603.7018,-5085.9554,1955.8525,3056.9497,1560.4316,-3944.6949,5392.8062,-5228.1931,-3907.9117,636.3897,1067.3057,5442.8086,5012.2736,-2791.6096,-279952.4012,-299979.7939,-298909.8955,-294017.5184,-302116.9346,-298648.7127,-300534.1894,-299451.7323,67329651.5585,67330990.2515,67316250.2920,67318572.2713,-298203.3579,67315782.2169,-4784.1098,3962.6034,-5334.9290,4571.3351,5314.9661,6629.8129,5323.4893,-4333.6786,-2691.3029,-4363.5231,588.9698,1741.7975,-2971.2364,3691.2317,-510.8189,4001.4873,4715.6473,3808.2067,2953.6109,4249.9935,3449.9649,0.0000,3595.0699,-974.3469,-1844.1983,-649.5609,-3029.1259,-4129.2987,4011.6271,3350.9069,1839.8653,5518.4058,1974.1975,-3696.6928,-1177.4870,63.4131,3007.9110,2081.9646,-5158.6207,-3133.9935,-4421.9798,4615.8381,3284.8434,5191.4266,3182.1185,-1692.5126,-1077.1549,-476.3173,2677.8385,-4879.6235,-896.6888,2450.0922,-5048.1422,-4025.3821,-3730.3738,-2334.1892,-2403.7132,907.4021,5466.9786,-3288.5883,1699.3680,3183.0721,-5275.6897,4796.5812,5342.1473,5472.8810,2161.9715,-1036.6304,3915.8459,-4473.7704,4861.7193,13.5411,3768.8148,-4616.9773,-3527.1133,-998.3015,4684.3042,5385.8282,-3249.7587,5190.7964,2310.4782,-4892.6964,-3812.3171,5287.4849,1358.9442,707.9603,818.0192,-4456.3983,1276.0460,-5133.1866,-4000.0972,3616.4451,-3426.1715,263.7660,-4321.8937,-3721.1797,-4876.3208,317.9438,4720.0277,5454.7749,-186803.0574,-191831.1940,-192573.7014,-185134.2136,-186760.2008,-197456.8661,-197643.0954,-189792.5293,74099626.2001,74081790.8242,74071034.0707,74081082.2479,-190968.6302,74089856.8479,
600.000,2370.2717,-5631.6378,179.1118,-1853.3962,-4144.8652,430.4791,-3588.0691,2795.2718,-5259.3327,441.2083,-4914.0371,5554.9727,-1841.1107,1621.1044,-1309.5228,-5813.3758,4057.7906,-1199.1887,949.4036,-3100.7738,4428.4037,0.0000,3043.4516,2689.6738,-5169.3545,-5805.1834,2199.7859,1378.4925,-3566.2029,2930.7213,-2688.8157,3271.5711,-2783.7573,6315.6966,3974.1226,-3341.6253,-2316.1601,-3620.3532,-4151.9912,4602.6304,1634.6479,3798.2803,1542.2982,-5259.2563,-5956.6776,3398.9728,1566.4760,-2275.6625,-6576.0083,-5086.2395,786.3010,3051.9531,-4837.8869,-5598.0871,4496.8002,-4062.9184,-6068.7948,4163.8110,1818.3458,2495.5690,-3780.9587,-5212.2477,2677.2618,-3440.2905,1352.1672,1947.7390,3533.7087,-5587.4094,1098.0703,-4398.2366,-1320.0757,1702.5976,4931.8601,245.4112,-2500.0644,5202.4128,-2629.2392,3934.6562,6491.9172,4347.1010,-4912.5536,-3879.3429,4630.5876,3913.0220,6516.4467,-4924.3101,2909.6000,-2343.4535,6759.6287,5139.7340,4767.2091,3459.2371,-1622.1748,-5154.5021,1701.9615,4847.6524,4145.5945,4929.1256,1376.3495,1964.1570,-175795.5123,-180900.9637,-183352.1419,-180822.6574,-182993.0994,-182081.9227,-173755.1734,-176630.3267,165769146.2287,165754135.3221,165764549.0142,165764370.7265,-177432.5062,165757814.2359,-3347.4327,3151.3465,5197.1945,5166.2216,-160.4810,3929.1480,2127.5085,-5588.1283,2460.8724,6037.5773,-4264.5825,4123.0461,5081.9193,-4674.5713,-6663.5881,-2731.4259,-3290.0427,6411.4817,-5319.1091,3346.4468,-1290.6245,0.0000,-3890.9071,5787.9561,4612.8407,-2963.1601,6412.0491,5921.1979,5344.8820,-5924.6475,6384.6655,-2902.4445,-6205.3245,295.9408,5674.8388,5870.8462,6193.7072,-5888.4849,-100.7691,2672.3478,-6254.4150,-2151.4802,-5287.9499,-1287.0481,3005.5524,6042.6518,6149.0534,6147.3812,-1512.5748,2515.5273,-6365.5668,-5053.3800,-1899.9445,2787.0554,2034.2165,-5552.7583,3244.0884,-4722.3467,-3842.6104,4228.3226,-4955.4236,-704.0251,4572.7957,2561.0567,3929.0929,-3823.8045,-4657.2692,3038.8720,-6222.4473,-4247.5247,3232.9263,6453.6117,4253.4892,-5082.3853,-6150.7746,-4492.8640,4433.4193,2104.9258,1450.6650,3110.6718,-3014.9084,-1752.7307,1536.3132,1358.4385,-2258.1420,-4190.2076,5736.2252,-3675.4197,778.8934,1995.7929,-240.5964,-5489.0235,6468.6016,-4130.9176,-4194.6162,-968.0279,-923.4125,4502.0429,5064.9405,-4489.0956,-283679.3504,-303431.1416,-302571.9991,-297804.9604,-305942.6796,-302481.9221,-304258.5386,-303371.8750,70969962.1411,70971441.6646,70957171.5442,70959565.2349,-301989.9916,70956162.1895,-5336.7668,2503.7152,-4564.6217,4040.0708,5526.1870,5697.0100,5274.1595,-2984.0900,-3801.4891,-3040.4539,2339.3581,-52.8328,-4323.7751,4821.7699,1301.5676,2548.5239,4551.0750,2308.3846,4309.7278,5154.9792,5179.4546,0.0000,4753.9029,-2421.4245,-341.8606,-2131.5287,-1365.5008,-3181.9762,2561.4577,2097.0419,337.0579,5350.7103,472.2648,-2557.5643,361.7901,1583.9577,1667.8392,309.7045,-5535.1045,-4438.9306,-2644.6259,5354.4391,4204.7697,4293.5508,1884.8806,-178.4816,-2772.8160,-2231.6195,1274.7023,-3797.2297,-2612.3396,3622.2758,-4162.7465,-3010.0089,-4854.7918,-883.6423,-659.3048,2936.6542,5447.0355,-4925.9860,3031.0000,4471.8878,-4455.1954,5433.9373,5516.9572,5420.9718,3690.9759,-2736.8263,2853.4003,-3186.1371,6001.9464,1805.1117,2255.7753,-4546.4746,-1960.7576,813.9383,4628.7975,5042.8887,-1968.6114,4322.7228,3814.2971,-5466.2874,-4907.1624,5528.0028,-452.1638,2447.3819,2542.3825,-5239.1284,-546.8914,-4182.4116,-5020.4741,2442.1239,-1833.7079,2039.9570,-5195.9216,-4843.1741,-5465.7655,-1496.5115,4522.3827,4879.5575,-186813.0913,-191782.0026,-192501.7778,-185255.5482,-186613.8720,-197277.8105,-197813.7350,-190186.3578,74100444.3133,74082997.1470,74071877.7601,74082004.9416,-190969.3750,74090518.1940,
