sl_100_5400_20250128 Coordinates.csv
2025/01/28 07:47:00.0000 UTC

Generated: Tue Oct  8 15:34:56 2024,
Start: 2025/01/28 07:47:00.00, Stop: 2025/01/28 09:17:00.00,
TIME_UNITS,STARLINK-5647 - X-Coordinate,STARLINK-32007 - X-Coordinate,STARLINK-3297 - X-Coordinate,STARLINK-32048 - X-Coordinate,STARLINK-31932 - X-Coordinate,STARLINK-1600 - X-Coordinate,STARLINK-3127 - X-Coordinate,STARLINK-5559 - X-Coordinate,STARLINK-2388 - X-Coordinate,STARLINK-6087 - X-Coordinate,STARLINK-6272 - X-Coordinate,STARLINK-31290 - X-Coordinate,STARLINK-2484 - X-Coordinate,STARLINK-32235 - X-Coordinate,STARLINK-31529 - X-Coordinate,STARLINK-31355 - X-Coordinate,STARLINK-31575 - X-Coordinate,STARLINK-31678 - X-Coordinate,STARLINK-3732 - X-Coordinate,STARLINK-31134 - X-Coordinate,STARLINK-31162 - X-Coordinate,STARLINK-2015 - X-Coordinate,STARLINK-30281 - X-Coordinate,STARLINK-11237 [DTC] - X-Coordinate,STARLINK-3670 - X-Coordinate,STARLINK-4404 - X-Coordinate,STARLINK-32160 - X-Coordinate,STARLINK-4125 - X-Coordinate,STARLINK-3645 - X-Coordinate,STARLINK-31628 - X-Coordinate,STARLINK-6367 - X-Coordinate,STARLINK-3843 - X-Coordinate,STARLINK-2426 - X-Coordinate,STARLINK-30336 - X-Coordinate,STARLINK-30432 - X-Coordinate,STARLINK-31968 - X-Coordinate,STARLINK-2675 - X-Coordinate,STARLINK-30910 - X-Coordinate,STARLINK-31241 - X-Coordinate,STARLINK-6275 - X-Coordinate,STARLINK-2497 - X-Coordinate,STARLINK-4284 - X-Coordinate,STARLINK-3329 - X-Coordinate,STARLINK-30180 - X-Coordinate,STARLINK-31710 - X-Coordinate,STARLINK-5571 - X-Coordinate,STARLINK-1234 - X-Coordinate,STARLINK-2611 - X-Coordinate,STARLINK-32345 - X-Coordinate,STARLINK-31686 - X-Coordinate,STARLINK-6037 - X-Coordinate,STARLINK-4489 - X-Coordinate,STARLINK-5243 - X-Coordinate,STARLINK-5504 - X-Coordinate,STARLINK-31076 - X-Coordinate,STARLINK-31984 - X-Coordinate,STARLINK-31293 - X-Coordinate,STARLINK-4693 - X-Coordinate,STARLINK-32272 - X-Coordinate,STARLINK-4119 - X-Coordinate,STARLINK-4261 - X-Coordinate,STARLINK-31707 - X-Coordinate,STARLINK-1569 - X-Coordinate,STARLINK-31550 - X-Coordinate,STARLINK-2077 - X-Coordinate,STARLINK-2704 - X-Coordinate,STARLINK-6300 - X-Coordinate,STARLINK-5104 - X-Coordinate,STARLINK-1493 - X-Coordinate,STARLINK-1294 - X-Coordinate,STARLINK-1812 - X-Coordinate,STARLINK-31062 - X-Coordinate,STARLINK-11229 [DTC] - X-Coordinate,STARLINK-5590 - X-Coordinate,STARLINK-1183 - X-Coordinate,STARLINK-6147 - X-Coordinate,STARLINK-4718 - X-Coordinate,STARLINK-31135 - X-Coordinate,STARLINK-30706 - X-Coordinate,STARLINK-1219 - X-Coordinate,STARLINK-32285 - X-Coordinate,STARLINK-5654 - X-Coordinate,STARLINK-4099 - X-Coordinate,STARLINK-3610 - X-Coordinate,STARLINK-3356 - X-Coordinate,STARLINK-4614 - X-Coordinate,STARLINK-3309 - X-Coordinate,STARLINK-3578 - X-Coordinate,STARLINK-31281 - X-Coordinate,STARLINK-4079 - X-Coordinate,STARLINK-1190 - X-Coordinate,STARLINK-31227 - X-Coordinate,STARLINK-3822 - X-Coordinate,STARLINK-31289 - X-Coordinate,STARLINK-5472 - X-Coordinate,STARLINK-5022 - X-Coordinate,STARLINK-31285 - X-Coordinate,STARLINK-4578 - X-Coordinate,STARLINK-6086 - X-Coordinate,STARLINK-2377 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5647 - Y-Coordinate,STARLINK-32007 - Y-Coordinate,STARLINK-3297 - Y-Coordinate,STARLINK-32048 - Y-Coordinate,STARLINK-31932 - Y-Coordinate,STARLINK-1600 - Y-Coordinate,STARLINK-3127 - Y-Coordinate,STARLINK-5559 - Y-Coordinate,STARLINK-2388 - Y-Coordinate,STARLINK-6087 - Y-Coordinate,STARLINK-6272 - Y-Coordinate,STARLINK-31290 - Y-Coordinate,STARLINK-2484 - Y-Coordinate,STARLINK-32235 - Y-Coordinate,STARLINK-31529 - Y-Coordinate,STARLINK-31355 - Y-Coordinate,STARLINK-31575 - Y-Coordinate,STARLINK-31678 - Y-Coordinate,STARLINK-3732 - Y-Coordinate,STARLINK-31134 - Y-Coordinate,STARLINK-31162 - Y-Coordinate,STARLINK-2015 - Y-Coordinate,STARLINK-30281 - Y-Coordinate,STARLINK-11237 [DTC] - Y-Coordinate,STARLINK-3670 - Y-Coordinate,STARLINK-4404 - Y-Coordinate,STARLINK-32160 - Y-Coordinate,STARLINK-4125 - Y-Coordinate,STARLINK-3645 - Y-Coordinate,STARLINK-31628 - Y-Coordinate,STARLINK-6367 - Y-Coordinate,STARLINK-3843 - Y-Coordinate,STARLINK-2426 - Y-Coordinate,STARLINK-30336 - Y-Coordinate,STARLINK-30432 - Y-Coordinate,STARLINK-31968 - Y-Coordinate,STARLINK-2675 - Y-Coordinate,STARLINK-30910 - Y-Coordinate,STARLINK-31241 - Y-Coordinate,STARLINK-6275 - Y-Coordinate,STARLINK-2497 - Y-Coordinate,STARLINK-4284 - Y-Coordinate,STARLINK-3329 - Y-Coordinate,STARLINK-30180 - Y-Coordinate,STARLINK-31710 - Y-Coordinate,STARLINK-5571 - Y-Coordinate,STARLINK-1234 - Y-Coordinate,STARLINK-2611 - Y-Coordinate,STARLINK-32345 - Y-Coordinate,STARLINK-31686 - Y-Coordinate,STARLINK-6037 - Y-Coordinate,STARLINK-4489 - Y-Coordinate,STARLINK-5243 - Y-Coordinate,STARLINK-5504 - Y-Coordinate,STARLINK-31076 - Y-Coordinate,STARLINK-31984 - Y-Coordinate,STARLINK-31293 - Y-Coordinate,STARLINK-4693 - Y-Coordinate,STARLINK-32272 - Y-Coordinate,STARLINK-4119 - Y-Coordinate,STARLINK-4261 - Y-Coordinate,STARLINK-31707 - Y-Coordinate,STARLINK-1569 - Y-Coordinate,STARLINK-31550 - Y-Coordinate,STARLINK-2077 - Y-Coordinate,STARLINK-2704 - Y-Coordinate,STARLINK-6300 - Y-Coordinate,STARLINK-5104 - Y-Coordinate,STARLINK-1493 - Y-Coordinate,STARLINK-1294 - Y-Coordinate,STARLINK-1812 - Y-Coordinate,STARLINK-31062 - Y-Coordinate,STARLINK-11229 [DTC] - Y-Coordinate,STARLINK-5590 - Y-Coordinate,STARLINK-1183 - Y-Coordinate,STARLINK-6147 - Y-Coordinate,STARLINK-4718 - Y-Coordinate,STARLINK-31135 - Y-Coordinate,STARLINK-30706 - Y-Coordinate,STARLINK-1219 - Y-Coordinate,STARLINK-32285 - Y-Coordinate,STARLINK-5654 - Y-Coordinate,STARLINK-4099 - Y-Coordinate,STARLINK-3610 - Y-Coordinate,STARLINK-3356 - Y-Coordinate,STARLINK-4614 - Y-Coordinate,STARLINK-3309 - Y-Coordinate,STARLINK-3578 - Y-Coordinate,STARLINK-31281 - Y-Coordinate,STARLINK-4079 - Y-Coordinate,STARLINK-1190 - Y-Coordinate,STARLINK-31227 - Y-Coordinate,STARLINK-3822 - Y-Coordinate,STARLINK-31289 - Y-Coordinate,STARLINK-5472 - Y-Coordinate,STARLINK-5022 - Y-Coordinate,STARLINK-31285 - Y-Coordinate,STARLINK-4578 - Y-Coordinate,STARLINK-6086 - Y-Coordinate,STARLINK-2377 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5647 - Z-Coordinate,STARLINK-32007 - Z-Coordinate,STARLINK-3297 - Z-Coordinate,STARLINK-32048 - Z-Coordinate,STARLINK-31932 - Z-Coordinate,STARLINK-1600 - Z-Coordinate,STARLINK-3127 - Z-Coordinate,STARLINK-5559 - Z-Coordinate,STARLINK-2388 - Z-Coordinate,STARLINK-6087 - Z-Coordinate,STARLINK-6272 - Z-Coordinate,STARLINK-31290 - Z-Coordinate,STARLINK-2484 - Z-Coordinate,STARLINK-32235 - Z-Coordinate,STARLINK-31529 - Z-Coordinate,STARLINK-31355 - Z-Coordinate,STARLINK-31575 - Z-Coordinate,STARLINK-31678 - Z-Coordinate,STARLINK-3732 - Z-Coordinate,STARLINK-31134 - Z-Coordinate,STARLINK-31162 - Z-Coordinate,STARLINK-2015 - Z-Coordinate,STARLINK-30281 - Z-Coordinate,STARLINK-11237 [DTC] - Z-Coordinate,STARLINK-3670 - Z-Coordinate,STARLINK-4404 - Z-Coordinate,STARLINK-32160 - Z-Coordinate,STARLINK-4125 - Z-Coordinate,STARLINK-3645 - Z-Coordinate,STARLINK-31628 - Z-Coordinate,STARLINK-6367 - Z-Coordinate,STARLINK-3843 - Z-Coordinate,STARLINK-2426 - Z-Coordinate,STARLINK-30336 - Z-Coordinate,STARLINK-30432 - Z-Coordinate,STARLINK-31968 - Z-Coordinate,STARLINK-2675 - Z-Coordinate,STARLINK-30910 - Z-Coordinate,STARLINK-31241 - Z-Coordinate,STARLINK-6275 - Z-Coordinate,STARLINK-2497 - Z-Coordinate,STARLINK-4284 - Z-Coordinate,STARLINK-3329 - Z-Coordinate,STARLINK-30180 - Z-Coordinate,STARLINK-31710 - Z-Coordinate,STARLINK-5571 - Z-Coordinate,STARLINK-1234 - Z-Coordinate,STARLINK-2611 - Z-Coordinate,STARLINK-32345 - Z-Coordinate,STARLINK-31686 - Z-Coordinate,STARLINK-6037 - Z-Coordinate,STARLINK-4489 - Z-Coordinate,STARLINK-5243 - Z-Coordinate,STARLINK-5504 - Z-Coordinate,STARLINK-31076 - Z-Coordinate,STARLINK-31984 - Z-Coordinate,STARLINK-31293 - Z-Coordinate,STARLINK-4693 - Z-Coordinate,STARLINK-32272 - Z-Coordinate,STARLINK-4119 - Z-Coordinate,STARLINK-4261 - Z-Coordinate,STARLINK-31707 - Z-Coordinate,STARLINK-1569 - Z-Coordinate,STARLINK-31550 - Z-Coordinate,STARLINK-2077 - Z-Coordinate,STARLINK-2704 - Z-Coordinate,STARLINK-6300 - Z-Coordinate,STARLINK-5104 - Z-Coordinate,STARLINK-1493 - Z-Coordinate,STARLINK-1294 - Z-Coordinate,STARLINK-1812 - Z-Coordinate,STARLINK-31062 - Z-Coordinate,STARLINK-11229 [DTC] - Z-Coordinate,STARLINK-5590 - Z-Coordinate,STARLINK-1183 - Z-Coordinate,STARLINK-6147 - Z-Coordinate,STARLINK-4718 - Z-Coordinate,STARLINK-31135 - Z-Coordinate,STARLINK-30706 - Z-Coordinate,STARLINK-1219 - Z-Coordinate,STARLINK-32285 - Z-Coordinate,STARLINK-5654 - Z-Coordinate,STARLINK-4099 - Z-Coordinate,STARLINK-3610 - Z-Coordinate,STARLINK-3356 - Z-Coordinate,STARLINK-4614 - Z-Coordinate,STARLINK-3309 - Z-Coordinate,STARLINK-3578 - Z-Coordinate,STARLINK-31281 - Z-Coordinate,STARLINK-4079 - Z-Coordinate,STARLINK-1190 - Z-Coordinate,STARLINK-31227 - Z-Coordinate,STARLINK-3822 - Z-Coordinate,STARLINK-31289 - Z-Coordinate,STARLINK-5472 - Z-Coordinate,STARLINK-5022 - Z-Coordinate,STARLINK-31285 - Z-Coordinate,STARLINK-4578 - Z-Coordinate,STARLINK-6086 - Z-Coordinate,STARLINK-2377 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-82.8616,5036.6249,5952.7399,4990.8294,-6272.3803,-874.7527,6667.3928,5429.9248,-5529.9323,6166.2400,440.5838,6294.3037,4914.5146,427.6459,-2881.1462,-1816.5506,-2873.1134,-5553.9128,-4985.2955,-5649.4691,1099.7439,4489.6272,3304.2226,-2052.2484,4220.1446,2680.2232,3265.4420,5462.4026,6882.5958,-4890.4828,-1063.5834,6682.7530,-6447.9338,-1198.5315,-3403.6656,5923.6984,2540.0879,-1206.2665,-2455.2034,3245.2132,4613.0101,3907.2584,3718.9106,-5480.6347,3348.1760,4927.3906,5296.9072,-4288.4901,-4305.2566,-4188.6708,2524.0069,-3840.8128,417.9323,1870.4648,-142.8620,493.5509,-5058.9601,-6651.2885,338.6665,2980.9064,6521.4924,-4837.2728,-1216.8161,-5019.1609,-4006.0893,2128.5124,-6193.2887,-2987.0840,1296.5710,5918.1423,4330.4050,1597.2788,3373.4772,5329.5748,-3560.4582,-2759.8875,105.1806,-4674.1294,5560.8503,6603.3872,2429.7189,809.5613,-4678.5673,2244.5340,2463.9329,-6368.6095,6214.3677,-5445.4698,-2855.2488,3391.5812,4542.9258,4814.2137,-4261.6701,-1471.3858,-3156.2556,-2428.8027,5497.3037,-6770.8332,-5860.8265,2224.4893,-204153.6125,-229274.6774,-214983.0378,-209191.9007,-217417.9508,-213694.0989,-214157.5862,-213261.5890,58483728.5154,58485288.7424,58476039.4212,58469007.4161,-212509.0492,58469878.3888,-6892.2740,-4132.1351,-973.8825,4114.0752,2248.7899,6644.1137,-606.9432,3139.8503,2259.8765,-1339.2613,5499.0812,-2351.0970,4530.9795,6754.0259,4075.9408,3946.4651,5088.7778,1720.3879,4164.2622,-74.3123,5338.0959,3348.2211,5638.3399,4510.6783,-5319.6396,-419.7988,-5976.6334,3721.7740,332.3429,-1294.8895,5653.7424,610.3983,1281.2272,-6828.8536,-4918.8702,-572.2031,-3311.4905,4399.1845,6073.0476,-6148.9322,5125.7142,-5267.1819,5827.7084,3057.0813,-4105.4129,-2115.5395,4454.5467,-5411.7606,-3735.0564,-3134.2894,1465.6037,4322.4465,4703.1411,-4811.6840,5222.5744,6813.3662,-4418.1448,956.5864,-6772.4016,2909.7192,767.7471,-1274.7667,6810.2454,391.3162,-2702.4473,-6563.3695,-2981.8367,6235.9320,4251.3799,-2990.4391,-424.7090,-4877.6783,-4909.8378,957.4824,-2838.1397,-5038.5085,-5682.6632,3147.5752,-3822.6445,2069.7354,5116.4665,6761.0377,260.4235,-4780.4514,-6417.5681,667.1774,-1892.1662,-24.9796,-4300.8865,5735.7410,-33.9840,2078.1093,-506.7629,4799.3991,-3723.7490,4920.5826,1423.4101,790.8884,-1617.0548,3512.8222,273471.1550,255802.2694,271956.1348,270873.4387,271252.5181,270941.6657,262430.4629,265568.3240,-68555513.2743,-68539488.8616,-68551618.9067,-68540545.4293,266634.3526,-68544927.5128,768.7688,-2090.1547,3377.3466,-2186.1299,569.4584,1733.4283,-1747.5394,-3060.8793,3489.1127,2908.2867,4195.9631,1293.1878,-1795.5030,614.5332,4732.4936,-5288.1048,3510.6993,3558.2422,-2384.3555,3893.2419,4159.8757,4049.2854,-2334.2302,4526.9521,1292.1282,6381.2081,-467.8414,2029.8535,588.0083,-4592.9625,3864.8209,-1686.6619,-2163.7111,177.7598,-3517.8039,-3339.2959,-5530.9847,-5105.0377,2043.1559,-50.4516,550.9769,2191.5389,238.2901,-2956.4500,4286.9445,4390.4837,-212.1961,508.4770,-3745.6184,4365.8918,-6316.2368,-3802.6956,-5058.5500,4622.5164,4550.4941,-374.6045,1349.0034,-1654.3477,469.0777,-5530.5819,2167.2672,-4641.5903,152.9978,-4526.6899,4948.7651,-305.7896,-927.4374,-739.5722,5291.2333,-1961.0102,5343.4125,-4669.3147,3071.9322,4325.4381,-5220.7319,-3891.4968,-3935.4930,-4026.9495,-1194.7988,218.4537,-3815.9200,1308.7832,5078.2483,4457.3942,739.7528,-2626.9300,2339.8287,-4270.6604,4514.7340,-1863.5813,5200.6891,-4457.8384,5413.3742,4657.1535,4889.7450,-4219.9901,3765.4595,1175.8186,-3341.5934,5521.3204,-165430.1694,-166056.9094,-168097.9427,-160148.3920,-162405.4491,-173116.6633,-172616.1494,-167481.2712,43845107.4499,43831370.9665,43818200.2023,43840477.4501,-166284.9086,43834453.9898,
300.000,-1577.9849,4386.6342,6226.1116,5976.3677,-5543.0355,474.1700,5784.3031,5732.3811,-3962.9347,6558.2422,2384.7481,5170.9067,5195.0332,1612.9784,-1835.7372,-138.2852,-1474.2699,-5329.0518,-3450.2437,-4819.9126,2865.4089,4504.4818,4295.9174,-752.8001,2838.9869,730.8882,2094.1396,6323.2747,6443.8360,-4982.8021,925.4850,6040.9475,-6413.3429,-2602.3130,-4371.4290,6059.6630,670.0508,914.8321,-1035.6301,2527.2536,5374.7986,2350.6867,4575.7254,-4900.3655,2508.2184,4344.8948,5846.3549,-5100.2019,-4433.7163,-4865.3236,4305.3495,-1967.5009,2307.5564,-266.1234,1940.3383,1667.9578,-5873.1370,-6562.1404,-882.8731,4464.4744,5807.2642,-5251.5883,17.3319,-4884.7715,-5512.2855,903.1116,-6725.7222,-2173.6802,3317.4270,5500.1698,4470.8026,-395.9491,2482.3347,4958.2648,-5141.1369,-3988.1215,-1445.6053,-2860.4928,4839.7522,6579.2402,4026.0644,2254.9769,-3592.7169,1050.5745,1289.9515,-6563.5032,6097.0575,-4303.5016,-4639.6199,4071.3497,5011.9816,5034.5649,-4783.5762,671.3781,-4912.4035,-1315.0681,6271.0457,-5990.3145,-6615.9805,3967.7768,-210056.5247,-234615.3247,-220427.9419,-214738.4915,-223020.1232,-219304.6582,-219657.3961,-218437.4177,59971539.3617,59973109.2452,59964450.0358,59955998.6371,-218065.8127,59957768.4304,-6710.4375,-5239.0615,-2430.2051,3271.1139,3608.1589,6042.8493,-1786.1773,3870.3808,3186.8260,-2131.1328,5628.1938,-3576.6234,3072.7551,6157.1912,5595.3150,5129.2549,6245.5309,3532.1416,4581.2573,1826.8058,4167.5567,1409.3991,4148.6999,5806.6213,-5557.8863,669.5206,-6352.4823,2792.1721,-894.8212,874.6721,5157.4664,-703.8624,2565.4338,-6200.2784,-3183.3318,-2343.7297,-4397.1886,4008.7730,6762.7015,-6114.7737,4174.2367,-5331.2964,4948.8810,4637.5987,-5619.4773,-4032.8665,3349.4683,-4502.0026,-1840.7537,-1084.0234,498.3562,4473.3847,5108.3274,-5093.9536,4690.2153,6279.3287,-3500.2156,2186.3538,-6603.9297,1376.1936,-611.6240,827.5349,6724.1064,2497.3460,-1539.0118,-6679.2035,-1571.8807,5992.7253,4068.9055,-4183.4094,-2480.0135,-5526.7306,-6068.5362,-1132.0540,-1625.4893,-3396.6735,-4568.9463,3793.6415,-4808.0720,802.5371,5006.5039,5971.6900,2098.9690,-6060.2311,-6709.0341,1994.2869,-3191.7591,1587.7855,-3250.3452,4405.7677,-1974.3332,-60.7966,1504.2608,5112.5076,-3046.3343,6176.8794,-283.0783,1932.2046,-36.4689,2247.6667,269131.1780,250993.8968,267521.2710,266320.3377,266754.2785,266490.8642,257970.8784,261249.1015,-67259859.3169,-67243593.7317,-67255842.5363,-67245016.2606,262128.1450,-67249300.2737,-776.4846,-310.5272,1775.9511,-412.9959,-1001.3956,3337.2608,-3353.9799,-920.5128,4687.1798,876.6642,3270.8470,2694.6581,-3390.0757,2372.8557,3558.3901,-4528.5664,2307.2741,2370.7397,-3873.6249,4527.4143,4628.3538,5045.8989,-3535.3877,3285.5050,2965.1491,6861.0708,1353.1738,253.2185,2338.2476,-4592.4373,4534.9280,-3302.9212,-401.9817,1692.0116,-4349.1617,-2082.7432,-5312.7651,-5474.2594,552.8447,-2144.9384,-1257.7356,3718.7007,-1565.1158,-1608.5586,2933.3148,3592.8871,1585.3696,-1298.8268,-4845.8324,4645.3758,-5442.3739,-4901.5274,-4056.5279,4690.5843,4715.7660,-2149.4432,-468.7362,144.7996,-1355.6696,-5109.9896,3699.0036,-4277.5473,-1642.7388,-3966.6648,3887.6948,1497.6546,617.4195,-2784.0964,4495.5600,-183.0583,4622.1803,-4175.9338,1402.5802,4707.2969,-4348.3778,-4550.4393,-4983.7683,-5040.4615,626.6018,1992.7948,-2313.9410,2703.6952,5515.3093,3155.9387,-1076.4579,-908.0752,588.8775,-5182.6791,3868.0219,-3450.9606,4323.3470,-4691.8242,4753.3078,4506.2179,3788.5274,-2832.3747,2654.5809,2863.3636,-2084.3381,5194.7262,-165408.2666,-166004.4044,-167968.7735,-160192.2791,-162183.1058,-172881.2078,-172731.0838,-167702.3994,43846266.4908,43832983.2310,43819522.8982,43841504.1134,-166218.4546,43835484.6251,
600.000,-2927.7660,3287.4317,5890.5321,6340.0119,-4209.0602,1811.5934,4332.1401,5413.6263,-2007.3673,6287.8607,4081.2555,3521.8326,4992.2898,2656.3660,-645.1697,1514.1950,52.4487,-4580.0655,-1556.1312,-3542.6596,4376.5211,4125.2949,4906.8610,591.4915,1151.9814,-1339.8979,691.5573,6553.5566,5366.5731,-4616.0909,2848.0924,4810.8609,-5742.9871,-3770.1804,-4959.2856,5591.8044,-1231.9777,2960.0776,482.1035,1528.4186,5612.8468,534.2017,4992.5550,-3858.8608,1441.4767,3376.0902,5827.0633,-5417.6244,-4156.2042,-5090.5536,5677.2029,117.4258,3943.2669,-2371.9031,3849.6472,2695.5681,-6088.6883,-5819.6073,-2027.4601,5542.0035,4530.8480,-5171.4553,1267.9666,-4280.1351,-6483.0464,-428.9530,-6608.3620,-1108.0137,4998.8720,4535.0514,4212.7887,-2329.7356,1335.5615,4149.8272,-6230.4488,-4873.1124,-2899.9062,-764.1037,3617.6517,5909.6892,5190.2336,3507.8308,-2199.0636,-212.9685,-24.0380,-6109.7829,5373.6804,-2771.2300,-5967.8446,4384.4774,5023.3873,4802.5958,-4877.2305,2736.8489,-6177.4563,-102.5942,6417.0714,-4614.7793,-6737.6963,5345.9460,-215869.9852,-239854.3714,-225777.0533,-220188.7343,-228524.9890,-224821.6176,-225063.1835,-223498.4257,61430646.8447,61432209.8220,61424150.1008,61414307.7787,-223527.0901,61416955.8322,-5878.3170,-5804.0258,-3627.5424,2093.1142,4585.8501,4854.7867,-2825.8415,4196.7305,3850.4100,-2695.4673,5239.0701,-4467.1931,1288.3718,4913.5507,6555.7656,5819.4053,6768.8430,4970.6716,4584.4027,3574.0943,2611.7054,-688.3334,2254.8739,6481.7430,-5266.7809,1600.1024,-6076.4184,1587.3503,-2059.2233,2953.3184,4198.9500,-1983.9747,3590.5096,-4968.9221,-1145.0123,-3861.0887,-5098.6549,3268.7054,6775.3938,-5474.3784,2798.2810,-4898.0781,3568.5368,5761.0580,-6547.4399,-5555.6918,1898.1125,-3136.6474,261.7242,1067.5785,-452.1085,4234.3004,5045.2480,-4928.0635,3746.8261,5099.4725,-2219.3484,3200.2467,-5742.8136,-247.7108,-1969.0441,2830.4130,5973.8816,4334.9685,-265.4063,-6131.9001,-3.9263,5160.1487,3531.8587,-4957.7147,-4270.1962,-5676.5316,-6558.7086,-3127.2011,-298.3855,-1441.6827,-3032.6139,4122.0643,-5306.0257,-565.5954,4400.1031,4606.5743,3767.1146,-6744.4605,-6336.1917,3113.6840,-4166.4450,3089.9580,-1911.7361,2627.0793,-3692.3446,-2193.3571,3340.6570,4955.0930,-2108.5791,6824.4099,-1937.7849,2913.7914,1528.7630,810.4991,264660.9561,246074.6329,262967.8479,261650.4015,262136.3750,261920.3048,253399.7313,256900.8631,-65931918.0858,-65915413.1035,-65927751.6726,-65917270.4971,257506.1656,-65921382.0009,-2238.7378,1503.6911,-17.0387,1406.4450,-2453.0262,4582.0824,-4599.8668,1316.5151,5381.0284,-1248.1487,1995.8339,3796.0130,-4620.5060,3861.2870,1995.0566,-3266.3392,844.4196,916.6120,-4946.6714,4662.6520,4585.7887,5498.4080,-4359.6556,1657.4763,4317.7302,6610.5591,3022.2761,-1550.7575,3836.0584,-4079.6617,4719.9668,-4564.0999,1403.0286,3025.1545,-4717.1613,-592.3605,-4526.6576,-5237.3492,-998.4971,-4012.0847,-2931.0849,4844.7118,-3199.9917,-88.6742,1249.7278,2410.9291,3212.3487,-2966.6514,-5403.0699,4402.4969,-3993.9358,-5474.4754,-2618.4156,4257.0187,4376.4285,-3685.1500,-2234.5421,1928.3072,-3026.6107,-4141.8091,4831.7535,-3434.3360,-3261.7800,-2951.6371,2408.5030,3138.7259,2096.1737,-4533.7391,3215.2807,1614.6395,3398.5964,-3237.3174,-432.7134,4585.8059,-3010.2502,-4724.5571,-5495.6654,-5514.5077,2378.4330,3552.6910,-552.8743,3809.1942,5357.9451,1513.9922,-2776.5870,908.5585,-1225.8806,-5538.7571,2794.5175,-4667.3699,2978.9640,-4413.6452,3580.5080,3855.9760,2278.5012,-1140.2251,1244.8166,4242.1541,-604.3218,4308.8386,-165386.5481,-165951.8014,-167836.1619,-160241.1354,-161964.2798,-172640.0270,-172840.0543,-167805.0722,43847420.7557,43834597.7174,43820855.4096,43842478.0525,-166151.8907,43836515.3597,
