sl_20_5400_20280318 Coordinates.csv
2028/03/18 07:47:00.0000 UTC

Generated: Tue Oct  8 21:40:19 2024,
Start: 2028/03/18 07:47:00.00, Stop: 2028/03/18 09:17:00.00,
TIME_UNITS,STARLINK-30222 - X-Coordinate,STARLINK-1112 - X-Coordinate,STARLINK-2503 - X-Coordinate,STARLINK-31348 - X-Coordinate,STARLINK-3744 - X-Coordinate,STARLINK-4293 - X-Coordinate,STARLINK-3145 - X-Coordinate,STARLINK-31712 - X-Coordinate,STARLINK-30070 - X-Coordinate,STARLINK-4258 - X-Coordinate,STARLINK-3122 - X-Coordinate,STARLINK-2492 - X-Coordinate,STARLINK-5753 - X-Coordinate,STARLINK-11123 [DTC] - X-Coordinate,STARLINK-30253 - X-Coordinate,STARLINK-6057 - X-Coordinate,STARLINK-11288 [DTC] - X-Coordinate,STARLINK-30506 - X-Coordinate,STARLINK-11108 [DTC] - X-Coordinate,STARLINK-5233 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30222 - Y-Coordinate,STARLINK-1112 - Y-Coordinate,STARLINK-2503 - Y-Coordinate,STARLINK-31348 - Y-Coordinate,STARLINK-3744 - Y-Coordinate,STARLINK-4293 - Y-Coordinate,STARLINK-3145 - Y-Coordinate,STARLINK-31712 - Y-Coordinate,STARLINK-30070 - Y-Coordinate,STARLINK-4258 - Y-Coordinate,STARLINK-3122 - Y-Coordinate,STARLINK-2492 - Y-Coordinate,STARLINK-5753 - Y-Coordinate,STARLINK-11123 [DTC] - Y-Coordinate,STARLINK-30253 - Y-Coordinate,STARLINK-6057 - Y-Coordinate,STARLINK-11288 [DTC] - Y-Coordinate,STARLINK-30506 - Y-Coordinate,STARLINK-11108 [DTC] - Y-Coordinate,STARLINK-5233 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30222 - Z-Coordinate,STARLINK-1112 - Z-Coordinate,STARLINK-2503 - Z-Coordinate,STARLINK-31348 - Z-Coordinate,STARLINK-3744 - Z-Coordinate,STARLINK-4293 - Z-Coordinate,STARLINK-3145 - Z-Coordinate,STARLINK-31712 - Z-Coordinate,STARLINK-30070 - Z-Coordinate,STARLINK-4258 - Z-Coordinate,STARLINK-3122 - Z-Coordinate,STARLINK-2492 - Z-Coordinate,STARLINK-5753 - Z-Coordinate,STARLINK-11123 [DTC] - Z-Coordinate,STARLINK-30253 - Z-Coordinate,STARLINK-6057 - Z-Coordinate,STARLINK-11288 [DTC] - Z-Coordinate,STARLINK-30506 - Z-Coordinate,STARLINK-11108 [DTC] - Z-Coordinate,STARLINK-5233 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
2700.000,5746.8847,1756.7136,-514.2094,-4978.5698,-1363.0493,-5538.0995,263.1952,6555.1691,17.0691,6060.7520,-3781.7272,-3492.9023,1109.8837,4081.2813,4368.4096,-1886.5278,-2262.9184,148.9521,5140.8118,3353.7013,-303266.7201,-307014.6611,-301902.3385,-302751.9869,-310446.9237,-307906.5301,-302341.6230,-301618.0136,-205324770.2597,-205341669.9947,-205345900.9608,-205344855.3408,-303229.0750,-205341129.5894,-2045.4561,6667.0505,-5622.7667,1501.8749,4426.0725,1034.8862,4157.4051,-1381.8556,5879.4239,-1419.3466,-1752.0311,-5925.7961,5192.3907,207.5729,4816.7115,-3606.8242,-4104.1490,-5234.4844,3716.2162,-3209.3421,-167715.1657,-184959.4505,-180207.0006,-181144.0773,-185383.7665,-185120.2231,-188999.7380,-185213.4125,291763640.5400,291778396.6950,291747404.8231,291772940.8619,-185954.2074,291764736.4440,-3299.3890,-225.3282,-3925.5238,-4421.7876,5082.4601,-3972.8762,-5512.8913,1159.5862,-3639.1820,3108.5057,5550.2111,-764.1693,4443.8691,-5361.0416,2366.9683,-5630.4849,4758.0859,-4550.2111,2276.8511,-5110.8192,-169401.1266,-173282.8069,-170390.6709,-170909.8325,-165966.6984,-173594.4795,-181051.2055,-172104.6083,-7546480.0265,-7572830.2653,-7574354.2900,-7549211.1822,-172104.8652,-7558668.2133,
3000.000,5457.3067,2819.1119,-1946.4634,-3760.4076,752.0332,-5857.9615,2391.1867,6157.2297,1829.1352,4733.8243,-4634.3922,-4265.8829,3118.8973,4261.1626,5664.0654,-3529.5905,-4153.9342,-1929.9317,6106.0988,2447.2086,-299775.9509,-302746.3899,-297824.5770,-298708.7410,-306506.2183,-303842.5376,-298447.9894,-297739.7751,-211645843.8798,-211662924.1555,-211666341.6370,-211666335.3952,-299271.8724,-211662174.0915,-3765.4196,5970.8212,-4342.4021,3286.3361,4064.0583,2625.2364,4046.6289,-2860.3315,4999.2333,-2525.8803,209.6781,-4847.5967,4960.0386,-1932.5536,3870.7329,-4190.2716,-3750.7380,-4700.2944,2813.1028,-4943.9048,-174105.4382,-191143.2859,-186613.0674,-187656.5908,-191760.6851,-191516.5855,-195321.2437,-191582.7098,287211621.5170,287226661.4554,287195584.9293,287220527.9424,-192309.6546,287212789.7297,-2031.0650,-2002.0826,-4964.6977,-4653.0696,5494.3414,-2511.1818,-5064.7607,-395.1615,-4413.5119,4426.6691,5163.5514,-2493.8396,3691.4100,-4852.5376,919.9101,-4271.2873,3647.8764,-4723.3727,502.7239,-4151.3580,-169403.1881,-173171.0381,-170301.5140,-171101.6882,-165900.1385,-173275.8449,-181094.0153,-172580.1799,-7539598.8484,-7565517.3941,-7567688.3342,-7542264.0552,-172085.6966,-7551819.3245,
3300.000,4654.9280,3621.1553,-3232.4093,-2195.9267,2808.9557,-5607.7409,4275.5374,5123.8468,3494.2182,2953.6835,-5082.3982,-4641.3234,4815.5721,4038.6517,6403.8319,-4783.0640,-5575.9771,-3836.8854,6411.3023,1343.0224,-296150.3841,-298326.7334,-293613.4057,-294527.1616,-302431.1405,-299627.4153,-294422.6111,-293847.3578,-217866042.2198,-217883315.6650,-217885917.5070,-217886917.4314,-295181.4739,-217882346.9356,-5109.1579,4671.3925,-2649.9022,4766.5864,3352.0089,3930.1459,3590.4095,-4047.8625,3660.6288,-3435.0564,2120.7694,-3276.8529,4280.3391,-3850.7904,2555.5827,-4395.1213,-3025.0688,-3755.7979,1612.4628,-6191.1650,-180424.5197,-197237.7363,-192937.8340,-194097.5666,-198054.1749,-197826.5568,-201561.3295,-197931.3443,282522680.9675,282537995.9803,282506867.7086,282531166.3148,-198580.9604,282523922.7147,-545.4565,-3561.4508,-5460.9852,-4363.8610,5305.4502,-776.1093,-4070.6098,-1905.1065,-4712.6931,5276.5442,4227.8033,-3955.3974,2542.9325,-3780.8838,-626.1625,-2458.4864,2102.2133,-4393.0623,-1329.9540,-2742.7300,-169405.3376,-173050.5832,-170215.6522,-171297.3830,-165836.6263,-172952.3452,-181132.1362,-173016.2984,-7532723.1807,-7558197.3980,-7561017.8115,-7535333.7386,-172066.4261,-7544970.4203,
3600.000,3405.3537,4100.5518,-4246.8322,-442.1557,4598.0732,-4798.6179,5728.2433,3557.0006,4851.5861,897.1392,-5071.8827,-4598.1665,6037.3586,3424.4890,6522.7000,-5531.0794,-6375.1311,-5385.8844,6032.4666,135.4303,-292391.4308,-293754.1638,-289270.6619,-290209.1245,-298223.4926,-295261.1487,-290267.1481,-289924.9660,-223982399.9308,-223999878.7536,-224001664.1458,-224003634.2502,-290959.6672,-223998682.8223,-5954.3574,2896.9388,-720.1576,5789.5778,2360.0612,4832.6500,2822.2955,-4836.7393,1996.9630,-4067.5200,3798.1747,-1363.9720,3208.3312,-5342.6775,986.2236,-4179.1204,-1989.1628,-2489.2121,223.8884,-6822.6274,-186669.5668,-203243.0320,-199178.4246,-200465.7633,-204261.3896,-204046.7856,-207717.2843,-204255.6377,277699053.6311,277714634.2634,277683487.5060,277707092.1280,-204765.3334,277700369.9810,998.5507,-4734.6925,-5360.5285,-3586.2432,4536.3494,1043.5491,-2637.0346,-3199.2046,-4504.7335,5568.5205,2842.2018,-4992.3420,1121.5578,-2269.7840,-2104.9093,-384.0307,305.5074,-3594.2885,-3007.9876,-1036.8919,-169407.5745,-172920.3883,-170133.2122,-171496.4561,-165776.1459,-172624.7396,-181165.5956,-173376.2289,-7525853.0355,-7550870.3370,-7554342.6210,-7528420.7253,-172047.0537,-7538121.5008,
3900.000,1817.8628,4223.2680,-4885.6199,1328.4181,5935.0277,-3498.5794,6604.9139,1614.6405,5766.7107,-1233.2418,-4589.9960,-4152.5669,6669.2360,2466.7955,6016.7630,-5711.9569,-6468.3741,-6423.9036,5019.8008,-1074.0308,-288500.5623,-289026.8723,-284798.2454,-285756.6929,-293885.1337,-290743.5663,-285983.3166,-285948.3169,-229992001.1568,-230009697.1053,-230010666.6085,-230013568.2006,-286608.2982,-230008265.9381,-6227.9560,824.1496,1251.5599,6245.3224,1180.0597,5257.6432,1802.1042,-5158.8111,169.5741,-4364.6060,5084.7803,704.8634,1834.9557,-6250.9823,-696.8726,-3540.8316,-736.8828,-1015.4017,-1221.0097,-6771.6434,-192837.7630,-209160.9072,-205331.9997,-206760.2027,-210379.5218,-210173.9246,-213786.4271,-210545.7099,272743038.4578,272758874.5186,272727742.8413,272750605.8685,-210860.0202,272744430.3188,2435.5396,-5395.3595,-4674.1584,-2406.7794,3270.8810,2749.3353,-918.3520,-4131.3057,-3811.8751,5271.8366,1154.0126,-5494.0514,-420.1860,-494.4327,-3357.5260,1731.3298,-1527.6977,-2411.8638,-4336.7650,781.4414,-169409.8982,-172779.3758,-170054.3141,-171698.2600,-165718.6823,-172294.0692,-181194.4186,-173629.2717,-7518988.4224,-7543536.2845,-7547662.6601,-7521525.5177,-172027.5795,-7531272.5660,
4200.000,35.9780,3985.0637,-5076.3565,2944.5414,6680.0669,-1826.9985,6819.6989,-505.6378,6144.5501,-3229.1616,-3667.9855,-3354.6349,6654.8012,1248.3731,4942.4412,-5323.5251,-5852.4182,-6846.2762,3490.4853,-2184.7398,-284479.3089,-284143.1169,-280198.1176,-281172.1700,-289417.9799,-286074.3245,-281572.8888,-281887.1967,-235891980.9245,-235909905.2480,-235910060.8183,-235913852.5761,-282129.2707,-235908231.3456,-5912.4488,-1339.7095,3069.0598,6079.0607,-82.6917,5177.9651,612.0351,-4990.6913,-1647.6276,-4293.6695,5864.4590,2725.9213,279.6115,-6482.9080,-2340.3267,-2522.6275,614.1577,534.1863,-2580.9880,-6041.0413,-198926.3200,-214995.1668,-211395.7576,-212980.1918,-216405.8045,-216204.6382,-219766.1089,-216785.8144,267656997.5115,267673078.0869,267641995.3138,267664071.2673,-216862.3067,267658465.6308,3611.5102,-5472.4726,-3476.3220,-957.2483,1647.2961,4155.1583,899.7347,-4596.4899,-2708.3304,4417.7007,-657.0600,-5407.1176,-1916.8808,1338.5349,-4249.8835,3661.8402,-3178.7894,-971.6991,-5162.8418,2514.8898,-169412.3084,-172626.6015,-169979.0711,-171901.8946,-165664.2218,-171961.7516,-181218.6285,-173753.7127,-7512129.3485,-7536195.3283,-7540977.8249,-7514648.6278,-172008.0034,-7524423.6159,
4500.000,-1775.5980,3410.7901,-4786.7460,4252.7122,6753.2199,56.5174,6354.2548,-2586.8032,5939.6782,-4896.9896,-2379.9565,-2282.6926,6001.2402,-119.7692,3409.7412,-4421.7047,-4602.8784,-6607.7242,1614.4210,-3105.0543,-280329.2600,-279102.0039,-275472.3005,-276458.1693,-284824.0024,-281252.9047,-277037.6919,-277708.6753,-241679526.5099,-241697689.9190,-241697034.9322,-241701672.9865,-277524.5454,-241695766.3495,-5046.4955,-3377.4415,4554.5646,5298.3109,-1318.5481,4615.3078,-649.3711,-4354.6641,-3284.4853,-3851.7578,6072.7734,4497.7638,-1320.1386,-6020.1269,-3791.7467,-1208.7319,1933.4531,2022.9696,-3718.7138,-4703.2570,-204932.4791,-220752.2541,-217366.9358,-219125.3357,-222337.5119,-222135.6146,-225653.7132,-222955.4124,262443354.8445,262459668.3127,262428668.4765,262449914.1761,-222769.5190,262444899.8066,4400.5447,-4957.7296,-1897.4712,599.8222,-156.6997,5107.8750,2620.3151,-4542.5187,-1312.6394,3096.1449,-2398.2410,-4740.7100,-3208.1989,3015.3216,-4686.7274,5201.4029,-4451.5510,572.4043,-5391.2090,3975.1908,-169414.8044,-172461.5669,-169907.5893,-172106.1213,-165612.7521,-171629.7063,-181238.2466,-173738.8036,-7505275.8184,-7528847.5712,-7534288.0101,-7507790.5771,-171988.3256,-7517574.6505,
4800.000,-3446.3046,2551.8012,-4029.8075,5131.8909,6143.3605,1967.6691,5259.4262,-4414.3901,5162.0844,-6076.7826,-837.1429,-1035.7355,4777.6906,-1508.2418,1570.6317,-3112.6582,-2864.2156,-5727.6276,-404.9073,-3759.4925,-276052.0631,-273904.9157,-270622.8764,-271617.7100,-280105.2278,-276278.6388,-272379.6075,-273380.5148,-247351878.7785,-247370291.4068,-247368830.6798,-247374268.7067,-272796.1388,-247368111.8372,-3719.9910,-5083.4275,5566.2672,3973.5848,-2422.8133,3636.1587,-1875.0429,-3315.6276,-4590.4965,-3067.1922,5702.0762,5841.0897,-2820.6963,-4920.0937,-4913.6099,281.6420,3089.9813,3321.1381,-4514.2206,-2892.8336,-210853.5121,-226441.4463,-223242.8126,-225195.5266,-228171.9607,-227963.5865,-231446.6576,-229030.8320,257104595.3419,257121129.3908,257090246.6813,257110621.4149,-228579.0248,257106217.5674,4718.2707,-3906.3506,-110.3214,2089.4137,-1943.5673,5503.9337,4056.9611,-3975.4320,224.8045,1446.7952,-3884.5675,-3565.6937,-4156.1931,4340.3620,-4621.5374,6185.9163,-5195.4138,2055.2134,-4995.6572,5003.9406,-169417.3858,-172284.7453,-169839.9672,-172309.2479,-165564.2620,-171300.5181,-181253.2927,-173585.5070,-7498427.8342,-7521493.1322,-7527593.1093,-7500951.8965,-171968.5460,-7510725.6699,
5100.000,-4815.7816,1481.7171,-2864.8040,5504.7604,4909.7759,3715.6427,3649.3909,-5798.3408,3877.6652,-6658.0722,821.7716,275.3437,3107.4396,-2781.4073,-396.0710,-1539.8680,-832.3449,-4288.6691,-2352.2652,-4094.4260,-271649.4233,-268557.5302,-265651.9861,-266654.3403,-275263.7364,-271150.7855,-267600.5713,-268874.2880,-252906333.5014,-252925004.8667,-252922744.6779,-252928933.9994,-267946.1227,-252922563.5941,-2064.4230,-6284.2875,6012.2820,2232.2765,-3304.3317,2343.6662,-2958.2291,-1974.5888,-5448.7846,-1998.6029,4800.5439,6616.9840,-4085.1669,-3308.5293,-5596.0171,1805.2483,3964.7884,4316.8947,-4877.2636,-792.3400,-216686.7231,-232073.9196,-229020.7089,-231190.8908,-233906.5111,-233685.3631,-237142.3952,-234987.2615,251643263.5371,251660005.1844,251629273.8944,251648739.5907,-234288.2348,251644963.2822,4530.7461,-2431.5184,1688.9278,3343.9493,-3517.9501,5300.3728,5054.2085,-2958.9118,1737.9288,-355.7735,-4958.7089,-2007.5256,-4659.9075,5159.3870,-4061.2559,6510.6506,-5322.7263,3317.9535,-4021.5851,5489.7740,-169420.0522,-172098.2724,-169776.2960,-172508.9829,-165518.7416,-170977.6445,-181263.7844,-173305.9869,-7491585.3955,-7514132.1473,-7520893.0142,-7494133.1256,-171948.6647,-7503876.6741,
5400.000,-5749.2315,290.6767,-1393.2882,5344.2797,3175.9675,5122.1530,1689.1912,-6592.8061,2202.9788,-6590.5967,2443.1860,1537.2430,1155.1251,-3810.4809,-2301.8878,131.9530,1267.5682,-2428.8850,-4023.2579,-4081.9747,-267123.1033,-263071.5487,-260561.8287,-261572.2884,-270301.6619,-265868.6940,-262702.5720,-264167.8310,-258340242.6438,-258359181.6109,-258356129.7183,-258363019.4132,-262976.6231,-258356473.5932,-239.6948,-6856.8676,5859.2550,246.2453,-3892.5351,866.6052,-3801.5392,-459.2377,-5786.6459,-731.1497,3465.6258,6741.8144,-4995.5536,-1364.4187,-5767.3746,3208.6584,4462.7328,4925.9066,-4757.6279,1386.4461,-222429.4491,-237659.8418,-234697.9887,-237111.6560,-239538.5680,-239297.8779,-242738.4156,-240800.7987,246061962.3990,246078898.0149,246048352.4845,246066873.8874,-239894.6032,246063739.7546,3857.9945,-692.6830,3302.4149,4222.3928,-4708.2984,4519.3008,5504.3605,-1607.4495,3063.1064,-2120.7068,-5507.4199,-233.3025,-4665.8331,5377.2506,-3065.5844,6141.0457,-4818.5027,4225.5018,-2581.1264,5380.1787,-169422.8031,-171906.4553,-169716.6591,-172702.2570,-165476.1821,-170665.6635,-181269.7378,-172922.0419,-7484748.4993,-7506764.7698,-7514187.6155,-7487334.8126,-171928.6816,-7497027.6630,
