sl_20_5400_20280124 Coordinates.csv
2028/01/24 07:47:00.0000 UTC

Generated: Tue Oct  8 21:40:16 2024,
Start: 2028/01/24 07:47:00.00, Stop: 2028/01/24 09:17:00.00,
TIME_UNITS,STARLINK-5432 - X-Coordinate,STARLINK-1482 - X-Coordinate,STARLINK-4801 - X-Coordinate,STARLINK-4006 - X-Coordinate,STARLINK-30931 - X-Coordinate,STARLINK-31955 - X-Coordinate,STARLINK-31630 - X-Coordinate,STARLINK-1130 (DARKSAT) - X-Coordinate,STARLINK-4705 - X-Coordinate,STARLINK-5954 - X-Coordinate,STARLINK-6054 - X-Coordinate,STARLINK-1369 - X-Coordinate,STARLINK-31164 - X-Coordinate,STARLINK-6055 - X-Coordinate,STARLINK-1878 - X-Coordinate,STARLINK-31574 - X-Coordinate,STARLINK-11106 [DTC] - X-Coordinate,STARLINK-5552 - X-Coordinate,STARLINK-3111 - X-Coordinate,STARLINK-32263 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5432 - Y-Coordinate,STARLINK-1482 - Y-Coordinate,STARLINK-4801 - Y-Coordinate,STARLINK-4006 - Y-Coordinate,STARLINK-30931 - Y-Coordinate,STARLINK-31955 - Y-Coordinate,STARLINK-31630 - Y-Coordinate,STARLINK-1130 (DARKSAT) - Y-Coordinate,STARLINK-4705 - Y-Coordinate,STARLINK-5954 - Y-Coordinate,STARLINK-6054 - Y-Coordinate,STARLINK-1369 - Y-Coordinate,STARLINK-31164 - Y-Coordinate,STARLINK-6055 - Y-Coordinate,STARLINK-1878 - Y-Coordinate,STARLINK-31574 - Y-Coordinate,STARLINK-11106 [DTC] - Y-Coordinate,STARLINK-5552 - Y-Coordinate,STARLINK-3111 - Y-Coordinate,STARLINK-32263 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5432 - Z-Coordinate,STARLINK-1482 - Z-Coordinate,STARLINK-4801 - Z-Coordinate,STARLINK-4006 - Z-Coordinate,STARLINK-30931 - Z-Coordinate,STARLINK-31955 - Z-Coordinate,STARLINK-31630 - Z-Coordinate,STARLINK-1130 (DARKSAT) - Z-Coordinate,STARLINK-4705 - Z-Coordinate,STARLINK-5954 - Z-Coordinate,STARLINK-6054 - Z-Coordinate,STARLINK-1369 - Z-Coordinate,STARLINK-31164 - Z-Coordinate,STARLINK-6055 - Z-Coordinate,STARLINK-1878 - Z-Coordinate,STARLINK-31574 - Z-Coordinate,STARLINK-11106 [DTC] - Z-Coordinate,STARLINK-5552 - Z-Coordinate,STARLINK-3111 - Z-Coordinate,STARLINK-32263 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4899.9578,-3530.3457,-4721.3782,5757.5462,1384.9632,0.0000,0.0000,-4555.2166,-3738.5789,-4963.4099,2661.6281,5418.8689,6097.9660,-4222.6590,6099.5136,-1527.5357,-2965.6528,-2845.8481,-3172.5084,-5644.8211,-264738.1303,-294368.1145,-274684.4778,-274880.0971,-283160.3651,-281480.4509,-281420.2819,-278226.6132,-62746820.5450,-62766083.3519,-62713317.9355,-62715161.8996,-279495.4252,-62727111.9925,1617.4734,-2224.0768,-4100.1643,1559.2869,4918.4470,0.0000,0.0000,2186.1554,2670.8000,-2453.0083,6412.2715,4070.9410,-1752.3382,-1082.2141,-2410.6653,-5457.6584,3224.6421,-2515.6478,2747.8871,537.4940,229756.8066,233118.6488,233974.6118,233834.1418,236233.6645,235038.5971,227031.7578,228998.2556,327112111.9834,327100241.2561,327109676.6869,327109997.0556,230243.6973,327109757.5234,4604.5650,-5478.6917,-2983.5824,3374.4852,4675.0477,0.0000,0.0000,-4569.4473,-5163.0388,4178.5895,-123.2200,1143.6533,-2824.8864,5410.6567,-2200.7988,-3794.9867,-5109.9133,-5806.0708,-5499.3135,-3788.5998,-167609.5561,-173453.2402,-170413.0202,-168164.9230,-165697.2579,-175307.6000,-179344.5323,-171424.6096,-101846668.8723,-101865883.8274,-101836203.3877,-101841330.1126,-171227.9679,-101841830.4795,
300.000,5059.2572,-4336.5951,-5182.9369,6614.8508,3306.3599,0.0000,0.0000,-2786.0930,-1859.1430,-5653.2457,3085.3177,6115.9646,5879.0498,-2899.4396,5842.9983,-3100.1484,-894.2810,-943.1268,-1434.6373,-6083.1974,-269446.9403,-299119.2108,-279434.6023,-279730.5607,-287996.6156,-286326.4999,-286211.9788,-283105.5438,-69872056.5505,-69891013.2235,-69838779.0756,-69840361.1411,-284305.3722,-69852398.5957,-533.7627,-202.3202,-2258.2792,336.7469,3939.2646,0.0000,0.0000,3265.6257,3706.0777,-3369.8517,5815.0793,3068.5193,-3399.1606,452.5369,-3674.0175,-4115.7009,3939.3389,-1610.8111,4054.0487,2072.1523,224239.8674,226934.8249,227950.3383,227827.4186,230325.0813,229094.6717,221177.0665,223193.5945,325667020.7635,325654455.6554,325665176.1486,325665553.5208,224320.6532,325664748.7576,4684.5994,-5346.0863,-4006.0396,1769.6756,4638.5774,0.0000,0.0000,-5290.3738,-5529.7749,2199.3049,-2215.2318,-673.0979,-1451.6832,6295.7321,-442.0024,-4469.1258,-5384.1526,-6682.1685,-5418.9179,-2279.3268,-167563.7258,-173423.5882,-170280.8457,-168296.4459,-165580.6789,-175030.3999,-179416.7180,-171867.8509,-101842269.4807,-101861390.9923,-101831059.2782,-101836279.7442,-171191.9246,-101837191.7476,
600.000,4770.9652,-4762.4881,-5179.0754,6798.7282,4926.3193,0.0000,0.0000,-747.1043,180.5383,-5711.0734,3222.1434,6197.0033,5102.6625,-1338.6959,5007.6499,-4394.9119,1257.2068,1013.9572,406.7758,-5904.0058,-274042.8716,-303738.7457,-284061.7235,-284457.1103,-292707.5350,-291043.6628,-290880.9930,-287958.6816,-76964096.9102,-76982733.7673,-76931078.8745,-76932412.9649,-288989.8585,-76944492.5913,-2630.7891,1814.3199,-186.2641,-900.0399,2618.4827,0.0000,0.0000,4063.9847,4430.9094,-3945.7875,4615.3216,1748.5067,-4708.0151,2002.7891,-4567.5890,-2378.1243,4290.7541,-451.5753,5006.2266,3369.6205,218626.5649,220654.1475,221822.9688,221714.3159,224314.1091,223043.1864,215223.0207,217370.3173,324066743.1129,324053492.7220,324065478.2284,324065922.6853,218297.1239,324064551.2206,4260.6233,-4631.6465,-4599.5962,-31.0410,4105.1680,0.0000,0.0000,-5416.8670,-5301.2118,-14.7733,-4071.4641,-2415.9862,76.1949,6513.8478,1364.4448,-4642.1386,-5031.3478,-6848.3854,-4756.6559,-513.7394,-167518.2470,-173393.5601,-170150.3098,-168432.6321,-165467.3903,-174746.7947,-179483.8443,-172258.3639,-101837867.5384,-101856896.9876,-101825921.9958,-101831231.1018,-171155.7853,-101832552.7610,
900.000,4058.9097,-4756.8264,-4716.3264,6287.6865,6084.5775,0.0000,0.0000,1348.2367,2177.5949,-5147.8374,3082.2091,5665.4717,3833.2103,298.1142,3664.7747,-5281.0903,3256.6302,2810.5155,2173.0146,-5113.4274,-278523.9321,-308224.7208,-288563.7103,-289057.8950,-297290.9887,-295629.2290,-295425.2980,-292775.1470,-84019562.1135,-84037865.7079,-83986837.0129,-83987937.0005,-293546.7846,-84000014.3647,-4468.5459,3625.4041,1915.7681,-2045.1133,1079.8416,0.0000,0.0000,4499.3762,4770.1840,-4092.5012,2928.5378,228.2179,-5562.9981,3412.2903,-5019.0365,-423.4771,4236.3519,837.4075,5502.9253,4311.3767,212919.1489,214279.4405,215595.2008,215497.0967,218203.4779,216886.4032,209172.1039,211512.4053,322312039.6422,322298113.3262,322311341.7278,322311862.2026,212175.7656,322309925.3943,3378.1494,-3412.6032,-4701.0783,-1828.3559,3131.8374,0.0000,0.0000,-4934.8664,-4501.7409,-2227.3115,-5495.2284,-3894.0594,1595.9315,6041.8586,3023.5493,-4294.6953,-4092.2381,-6287.2111,-3583.1093,1309.6728,-167473.1130,-173363.1493,-170021.5922,-168573.5362,-165357.3628,-174456.7457,-179545.9599,-172561.8419,-101833462.9381,-101852401.8044,-101820792.0409,-101826184.9861,-171119.5500,-101827913.5196,
1200.000,2983.7589,-4306.5076,-3840.7702,5132.6470,6664.0759,0.0000,0.0000,3283.0065,3935.9378,-4043.6435,2698.6612,4586.0492,2183.5826,1848.1671,1938.3112,-5664.7846,4889.8431,4254.2440,3696.4040,-3782.2239,-282888.1737,-312575.1979,-292938.4866,-293531.1638,-301744.8983,-300080.4884,-299842.9135,-297535.4598,-91035090.0378,-91053047.1622,-91002690.4555,-91003570.1331,-297974.1076,-91015601.6843,-5867.6788,5053.4939,3843.5751,-3002.2570,-535.7275,0.0000,0.0000,4520.5488,4680.8096,-3769.6226,921.9873,-1352.1747,-5892.5031,4532.2535,-4999.3699,1550.5296,3770.3414,2108.8293,5483.1805,4817.0231,207119.9116,207813.5697,209269.7804,209178.0319,211995.9579,210626.5945,203026.8449,205598.8824,320403744.5477,320389151.9193,320403599.0914,320404203.4215,205959.2782,320401705.3511,2132.0135,-1821.1825,-4299.6957,-3423.7058,1822.7640,0.0000,0.0000,-3898.0990,-3216.8628,-4202.5551,-6336.5682,-4946.0442,2945.4089,4929.3253,4356.1311,-3465.4421,-2675.5527,-5057.5355,-2023.7980,2985.4936,-167428.3170,-173332.3489,-169894.8691,-168719.2034,-165250.5687,-174160.2322,-179603.1112,-172750.3417,-101829055.5738,-101847905.4337,-101815669.8879,-101821142.1454,-171083.2187,-101823274.0234,
1500.000,1638.2087,-3439.8049,-2633.4415,3451.3961,6603.1750,0.0000,0.0000,4859.0362,5285.4066,-2536.4708,2121.9280,3076.2028,305.1012,3163.4721,-6.8193,-5498.9771,5983.7057,5195.8909,4836.2351,-2039.5708,-287133.6929,-316788.2995,-297184.0320,-297875.2756,-306067.2429,-304394.7265,-304131.9066,-302212.6706,-98007337.5510,-98024935.2415,-97975295.0586,-97975968.1138,-302269.8413,-97987911.3032,-6692.3348,5961.7476,5408.4196,-3692.6337,-2082.9037,0.0000,0.0000,4113.0050,4157.3121,-2991.5010,-1202.4979,-2842.5505,-5675.0450,5237.2119,-4524.0056,3346.7282,2926.0959,3209.2651,4934.3644,4850.8924,201231.1869,201259.4413,202849.5018,202759.3952,205694.3581,204266.0360,196789.8168,199606.0432,318342765.2155,318327516.1369,318343156.0161,318343850.9906,199650.4046,318340798.3580,656.3087,-30.7270,-3438.1345,-4641.4933,318.2435,0.0000,0.0000,-2422.4650,-1584.5364,-5730.9559,-6507.4108,-5457.6819,3980.7166,3293.6386,5218.3971,-2246.9348,-946.0499,-3289.0378,-246.2376,4324.9501,-167383.8529,-173301.1518,-169770.3125,-168869.6655,-165146.9817,-173857.2572,-179655.3418,-172805.0918,-101824645.3404,-101843407.8666,-101810555.9845,-101816103.2811,-171046.7914,-101818634.2724,
1800.000,139.2937,-2225.7847,-1203.0992,1415.8680,5902.5433,0.0000,0.0000,5917.3144,6098.5182,-804.4754,1413.1886,1292.9458,-1626.5392,4125.1737,-1980.7601,-4789.6013,6424.9910,5545.1275,5492.0117,-60.1960,-291258.6319,-320862.2101,-301298.3830,-302088.7102,-310256.0601,-308569.2170,-308290.3931,-306774.4681,-104932982.1040,-104950207.6441,-104901327.1692,-104901807.1617,-306432.0578,-104913620.5529,-6863.7283,6267.4889,6455.4982,-4060.5926,-3425.0191,0.0000,0.0000,3302.3308,3234.4078,-1827.2589,-3228.8324,-4096.8679,-4940.0537,5439.4736,-3649.4623,4788.0863,1775.0149,3997.5490,3895.5538,4423.7093,195255.3492,194620.0008,196337.2055,196243.4577,199301.5263,197806.9982,190463.6364,193510.0524,316130081.7891,316114186.3677,316130991.0253,316131782.4272,193251.9288,316128184.4443,-890.0657,1763.0610,-2208.2227,-5348.2899,-1220.4064,0.0000,0.0000,-673.6360,219.2028,-6651.2863,-5990.0835,-5373.6147,4591.5813,1308.0649,5517.4035,-775.6826,894.2216,-1169.3509,1557.8850,5177.4274,-167339.7143,-173269.5506,-169648.0903,-169024.9360,-165046.5772,-173547.8560,-179702.6931,-172718.4738,-101820232.1342,-101838909.0941,-101805450.7505,-101811069.0522,-171010.2683,-101813994.2666,
2100.000,-1381.6298,-769.4428,323.1897,-765.8973,4625.7191,0.0000,0.0000,6354.5293,6302.9854,955.3618,637.9313,-583.5276,-3427.8357,4654.5599,-3787.3953,-3596.6534,6172.7553,5279.9268,5612.4933,1953.5244,-295261.1795,-324795.1769,-305279.6345,-306170.0813,-314309.4462,-312601.2147,-312316.5385,-311186.0291,-111808723.3138,-111825564.2385,-111777485.2141,-111777785.5545,-310458.8880,-111789428.9260,-6367.8688,5950.0216,6879.5297,-4077.3741,-4446.0891,0.0000,0.0000,2153.8845,1985.7917,-394.3524,-4948.3207,-4987.1372,-3763.8331,5100.3542,-2466.4567,5735.3547,421.3487,4362.9040,2455.5751,3589.4899,189194.8132,187898.2318,189735.7774,189632.4835,192820.3472,191251.7374,184050.9625,187289.5665,313766746.7039,313750215.2863,313768155.0078,313769047.6513,186766.6753,313764915.9366,-2340.7067,3363.7679,-741.4478,-5466.9641,-2628.3549,0.0000,0.0000,1151.2496,1999.1648,-6866.9341,-4838.9189,-4702.9880,4713.0221,-816.5200,5220.8737,782.9164,2629.6157,1075.3972,3193.6038,5447.2968,-167295.8954,-173237.5376,-169528.3657,-169185.0029,-164949.3320,-173232.1065,-179745.2043,-172494.8309,-101815815.8528,-101834409.1070,-101800354.5777,-101806040.0794,-170973.6492,-101809354.0061,
2400.000,-2790.3064,797.1845,1811.0410,-2870.9828,2893.1532,0.0000,0.0000,6133.6477,5888.3879,2549.4931,-139.8412,-2367.7636,-4924.9226,4719.4717,-5243.8751,-2029.7366,5262.2887,4447.9175,5199.4263,3792.4123,-299139.5721,-328585.5099,-309125.9405,-310118.1526,-318225.5578,-316487.9455,-316208.5593,-315413.2186,-118631284.5369,-118647728.6365,-118600491.2800,-118600625.2080,-314348.5224,-118612059.6501,-5256.5053,5051.6479,6635.8348,-3742.7752,-5060.6184,0.0000,0.0000,768.3296,518.8214,1153.4039,-6180.9655,-5416.3189,-2261.4055,4236.4088,-1090.3765,6100.8358,-1006.8472,4240.2740,745.5947,2438.5076,183052.0321,181097.1544,183048.1472,182928.7237,186253.7417,184602.4839,177554.4950,180928.0018,311253884.1857,311236727.3536,311255770.7215,311256768.4860,180197.5075,311252116.9576,-3539.8299,4596.1486,804.9282,-4984.6084,-3755.1083,0.0000,0.0000,2845.9664,3562.4252,-6355.2742,-3174.9584,-3518.5066,4332.1207,-2854.4500,4360.5968,2253.2401,4056.6022,3204.9691,4484.1240,5104.3498,-167252.3902,-173205.1049,-169411.2969,-169349.8200,-164855.2242,-172910.1433,-179782.9122,-172149.9584,-101811396.3947,-101829907.8960,-101795267.8291,-101801016.9493,-170936.9344,-101804713.4909,
