TIME_UNITS,STARLINK-30451 - X-Coordinate,STARLINK-5166 - X-Coordinate,STARLINK-2053 - X-Coordinate,STARLINK-3920 - X-Coordinate,STARLINK-3779 - X-Coordinate,STARLINK-3210 - X-Coordinate,STARLINK-2685 - X-Coordinate,STARLINK-32113 - X-Coordinate,STARLINK-3736 - X-Coordinate,STARLINK-6220 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30451 - Y-Coordinate,STARLINK-5166 - Y-Coordinate,STARLINK-2053 - Y-Coordinate,STARLINK-3920 - Y-Coordinate,STARLINK-3779 - Y-Coordinate,STARLINK-3210 - Y-Coordinate,STARLINK-2685 - Y-Coordinate,STARLINK-32113 - Y-Coordinate,STARLINK-3736 - Y-Coordinate,STARLINK-6220 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30451 - Z-Coordinate,STARLINK-5166 - Z-Coordinate,STARLINK-2053 - Z-Coordinate,STARLINK-3920 - Z-Coordinate,STARLINK-3779 - Z-Coordinate,STARLINK-3210 - Z-Coordinate,STARLINK-2685 - Z-Coordinate,STARLINK-32113 - Z-Coordinate,STARLINK-3736 - Z-Coordinate,STARLINK-6220 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
32400.000,565.6874,-5029.3827,732.7102,-2137.9748,5516.5389,-5170.1642,2649.0390,2720.2954,5478.8915,1441.4171,402577.8825,390960.0001,398274.5956,400504.5932,393069.5280,394445.3382,388980.4693,392309.3471,10378266.3548,10396384.7098,10386077.1103,10389501.6792,393174.5001,10392588.5281,-5421.3565,4708.5632,4746.8760,-4776.2721,-3811.9136,-183.9431,5477.3389,-3213.6732,-3850.3205,1913.8113,41312.8575,66701.3786,49957.3139,46626.7940,51565.7666,50449.6866,46404.1463,45742.6469,-335038195.5839,-335063178.1672,-335048910.0867,-335060265.7717,47234.9905,-335050393.7250,4096.3969,-422.8185,4849.8251,4438.3392,1692.6039,4554.6781,-3289.7864,-5388.6235,976.5546,6510.3993,-73797.4634,-75544.4784,-76005.2347,-67735.7280,-73423.5669,-82903.0990,-74791.7509,-74283.0549,127846187.1125,127848104.9856,127820136.6022,127833387.8618,-73929.8890,127838220.8539,
36000.000,3770.5042,2906.5003,-3922.5214,4863.2781,-2391.5970,6485.3019,-3816.7124,-42.8045,-3183.9550,-4908.3274,377900.4655,362623.2357,374797.5890,376041.4433,369922.5953,370721.6911,364195.6627,369403.6963,96791001.9863,96810217.6343,96801448.2518,96809885.3525,368934.0931,96806436.9095,3747.8467,-4994.3663,-5476.2697,4827.3548,4142.5131,-2218.6322,-1768.3574,6289.6887,4663.7394,801.7060,143418.4371,162911.4014,146169.9047,144460.8322,150544.8194,148657.8120,143601.8210,146448.9793,-320896712.0175,-320917517.6288,-320914352.9848,-320921410.5573,144797.8274,-320908983.7284,-4283.9826,-3778.0588,-1150.6450,-488.4883,-5001.6694,-805.9773,5478.7925,2666.4075,3722.6537,-4852.7436,-72832.9722,-74364.1902,-73761.7939,-67046.2164,-69727.2918,-80477.9803,-76804.9332,-71925.2856,127877062.8890,127886987.1520,127855535.6903,127871025.2532,-72551.0509,127871719.7785,
39600.000,-6564.4646,1126.4689,4759.7389,-5091.7818,-2007.4430,-4892.4251,4927.9742,-1807.3024,-1624.4507,6735.6188,327004.9211,311047.8953,327011.3379,327508.7654,322269.1057,322760.6466,316621.8599,320812.4730,176588428.7606,176606388.5321,176604785.7912,176614112.7819,320869.0039,176604931.4109,-1373.6626,3973.0196,3517.8661,-2581.1481,-4126.3839,3392.5828,-2341.2611,-6281.4540,-3784.2282,-1676.8148,235486.0045,249027.5911,233211.0880,232955.5551,239680.4771,237783.6891,231886.0516,231695.7059,-284860184.8094,-284876645.6800,-284882314.9867,-284881243.7281,233192.5974,-284871991.9071,1252.7261,5519.0734,-3418.6319,-3824.3996,5164.9708,-3492.7485,-4254.0942,1983.3608,-5376.9374,321.5251,-71832.1898,-73162.0151,-71188.1460,-66834.2023,-66667.3589,-77351.5310,-77841.0368,-72101.2610,127907552.3960,127924382.9073,127892480.4439,127908850.6887,-71166.4819,127905178.4650,
43200.000,6127.6798,-5099.9742,-4021.0451,3802.4195,5332.4022,890.9096,-4968.0136,3362.3970,5784.5984,-5163.5866,253029.0110,239520.2705,257916.5491,257815.1833,253459.8397,253600.4079,248491.0966,251744.8074,244326517.4312,244341257.1756,244350146.6421,244354595.1259,252036.7852,244343782.5124,-1301.5942,-2785.6131,822.7553,-1583.3660,3862.9357,-4045.5260,4796.0466,2892.2701,2376.0776,1570.5845,309962.2133,319554.6851,305366.4575,306243.2084,313654.6010,311660.9192,305697.0767,308084.3293,-229389981.1050,-229403320.8416,-229412479.2502,-229403492.2676,306701.0013,-229400877.7356,2697.9033,-3729.6604,5452.6496,5486.0270,-2128.4224,5507.4508,339.6095,-5205.8409,2580.5496,4361.9492,-70622.1340,-71934.8842,-68603.0741,-67170.7738,-64159.5423,-73429.0331,-78043.4448,-68629.0078,127937847.9168,127960378.7319,127930956.8986,127945823.5350,-69776.2947,127938596.9061,
46800.000,-2884.5904,6729.9869,2881.2513,-2303.7772,-6055.5779,3330.9538,2886.8937,-4763.3097,-6342.2065,982.0254,165273.6562,152596.2210,171970.1777,170858.9375,168065.1701,167852.2998,163808.6731,167292.9367,295384664.2818,295395081.8506,295414058.9954,295409242.8287,166841.2049,295402206.0174,4086.2502,1447.0106,-5113.2308,5505.8067,-2461.6556,4543.8518,-5026.2155,1682.6418,-414.2210,-2193.6073,358276.0587,370006.5544,357870.5302,359355.9086,367795.0089,364623.9597,360204.7933,359564.2083,-158273156.5887,-158285481.2473,-158291547.4844,-158279032.3992,360554.7607,-158282905.9307,-4647.5198,-487.8446,-3503.5876,-3406.5770,-2266.1535,-3990.3856,3762.9426,4593.6238,2319.6949,-6521.9307,-68035.6076,-70678.8970,-66326.9173,-68121.5515,-62130.4412,-68637.1880,-77527.4639,-69781.4651,127968151.6915,127995207.9431,127970536.0181,127981020.6714,-68380.6024,127971975.0948,
50400.000,-1116.6113,-5296.8221,-1319.0055,720.7575,4496.9276,-5568.0327,1086.5518,4964.7774,3295.3463,3113.3798,73991.3784,55805.4737,74779.2970,70320.7186,71662.7866,71473.3059,67841.8262,70164.0313,326280848.8007,326286893.2269,326311871.0016,326297342.8528,70750.4887,326298128.0252,-5967.3471,676.7438,6623.1310,-6751.6637,-557.5733,-4071.7887,4015.6958,-4651.9386,-2566.6851,3879.8160,386563.9900,397191.6452,387268.6296,389429.7973,398614.0901,390922.8798,391724.0611,391999.3955,-76363936.3698,-76377700.1845,-76375374.8201,-76366388.4893,391245.4922,-76372572.5575,3107.5332,4362.8532,-1042.9315,-1037.6076,5216.1384,-130.1653,-5527.7961,-642.0289,-5331.2427,4841.7581,-65339.0636,-69388.8990,-64595.7511,-68583.5382,-60541.0794,-64649.7572,-76354.6275,-65440.4779,127998662.8184,128029109.3494,128010310.6855,128013311.8423,-66979.5183,128005313.0239,
54000.000,3925.5585,2112.7360,-1247.7097,1513.3783,-2213.8409,5242.8999,-5022.8606,-2655.4617,733.6460,-4754.5499,-22456.8111,-44705.2874,-27311.0761,-34384.6053,-29476.9506,-29204.8254,-33274.3698,-29657.8626,334909089.1449,334911759.7716,334936761.6849,334918417.0366,-30053.8306,334925654.3856,5531.6547,-3673.8624,-4691.6386,4723.8969,4318.8994,1710.4692,-2829.1560,5021.3152,5455.1947,-5049.3869,393653.2108,399415.2022,391664.5181,396630.5964,404086.6383,392563.0054,398010.9333,396362.9966,10747580.8655,10730051.6081,10742883.6617,10741486.7358,396753.7939,10739761.8272,739.9599,-5452.0528,4798.4807,4741.3857,-4934.9339,4137.5233,3808.7798,-3808.2064,3929.3834,-359.9851,-63187.8914,-68057.7681,-63498.1504,-65066.0049,-59379.4092,-66435.9832,-74546.0941,-67269.3378,128029564.3604,128062281.2276,128049240.7288,128041464.8653,-65573.1558,128038610.6863,
57600.000,-5006.8187,848.3223,4469.6731,-4348.1394,323.2560,-3521.7714,6730.6316,-1712.8936,-3273.5919,3910.9679,-118806.8228,-142567.1320,-127679.2137,-134826.2178,-128768.3214,-127858.4940,-132942.9719,-129398.8880,320683004.2190,320684207.0315,320703722.3043,320694898.5451,-129074.8940,320698609.7949,-2264.3131,6146.9818,1115.1864,-1064.8437,-6730.4440,2244.8826,1562.8961,-3745.9547,-5883.5564,3733.5884,377201.6964,376586.4095,370824.5028,377646.6335,383791.4676,371949.3502,378453.5065,376923.4669,97116895.0080,97093805.6003,97115913.3608,97104747.8471,376682.5484,97109412.9562,-4051.9331,3009.8198,-5050.5924,-5214.8457,1550.1169,-5497.9355,277.5066,5443.0003,687.9887,-4369.0824,-61286.8164,-66675.1239,-62951.4813,-61337.2431,-58657.3690,-68416.2197,-72088.1204,-62407.5442,128061011.4883,128094877.3599,128086647.9851,128067398.4813,-64161.6286,128071868.0750,
61200.000,4714.8896,-2586.5718,-6386.1772,6225.9299,1216.0693,1732.8838,-5461.5701,5676.5600,4047.5683,-2390.0624,-209008.3451,-231595.0625,-219876.4148,-226413.5662,-219711.0908,-218595.0119,-224519.2193,-219991.3633,284575692.6673,284577978.1262,284588424.8558,284595833.5451,-219919.6796,284590362.8547,-2369.1077,-6253.8736,1843.2825,-2002.2078,6214.8556,-5807.7836,506.2146,2190.3678,2607.5169,214.7651,337330.9446,330225.6579,326143.3998,333658.0989,338926.4207,328044.2343,334157.3101,332123.7549,176850730.9021,176821133.1745,176849118.9718,176840432.4290,332285.6116,176843047.4898,4317.7646,1346.7155,1572.9248,2087.7948,2775.2244,3286.8413,-4214.7872,-3116.8965,-4762.6701,6509.0167,-59534.6379,-65224.7509,-62724.0780,-58245.5403,-58413.4881,-69420.0677,-68929.4883,-64533.4184,128093121.4314,128127014.8931,128122352.2842,128098047.8587,-62745.0507,128105085.1828,
64800.000,-3333.2509,3561.3072,5124.6103,-5380.0678,-3079.6933,-175.1613,2402.5360,-6650.3949,-3931.7036,1860.7037,-287190.4391,-306176.3894,-298023.1277,-303671.9891,-296279.2088,-295693.3636,-301678.9727,-296522.1106,229053208.9877,229059417.5934,229059461.3853,229076384.3272,-296712.2760,229067231.4368,5796.1989,3368.9259,-3337.9073,3493.7206,-3052.3872,6821.0014,-3440.9185,-454.3321,2518.3890,-4593.1851,275947.0926,263376.0348,260504.8415,267783.2612,272169.9992,262848.4964,267931.8174,266610.3066,244509147.7211,244473140.3641,244502853.4017,244505736.9855,266389.8127,244500807.6382,-1371.2812,-4862.4127,3037.9228,2447.4585,-5394.4522,1022.0202,5486.0676,-1520.3554,4890.2151,-4870.7251,-57884.9799,-63678.7618,-62497.3588,-55706.6214,-58718.8463,-69590.9383,-64975.4753,-59559.5186,128125965.8850,128158783.3000,128156487.7313,128133473.8461,-61323.5363,128138262.0027,
