sl_100_86400_20280422 Coordinates.csv
2028/04/22 07:47:00.0000 UTC

Generated: Tue Oct  8 21:43:00 2024,
Start: 2028/04/22 07:47:00.00, Stop: 2028/04/23 07:47:00.00,
TIME_UNITS,STARLINK-4726 - X-Coordinate,STARLINK-1992 - X-Coordinate,STARLINK-5775 - X-Coordinate,STARLINK-30833 - X-Coordinate,STARLINK-5997 - X-Coordinate,STARLINK-31027 - X-Coordinate,STARLINK-30919 - X-Coordinate,STARLINK-4182 - X-Coordinate,STARLINK-2753 - X-Coordinate,STARLINK-30517 - X-Coordinate,STARLINK-3329 - X-Coordinate,STARLINK-2225 - X-Coordinate,STARLINK-31777 - X-Coordinate,STARLINK-6359 - X-Coordinate,STARLINK-3875 - X-Coordinate,STARLINK-1669 - X-Coordinate,STARLINK-30810 - X-Coordinate,STARLINK-30897 - X-Coordinate,STARLINK-2245 - X-Coordinate,STARLINK-32194 - X-Coordinate,STARLINK-3746 - X-Coordinate,STARLINK-2078 - X-Coordinate,STARLINK-5498 - X-Coordinate,STARLINK-4784 - X-Coordinate,STARLINK-3887 - X-Coordinate,STARLINK-5850 - X-Coordinate,STARLINK-3984 - X-Coordinate,STARLINK-5376 - X-Coordinate,STARLINK-3944 - X-Coordinate,STARLINK-31031 - X-Coordinate,STARLINK-30276 - X-Coordinate,STARLINK-4622 - X-Coordinate,STARLINK-1647 - X-Coordinate,STARLINK-5908 - X-Coordinate,STARLINK-3456 - X-Coordinate,STARLINK-11097 [DTC] - X-Coordinate,STARLINK-1575 - X-Coordinate,STARLINK-2714 - X-Coordinate,STARLINK-2757 - X-Coordinate,STARLINK-3326 - X-Coordinate,STARLINK-3193 - X-Coordinate,STARLINK-11234 [DTC] - X-Coordinate,STARLINK-5634 - X-Coordinate,STARLINK-31370 - X-Coordinate,STARLINK-5444 - X-Coordinate,STARLINK-5088 - X-Coordinate,STARLINK-31610 - X-Coordinate,STARLINK-4217 - X-Coordinate,STARLINK-1630 - X-Coordinate,STARLINK-31538 - X-Coordinate,STARLINK-31344 - X-Coordinate,STARLINK-31505 - X-Coordinate,STARLINK-1240 - X-Coordinate,STARLINK-1054 - X-Coordinate,STARLINK-3336 - X-Coordinate,STARLINK-2166 - X-Coordinate,STARLINK-5755 - X-Coordinate,STARLINK-4065 - X-Coordinate,STARLINK-5239 - X-Coordinate,STARLINK-5273 - X-Coordinate,STARLINK-30277 - X-Coordinate,STARLINK-5225 - X-Coordinate,STARLINK-5035 - X-Coordinate,STARLINK-6179 - X-Coordinate,STARLINK-3696 - X-Coordinate,STARLINK-32037 - X-Coordinate,STARLINK-1073 - X-Coordinate,STARLINK-4473 - X-Coordinate,STARLINK-5416 - X-Coordinate,STARLINK-31770 - X-Coordinate,STARLINK-3155 - X-Coordinate,STARLINK-6282 - X-Coordinate,STARLINK-32170 - X-Coordinate,STARLINK-30183 - X-Coordinate,STARLINK-5760 - X-Coordinate,STARLINK-31821 - X-Coordinate,STARLINK-4116 - X-Coordinate,STARLINK-5574 - X-Coordinate,STARLINK-31771 - X-Coordinate,STARLINK-32102 - X-Coordinate,STARLINK-5988 - X-Coordinate,STARLINK-5800 - X-Coordinate,STARLINK-5678 - X-Coordinate,STARLINK-30992 - X-Coordinate,STARLINK-5548 - X-Coordinate,STARLINK-5002 - X-Coordinate,STARLINK-6049 - X-Coordinate,STARLINK-31892 - X-Coordinate,STARLINK-1923 - X-Coordinate,STARLINK-31433 - X-Coordinate,STARLINK-5583 - X-Coordinate,STARLINK-3457 - X-Coordinate,STARLINK-5484 - X-Coordinate,STARLINK-2099 - X-Coordinate,STARLINK-31155 - X-Coordinate,STARLINK-31515 - X-Coordinate,STARLINK-2408 - X-Coordinate,STARLINK-2363 - X-Coordinate,STARLINK-32286 - X-Coordinate,STARLINK-31925 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-4726 - Y-Coordinate,STARLINK-1992 - Y-Coordinate,STARLINK-5775 - Y-Coordinate,STARLINK-30833 - Y-Coordinate,STARLINK-5997 - Y-Coordinate,STARLINK-31027 - Y-Coordinate,STARLINK-30919 - Y-Coordinate,STARLINK-4182 - Y-Coordinate,STARLINK-2753 - Y-Coordinate,STARLINK-30517 - Y-Coordinate,STARLINK-3329 - Y-Coordinate,STARLINK-2225 - Y-Coordinate,STARLINK-31777 - Y-Coordinate,STARLINK-6359 - Y-Coordinate,STARLINK-3875 - Y-Coordinate,STARLINK-1669 - Y-Coordinate,STARLINK-30810 - Y-Coordinate,STARLINK-30897 - Y-Coordinate,STARLINK-2245 - Y-Coordinate,STARLINK-32194 - Y-Coordinate,STARLINK-3746 - Y-Coordinate,STARLINK-2078 - Y-Coordinate,STARLINK-5498 - Y-Coordinate,STARLINK-4784 - Y-Coordinate,STARLINK-3887 - Y-Coordinate,STARLINK-5850 - Y-Coordinate,STARLINK-3984 - Y-Coordinate,STARLINK-5376 - Y-Coordinate,STARLINK-3944 - Y-Coordinate,STARLINK-31031 - Y-Coordinate,STARLINK-30276 - Y-Coordinate,STARLINK-4622 - Y-Coordinate,STARLINK-1647 - Y-Coordinate,STARLINK-5908 - Y-Coordinate,STARLINK-3456 - Y-Coordinate,STARLINK-11097 [DTC] - Y-Coordinate,STARLINK-1575 - Y-Coordinate,STARLINK-2714 - Y-Coordinate,STARLINK-2757 - Y-Coordinate,STARLINK-3326 - Y-Coordinate,STARLINK-3193 - Y-Coordinate,STARLINK-11234 [DTC] - Y-Coordinate,STARLINK-5634 - Y-Coordinate,STARLINK-31370 - Y-Coordinate,STARLINK-5444 - Y-Coordinate,STARLINK-5088 - Y-Coordinate,STARLINK-31610 - Y-Coordinate,STARLINK-4217 - Y-Coordinate,STARLINK-1630 - Y-Coordinate,STARLINK-31538 - Y-Coordinate,STARLINK-31344 - Y-Coordinate,STARLINK-31505 - Y-Coordinate,STARLINK-1240 - Y-Coordinate,STARLINK-1054 - Y-Coordinate,STARLINK-3336 - Y-Coordinate,STARLINK-2166 - Y-Coordinate,STARLINK-5755 - Y-Coordinate,STARLINK-4065 - Y-Coordinate,STARLINK-5239 - Y-Coordinate,STARLINK-5273 - Y-Coordinate,STARLINK-30277 - Y-Coordinate,STARLINK-5225 - Y-Coordinate,STARLINK-5035 - Y-Coordinate,STARLINK-6179 - Y-Coordinate,STARLINK-3696 - Y-Coordinate,STARLINK-32037 - Y-Coordinate,STARLINK-1073 - Y-Coordinate,STARLINK-4473 - Y-Coordinate,STARLINK-5416 - Y-Coordinate,STARLINK-31770 - Y-Coordinate,STARLINK-3155 - Y-Coordinate,STARLINK-6282 - Y-Coordinate,STARLINK-32170 - Y-Coordinate,STARLINK-30183 - Y-Coordinate,STARLINK-5760 - Y-Coordinate,STARLINK-31821 - Y-Coordinate,STARLINK-4116 - Y-Coordinate,STARLINK-5574 - Y-Coordinate,STARLINK-31771 - Y-Coordinate,STARLINK-32102 - Y-Coordinate,STARLINK-5988 - Y-Coordinate,STARLINK-5800 - Y-Coordinate,STARLINK-5678 - Y-Coordinate,STARLINK-30992 - Y-Coordinate,STARLINK-5548 - Y-Coordinate,STARLINK-5002 - Y-Coordinate,STARLINK-6049 - Y-Coordinate,STARLINK-31892 - Y-Coordinate,STARLINK-1923 - Y-Coordinate,STARLINK-31433 - Y-Coordinate,STARLINK-5583 - Y-Coordinate,STARLINK-3457 - Y-Coordinate,STARLINK-5484 - Y-Coordinate,STARLINK-2099 - Y-Coordinate,STARLINK-31155 - Y-Coordinate,STARLINK-31515 - Y-Coordinate,STARLINK-2408 - Y-Coordinate,STARLINK-2363 - Y-Coordinate,STARLINK-32286 - Y-Coordinate,STARLINK-31925 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-4726 - Z-Coordinate,STARLINK-1992 - Z-Coordinate,STARLINK-5775 - Z-Coordinate,STARLINK-30833 - Z-Coordinate,STARLINK-5997 - Z-Coordinate,STARLINK-31027 - Z-Coordinate,STARLINK-30919 - Z-Coordinate,STARLINK-4182 - Z-Coordinate,STARLINK-2753 - Z-Coordinate,STARLINK-30517 - Z-Coordinate,STARLINK-3329 - Z-Coordinate,STARLINK-2225 - Z-Coordinate,STARLINK-31777 - Z-Coordinate,STARLINK-6359 - Z-Coordinate,STARLINK-3875 - Z-Coordinate,STARLINK-1669 - Z-Coordinate,STARLINK-30810 - Z-Coordinate,STARLINK-30897 - Z-Coordinate,STARLINK-2245 - Z-Coordinate,STARLINK-32194 - Z-Coordinate,STARLINK-3746 - Z-Coordinate,STARLINK-2078 - Z-Coordinate,STARLINK-5498 - Z-Coordinate,STARLINK-4784 - Z-Coordinate,STARLINK-3887 - Z-Coordinate,STARLINK-5850 - Z-Coordinate,STARLINK-3984 - Z-Coordinate,STARLINK-5376 - Z-Coordinate,STARLINK-3944 - Z-Coordinate,STARLINK-31031 - Z-Coordinate,STARLINK-30276 - Z-Coordinate,STARLINK-4622 - Z-Coordinate,STARLINK-1647 - Z-Coordinate,STARLINK-5908 - Z-Coordinate,STARLINK-3456 - Z-Coordinate,STARLINK-11097 [DTC] - Z-Coordinate,STARLINK-1575 - Z-Coordinate,STARLINK-2714 - Z-Coordinate,STARLINK-2757 - Z-Coordinate,STARLINK-3326 - Z-Coordinate,STARLINK-3193 - Z-Coordinate,STARLINK-11234 [DTC] - Z-Coordinate,STARLINK-5634 - Z-Coordinate,STARLINK-31370 - Z-Coordinate,STARLINK-5444 - Z-Coordinate,STARLINK-5088 - Z-Coordinate,STARLINK-31610 - Z-Coordinate,STARLINK-4217 - Z-Coordinate,STARLINK-1630 - Z-Coordinate,STARLINK-31538 - Z-Coordinate,STARLINK-31344 - Z-Coordinate,STARLINK-31505 - Z-Coordinate,STARLINK-1240 - Z-Coordinate,STARLINK-1054 - Z-Coordinate,STARLINK-3336 - Z-Coordinate,STARLINK-2166 - Z-Coordinate,STARLINK-5755 - Z-Coordinate,STARLINK-4065 - Z-Coordinate,STARLINK-5239 - Z-Coordinate,STARLINK-5273 - Z-Coordinate,STARLINK-30277 - Z-Coordinate,STARLINK-5225 - Z-Coordinate,STARLINK-5035 - Z-Coordinate,STARLINK-6179 - Z-Coordinate,STARLINK-3696 - Z-Coordinate,STARLINK-32037 - Z-Coordinate,STARLINK-1073 - Z-Coordinate,STARLINK-4473 - Z-Coordinate,STARLINK-5416 - Z-Coordinate,STARLINK-31770 - Z-Coordinate,STARLINK-3155 - Z-Coordinate,STARLINK-6282 - Z-Coordinate,STARLINK-32170 - Z-Coordinate,STARLINK-30183 - Z-Coordinate,STARLINK-5760 - Z-Coordinate,STARLINK-31821 - Z-Coordinate,STARLINK-4116 - Z-Coordinate,STARLINK-5574 - Z-Coordinate,STARLINK-31771 - Z-Coordinate,STARLINK-32102 - Z-Coordinate,STARLINK-5988 - Z-Coordinate,STARLINK-5800 - Z-Coordinate,STARLINK-5678 - Z-Coordinate,STARLINK-30992 - Z-Coordinate,STARLINK-5548 - Z-Coordinate,STARLINK-5002 - Z-Coordinate,STARLINK-6049 - Z-Coordinate,STARLINK-31892 - Z-Coordinate,STARLINK-1923 - Z-Coordinate,STARLINK-31433 - Z-Coordinate,STARLINK-5583 - Z-Coordinate,STARLINK-3457 - Z-Coordinate,STARLINK-5484 - Z-Coordinate,STARLINK-2099 - Z-Coordinate,STARLINK-31155 - Z-Coordinate,STARLINK-31515 - Z-Coordinate,STARLINK-2408 - Z-Coordinate,STARLINK-2363 - Z-Coordinate,STARLINK-32286 - Z-Coordinate,STARLINK-31925 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,3054.5780,4830.4203,-4120.7284,410.6016,4005.7022,-107.6536,6265.6774,-5696.1474,-1277.7097,5047.8083,3322.3141,-5903.6274,1726.0483,2257.2837,211.7091,6878.2619,-4652.7368,-2013.5155,5895.1742,-743.6936,5107.8440,1903.4173,-2298.4429,1934.1520,-3213.8645,2652.7358,4799.4188,457.5508,3828.2344,-4290.3161,6478.2237,3863.4053,-1166.3277,1489.2313,3046.8152,-5815.2059,4289.9584,2694.8073,1577.7628,-4598.0502,-3189.7268,-4408.4527,5133.1726,-4557.8915,-6308.3303,6669.7569,4454.1180,-3206.1833,-4333.3021,-1829.7082,-752.2093,5644.7733,5907.1920,26.2008,3052.9201,-1563.7783,-684.5201,4943.9029,-2933.4929,-3060.5915,-4722.3029,-4362.3960,-4216.9522,-4349.7604,2485.3747,6650.9422,6492.5146,-5187.8755,4846.1973,-194.1594,-1209.3639,-3647.8211,-4461.6460,6326.4492,-5771.9621,-3035.0838,4873.9961,-947.6809,-3075.5278,5937.3934,-4577.5971,-4639.4273,5057.0890,3745.7792,-5495.4176,-3668.5251,5177.5123,-4683.2878,0.0000,5768.1849,1933.2016,2468.9241,1356.8525,5803.3783,-4909.5087,-1727.5742,-4154.7797,6202.7159,0.0000,-1115.1428,-337859.7799,-328719.3717,-332656.5609,-332990.3439,-335877.2868,-334499.7270,-326591.8907,-330267.5455,-196406830.6215,-196428030.8368,-196418023.8802,-196419890.1718,-329650.4637,-196423007.3963,2963.1856,-4799.4511,3415.0803,6849.5467,3166.9180,5547.5425,1155.7580,-3472.3713,3939.4059,-4098.4832,5812.3409,-3367.0785,4770.3435,-4661.7456,-4166.0486,563.3184,-3165.4132,5953.0933,2993.3894,4397.6375,-2369.8234,-4948.9208,4746.9766,4770.4612,-3958.6466,5356.1456,-4785.9058,6156.2731,2028.3319,1090.2251,-1471.3781,-2036.1145,-5379.3084,-1936.8256,3467.0852,-1322.8148,-2882.9636,-4401.9975,6649.9892,-4956.3082,5666.7429,-2235.6792,3481.1136,-3172.2643,-1099.3073,1427.6183,-3099.7457,-2611.7871,377.0407,-5765.7786,5767.3120,-1363.4963,1191.3584,4152.2942,-2813.2340,-5238.9094,6220.4886,-2356.6946,3235.6861,2779.4568,1714.2513,3993.2590,-1457.3453,-3284.9423,3846.3320,-1518.7904,1342.6551,2742.5437,-4454.8944,6297.0508,-6232.7094,-5876.6188,4628.4713,1555.4389,-1224.8773,4140.6427,3934.1975,6026.4244,-3939.1026,1631.6464,-2183.1602,3133.7093,408.4365,-5705.0148,-3555.4218,-3512.3329,-2793.5222,1830.7443,0.0000,3585.9603,-1806.7946,-5701.0711,-6507.2788,3742.7438,2703.6815,6600.0156,3487.5752,2915.7730,0.0000,6643.6635,231036.7236,205775.1321,230749.7434,230261.6063,222155.7798,223615.7413,223405.4165,224879.4324,296115454.9450,296136338.9515,296110543.1955,296115741.5032,225495.7711,296120620.1015,5417.8947,783.4312,4391.1300,-235.3613,4686.7397,4103.5657,-2753.9537,1767.9072,-5472.0357,2385.9904,1708.6059,-516.9431,-4537.4796,-4586.3121,5475.3515,148.8246,4035.4108,2772.8832,-1560.7663,-5122.2572,-3992.9103,4295.6907,-4531.2766,4593.3179,4621.1910,-3536.8749,1355.0661,-3108.9780,-5378.2395,-5331.0885,-1956.9109,-5362.5128,-3762.5032,6486.0283,5117.4160,-3132.9705,4541.3712,4521.3238,-1051.1991,-1439.3207,2272.4087,4494.2385,3107.5394,-3703.3654,-2569.3773,-1101.2555,-4164.2047,5523.8607,5077.0441,3117.6942,-3681.4551,-3405.2466,3311.6182,5515.8933,-5526.4482,4199.8859,-2975.7957,4197.3111,-5375.0362,-5516.2114,4665.2878,-3480.9273,-5276.5411,4271.4241,-5195.2702,434.5330,2027.9746,3664.1367,-2164.1394,-2609.3902,-2731.1142,264.3390,2260.2033,2313.1827,-3633.5587,4447.1711,-2918.3889,3265.5226,4632.6803,-2988.6114,4734.8207,-4094.1887,4696.3811,-1258.0213,-2305.7448,-4689.2498,-3703.0872,-4599.1390,0.0000,-489.3213,6417.0254,3014.2477,2028.9932,-42.8027,4053.8894,-309.6332,4245.5471,-46.9279,0.0000,-968.6337,41135.8324,39823.0164,42271.4094,44001.3926,46820.0239,37419.2132,33014.0533,42830.9267,59275974.2912,59263040.6992,59246165.2860,59260048.3136,41228.2255,59264615.8719,
3600.000,-6203.2621,-2703.1944,510.6781,-2142.9898,535.5319,-3119.5551,-6795.5729,4697.0872,-3069.9215,-1567.4667,-4403.2622,5034.5840,-5460.5471,1842.3290,3721.5893,-5355.9720,5134.5335,-1826.7491,-5928.5892,-4062.8852,-5088.0508,61.7016,2640.5832,-4212.1528,5975.0288,-4666.2039,-3203.9563,-3497.7485,-4595.4193,4459.7133,-5650.6117,563.7104,3916.1740,2396.0798,-4715.5420,6407.9113,-3894.8578,1864.3602,-2915.3343,5269.1192,1686.9194,6684.5498,-5608.1335,6660.2016,3998.1608,-4972.1542,-2783.7075,5677.8112,1600.9841,4614.6107,-2103.6653,-4859.8907,-3552.6977,-4141.4746,-441.8061,3892.3724,-1724.0458,-1009.8858,-1047.7598,313.7981,2651.2411,3441.2947,3955.6013,6672.7428,-5777.2120,-4743.6805,-4537.4951,1614.8175,-3154.9521,-3253.8858,2859.9659,4846.8561,2886.3118,-6737.5894,4403.6544,-1498.8104,-4264.5316,-2605.4555,6012.1384,-4414.5274,4651.8800,1064.2412,-5249.7767,-1572.3729,1482.7279,4286.7152,-5920.3383,2986.2681,0.0000,-5548.9959,-1376.1884,-1064.8011,-1196.3269,-5421.6599,1476.2413,-1290.8536,-153.0998,-5394.4088,0.0000,-1675.2693,-383081.4002,-370391.8622,-377088.4503,-377297.4722,-381878.1436,-379451.6741,-373344.1838,-375278.4972,-266394258.9890,-266418667.5255,-266404173.4286,-266407247.5457,-375562.1507,-266411237.7517,-810.4806,5156.9464,-5414.0712,-4909.7440,-779.1591,-2773.6356,1124.6664,388.1755,-4795.3570,4948.5880,-4611.7940,486.7424,-1974.8038,5369.1159,4824.5587,1311.2056,-901.5036,-4703.2797,-846.5304,-3001.9343,4660.2189,6828.6940,-6427.8783,-1009.3141,3311.5489,-2012.7201,5355.0175,-3644.7804,2330.3101,-4621.6222,3590.0466,-1215.3829,5224.6190,4175.5217,701.6851,-874.1041,5630.5197,3936.5087,-4185.3968,3389.1376,-6310.3660,-162.2631,-3640.0378,102.7328,-1743.1232,872.7366,6161.2596,-727.6598,-5033.9127,4945.0268,-6544.5200,4606.2897,2170.3487,-3991.0068,5909.8706,1597.8811,-6682.1967,4063.2075,-4973.4736,-5895.8754,-5423.8756,-5854.7466,-2982.4957,1086.4634,-3111.3205,2969.1573,1202.1535,434.2353,5972.4390,-3790.1717,6068.4172,3388.4062,-5661.6224,707.1027,-2550.0382,-5484.7910,-211.5068,-4347.4202,588.7061,2352.6861,5148.0819,-5116.6088,3414.0217,6323.3215,2678.0710,-850.5742,3436.5484,-5665.2390,0.0000,-206.8239,5683.8531,6695.9199,6199.8843,-1466.9875,-5011.8201,-5524.5291,-4218.9127,-480.4099,0.0000,-5873.9507,136159.2726,116448.2905,140754.9447,139072.5892,131474.7530,133316.6380,133060.4534,135541.7655,235127208.0436,235146354.7367,235129584.7487,235137666.3952,135140.8227,235132958.1551,-2909.8894,3606.0720,-4301.2623,4285.6703,-6880.6981,-5507.8975,-836.5566,-5051.0516,3813.3557,-4596.2781,2653.6572,4557.4593,3535.9135,3938.5971,-3224.6149,-4160.7166,-4572.6404,-4671.4959,-3211.0396,4524.6544,-127.2308,-123.6089,-137.8600,-5384.2755,-879.4334,4718.0806,2963.5564,4703.4185,4582.6834,2584.7220,-1769.8861,6768.6804,-1340.9528,-5008.9481,-4991.3158,-1886.1459,-751.9098,-5316.2996,4655.6901,-2926.9537,2183.7323,86.4668,1851.3638,-383.8726,5331.7643,4703.8898,1018.0200,-3872.6506,-4115.6947,781.9178,251.9717,-672.0985,-5484.4684,-3842.1092,3541.6584,-5476.3742,-598.5348,-5498.0892,4688.9932,3542.3982,-3270.7549,-978.4155,4800.9466,-1539.1891,2193.3280,3919.8374,-5112.9099,-6724.3362,-1541.5594,4631.2866,-1666.0826,-3603.4581,2462.8796,1385.6365,4688.5292,-3732.6212,5418.4747,-4723.6874,-3168.2053,4662.0559,168.7082,4543.5524,-2951.7351,-2390.4127,6211.4414,5340.9113,-1205.5667,2312.3975,0.0000,3931.6412,-3766.2856,1312.6092,2896.5956,-4025.6442,-4547.9469,3796.5401,-5456.5550,4190.3133,0.0000,-3004.5612,42226.2430,41117.5616,44697.2407,43157.2039,48994.2195,42281.0870,33597.0011,41027.5347,59348208.5813,59343767.2658,59319800.8533,59331759.0074,42727.1844,59338408.6626,
7200.000,6675.3268,-1468.1284,2636.8669,4156.5504,-2893.5786,6015.2223,4775.0200,-2859.0013,5296.6908,-2520.6436,4255.3877,-2508.9511,6742.4779,-4798.7204,-5435.8503,1838.2384,-4802.1932,5444.6094,3074.0365,6639.8253,2706.8901,-1980.0600,-1626.0788,5922.5907,-5804.1015,6028.6476,-404.5840,6037.4080,4585.0532,-3406.9712,2511.6197,-5528.6524,-4158.8177,-4006.0663,5531.8387,-2853.4356,1831.2527,-5567.6562,4376.6325,-4271.0874,1224.7452,-4158.5759,3620.5972,-4238.9943,-962.8065,1843.5371,74.0128,-6301.9805,891.1562,-5243.5642,3963.9655,1024.1216,815.1307,6141.8778,-1339.2209,-5822.3055,3592.7960,-2688.5786,3742.6799,1545.6522,-240.7742,-552.4429,-3380.3854,-6488.4910,6360.5379,309.1761,1639.2510,3868.8816,-24.5709,6037.7528,-3688.3564,-5042.9879,885.9541,4526.5035,-2485.1119,4734.1528,3342.4859,5765.0537,-6386.4697,1960.6226,-1586.0604,2268.1936,4055.0135,-1652.4863,1948.6064,-4581.8049,3487.3546,-446.8113,0.0000,3391.5693,1405.6275,-1230.6876,-523.4995,3479.0273,1827.5958,4591.0213,4065.6729,2720.5487,0.0000,4404.7292,-401241.6604,-388310.4702,-397064.9269,-395721.0669,-403438.2569,-397666.8645,-395748.0637,-397368.1297,-318195076.0624,-318220838.0959,-318207591.9345,-318215260.5600,-397223.2423,-318213109.2176,-865.2795,-3855.9547,6211.3187,839.5742,-3885.5435,23.5385,-3168.0345,3688.2673,4327.3507,-5072.7341,972.3505,3676.6922,-883.1860,-4910.0221,-4074.1096,-3761.4879,4427.9563,2490.6299,-2683.3292,1374.3982,-4804.3414,-5041.8574,4863.0817,-2276.3534,-1321.9514,-1496.8786,-4252.1723,532.9586,-5085.9605,5774.8804,-4728.2749,1244.9254,-965.3539,-5645.2001,-3791.0061,3128.3204,-5604.9444,-3190.3865,63.6552,224.2989,4324.3909,2498.4705,1406.1577,3132.5044,5004.0215,-3987.2935,-6208.7142,2821.4498,6594.8610,-1462.0823,4526.4151,-5200.2503,-5559.8281,3162.8848,-6742.4459,1848.1172,4547.9533,-5449.1971,5712.5790,6671.1962,6847.2511,4930.2115,5883.4231,1159.2848,1681.1035,-4137.1368,-4390.6042,-942.8806,-5439.8690,295.3945,-3039.7395,637.6209,4140.9372,-3075.4700,5792.2634,4878.5882,-4051.7008,2021.3480,2291.1137,-5843.0429,-4544.1043,6154.7268,-5570.7349,-4931.7685,1653.8084,4457.0666,-2689.0482,6570.6575,0.0000,-3982.6815,-6720.2326,-4787.1360,-3135.9656,-2287.5565,6297.2581,2343.3575,4628.4546,-3234.4390,0.0000,2318.5621,33797.6982,19526.4843,41870.2120,37278.4378,32230.6649,36769.5831,33715.0259,35934.5672,158095049.0883,158110449.7886,158104364.3573,158111275.5257,36205.2274,158100907.6867,-1514.5872,-5479.5679,1565.5968,-5406.0267,4956.9141,3387.5131,3901.1394,5078.8774,490.2202,3980.3251,-5363.1911,-5166.2479,202.2460,-829.0963,-1170.9737,5478.5206,2305.7121,3364.9758,5419.7705,-344.0256,4136.5238,-4166.8869,4677.4970,2720.0220,-3471.8041,-3106.6690,-5440.5845,-3323.4155,-863.0486,1722.2347,4378.8183,-3956.9517,5106.8799,532.8270,1614.2838,5226.1019,-3565.3631,2440.8727,-5356.6131,5419.0089,-5228.6099,-4608.2545,-5760.2736,4080.6166,-4651.9602,-5335.1388,2859.2695,-263.7870,-719.9873,-4094.5505,3328.4436,4136.2644,3961.8827,-278.3043,669.7125,3201.3902,3782.8841,3275.7709,-1125.6560,741.9319,-419.5120,4727.1636,-1283.5870,-2152.2727,2138.4130,-5438.9388,5102.7532,5659.6700,4278.0369,-3158.0676,4979.4113,4687.7545,-5347.5593,-4235.4853,-2879.1891,72.6878,-4489.4815,3248.9155,-701.0957,-2979.1082,-5009.8002,-2250.8580,-649.0913,4581.2931,-6454.3714,-2624.5631,5361.9627,1732.0974,0.0000,-4364.1661,-1110.4827,-4832.9772,-6189.5543,5499.0529,2210.9184,-4485.5030,3087.5013,-5401.2347,0.0000,4630.8351,43407.2701,42422.6609,46591.7414,42600.3842,50716.0046,46573.3556,34830.8597,46013.4221,59419786.9144,59423798.9437,59394670.1810,59408342.3862,44222.7830,59412180.1602,
