sl_20_5400_20280229 Coordinates.csv
2028/02/29 07:47:00.0000 UTC

Generated: Tue Oct  8 21:40:14 2024,
Start: 2028/02/29 07:47:00.00, Stop: 2028/02/29 09:17:00.00,
TIME_UNITS,STARLINK-3005 - X-Coordinate,STARLINK-5386 - X-Coordinate,STARLINK-5477 - X-Coordinate,STARLINK-5136 - X-Coordinate,STARLINK-11191 [DTC] - X-Coordinate,STARLINK-32103 - X-Coordinate,STARLINK-4343 - X-Coordinate,STARLINK-3304 - X-Coordinate,STARLINK-4533 - X-Coordinate,STARLINK-32220 - X-Coordinate,STARLINK-30461 - X-Coordinate,STARLINK-1471 - X-Coordinate,STARLINK-30197 - X-Coordinate,STARLINK-5919 - X-Coordinate,STARLINK-11179 [DTC] - X-Coordinate,STARLINK-3267 - X-Coordinate,STARLINK-5053 - X-Coordinate,STARLINK-30926 - X-Coordinate,STARLINK-31368 - X-Coordinate,STARLINK-30925 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3005 - Y-Coordinate,STARLINK-5386 - Y-Coordinate,STARLINK-5477 - Y-Coordinate,STARLINK-5136 - Y-Coordinate,STARLINK-11191 [DTC] - Y-Coordinate,STARLINK-32103 - Y-Coordinate,STARLINK-4343 - Y-Coordinate,STARLINK-3304 - Y-Coordinate,STARLINK-4533 - Y-Coordinate,STARLINK-32220 - Y-Coordinate,STARLINK-30461 - Y-Coordinate,STARLINK-1471 - Y-Coordinate,STARLINK-30197 - Y-Coordinate,STARLINK-5919 - Y-Coordinate,STARLINK-11179 [DTC] - Y-Coordinate,STARLINK-3267 - Y-Coordinate,STARLINK-5053 - Y-Coordinate,STARLINK-30926 - Y-Coordinate,STARLINK-31368 - Y-Coordinate,STARLINK-30925 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3005 - Z-Coordinate,STARLINK-5386 - Z-Coordinate,STARLINK-5477 - Z-Coordinate,STARLINK-5136 - Z-Coordinate,STARLINK-11191 [DTC] - Z-Coordinate,STARLINK-32103 - Z-Coordinate,STARLINK-4343 - Z-Coordinate,STARLINK-3304 - Z-Coordinate,STARLINK-4533 - Z-Coordinate,STARLINK-32220 - Z-Coordinate,STARLINK-30461 - Z-Coordinate,STARLINK-1471 - Z-Coordinate,STARLINK-30197 - Z-Coordinate,STARLINK-5919 - Z-Coordinate,STARLINK-11179 [DTC] - Z-Coordinate,STARLINK-3267 - Z-Coordinate,STARLINK-5053 - Z-Coordinate,STARLINK-30926 - Z-Coordinate,STARLINK-31368 - Z-Coordinate,STARLINK-30925 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-112.8396,4075.6037,4748.6627,3280.7204,-1571.8169,-5587.8165,-5921.3398,-6035.2609,6671.5425,851.3845,6311.5110,3704.8547,275.7355,3649.3053,5206.0853,-3994.5297,4675.7870,-1283.2462,5849.2884,-4445.7971,104175.7107,86424.7549,94682.4444,94395.7745,86245.9210,88275.8199,92966.3669,92648.5746,-115145686.7980,-115136933.1570,-115125448.0706,-115121181.8685,92702.1718,-115127939.3844,4497.1027,-5399.8685,-5045.8806,-4192.7832,-3721.2159,-226.5598,-3605.7900,-2939.4988,1212.8890,6642.6145,1109.9346,5748.0882,-5234.2944,1913.1584,3465.8123,1614.6770,-4070.0564,-5547.5539,-2292.8139,3161.7998,391611.1114,362729.9607,382872.0231,382716.0253,379928.1248,379851.8248,373410.7867,377175.4614,332426500.6160,332407609.2228,332433427.0863,332436064.5455,377128.8131,332426032.3361,-5264.8714,-1525.2558,-561.1776,-4444.9982,5374.1306,3854.5702,-340.1363,1611.7515,1219.4890,-1502.3251,2510.7337,1041.0420,-4546.1290,5572.4331,-2546.5567,5394.9368,-3046.3422,3938.5915,-2694.2174,-4184.0333,97632.3261,95217.7710,95098.7348,97136.8073,99751.2530,90222.4756,86034.4421,96016.8610,-42535974.9745,-42502610.2627,-42510769.0546,-42519927.4400,94191.4657,-42525866.0380,
300.000,-579.8418,2855.5870,4171.6471,1820.0330,-3543.7145,-5978.1857,-5459.2375,-5909.0909,6244.5160,1997.3986,6784.2061,4685.5156,-1813.6527,5323.7187,5138.3379,-2591.4726,2987.2298,-3165.4657,5693.9252,-3544.0214,95797.2190,78614.5919,86773.5884,86396.5065,78201.0369,80247.6810,84925.4377,85114.2120,-122375615.7369,-122366748.7020,-122356052.3454,-122351735.2618,84687.4600,-122357952.9558,2572.5488,-6318.1322,-5334.3107,-5583.9803,-2799.5091,1633.8643,-3843.5966,-1489.5407,-114.1880,5763.9577,-448.8774,5032.3716,-4746.5183,1471.8966,1801.1454,3280.1306,-4430.2409,-5440.8368,-3651.3284,4903.0472,393753.5632,364378.8962,384660.4579,384462.7217,381766.7819,381654.2451,375317.7809,378975.9968,329835230.5819,329815850.9047,329842072.7499,329844981.0868,378970.6780,329834751.8850,-6403.9541,-0.4128,1558.2030,-3688.1856,4981.3530,2783.3120,1888.7764,3239.5601,2903.5902,-3148.0216,1081.7178,-771.2042,-4725.0567,4189.5883,-3995.5469,5494.3300,-4378.2400,2886.8179,-977.0946,-3265.1025,97729.4797,95309.4443,95302.4378,97077.1659,99938.3994,90575.1879,86037.7565,96071.7095,-42529578.1564,-42496135.0404,-42503972.9069,-42513071.8795,94300.6644,-42519322.5442,
600.000,-894.7632,1358.6701,3155.1013,215.6990,-5149.8383,-5770.9824,-4417.3470,-5214.0387,5199.3682,2976.1229,6587.1406,5207.1962,-3741.5785,6454.4916,4558.5761,-977.0757,985.3875,-4725.9081,4957.4719,-2321.7822,87373.9882,70774.1727,78827.7876,78363.0666,70120.7175,72190.3634,76845.2615,77514.0276,-129547280.7622,-129538281.5634,-129528388.4131,-129524038.3418,76636.3630,-129529701.6106,357.8602,-6623.8779,-5094.2157,-6449.8700,-1631.0276,3305.8296,-3640.8335,138.7754,-1461.1118,4301.0462,-1952.9200,3811.0128,-3844.4982,935.8069,-84.4565,4659.7560,-4396.0637,-4829.3764,-4623.9737,6156.6862,395715.6788,365861.2242,386275.0712,386033.1352,383433.4767,383282.6407,377053.6713,380626.2045,327086737.2715,327066868.0267,327093463.5376,327096635.6115,380642.2132,327086244.4633,-6858.7890,1524.4528,3511.8398,-2537.4098,4006.2338,1395.7094,3915.9541,4516.1452,4270.8972,-4446.9184,-465.5979,-2500.3842,-4400.5995,2359.0097,-4982.9192,5000.2638,-5237.3542,1525.1219,849.2014,-1988.0984,97826.3513,95400.9510,95504.1791,97012.7686,100122.1209,90934.1539,86045.9561,95998.0806,-42523176.5981,-42489662.6636,-42497188.4615,-42506225.9910,94409.8086,-42512778.9475,
900.000,-1016.8917,-283.3542,1784.1555,-1387.0680,-6211.5711,-4977.7581,-2925.6299,-4029.6730,3647.8262,3703.2478,5736.8126,5234.5125,-5320.1835,6924.8260,3539.5285,691.1559,-1131.8516,-5819.2516,3702.4287,-887.7788,78909.9292,62907.0164,70848.6633,70299.0979,62008.5717,64108.2375,68729.5021,69817.5387,-136657263.3528,-136648113.1224,-136639036.1885,-136634670.2334,68552.5007,-136639766.6694,-1904.3367,-6293.4606,-4368.2816,-6700.8254,-331.4223,4626.4883,-2996.6148,1793.2934,-2706.6231,2405.5721,-3267.9437,2194.3574,-2612.3324,335.3905,-1995.4109,5611.1242,-3981.2033,-3761.0893,-5126.3689,6796.9167,397496.5070,367176.3981,387715.2057,387426.0664,384927.5733,384736.3361,378617.5656,382124.8854,324182329.4705,324161969.9888,324188908.6007,324192336.2684,382142.7049,324181818.9039,-6581.5160,2885.9608,5091.9447,-1115.2591,2562.4777,-150.5408,5525.0631,5303.3267,5172.4539,-5256.7057,-1962.0549,-3960.5381,-3607.1393,276.2107,-5395.4544,3965.8534,-5531.6526,-0.3178,2580.4666,-492.7879,97922.9422,95492.2950,95703.7823,96943.5689,100302.4467,91299.4047,86058.9931,95807.9232,-42516770.2356,-42483193.0734,-42490415.6572,-42499390.1952,94518.8983,-42506235.2480,
1200.000,-936.6007,-1922.7707,184.3959,-2845.4334,-6608.1882,-3670.2215,-1160.6837,-2481.2994,1751.1534,4114.4759,4315.3839,4779.4243,-6393.8218,6687.2306,2194.9747,2255.1491,-3153.4418,-6347.2297,2046.8132,629.9461,70408.9735,55016.6526,62839.8490,62208.2404,53868.2241,56005.7555,60581.8442,61998.0537,-143702174.3596,-143692854.1512,-143684604.9960,-143680239.4150,60439.5071,-143684758.8270,-3965.4857,-5365.1145,-3246.1533,-6306.1286,974.7946,5471.0933,-1963.7087,3314.6979,-3734.6075,272.5109,-4278.4089,334.1706,-1161.4693,-295.5393,-3729.6271,6030.6255,-3230.7672,-2327.4639,-5122.7186,6759.5605,399095.1819,368323.9457,388980.2862,388640.3352,386248.5098,386014.7371,380008.6556,383468.1068,321123390.2826,321102540.5128,321129791.4777,321133465.6452,383471.5162,321122858.3642,-5601.4938,3938.2102,6130.7022,426.2993,818.8118,-1679.7119,6544.8477,5516.0306,5510.2253,-5488.9802,-3244.3536,-4995.2215,-2428.8653,-1836.1448,-5186.0223,2502.5947,-5229.7229,-1525.7450,4022.9774,1056.6770,98019.2536,95583.4799,95901.0750,96869.5321,100479.4044,91670.9508,86076.8222,95521.8833,-42510359.0066,-42476726.2124,-42483654.4209,-42492564.9069,94627.9334,-42499691.4456,
1500.000,-676.0278,-3409.2396,-1489.8624,-4031.6023,-6291.2400,-1973.8510,675.6484,-726.3766,-297.0075,4170.6916,2462.3455,3897.9703,-6854.6162,5768.5353,666.9808,3571.2739,-4875.9504,-6267.4680,152.8856,2095.1981,61875.0713,47106.6190,54804.9884,54094.1245,45703.3134,47887.4588,52405.9917,54035.1359,-150678655.6214,-150669146.4293,-150661735.1879,-150657385.3385,52301.0281,-150661319.7683,-5597.9651,-3934.3388,-1853.1098,-5298.0656,2165.9583,5764.7469,-644.1699,4551.8147,-4444.7241,-1880.0375,-4897.3243,-1590.9037,378.9939,-920.4813,-5099.5314,5865.1905,-2216.3198,-655.8403,-4627.6490,6048.9242,400510.9236,369303.4689,390069.8192,389674.7720,387395.7984,387117.3301,381226.2173,384649.6104,317911376.4708,317890036.9832,317917569.4330,317921480.1096,384628.0872,317910819.6675,-4022.4547,4568.5270,6517.9907,1922.1474,-1020.7017,-3018.2879,6867.1202,5131.2451,5247.5050,-5118.3996,-4172.9792,-5494.0312,-991.1563,-3752.6591,-4378.6094,768.5821,-4363.8934,-2887.6474,5015.5135,2489.8818,98115.2865,95674.5094,96095.8891,96790.6391,100653.0200,92048.7759,86099.4003,95168.3327,-42503942.8512,-42470262.0242,-42476904.6685,-42485750.5370,94736.9139,-42493147.5404,
1800.000,-285.4196,-4603.5438,-3070.5927,-4843.9815,-5290.7807,-55.6282,2379.5658,1061.5799,-2290.5160,3861.4979,360.3887,2683.1188,-6653.7688,4266.3692,-888.8136,4523.6673,-6123.8406,-5596.4491,-1789.1046,3375.7531,53312.1896,39180.4605,46747.7337,45960.3624,37517.4906,39757.9879,44205.6651,45916.8822,-157583381.5650,-157573664.3436,-157567099.7467,-157562780.0332,44140.7204,-157566123.7690,-6620.2832,-2143.7073,-335.7624,-3769.5924,3134.3932,5488.5887,820.9807,5376.6077,-4762.0976,-3832.8665,-5073.1989,-3392.5102,1873.4847,-1501.1197,-5952.1453,5119.2568,-1029.2882,1101.9793,-3702.7338,4737.3951,401743.0387,370114.6445,390983.3933,390528.2091,388369.0264,388043.6808,382269.6110,385661.5115,314547817.7633,314525989.7527,314553772.7598,314557909.1167,385611.9357,314547232.6093,-2012.3367,4709.4749,6212.7125,3211.8902,-2740.8981,-4014.8173,6457.7485,4190.4339,4412.7652,-4185.2776,-4647.2254,-5403.9153,552.5335,-5269.7735,-3065.7376,-1048.5933,-3026.9778,-3940.4509,5447.3915,3649.1386,98211.0421,95765.3869,96288.0611,96706.8923,100823.3183,92432.8271,86126.6870,94781.7059,-42497521.7117,-42463800.4536,-42470166.3060,-42478947.4932,94845.8396,-42486603.5323,
2100.000,164.5074,-5390.5470,-4392.9377,-5215.7062,-3712.3384,1892.6255,3767.8984,2710.1292,-4031.4919,3206.9406,-1782.7924,1254.8407,-5807.1711,2337.8438,-2318.6876,5034.4486,-6767.5739,-4406.5251,-3580.2273,4355.1747,44724.3103,31241.7273,38671.7434,37810.5378,29314.4171,31622.0927,35984.6003,37641.7449,-164413060.7906,-164403116.4739,-164397405.8731,-164393129.6954,35962.2498,-164395879.2813,-6917.9939,-168.3971,1153.4916,-1865.6571,3795.7759,4680.0054,2266.8723,5697.6092,-4645.3268,-5387.7244,-4793.7344,-4890.7675,3191.7261,-1998.5594,-6186.4302,3855.7841,226.8411,2783.5671,-2448.5718,2957.7849,402790.9202,370757.2236,391720.6792,391199.4693,389167.8562,388793.4323,383138.2816,386495.2494,311034316.1258,311012001.4133,311040004.0486,311044354.4800,386422.6570,311033699.2285,213.8680,4345.9518,5246.9851,4157.2623,-4141.1169,-4556.9308,5360.0530,2795.2510,3096.7055,-2791.5012,-4615.7896,-4734.4756,2037.0620,-6227.3520,-1398.4010,-2752.4615,-1362.7999,-4572.0079,5270.5619,4407.0083,98306.5215,95856.1158,96477.4325,96618.3236,100990.3222,92823.0037,86158.6441,94400.1150,-42491095.5326,-42457341.4469,-42463439.2303,-42472156.1813,94954.7106,-42480059.4215,
2400.000,593.2947,-5690.2955,-5312.5291,-5119.7651,-1725.0979,3673.4048,4697.8769,4064.6161,-5350.1341,2257.0905,-3754.8892,-251.5550,-4394.4093,182.3457,-3485.8706,5069.6911,-6737.6540,-2817.6812,-5033.2687,4943.1859,36115.4282,23293.9734,30580.6812,29648.1931,21097.7628,23484.6462,27746.5462,29219.5775,-171164437.6403,-171154247.1618,-171149396.5563,-171145176.2606,27769.2891,-171147330.5028,-6457.4865,1801.0400,2471.7886,230.8467,4095.7647,3427.3164,3523.2917,5470.4362,-4091.9866,-6387.5873,-4086.2692,-5932.0287,4220.0073,-2375.0368,-5765.8862,2190.9249,1445.1146,4230.7463,-993.6458,889.4577,403654.0484,371231.0324,392281.4294,391687.3541,389792.0257,389366.3029,383831.7585,387142.7038,307372544.9979,307349746.0327,307377937.4213,307382489.6093,387059.9241,307371893.0447,2417.0309,3516.7809,3722.9835,4657.0133,-5058.7068,-4583.6682,3690.5064,1096.8113,1442.6694,-1089.9417,-4082.0700,-3557.0040,3303.4611,-6524.9488,430.8489,-4159.2952,448.9143,-4715.2552,4504.7556,4680.2884,98401.7258,95946.6993,96663.8499,96525.0047,101154.0535,93219.1408,86195.2355,94062.3325,-42484664.2605,-42450884.9514,-42456723.3301,-42465377.0062,95063.5267,-42473515.2080,
