TIME_UNITS,STARLINK-31973 - X-Coordinate,STARLINK-11174 [DTC] - X-Coordinate,STARLINK-1846 - X-Coordinate,STARLINK-5620 - X-Coordinate,STARLINK-31763 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31973 - Y-Coordinate,STARLINK-11174 [DTC] - Y-Coordinate,STARLINK-1846 - Y-Coordinate,STARLINK-5620 - Y-Coordinate,STARLINK-31763 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31973 - Z-Coordinate,STARLINK-11174 [DTC] - Z-Coordinate,STARLINK-1846 - Z-Coordinate,STARLINK-5620 - Z-Coordinate,STARLINK-31763 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
2700.000,779.0338,-6076.9962,-4507.3898,3875.1994,6657.3146,376652.6202,363521.6268,367947.0672,369604.5718,376506.5171,373649.6378,367768.2842,368909.6782,-288222410.2275,-288201921.0496,-288204691.4992,-288200488.8145,369192.0173,-288206116.8004,4942.6976,2755.1402,-3328.6051,-2960.6753,523.7446,-173952.6556,-161589.4962,-173679.9819,-172522.8081,-167043.1687,-167621.3087,-165169.8963,-168882.7677,4181619.5964,4169919.6577,4202895.8985,4181600.2902,-168029.8303,4182530.5551,-4660.9026,976.5728,-3762.3689,4850.7571,-1307.1220,-20402.2392,-18585.6884,-18075.9632,-19611.3041,-14026.0903,-20911.9901,-29173.8403,-18624.7711,88397309.9907,88369928.3601,88371699.8737,88392766.3832,-20138.7195,88385018.7354,
3000.000,2864.3863,-4999.8731,-4491.4191,4206.4213,6723.4173,380204.0765,366848.0088,371309.2697,372950.7441,380011.0540,376984.2956,371326.7436,372160.5367,-288242758.4284,-288222018.5649,-288225641.7472,-288220836.2192,372682.5023,-288226465.5608,4414.6633,3626.5472,-1403.3432,-4409.7797,-1010.0768,-165702.2910,-153598.8258,-165759.5400,-164483.5939,-159144.1792,-159759.6522,-157306.3955,-161327.1936,-2113081.0767,-2125016.0802,-2092087.2369,-2112418.1375,-160158.3243,-2112247.6818,-4367.0097,2700.7928,-4839.1226,3194.0934,242.2069,-20310.8903,-18464.7058,-17899.8386,-19694.1502,-13867.0307,-20480.7491,-29099.6982,-18800.7226,88393333.7027,88366395.3063,88367492.9289,88388599.6995,-20014.0033,88381036.2034,
3300.000,4665.0492,-3375.3233,-4048.0107,4133.3952,6097.6871,383570.5820,370002.3511,374503.3873,376120.1188,383346.3999,380130.6345,374717.6632,375296.9445,-288125642.0505,-288104641.0705,-288109113.9758,-288103771.6292,376005.1378,-288109345.9200,3483.7283,4138.0684,693.0491,-5374.0747,-2442.4388,-157376.7998,-145543.8840,-157764.2398,-156357.1832,-151172.1303,-151834.7158,-149367.4708,-153615.7166,-8406675.8671,-8418834.6067,-8385986.2842,-8405331.1000,-152214.3268,-8405919.9548,-3587.1203,4110.8599,-5356.8384,1187.9886,1764.0706,-20219.3695,-18344.6778,-17727.7281,-19778.6821,-13711.0081,-20047.0205,-29021.0399,-19073.5384,88389351.8028,88362869.3304,88363289.5698,88384398.2301,-19889.2759,88377053.6200,
3600.000,5997.3013,-1374.6426,-3231.0755,3640.8646,4842.9965,386750.2761,372983.3003,377527.9962,379111.1673,386511.0626,383085.0824,377939.4013,378327.5474,-287871119.0925,-287849847.1385,-287855165.3659,-287849354.2922,379158.4186,-287854815.8837,2235.9939,4251.0626,2737.5656,-5766.7289,-3640.9551,-148980.3703,-137428.1904,-149697.7426,-148145.0683,-143130.6553,-143851.2326,-141356.6770,-145731.9633,-14696163.2173,-14708533.7499,-14675799.1800,-14694142.6690,-144201.4175,-14695484.5414,-2407.7035,5043.0056,-5256.2459,-948.1288,3085.9604,-20127.6480,-18225.5420,-17559.7218,-19863.8571,-13558.0070,-19612.3487,-28937.8885,-19410.8996,88385364.2906,88359350.3981,88359089.8904,88380160.8500,-19764.5374,88373070.9853,
3900.000,6724.4116,788.4996,-2127.1444,2757.1683,3088.0410,389741.3748,375789.5866,380381.7529,381922.6590,389503.6250,385843.9249,380990.3927,381254.9554,-287479313.0825,-287457760.9059,-287463918.6454,-287457708.5499,382140.9159,-287462998.9944,785.7299,3964.5482,4510.1648,-5563.4082,-4495.4670,-140517.2467,-129255.3042,-141563.7405,-139848.4678,-135023.4186,-135814.0255,-133277.6076,-137668.0421,-20978543.5752,-20991113.3619,-20958525.8359,-20975859.4087,-136123.2074,-20977941.7250,-959.8420,5389.1895,-4548.8572,-2980.6536,4058.0906,-20035.6937,-18107.2418,-17395.9023,-19948.2670,-13408.0133,-19178.8188,-28850.2652,-19775.9417,88381371.1684,88355838.4633,88354893.9864,88375886.5855,-19639.7878,88369088.2992,
4200.000,6771.1238,2881.1688,-846.4024,1553.5891,1013.7368,392542.1713,378420.0237,383063.3943,384553.7713,392322.7462,388403.3356,383869.1502,384076.0009,-286950413.0183,-286928572.0132,-286935562.0301,-286929023.6915,384951.2778,-286934084.2709,-734.6768,3313.7067,5817.1035,-4802.9264,-4927.8973,-131991.7301,-121028.8216,-133365.9549,-131468.3235,-126854.1138,-127727.9709,-125133.8928,-129425.3299,-27250820.8246,-27263576.7510,-27231169.5694,-27247491.7992,-127983.3369,-27250295.2254,595.1271,5109.3198,-3315.7397,-4688.0555,4570.4430,-19943.4706,-17989.7251,-17236.3441,-20030.0203,-13261.0139,-18749.2297,-28758.1894,-20130.6002,88377372.4410,88352333.4675,88350701.9543,88371574.6698,-19515.0274,88365105.5618,
4500.000,6131.8997,4676.2592,487.8470,138.6535,-1165.7878,395151.0354,380873.5082,385571.7387,387004.2422,394967.1619,390759.4604,386574.2646,386782.5682,-286284673.2757,-286262535.5135,-286270349.1341,-286263553.7675,387588.2302,-286268326.1175,-2186.5586,2365.4690,6512.2009,-3580.5977,-4899.0140,-123408.1780,-112752.3730,-125108.1338,-123005.3407,-118626.4624,-119597.9353,-116929.1982,-121014.3523,-33510003.7138,-33522932.1126,-33490738.5328,-33506055.6406,-119785.4747,-33509553.6281,2083.6298,4235.7273,-1698.7593,-5885.3220,4565.0972,-19850.9383,-17872.9442,-17081.1133,-20106.5955,-13116.9971,-18327.3123,-28661.6786,-20438.7479,88373368.1155,88348835.3393,88346513.8922,88367224.6074,-19390.2560,88361122.7730,
4800.000,4871.7127,5977.2041,1750.6130,-1351.8312,-3225.4404,397566.4129,383149.0196,387905.6857,389274.5708,397435.6848,392908.5946,389104.4060,389362.7937,-285482413.4869,-285459971.7490,-285468598.8484,-285461617.3649,390050.5770,-285466044.2017,-3437.4916,1211.7751,6513.8144,-2035.7031,-4411.7199,-114771.0066,-104429.6201,-116794.0507,-114460.1106,-110344.2121,-111428.6685,-108667.2229,-112453.9166,-39753107.2818,-39766193.9576,-39734247.1406,-39748573.4304,-111533.3156,-39752731.8108,3339.4484,2869.5963,115.2088,-6443.6010,4042.6347,-19758.0515,-17756.8554,-16930.2681,-20174.6690,-12975.9524,-17917.9818,-28560.7489,-20668.8299,88369358.2018,88345343.9930,88342329.8995,88362836.2498,-19265.4739,88357139.9329,
5100.000,3119.2096,6639.9204,2826.6618,-2767.7888,-4952.4468,399786.8251,385245.6205,390064.2167,391366.2607,399727.2060,394847.5079,391458.3245,391802.4291,-284544018.3866,-284521266.1969,-284530695.1882,-284523597.3480,392337.2010,-284527623.3004,-4373.2223,-38.9949,5815.1922,-335.1848,-3510.7699,-106084.6913,-96064.2534,-108427.5019,-105833.3678,-102011.1353,-103224.6376,-100351.6975,-103769.7093,-45977154.2820,-45990384.5377,-45958717.4932,-45972075.7083,-103230.5792,-45976852.3671,4222.4653,1169.5675,1915.7662,-6303.2406,3062.0846,-19664.7587,-17641.4183,-16783.8582,-20229.9421,-12837.8704,-17527.5944,-28455.4141,-20795.8539,88365342.7120,88341859.3279,88338150.0769,88358409.8773,-19140.6810,88353157.0415,
5400.000,1053.1650,6589.4442,3620.8358,-3959.7088,-6168.4969,401810.8675,387162.4559,392046.3953,393282.0740,401840.6948,396573.9806,393634.8506,394086.1948,-283469937.6277,-283446869.2839,-283457087.1102,-283449940.5701,394447.0642,-283453513.1155,-4907.8256,-1271.8671,4486.3694,1344.3442,-2278.9340,-97353.7694,-87659.9896,-100012.3054,-97126.4568,-93631.0271,-94989.7886,-91986.3824,-94992.5664,-52179176.6016,-52192535.2679,-52161180.7973,-52173602.3594,-94881.0078,-52178947.0265,4634.2863,-666.5822,3493.7333,-5479.5484,1734.4116,-19571.0020,-17526.5956,-16641.9248,-20267.0220,-12702.7429,-17164.1215,-28345.6869,-20802.7217,88361321.6610,88338381.2278,88333974.5263,88353946.2879,-19015.8774,88349174.0988,
