sl_100_86400_20280902 Coordinates.csv
2028/09/02 07:47:00.0000 UTC

Generated: Tue Oct  8 21:44:04 2024,
Start: 2028/09/02 07:47:00.00, Stop: 2028/09/03 07:47:00.00,
TIME_UNITS,STARLINK-4521 - X-Coordinate,STARLINK-31004 - X-Coordinate,STARLINK-5607 - X-Coordinate,STARLINK-2013 - X-Coordinate,STARLINK-5446 - X-Coordinate,STARLINK-31552 - X-Coordinate,STARLINK-31717 - X-Coordinate,STARLINK-30411 - X-Coordinate,STARLINK-3078 - X-Coordinate,STARLINK-3700 - X-Coordinate,STARLINK-2260 - X-Coordinate,STARLINK-30947 - X-Coordinate,STARLINK-6209 - X-Coordinate,STARLINK-4501 - X-Coordinate,STARLINK-5125 - X-Coordinate,STARLINK-2098 - X-Coordinate,STARLINK-1573 - X-Coordinate,STARLINK-6127 - X-Coordinate,STARLINK-5652 - X-Coordinate,STARLINK-3851 - X-Coordinate,STARLINK-6239 - X-Coordinate,STARLINK-2065 - X-Coordinate,STARLINK-6098 - X-Coordinate,STARLINK-5944 - X-Coordinate,STARLINK-32094 - X-Coordinate,STARLINK-30473 - X-Coordinate,STARLINK-5244 - X-Coordinate,STARLINK-2161 - X-Coordinate,STARLINK-4538 - X-Coordinate,STARLINK-2414 - X-Coordinate,STARLINK-3230 - X-Coordinate,STARLINK-4278 - X-Coordinate,STARLINK-30531 - X-Coordinate,STARLINK-31949 - X-Coordinate,STARLINK-2326 - X-Coordinate,STARLINK-30502 - X-Coordinate,STARLINK-4172 - X-Coordinate,STARLINK-5067 - X-Coordinate,STARLINK-31458 - X-Coordinate,STARLINK-4284 - X-Coordinate,STARLINK-3365 - X-Coordinate,STARLINK-2189 - X-Coordinate,STARLINK-5203 - X-Coordinate,STARLINK-6207 - X-Coordinate,STARLINK-30269 - X-Coordinate,STARLINK-4268 - X-Coordinate,STARLINK-1670 - X-Coordinate,STARLINK-31827 - X-Coordinate,STARLINK-31607 - X-Coordinate,STARLINK-31625 - X-Coordinate,STARLINK-30243 - X-Coordinate,STARLINK-4784 - X-Coordinate,STARLINK-5524 - X-Coordinate,STARLINK-5839 - X-Coordinate,STARLINK-11109 [DTC] - X-Coordinate,STARLINK-6372 - X-Coordinate,STARLINK-1457 - X-Coordinate,STARLINK-31153 - X-Coordinate,STARLINK-3148 - X-Coordinate,STARLINK-31562 - X-Coordinate,STARLINK-2264 - X-Coordinate,STARLINK-1300 - X-Coordinate,STARLINK-6118 - X-Coordinate,STARLINK-1269 - X-Coordinate,STARLINK-4195 - X-Coordinate,STARLINK-2352 - X-Coordinate,STARLINK-1760 - X-Coordinate,STARLINK-6214 - X-Coordinate,STARLINK-32187 - X-Coordinate,STARLINK-1816 - X-Coordinate,STARLINK-6063 - X-Coordinate,STARLINK-1272 - X-Coordinate,STARLINK-30299 - X-Coordinate,STARLINK-4330 - X-Coordinate,STARLINK-11163 [DTC] - X-Coordinate,STARLINK-30295 - X-Coordinate,STARLINK-5376 - X-Coordinate,STARLINK-31606 - X-Coordinate,STARLINK-32020 - X-Coordinate,STARLINK-3261 - X-Coordinate,STARLINK-30336 - X-Coordinate,STARLINK-32360 - X-Coordinate,STARLINK-5164 - X-Coordinate,STARLINK-4670 - X-Coordinate,STARLINK-3909 - X-Coordinate,STARLINK-6137 - X-Coordinate,STARLINK-31996 - X-Coordinate,STARLINK-31172 - X-Coordinate,STARLINK-1829 - X-Coordinate,STARLINK-3530 - X-Coordinate,STARLINK-11169 [DTC] - X-Coordinate,STARLINK-1697 - X-Coordinate,STARLINK-2052 - X-Coordinate,STARLINK-30125 - X-Coordinate,STARLINK-30714 - X-Coordinate,STARLINK-31073 - X-Coordinate,STARLINK-6029 - X-Coordinate,STARLINK-3707 - X-Coordinate,STARLINK-30974 - X-Coordinate,STARLINK-5192 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-4521 - Y-Coordinate,STARLINK-31004 - Y-Coordinate,STARLINK-5607 - Y-Coordinate,STARLINK-2013 - Y-Coordinate,STARLINK-5446 - Y-Coordinate,STARLINK-31552 - Y-Coordinate,STARLINK-31717 - Y-Coordinate,STARLINK-30411 - Y-Coordinate,STARLINK-3078 - Y-Coordinate,STARLINK-3700 - Y-Coordinate,STARLINK-2260 - Y-Coordinate,STARLINK-30947 - Y-Coordinate,STARLINK-6209 - Y-Coordinate,STARLINK-4501 - Y-Coordinate,STARLINK-5125 - Y-Coordinate,STARLINK-2098 - Y-Coordinate,STARLINK-1573 - Y-Coordinate,STARLINK-6127 - Y-Coordinate,STARLINK-5652 - Y-Coordinate,STARLINK-3851 - Y-Coordinate,STARLINK-6239 - Y-Coordinate,STARLINK-2065 - Y-Coordinate,STARLINK-6098 - Y-Coordinate,STARLINK-5944 - Y-Coordinate,STARLINK-32094 - Y-Coordinate,STARLINK-30473 - Y-Coordinate,STARLINK-5244 - Y-Coordinate,STARLINK-2161 - Y-Coordinate,STARLINK-4538 - Y-Coordinate,STARLINK-2414 - Y-Coordinate,STARLINK-3230 - Y-Coordinate,STARLINK-4278 - Y-Coordinate,STARLINK-30531 - Y-Coordinate,STARLINK-31949 - Y-Coordinate,STARLINK-2326 - Y-Coordinate,STARLINK-30502 - Y-Coordinate,STARLINK-4172 - Y-Coordinate,STARLINK-5067 - Y-Coordinate,STARLINK-31458 - Y-Coordinate,STARLINK-4284 - Y-Coordinate,STARLINK-3365 - Y-Coordinate,STARLINK-2189 - Y-Coordinate,STARLINK-5203 - Y-Coordinate,STARLINK-6207 - Y-Coordinate,STARLINK-30269 - Y-Coordinate,STARLINK-4268 - Y-Coordinate,STARLINK-1670 - Y-Coordinate,STARLINK-31827 - Y-Coordinate,STARLINK-31607 - Y-Coordinate,STARLINK-31625 - Y-Coordinate,STARLINK-30243 - Y-Coordinate,STARLINK-4784 - Y-Coordinate,STARLINK-5524 - Y-Coordinate,STARLINK-5839 - Y-Coordinate,STARLINK-11109 [DTC] - Y-Coordinate,STARLINK-6372 - Y-Coordinate,STARLINK-1457 - Y-Coordinate,STARLINK-31153 - Y-Coordinate,STARLINK-3148 - Y-Coordinate,STARLINK-31562 - Y-Coordinate,STARLINK-2264 - Y-Coordinate,STARLINK-1300 - Y-Coordinate,STARLINK-6118 - Y-Coordinate,STARLINK-1269 - Y-Coordinate,STARLINK-4195 - Y-Coordinate,STARLINK-2352 - Y-Coordinate,STARLINK-1760 - Y-Coordinate,STARLINK-6214 - Y-Coordinate,STARLINK-32187 - Y-Coordinate,STARLINK-1816 - Y-Coordinate,STARLINK-6063 - Y-Coordinate,STARLINK-1272 - Y-Coordinate,STARLINK-30299 - Y-Coordinate,STARLINK-4330 - Y-Coordinate,STARLINK-11163 [DTC] - Y-Coordinate,STARLINK-30295 - Y-Coordinate,STARLINK-5376 - Y-Coordinate,STARLINK-31606 - Y-Coordinate,STARLINK-32020 - Y-Coordinate,STARLINK-3261 - Y-Coordinate,STARLINK-30336 - Y-Coordinate,STARLINK-32360 - Y-Coordinate,STARLINK-5164 - Y-Coordinate,STARLINK-4670 - Y-Coordinate,STARLINK-3909 - Y-Coordinate,STARLINK-6137 - Y-Coordinate,STARLINK-31996 - Y-Coordinate,STARLINK-31172 - Y-Coordinate,STARLINK-1829 - Y-Coordinate,STARLINK-3530 - Y-Coordinate,STARLINK-11169 [DTC] - Y-Coordinate,STARLINK-1697 - Y-Coordinate,STARLINK-2052 - Y-Coordinate,STARLINK-30125 - Y-Coordinate,STARLINK-30714 - Y-Coordinate,STARLINK-31073 - Y-Coordinate,STARLINK-6029 - Y-Coordinate,STARLINK-3707 - Y-Coordinate,STARLINK-30974 - Y-Coordinate,STARLINK-5192 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-4521 - Z-Coordinate,STARLINK-31004 - Z-Coordinate,STARLINK-5607 - Z-Coordinate,STARLINK-2013 - Z-Coordinate,STARLINK-5446 - Z-Coordinate,STARLINK-31552 - Z-Coordinate,STARLINK-31717 - Z-Coordinate,STARLINK-30411 - Z-Coordinate,STARLINK-3078 - Z-Coordinate,STARLINK-3700 - Z-Coordinate,STARLINK-2260 - Z-Coordinate,STARLINK-30947 - Z-Coordinate,STARLINK-6209 - Z-Coordinate,STARLINK-4501 - Z-Coordinate,STARLINK-5125 - Z-Coordinate,STARLINK-2098 - Z-Coordinate,STARLINK-1573 - Z-Coordinate,STARLINK-6127 - Z-Coordinate,STARLINK-5652 - Z-Coordinate,STARLINK-3851 - Z-Coordinate,STARLINK-6239 - Z-Coordinate,STARLINK-2065 - Z-Coordinate,STARLINK-6098 - Z-Coordinate,STARLINK-5944 - Z-Coordinate,STARLINK-32094 - Z-Coordinate,STARLINK-30473 - Z-Coordinate,STARLINK-5244 - Z-Coordinate,STARLINK-2161 - Z-Coordinate,STARLINK-4538 - Z-Coordinate,STARLINK-2414 - Z-Coordinate,STARLINK-3230 - Z-Coordinate,STARLINK-4278 - Z-Coordinate,STARLINK-30531 - Z-Coordinate,STARLINK-31949 - Z-Coordinate,STARLINK-2326 - Z-Coordinate,STARLINK-30502 - Z-Coordinate,STARLINK-4172 - Z-Coordinate,STARLINK-5067 - Z-Coordinate,STARLINK-31458 - Z-Coordinate,STARLINK-4284 - Z-Coordinate,STARLINK-3365 - Z-Coordinate,STARLINK-2189 - Z-Coordinate,STARLINK-5203 - Z-Coordinate,STARLINK-6207 - Z-Coordinate,STARLINK-30269 - Z-Coordinate,STARLINK-4268 - Z-Coordinate,STARLINK-1670 - Z-Coordinate,STARLINK-31827 - Z-Coordinate,STARLINK-31607 - Z-Coordinate,STARLINK-31625 - Z-Coordinate,STARLINK-30243 - Z-Coordinate,STARLINK-4784 - Z-Coordinate,STARLINK-5524 - Z-Coordinate,STARLINK-5839 - Z-Coordinate,STARLINK-11109 [DTC] - Z-Coordinate,STARLINK-6372 - Z-Coordinate,STARLINK-1457 - Z-Coordinate,STARLINK-31153 - Z-Coordinate,STARLINK-3148 - Z-Coordinate,STARLINK-31562 - Z-Coordinate,STARLINK-2264 - Z-Coordinate,STARLINK-1300 - Z-Coordinate,STARLINK-6118 - Z-Coordinate,STARLINK-1269 - Z-Coordinate,STARLINK-4195 - Z-Coordinate,STARLINK-2352 - Z-Coordinate,STARLINK-1760 - Z-Coordinate,STARLINK-6214 - Z-Coordinate,STARLINK-32187 - Z-Coordinate,STARLINK-1816 - Z-Coordinate,STARLINK-6063 - Z-Coordinate,STARLINK-1272 - Z-Coordinate,STARLINK-30299 - Z-Coordinate,STARLINK-4330 - Z-Coordinate,STARLINK-11163 [DTC] - Z-Coordinate,STARLINK-30295 - Z-Coordinate,STARLINK-5376 - Z-Coordinate,STARLINK-31606 - Z-Coordinate,STARLINK-32020 - Z-Coordinate,STARLINK-3261 - Z-Coordinate,STARLINK-30336 - Z-Coordinate,STARLINK-32360 - Z-Coordinate,STARLINK-5164 - Z-Coordinate,STARLINK-4670 - Z-Coordinate,STARLINK-3909 - Z-Coordinate,STARLINK-6137 - Z-Coordinate,STARLINK-31996 - Z-Coordinate,STARLINK-31172 - Z-Coordinate,STARLINK-1829 - Z-Coordinate,STARLINK-3530 - Z-Coordinate,STARLINK-11169 [DTC] - Z-Coordinate,STARLINK-1697 - Z-Coordinate,STARLINK-2052 - Z-Coordinate,STARLINK-30125 - Z-Coordinate,STARLINK-30714 - Z-Coordinate,STARLINK-31073 - Z-Coordinate,STARLINK-6029 - Z-Coordinate,STARLINK-3707 - Z-Coordinate,STARLINK-30974 - Z-Coordinate,STARLINK-5192 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4173.8713,4237.8959,-6026.5604,3380.5593,-361.7242,926.4553,3393.0404,-6144.3165,-2088.1013,-4357.0988,3684.5522,5357.1371,4948.9004,-6600.7156,6720.5476,-5883.5768,-2914.6903,3377.1505,5761.9638,-4821.5396,5526.8946,4014.8964,-76.9936,-1069.1486,-4336.5989,2720.8416,3945.9572,6603.0756,5061.9993,-3524.3182,-3586.1212,-1479.8482,-4326.4066,-3364.0577,-4767.9783,-3060.6929,-4979.8099,3843.9442,5398.5627,521.5440,157.4670,5876.5477,-3556.7176,5000.2172,600.0713,5239.3082,1768.2901,-5038.7311,-5642.4023,-2294.9368,-5393.4482,-4096.9144,1434.7266,-46.3411,-3217.3136,4432.1017,4140.6152,4023.0600,-2700.1481,-5271.8926,5230.0113,-3456.6750,-2788.8643,-247.1545,2291.3183,-6219.9478,4524.1865,-591.4326,0.0000,-4584.2526,781.9016,2242.5753,3954.9765,-4944.4040,3604.9525,-5827.8741,3392.3695,421.4760,-2338.1264,-3611.0158,-4800.7699,0.0000,-3188.3331,1802.2366,6728.6812,-5327.8354,3836.7887,0.0000,-3302.3687,4932.7393,4263.0556,-3209.4424,1329.3559,-4041.3426,3373.6903,5852.2964,-1161.9864,2301.3096,0.0000,-2938.2641,282558.9583,290372.6559,277379.6269,278706.8171,286792.2329,284825.1067,279845.1800,280912.5435,-281044802.9102,-281024782.7536,-281015790.2166,-281046826.1151,280167.5641,-281036675.8306,-4167.6351,5207.9007,-139.0609,-3550.0883,-6852.2646,-6603.2391,-2497.8357,3030.7230,6441.1695,224.0341,-2167.5447,-1952.1712,-2486.7446,2044.1222,1241.2431,-1504.9490,5413.1799,3994.4531,1495.3229,-4870.3256,3443.7120,2252.2767,6171.3985,-5342.2100,4062.4820,6251.9567,-1387.6072,529.0388,553.3920,-4070.1621,-3441.5707,-6102.0224,-3330.9831,-4607.2405,210.1984,4102.6599,-1817.1994,5615.4072,1557.4979,-4552.9016,-6864.4371,1364.5370,5611.7936,-3461.3239,5135.1233,-3421.1437,6168.3801,857.8724,-2056.1106,-4427.6513,592.3500,-1129.9384,3885.2771,-6843.6809,-3714.4834,-5266.6100,4189.0920,-3240.4378,-5707.3144,-1100.6899,2256.8810,-5892.1791,6314.0727,-4552.7404,-3437.1726,-1013.5791,-4426.6728,-5270.9066,0.0000,-4118.0705,-6421.9308,-3457.3385,-4437.1330,-3350.5101,5595.9247,-1835.1313,5502.3870,-6822.2638,-4002.1711,-3262.5370,1705.2441,0.0000,-6103.8121,4060.5199,1150.2077,1084.4610,-1429.1299,0.0000,3283.0058,-4647.0639,-1133.6759,4009.9674,3985.1831,-3229.2977,-3452.0161,-2560.0836,-6736.1539,3471.8831,0.0000,3351.9123,-287745.7832,-264098.9773,-285034.6371,-285297.6444,-282421.9800,-282036.1423,-276090.6788,-279319.6700,114302442.4941,114331072.2193,114329046.5519,114318211.4607,-279735.7257,114320762.0239,-3600.7780,1740.1919,3434.2178,4865.5520,-301.5223,1335.0903,5307.6311,980.3330,1567.7925,-5346.9381,-5393.1916,3936.2043,4160.7373,179.8077,1063.6883,-3303.3638,2382.0031,-4539.7756,3681.0446,-831.5230,-2388.1252,5062.6059,3137.0733,-4282.8611,-3347.7491,-1168.9651,5485.5858,2057.1102,-4657.4325,4299.7993,4746.3890,2862.4965,-4231.1441,3744.2126,4609.6460,4643.5807,4407.3516,1351.1887,-3788.1438,5152.6611,-809.1078,-3337.5405,-1905.2949,3322.9125,4598.5923,-2890.5244,2495.9095,-4528.9046,-3210.3266,-4633.5221,-4295.5191,-5447.8737,-5588.8790,-1021.9356,4560.5509,-791.6686,-3584.0269,4400.9317,2789.3504,4176.9736,3875.8310,1061.3915,-423.8108,5166.6064,5520.8442,2769.2847,2646.1548,4036.1147,0.0000,-3098.0665,-2535.2372,5387.8127,3554.7752,3519.9652,-604.9385,3059.9411,2422.4892,-326.6619,4942.4702,-4907.9023,-4705.1233,0.0000,-388.3976,5244.4309,875.9462,4282.9997,-5354.6409,0.0000,4987.2290,1180.2764,-5112.8334,4585.3137,-5506.9897,4586.9788,-4843.1474,2617.4347,1149.6182,-5524.3033,0.0000,-5282.4124,-82454.5625,-82052.8479,-80634.7765,-79667.5876,-76353.3874,-85403.4898,-90351.1268,-83623.3698,118592198.8380,118563806.8425,118607105.6465,118590358.1165,-82005.1860,118596164.4369,
3600.000,-3348.6930,-5001.7761,6781.4897,937.2350,2110.6416,2374.7492,-1517.0216,4417.3502,606.1149,2712.1078,-2391.1170,-4894.0642,-4073.3654,4741.2022,-6113.9110,3786.1909,-1937.3332,-5573.1578,-4723.4402,5195.2526,-6655.9834,-4164.7527,-3125.9955,4446.7826,2411.8713,-4273.9951,-1873.8167,-6506.8002,-6573.4443,4230.5901,4332.7426,3262.4401,6688.7020,6113.6170,5514.3399,140.4162,3559.2704,-3498.1434,-4108.4451,3689.2830,1693.2404,-3651.4380,2019.9264,-3876.2803,-4196.7311,-4476.6047,-3346.7919,5698.2464,3609.3723,5939.2888,5516.7942,5775.0965,-2765.4048,2495.1399,6262.7589,-2138.8399,-6005.8073,-1677.5407,3748.5065,6343.0257,-6850.2793,4026.8298,3.9782,3522.0308,1189.0495,3813.9645,-3310.3232,1528.0896,0.0000,6054.1276,563.3862,2162.6209,-2284.1073,530.9819,-4192.2260,6661.3265,-4728.2445,2290.3483,5815.8021,6432.3624,2852.4242,0.0000,3919.4100,-5369.9658,-4956.0754,5197.8742,-2484.7930,0.0000,1856.6798,-3138.2145,-893.8268,2005.6845,-5150.4931,5655.2027,1334.5911,-2378.8333,1185.3583,-5777.2267,0.0000,1121.1685,346137.4320,348574.2074,337919.1792,339931.6817,348800.5624,345520.7107,342096.2903,341023.4933,-301047551.5050,-301032642.1194,-301021709.3839,-301049277.8066,341840.8174,-301040320.1804,6009.3332,-2022.2200,-11.7474,4418.2628,4888.2013,4674.9167,6201.4326,-4618.0124,-4088.3963,-4359.2519,5824.4167,4834.1185,5458.6845,-3172.4570,422.6868,-1809.8191,-3464.0140,-487.0876,2002.8449,2953.9946,-1471.4845,2470.7726,-3994.7415,2958.1405,-6361.1071,-3544.6157,5137.8926,952.6577,1864.2516,-248.3687,-1061.9770,2779.3656,1049.4349,3033.2119,-3702.5725,-6403.7380,-2329.9478,-4818.3178,3140.5882,3071.1985,4929.1363,2007.0354,-6117.4918,5749.8447,-4947.3025,5002.1167,-2828.2828,-3730.1032,-1909.1928,2035.5663,-3881.1770,-2315.6616,501.7566,5028.4189,2412.1704,5958.8078,-3305.1933,6403.6131,2130.3586,-2292.9503,-740.5996,3117.4341,-5836.9783,5547.0977,5673.7451,-1966.3516,5707.9754,6184.6059,0.0000,3033.3752,3389.0272,5248.6419,6539.5476,1785.3631,-1899.5096,82.5734,-2028.5992,5211.0756,3286.2134,2047.7607,-5182.0293,0.0000,3674.7389,-3666.2063,1123.1161,-4311.5339,5746.2581,0.0000,-6411.4767,5202.1455,5072.0660,-6540.0141,-3127.1167,-572.9228,4416.9503,3670.4758,5703.3041,-1507.4395,0.0000,-6384.0303,-204085.7223,-182416.0182,-204610.4011,-203938.9403,-202945.5000,-202008.4949,-197339.0289,-201082.4446,37597538.8867,37626061.5650,37632433.1145,37607138.3111,-200409.8594,37616625.0333,-636.4311,-4365.8454,1490.0936,-5241.5571,4327.2473,-4338.8451,-2301.8714,2653.1498,-5590.7496,4593.8649,2758.7754,-880.8544,-1303.6070,3891.9305,3195.8382,5478.6228,-5273.8245,4068.3862,-4767.8292,-3462.3386,-1272.1144,-4851.3006,-4721.6315,4402.4248,-464.3371,4115.3486,-4224.0771,2206.0404,935.4954,-5447.5878,-5243.7001,-5420.3742,1344.0270,-223.7233,-6.5630,-2618.6546,-5438.7920,3562.5300,4364.7528,-4967.2849,4529.6688,5478.2544,-2508.0755,78.6451,-2430.2479,-1564.5868,-5321.3931,450.2578,5437.3616,2612.2692,1523.0527,2985.1263,6351.7334,4036.4167,-127.0129,-2816.8459,-711.7084,-1529.1418,-5401.8649,-1024.6161,255.6848,-4683.7918,3699.0261,-2110.6743,-3755.1112,-5393.1426,1883.8635,1992.2770,0.0000,-1301.8030,6030.4620,-3734.3047,-246.9560,-6682.5628,4836.0411,1535.4303,-4611.5131,3782.2606,-1179.7129,1459.4441,3604.8925,0.0000,4312.8499,-2257.1905,-4650.1236,-1550.2234,2479.3095,0.0000,-1458.5865,3219.0857,4350.0844,-848.1878,3395.8957,-3951.7321,5031.1102,-5351.7675,3757.5572,3477.3762,0.0000,2380.4868,-81454.6298,-80972.1867,-78494.0292,-80669.7649,-74444.3467,-80618.4238,-89830.8737,-79257.3265,118558171.9014,118527220.3493,118566760.1724,118557035.7510,-80663.1950,118559070.5236,
7200.000,862.0483,4984.8190,-4096.1202,-4374.0738,-4164.1590,-5435.7115,-504.6371,-723.3927,2688.1431,-1228.1934,828.8791,2737.4289,1934.7988,-684.6912,3116.7365,-1352.8631,6128.5865,6376.7637,3272.3729,-4048.6623,5391.0836,3686.8818,5914.2265,-6666.4904,813.0631,5231.6476,179.4350,3739.8848,5142.5609,-4611.5028,-4567.8523,-5095.2919,-6346.9461,-5877.8220,-1978.0887,2237.3717,-2096.0195,2502.8149,1811.2998,-6510.2322,-4094.2272,1085.1920,1033.5721,1248.5217,5906.1869,1317.2701,4917.1472,-3362.3065,-1096.6423,-6619.5944,-3779.1918,-5454.4182,4722.1391,-4942.7314,-5004.2717,-1441.8948,5153.8181,-1139.9744,-4718.4988,-4401.5678,5294.1368,-4196.0740,3507.7068,-4742.2794,-3274.0255,-756.0024,-18.0212,-2013.1574,0.0000,-4912.9572,-3442.4746,-4557.6395,-221.2957,2528.9085,3452.2788,-4059.7739,5335.0485,-4911.4193,-5697.4385,-6258.5032,-745.0357,0.0000,-4165.3452,6131.4550,1543.6594,-3372.1611,390.8612,0.0000,139.6320,-775.1129,-1718.0304,-91.2518,6594.4145,-5872.8860,-4812.6629,-1904.3960,-1922.5364,6873.9894,0.0000,450.1027,383595.2113,384256.9866,376684.7449,380028.8855,388758.4367,380683.3340,382646.5091,382424.1023,-300497809.7496,-300486990.8578,-300478367.2856,-300495095.9490,381599.9012,-300491730.1585,-5212.9198,-2062.0629,690.9576,-4828.8476,-838.5545,-1041.6442,-6257.8543,5072.7276,869.0457,6730.2965,-6607.1875,-5759.4883,-6225.3856,4089.5827,-2844.2344,5313.9519,313.6370,-2466.1281,-5208.9775,907.6517,-1333.7225,-5651.8297,1194.0191,-450.5291,5522.0144,-520.8557,-6900.6644,-2716.9259,-3118.6739,4127.4744,4647.6650,1204.5131,1282.1459,-13.8059,4343.4525,6459.4662,5875.5660,1034.4023,-6381.5336,-1667.6961,-1299.3965,-5475.9631,4293.4492,-5886.3549,3393.8071,-4585.4119,-1384.8199,4437.6913,5737.9990,647.0314,5362.3658,4005.8538,-3740.9765,-1671.4249,525.7660,-4891.5606,707.6101,-6184.4430,2151.5615,4321.9427,-1227.7675,1246.0057,3714.1848,-4433.4062,-6063.1271,5213.7451,-4559.5164,-1733.5636,0.0000,-225.5667,307.9019,-4954.7219,-6130.2813,2756.6569,-3583.5963,2226.0185,-2111.1793,-1534.7545,-965.8180,-374.2798,6884.8623,0.0000,699.4887,2151.6632,-4096.9468,5656.7899,-6224.9988,0.0000,6050.9235,-4088.6134,-6525.3832,5954.9196,1946.0528,3559.5688,-4598.8601,-4721.7095,-1730.6802,-62.0079,0.0000,6590.3604,-106562.9103,-88598.3120,-110836.6278,-106837.4505,-110268.6340,-108620.9218,-105173.3866,-106997.3066,-41665927.8117,-41639376.6740,-41624659.8316,-41659483.4985,-108030.4740,-41646550.9798,4438.6204,4352.9754,-5565.7619,2304.4888,-5401.5368,3944.9300,-2575.5963,-4659.1784,6341.1187,-879.7292,1710.8838,-2726.3243,-2362.7445,-5536.0897,-5487.1434,-4211.0250,2410.7022,-1094.0819,3329.9247,5506.2863,4142.9358,1170.2051,3393.2798,-1835.5315,3903.8517,-4499.9115,245.5988,-5181.6626,3365.5442,3033.7060,2198.5385,4492.2709,2388.1967,-3485.4952,-4624.5211,-1063.8077,2941.7519,-6393.4095,-1375.2046,1574.9631,-5421.3127,-4047.2403,5303.9797,-3450.9290,-1252.9773,4960.8591,4610.6364,3939.7360,-3499.8588,1422.8328,2185.8777,1359.1433,-3481.3957,-4549.2847,-4446.2506,4679.7308,4508.9429,-2573.5438,4552.3408,-2917.8680,-4250.6086,5341.6280,-4665.7667,-2341.9177,-445.1292,4425.9491,-5136.7557,-6123.4254,0.0000,4820.5993,-6030.9592,-900.3804,-3229.6133,5831.7863,-4466.9192,-5035.8932,3834.1202,-4515.2968,-3555.9989,2888.2435,-328.0861,0.0000,-5457.0344,-2271.9465,5302.0357,-2152.8833,2537.2836,0.0000,-3172.9490,-5485.0703,109.3626,-3475.3617,788.5239,839.7581,-1557.3336,4657.9691,-6436.5603,726.4341,0.0000,2008.3986,-80046.8840,-79882.4473,-76928.2706,-80844.3354,-72967.9153,-77069.4306,-88657.2052,-80579.6948,118524180.2648,118491058.1594,118526136.4270,118524212.1785,-79314.8617,118521953.7137,
