sl_100_5400_20280617 Coordinates.csv
2028/06/17 07:47:00.0000 UTC

Generated: Tue Oct  8 21:40:35 2024,
Start: 2028/06/17 07:47:00.00, Stop: 2028/06/17 09:17:00.00,
TIME_UNITS,STARLINK-2082 - X-Coordinate,STARLINK-4799 - X-Coordinate,STARLINK-30911 - X-Coordinate,STARLINK-6046 - X-Coordinate,STARLINK-3114 - X-Coordinate,STARLINK-31789 - X-Coordinate,STARLINK-11072 [DTC] - X-Coordinate,STARLINK-2660 - X-Coordinate,STARLINK-31061 - X-Coordinate,STARLINK-6110 - X-Coordinate,STARLINK-30284 - X-Coordinate,STARLINK-1366 - X-Coordinate,STARLINK-30346 - X-Coordinate,STARLINK-4022 - X-Coordinate,STARLINK-4538 - X-Coordinate,STARLINK-4809 - X-Coordinate,STARLINK-1999 - X-Coordinate,STARLINK-3556 - X-Coordinate,STARLINK-3177 - X-Coordinate,STARLINK-3845 - X-Coordinate,STARLINK-31473 - X-Coordinate,STARLINK-30214 - X-Coordinate,STARLINK-4574 - X-Coordinate,STARLINK-11200 [DTC] - X-Coordinate,STARLINK-2709 - X-Coordinate,STARLINK-5018 - X-Coordinate,STARLINK-3918 - X-Coordinate,STARLINK-3614 - X-Coordinate,STARLINK-30894 - X-Coordinate,STARLINK-5064 - X-Coordinate,STARLINK-5581 - X-Coordinate,STARLINK-31220 - X-Coordinate,STARLINK-31429 - X-Coordinate,STARLINK-30121 - X-Coordinate,STARLINK-32196 - X-Coordinate,STARLINK-6212 - X-Coordinate,STARLINK-5513 - X-Coordinate,STARLINK-1795 - X-Coordinate,STARLINK-2535 - X-Coordinate,STARLINK-4522 - X-Coordinate,STARLINK-3881 - X-Coordinate,STARLINK-2738 - X-Coordinate,STARLINK-4298 - X-Coordinate,STARLINK-3699 - X-Coordinate,STARLINK-5318 - X-Coordinate,STARLINK-2295 - X-Coordinate,STARLINK-4281 - X-Coordinate,STARLINK-31104 - X-Coordinate,STARLINK-3369 - X-Coordinate,STARLINK-4493 - X-Coordinate,STARLINK-1567 - X-Coordinate,STARLINK-4299 - X-Coordinate,STARLINK-5462 - X-Coordinate,STARLINK-31747 - X-Coordinate,STARLINK-1364 - X-Coordinate,STARLINK-5757 - X-Coordinate,STARLINK-3081 - X-Coordinate,STARLINK-30537 - X-Coordinate,STARLINK-5375 - X-Coordinate,STARLINK-31636 - X-Coordinate,STARLINK-31934 - X-Coordinate,STARLINK-3626 - X-Coordinate,STARLINK-32142 - X-Coordinate,STARLINK-5455 - X-Coordinate,STARLINK-5498 - X-Coordinate,STARLINK-2045 - X-Coordinate,STARLINK-30907 - X-Coordinate,STARLINK-4086 - X-Coordinate,STARLINK-5023 - X-Coordinate,STARLINK-4093 - X-Coordinate,STARLINK-2182 - X-Coordinate,STARLINK-2479 - X-Coordinate,STARLINK-1328 - X-Coordinate,STARLINK-1103 - X-Coordinate,STARLINK-2402 - X-Coordinate,STARLINK-1963 - X-Coordinate,STARLINK-31680 - X-Coordinate,STARLINK-5960 - X-Coordinate,STARLINK-3694 - X-Coordinate,STARLINK-30544 - X-Coordinate,STARLINK-30788 - X-Coordinate,STARLINK-1752 - X-Coordinate,STARLINK-4363 - X-Coordinate,STARLINK-3449 - X-Coordinate,STARLINK-5261 - X-Coordinate,STARLINK-6030 - X-Coordinate,STARLINK-5412 - X-Coordinate,STARLINK-30178 - X-Coordinate,STARLINK-31735 - X-Coordinate,STARLINK-4725 - X-Coordinate,STARLINK-1591 - X-Coordinate,STARLINK-6077 - X-Coordinate,STARLINK-3582 - X-Coordinate,STARLINK-31959 - X-Coordinate,STARLINK-2733 - X-Coordinate,STARLINK-30276 - X-Coordinate,STARLINK-30466 - X-Coordinate,STARLINK-3738 - X-Coordinate,STARLINK-5519 - X-Coordinate,STARLINK-31869 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-2082 - Y-Coordinate,STARLINK-4799 - Y-Coordinate,STARLINK-30911 - Y-Coordinate,STARLINK-6046 - Y-Coordinate,STARLINK-3114 - Y-Coordinate,STARLINK-31789 - Y-Coordinate,STARLINK-11072 [DTC] - Y-Coordinate,STARLINK-2660 - Y-Coordinate,STARLINK-31061 - Y-Coordinate,STARLINK-6110 - Y-Coordinate,STARLINK-30284 - Y-Coordinate,STARLINK-1366 - Y-Coordinate,STARLINK-30346 - Y-Coordinate,STARLINK-4022 - Y-Coordinate,STARLINK-4538 - Y-Coordinate,STARLINK-4809 - Y-Coordinate,STARLINK-1999 - Y-Coordinate,STARLINK-3556 - Y-Coordinate,STARLINK-3177 - Y-Coordinate,STARLINK-3845 - Y-Coordinate,STARLINK-31473 - Y-Coordinate,STARLINK-30214 - Y-Coordinate,STARLINK-4574 - Y-Coordinate,STARLINK-11200 [DTC] - Y-Coordinate,STARLINK-2709 - Y-Coordinate,STARLINK-5018 - Y-Coordinate,STARLINK-3918 - Y-Coordinate,STARLINK-3614 - Y-Coordinate,STARLINK-30894 - Y-Coordinate,STARLINK-5064 - Y-Coordinate,STARLINK-5581 - Y-Coordinate,STARLINK-31220 - Y-Coordinate,STARLINK-31429 - Y-Coordinate,STARLINK-30121 - Y-Coordinate,STARLINK-32196 - Y-Coordinate,STARLINK-6212 - Y-Coordinate,STARLINK-5513 - Y-Coordinate,STARLINK-1795 - Y-Coordinate,STARLINK-2535 - Y-Coordinate,STARLINK-4522 - Y-Coordinate,STARLINK-3881 - Y-Coordinate,STARLINK-2738 - Y-Coordinate,STARLINK-4298 - Y-Coordinate,STARLINK-3699 - Y-Coordinate,STARLINK-5318 - Y-Coordinate,STARLINK-2295 - Y-Coordinate,STARLINK-4281 - Y-Coordinate,STARLINK-31104 - Y-Coordinate,STARLINK-3369 - Y-Coordinate,STARLINK-4493 - Y-Coordinate,STARLINK-1567 - Y-Coordinate,STARLINK-4299 - Y-Coordinate,STARLINK-5462 - Y-Coordinate,STARLINK-31747 - Y-Coordinate,STARLINK-1364 - Y-Coordinate,STARLINK-5757 - Y-Coordinate,STARLINK-3081 - Y-Coordinate,STARLINK-30537 - Y-Coordinate,STARLINK-5375 - Y-Coordinate,STARLINK-31636 - Y-Coordinate,STARLINK-31934 - Y-Coordinate,STARLINK-3626 - Y-Coordinate,STARLINK-32142 - Y-Coordinate,STARLINK-5455 - Y-Coordinate,STARLINK-5498 - Y-Coordinate,STARLINK-2045 - Y-Coordinate,STARLINK-30907 - Y-Coordinate,STARLINK-4086 - Y-Coordinate,STARLINK-5023 - Y-Coordinate,STARLINK-4093 - Y-Coordinate,STARLINK-2182 - Y-Coordinate,STARLINK-2479 - Y-Coordinate,STARLINK-1328 - Y-Coordinate,STARLINK-1103 - Y-Coordinate,STARLINK-2402 - Y-Coordinate,STARLINK-1963 - Y-Coordinate,STARLINK-31680 - Y-Coordinate,STARLINK-5960 - Y-Coordinate,STARLINK-3694 - Y-Coordinate,STARLINK-30544 - Y-Coordinate,STARLINK-30788 - Y-Coordinate,STARLINK-1752 - Y-Coordinate,STARLINK-4363 - Y-Coordinate,STARLINK-3449 - Y-Coordinate,STARLINK-5261 - Y-Coordinate,STARLINK-6030 - Y-Coordinate,STARLINK-5412 - Y-Coordinate,STARLINK-30178 - Y-Coordinate,STARLINK-31735 - Y-Coordinate,STARLINK-4725 - Y-Coordinate,STARLINK-1591 - Y-Coordinate,STARLINK-6077 - Y-Coordinate,STARLINK-3582 - Y-Coordinate,STARLINK-31959 - Y-Coordinate,STARLINK-2733 - Y-Coordinate,STARLINK-30276 - Y-Coordinate,STARLINK-30466 - Y-Coordinate,STARLINK-3738 - Y-Coordinate,STARLINK-5519 - Y-Coordinate,STARLINK-31869 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-2082 - Z-Coordinate,STARLINK-4799 - Z-Coordinate,STARLINK-30911 - Z-Coordinate,STARLINK-6046 - Z-Coordinate,STARLINK-3114 - Z-Coordinate,STARLINK-31789 - Z-Coordinate,STARLINK-11072 [DTC] - Z-Coordinate,STARLINK-2660 - Z-Coordinate,STARLINK-31061 - Z-Coordinate,STARLINK-6110 - Z-Coordinate,STARLINK-30284 - Z-Coordinate,STARLINK-1366 - Z-Coordinate,STARLINK-30346 - Z-Coordinate,STARLINK-4022 - Z-Coordinate,STARLINK-4538 - Z-Coordinate,STARLINK-4809 - Z-Coordinate,STARLINK-1999 - Z-Coordinate,STARLINK-3556 - Z-Coordinate,STARLINK-3177 - Z-Coordinate,STARLINK-3845 - Z-Coordinate,STARLINK-31473 - Z-Coordinate,STARLINK-30214 - Z-Coordinate,STARLINK-4574 - Z-Coordinate,STARLINK-11200 [DTC] - Z-Coordinate,STARLINK-2709 - Z-Coordinate,STARLINK-5018 - Z-Coordinate,STARLINK-3918 - Z-Coordinate,STARLINK-3614 - Z-Coordinate,STARLINK-30894 - Z-Coordinate,STARLINK-5064 - Z-Coordinate,STARLINK-5581 - Z-Coordinate,STARLINK-31220 - Z-Coordinate,STARLINK-31429 - Z-Coordinate,STARLINK-30121 - Z-Coordinate,STARLINK-32196 - Z-Coordinate,STARLINK-6212 - Z-Coordinate,STARLINK-5513 - Z-Coordinate,STARLINK-1795 - Z-Coordinate,STARLINK-2535 - Z-Coordinate,STARLINK-4522 - Z-Coordinate,STARLINK-3881 - Z-Coordinate,STARLINK-2738 - Z-Coordinate,STARLINK-4298 - Z-Coordinate,STARLINK-3699 - Z-Coordinate,STARLINK-5318 - Z-Coordinate,STARLINK-2295 - Z-Coordinate,STARLINK-4281 - Z-Coordinate,STARLINK-31104 - Z-Coordinate,STARLINK-3369 - Z-Coordinate,STARLINK-4493 - Z-Coordinate,STARLINK-1567 - Z-Coordinate,STARLINK-4299 - Z-Coordinate,STARLINK-5462 - Z-Coordinate,STARLINK-31747 - Z-Coordinate,STARLINK-1364 - Z-Coordinate,STARLINK-5757 - Z-Coordinate,STARLINK-3081 - Z-Coordinate,STARLINK-30537 - Z-Coordinate,STARLINK-5375 - Z-Coordinate,STARLINK-31636 - Z-Coordinate,STARLINK-31934 - Z-Coordinate,STARLINK-3626 - Z-Coordinate,STARLINK-32142 - Z-Coordinate,STARLINK-5455 - Z-Coordinate,STARLINK-5498 - Z-Coordinate,STARLINK-2045 - Z-Coordinate,STARLINK-30907 - Z-Coordinate,STARLINK-4086 - Z-Coordinate,STARLINK-5023 - Z-Coordinate,STARLINK-4093 - Z-Coordinate,STARLINK-2182 - Z-Coordinate,STARLINK-2479 - Z-Coordinate,STARLINK-1328 - Z-Coordinate,STARLINK-1103 - Z-Coordinate,STARLINK-2402 - Z-Coordinate,STARLINK-1963 - Z-Coordinate,STARLINK-31680 - Z-Coordinate,STARLINK-5960 - Z-Coordinate,STARLINK-3694 - Z-Coordinate,STARLINK-30544 - Z-Coordinate,STARLINK-30788 - Z-Coordinate,STARLINK-1752 - Z-Coordinate,STARLINK-4363 - Z-Coordinate,STARLINK-3449 - Z-Coordinate,STARLINK-5261 - Z-Coordinate,STARLINK-6030 - Z-Coordinate,STARLINK-5412 - Z-Coordinate,STARLINK-30178 - Z-Coordinate,STARLINK-31735 - Z-Coordinate,STARLINK-4725 - Z-Coordinate,STARLINK-1591 - Z-Coordinate,STARLINK-6077 - Z-Coordinate,STARLINK-3582 - Z-Coordinate,STARLINK-31959 - Z-Coordinate,STARLINK-2733 - Z-Coordinate,STARLINK-30276 - Z-Coordinate,STARLINK-30466 - Z-Coordinate,STARLINK-3738 - Z-Coordinate,STARLINK-5519 - Z-Coordinate,STARLINK-31869 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4978.8444,-746.5106,-2009.0088,6338.9710,-1113.1570,-3168.0728,-3645.6924,-3984.2928,-2657.2210,-6465.6422,3420.3807,-6177.7722,4891.4963,-1436.1884,-3121.9964,-36.1625,-3740.7609,816.9960,5497.4290,-4929.2141,1455.2585,-3569.4269,-3191.1340,-4452.9423,6045.6128,1773.4715,4813.6231,3122.8800,0.0000,1344.4753,-5551.1783,6314.6693,0.0000,-5113.4688,2572.1864,-671.8468,-1852.6052,4121.7268,-1890.1831,-3809.6190,4822.9373,-901.5210,4526.7697,-5957.5189,3980.2725,-3945.0389,647.6623,2946.3396,1929.5568,2845.7780,2335.4696,-6047.1200,-2057.9178,3182.4330,5513.8301,5169.5291,-2656.4347,4904.5995,1045.7463,-4461.6339,3989.3036,1114.5671,368.9125,-6358.3927,-3258.6458,3680.2115,-5093.0263,2679.0175,-202.8816,-5283.8743,3988.0754,-5234.1740,4089.4668,2191.1648,-4896.9592,1187.4665,-3626.3670,-6092.7426,-420.3324,-4324.2875,2012.2412,6323.0603,3625.0108,-4875.6979,3330.8323,-3338.2635,-5852.8102,6300.9477,4472.4843,3787.5781,-5708.3665,-5325.3633,-3357.3243,0.0000,2343.2410,6500.8210,5491.3815,4016.7099,-1736.7794,-1157.4658,-383966.5324,-368135.0155,-392091.7170,-391927.4268,-387019.6778,-387302.1387,-382674.0795,-385624.7686,-247113029.1462,-247056789.6957,-247083439.0121,-247104763.4748,-386132.6592,-247094140.8702,-4740.1343,-5987.0077,6555.2409,-2526.9188,6833.0967,-3782.2770,-1706.6803,2186.2324,6200.8385,2008.6467,4727.6955,-1439.6328,-4818.9188,-5318.4241,-5603.6018,6257.1128,5629.9099,4062.3509,3832.2806,-4811.7982,6492.7573,5636.4243,4380.9567,-3705.7755,245.1293,5982.0688,-4911.5568,5141.3470,0.0000,5635.3983,-477.6480,-1768.7299,0.0000,-2108.4572,5436.6867,5140.8520,4727.9355,1053.4057,3828.1020,2665.1128,-3511.2369,-4995.7544,4614.3530,2221.8452,-5102.2676,2977.3746,6452.1290,-4303.4249,6357.8381,-5916.8839,-3238.3599,1650.2344,3277.6924,-5968.5753,-3689.6684,3536.0205,214.8404,-3812.6202,-6798.7518,-2439.1851,-5357.7871,-4041.4336,-6687.4959,2797.2728,2155.2271,-3666.0151,-1908.9574,-5309.4723,6707.3947,1814.1044,1201.2610,2692.8964,-3053.7578,5101.2693,4267.4696,4960.4301,5753.2502,-1914.0179,4695.8753,-4504.2796,6233.8837,295.8289,-1199.9886,-4357.2465,-1449.8273,4204.7786,3604.5869,-2765.4828,-2350.7590,-4018.6176,-2883.7560,1604.6830,-3099.7954,0.0000,-3962.2057,-1033.8126,-2187.1803,1254.1124,4768.8517,4351.7516,-40532.9024,-47217.4930,-39837.6306,-40730.2435,-47784.8972,-45812.2441,-39476.0905,-42286.5073,223407388.4745,223399822.9359,223392211.5780,223410659.5219,-40743.1175,223409526.4824,-558.9561,3363.9492,-215.0894,1314.5918,-77.4435,4595.2302,-5369.1178,5047.9792,1470.0668,-1448.0536,3695.9556,-2352.6813,-869.7290,-4136.2386,2530.8529,2807.3308,-1447.5283,-5535.4190,1685.2749,396.9169,1182.5718,1912.1369,-4295.5613,3404.6159,-3124.1115,-2940.8477,380.7135,-3366.5765,0.0000,-3819.1053,4226.9859,-2026.9420,0.0000,-4170.5924,3390.5672,4582.3621,-4731.1158,5449.8527,-5314.1919,5047.2609,3371.4570,4333.5086,2426.9431,2706.4543,2513.3624,-4733.8747,-2352.8198,-4398.5728,1814.4705,-2141.8418,5289.2789,2905.8698,-5776.0193,996.9913,-1835.0262,2967.1068,6416.7605,3047.2181,-824.2008,-4576.7448,1242.3962,5452.0370,-1438.1537,197.9024,5738.8732,4542.1025,-4286.7289,3496.0906,-1475.9903,4043.7631,5521.9116,3616.8241,-4663.8011,3945.2024,2315.0714,-4603.3214,-523.9333,2669.8516,-5047.8193,3003.6921,-1974.7805,-2771.7976,5781.7019,2223.7671,5907.4145,4376.7563,-595.5070,818.5184,4640.3950,4147.1173,-2695.0492,4136.9166,5165.8246,0.0000,-5148.5451,-2150.4745,3585.5978,-5452.1118,-4723.4551,5120.1737,88019.3982,88059.9342,89358.1862,90765.1404,93798.1955,84539.2530,79903.7608,89004.8628,131301963.8137,131323326.0509,131322622.1484,131317063.1579,88175.4772,131309449.9692,
300.000,4002.1040,-2189.9984,-771.8680,6154.9686,118.4028,-4650.4149,-4400.6363,-3520.0526,-1247.5115,-5401.1512,5073.6806,-5568.8625,3733.8064,-2663.0753,-3815.4001,1328.6958,-2316.1965,2880.2795,5586.3194,-5446.4915,2935.7159,-1857.3841,-2294.1509,-4525.7508,6552.5187,3170.8349,3640.6447,4574.3703,0.0000,2285.8230,-4940.0241,5163.5342,0.0000,-6110.6382,3401.5909,1465.2632,195.2734,4826.1995,278.5310,-3195.3640,3085.7795,-2659.0662,5645.1525,-5828.9923,3715.9553,-3392.0656,1854.8028,875.7293,2906.6564,1801.2746,514.2143,-4707.9369,-68.8208,1569.6650,4929.3675,5414.1073,-1473.9516,3172.4047,-459.9667,-5496.6474,2720.3210,-879.4414,-914.9306,-5842.8226,-3646.5762,1679.4125,-5085.6191,885.3611,1022.9227,-3686.4507,4530.1265,-3567.0380,3587.3077,3171.6241,-3353.3279,2980.5083,-2337.2235,-6793.3429,1549.0442,-5719.4174,2975.0198,6750.2737,1883.8807,-5897.1031,3964.4751,-1921.3709,-4796.8813,5558.3884,2669.2511,3097.2068,-6607.9067,-5057.6718,-5033.2579,0.0000,964.7332,6377.8774,5135.5604,4802.2573,317.0998,584.7742,-382982.9669,-366993.3285,-391067.6873,-390843.4642,-386020.7661,-386273.4672,-381737.2937,-384744.9200,-251929917.4623,-251873225.9871,-251899627.0315,-251921374.7452,-385145.8427,-251910953.7357,-5473.3786,-6313.2117,6625.0049,-3128.3380,6703.8953,-2187.2668,348.7157,4116.9500,6792.5219,3288.4830,3935.4909,67.1739,-5786.2287,-3791.8680,-4130.7726,5255.2406,5731.7039,3421.8321,2368.1721,-3636.8488,6077.5676,5866.8309,5826.4780,-1848.1105,-1116.4364,5992.7395,-5433.8426,4845.3164,0.0000,6264.4217,1523.0312,-3098.7338,0.0000,-442.8758,3836.5946,4863.2531,5326.5916,-923.1321,4137.7112,4518.9494,-4026.4723,-5329.1582,3920.0354,3577.8342,-5850.0058,4750.1911,5417.4701,-4914.0931,5227.2029,-6655.1083,-4452.5698,2697.1103,2595.4369,-6189.4195,-4802.2764,1654.4118,2081.4208,-4626.6404,-6872.9401,-611.7064,-6220.1072,-4744.9352,-6044.5814,3245.5060,3903.3584,-4072.1923,207.2368,-4973.9318,6784.0548,2914.2335,-875.3173,3493.6329,-4794.9604,3418.1759,4660.2798,5189.6685,5987.3524,-426.8895,3883.2682,-3542.8918,5041.5888,-1007.2241,-12.8752,-3569.8085,-3200.0085,5617.9224,4371.2041,-4076.8686,-3371.6219,-5534.8614,-1871.6921,3518.9537,-2041.8238,0.0000,-5375.6227,-2607.2891,-3959.5646,-700.8526,5338.4810,5332.3980,-48076.4301,-55060.4305,-47883.8017,-48845.6270,-55976.4747,-53962.8081,-47685.4271,-50188.6700,217959183.8868,217952412.7291,217944179.3853,217961920.5671,-48905.3286,217961375.5189,1252.8319,1759.5384,1593.2070,-809.4892,1717.7179,4365.0174,-5054.3090,4100.8930,-60.5481,-2822.6485,2550.3740,-3843.0214,677.0543,-5098.6309,3987.3719,4197.4159,-3095.8069,-5273.4155,3301.4039,2164.6768,-376.0074,3203.6968,-2933.7532,4607.5673,-1473.7763,-1262.4299,2151.0202,-1761.4147,0.0000,-1914.0777,4709.4780,-3295.7517,0.0000,-3231.4689,4621.6063,4698.5380,-4444.8931,4864.7780,-5410.2679,4059.5659,4603.4335,3017.8340,684.4456,1001.4839,443.8722,-3572.4196,-3848.5590,-4651.2596,3410.4437,-372.5851,4882.4315,4273.5441,-6449.2100,2439.9788,-45.2153,3994.5907,6463.6893,4047.6331,722.0645,-4027.1279,-310.4505,4901.3045,-3093.9598,-1909.1107,4438.5685,5309.5820,-4696.4265,4694.2879,336.8075,5045.0099,5153.2249,4772.2522,-3454.6705,4961.9782,3816.2440,-3374.0591,-2288.1193,1268.6667,-5498.4684,1666.1014,-3543.1569,-1074.9173,6666.2109,461.8729,4708.7786,3570.0797,-2347.0558,-727.4671,5344.0247,2737.5633,-990.8182,3179.3032,4252.2240,0.0000,-4226.9652,-676.6844,2401.8507,-4886.6289,-4412.1531,4212.2460,88283.6972,88147.3688,89555.5983,90701.5331,93976.7726,84898.3088,79913.1089,89507.6241,131304590.5693,131325562.8822,131324810.2363,131319688.5404,88283.8605,131311867.5462,
600.000,2613.0220,-3397.6042,561.7208,5341.0986,1357.4525,-5670.9388,-4730.1907,-2734.0266,285.1437,-3810.3037,6224.7384,-4391.2546,2206.7374,-3677.0893,-4170.5958,2602.9847,-635.9910,4670.0998,5145.1362,-5435.6303,4111.6041,53.3422,-1202.1161,-4157.4743,6380.6403,4238.0978,2083.8588,5554.0876,0.0000,2970.8450,-3902.8593,3499.6408,0.0000,-6530.1685,3943.7384,3467.5718,2206.6563,5098.7568,2410.6866,-2302.7434,1024.1153,-4098.7344,6195.0537,-5126.2972,3077.9453,-2531.4928,2919.1641,-1275.5093,3629.6777,580.5350,-1326.1361,-2904.5033,1961.3961,-220.8684,3846.9467,5169.1537,-214.6964,1127.8861,-1927.9658,-6005.3572,1167.9022,-2756.5991,-2139.6295,-4723.7199,-3716.9417,-491.7791,-4629.4839,-1028.3250,2148.5969,-1734.7139,4677.2348,-1545.9656,2766.5640,3878.5986,-1453.9122,4449.0543,-784.3797,-6834.3726,3395.3626,-6555.1317,3672.8782,6506.6792,-107.1049,-6326.8363,4247.2574,-350.2205,-3248.4710,4273.0589,612.5167,2128.3071,-6854.5016,-4328.8704,-6216.7748,0.0000,-466.7214,5636.8984,4298.5602,5151.8233,2322.8282,2230.3140,-381928.8279,-365685.6264,-389867.7737,-389581.2383,-384847.9833,-385071.4128,-380626.2231,-383734.8869,-256626704.6940,-256569579.8298,-256595719.2128,-256617848.2028,-383986.5018,-256607667.4355,-5666.7208,-6019.4733,6023.1024,-3421.5219,5912.3724,-394.9588,2339.6195,5611.0200,6717.7100,4275.7985,2782.0563,1605.4453,-6193.2319,-1904.8141,-2234.9045,3734.5452,5287.4812,2500.1787,642.0444,-2080.4136,5023.3526,5554.5925,6691.6189,231.3416,-2345.3297,5409.8680,-5426.1967,4078.1772,0.0000,6264.3407,3402.2703,-4151.3858,0.0000,1238.8355,1854.0863,4157.4073,5450.7454,-2779.6151,4080.5381,5911.6003,-4182.2569,-5099.9765,2840.4958,4568.0843,-5998.3356,6029.5818,3848.9619,-5070.5113,3567.0111,-6726.2446,-5208.4581,3523.3207,1728.8623,-5798.4916,-5429.1322,-403.1402,3782.7715,-5029.0049,-6278.9536,1249.5153,-6441.8954,-5018.0852,-4791.3851,3387.1191,5229.5156,-4131.8044,2311.5354,-4183.6519,6170.2781,3777.9706,-2843.3848,4000.4183,-6051.5249,1389.7253,4623.1043,4923.9596,5615.9260,1089.5985,2738.2427,-2253.2670,3328.8714,-2197.9973,1093.9555,-2430.4148,-4591.4344,6498.6258,4723.7704,-4998.7209,-4108.1942,-6492.9047,-686.1658,5081.2696,-826.5038,0.0000,-6273.4483,-3921.1559,-5333.9666,-2555.1463,5430.5788,5793.0893,-55627.0013,-62875.7162,-55906.1495,-56933.1427,-64143.1864,-62080.9464,-55873.4630,-57979.8677,212407152.6154,212401191.4759,212392347.4735,212409367.2283,-57043.9619,212409401.1892,2928.2412,-35.1419,3225.2382,-2847.6041,3328.0375,3628.3648,-4145.2613,2688.4921,-1584.6246,-3894.1909,1129.0286,-4892.0271,2150.8822,-5506.5949,5010.4197,5123.8278,-4410.2136,-4444.2742,4560.5551,3697.1530,-1891.1907,4153.2716,-1255.6712,5270.1340,343.0604,553.2904,3686.2867,35.6308,0.0000,195.3990,4701.5012,-4201.5604,0.0000,-1945.7720,5352.4270,4309.9644,-3685.3048,3756.1810,-4899.5947,2624.9089,5325.9403,1341.6005,-1132.2139,-811.7137,-1672.9516,-2013.9827,-4926.9314,-4382.9981,4634.0892,1437.0393,3881.3388,5179.4231,-6441.1191,3610.5850,1749.5202,4594.3319,5826.8289,4612.5968,2190.7429,-3029.7324,-1828.0300,3814.8678,-4407.0097,-3813.3584,2666.5852,5502.1893,-4602.9583,5383.2454,2112.4930,5498.7976,4230.7696,5412.3435,-1873.0050,5420.0545,4900.8486,-1774.1041,-3795.4312,-268.9228,-5356.1128,149.9537,-4717.6287,738.2396,6839.3130,-1350.0316,3008.2950,2380.8530,-3843.9694,-2195.5110,5459.1361,1031.9268,819.2275,1881.6534,2877.4350,0.0000,-2848.5110,869.8583,959.0662,-3789.0474,-3629.4964,2831.8199,88548.1440,88234.7614,89750.5387,90633.3779,94151.9875,85263.6120,79927.2758,89921.0001,131307220.3311,131327798.6700,131326994.5729,131322300.0560,88392.1933,131314284.8390,
