sl_100_5400_20280905 Coordinates.csv
2028/09/05 07:47:00.0000 UTC

Generated: Tue Oct  8 21:41:07 2024,
Start: 2028/09/05 07:47:00.00, Stop: 2028/09/05 09:17:00.00,
TIME_UNITS,STARLINK-30535 - X-Coordinate,STARLINK-3235 - X-Coordinate,STARLINK-4300 - X-Coordinate,STARLINK-31258 - X-Coordinate,STARLINK-2439 - X-Coordinate,STARLINK-1067 - X-Coordinate,STARLINK-30798 - X-Coordinate,STARLINK-31825 - X-Coordinate,STARLINK-31152 - X-Coordinate,STARLINK-6211 - X-Coordinate,STARLINK-30316 - X-Coordinate,STARLINK-4549 - X-Coordinate,STARLINK-30372 - X-Coordinate,STARLINK-5695 - X-Coordinate,STARLINK-1352 - X-Coordinate,STARLINK-5987 - X-Coordinate,STARLINK-11182 [DTC] - X-Coordinate,STARLINK-30938 - X-Coordinate,STARLINK-4207 - X-Coordinate,STARLINK-1621 - X-Coordinate,STARLINK-5459 - X-Coordinate,STARLINK-3042 - X-Coordinate,STARLINK-31794 - X-Coordinate,STARLINK-5306 - X-Coordinate,STARLINK-31129 - X-Coordinate,STARLINK-1423 - X-Coordinate,STARLINK-3388 - X-Coordinate,STARLINK-3682 - X-Coordinate,STARLINK-5506 - X-Coordinate,STARLINK-30232 - X-Coordinate,STARLINK-1808 - X-Coordinate,STARLINK-31810 - X-Coordinate,STARLINK-31728 - X-Coordinate,STARLINK-4743 - X-Coordinate,STARLINK-5969 - X-Coordinate,STARLINK-3602 - X-Coordinate,STARLINK-32032 - X-Coordinate,STARLINK-2537 - X-Coordinate,STARLINK-3858 - X-Coordinate,STARLINK-6051 - X-Coordinate,STARLINK-5486 - X-Coordinate,STARLINK-5177 - X-Coordinate,STARLINK-3133 - X-Coordinate,STARLINK-32076 - X-Coordinate,STARLINK-5994 - X-Coordinate,STARLINK-1372 - X-Coordinate,STARLINK-4448 - X-Coordinate,STARLINK-31312 - X-Coordinate,STARLINK-5909 - X-Coordinate,STARLINK-31435 - X-Coordinate,STARLINK-3592 - X-Coordinate,STARLINK-4435 - X-Coordinate,STARLINK-3356 - X-Coordinate,STARLINK-6327 - X-Coordinate,STARLINK-4255 - X-Coordinate,STARLINK-5634 - X-Coordinate,STARLINK-3963 - X-Coordinate,STARLINK-31239 - X-Coordinate,STARLINK-2317 - X-Coordinate,STARLINK-4254 - X-Coordinate,STARLINK-30439 - X-Coordinate,STARLINK-4351 - X-Coordinate,STARLINK-3251 - X-Coordinate,STARLINK-1957 - X-Coordinate,STARLINK-2089 - X-Coordinate,STARLINK-5743 - X-Coordinate,STARLINK-6326 - X-Coordinate,STARLINK-31761 - X-Coordinate,STARLINK-30211 - X-Coordinate,STARLINK-3105 - X-Coordinate,STARLINK-31977 - X-Coordinate,STARLINK-30399 - X-Coordinate,STARLINK-31135 - X-Coordinate,STARLINK-31511 - X-Coordinate,STARLINK-30943 - X-Coordinate,STARLINK-5518 - X-Coordinate,STARLINK-30309 - X-Coordinate,STARLINK-5249 - X-Coordinate,STARLINK-31412 - X-Coordinate,STARLINK-30881 - X-Coordinate,STARLINK-5778 - X-Coordinate,STARLINK-6098 - X-Coordinate,STARLINK-4005 - X-Coordinate,STARLINK-30919 - X-Coordinate,STARLINK-5014 - X-Coordinate,STARLINK-3233 - X-Coordinate,STARLINK-30795 - X-Coordinate,STARLINK-3288 - X-Coordinate,STARLINK-11254 [DTC] - X-Coordinate,STARLINK-30267 - X-Coordinate,STARLINK-11129 [DTC] - X-Coordinate,STARLINK-5295 - X-Coordinate,STARLINK-32083 - X-Coordinate,STARLINK-6234 - X-Coordinate,STARLINK-30958 - X-Coordinate,STARLINK-31198 - X-Coordinate,STARLINK-3649 - X-Coordinate,STARLINK-30089 - X-Coordinate,STARLINK-5529 - X-Coordinate,STARLINK-3997 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30535 - Y-Coordinate,STARLINK-3235 - Y-Coordinate,STARLINK-4300 - Y-Coordinate,STARLINK-31258 - Y-Coordinate,STARLINK-2439 - Y-Coordinate,STARLINK-1067 - Y-Coordinate,STARLINK-30798 - Y-Coordinate,STARLINK-31825 - Y-Coordinate,STARLINK-31152 - Y-Coordinate,STARLINK-6211 - Y-Coordinate,STARLINK-30316 - Y-Coordinate,STARLINK-4549 - Y-Coordinate,STARLINK-30372 - Y-Coordinate,STARLINK-5695 - Y-Coordinate,STARLINK-1352 - Y-Coordinate,STARLINK-5987 - Y-Coordinate,STARLINK-11182 [DTC] - Y-Coordinate,STARLINK-30938 - Y-Coordinate,STARLINK-4207 - Y-Coordinate,STARLINK-1621 - Y-Coordinate,STARLINK-5459 - Y-Coordinate,STARLINK-3042 - Y-Coordinate,STARLINK-31794 - Y-Coordinate,STARLINK-5306 - Y-Coordinate,STARLINK-31129 - Y-Coordinate,STARLINK-1423 - Y-Coordinate,STARLINK-3388 - Y-Coordinate,STARLINK-3682 - Y-Coordinate,STARLINK-5506 - Y-Coordinate,STARLINK-30232 - Y-Coordinate,STARLINK-1808 - Y-Coordinate,STARLINK-31810 - Y-Coordinate,STARLINK-31728 - Y-Coordinate,STARLINK-4743 - Y-Coordinate,STARLINK-5969 - Y-Coordinate,STARLINK-3602 - Y-Coordinate,STARLINK-32032 - Y-Coordinate,STARLINK-2537 - Y-Coordinate,STARLINK-3858 - Y-Coordinate,STARLINK-6051 - Y-Coordinate,STARLINK-5486 - Y-Coordinate,STARLINK-5177 - Y-Coordinate,STARLINK-3133 - Y-Coordinate,STARLINK-32076 - Y-Coordinate,STARLINK-5994 - Y-Coordinate,STARLINK-1372 - Y-Coordinate,STARLINK-4448 - Y-Coordinate,STARLINK-31312 - Y-Coordinate,STARLINK-5909 - Y-Coordinate,STARLINK-31435 - Y-Coordinate,STARLINK-3592 - Y-Coordinate,STARLINK-4435 - Y-Coordinate,STARLINK-3356 - Y-Coordinate,STARLINK-6327 - Y-Coordinate,STARLINK-4255 - Y-Coordinate,STARLINK-5634 - Y-Coordinate,STARLINK-3963 - Y-Coordinate,STARLINK-31239 - Y-Coordinate,STARLINK-2317 - Y-Coordinate,STARLINK-4254 - Y-Coordinate,STARLINK-30439 - Y-Coordinate,STARLINK-4351 - Y-Coordinate,STARLINK-3251 - Y-Coordinate,STARLINK-1957 - Y-Coordinate,STARLINK-2089 - Y-Coordinate,STARLINK-5743 - Y-Coordinate,STARLINK-6326 - Y-Coordinate,STARLINK-31761 - Y-Coordinate,STARLINK-30211 - Y-Coordinate,STARLINK-3105 - Y-Coordinate,STARLINK-31977 - Y-Coordinate,STARLINK-30399 - Y-Coordinate,STARLINK-31135 - Y-Coordinate,STARLINK-31511 - Y-Coordinate,STARLINK-30943 - Y-Coordinate,STARLINK-5518 - Y-Coordinate,STARLINK-30309 - Y-Coordinate,STARLINK-5249 - Y-Coordinate,STARLINK-31412 - Y-Coordinate,STARLINK-30881 - Y-Coordinate,STARLINK-5778 - Y-Coordinate,STARLINK-6098 - Y-Coordinate,STARLINK-4005 - Y-Coordinate,STARLINK-30919 - Y-Coordinate,STARLINK-5014 - Y-Coordinate,STARLINK-3233 - Y-Coordinate,STARLINK-30795 - Y-Coordinate,STARLINK-3288 - Y-Coordinate,STARLINK-11254 [DTC] - Y-Coordinate,STARLINK-30267 - Y-Coordinate,STARLINK-11129 [DTC] - Y-Coordinate,STARLINK-5295 - Y-Coordinate,STARLINK-32083 - Y-Coordinate,STARLINK-6234 - Y-Coordinate,STARLINK-30958 - Y-Coordinate,STARLINK-31198 - Y-Coordinate,STARLINK-3649 - Y-Coordinate,STARLINK-30089 - Y-Coordinate,STARLINK-5529 - Y-Coordinate,STARLINK-3997 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30535 - Z-Coordinate,STARLINK-3235 - Z-Coordinate,STARLINK-4300 - Z-Coordinate,STARLINK-31258 - Z-Coordinate,STARLINK-2439 - Z-Coordinate,STARLINK-1067 - Z-Coordinate,STARLINK-30798 - Z-Coordinate,STARLINK-31825 - Z-Coordinate,STARLINK-31152 - Z-Coordinate,STARLINK-6211 - Z-Coordinate,STARLINK-30316 - Z-Coordinate,STARLINK-4549 - Z-Coordinate,STARLINK-30372 - Z-Coordinate,STARLINK-5695 - Z-Coordinate,STARLINK-1352 - Z-Coordinate,STARLINK-5987 - Z-Coordinate,STARLINK-11182 [DTC] - Z-Coordinate,STARLINK-30938 - Z-Coordinate,STARLINK-4207 - Z-Coordinate,STARLINK-1621 - Z-Coordinate,STARLINK-5459 - Z-Coordinate,STARLINK-3042 - Z-Coordinate,STARLINK-31794 - Z-Coordinate,STARLINK-5306 - Z-Coordinate,STARLINK-31129 - Z-Coordinate,STARLINK-1423 - Z-Coordinate,STARLINK-3388 - Z-Coordinate,STARLINK-3682 - Z-Coordinate,STARLINK-5506 - Z-Coordinate,STARLINK-30232 - Z-Coordinate,STARLINK-1808 - Z-Coordinate,STARLINK-31810 - Z-Coordinate,STARLINK-31728 - Z-Coordinate,STARLINK-4743 - Z-Coordinate,STARLINK-5969 - Z-Coordinate,STARLINK-3602 - Z-Coordinate,STARLINK-32032 - Z-Coordinate,STARLINK-2537 - Z-Coordinate,STARLINK-3858 - Z-Coordinate,STARLINK-6051 - Z-Coordinate,STARLINK-5486 - Z-Coordinate,STARLINK-5177 - Z-Coordinate,STARLINK-3133 - Z-Coordinate,STARLINK-32076 - Z-Coordinate,STARLINK-5994 - Z-Coordinate,STARLINK-1372 - Z-Coordinate,STARLINK-4448 - Z-Coordinate,STARLINK-31312 - Z-Coordinate,STARLINK-5909 - Z-Coordinate,STARLINK-31435 - Z-Coordinate,STARLINK-3592 - Z-Coordinate,STARLINK-4435 - Z-Coordinate,STARLINK-3356 - Z-Coordinate,STARLINK-6327 - Z-Coordinate,STARLINK-4255 - Z-Coordinate,STARLINK-5634 - Z-Coordinate,STARLINK-3963 - Z-Coordinate,STARLINK-31239 - Z-Coordinate,STARLINK-2317 - Z-Coordinate,STARLINK-4254 - Z-Coordinate,STARLINK-30439 - Z-Coordinate,STARLINK-4351 - Z-Coordinate,STARLINK-3251 - Z-Coordinate,STARLINK-1957 - Z-Coordinate,STARLINK-2089 - Z-Coordinate,STARLINK-5743 - Z-Coordinate,STARLINK-6326 - Z-Coordinate,STARLINK-31761 - Z-Coordinate,STARLINK-30211 - Z-Coordinate,STARLINK-3105 - Z-Coordinate,STARLINK-31977 - Z-Coordinate,STARLINK-30399 - Z-Coordinate,STARLINK-31135 - Z-Coordinate,STARLINK-31511 - Z-Coordinate,STARLINK-30943 - Z-Coordinate,STARLINK-5518 - Z-Coordinate,STARLINK-30309 - Z-Coordinate,STARLINK-5249 - Z-Coordinate,STARLINK-31412 - Z-Coordinate,STARLINK-30881 - Z-Coordinate,STARLINK-5778 - Z-Coordinate,STARLINK-6098 - Z-Coordinate,STARLINK-4005 - Z-Coordinate,STARLINK-30919 - Z-Coordinate,STARLINK-5014 - Z-Coordinate,STARLINK-3233 - Z-Coordinate,STARLINK-30795 - Z-Coordinate,STARLINK-3288 - Z-Coordinate,STARLINK-11254 [DTC] - Z-Coordinate,STARLINK-30267 - Z-Coordinate,STARLINK-11129 [DTC] - Z-Coordinate,STARLINK-5295 - Z-Coordinate,STARLINK-32083 - Z-Coordinate,STARLINK-6234 - Z-Coordinate,STARLINK-30958 - Z-Coordinate,STARLINK-31198 - Z-Coordinate,STARLINK-3649 - Z-Coordinate,STARLINK-30089 - Z-Coordinate,STARLINK-5529 - Z-Coordinate,STARLINK-3997 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-5654.0067,-199.7145,3267.0402,-150.5302,-1574.3476,2901.0974,-6374.7809,6332.7278,-5830.6211,3543.9528,344.5804,-3202.6990,6385.9762,4558.6297,-2710.8571,2481.5058,4863.8061,-3831.5860,2800.4682,-4908.0022,418.8245,-1879.6044,1350.3333,-5748.8832,-6798.8319,-3425.0374,-6784.5663,-221.1809,-3495.0779,-3089.5754,-2646.6184,-5885.6332,4530.0263,4212.7596,6446.2943,-2655.6334,-5678.0707,-1071.1142,5964.5296,2192.3610,2214.1945,-3294.9548,2502.0260,-6824.6750,-55.9744,5441.9014,-605.1365,4843.0790,2434.3013,-1055.2006,-785.5531,734.8782,3458.8652,-6769.1167,1198.7295,4935.4741,5503.3785,3034.0501,-469.8194,252.5369,-4836.8569,-4909.6041,4031.7874,-5255.4462,-5934.9962,-5027.7500,-5756.0703,0.0000,5274.3405,5718.0084,4948.3604,-4013.5513,-532.2737,-5768.5603,-6370.9643,-468.5965,-2623.3692,3521.9986,4993.4541,4020.3415,1883.7856,5605.1356,-3727.1053,3965.2916,5519.8596,3922.2294,1875.5970,6873.1553,-5769.0936,-2217.0811,1340.7806,-1208.6436,-2041.6868,-1753.8186,-3424.0190,6711.2857,-2853.0231,-3195.6711,-2603.3437,-3276.1739,102946.5780,122123.7900,106364.8474,107719.7608,115647.8616,113667.2696,108392.8450,109385.7368,-281708968.9440,-281694737.4139,-281693689.3915,-281720347.9984,108895.7486,-281710104.1160,3830.5349,-4143.9186,3225.7232,-4499.9870,-6742.2379,6131.1720,2527.3321,680.4076,-3621.6226,-5457.3947,5900.2383,-2736.6574,-2254.1860,4613.8795,-3697.8718,-4594.0524,2764.2333,-4528.2809,-3413.9010,4475.7625,-5286.1709,2659.5871,-6608.5224,-3409.3853,323.3807,3325.7466,168.2192,-4643.8798,-1321.5141,5503.6893,3317.3118,1797.2632,4849.5206,3512.3855,-2160.7904,6220.7640,-3669.8045,-4003.7943,-1325.5497,1216.4233,-6307.9131,5539.6430,-3858.5000,-310.8113,-6089.5823,202.9530,3182.4199,-4266.5975,-5386.2187,4433.1651,-6849.6791,2879.8668,-3669.4140,483.8117,3968.8535,-1696.2208,-2836.3115,2804.3851,6285.2594,4432.6089,-3152.5358,1994.3081,-1548.4907,-458.1460,-303.3000,422.8202,-3511.1323,0.0000,-2612.7724,1714.2537,2971.2334,2672.7714,5894.0106,-859.4522,1529.0789,-3690.3196,6210.7803,4390.2151,-1813.1219,-5054.4046,4800.5306,1054.0890,-1797.4040,3188.6937,980.3513,-2568.9532,6580.1710,117.6591,-3122.0232,4432.6262,-5076.6774,2490.2224,-4349.6691,5998.4614,5076.5154,-301.9767,3094.9893,4204.5836,4097.0028,4436.1057,-407927.2409,-384231.0158,-396139.3309,-396341.7708,-393061.8930,-392769.9248,-387090.7146,-390308.7066,109145575.4316,109197255.3962,109168278.7015,109160361.5810,-390714.4191,109163945.7597,-1192.4445,-5536.3911,-5174.0219,5136.6393,-216.6182,1195.3338,160.0912,2466.3123,-683.1989,2373.9432,-3405.7677,5464.0665,-558.6959,-2410.2660,5131.1097,-4583.1393,-3771.3541,3373.1112,5291.5136,10.2822,-4494.4294,6125.4447,1099.1127,1844.6131,-596.0084,-4951.1470,-1107.4996,5065.5722,5850.6469,-2883.6898,5451.7975,2950.4379,1506.7502,4259.4234,1333.8192,-1314.0700,1149.0256,-5247.9593,-3190.0597,-6478.2291,1892.8905,-2472.6809,-5177.7042,364.8075,3328.3872,4145.4127,-6122.8466,2195.6848,-3670.9165,5069.9233,410.8370,6265.0328,-4672.5921,-1373.7212,-5527.1491,-4580.6665,-3063.6507,5470.5846,2612.7768,-5301.9626,3740.8751,-4485.6252,-5396.4140,-4348.7500,-3517.9564,4691.4093,-1886.8423,0.0000,3614.5316,-3478.5094,3598.6544,4839.2669,3299.0983,-3538.9526,2251.3780,5857.4804,1558.5031,3984.1569,4283.1967,-2513.5435,-4639.3446,3922.0150,5514.2422,4707.7808,3976.6349,-5084.5116,1056.8863,-578.0205,-1345.0173,-4677.8359,-4157.8649,-6372.6665,-4894.6356,-2999.0089,3242.5496,1292.4226,-5482.9287,-4467.7782,-4958.6435,4136.6866,26531.3692,21353.3872,25369.3615,26320.1095,29648.5745,20606.0837,15644.4230,22278.8482,115859161.5799,115883494.5619,115883923.1635,115862534.3421,23993.1536,115868028.5410,
300.000,-4745.4360,-2336.6742,3971.4832,-2103.9542,-2676.3127,3991.1071,-5467.2474,6768.9409,-6212.2327,2299.4674,1788.7086,-4692.0089,5434.7488,5150.5951,-4557.3760,2210.0547,6111.5573,-4221.7156,1526.3219,-3806.7017,-358.8857,277.2271,-268.1233,-6262.8720,-6250.8197,-2575.2633,-6696.4064,-2119.0208,-2464.7516,-1211.9585,-658.5278,-5647.2919,5654.4968,4353.8711,5925.5953,-1533.7109,-5804.8980,-2959.4359,6119.4692,2546.6485,1283.6432,-2338.7549,376.2383,-6430.9834,-809.6538,4343.4477,-867.0524,3891.4136,1142.8113,1053.9370,-1947.8146,393.1570,1424.3367,-6038.4403,3175.0608,5647.2052,3945.9761,4486.7412,821.0464,2209.6850,-6104.2917,-3501.8463,3589.2648,-6033.2415,-4908.6599,-4694.8038,-5338.8157,0.0000,3682.2282,5078.9863,5130.2809,-2110.1862,1006.0146,-6346.8610,-5241.7953,-1633.2549,-941.7641,4007.6284,4532.0661,2881.8734,3654.6192,6263.4067,-4404.2825,5216.5788,6385.8572,3371.1479,3180.5847,6401.1445,-5737.7166,-950.4218,-50.7149,30.5181,-3260.1516,114.3428,-1494.7591,6589.8763,-958.6563,-1691.3431,-869.7988,-1316.5336,111665.0955,130186.8453,114529.1209,115957.7116,123946.8519,121920.6428,116698.1578,118066.7132,-284023890.8187,-284010298.1910,-284008508.0600,-284035353.1272,117162.2928,-284025050.8237,5040.2746,-3949.5597,1199.0806,-4930.1041,-6187.7310,5581.8064,3782.0761,-580.8862,-2085.0154,-6469.2629,6328.7333,-1244.5065,-3526.6022,2907.4298,-2982.5595,-5939.2535,1748.2576,-2749.1285,-4997.7762,5136.3699,-6379.8614,2361.2104,-6341.2952,-2967.9072,1812.0772,5043.0258,1379.5445,-5110.3279,536.2464,5584.0854,4209.1313,3486.7824,3789.8641,1548.2739,-3587.6409,6696.5491,-2284.8997,-2847.7532,-2762.6412,-961.6320,-5670.6585,6451.7362,-4136.7329,918.2426,-4787.9487,-1443.7770,1016.8490,-5554.4713,-4467.1894,3956.4533,-6479.1065,4767.3672,-4054.4123,1969.1481,3082.9584,-2869.6826,-3588.5659,1225.9560,6717.2213,3510.0905,-1804.2279,917.3499,-3566.2956,1101.6845,1208.4375,2534.5415,-2481.2862,0.0000,-3846.6645,15.2287,938.2610,3603.0653,4922.0279,864.6504,2906.1943,-1910.7178,6203.0027,2524.8377,-3766.9688,-6206.9238,3576.1590,-708.5413,265.3954,1476.2638,-400.8418,-4431.9611,5622.0939,-1096.5777,-1671.1962,5775.9288,-6098.5106,4138.7988,-2617.6121,5648.9602,5320.1633,-1826.7272,4165.4372,5568.6643,3272.8627,4446.0550,-405637.9909,-381662.6192,-393660.4140,-393820.4644,-390647.9106,-390317.3531,-384738.2730,-387785.4177,102967996.2378,103020264.8570,102991388.7882,102982240.4042,-388306.6371,102986452.3371,347.1196,-5176.8249,-5535.2580,4236.0089,1580.7296,-618.6787,1682.4400,721.6707,-2158.2540,928.2037,-1806.8028,4904.6289,-2054.1124,-3592.6483,4208.0914,-2847.0607,-2257.5592,4599.6708,4495.7982,-1809.0011,-2735.3474,6515.9471,2529.0809,-267.8643,-2084.7171,-3902.9964,713.6006,4085.9939,6465.8529,-3938.2003,5438.6822,1598.4978,-32.4698,5181.9762,-200.9724,501.3949,2843.1287,-5277.4063,-1551.7861,-6391.5542,3799.2488,-734.3137,-5540.9447,2140.1738,4954.4518,5085.7234,-6796.8064,718.4762,-5211.6575,5449.2176,-1399.7096,5022.9913,-5366.3359,-2759.7306,-5305.5065,-2843.8861,-4390.9678,5036.8724,887.8454,-5533.3833,2614.1305,-5924.7362,-4708.0109,-3019.1724,-4706.2865,4359.9246,-3791.8912,0.0000,4397.3628,-4684.7715,4364.3134,5405.5993,4543.1389,-2343.5655,3471.2351,6465.8764,2914.7932,5009.2119,3444.1373,-1087.5612,-4687.6664,2863.2228,5298.0082,4320.7215,2517.4185,-4101.0221,2486.9345,-2331.1291,-3023.8865,-3489.1841,-2766.2578,-5581.0852,-5437.8812,-4017.0037,4177.3754,-253.2492,-5432.1221,-3738.5896,-6057.4698,5099.2635,26634.8305,21475.7587,25578.8338,26271.6599,29838.4560,20987.2917,15675.6995,22615.5844,115856121.1953,115880097.8006,115880525.0563,115859589.1997,24118.5062,115864804.9365,
600.000,-3374.0257,-4240.1315,4343.3763,-3815.5158,-3530.4202,4685.0229,-4006.0744,6506.6182,-5995.8131,840.3850,3028.5004,-5743.9106,3918.7932,5273.7562,-5946.5516,1750.7200,6702.2637,-4226.3865,146.2843,-2263.4726,-1064.8732,2421.2270,-1882.3704,-6137.4796,-5070.6681,-1509.5792,-5927.7543,-3776.5633,-1255.7198,801.5263,1368.9588,-4846.0136,6198.5450,4125.1122,4828.5792,-251.5589,-5360.1824,-4555.3794,5668.2955,2726.0252,177.5188,-1156.1539,-1784.9320,-5377.6512,-1545.0037,2836.0447,-939.8033,2548.8479,-317.6614,3074.1650,-2931.2170,-61.3469,-755.7193,-4725.2623,4855.6730,5805.9013,1991.6532,5518.5693,2016.7109,3977.7647,-6770.7360,-1677.2407,2843.0751,-6207.6843,-3420.3603,-3941.4473,-4422.7268,0.0000,1741.5565,3971.0899,4827.0774,-7.0367,2483.3074,-6289.9096,-3609.1320,-2706.7180,853.7426,4148.5505,3643.4598,1473.6036,5098.8178,6328.4820,-4696.2164,5991.6729,6615.1642,2531.4487,4199.8269,5290.2781,-5098.7621,376.5417,-1405.8737,1202.6660,-4203.1316,1997.0256,593.3116,5802.3342,999.2156,-54.4302,997.4846,793.2410,120333.1105,138194.3289,122640.7957,124139.2099,132191.7387,130111.5797,124952.7337,126625.5998,-286203364.6286,-286190430.2238,-286187906.0640,-286214870.1610,125375.6663,-286204553.2357,5763.3654,-3422.3254,-931.8831,-4893.9170,-5015.6436,4466.5223,4673.1702,-1773.8321,-327.0691,-6850.7929,6109.3040,325.8191,-4455.3393,906.1507,-2014.6525,-6673.2001,570.8806,-672.6500,-6100.4722,5236.1396,-6833.2104,1907.5774,-5440.7393,-2219.5854,3137.5265,6253.8361,2459.0834,-5099.1078,2386.4732,5158.5900,4738.2221,4810.7739,2340.8734,-581.1518,-4667.7693,6498.7029,-641.9834,-1432.4785,-3907.0428,-3026.8861,-4479.1587,6715.0390,-4069.0823,2077.3166,-3012.2419,-2988.3853,-1263.8244,-6271.9882,-3140.1043,3129.2335,-5459.2134,6132.8034,-4091.1837,3289.2763,1947.0329,-3720.5315,-4032.9457,-432.4368,6454.9827,2294.4444,-302.1710,-185.6090,-5228.3124,2518.5665,2645.6352,4396.1233,-1166.5493,0.0000,-4745.0062,-1723.6987,-1202.8024,4222.0286,3456.6640,2480.7956,4034.2107,21.6164,5608.0059,400.9907,-5331.2683,-6753.9149,2043.4938,-2379.7307,2278.3938,-348.4753,-1714.4021,-5851.4492,4114.4030,-2227.2600,-8.8364,6530.2590,-6461.7995,5404.5914,-646.5756,4781.8239,5085.7898,-3169.3466,4874.8983,6406.2020,2182.1061,4065.4749,-403161.0480,-378925.9782,-391003.4118,-391117.1603,-388057.3978,-387687.5774,-382209.4956,-385107.6456,96741376.0051,96794219.5232,96765463.1080,96755082.6281,-385723.9398,96759917.1934,1849.4614,-4261.2068,-5302.0780,2862.6038,3208.1850,-2365.2166,3018.6905,-1103.7375,-3398.9102,-617.1625,-4.7584,3814.2595,-3316.3537,-4388.7770,2825.6326,-808.2712,-481.6332,5310.8338,3211.6355,-3409.0010,-685.8485,6213.4892,3676.3255,-2351.7183,-3340.5149,-2427.5685,2456.2801,2659.2244,6394.6347,-4572.9789,4839.2947,67.3222,-1568.0416,5553.8781,-1714.2272,2262.0820,4222.7086,-4681.0697,255.6290,-5628.1463,5301.6258,1083.7309,-5311.1208,3677.0040,6052.6068,5461.5921,-6745.4354,-839.5730,-6202.3366,5217.1431,-3058.8407,3245.5798,-5473.0716,-3849.4508,-4511.8896,-804.2553,-5244.2713,4047.3925,-936.7276,-5170.0770,1201.3435,-6735.0251,-3512.1585,-1352.8318,-5386.3718,3554.0091,-5303.5213,0.0000,4704.9483,-5385.7070,4636.2273,5369.2015,5267.4006,-884.8705,4318.7945,6386.9176,3957.2291,5490.5558,2219.2799,455.0642,-4236.1724,1496.7874,4507.1123,3471.9432,782.0663,-2675.9995,3649.5159,-3831.2084,-4344.3164,-1907.8461,-1046.5517,-4198.1338,-5382.3330,-4605.5811,4664.7357,-1770.7418,-4796.5914,-2607.0000,-6512.5964,5507.9947,26738.0986,21598.4722,25785.5121,26218.8881,30025.0586,21374.7518,15711.7818,23059.8702,115853084.5879,115876699.9641,115877122.0399,115856654.7272,24243.8453,115861581.1825,
