sl_100_5400_20280501 Coordinates.csv
2028/05/01 07:47:00.0000 UTC

Generated: Tue Oct  8 21:40:54 2024,
Start: 2028/05/01 07:47:00.00, Stop: 2028/05/01 09:17:00.00,
TIME_UNITS,STARLINK-4429 - X-Coordinate,STARLINK-32010 - X-Coordinate,STARLINK-31313 - X-Coordinate,STARLINK-11072 [DTC] - X-Coordinate,STARLINK-4505 - X-Coordinate,STARLINK-1394 - X-Coordinate,STARLINK-4008 - X-Coordinate,STARLINK-4783 - X-Coordinate,STARLINK-1173 - X-Coordinate,STARLINK-3825 - X-Coordinate,STARLINK-30213 - X-Coordinate,STARLINK-5257 - X-Coordinate,STARLINK-5899 - X-Coordinate,STARLINK-32222 - X-Coordinate,STARLINK-1701 - X-Coordinate,STARLINK-4801 - X-Coordinate,STARLINK-4524 - X-Coordinate,STARLINK-4725 - X-Coordinate,STARLINK-4660 - X-Coordinate,STARLINK-31094 - X-Coordinate,STARLINK-5324 - X-Coordinate,STARLINK-5012 - X-Coordinate,STARLINK-31573 - X-Coordinate,STARLINK-5556 - X-Coordinate,STARLINK-4578 - X-Coordinate,STARLINK-1865 - X-Coordinate,STARLINK-4703 - X-Coordinate,STARLINK-6164 - X-Coordinate,STARLINK-1256 - X-Coordinate,STARLINK-1226 - X-Coordinate,STARLINK-4218 - X-Coordinate,STARLINK-1788 - X-Coordinate,STARLINK-30796 - X-Coordinate,STARLINK-31321 - X-Coordinate,STARLINK-5710 - X-Coordinate,STARLINK-5770 - X-Coordinate,STARLINK-30200 - X-Coordinate,STARLINK-3051 - X-Coordinate,STARLINK-5613 - X-Coordinate,STARLINK-3253 - X-Coordinate,STARLINK-5448 - X-Coordinate,STARLINK-3586 - X-Coordinate,STARLINK-32108 - X-Coordinate,STARLINK-11079 [DTC] - X-Coordinate,STARLINK-3698 - X-Coordinate,STARLINK-5963 - X-Coordinate,STARLINK-4475 - X-Coordinate,STARLINK-30140 - X-Coordinate,STARLINK-31139 - X-Coordinate,STARLINK-2614 - X-Coordinate,STARLINK-2374 - X-Coordinate,STARLINK-31778 - X-Coordinate,STARLINK-2412 - X-Coordinate,STARLINK-6192 - X-Coordinate,STARLINK-4519 - X-Coordinate,STARLINK-2613 - X-Coordinate,STARLINK-5611 - X-Coordinate,STARLINK-30914 - X-Coordinate,STARLINK-31741 - X-Coordinate,STARLINK-1544 - X-Coordinate,STARLINK-5316 - X-Coordinate,STARLINK-30556 - X-Coordinate,STARLINK-3726 - X-Coordinate,STARLINK-4013 - X-Coordinate,STARLINK-31711 - X-Coordinate,STARLINK-31881 - X-Coordinate,STARLINK-31959 - X-Coordinate,STARLINK-30239 - X-Coordinate,STARLINK-3959 - X-Coordinate,STARLINK-4026 - X-Coordinate,STARLINK-30906 - X-Coordinate,STARLINK-30573 - X-Coordinate,STARLINK-3117 - X-Coordinate,STARLINK-31401 - X-Coordinate,STARLINK-31416 - X-Coordinate,STARLINK-3248 - X-Coordinate,STARLINK-31720 - X-Coordinate,STARLINK-31886 - X-Coordinate,STARLINK-32289 - X-Coordinate,STARLINK-30350 - X-Coordinate,STARLINK-31585 - X-Coordinate,STARLINK-31596 - X-Coordinate,STARLINK-1773 - X-Coordinate,STARLINK-6112 - X-Coordinate,STARLINK-4614 - X-Coordinate,STARLINK-30602 - X-Coordinate,STARLINK-2499 - X-Coordinate,STARLINK-3592 - X-Coordinate,STARLINK-2683 - X-Coordinate,STARLINK-4662 - X-Coordinate,STARLINK-5677 - X-Coordinate,STARLINK-1362 - X-Coordinate,STARLINK-1246 - X-Coordinate,STARLINK-1880 - X-Coordinate,STARLINK-30614 - X-Coordinate,STARLINK-3540 - X-Coordinate,STARLINK-31033 - X-Coordinate,STARLINK-30819 - X-Coordinate,STARLINK-31251 - X-Coordinate,STARLINK-31647 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-4429 - Y-Coordinate,STARLINK-32010 - Y-Coordinate,STARLINK-31313 - Y-Coordinate,STARLINK-11072 [DTC] - Y-Coordinate,STARLINK-4505 - Y-Coordinate,STARLINK-1394 - Y-Coordinate,STARLINK-4008 - Y-Coordinate,STARLINK-4783 - Y-Coordinate,STARLINK-1173 - Y-Coordinate,STARLINK-3825 - Y-Coordinate,STARLINK-30213 - Y-Coordinate,STARLINK-5257 - Y-Coordinate,STARLINK-5899 - Y-Coordinate,STARLINK-32222 - Y-Coordinate,STARLINK-1701 - Y-Coordinate,STARLINK-4801 - Y-Coordinate,STARLINK-4524 - Y-Coordinate,STARLINK-4725 - Y-Coordinate,STARLINK-4660 - Y-Coordinate,STARLINK-31094 - Y-Coordinate,STARLINK-5324 - Y-Coordinate,STARLINK-5012 - Y-Coordinate,STARLINK-31573 - Y-Coordinate,STARLINK-5556 - Y-Coordinate,STARLINK-4578 - Y-Coordinate,STARLINK-1865 - Y-Coordinate,STARLINK-4703 - Y-Coordinate,STARLINK-6164 - Y-Coordinate,STARLINK-1256 - Y-Coordinate,STARLINK-1226 - Y-Coordinate,STARLINK-4218 - Y-Coordinate,STARLINK-1788 - Y-Coordinate,STARLINK-30796 - Y-Coordinate,STARLINK-31321 - Y-Coordinate,STARLINK-5710 - Y-Coordinate,STARLINK-5770 - Y-Coordinate,STARLINK-30200 - Y-Coordinate,STARLINK-3051 - Y-Coordinate,STARLINK-5613 - Y-Coordinate,STARLINK-3253 - Y-Coordinate,STARLINK-5448 - Y-Coordinate,STARLINK-3586 - Y-Coordinate,STARLINK-32108 - Y-Coordinate,STARLINK-11079 [DTC] - Y-Coordinate,STARLINK-3698 - Y-Coordinate,STARLINK-5963 - Y-Coordinate,STARLINK-4475 - Y-Coordinate,STARLINK-30140 - Y-Coordinate,STARLINK-31139 - Y-Coordinate,STARLINK-2614 - Y-Coordinate,STARLINK-2374 - Y-Coordinate,STARLINK-31778 - Y-Coordinate,STARLINK-2412 - Y-Coordinate,STARLINK-6192 - Y-Coordinate,STARLINK-4519 - Y-Coordinate,STARLINK-2613 - Y-Coordinate,STARLINK-5611 - Y-Coordinate,STARLINK-30914 - Y-Coordinate,STARLINK-31741 - Y-Coordinate,STARLINK-1544 - Y-Coordinate,STARLINK-5316 - Y-Coordinate,STARLINK-30556 - Y-Coordinate,STARLINK-3726 - Y-Coordinate,STARLINK-4013 - Y-Coordinate,STARLINK-31711 - Y-Coordinate,STARLINK-31881 - Y-Coordinate,STARLINK-31959 - Y-Coordinate,STARLINK-30239 - Y-Coordinate,STARLINK-3959 - Y-Coordinate,STARLINK-4026 - Y-Coordinate,STARLINK-30906 - Y-Coordinate,STARLINK-30573 - Y-Coordinate,STARLINK-3117 - Y-Coordinate,STARLINK-31401 - Y-Coordinate,STARLINK-31416 - Y-Coordinate,STARLINK-3248 - Y-Coordinate,STARLINK-31720 - Y-Coordinate,STARLINK-31886 - Y-Coordinate,STARLINK-32289 - Y-Coordinate,STARLINK-30350 - Y-Coordinate,STARLINK-31585 - Y-Coordinate,STARLINK-31596 - Y-Coordinate,STARLINK-1773 - Y-Coordinate,STARLINK-6112 - Y-Coordinate,STARLINK-4614 - Y-Coordinate,STARLINK-30602 - Y-Coordinate,STARLINK-2499 - Y-Coordinate,STARLINK-3592 - Y-Coordinate,STARLINK-2683 - Y-Coordinate,STARLINK-4662 - Y-Coordinate,STARLINK-5677 - Y-Coordinate,STARLINK-1362 - Y-Coordinate,STARLINK-1246 - Y-Coordinate,STARLINK-1880 - Y-Coordinate,STARLINK-30614 - Y-Coordinate,STARLINK-3540 - Y-Coordinate,STARLINK-31033 - Y-Coordinate,STARLINK-30819 - Y-Coordinate,STARLINK-31251 - Y-Coordinate,STARLINK-31647 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-4429 - Z-Coordinate,STARLINK-32010 - Z-Coordinate,STARLINK-31313 - Z-Coordinate,STARLINK-11072 [DTC] - Z-Coordinate,STARLINK-4505 - Z-Coordinate,STARLINK-1394 - Z-Coordinate,STARLINK-4008 - Z-Coordinate,STARLINK-4783 - Z-Coordinate,STARLINK-1173 - Z-Coordinate,STARLINK-3825 - Z-Coordinate,STARLINK-30213 - Z-Coordinate,STARLINK-5257 - Z-Coordinate,STARLINK-5899 - Z-Coordinate,STARLINK-32222 - Z-Coordinate,STARLINK-1701 - Z-Coordinate,STARLINK-4801 - Z-Coordinate,STARLINK-4524 - Z-Coordinate,STARLINK-4725 - Z-Coordinate,STARLINK-4660 - Z-Coordinate,STARLINK-31094 - Z-Coordinate,STARLINK-5324 - Z-Coordinate,STARLINK-5012 - Z-Coordinate,STARLINK-31573 - Z-Coordinate,STARLINK-5556 - Z-Coordinate,STARLINK-4578 - Z-Coordinate,STARLINK-1865 - Z-Coordinate,STARLINK-4703 - Z-Coordinate,STARLINK-6164 - Z-Coordinate,STARLINK-1256 - Z-Coordinate,STARLINK-1226 - Z-Coordinate,STARLINK-4218 - Z-Coordinate,STARLINK-1788 - Z-Coordinate,STARLINK-30796 - Z-Coordinate,STARLINK-31321 - Z-Coordinate,STARLINK-5710 - Z-Coordinate,STARLINK-5770 - Z-Coordinate,STARLINK-30200 - Z-Coordinate,STARLINK-3051 - Z-Coordinate,STARLINK-5613 - Z-Coordinate,STARLINK-3253 - Z-Coordinate,STARLINK-5448 - Z-Coordinate,STARLINK-3586 - Z-Coordinate,STARLINK-32108 - Z-Coordinate,STARLINK-11079 [DTC] - Z-Coordinate,STARLINK-3698 - Z-Coordinate,STARLINK-5963 - Z-Coordinate,STARLINK-4475 - Z-Coordinate,STARLINK-30140 - Z-Coordinate,STARLINK-31139 - Z-Coordinate,STARLINK-2614 - Z-Coordinate,STARLINK-2374 - Z-Coordinate,STARLINK-31778 - Z-Coordinate,STARLINK-2412 - Z-Coordinate,STARLINK-6192 - Z-Coordinate,STARLINK-4519 - Z-Coordinate,STARLINK-2613 - Z-Coordinate,STARLINK-5611 - Z-Coordinate,STARLINK-30914 - Z-Coordinate,STARLINK-31741 - Z-Coordinate,STARLINK-1544 - Z-Coordinate,STARLINK-5316 - Z-Coordinate,STARLINK-30556 - Z-Coordinate,STARLINK-3726 - Z-Coordinate,STARLINK-4013 - Z-Coordinate,STARLINK-31711 - Z-Coordinate,STARLINK-31881 - Z-Coordinate,STARLINK-31959 - Z-Coordinate,STARLINK-30239 - Z-Coordinate,STARLINK-3959 - Z-Coordinate,STARLINK-4026 - Z-Coordinate,STARLINK-30906 - Z-Coordinate,STARLINK-30573 - Z-Coordinate,STARLINK-3117 - Z-Coordinate,STARLINK-31401 - Z-Coordinate,STARLINK-31416 - Z-Coordinate,STARLINK-3248 - Z-Coordinate,STARLINK-31720 - Z-Coordinate,STARLINK-31886 - Z-Coordinate,STARLINK-32289 - Z-Coordinate,STARLINK-30350 - Z-Coordinate,STARLINK-31585 - Z-Coordinate,STARLINK-31596 - Z-Coordinate,STARLINK-1773 - Z-Coordinate,STARLINK-6112 - Z-Coordinate,STARLINK-4614 - Z-Coordinate,STARLINK-30602 - Z-Coordinate,STARLINK-2499 - Z-Coordinate,STARLINK-3592 - Z-Coordinate,STARLINK-2683 - Z-Coordinate,STARLINK-4662 - Z-Coordinate,STARLINK-5677 - Z-Coordinate,STARLINK-1362 - Z-Coordinate,STARLINK-1246 - Z-Coordinate,STARLINK-1880 - Z-Coordinate,STARLINK-30614 - Z-Coordinate,STARLINK-3540 - Z-Coordinate,STARLINK-31033 - Z-Coordinate,STARLINK-30819 - Z-Coordinate,STARLINK-31251 - Z-Coordinate,STARLINK-31647 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-240.0452,-4658.9896,5771.9987,5461.9535,-4826.3157,-5103.0920,5709.7268,-5036.4930,2139.5789,-4838.2075,-3553.6946,6205.4186,-2745.5717,1385.9559,4149.6967,-4656.3079,6492.4126,-3126.5940,-1810.1283,6180.6382,-3419.2103,-1715.3857,5376.1986,1116.4057,95.8517,-3606.1358,5230.4174,-6392.4098,6561.4731,3607.8331,6530.9842,6178.9487,-4683.4244,-3716.2203,-5671.9836,-4775.5274,1100.3095,2490.6383,-2334.8772,-2062.2505,3340.7352,-6120.8080,-3886.9010,6187.9852,5153.4227,6915.6191,5035.2575,-1042.8164,-3855.9070,-2146.8315,-2684.8413,4487.9928,-3340.6636,-6579.7672,-5484.6515,4142.8794,721.2304,-3619.4527,4008.2476,-6693.4255,-360.2689,-2207.9249,1555.5173,-3396.1859,-3903.6323,-5801.4886,0.0000,-1591.1869,6363.7120,6695.8929,-1217.8768,-1509.0086,2762.9717,-5665.9220,-6741.2612,3519.8845,5616.9674,6812.3768,-342.2710,-4216.4261,5946.1084,-6621.6887,-4731.3661,5951.8540,-2695.1238,278.5709,1884.9542,2727.9104,-3582.6513,-883.3833,821.0571,-3513.2036,5939.8311,3498.7318,3480.9462,453.6014,-3802.1924,-4674.9222,5754.6464,5527.0242,288790.0173,290685.2143,291361.4974,291064.3190,289463.7756,290611.4793,298444.4324,294331.1915,-207419259.6381,-207401052.5027,-207420696.5543,-207416853.7243,295102.4385,-207421501.3946,6882.0071,2328.9232,133.8422,3124.4869,1114.9132,437.2303,-2809.7095,4738.0559,-5049.4571,-4882.4713,-3840.4055,-2209.6928,-2812.4297,-5925.2870,404.8768,-3157.6321,1659.0846,-4548.5883,3805.0750,-1010.8621,1584.9622,4072.5319,-795.8599,5160.5392,4590.7566,-5158.9260,4384.7491,-2168.7123,-1886.9660,-3823.6821,-681.0222,592.6568,-2769.7584,2501.1455,3312.8189,-4394.9422,-5981.4158,3747.2269,-1271.1896,6037.1784,3841.4888,2139.1521,-3644.1396,-744.8489,3656.0901,-94.2638,4642.9827,5667.9722,-5560.1764,3461.1001,6055.7018,-3654.7446,5926.6589,-2010.2803,1745.8628,444.0444,3204.2031,1958.9447,-5011.6989,1386.9572,-2761.6501,-3795.1156,5735.3289,-4117.3847,-1482.9635,-3427.6019,0.0000,6558.7514,-2269.6107,650.9246,-5113.9407,4981.1853,6326.1390,-2791.9556,-626.8195,2399.2436,649.8844,278.8426,-6150.9503,-3077.0860,-3095.2411,593.1113,170.9031,3132.0823,3429.8781,5117.7642,5674.5237,-6074.4149,-2189.1474,-4056.3836,4998.3710,5739.1127,2361.6483,2034.1720,-2207.0258,5808.6988,-2701.8410,4449.9111,1315.4828,3237.4769,192303.3215,185818.3745,196451.6538,195883.4392,187430.4334,189074.4916,190107.6962,190465.8005,285473284.6985,285412665.3494,285428184.8651,285452449.0847,191697.9434,285453966.2705,-873.7359,-4413.9589,-3703.1513,2316.4369,-4814.5136,-4649.6441,-2687.0958,-9.1968,-4140.9203,613.7907,-4526.2279,-2202.3962,-5724.5652,2917.5903,-5519.2604,4028.2905,1442.1728,-4166.9464,5456.6503,-2941.9936,5825.7464,5257.5480,-4101.4214,4442.0934,5165.7197,-2647.2211,625.5253,1547.8443,889.4826,4472.3916,2131.7251,-3033.2874,4271.5379,5167.8892,-2196.1077,-2434.3520,-3331.6485,5241.7019,-6425.8958,2682.4791,4623.1135,2172.5498,4245.9255,2545.4166,-2790.5914,512.4870,-840.7598,3822.5497,789.1458,5409.8215,1425.9878,3590.6576,-1120.2009,-849.4283,-3791.1312,5495.5118,6095.9357,5454.7036,2203.9972,-884.2196,6340.8478,5335.6115,3329.4179,-4365.7956,-5286.8159,964.5715,0.0000,1496.6279,1298.8385,-1497.4967,4540.8360,4453.4351,210.5663,2545.6238,-594.6338,-5424.9161,3801.1700,70.2004,-2881.7832,4559.1599,1275.1801,1535.7807,5029.0868,-1636.8548,5352.7024,-4688.2683,-2868.1974,1831.7723,5454.4544,-5542.1653,4687.6288,-338.1481,2638.4602,-5310.3332,5436.2363,3711.2586,-5114.4554,-2499.5105,3431.1461,-2388.0296,123262.8859,121937.9723,125001.1648,126678.9723,129531.3877,120153.1013,115711.4065,125045.0436,74674823.9119,74671333.9901,74664693.6988,74662497.2206,123935.0151,74668566.6410,
300.000,-653.2552,-2875.5753,6136.5996,6340.1659,-3368.9806,-3847.3707,4246.4342,-3966.2744,950.4375,-5561.6566,-4655.4135,6291.5070,-2526.4250,153.7817,4303.4942,-5970.3311,6105.3979,-4754.6688,12.8859,6169.8658,-1370.9631,457.9661,4293.0774,3131.6143,2012.5889,-4883.4119,5864.4959,-6264.8130,5669.3591,2859.2930,5537.2966,5283.7641,-5904.0104,-3023.8324,-4992.8767,-5285.4958,-538.9790,2497.2648,-2380.5298,-484.4977,3905.6388,-4855.2515,-5422.0527,6349.8630,6219.4338,6395.1303,5757.5948,939.4894,-4807.6288,-221.7036,-1560.1805,2641.0486,-1961.3287,-6526.2149,-3945.6009,4366.7959,1927.0017,-2292.2651,2843.6838,-5887.6031,-2059.4062,-3583.2982,2656.7703,-5041.9867,-4053.7023,-6464.2927,0.0000,-103.9594,5309.9214,6099.8510,-3236.1181,650.6264,3743.7505,-6568.9739,-6665.5026,4888.6706,4968.9820,6508.4528,-1662.1314,-4966.1407,4681.5230,-5812.2363,-3667.8668,6079.1151,-630.2645,2375.0706,2887.4368,1651.4904,-4285.3589,-2955.5893,2900.3275,-2329.3415,5537.5028,4614.9740,2360.5721,1848.0711,-5332.5606,-2964.7333,4993.9899,6418.3338,284931.8050,286724.4635,287390.0932,287084.7618,285375.3617,286568.7206,294299.1675,290426.5334,-213601034.6991,-213581853.4975,-213601730.9451,-213598446.8493,291026.3642,-213603208.9311,6216.2236,3317.1373,-1675.4962,2122.3710,2608.9250,2063.5257,-3579.2898,5373.1676,-6230.3640,-3908.2071,-1995.9173,-2934.2220,-729.4453,-6636.8137,-1730.1516,-1773.5568,275.3845,-4192.2276,4861.8565,-2695.4984,2135.2398,4093.8103,-2619.5026,4912.9082,5071.3397,-4679.5008,3343.5475,-494.3175,-2901.8163,-5418.0706,-1869.3274,-883.2589,-1218.9634,4386.6706,4742.6658,-2661.2838,-6594.9344,1745.2019,934.6827,5547.7455,1857.4275,3071.6211,-2362.2422,-2097.1343,2795.8740,-713.2278,3671.7468,5156.4516,-4261.8953,4477.9283,6584.3168,-4513.5540,5983.0066,-417.4786,2835.1231,-1682.9517,1391.5614,3694.1826,-6119.9997,2466.4087,-1347.8826,-2114.3399,4292.8423,-3595.3985,718.5932,-2053.7804,0.0000,6913.9059,-3204.2752,-655.6666,-4779.3691,4970.3935,5583.1670,-1415.3173,898.6174,824.1690,-1318.4687,-1240.3876,-5044.4989,-1061.4840,-4176.1719,2085.9470,2015.9690,1446.5752,4110.4698,4976.8080,4220.8181,-6708.1079,-123.0900,-3495.4316,4552.1915,6142.2784,763.6774,183.0404,-4035.2415,4567.2285,-1488.7333,5072.9237,-351.8014,2261.7867,198126.1282,192174.2643,202685.4984,202022.5490,193576.2913,195222.8396,196287.7559,196938.7807,280876054.5558,280815877.2890,280831113.2499,280856126.8435,197872.3738,280856802.2837,-3022.5391,-5228.1707,-2563.3860,542.6732,-5436.9612,-5366.2699,-4108.9558,1783.8026,-2736.4566,-1202.3140,-4712.7580,-109.6027,-6426.8628,1225.9669,-5131.2620,3018.0499,3098.2084,-2762.4224,4889.8683,-1590.6687,6456.8931,5495.2049,-4589.7407,3698.9347,4245.7327,-926.5197,-1196.6908,2905.6513,2609.2043,3184.2134,3670.7243,-4364.2109,3395.0227,4289.8733,-727.6640,-3611.4247,-2071.9732,6198.1216,-6466.3081,4105.3733,5345.1770,3704.2356,3384.5168,800.4306,-1091.2322,2578.3875,978.2909,4509.5797,2258.9862,5075.6402,-396.0759,4362.3173,-2812.8258,-2304.3426,-4889.1437,5066.7205,6503.1618,5271.7005,725.1744,-2604.1174,6473.6284,5516.2788,4569.9613,-3030.5179,-5332.8189,-593.7854,0.0000,-31.7836,2973.2990,-3143.5866,3866.4738,4667.8896,-1592.7969,1117.1106,964.9122,-4794.8091,4470.0095,1602.4359,-4248.9459,4715.4999,2680.4355,2899.1160,5493.3698,-2980.1144,5512.2977,-4223.7415,-4223.4981,40.9561,5385.3400,-5195.2127,4301.8416,1486.7276,4066.9447,-4821.2077,4969.3923,4839.3756,-4153.5908,-3659.4806,4639.6634,-635.1899,123142.0933,121878.3362,124999.2913,126414.7865,129511.4322,120307.2145,115515.9019,125291.1760,74680767.8399,74676850.8770,74670113.4379,74667979.8764,123841.5159,74674286.8443,
600.000,-953.5029,-809.3988,5902.6619,6522.9419,-1611.6310,-2249.0587,2354.5296,-2487.0177,-304.4404,-5737.3298,-5344.8821,5736.3588,-2134.4386,-1080.5118,4087.4222,-6710.4847,5108.5747,-5897.5358,1797.9889,5566.5549,800.8363,2588.1939,2804.0289,4830.3646,3703.0704,-5648.1890,5907.0050,-5543.6909,4200.1385,1861.1212,3996.4516,3885.9417,-6563.5273,-2070.1954,-3833.1752,-5315.9362,-2107.8989,2328.4040,-2271.0466,1177.8393,4137.2561,-3086.9168,-6411.5637,5829.2919,6659.6192,5220.9944,5909.1079,2853.9266,-5286.9467,1693.4071,-265.9213,526.9916,-359.9496,-5850.1528,-2023.4962,4209.7812,3009.6629,-779.8442,1391.4039,-4487.9095,-3603.5155,-4652.4107,3533.4933,-6173.0945,-3830.6673,-6466.1452,0.0000,1393.6832,3712.9026,4901.1445,-4936.7978,2749.1272,4367.0589,-6798.8020,-5901.7623,5800.7262,3849.3968,5540.6072,-2854.9460,-5278.6954,2933.4657,-4416.0127,-2288.5067,5635.0317,1480.0258,4236.6908,3615.1289,410.5702,-4614.4722,-4744.1630,4696.1374,-878.9680,4614.7081,5265.2885,1049.1058,3108.1050,-6349.4821,-955.4391,3751.5848,6644.8393,280968.2872,282629.0160,283292.1268,282982.7310,281159.6245,282403.6293,290024.1637,286420.9057,-219680952.9022,-219660808.1709,-219680915.6346,-219678257.6003,286821.0946,-219683062.6142,4877.1940,4020.6948,-3298.0049,894.3162,3893.8816,3532.2316,-4038.4120,5487.7065,-6784.6471,-2532.5195,22.3564,-3358.2169,1443.7236,-6638.1795,-3681.8485,-245.0310,-1168.8966,-3447.5056,5473.7506,-4105.0858,2552.4809,3763.2542,-4206.2230,4217.7357,5088.1857,-3723.6067,1949.4577,1251.3894,-3653.1676,-6468.0003,-2911.9104,-2314.7413,420.9368,5823.7134,5706.4494,-656.7690,-6577.7376,-447.1708,3043.9373,4536.7738,-310.9325,3730.3820,-871.4488,-3214.0524,1667.7601,-1293.4459,2323.2487,4178.8214,-2517.1207,5070.0135,6416.8775,-4953.9803,5458.6046,1235.6950,3694.2910,-3627.3275,-518.7471,5082.8425,-6591.9731,3327.5954,137.9147,-260.7145,2413.3691,-2745.8091,2838.8260,-463.8793,0.0000,6593.1080,-3848.2932,-1930.7245,-4021.9077,4506.3841,4275.1991,95.2008,2340.9059,-789.7107,-3178.1528,-2648.7025,-3426.3519,1043.5801,-4857.3600,3394.4777,3698.4611,-400.2579,4441.7377,4397.3241,2295.1703,-6671.3638,1933.7052,-2647.1157,3701.3751,5891.4737,-945.0562,-1651.0955,-5467.9991,2893.9426,-172.6233,5236.1745,-2023.8456,1059.5146,203872.0190,198451.9313,208830.5014,208073.9813,199635.5053,201289.6430,202378.3323,203400.0810,276144978.1570,276085266.8659,276100220.4191,276125969.1073,203960.1868,276125794.4218,-4849.4301,-5457.0919,-1140.3205,-1295.2506,-5473.0628,-5506.6246,-5087.0750,3384.1236,-1031.2809,-2888.0252,-4392.8825,1994.8324,-6447.8301,-607.7757,-4191.8108,1683.2564,4411.0550,-1060.0146,3792.5773,-67.9671,6401.7326,5130.0448,-4560.7816,2554.8715,2868.2647,898.0328,-2886.4570,3951.3092,4043.5778,1551.2204,4811.9183,-5224.2247,2153.2043,2934.8194,818.9730,-4402.2951,-590.5799,6486.5922,-5824.0761,5086.8185,5482.7416,4822.9759,2142.0573,-1038.0422,726.3341,4368.2571,2690.9776,4711.0442,3473.8375,4160.8947,-2172.8181,4642.4956,-4199.6938,-3512.7004,-5456.0696,4088.7882,6215.1699,4501.4607,-836.4086,-4040.6708,5914.8431,5102.3411,5295.7687,-1365.6467,-4759.4286,-2085.0415,0.0000,-1556.7845,4322.0073,-4447.6810,2781.3098,4365.6813,-3223.8235,-437.4994,2414.7080,-3644.7614,4635.8340,2954.2037,-5135.5959,4367.6288,3784.7617,3936.9940,5364.8868,-4003.2089,5076.8053,-3310.4154,-5065.4091,-1754.3231,4729.3281,-4291.7166,3450.3249,3138.1920,5057.0172,-3757.3742,3946.2425,5444.8079,-2746.6630,-4426.3667,5329.1994,1188.6076,123022.5505,121820.7486,124995.1267,126145.9205,129488.0531,120467.5494,115325.2098,125432.7273,74686708.6547,74682367.4812,74675533.9023,74673510.9896,123747.9299,74680006.8648,
