sl_10_5400_20281230 Coordinates.csv
2028/12/30 07:47:00.0000 UTC

Generated: Tue Oct  8 21:10:57 2024,
Start: 2028/12/30 07:47:00.00, Stop: 2028/12/30 09:17:00.00,
TIME_UNITS,STARLINK-2295 - X-Coordinate,STARLINK-11175 [DTC] - X-Coordinate,STARLINK-31538 - X-Coordinate,STARLINK-5224 - X-Coordinate,STARLINK-4149 - X-Coordinate,STARLINK-3941 - X-Coordinate,STARLINK-5573 - X-Coordinate,STARLINK-30517 - X-Coordinate,STARLINK-11094 [DTC] - X-Coordinate,STARLINK-3726 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-2295 - Y-Coordinate,STARLINK-11175 [DTC] - Y-Coordinate,STARLINK-31538 - Y-Coordinate,STARLINK-5224 - Y-Coordinate,STARLINK-4149 - Y-Coordinate,STARLINK-3941 - Y-Coordinate,STARLINK-5573 - Y-Coordinate,STARLINK-30517 - Y-Coordinate,STARLINK-11094 [DTC] - Y-Coordinate,STARLINK-3726 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-2295 - Z-Coordinate,STARLINK-11175 [DTC] - Z-Coordinate,STARLINK-31538 - Z-Coordinate,STARLINK-5224 - Z-Coordinate,STARLINK-4149 - Z-Coordinate,STARLINK-3941 - Z-Coordinate,STARLINK-5573 - Z-Coordinate,STARLINK-30517 - Z-Coordinate,STARLINK-11094 [DTC] - Z-Coordinate,STARLINK-3726 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
2700.000,4842.7440,0.0000,1394.7142,-424.6745,-4795.4108,-3825.7729,-2706.1191,3944.5134,4814.0238,5586.1180,304656.7494,269581.8711,291846.3283,290778.9825,285716.0582,286118.4746,283489.3288,287313.6834,-136935297.7481,-136970150.1607,-136974314.0741,-136953335.2580,286450.4540,-136955335.2188,-87.8507,0.0000,-5758.4293,-5487.9853,2888.5386,1768.8958,-5715.4930,4145.2576,-295.4632,1690.1349,-193191.3211,-189767.3259,-197783.0302,-195658.9040,-188410.5442,-191522.2947,-197105.5169,-196620.9646,-127595449.1566,-127595704.5061,-127587580.9193,-127605496.8711,-195825.0330,-127598557.7486,4792.9615,0.0000,3340.2165,-4195.7970,4026.3115,-5486.6382,-2879.3529,3896.2781,4675.7932,3451.5083,166314.1085,160409.8292,165168.4780,163213.1705,169067.5954,162542.4790,153919.1713,161578.7102,2539754.4241,2509842.7486,2554117.8788,2533687.0920,162982.1877,2542247.8149,
3000.000,5425.1219,0.0000,-549.4056,-1180.1291,-3005.1479,-3071.6310,-3557.9231,5505.2343,5330.3665,4932.9882,308642.4025,273574.2606,295819.8060,294626.1745,289724.8733,290175.4461,287531.9002,290969.9441,-134110593.6802,-134145212.7969,-134150101.4809,-134127944.2141,290487.9312,-134130645.9658,-1884.5516,0.0000,-5305.9539,-3928.2740,3626.3514,3737.0097,-5905.8770,3105.7470,-2104.9258,-40.5237,-186663.2528,-184030.9393,-191846.9631,-189750.0302,-182334.1208,-185640.2420,-190978.7565,-190405.1014,-130554204.3527,-130554838.4790,-130546874.0538,-130564404.3857,-189764.6717,-130557411.1151,3671.0733,0.0000,4217.1854,-5575.3761,5034.6182,-4945.8291,-843.1702,2826.5844,3508.2647,4648.8216,166287.3816,160383.4330,165195.5909,162995.1953,169081.3448,162835.3553,153859.1863,161324.0179,2538374.0309,2508238.8025,2552232.8045,2532073.1329,162967.5310,2540610.7888,
3300.000,5475.3578,0.0000,-2462.7792,-1886.6991,-916.5408,-2068.0347,-4038.1150,6530.2314,5298.9539,3797.0191,312486.9268,277445.8336,299662.9614,298328.2214,293604.8675,294114.3424,291443.4403,294456.3001,-131221986.6400,-131256362.3906,-131261967.0034,-131238650.8429,294397.2512,-131242049.9598,-3456.9465,0.0000,-4341.4264,-1982.3734,4058.1659,5344.8232,-5500.8008,1791.5449,-3658.3993,-1805.7401,-180053.3004,-178210.8913,-185827.6151,-183766.7424,-176175.8956,-179697.6867,-184768.6611,-184078.0495,-133450447.2749,-133451448.8218,-133443673.6506,-133460754.6431,-183621.1503,-133453752.8580,2136.4209,0.0000,4616.8467,-6357.3916,5496.4871,-3873.6623,1282.7525,1453.2931,1929.0404,5315.4701,166260.3271,160357.1268,165218.3578,162776.9748,169091.9904,163128.9053,153803.5662,161187.1070,2536994.8180,2506637.7929,2550345.0298,2530481.7630,162952.7702,2538973.9314,
3600.000,4974.5655,0.0000,-4150.5167,-2481.8405,1259.4540,-902.3570,-4120.9786,6919.6187,4708.6444,2304.7642,316188.6523,281194.8512,303374.1706,301881.0444,297354.3857,297934.6032,295222.2201,297800.2581,-128270859.6437,-128304982.3460,-128311292.9962,-128286841.2490,298176.7031,-128290930.1921,-4653.0626,0.0000,-2967.7473,145.8160,4146.0562,6428.8305,-4525.6696,317.1705,-4798.9196,-3423.8256,-173364.5467,-172309.7048,-179727.6109,-177711.4662,-169938.5717,-173699.6442,-178478.0718,-177656.5918,-136282798.1917,-136284155.4816,-136276599.2271,-136293168.7347,-177397.1775,-136286203.0824,361.4934,0.0000,4494.0523,-6458.8117,5362.0308,-2384.6514,3271.8969,-76.1168,123.3720,5375.6540,166232.9465,160330.9137,165236.7071,162559.9614,169099.5472,163421.0186,153752.2898,161177.5150,2535616.6686,2505039.7532,2548454.6366,2528911.9617,162937.9054,2537337.2428,
3900.000,3960.0323,0.0000,-5437.7047,-2905.4058,3303.6564,326.3770,-3820.7959,6636.3346,3608.0492,615.1810,319745.9769,284819.6272,306951.8663,305280.3308,300971.8302,301635.7373,298866.5749,301031.3667,-125258625.4865,-125292485.8581,-125299491.6230,-125273931.1502,301824.6330,-125278699.4406,-5362.8188,0.0000,-1325.5825,2236.1824,3879.5891,6876.8401,-3066.6218,-1188.7227,-5417.1814,-4723.5495,-166600.1084,-166329.9388,-173549.6066,-171586.3110,-163624.8884,-167651.3531,-172109.8642,-171157.3240,-139049907.9604,-139051609.0062,-139044300.8676,-139060298.4992,-171095.4974,-139053412.4812,-1454.1003,0.0000,3862.6518,-5868.7150,4645.8484,-638.5764,4912.2173,-1597.3716,-1696.8047,4822.5624,166205.2412,160304.7964,165250.5757,162346.0927,169104.0294,163708.8645,153705.3375,161296.0916,2534239.4660,2503444.7172,2546561.7057,2527362.7407,162922.9365,2535700.7229,
4200.000,2522.9829,0.0000,-6187.6331,-3105.5813,5010.8047,1515.4555,-3187.7648,5709.7165,2101.9843,-1097.3442,323157.3672,288318.5284,310394.5380,308521.5844,304455.6611,305217.2590,302374.9050,304179.2354,-122186726.0668,-122220315.2362,-122228004.1813,-122201365.2059,305339.4452,-122206799.5931,-5528.1585,0.0000,421.0439,4074.7388,3277.0800,6640.2938,-1262.6841,-2594.4750,-5461.9983,-5562.2603,-159763.1343,-160274.1866,-167296.2892,-165392.9140,-157237.6198,-161558.1870,-165666.9471,-164595.7804,-141750458.6696,-141752491.1873,-141745459.8670,-141760827.1486,-164718.8876,-141754062.9781,-3106.4697,0.0000,2793.9740,-4649.4191,3425.4778,1176.4155,6029.2077,-2947.2840,-3318.2150,3719.1043,166177.2126,160278.7782,165259.9086,162137.9355,169105.4497,163988.6747,153662.6918,161534.5995,2532863.0929,2501852.7192,2544666.3173,2525833.1445,162907.8636,2534064.3718,
4500.000,800.2849,0.0000,-6316.6237,-3045.1902,6210.3957,2566.7482,-2300.3593,4232.1499,341.3106,-2660.9425,326421.3590,291689.9759,313700.7325,311600.2601,307804.3971,308678.5819,305745.6764,307271.3063,-119056631.6957,-119089941.2135,-119098300.4123,-119070616.3315,308719.6023,-119076700.9575,-5147.1914,0.0000,2101.0799,5475.2888,2384.8470,5740.0918,708.0155,-3776.7976,-4943.7776,-5841.7944,-152856.8038,-154145.0754,-160970.3748,-159132.2368,-150779.5733,-155425.4707,-159152.2613,-157985.6557,-144383164.2666,-144385515.6879,-144378789.3593,-144393469.8817,-158270.1590,-144386868.3553,-4410.6838,0.0000,1408.9134,-2930.5213,1833.2161,2864.2529,6504.4390,-3981.4222,-4551.5988,2190.9853,166148.8622,160252.8621,165264.6593,161938.8518,169103.8197,164255.4901,153624.3367,161875.8099,2531487.4317,2500263.7941,2542768.5506,2524322.2504,162892.6866,2532428.1894,
4800.000,-1038.8772,0.0000,-5803.7684,-2707.6329,6784.1777,3394.5180,-1255.4700,2349.3521,-1492.4993,-3923.5811,329536.5583,294932.4452,316869.0542,314512.0379,311016.6164,312018.8565,308977.4211,310330.4790,-115869840.3932,-115902862.2424,-115911877.7982,-115883184.9997,311963.6266,-115889901.5577,-4272.1516,0.0000,3553.2338,6298.6335,1274.2660,4264.8863,2646.2121,-4631.2972,-3930.9661,-5520.4157,-145884.3255,-147945.2647,-154574.6086,-152804.3223,-144253.5887,-149258.1463,-152568.7779,-151338.1595,-146946771.1700,-146949428.6559,-146943034.9312,-146956974.4833,-151752.1534,-146950574.8662,-5221.4266,0.0000,-135.6899,-895.9509,41.9063,4242.5198,6287.7352,-4589.4958,-5253.6874,412.6110,166120.1913,160227.0514,165264.7900,161753.1625,169099.1499,164502.9085,153590.2582,162294.2224,2530112.3646,2498677.9775,2540868.4840,2522829.1679,162877.4055,2530792.1758,
5100.000,-2809.7091,0.0000,-4694.1828,-2101.4653,6678.2556,3932.0220,-157.6894,245.6207,-3206.0947,-4768.0143,332501.6412,298044.4674,319898.1658,317253.3060,314090.9571,315236.7375,312068.7382,313372.7749,-112627877.1717,-112660603.7779,-112670260.8454,-112640598.5272,315070.1000,-112647926.4170,-3001.9593,0.0000,4641.5526,6467.2275,36.5808,2361.9693,4351.7536,-5081.2783,-2540.5595,-4619.0556,-138848.9354,-141677.4457,-148111.7630,-146408.0499,-137662.5367,-143060.2250,-145919.4970,-144661.5501,-149440058.8661,-149443009.3203,-149436975.2200,-149450121.9095,-145167.7434,-149443961.8323,-5448.7317,0.0000,-1664.9652,1235.2956,-1753.9815,5162.4579,5402.1736,-4706.8427,-5343.2837,-1412.9015,166091.2012,160201.3493,165260.2712,161586.2491,169091.4494,164722.9178,153560.4437,162757.5242,2528737.7737,2497095.3054,2538966.1954,2521353.0376,162862.0204,2529156.3309,
5400.000,-4330.1307,0.0000,-3095.1056,-1262.5978,5908.2130,4136.3798,891.1463,-1874.2685,-4614.2989,-5122.6401,335315.3551,301024.6292,322786.7885,319821.9024,317026.1183,318330.0976,315018.2937,316405.3157,-109332293.3058,-109364717.5467,-109375000.3557,-109344410.3498,318037.6652,-109352326.8280,-1470.7548,0.0000,5268.0950,5973.1967,-1224.2457,222.0054,5644.3499,-5084.2603,-924.3511,-3220.6336,-131753.8958,-135344.3393,-141584.6368,-139940.9820,-131009.3174,-136833.9900,-139207.4462,-137960.9007,-151861840.4899,-151865070.5734,-151859422.4956,-151871726.8586,-138519.8302,-151865842.2242,-5067.4273,0.0000,-3006.0863,3232.9904,-3359.8231,5524.9992,3941.7079,-4321.0224,-4810.0871,-3077.3143,166061.8932,160175.7592,165251.0823,161444.4843,169080.7265,164905.9817,153534.8825,163228.8317,2527363.5408,2495515.8145,2537061.7615,2519893.0305,162846.5311,2527520.6548,
