sl_20_86400_20280601 Coordinates.csv
2028/06/01 07:47:00.0000 UTC

Generated: Tue Oct  8 21:41:31 2024,
Start: 2028/06/01 07:47:00.00, Stop: 2028/06/02 07:47:00.00,
TIME_UNITS,STARLINK-4311 - X-Coordinate,STARLINK-30520 - X-Coordinate,STARLINK-31829 - X-Coordinate,STARLINK-3594 - X-Coordinate,STARLINK-4028 - X-Coordinate,STARLINK-11125 [DTC] - X-Coordinate,STARLINK-1172 - X-Coordinate,STARLINK-3136 - X-Coordinate,STARLINK-31916 - X-Coordinate,STARLINK-30462 - X-Coordinate,STARLINK-1513 - X-Coordinate,STARLINK-11250 [DTC] - X-Coordinate,STARLINK-5153 - X-Coordinate,STARLINK-2631 - X-Coordinate,STARLINK-2160 - X-Coordinate,STARLINK-3870 - X-Coordinate,STARLINK-31642 - X-Coordinate,STARLINK-2603 - X-Coordinate,STARLINK-31064 - X-Coordinate,STARLINK-4336 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-4311 - Y-Coordinate,STARLINK-30520 - Y-Coordinate,STARLINK-31829 - Y-Coordinate,STARLINK-3594 - Y-Coordinate,STARLINK-4028 - Y-Coordinate,STARLINK-11125 [DTC] - Y-Coordinate,STARLINK-1172 - Y-Coordinate,STARLINK-3136 - Y-Coordinate,STARLINK-31916 - Y-Coordinate,STARLINK-30462 - Y-Coordinate,STARLINK-1513 - Y-Coordinate,STARLINK-11250 [DTC] - Y-Coordinate,STARLINK-5153 - Y-Coordinate,STARLINK-2631 - Y-Coordinate,STARLINK-2160 - Y-Coordinate,STARLINK-3870 - Y-Coordinate,STARLINK-31642 - Y-Coordinate,STARLINK-2603 - Y-Coordinate,STARLINK-31064 - Y-Coordinate,STARLINK-4336 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-4311 - Z-Coordinate,STARLINK-30520 - Z-Coordinate,STARLINK-31829 - Z-Coordinate,STARLINK-3594 - Z-Coordinate,STARLINK-4028 - Z-Coordinate,STARLINK-11125 [DTC] - Z-Coordinate,STARLINK-1172 - Z-Coordinate,STARLINK-3136 - Z-Coordinate,STARLINK-31916 - Z-Coordinate,STARLINK-30462 - Z-Coordinate,STARLINK-1513 - Z-Coordinate,STARLINK-11250 [DTC] - Z-Coordinate,STARLINK-5153 - Z-Coordinate,STARLINK-2631 - Z-Coordinate,STARLINK-2160 - Z-Coordinate,STARLINK-3870 - Z-Coordinate,STARLINK-31642 - Z-Coordinate,STARLINK-2603 - Z-Coordinate,STARLINK-31064 - Z-Coordinate,STARLINK-4336 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-3984.8289,-5304.6053,-4733.7083,-3165.0961,-978.0004,5631.0515,6385.4683,-3439.8713,1981.2831,-6670.4584,-1433.6079,-5248.2528,-5756.9896,-4020.7231,-1444.9600,5230.8775,-2887.7357,-4709.4357,734.8974,-5983.7909,343179.7489,374514.5979,353681.0988,353639.3448,356495.4744,356718.5461,362902.5188,359141.2494,-236490487.2663,-236466628.1012,-236494097.4490,-236505517.6054,359225.9725,-236505450.7223,-1242.5489,-3187.9962,2705.1468,-4273.4644,-6174.8948,1819.6512,314.6863,-5697.6932,5115.2698,776.9323,5106.5232,-1369.9265,663.1449,-3044.4247,5729.9664,3844.2902,5819.1486,-2263.7679,6493.7012,-3508.5501,93382.4479,79494.2565,90239.8841,89424.1506,81313.8355,83301.8624,88163.9959,89573.0300,244838337.8242,244803377.5292,244823941.6919,244823876.0303,87858.0676,244830786.6056,-5535.2005,3102.8216,4191.3798,4388.7299,-2969.5410,3211.9811,1769.3364,1854.2692,-4077.1155,-1686.5377,-4441.0833,3899.8095,3692.7669,4599.3616,3431.3643,2333.3854,-2118.7109,4408.1599,-2040.9561,-99.9346,-11081.0703,-12494.3720,-11875.7559,-10377.2552,-7409.6302,-16708.7760,-21276.0098,-13407.3485,117226149.5189,117204521.3450,117196606.6481,117220133.0597,-13020.4846,117214468.1383,
3600.000,5137.7617,5033.2489,4529.8693,4247.5904,3001.5130,-3241.7948,-5242.4588,4542.8801,-5302.0601,4360.2656,-498.4998,2616.7839,6282.7669,6623.3148,-2293.7270,-6088.2982,-608.8527,6819.7123,-3200.2534,2988.3164,309558.6666,343202.4045,321156.4668,321982.7912,323130.7716,323927.1429,328762.1532,326220.7434,-291812857.7310,-291784740.5812,-291819267.6844,-291822565.3245,325721.7208,-291828795.5407,4555.1929,-654.8113,-5178.8234,30.7597,3048.8562,2427.3043,2083.5615,4559.5111,-4231.7471,-3150.4860,-6865.0512,-3354.8940,-2733.6282,1550.3683,-3415.5886,-2493.2640,-4333.1627,446.6320,-5735.8437,3969.8479,175278.2529,169897.9201,178608.6539,176988.8982,168177.5906,171223.3585,174806.3224,173414.0339,175221653.7331,175197556.9181,175214112.7584,175210518.4050,175039.0788,175214129.0332,920.4677,-4720.1081,-142.2296,-5445.1803,5426.3897,-5388.6344,3485.0183,2511.4201,811.7230,4346.5994,636.2229,-5161.5417,590.7441,-654.2895,-5466.2155,2078.3334,5235.6038,-357.9872,-1932.2170,-4844.7695,-13074.6042,-14403.5378,-12646.7895,-14385.5860,-8429.2146,-14982.1170,-23826.3470,-14009.8232,117268993.5327,117246394.4941,117240067.7024,117257242.1714,-14682.8808,117258661.7523,
7200.000,-2449.6876,-4009.3803,-2166.6199,-4970.9513,-5190.0508,303.2270,131.6343,-4304.8144,5925.7364,-822.3706,1990.5983,271.7683,-3680.5593,-5652.9103,5818.0579,4533.5799,4746.3413,-5362.2505,4664.3905,808.9266,256989.2393,290263.6814,268196.3481,272152.8029,269133.5146,270786.7223,274196.2200,270686.3845,-327215465.5373,-327186175.7445,-327227705.7086,-327229895.4042,271445.0308,-327232310.2550,-4917.0142,4483.5114,5148.5307,3743.6126,668.3954,-6095.3467,-4140.4558,-993.7942,1512.7774,5342.9937,5588.9365,6509.8907,3676.1188,587.0199,741.4920,-549.2085,1947.1757,1515.2575,2192.5372,-444.8499,246427.1254,249753.1906,255669.1080,252750.0811,243987.0380,251420.9479,250010.3464,252299.3255,93657091.3314,93644195.0008,93654049.1462,93653337.4342,251032.0582,93649058.3435,4214.6942,3429.2934,-4024.4820,2973.3312,-4532.6698,2842.0120,-5188.9330,-5321.5053,3035.4218,-4328.7723,3541.8600,1487.3233,-4504.3445,-3796.8908,3505.0058,-5180.6066,-4514.5337,-3977.6934,4494.4138,6865.0576,-15090.4731,-16314.2326,-13962.0177,-17953.8071,-9893.2987,-14007.1296,-25723.1166,-17307.9550,117311130.3396,117288288.7238,117284623.6269,117296174.6409,-16343.8042,117302817.2677,
10800.000,-652.2897,2349.2173,-1938.3744,4204.7262,6092.3049,1873.0002,4399.1605,3708.5620,-4314.5030,-2336.9322,-3689.7387,-2423.6829,-810.4418,2168.4763,-6652.0833,-2133.1721,-6815.3908,1474.0480,-5194.4764,-1866.6593,188671.8404,218999.2740,198087.6660,204119.8440,197888.0944,199849.2051,202766.4265,200844.6950,-340284943.0236,-340257388.0889,-340304543.8599,-340309004.2856,199866.2890,-340302371.0164,990.7432,-6516.2174,-3673.7436,-5292.1435,-3178.5678,6096.5335,4715.0629,-3365.1860,2531.0224,-6311.5193,-1946.0275,-5090.9121,-4227.5758,-3512.7588,1234.6197,4324.9083,112.3184,-3890.7547,2280.8609,-4623.6376,302635.7156,313938.4591,316484.8801,310292.5354,303916.0697,315247.0259,309139.6632,310010.4910,5711677.1892,5709478.2843,5709513.0305,5708153.4641,310989.3408,5702704.2184,-6830.3630,-52.9062,5478.2017,1386.7510,792.3363,2164.1937,1556.4494,4753.2493,-4658.6240,1611.4286,-5518.5241,3583.9879,5352.7647,5434.2617,983.9035,4926.7503,443.7197,5422.2541,-3834.7998,-4827.6240,-17127.1902,-18223.6092,-15913.9162,-17533.1233,-11789.5052,-18822.2049,-26987.5652,-16816.5478,117352690.6672,117330215.0753,117330517.2568,117340914.5181,-18003.0849,117346934.6763,
14400.000,895.5821,224.8994,5682.6709,-1189.6840,-4442.3851,-3601.2554,-5132.4576,-2922.7930,1746.9086,4220.0691,5285.4455,4130.9293,4594.7662,1342.7304,3940.4625,165.7572,5230.3121,2249.4058,4266.6062,-76.5767,108675.0100,133903.9053,115250.0566,121010.8288,113886.9849,115287.3823,118992.6019,114666.6764,-330132086.7923,-330108796.6386,-330158422.7279,-330161709.3323,115559.8094,-330149602.8353,4380.1260,6049.1629,2071.6029,4736.1688,4053.8153,-2084.1877,-2072.4455,6147.0510,-5964.0622,5070.9863,-1926.5998,68.6645,4403.5948,5941.2678,-2899.8789,-6730.6010,-1943.8773,5735.3019,-5337.0101,6935.0615,340631.4442,358320.9628,357097.6468,349042.8981,344182.3406,355969.4977,348603.3209,351653.1206,-82612854.8165,-82605557.0071,-82618162.4644,-82622666.0979,351089.0026,-82622983.0810,5284.2722,-3375.7160,-3287.2148,-4882.4469,3411.1925,-5303.0188,3650.8022,-1213.6914,2831.6990,2086.0746,4009.0264,-5260.6839,-2614.8436,-3102.2240,-4781.6262,-1528.5585,3930.7577,-2985.8646,395.8048,-123.6005,-19182.1897,-20129.2708,-18423.8943,-16863.5460,-14129.4905,-23883.1064,-27606.0107,-21082.4379,117393840.1095,117372184.8794,117377945.5957,117388668.1570,-19660.5531,117391013.9700,
18000.000,1430.7601,-3412.8294,-6773.2838,-3051.5351,503.8465,4761.7397,2913.7827,1150.1968,874.0731,-4988.8564,-5507.5032,-4638.9285,-5801.8871,-3331.7870,553.3431,1438.3451,-1095.4197,-4111.4400,-1443.5770,1923.2844,21666.5275,40379.8023,24985.8933,30014.8190,22422.5889,23431.2207,28044.0576,24777.1709,-297452330.8555,-297435327.4440,-297482423.7582,-297481003.0044,23911.0909,-297469397.6970,-6756.5801,-3742.5504,-482.8657,-3326.4921,-4149.4575,-2871.1080,-3033.0949,-6061.4742,6689.1176,-1658.8096,4180.6302,4415.8856,-3159.6078,-5765.2642,4533.7055,6106.2110,4005.2879,-5223.8343,5809.2067,-4440.1243,358235.5707,380028.5597,374826.1280,366186.6914,362307.9486,373202.2327,366044.9685,368481.1470,-165289613.5861,-165274546.9174,-165301187.0172,-165307131.4491,368778.7239,-165300839.5059,-570.2155,4716.7349,-1125.1061,5209.3377,-5519.0402,3792.9200,-5137.6039,-3122.3440,1068.2575,-4508.4887,-3.6697,1907.2886,-1916.9078,-1533.9579,5078.3531,-2883.4919,-5428.1601,-1628.8061,3310.3103,4961.6459,-21250.0889,-22029.0857,-21263.3120,-16832.7395,-16951.5845,-27970.0910,-27527.3362,-19749.7238,117434768.4019,117414209.9504,117426920.2993,117437159.0506,-21316.0395,117435055.1405,
21600.000,-2954.3682,6082.6977,4673.2412,6235.1624,3712.5370,-3998.8530,-132.4748,1914.5133,-3392.1448,4964.7539,3251.3717,2390.5315,4574.1740,3986.8474,-4020.6860,-3238.2919,-2841.5804,4268.8364,-2654.4552,-689.8771,-67411.3002,-55609.8363,-66868.2327,-62671.7643,-70769.8189,-69549.1706,-64660.5714,-69732.6366,-244478106.3954,-244468833.4378,-244507331.4543,-244500567.3825,-69227.6738,-244494285.3375,4337.9512,946.9971,-1663.0047,1979.2373,4074.2323,5327.0375,6495.9197,3766.5835,-4196.0559,-2491.9733,-4584.6004,-5329.9769,-49.1961,2349.6499,-5264.3882,-2785.6150,-5486.1343,1755.0144,-4272.2446,-650.4189,354466.4068,377640.9743,368492.6663,360235.7151,357345.1926,366613.4833,360450.7981,363042.1129,-236677760.6687,-236657008.2442,-236696378.4221,-236700054.8623,362938.3596,-236689768.6213,-4528.1831,-3182.2086,4761.7148,-2207.2129,4170.7125,1006.6809,1339.9981,5459.4019,-4196.8549,4120.7929,-4031.1695,3243.5762,5125.0312,5017.1519,-1703.2360,5410.5292,2905.7897,5041.8694,-4647.4191,-6875.5020,-23317.2892,-23921.0566,-24114.7096,-17358.3537,-20326.9754,-31225.1548,-26656.8694,-24674.8417,117475677.1329,117456302.7935,117477056.1941,117485146.7485,-22969.3749,117479058.1798,
25200.000,929.8134,-6758.8179,-1000.2210,-6516.6980,-5989.5666,352.8619,-2244.7001,-5250.5048,5370.4913,-4076.6328,899.9675,2362.1058,-2484.1352,-4155.1059,5014.1250,5118.9119,4601.4675,-3804.1335,6031.4547,-3187.8495,-153774.0335,-147925.3305,-154360.5607,-151039.1512,-159845.6167,-157691.7744,-154088.7930,-157552.8868,-174826353.2695,-174825649.0485,-174850260.0966,-174840572.3916,-157911.7674,-174841418.9216,349.5907,1490.2704,4361.7461,-374.9947,-3455.3109,-4560.8440,-4939.8350,-1039.9011,23.7325,5466.2293,4066.8860,3289.4426,4144.0979,2464.4407,3607.3342,-1182.9041,4736.4734,2985.4121,1884.4737,4012.8620,329550.9207,351287.5826,338530.2494,331389.1132,330204.2194,336992.3251,332172.9889,333922.0937,-291907333.6546,-291883175.4759,-291930694.1581,-291928901.9630,333950.8520,-291919632.6084,6847.5427,-322.3265,-5232.1227,-2246.6798,-253.0139,-4950.1771,3810.5764,-4380.3206,4214.7053,-1195.4782,5508.2311,-5323.8758,-4900.5284,-4836.9160,-2937.6481,-4482.4383,1737.5123,-4847.5747,2622.0807,4665.3883,-25339.2458,-25803.2180,-26656.8405,-18366.7658,-24323.9459,-33763.9251,-24918.6819,-22853.2349,117516766.6884,117498476.8361,117527481.1695,117531718.0457,-24620.3905,117523023.0796,
28800.000,3600.4426,4822.8442,-2074.6381,4013.0129,5590.2711,4401.1491,4268.4497,6822.5242,-5752.1189,1856.5319,-4853.5071,-6241.4644,633.5193,3633.4325,-4136.4966,-5734.1222,-4383.3139,2895.8278,-6691.3428,6051.1495,-233778.8523,-230648.1229,-231859.7770,-229428.8257,-238204.4511,-235473.6592,-236871.3780,-236469.0713,-93251595.4635,-93259691.8148,-93268009.1880,-93259778.7130,-236483.8353,-93265594.5947,-3090.9193,-3410.7331,-6184.7461,-2033.0346,1347.9175,2280.9241,-299.5754,-974.6340,3506.5287,-6188.4389,-3421.2328,-582.5427,-6712.3607,-5681.7257,460.1151,3784.3149,-1123.3000,-6092.6739,651.6939,-3379.0835,284539.4639,302644.8715,286944.1357,281395.5012,284378.8219,286432.7895,283017.2688,283864.3708,-327211439.7715,-327186210.3130,-327235037.6903,-327226615.8678,283676.9989,-327223491.8285,-5054.0017,3609.2765,2185.4750,5223.1035,-3853.0359,4551.4585,-5076.8438,512.7772,-1139.4269,-2491.6421,-3547.9919,2314.0786,1345.3626,1082.0217,5414.9942,644.9149,-5121.8721,1138.3538,1276.0963,292.6962,-27065.6411,-27673.5452,-28650.7194,-19818.6461,-27878.8087,-35648.1265,-23932.3839,-28052.5611,117558223.2739,117540746.6933,117577144.4550,117575889.4249,-26268.9177,117566949.8320,
