sl_100_5400_20280810 Coordinates.csv
2028/08/10 07:47:00.0000 UTC

Generated: Tue Oct  8 21:40:49 2024,
Start: 2028/08/10 07:47:00.00, Stop: 2028/08/10 09:17:00.00,
TIME_UNITS,STARLINK-5099 - X-Coordinate,STARLINK-1700 - X-Coordinate,STARLINK-4539 - X-Coordinate,STARLINK-3669 - X-Coordinate,STARLINK-32236 - X-Coordinate,STARLINK-31215 - X-Coordinate,STARLINK-5588 - X-Coordinate,STARLINK-31117 - X-Coordinate,STARLINK-3245 - X-Coordinate,STARLINK-3578 - X-Coordinate,STARLINK-30838 - X-Coordinate,STARLINK-11142 [DTC] - X-Coordinate,STARLINK-2491 - X-Coordinate,STARLINK-5542 - X-Coordinate,STARLINK-5926 - X-Coordinate,STARLINK-3849 - X-Coordinate,STARLINK-6309 - X-Coordinate,STARLINK-3068 - X-Coordinate,STARLINK-30205 - X-Coordinate,STARLINK-5255 - X-Coordinate,STARLINK-4088 - X-Coordinate,STARLINK-31099 - X-Coordinate,STARLINK-1721 - X-Coordinate,STARLINK-32304 - X-Coordinate,STARLINK-31021 - X-Coordinate,STARLINK-3738 - X-Coordinate,STARLINK-2356 - X-Coordinate,STARLINK-31935 - X-Coordinate,STARLINK-4575 - X-Coordinate,STARLINK-2063 - X-Coordinate,STARLINK-1480 - X-Coordinate,STARLINK-30507 - X-Coordinate,STARLINK-1784 - X-Coordinate,STARLINK-32156 - X-Coordinate,STARLINK-6344 - X-Coordinate,STARLINK-3764 - X-Coordinate,STARLINK-31680 - X-Coordinate,STARLINK-31820 - X-Coordinate,STARLINK-1227 - X-Coordinate,STARLINK-31902 - X-Coordinate,STARLINK-3533 - X-Coordinate,STARLINK-5813 - X-Coordinate,STARLINK-5218 - X-Coordinate,STARLINK-5146 - X-Coordinate,STARLINK-5197 - X-Coordinate,STARLINK-4252 - X-Coordinate,STARLINK-5141 - X-Coordinate,STARLINK-2231 - X-Coordinate,STARLINK-31240 - X-Coordinate,STARLINK-5019 - X-Coordinate,STARLINK-2410 - X-Coordinate,STARLINK-3774 - X-Coordinate,STARLINK-30910 - X-Coordinate,STARLINK-1776 - X-Coordinate,STARLINK-6338 - X-Coordinate,STARLINK-11082 [DTC] - X-Coordinate,STARLINK-5402 - X-Coordinate,STARLINK-5881 - X-Coordinate,STARLINK-1759 - X-Coordinate,STARLINK-1802 - X-Coordinate,STARLINK-3570 - X-Coordinate,STARLINK-30254 - X-Coordinate,STARLINK-31443 - X-Coordinate,STARLINK-1358 - X-Coordinate,STARLINK-31467 - X-Coordinate,STARLINK-5868 - X-Coordinate,STARLINK-3401 - X-Coordinate,STARLINK-2586 - X-Coordinate,STARLINK-5578 - X-Coordinate,STARLINK-1767 - X-Coordinate,STARLINK-1526 - X-Coordinate,STARLINK-32250 - X-Coordinate,STARLINK-1903 - X-Coordinate,STARLINK-1032 - X-Coordinate,STARLINK-6080 - X-Coordinate,STARLINK-1593 - X-Coordinate,STARLINK-3781 - X-Coordinate,STARLINK-1159 - X-Coordinate,STARLINK-5656 - X-Coordinate,STARLINK-3605 - X-Coordinate,STARLINK-1692 - X-Coordinate,STARLINK-5281 - X-Coordinate,STARLINK-1215 - X-Coordinate,STARLINK-6146 - X-Coordinate,STARLINK-4591 - X-Coordinate,STARLINK-4343 - X-Coordinate,STARLINK-5145 - X-Coordinate,STARLINK-5780 - X-Coordinate,STARLINK-3588 - X-Coordinate,STARLINK-5914 - X-Coordinate,STARLINK-4346 - X-Coordinate,STARLINK-3797 - X-Coordinate,STARLINK-2741 - X-Coordinate,STARLINK-6075 - X-Coordinate,STARLINK-3091 - X-Coordinate,STARLINK-3832 - X-Coordinate,STARLINK-3580 - X-Coordinate,STARLINK-5710 - X-Coordinate,STARLINK-2113 - X-Coordinate,STARLINK-31824 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5099 - Y-Coordinate,STARLINK-1700 - Y-Coordinate,STARLINK-4539 - Y-Coordinate,STARLINK-3669 - Y-Coordinate,STARLINK-32236 - Y-Coordinate,STARLINK-31215 - Y-Coordinate,STARLINK-5588 - Y-Coordinate,STARLINK-31117 - Y-Coordinate,STARLINK-3245 - Y-Coordinate,STARLINK-3578 - Y-Coordinate,STARLINK-30838 - Y-Coordinate,STARLINK-11142 [DTC] - Y-Coordinate,STARLINK-2491 - Y-Coordinate,STARLINK-5542 - Y-Coordinate,STARLINK-5926 - Y-Coordinate,STARLINK-3849 - Y-Coordinate,STARLINK-6309 - Y-Coordinate,STARLINK-3068 - Y-Coordinate,STARLINK-30205 - Y-Coordinate,STARLINK-5255 - Y-Coordinate,STARLINK-4088 - Y-Coordinate,STARLINK-31099 - Y-Coordinate,STARLINK-1721 - Y-Coordinate,STARLINK-32304 - Y-Coordinate,STARLINK-31021 - Y-Coordinate,STARLINK-3738 - Y-Coordinate,STARLINK-2356 - Y-Coordinate,STARLINK-31935 - Y-Coordinate,STARLINK-4575 - Y-Coordinate,STARLINK-2063 - Y-Coordinate,STARLINK-1480 - Y-Coordinate,STARLINK-30507 - Y-Coordinate,STARLINK-1784 - Y-Coordinate,STARLINK-32156 - Y-Coordinate,STARLINK-6344 - Y-Coordinate,STARLINK-3764 - Y-Coordinate,STARLINK-31680 - Y-Coordinate,STARLINK-31820 - Y-Coordinate,STARLINK-1227 - Y-Coordinate,STARLINK-31902 - Y-Coordinate,STARLINK-3533 - Y-Coordinate,STARLINK-5813 - Y-Coordinate,STARLINK-5218 - Y-Coordinate,STARLINK-5146 - Y-Coordinate,STARLINK-5197 - Y-Coordinate,STARLINK-4252 - Y-Coordinate,STARLINK-5141 - Y-Coordinate,STARLINK-2231 - Y-Coordinate,STARLINK-31240 - Y-Coordinate,STARLINK-5019 - Y-Coordinate,STARLINK-2410 - Y-Coordinate,STARLINK-3774 - Y-Coordinate,STARLINK-30910 - Y-Coordinate,STARLINK-1776 - Y-Coordinate,STARLINK-6338 - Y-Coordinate,STARLINK-11082 [DTC] - Y-Coordinate,STARLINK-5402 - Y-Coordinate,STARLINK-5881 - Y-Coordinate,STARLINK-1759 - Y-Coordinate,STARLINK-1802 - Y-Coordinate,STARLINK-3570 - Y-Coordinate,STARLINK-30254 - Y-Coordinate,STARLINK-31443 - Y-Coordinate,STARLINK-1358 - Y-Coordinate,STARLINK-31467 - Y-Coordinate,STARLINK-5868 - Y-Coordinate,STARLINK-3401 - Y-Coordinate,STARLINK-2586 - Y-Coordinate,STARLINK-5578 - Y-Coordinate,STARLINK-1767 - Y-Coordinate,STARLINK-1526 - Y-Coordinate,STARLINK-32250 - Y-Coordinate,STARLINK-1903 - Y-Coordinate,STARLINK-1032 - Y-Coordinate,STARLINK-6080 - Y-Coordinate,STARLINK-1593 - Y-Coordinate,STARLINK-3781 - Y-Coordinate,STARLINK-1159 - Y-Coordinate,STARLINK-5656 - Y-Coordinate,STARLINK-3605 - Y-Coordinate,STARLINK-1692 - Y-Coordinate,STARLINK-5281 - Y-Coordinate,STARLINK-1215 - Y-Coordinate,STARLINK-6146 - Y-Coordinate,STARLINK-4591 - Y-Coordinate,STARLINK-4343 - Y-Coordinate,STARLINK-5145 - Y-Coordinate,STARLINK-5780 - Y-Coordinate,STARLINK-3588 - Y-Coordinate,STARLINK-5914 - Y-Coordinate,STARLINK-4346 - Y-Coordinate,STARLINK-3797 - Y-Coordinate,STARLINK-2741 - Y-Coordinate,STARLINK-6075 - Y-Coordinate,STARLINK-3091 - Y-Coordinate,STARLINK-3832 - Y-Coordinate,STARLINK-3580 - Y-Coordinate,STARLINK-5710 - Y-Coordinate,STARLINK-2113 - Y-Coordinate,STARLINK-31824 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5099 - Z-Coordinate,STARLINK-1700 - Z-Coordinate,STARLINK-4539 - Z-Coordinate,STARLINK-3669 - Z-Coordinate,STARLINK-32236 - Z-Coordinate,STARLINK-31215 - Z-Coordinate,STARLINK-5588 - Z-Coordinate,STARLINK-31117 - Z-Coordinate,STARLINK-3245 - Z-Coordinate,STARLINK-3578 - Z-Coordinate,STARLINK-30838 - Z-Coordinate,STARLINK-11142 [DTC] - Z-Coordinate,STARLINK-2491 - Z-Coordinate,STARLINK-5542 - Z-Coordinate,STARLINK-5926 - Z-Coordinate,STARLINK-3849 - Z-Coordinate,STARLINK-6309 - Z-Coordinate,STARLINK-3068 - Z-Coordinate,STARLINK-30205 - Z-Coordinate,STARLINK-5255 - Z-Coordinate,STARLINK-4088 - Z-Coordinate,STARLINK-31099 - Z-Coordinate,STARLINK-1721 - Z-Coordinate,STARLINK-32304 - Z-Coordinate,STARLINK-31021 - Z-Coordinate,STARLINK-3738 - Z-Coordinate,STARLINK-2356 - Z-Coordinate,STARLINK-31935 - Z-Coordinate,STARLINK-4575 - Z-Coordinate,STARLINK-2063 - Z-Coordinate,STARLINK-1480 - Z-Coordinate,STARLINK-30507 - Z-Coordinate,STARLINK-1784 - Z-Coordinate,STARLINK-32156 - Z-Coordinate,STARLINK-6344 - Z-Coordinate,STARLINK-3764 - Z-Coordinate,STARLINK-31680 - Z-Coordinate,STARLINK-31820 - Z-Coordinate,STARLINK-1227 - Z-Coordinate,STARLINK-31902 - Z-Coordinate,STARLINK-3533 - Z-Coordinate,STARLINK-5813 - Z-Coordinate,STARLINK-5218 - Z-Coordinate,STARLINK-5146 - Z-Coordinate,STARLINK-5197 - Z-Coordinate,STARLINK-4252 - Z-Coordinate,STARLINK-5141 - Z-Coordinate,STARLINK-2231 - Z-Coordinate,STARLINK-31240 - Z-Coordinate,STARLINK-5019 - Z-Coordinate,STARLINK-2410 - Z-Coordinate,STARLINK-3774 - Z-Coordinate,STARLINK-30910 - Z-Coordinate,STARLINK-1776 - Z-Coordinate,STARLINK-6338 - Z-Coordinate,STARLINK-11082 [DTC] - Z-Coordinate,STARLINK-5402 - Z-Coordinate,STARLINK-5881 - Z-Coordinate,STARLINK-1759 - Z-Coordinate,STARLINK-1802 - Z-Coordinate,STARLINK-3570 - Z-Coordinate,STARLINK-30254 - Z-Coordinate,STARLINK-31443 - Z-Coordinate,STARLINK-1358 - Z-Coordinate,STARLINK-31467 - Z-Coordinate,STARLINK-5868 - Z-Coordinate,STARLINK-3401 - Z-Coordinate,STARLINK-2586 - Z-Coordinate,STARLINK-5578 - Z-Coordinate,STARLINK-1767 - Z-Coordinate,STARLINK-1526 - Z-Coordinate,STARLINK-32250 - Z-Coordinate,STARLINK-1903 - Z-Coordinate,STARLINK-1032 - Z-Coordinate,STARLINK-6080 - Z-Coordinate,STARLINK-1593 - Z-Coordinate,STARLINK-3781 - Z-Coordinate,STARLINK-1159 - Z-Coordinate,STARLINK-5656 - Z-Coordinate,STARLINK-3605 - Z-Coordinate,STARLINK-1692 - Z-Coordinate,STARLINK-5281 - Z-Coordinate,STARLINK-1215 - Z-Coordinate,STARLINK-6146 - Z-Coordinate,STARLINK-4591 - Z-Coordinate,STARLINK-4343 - Z-Coordinate,STARLINK-5145 - Z-Coordinate,STARLINK-5780 - Z-Coordinate,STARLINK-3588 - Z-Coordinate,STARLINK-5914 - Z-Coordinate,STARLINK-4346 - Z-Coordinate,STARLINK-3797 - Z-Coordinate,STARLINK-2741 - Z-Coordinate,STARLINK-6075 - Z-Coordinate,STARLINK-3091 - Z-Coordinate,STARLINK-3832 - Z-Coordinate,STARLINK-3580 - Z-Coordinate,STARLINK-5710 - Z-Coordinate,STARLINK-2113 - Z-Coordinate,STARLINK-31824 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,6494.4522,1887.7702,-2675.7086,-4118.9357,-1413.4937,5925.4774,3908.6587,4986.1382,3057.4896,-4016.4299,-6610.8049,-4828.7260,-3002.1432,2816.1074,-5326.4446,4002.5784,503.7790,4037.7233,2653.5995,5998.9012,-4569.6377,3643.6893,0.0000,6240.7942,-5575.6421,2407.1437,450.4605,2647.4192,2666.3053,3469.7603,851.5375,4165.8403,486.7738,-4448.2966,-5129.2384,4517.6358,3989.8167,2082.8595,546.6086,4520.2513,5565.9187,-3858.4965,2554.5302,-2291.0936,-497.2753,-6114.1921,4550.9222,-84.2601,-3347.2041,-2377.0227,-2126.6787,391.7109,1856.1181,-6154.1237,6399.3915,-4611.9626,-756.7303,-4823.5665,3020.8271,-4053.5729,-3752.7093,-1561.2975,-4835.1234,2212.2151,628.0626,614.8292,1863.3343,-261.5010,-4947.9614,5589.4477,3296.4315,4.0299,-799.3394,979.9163,-2655.2733,-4835.8318,2670.0687,595.1099,6241.2496,6720.5947,-2345.8137,-5037.9155,2966.5883,5034.7514,3818.0594,5452.4728,-2721.7086,5001.2961,-3809.4208,1872.8912,5905.7482,4261.1910,-4068.7625,-1185.2239,-691.7379,4338.5036,-1144.6063,-2268.3401,4182.1165,-5023.4025,-174939.5900,-141182.9103,-164227.2809,-163193.5825,-154619.5132,-156306.1206,-158608.2128,-160498.0421,-273272474.0755,-273255522.1449,-273305187.0227,-273287508.6081,-159703.3474,-273291596.3486,628.8637,-6454.6423,3999.2136,-485.5276,-3866.8007,-1964.6694,3666.9595,4149.7449,4673.8179,-1211.2412,-1228.3886,3176.6181,5154.4072,-6201.3203,-3411.0009,2803.9380,5083.1413,2477.4741,4780.5080,-3049.8065,4868.8926,-2546.9405,0.0000,-2265.0379,2810.7300,6319.5424,-6807.2949,4693.8275,-3990.9439,2786.1885,-5393.1320,-3305.1725,-6848.6997,-4953.4889,2774.2200,3106.1592,4218.9460,4682.3010,6386.0720,2869.1440,-3908.4687,3499.8198,-5978.2959,5895.4481,-4121.6129,-3010.6655,-2288.4408,-6729.7557,-5412.9070,-418.7700,6387.9932,4137.3055,6220.4034,-833.1313,-1406.1143,-3837.6052,6556.6170,4551.4236,4042.2682,2906.9356,-1761.1788,6668.6562,2231.0972,-3588.7309,6692.2190,2849.9407,6454.8159,6668.3186,-2375.2797,745.9740,4407.3226,4163.0039,4052.7084,6700.1742,5426.8822,1393.0298,-6139.0496,5732.7208,-1870.4335,-1107.3107,-5130.4499,979.6128,-6054.0487,-3085.9253,-2592.9763,3681.9027,4065.3757,-3660.5644,5699.3483,-1465.7868,3235.2073,266.2302,1483.6971,5131.4779,-4073.9912,-2467.3172,5195.5469,5065.7665,-2028.0962,4568.8950,-372628.3435,-357635.9266,-369043.2261,-369690.2656,-370102.0110,-369037.0307,-361603.1836,-364739.3819,150591537.2218,150606828.0805,150584997.1304,150580393.2255,-365101.5834,150584715.8828,2349.0878,-1598.7667,4944.1525,5504.6430,-5489.8393,-2860.6328,4367.0682,2416.9957,-4084.1502,5457.2064,-1743.2352,-3355.5471,3440.6365,-1348.8338,-2884.9406,4866.3394,4664.1893,5075.3413,4214.1475,-1540.4229,-2040.9029,-5309.9649,0.0000,1401.9559,2985.3608,1269.9111,241.1415,4137.0998,-4950.2381,5322.0894,4218.5572,4404.5123,-596.8538,321.4456,3727.6529,4190.8714,-3580.4888,-4488.9919,-2598.6987,-4219.4877,-1208.0940,-4611.4900,-2467.2790,-2779.1632,5503.6317,-1256.2209,4677.3821,828.5015,-2524.0617,6501.5562,-1317.2578,5486.4587,2150.4359,2403.4159,-2217.9254,2991.7586,-2088.0277,1990.1894,-4725.3487,-4757.3493,5502.9078,354.7136,4208.1137,-5486.6784,-959.5041,6296.4834,-1388.3956,767.6437,-4241.3253,-3908.3594,-4007.2562,5449.0978,-5487.2579,-1429.6239,3363.0813,-4455.3640,993.9838,-3743.8349,2215.2883,-1022.9483,3587.9528,4598.8108,1439.3987,3634.0951,5151.0932,-2216.3687,-4887.5732,-3055.0400,703.0375,6514.9222,-1639.1134,5422.2344,5296.4494,4512.6088,5581.9841,4776.3823,-4396.3897,-4142.7903,-5101.4323,-755.5440,72246.3024,67206.4535,69902.1967,71000.5002,74234.7698,65120.0734,60263.8416,67013.1837,135028092.4807,135008527.1471,135023767.6458,135037519.8291,68588.2119,135030370.3256,
300.000,5719.8355,479.6582,-566.1460,-4261.2230,-3363.6393,5638.7151,4764.9432,6025.1131,4671.2475,-4765.2022,-6935.0594,-4464.9852,-1196.1453,1418.5316,-4728.6497,4165.5302,2596.9558,3189.1311,4485.3196,5493.8396,-3080.5703,1835.2135,0.0000,5136.9165,-5064.5676,3541.9350,-776.0616,3982.0173,1495.6555,4115.7141,-598.9176,3080.4067,-757.8834,-5054.6514,-3491.0888,5921.2807,4291.8705,3869.5525,1791.7655,5790.4230,4844.2809,-4051.8565,1495.6867,-677.0021,-2584.9034,-5938.1144,3559.1873,-1308.8534,-4831.2572,-2297.0638,-960.7977,2486.6693,2847.2533,-5372.3387,5303.4617,-5826.2892,905.9534,-3823.4298,3769.7780,-3551.8907,-4652.9008,-0.0977,-4746.0100,160.9206,2100.5117,2531.2303,3045.0471,996.8943,-5104.0918,6378.4893,3866.6075,2141.6723,1356.0475,2195.8918,-1234.2568,-4980.6110,1290.1469,2114.9055,5921.0084,6445.3451,-3246.3045,-5355.9190,1536.5313,4382.0144,1957.9268,4329.3641,-1592.5214,3292.7362,-2720.8638,359.8488,4916.7614,3769.5511,-3701.1578,762.0003,-2054.3862,2511.1370,711.3140,-642.6370,3842.3895,-3875.8581,-166999.4015,-133547.0884,-156502.6240,-155381.9437,-146798.8172,-148506.7090,-150809.0387,-152262.2322,-276493790.4767,-276477360.8970,-276526610.8145,-276508206.5079,-151914.1749,-276512852.1713,-751.5875,-6096.7196,4157.0145,1663.6629,-2918.1790,-3621.9651,1713.8404,3345.6385,4358.3535,765.7137,276.3889,4656.9791,4933.0576,-6792.2456,-2166.0918,707.9387,4855.8401,722.8159,4077.3138,-4169.1117,5132.9826,-3732.7135,0.0000,-3197.4874,4424.6152,5875.9704,-6600.0272,3030.8328,-5494.0461,721.4471,-6262.8459,-5004.9048,-6437.9356,-3789.2682,3972.7937,2184.9528,2380.1966,4593.3866,5323.4920,1337.4657,-4884.0363,4865.2472,-5274.5964,5460.3215,-3508.7535,-3428.2566,-4153.8660,-6137.3321,-4724.3229,1782.3728,6772.4740,3535.0338,5004.3764,635.7312,-2804.0169,-3053.4114,5994.2986,5753.4011,2111.8996,4685.2680,181.4329,6598.1730,3945.8105,-4307.9506,5991.2302,3521.4065,6130.6552,6146.1356,-274.5902,-667.1945,2532.9508,3704.0280,4267.2984,6550.2804,6469.2591,3196.8902,-6061.1317,6147.1231,-3430.8336,-2287.9577,-3446.5514,2748.6898,-5965.4277,-4777.6446,-3660.4064,3447.7599,5565.0490,-4526.5398,6234.2479,-3052.0117,3188.4902,-1857.3582,3513.8967,5741.8032,-5137.8258,-3465.2549,4429.5718,6113.9117,-3957.7287,5566.8591,-376331.9851,-360576.2793,-372218.4236,-372859.2278,-373391.0088,-372273.4570,-364951.1005,-368094.2099,144588844.3530,144604742.2439,144581712.1527,144578098.3065,-368382.2966,144581944.3803,3845.0408,-3224.8169,5476.0449,5156.4582,-5221.1255,-1490.8434,4705.9285,677.0404,-2654.0911,4909.4376,-233.5252,-1739.9341,4650.4371,183.9082,-4613.5642,5449.8330,4187.5633,6122.3510,3306.3665,265.9757,-3595.4392,-5536.6929,0.0000,3066.5040,1643.8579,-547.2690,-1569.2839,4593.8277,-3887.2748,5537.7596,2838.7105,3627.3846,-2344.9520,2118.6755,4462.4123,2795.8809,-4739.5393,-3214.4967,-4036.8203,-3338.8743,607.4256,-2882.5038,-4278.3257,-4179.0666,5342.2555,989.0630,4232.5919,2563.7065,-1093.9618,6296.3500,497.9378,5357.0968,3684.9836,3879.0727,-3445.6008,1308.9470,-3344.2071,500.2218,-5396.7410,-3596.8418,5079.0897,1863.0986,2828.3171,-5411.8904,-2410.5874,5417.9905,428.6939,2514.6591,-4689.3297,-2434.6519,-4998.7119,5358.3234,-5207.6618,374.6989,2112.7961,-3184.2320,2715.1635,-2226.5581,745.8594,797.4557,4717.4587,3358.2263,3089.4764,2465.4117,5531.4061,-4193.5563,-3782.5758,-4052.5410,-1115.5601,6217.7479,-3702.0085,5474.6901,4558.8009,3817.0409,4200.3361,5422.0469,-5244.6778,-3188.7284,-4146.1523,801.3356,72360.0431,67303.6066,70103.9778,70943.2277,74417.1349,65490.2485,60284.1697,66951.4280,135026043.8980,135006576.0670,135022473.9656,135035407.2746,68704.2129,135028578.2119,
600.000,4397.6616,-1008.4428,1605.1224,-4034.2519,-4993.0202,4798.9531,5200.3937,6463.2614,5808.0295,-5082.2991,-6590.4484,-3624.5841,758.9967,-117.8761,-3693.7226,3973.5157,4432.1807,2083.5802,5873.6189,4436.3585,-1272.6998,-123.3014,0.0000,3484.8345,-4073.6572,4324.1834,-1940.2572,4947.0072,217.5895,4418.0943,-1960.2295,1727.9021,-1952.6748,-5116.9525,-1525.3949,6731.9651,4202.7006,5236.6603,2903.3020,6483.0649,3633.4025,-3867.6377,237.7239,1039.9751,-4427.2722,-5119.2176,2260.1145,-2424.7979,-5821.8835,-2066.6820,308.9078,4345.2882,3587.6275,-4011.6675,3696.5807,-6397.8416,2509.0987,-2455.6647,4204.8195,-2733.7891,-5134.7410,1578.5605,-4185.6696,-1884.1091,3379.7026,4157.2892,3920.1854,2176.2333,-4812.3864,6527.5815,4092.0910,4071.8350,3362.3952,3197.6633,287.0363,-4616.3125,-254.3432,3398.9897,5018.1479,5517.2050,-3845.2777,-5166.1450,-76.2529,3327.8550,-71.1094,2768.4144,-346.7063,1260.3435,-1347.6792,-1127.4110,3416.0103,2962.3537,-3006.3387,2613.2414,-3164.4433,452.1965,2533.0330,1018.3275,3164.7979,-2328.6954,-158979.4576,-125851.0087,-148708.8066,-147502.9416,-138910.9942,-140647.1045,-142939.7380,-143930.2129,-279583281.5432,-279567385.3747,-279616174.8176,-279597119.4094,-144057.7074,-279602279.7768,-2098.1458,-5149.1382,3961.5325,3635.3279,-1729.0579,-4907.2926,-394.3436,2216.7246,3636.9369,2636.4395,1752.3293,5610.9148,4259.7214,-6727.3868,-657.5800,-1464.9104,4195.8906,-1150.8502,3006.2101,-4873.0942,4935.6437,-4604.1642,0.0000,-3827.7403,5598.8725,4835.5700,-5710.6633,1076.5882,-6457.6921,-1398.8258,-6519.7278,-6220.3983,-5384.4444,-2186.4499,4826.3976,1077.0170,281.2964,4059.3039,3743.5386,-300.6378,-5376.2355,5718.7602,-4066.9946,4512.6714,-2603.9041,-3458.6141,-5625.4959,-4898.8264,-3567.9530,3801.9053,6466.2222,2636.6226,3272.0842,2075.4193,-3961.4004,-1949.7726,4864.1739,6393.3752,-18.2183,5986.1372,2074.2069,5871.1154,5228.4230,-4657.6391,4673.0712,3898.4152,5178.0557,4959.4520,1858.1538,-1986.5994,392.6027,2928.5434,4107.8655,5747.8463,6883.3924,4633.2478,-5354.6639,5951.8278,-4645.2424,-3246.5459,-1388.4345,4217.9915,-5298.2064,-5999.5410,-4422.3425,2790.7009,6521.1763,-4989.2938,6148.4107,-4381.3316,2748.5333,-3809.9336,5179.8871,5826.6692,-5713.8318,-4177.0652,3268.2901,6582.3628,-5483.6588,6004.6670,-379865.6972,-363353.9982,-375224.7422,-375854.4043,-376511.9596,-375337.6495,-368132.6542,-371283.8362,138517278.8062,138533770.5435,138509550.5207,138506974.4424,-371496.8177,138510302.7316,4929.9661,-4503.0979,5415.0696,4248.4649,-4378.0042,43.2770,4537.8911,-1135.7041,-938.2268,3826.5091,1301.0509,83.5200,5353.0833,1696.9977,-5853.5852,5442.6331,3260.5841,6519.1508,2040.6343,2043.4732,-4773.6390,-5170.8138,0.0000,4381.0344,125.5779,-2304.5797,-3203.9440,4529.3064,-2401.8640,5163.8320,1151.0824,2457.9334,-3837.7976,3660.8030,4717.7859,1097.8581,-5367.8032,-1577.7461,-5040.5656,-2082.7272,2357.0982,-848.2960,-5636.4532,-5127.8466,4601.3769,3128.1519,3332.3225,4005.6663,457.8026,5421.0274,2258.0299,4643.8325,4808.6884,4887.7572,-4302.4660,-528.6033,-4241.2867,-1043.5031,-5487.5184,-2045.0016,4103.1911,3165.2735,1126.4385,-4756.2533,-3587.3099,3963.2141,2198.3464,3966.0130,-4637.3030,-692.0705,-5427.1813,4676.8610,-4356.5747,2138.6136,634.7282,-1539.8806,4124.0217,-464.5918,-805.1826,2530.6725,5286.1713,1752.3184,4403.1075,1033.1801,5317.3519,-5724.7717,-2270.0505,-4612.7330,-2812.6444,5258.8837,-5368.9154,4935.2169,3315.0479,2714.0775,2372.5698,5482.9002,-5525.7353,-1892.4798,-2741.6205,2268.4676,72473.4409,67400.7983,70303.0552,70881.5430,74596.1804,65866.6632,60309.2948,67019.1720,135023996.2319,135004625.5453,135021186.9504,135033259.7279,68820.1754,135026785.8689,
