sl_100_5400_20280530 Coordinates.csv
2028/05/30 07:47:00.0000 UTC

Generated: Tue Oct  8 21:40:58 2024,
Start: 2028/05/30 07:47:00.00, Stop: 2028/05/30 09:17:00.00,
TIME_UNITS,STARLINK-4476 - X-Coordinate,STARLINK-5585 - X-Coordinate,STARLINK-5166 - X-Coordinate,STARLINK-2549 - X-Coordinate,STARLINK-4617 - X-Coordinate,STARLINK-31919 - X-Coordinate,STARLINK-6104 - X-Coordinate,STARLINK-3702 - X-Coordinate,STARLINK-2234 - X-Coordinate,STARLINK-4723 - X-Coordinate,STARLINK-2609 - X-Coordinate,STARLINK-5672 - X-Coordinate,STARLINK-3947 - X-Coordinate,STARLINK-31494 - X-Coordinate,STARLINK-5733 - X-Coordinate,STARLINK-6205 - X-Coordinate,STARLINK-1067 - X-Coordinate,STARLINK-5580 - X-Coordinate,STARLINK-30122 - X-Coordinate,STARLINK-1455 - X-Coordinate,STARLINK-31789 - X-Coordinate,STARLINK-1234 - X-Coordinate,STARLINK-5991 - X-Coordinate,STARLINK-2024 - X-Coordinate,STARLINK-3192 - X-Coordinate,STARLINK-2087 - X-Coordinate,STARLINK-3999 - X-Coordinate,STARLINK-5421 - X-Coordinate,STARLINK-30817 - X-Coordinate,STARLINK-30593 - X-Coordinate,STARLINK-3823 - X-Coordinate,STARLINK-4312 - X-Coordinate,STARLINK-2268 - X-Coordinate,STARLINK-1735 - X-Coordinate,STARLINK-30810 - X-Coordinate,STARLINK-5069 - X-Coordinate,STARLINK-31724 - X-Coordinate,STARLINK-2685 - X-Coordinate,STARLINK-6302 - X-Coordinate,STARLINK-11110 [DTC] - X-Coordinate,STARLINK-4644 - X-Coordinate,STARLINK-6313 - X-Coordinate,STARLINK-11083 [DTC] - X-Coordinate,STARLINK-30090 - X-Coordinate,STARLINK-5632 - X-Coordinate,STARLINK-5780 - X-Coordinate,STARLINK-4117 - X-Coordinate,STARLINK-5810 - X-Coordinate,STARLINK-3670 - X-Coordinate,STARLINK-31938 - X-Coordinate,STARLINK-3572 - X-Coordinate,STARLINK-1247 - X-Coordinate,STARLINK-5889 - X-Coordinate,STARLINK-4468 - X-Coordinate,STARLINK-5840 - X-Coordinate,STARLINK-3364 - X-Coordinate,STARLINK-5372 - X-Coordinate,STARLINK-2093 - X-Coordinate,STARLINK-3619 - X-Coordinate,STARLINK-5778 - X-Coordinate,STARLINK-31214 - X-Coordinate,STARLINK-30772 - X-Coordinate,STARLINK-11113 [DTC] - X-Coordinate,STARLINK-3937 - X-Coordinate,STARLINK-31895 - X-Coordinate,STARLINK-30926 - X-Coordinate,STARLINK-31964 - X-Coordinate,STARLINK-2322 - X-Coordinate,STARLINK-4439 - X-Coordinate,STARLINK-32269 - X-Coordinate,STARLINK-2188 - X-Coordinate,STARLINK-30848 - X-Coordinate,STARLINK-5016 - X-Coordinate,STARLINK-5842 - X-Coordinate,STARLINK-31901 - X-Coordinate,STARLINK-30887 - X-Coordinate,STARLINK-11264 [DTC] - X-Coordinate,STARLINK-5472 - X-Coordinate,STARLINK-6033 - X-Coordinate,STARLINK-5097 - X-Coordinate,STARLINK-31864 - X-Coordinate,STARLINK-30598 - X-Coordinate,STARLINK-31622 - X-Coordinate,STARLINK-2356 - X-Coordinate,STARLINK-30443 - X-Coordinate,STARLINK-1890 - X-Coordinate,STARLINK-31980 - X-Coordinate,STARLINK-5917 - X-Coordinate,STARLINK-4062 - X-Coordinate,STARLINK-30158 - X-Coordinate,STARLINK-5887 - X-Coordinate,STARLINK-5534 - X-Coordinate,STARLINK-30879 - X-Coordinate,STARLINK-30264 - X-Coordinate,STARLINK-5555 - X-Coordinate,STARLINK-3569 - X-Coordinate,STARLINK-11145 [DTC] - X-Coordinate,STARLINK-31198 - X-Coordinate,STARLINK-6188 - X-Coordinate,STARLINK-6264 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-4476 - Y-Coordinate,STARLINK-5585 - Y-Coordinate,STARLINK-5166 - Y-Coordinate,STARLINK-2549 - Y-Coordinate,STARLINK-4617 - Y-Coordinate,STARLINK-31919 - Y-Coordinate,STARLINK-6104 - Y-Coordinate,STARLINK-3702 - Y-Coordinate,STARLINK-2234 - Y-Coordinate,STARLINK-4723 - Y-Coordinate,STARLINK-2609 - Y-Coordinate,STARLINK-5672 - Y-Coordinate,STARLINK-3947 - Y-Coordinate,STARLINK-31494 - Y-Coordinate,STARLINK-5733 - Y-Coordinate,STARLINK-6205 - Y-Coordinate,STARLINK-1067 - Y-Coordinate,STARLINK-5580 - Y-Coordinate,STARLINK-30122 - Y-Coordinate,STARLINK-1455 - Y-Coordinate,STARLINK-31789 - Y-Coordinate,STARLINK-1234 - Y-Coordinate,STARLINK-5991 - Y-Coordinate,STARLINK-2024 - Y-Coordinate,STARLINK-3192 - Y-Coordinate,STARLINK-2087 - Y-Coordinate,STARLINK-3999 - Y-Coordinate,STARLINK-5421 - Y-Coordinate,STARLINK-30817 - Y-Coordinate,STARLINK-30593 - Y-Coordinate,STARLINK-3823 - Y-Coordinate,STARLINK-4312 - Y-Coordinate,STARLINK-2268 - Y-Coordinate,STARLINK-1735 - Y-Coordinate,STARLINK-30810 - Y-Coordinate,STARLINK-5069 - Y-Coordinate,STARLINK-31724 - Y-Coordinate,STARLINK-2685 - Y-Coordinate,STARLINK-6302 - Y-Coordinate,STARLINK-11110 [DTC] - Y-Coordinate,STARLINK-4644 - Y-Coordinate,STARLINK-6313 - Y-Coordinate,STARLINK-11083 [DTC] - Y-Coordinate,STARLINK-30090 - Y-Coordinate,STARLINK-5632 - Y-Coordinate,STARLINK-5780 - Y-Coordinate,STARLINK-4117 - Y-Coordinate,STARLINK-5810 - Y-Coordinate,STARLINK-3670 - Y-Coordinate,STARLINK-31938 - Y-Coordinate,STARLINK-3572 - Y-Coordinate,STARLINK-1247 - Y-Coordinate,STARLINK-5889 - Y-Coordinate,STARLINK-4468 - Y-Coordinate,STARLINK-5840 - Y-Coordinate,STARLINK-3364 - Y-Coordinate,STARLINK-5372 - Y-Coordinate,STARLINK-2093 - Y-Coordinate,STARLINK-3619 - Y-Coordinate,STARLINK-5778 - Y-Coordinate,STARLINK-31214 - Y-Coordinate,STARLINK-30772 - Y-Coordinate,STARLINK-11113 [DTC] - Y-Coordinate,STARLINK-3937 - Y-Coordinate,STARLINK-31895 - Y-Coordinate,STARLINK-30926 - Y-Coordinate,STARLINK-31964 - Y-Coordinate,STARLINK-2322 - Y-Coordinate,STARLINK-4439 - Y-Coordinate,STARLINK-32269 - Y-Coordinate,STARLINK-2188 - Y-Coordinate,STARLINK-30848 - Y-Coordinate,STARLINK-5016 - Y-Coordinate,STARLINK-5842 - Y-Coordinate,STARLINK-31901 - Y-Coordinate,STARLINK-30887 - Y-Coordinate,STARLINK-11264 [DTC] - Y-Coordinate,STARLINK-5472 - Y-Coordinate,STARLINK-6033 - Y-Coordinate,STARLINK-5097 - Y-Coordinate,STARLINK-31864 - Y-Coordinate,STARLINK-30598 - Y-Coordinate,STARLINK-31622 - Y-Coordinate,STARLINK-2356 - Y-Coordinate,STARLINK-30443 - Y-Coordinate,STARLINK-1890 - Y-Coordinate,STARLINK-31980 - Y-Coordinate,STARLINK-5917 - Y-Coordinate,STARLINK-4062 - Y-Coordinate,STARLINK-30158 - Y-Coordinate,STARLINK-5887 - Y-Coordinate,STARLINK-5534 - Y-Coordinate,STARLINK-30879 - Y-Coordinate,STARLINK-30264 - Y-Coordinate,STARLINK-5555 - Y-Coordinate,STARLINK-3569 - Y-Coordinate,STARLINK-11145 [DTC] - Y-Coordinate,STARLINK-31198 - Y-Coordinate,STARLINK-6188 - Y-Coordinate,STARLINK-6264 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-4476 - Z-Coordinate,STARLINK-5585 - Z-Coordinate,STARLINK-5166 - Z-Coordinate,STARLINK-2549 - Z-Coordinate,STARLINK-4617 - Z-Coordinate,STARLINK-31919 - Z-Coordinate,STARLINK-6104 - Z-Coordinate,STARLINK-3702 - Z-Coordinate,STARLINK-2234 - Z-Coordinate,STARLINK-4723 - Z-Coordinate,STARLINK-2609 - Z-Coordinate,STARLINK-5672 - Z-Coordinate,STARLINK-3947 - Z-Coordinate,STARLINK-31494 - Z-Coordinate,STARLINK-5733 - Z-Coordinate,STARLINK-6205 - Z-Coordinate,STARLINK-1067 - Z-Coordinate,STARLINK-5580 - Z-Coordinate,STARLINK-30122 - Z-Coordinate,STARLINK-1455 - Z-Coordinate,STARLINK-31789 - Z-Coordinate,STARLINK-1234 - Z-Coordinate,STARLINK-5991 - Z-Coordinate,STARLINK-2024 - Z-Coordinate,STARLINK-3192 - Z-Coordinate,STARLINK-2087 - Z-Coordinate,STARLINK-3999 - Z-Coordinate,STARLINK-5421 - Z-Coordinate,STARLINK-30817 - Z-Coordinate,STARLINK-30593 - Z-Coordinate,STARLINK-3823 - Z-Coordinate,STARLINK-4312 - Z-Coordinate,STARLINK-2268 - Z-Coordinate,STARLINK-1735 - Z-Coordinate,STARLINK-30810 - Z-Coordinate,STARLINK-5069 - Z-Coordinate,STARLINK-31724 - Z-Coordinate,STARLINK-2685 - Z-Coordinate,STARLINK-6302 - Z-Coordinate,STARLINK-11110 [DTC] - Z-Coordinate,STARLINK-4644 - Z-Coordinate,STARLINK-6313 - Z-Coordinate,STARLINK-11083 [DTC] - Z-Coordinate,STARLINK-30090 - Z-Coordinate,STARLINK-5632 - Z-Coordinate,STARLINK-5780 - Z-Coordinate,STARLINK-4117 - Z-Coordinate,STARLINK-5810 - Z-Coordinate,STARLINK-3670 - Z-Coordinate,STARLINK-31938 - Z-Coordinate,STARLINK-3572 - Z-Coordinate,STARLINK-1247 - Z-Coordinate,STARLINK-5889 - Z-Coordinate,STARLINK-4468 - Z-Coordinate,STARLINK-5840 - Z-Coordinate,STARLINK-3364 - Z-Coordinate,STARLINK-5372 - Z-Coordinate,STARLINK-2093 - Z-Coordinate,STARLINK-3619 - Z-Coordinate,STARLINK-5778 - Z-Coordinate,STARLINK-31214 - Z-Coordinate,STARLINK-30772 - Z-Coordinate,STARLINK-11113 [DTC] - Z-Coordinate,STARLINK-3937 - Z-Coordinate,STARLINK-31895 - Z-Coordinate,STARLINK-30926 - Z-Coordinate,STARLINK-31964 - Z-Coordinate,STARLINK-2322 - Z-Coordinate,STARLINK-4439 - Z-Coordinate,STARLINK-32269 - Z-Coordinate,STARLINK-2188 - Z-Coordinate,STARLINK-30848 - Z-Coordinate,STARLINK-5016 - Z-Coordinate,STARLINK-5842 - Z-Coordinate,STARLINK-31901 - Z-Coordinate,STARLINK-30887 - Z-Coordinate,STARLINK-11264 [DTC] - Z-Coordinate,STARLINK-5472 - Z-Coordinate,STARLINK-6033 - Z-Coordinate,STARLINK-5097 - Z-Coordinate,STARLINK-31864 - Z-Coordinate,STARLINK-30598 - Z-Coordinate,STARLINK-31622 - Z-Coordinate,STARLINK-2356 - Z-Coordinate,STARLINK-30443 - Z-Coordinate,STARLINK-1890 - Z-Coordinate,STARLINK-31980 - Z-Coordinate,STARLINK-5917 - Z-Coordinate,STARLINK-4062 - Z-Coordinate,STARLINK-30158 - Z-Coordinate,STARLINK-5887 - Z-Coordinate,STARLINK-5534 - Z-Coordinate,STARLINK-30879 - Z-Coordinate,STARLINK-30264 - Z-Coordinate,STARLINK-5555 - Z-Coordinate,STARLINK-3569 - Z-Coordinate,STARLINK-11145 [DTC] - Z-Coordinate,STARLINK-31198 - Z-Coordinate,STARLINK-6188 - Z-Coordinate,STARLINK-6264 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,2966.1609,-2784.9381,-4371.2877,6668.4442,-1422.7842,-624.6966,-5302.1432,4738.2562,1822.9947,2508.0250,-6681.7554,-6773.4181,-5762.6420,1201.2741,4740.7558,6537.5834,2714.3591,-6930.0678,6748.3658,0.0000,-5387.6623,4018.6879,-2146.4288,4167.9731,3695.3131,-815.9482,3630.5198,3607.8269,4809.1793,431.0453,-5880.9990,6088.3813,4399.0810,-4288.7592,2746.2862,-2297.3817,1937.3446,-3735.8130,857.7207,-6476.6139,6127.6014,3748.1017,2175.1393,3057.9412,-1557.7722,-5236.0537,137.0925,-4101.4239,261.9948,-2552.7126,5677.9992,-654.0377,6151.7999,6617.2274,-3644.4330,-2902.1848,-2463.0638,4187.2331,2575.9840,-5313.5240,-4524.1263,-2984.1835,3033.5032,-4336.8524,5802.5108,3586.0878,-6593.9019,-914.9685,-524.8188,2121.9964,-857.7990,11.4473,-6786.0545,2227.2677,0.0000,-3474.1043,4205.2246,-5486.7107,4568.1615,6540.0093,-4244.2847,6279.8043,-2224.4736,2429.3895,4941.7339,-3397.7043,-3531.8246,3470.2616,-2239.3486,-5827.5858,5705.4253,-3196.3806,1147.3101,3456.0646,-4681.6954,-4116.0060,1923.6305,-4414.6003,4144.0606,6121.9187,279529.1981,299548.9429,283495.1266,283430.8294,286011.6881,286298.1992,292647.4019,288834.5568,-234988596.4582,-234969316.2488,-234997919.2061,-235016432.8744,288961.8416,-235006417.2060,-4538.7497,-6102.6986,1255.2628,-32.9185,-229.9227,5738.6970,4131.2857,-4222.9250,3528.1190,3888.0380,-736.2142,1227.4001,2105.5373,-6618.1101,-1949.8982,772.0361,6054.5206,107.8586,923.0496,0.0000,2330.4451,-1627.1771,-2536.6503,-363.9695,-5266.7138,-4511.4254,2006.5532,-4776.0714,4351.5492,-6764.3180,-699.0960,2671.6980,-1190.0110,4183.0918,-5543.9955,618.6276,-5819.3230,-5805.7719,5842.9875,-812.6061,-241.7143,4128.5628,5516.2115,-5518.4733,1971.1642,-63.9882,-6372.9271,1742.4018,-4991.7899,6061.4670,1948.2586,-6840.1636,-257.6701,1620.3474,4561.4249,-2933.6438,-4457.2696,1418.8714,4484.8089,-4133.4090,-2652.1097,-6043.9025,-3223.4487,-3133.3544,-2924.2192,5616.4079,1546.2011,5526.9106,3410.5758,3605.0883,-5611.8496,-5069.0686,223.9466,-2965.6181,0.0000,-4922.6416,1564.9723,-4176.8322,3620.2751,1039.9163,-2102.5228,-520.4267,4459.1294,-3372.0489,3850.2045,2550.8353,5769.3351,-3891.0866,4459.9726,-3695.1619,2854.0527,4840.4585,-4883.0432,-5822.1572,-4327.5164,5490.7008,-5165.4144,-5228.7530,2905.9065,-984.3173,220692.4488,206217.8136,224253.5834,223451.0790,215249.2595,217227.5560,221874.8099,221249.6498,247524124.3862,247494011.9851,247521107.9778,247529711.2186,221694.9984,247522735.2848,-4257.8472,1727.9908,5180.1227,1793.4156,6775.0046,-3631.0452,1658.7957,-2740.4000,-5272.9217,-5110.2494,-930.4639,-658.6023,3178.1218,-1074.9139,-4662.1753,-2186.9260,-1874.4713,-671.9482,1272.4674,0.0000,3323.8591,-5367.5884,-6109.7567,-5494.6345,2510.6616,5023.0280,5503.4926,3220.9778,-2432.2028,304.0880,-3572.9520,1921.6648,4984.3619,3323.7486,-3129.2775,6518.2539,-2984.0330,-382.5875,3603.9016,-1698.2896,3181.2944,4091.4086,3034.1573,2852.8088,-6474.8591,-4512.1453,-2652.2390,5360.3961,-4683.6671,-1813.0335,-3186.8613,-679.9662,3225.5602,1159.3349,3725.8835,5515.3527,-4709.4374,-5233.1364,-4562.0436,-1671.3504,4339.8701,-1397.6285,5045.7213,-4294.3218,-2094.3497,-1906.7385,-424.8648,-3952.8174,-6000.3920,5385.7309,3461.6634,4723.7448,-1345.0020,5848.1686,0.0000,3243.0942,-4891.8512,217.7769,3769.7535,1993.1107,4967.7040,-2905.9261,4643.6452,5413.8645,-2932.3954,-5353.4341,-1064.8633,-4602.3898,-4767.3536,-628.8378,-2729.0715,-3821.9563,4657.5550,-909.3657,2655.3280,-447.3462,3886.7182,131.7013,4700.7652,3068.0244,64972.2598,63238.7048,66308.4418,67818.6394,70780.4223,61475.7308,56915.7426,66915.3136,115058428.1963,115035697.2764,115029922.6193,115054369.8126,65169.2550,115048535.1728,
300.000,986.1712,-4204.9538,-4323.9192,6788.2983,567.6492,1297.9439,-3811.9827,3112.7624,3659.9892,4384.9274,-6222.6446,-6033.8970,-5729.2178,-411.5056,3523.1165,5967.3700,3913.9256,-6770.0346,6355.2768,0.0000,-3845.5004,3546.7865,-314.2299,3590.5059,2815.2307,-2779.7600,4664.5104,1811.9555,6015.3302,-809.9504,-4951.4104,6133.8858,2950.4588,-2503.2966,824.2235,-1535.2300,417.8800,-4510.9724,2518.2983,-5847.2413,5011.2378,4627.1330,3633.9323,1734.9685,539.3539,-4646.4752,-1216.7139,-2133.9798,-1421.7505,-817.5553,6570.5291,-1837.8232,6770.8679,6286.8377,-2438.6024,-4323.5463,-4268.9228,4055.6290,3485.9692,-5731.8991,-4951.8740,-4340.0654,954.2192,-5789.0213,5191.1390,4522.7304,-5999.3147,482.1118,-831.1855,3667.6391,-2169.2905,-2119.2882,-6694.7605,148.8146,0.0000,-4885.3793,3944.7931,-5891.1975,3099.7157,5917.3382,-4158.3804,5292.9394,-191.8333,758.5201,6169.0920,-1632.0940,-2158.2605,1728.0549,-978.0381,-6233.4327,5958.1462,-1738.2712,-1010.6630,2080.6069,-5949.6357,-2874.0489,47.9962,-5319.8604,5251.9354,6131.8188,275031.1007,295080.1255,278842.3513,278814.9558,281293.7717,281620.2990,287864.1542,284094.3677,-240334803.2552,-240315050.2223,-240344391.0458,-240362894.9842,284241.1763,-240352710.3430,-4455.1449,-5502.8955,3243.6008,-1278.3905,-1351.1539,5058.5584,4938.5756,-4571.3436,2299.8974,3320.1950,556.4601,2621.3808,3547.0123,-6320.5270,-3727.5306,-900.6986,5673.5112,723.2258,-672.5532,0.0000,3617.2178,-3636.7400,-1376.7366,-2459.1387,-6261.0476,-4702.8521,133.4892,-4764.8004,3284.8478,-6401.6463,880.2909,3195.1754,-2803.7604,4449.6046,-5527.0796,2673.1275,-6606.6441,-4783.0041,4711.5577,552.3229,-1598.0850,2231.3866,5418.0437,-6538.7616,2658.6614,2002.1057,-5434.7945,2136.4436,-5720.5177,6010.3201,788.9018,-6556.6759,-997.0023,279.0473,5944.8433,-1306.8190,-3350.2775,-751.2488,2656.5438,-2493.9352,-537.4563,-5339.5487,-3911.3435,-2218.3617,-4389.8751,4166.0572,2958.3772,6368.2244,1275.7243,2047.1945,-4247.1303,-4834.8881,1741.4367,-2500.5693,0.0000,-4514.2172,-606.0468,-2977.0375,3028.8652,-347.4422,26.8166,-2124.0054,5199.7712,-4695.7274,2697.7685,3844.5946,5880.1150,-3346.0875,5804.2826,-2175.4355,3510.9490,4116.4307,-5063.8449,-6472.9167,-3280.2659,5844.1134,-4614.0965,-3971.5224,1083.9972,-2691.5415,226434.4852,212508.8549,230408.7432,229521.0257,221272.5382,223278.5129,227900.3564,227790.9871,242333856.4932,242304566.5500,242331401.0854,242338879.6041,227749.6881,242332464.2294,-5168.5906,215.9013,4280.3365,4.0332,6769.6593,-4386.6927,2997.8411,-4150.1924,-4988.8157,-4154.8775,-2654.1331,-2134.8726,1539.6937,-2509.6343,-4658.6518,-3421.6725,-88.4633,1448.7376,2672.9950,0.0000,4196.9430,-4669.2347,-6810.0681,-5362.7887,777.4379,4052.9595,5072.4245,4492.9754,-993.9571,2089.9882,-4749.9745,-308.8842,5388.1793,4565.3445,-4104.7524,6217.9821,-1638.5043,-2146.5560,4394.1177,-3318.8029,4475.1553,4629.5863,1355.4003,1484.6114,-6392.6272,-4709.7689,-4082.4725,6281.5464,-3488.3909,-3125.9013,-1542.3292,1132.8633,1231.9348,2849.4505,2589.8447,5201.2444,-4319.5717,-5469.9656,-5325.3315,-3008.2496,4638.8525,139.0622,5369.5458,-2936.3819,-605.7671,-3199.9751,1132.4347,-2491.8680,-6752.5322,5372.8112,4630.4030,4488.8822,190.1900,6455.6776,0.0000,1613.9570,-5304.4353,1998.6313,5418.6741,3557.2310,5459.7250,-3953.5407,4395.9678,4895.6995,-1578.9460,-5409.8282,-2770.2400,-5846.7160,-3602.4421,-2106.9238,-552.0498,-5318.9298,4493.4084,646.8447,1250.7724,-2213.7923,4916.1306,1657.2976,4354.9464,1744.2723,64810.2902,63096.4419,66271.0054,67519.6153,70724.3545,61597.6957,56687.9846,66832.2471,115062106.3970,115039343.5044,115033770.4078,115058496.6017,65041.6999,115052370.9781,
600.000,-1112.3280,-5214.8151,-3889.7543,6229.8075,2541.9339,3116.3313,-1940.2218,1160.4970,5107.8004,5819.4721,-5115.2910,-4704.1650,-5136.0662,-2005.2302,2001.6189,4836.5187,4719.0521,-5924.4461,5354.0669,0.0000,-1909.2493,2773.3133,1495.2362,2714.8692,1662.3045,-4432.8285,5276.8652,-198.3488,6633.0722,-1989.6324,-3561.4113,5508.9530,1229.0507,-445.2959,-1197.0049,-695.6494,-1128.4495,-4858.5437,3968.9459,-4603.2952,3413.9835,5099.2885,4674.9810,257.6630,2553.7358,-3646.2366,-2492.4579,41.3792,-2929.2698,1023.8982,6773.4470,-2850.4004,6706.0873,5341.1962,-1020.9776,-5351.0002,-5677.0450,3572.3576,4106.3646,-5619.7694,-4918.5712,-5266.4916,-1214.2557,-6650.5540,4055.4405,5051.1854,-4779.3255,1803.3572,-952.6907,4877.0538,-3290.2049,-4044.4120,-5950.1053,-1969.6032,0.0000,-5784.5740,3302.6730,-5718.8822,1338.0868,4721.6510,-3711.8473,3812.2286,1840.6088,-948.4261,6791.4214,264.8409,-538.9081,-225.2317,342.1298,-6047.2633,5557.8557,-57.3377,-3059.5423,487.8634,-6630.6374,-1322.1440,-1867.1198,-5700.8355,5878.0810,5554.7435,270420.1996,290478.4334,274065.9931,274078.8089,276450.6229,276819.0375,282954.9587,279217.0956,-245566408.4520,-245546202.4642,-245576285.8335,-245594719.8669,279393.6112,-245584402.1303,-3980.7383,-4369.8547,4892.5968,-2395.9958,-2242.4170,3896.7431,5292.1558,-4509.0569,862.3433,2466.3741,1820.4778,3780.0028,4621.5899,-5385.3842,-5169.0580,-2515.2169,4722.3822,1284.6058,-2227.0216,0.0000,4563.4587,-5282.2644,7.0230,-4322.5359,-6626.9078,-4445.2630,-1717.9350,-4300.3209,1907.5683,-5365.4181,2416.5090,3364.6442,-4165.7689,4310.8293,-5010.0469,4480.7061,-6723.0395,-3272.5992,3144.9634,1894.6536,-2842.3411,125.3133,4725.9354,-6922.8813,3156.2581,3888.7658,-3970.4558,2398.6318,-5889.2199,5367.9478,-435.5135,-5614.8183,-1619.1303,-1120.1464,6752.4690,407.5666,-1958.6021,-2852.3655,575.8566,-596.6260,1628.7741,-4104.6035,-4235.7766,-1110.7512,-5404.4284,2304.9687,4074.5673,6569.0650,-1004.0068,321.8138,-2426.0834,-4175.7993,3090.9297,-1861.9360,0.0000,-3657.5908,-2723.7653,-1460.8169,2046.6668,-1737.3820,2164.8838,-3556.7787,5447.9470,-5571.9127,1296.8300,4793.5104,5408.3825,-2530.9307,6580.1592,-428.9241,3791.9031,3027.4484,-4778.6922,-6468.5779,-1923.0413,5622.6343,-3614.2723,-2303.2497,-816.1992,-4123.3802,232086.1637,218704.0053,236462.6576,235492.8033,227196.1608,229236.9746,233822.6709,234227.5506,237028144.5495,236999684.8639,237026237.9432,237032586.5484,233703.8800,237026745.3029,-5518.5565,-1319.3731,2915.6654,-1785.8144,6041.7476,-4650.3114,4014.5896,-5112.9774,-4090.8265,-2747.8477,-4075.4722,-3381.0034,-265.1133,-3661.4618,-4156.7115,-4291.1995,1707.1549,3416.1295,3786.7768,0.0000,4583.3376,-3465.0863,-6792.2952,-4652.2050,-1039.9502,2624.6365,4090.4359,5255.6611,551.0612,3637.0816,-5416.4297,-2506.2458,5170.7808,5301.3753,-4641.6952,5257.2399,-108.7255,-3679.1181,4711.7339,-4554.3483,5285.4221,4669.5775,-486.7176,-43.0501,-5632.7815,-4399.9498,-5071.2268,6543.8899,-1906.4370,-4088.2214,277.4531,2822.7744,-892.4632,4231.4033,1176.0331,4321.4264,-3468.7593,-5102.3002,-5511.5607,-4023.9003,4414.6246,1660.5093,5062.5739,-1254.2498,950.7686,-4150.7723,2560.3529,-755.1977,-6782.5092,4757.9958,5239.9789,3773.7888,1704.8789,6373.1946,0.0000,-194.7318,-5073.3349,3562.1356,6490.9290,4737.7018,5351.5395,-4579.7503,3653.3862,3830.2232,-55.2009,-4864.1267,-4168.2729,-6473.4323,-2047.0401,-3359.2111,1683.9457,-6251.7238,3830.7072,2130.5920,-289.1782,-3737.6907,5375.4672,2998.3564,3538.8926,232.7055,64648.4011,62954.2616,66231.1820,67216.0081,70664.9197,61725.9192,56465.0609,66613.9201,115065779.9339,115042989.9072,115037626.3734,115062613.5528,64914.0982,115056206.5217,
