sl_10_5400_20280119 Coordinates.csv
2028/01/19 07:47:00.0000 UTC

Generated: Tue Oct  8 21:10:56 2024,
Start: 2028/01/19 07:47:00.00, Stop: 2028/01/19 09:17:00.00,
TIME_UNITS,STARLINK-30365 - X-Coordinate,STARLINK-6203 - X-Coordinate,STARLINK-4442 - X-Coordinate,STARLINK-31639 - X-Coordinate,STARLINK-2392 - X-Coordinate,STARLINK-2036 - X-Coordinate,STARLINK-1748 - X-Coordinate,STARLINK-31061 - X-Coordinate,STARLINK-1021 - X-Coordinate,STARLINK-4762 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30365 - Y-Coordinate,STARLINK-6203 - Y-Coordinate,STARLINK-4442 - Y-Coordinate,STARLINK-31639 - Y-Coordinate,STARLINK-2392 - Y-Coordinate,STARLINK-2036 - Y-Coordinate,STARLINK-1748 - Y-Coordinate,STARLINK-31061 - Y-Coordinate,STARLINK-1021 - Y-Coordinate,STARLINK-4762 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30365 - Z-Coordinate,STARLINK-6203 - Z-Coordinate,STARLINK-4442 - Z-Coordinate,STARLINK-31639 - Z-Coordinate,STARLINK-2392 - Z-Coordinate,STARLINK-2036 - Z-Coordinate,STARLINK-1748 - Z-Coordinate,STARLINK-31061 - Z-Coordinate,STARLINK-1021 - Z-Coordinate,STARLINK-4762 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,6803.9773,-1252.0210,-845.1671,-4772.7703,-5550.7515,868.2410,0.0000,6284.0421,-1127.2603,6467.2453,-318162.6358,-348356.0374,-325602.1842,-325792.9165,-333843.4876,-332260.2783,-332884.2223,-330851.7889,-56675022.6316,-56688679.5508,-56664949.9721,-56673552.8216,-330695.7592,-56665775.9580,-77.9987,-6817.8289,-5577.6995,-2209.8406,704.7019,-4616.6957,0.0000,2869.6745,6034.3889,-44.4663,-138874.8078,-144878.3154,-143814.8205,-143964.1129,-140877.3042,-142205.9935,-150194.1972,-146977.8287,325142052.6011,325118916.9457,325134184.3169,325128144.8796,-147152.6555,325127890.7499,-1347.8431,193.3037,-4024.5301,-4391.0243,-4054.4179,-5009.9630,0.0000,159.6182,-3158.2137,2332.0645,-117819.1487,-121032.3691,-118325.9202,-116048.5936,-113601.9632,-123223.2527,-127238.8944,-117313.6148,-108263269.4536,-108229547.5636,-108234281.6315,-108252487.4789,-119128.0602,-108251809.8913,
300.000,6746.8623,-2664.6108,-485.6054,-6040.4340,-4218.6366,-851.5511,0.0000,6563.4002,134.9780,5544.9697,-315282.2919,-345138.2164,-322361.4910,-322651.0480,-330679.4480,-329109.2765,-329670.9468,-327345.5681,-63758213.2819,-63772058.2451,-63748797.6891,-63756610.4302,-327506.7401,-63749043.2731,-1595.0794,-6261.7221,-6610.8517,-1005.9349,2111.6344,-5514.4329,0.0000,1354.4455,6731.3995,-1344.7652,-145518.0229,-152130.8641,-150850.1053,-150973.5214,-147790.5403,-149153.0322,-157057.4661,-154274.2014,323829840.3111,323806162.0140,323822148.0175,323815325.4631,-154082.4711,323815703.6898,185.5838,-1340.4848,-2014.8296,-3072.0468,-5049.8064,-4003.4298,0.0000,1677.2039,-1519.9448,3831.1197,-117954.5271,-121149.4247,-118333.8434,-116320.2514,-113625.3482,-123086.7038,-127451.7388,-117419.9880,-108259101.1226,-108225387.3113,-108229923.0756,-108248831.5892,-119232.3428,-108247549.1771,
600.000,6035.8201,-3831.8490,-44.9009,-6697.3532,-2493.0711,-2450.6143,0.0000,6206.9472,1366.8111,4073.3509,-312264.8253,-341768.2068,-318978.2819,-319366.0205,-327370.5099,-325810.3199,-326315.1582,-323690.1975,-70811120.7655,-70825138.1492,-70802369.0698,-70809297.7338,-324172.5374,-70802028.2016,-2959.4462,-5096.9348,-6922.1515,266.5453,3359.5038,-5882.6783,0.0000,-308.0240,6757.5689,-2550.9280,-152102.8726,-159312.1422,-157818.7211,-157919.5656,-154636.5920,-156038.3172,-163850.2832,-161473.8807,322363332.9963,322339100.2221,322355786.7448,322348221.4332,-160943.2122,322349217.8598,1699.1359,-2730.9204,210.9493,-1412.6263,-5500.9755,-2556.7981,0.0000,3013.2904,283.2126,4909.8583,-118089.9947,-121266.2529,-118343.3988,-116596.5978,-113652.0431,-122943.7670,-127659.5379,-117656.0499,-108254927.2985,-108221229.0936,-108225574.5241,-108245164.5162,-119336.5468,-108243288.1932,
900.000,4736.9566,-4654.4371,397.6259,-6670.6501,-549.4016,-3778.1518,0.0000,5256.1827,2464.8540,2206.4218,-309111.3980,-338247.5741,-315454.0179,-315939.6080,-323918.1272,-322364.3308,-322818.4401,-319911.9064,-77830384.4616,-77844558.2075,-77822302.1230,-77828254.4182,-320694.6468,-77821369.9600,-4053.2012,-3434.9095,-6475.4135,1495.8170,4328.4181,-5671.5264,0.0000,-1966.0056,6105.6576,-3552.3447,-158626.5888,-166418.9339,-164717.5892,-164799.5731,-161412.3475,-162859.2509,-170569.7737,-168549.9137,320743227.4098,320718428.7857,320735797.0472,320727538.6706,-167731.8378,320729129.9831,3030.8057,-3829.6280,2414.0125,403.5610,-5359.7870,-828.6287,0.0000,4023.3375,2055.5754,5450.2027,-118225.5505,-121382.8508,-118354.7665,-116877.6885,-113682.0184,-122794.4026,-127862.3406,-118012.8305,-108250747.9419,-108217072.8658,-108221235.8218,-108241480.5207,-119440.6722,-108239026.9396,
1200.000,2974.5235,-5063.9719,762.6274,-5958.3436,1418.8589,-4713.5453,0.0000,3809.8877,3338.8494,136.5342,-305823.2259,-334577.9522,-311790.2214,-312373.6949,-320323.8181,-318772.2437,-319182.4295,-316036.8488,-84812659.7362,-84826973.3655,-84805250.8502,-84810137.8240,-317074.6272,-84803723.7510,-4783.1520,-1435.8484,-5319.5380,2576.1723,4919.9886,-4888.6290,0.0000,-3465.2628,4837.8710,-4253.1819,-165086.4267,-173448.0571,-171543.6581,-171610.9358,-168114.7306,-169613.3056,-177213.0946,-175479.7371,318970293.4905,318944918.1203,318962948.7214,318954056.3873,-174445.3395,318956209.9757,4038.1007,-4519.7298,4357.4932,2174.8847,-4641.3597,990.8966,0.0000,4598.2030,3604.5198,5393.1106,-118361.1937,-121499.2157,-118368.1230,-117163.5698,-113715.2463,-122638.5883,-128060.1932,-118472.9558,-108246563.0157,-108212918.5840,-108216906.8113,-108237773.6703,-119544.7189,-108234765.4164,
1500.000,918.6971,-5028.0789,982.9321,-4630.3585,3218.9881,-5177.4645,0.0000,2013.4771,3918.7301,-1925.6937,-302401.5790,-330761.0422,-307988.4764,-308670.2836,-316589.1645,-315034.9978,-315408.8166,-312089.2747,-91754619.5361,-91769056.1634,-91747886.8410,-91751624.6506,-313314.1009,-91745762.3568,-5088.4585,707.0584,-3582.9669,3416.8023,5067.2320,-3600.3799,0.0000,-4663.3539,3079.7861,-4581.3964,-171479.6668,-180396.3655,-178293.9054,-178351.1149,-174740.7028,-176298.0314,-183777.4357,-182246.4377,317045373.9969,317019411.4751,317038084.4453,317028626.4774,-181080.7422,317031300.5801,4613.3637,-4728.0325,5832.5677,3704.4819,-3422.5462,2701.0153,0.0000,4675.8452,4761.7703,4744.8199,-118496.9231,-121615.3448,-118383.6409,-117454.2754,-113751.7005,-122476.3253,-128253.1394,-119011.4753,-108242372.4855,-108208766.2054,-108212587.3335,-108234038.0237,-119648.6870,-108230503.6236,
1800.000,-1231.1676,-4552.4907,1013.9079,-2821.4489,4677.7272,-5138.4581,0.0000,44.1325,4159.7078,-3772.8580,-298847.7801,-326798.6119,-304050.4275,-304831.5048,-312715.8110,-311153.5298,-311499.3443,-308089.6102,-98652955.9741,-98667498.3216,-98646900.8612,-98649412.5629,-309414.7523,-98644177.7251,-4945.3119,2786.3341,-1458.6631,3949.0405,4742.3478,-1926.6264,0.0000,-5443.0739,1007.4278,-4496.1808,-177803.6151,-187260.7494,-184965.3385,-185017.6442,-181287.2633,-182911.0651,-190260.0204,-188839.7235,314969384.1068,314942824.5321,314962119.3759,314952172.8009,-187635.1062,314955316.9652,4695.1844,-4432.4955,6681.1190,4822.4911,-1834.1647,4112.9136,0.0000,4247.8833,5401.7978,3576.1915,-118632.7376,-121731.2351,-118401.4886,-117749.8206,-113791.3563,-122307.6465,-128441.2208,-119597.1729,-108238176.3189,-108204615.6879,-108208277.2280,-108230267.8413,-119752.5763,-108226241.5611,
2100.000,-3266.0131,-3680.1626,840.4928,-716.9920,5658.1036,-4614.3266,0.0000,-1906.7347,4045.1322,-5221.7693,-295163.2046,-322692.4948,-299977.7797,-300859.6285,-308705.4641,-307128.7652,-307455.8077,-304052.5697,-105504381.9046,-105519012.3175,-105499004.4308,-105500221.6838,-305378.3271,-105495682.5452,-4368.4667,4600.1138,818.0485,4131.3874,3961.3856,-29.3499,0.0000,-5723.9232,-1170.8055,-3993.1557,-184055.6049,-194038.1378,-191554.9962,-191608.1353,-187751.4510,-189450.1407,-196658.1077,-195256.5213,312743310.9818,312716144.9702,312736040.7133,312725690.4268,-194105.5278,312729246.2911,4274.8188,-3664.4440,6812.3891,5404.9875,-47.4170,5070.8682,0.0000,3360.4797,5455.2772,2015.1913,-118768.6362,-121846.8837,-118421.8299,-118050.1962,-113834.1904,-122132.6268,-128624.4764,-120194.4184,-108233974.4862,-108200466.9903,-108203976.3333,-108226457.8080,-119856.3868,-108221979.2290,
2400.000,-4987.4504,-2487.5962,480.0047,1466.4481,6072.6743,-3668.4265,0.0000,-3652.1064,3587.1745,-6131.9904,-291349.2800,-318444.5895,-295772.2977,-296757.0788,-304559.8917,-302961.6083,-303280.0536,-299985.4867,-112305632.4901,-112320332.9522,-112300931.3921,-112300795.9690,-301206.6320,-112297011.8144,-3409.6914,5971.6044,2995.8470,3952.0947,2784.8508,1903.3170,0.0000,-5470.6039,-3235.3010,-3106.5500,-190232.9971,-200725.4991,-198059.9501,-198120.2808,-194130.3448,-195913.1009,-202968.9925,-201501.0946,310368213.2981,310340431.9959,310360907.2294,310350244.8638,-200489.1412,310354147.2395,3397.1037,-2505.3986,6212.2670,5387.5040,1744.4349,5469.4079,0.0000,2109.4795,4916.3845,233.0398,-118904.6177,-121962.2874,-118444.8235,-118355.3592,-113880.1808,-121951.3967,-128802.9430,-120765.5728,-108229766.9599,-108196320.0725,-108199684.4873,-108222603.2444,-119960.1185,-108217716.6274,
