sl_100_5400_20281112 Coordinates.csv
2028/11/12 07:47:00.0000 UTC

Generated: Tue Oct  8 21:41:21 2024,
Start: 2028/11/12 07:47:00.00, Stop: 2028/11/12 09:17:00.00,
TIME_UNITS,STARLINK-31958 - X-Coordinate,STARLINK-32149 - X-Coordinate,STARLINK-4618 - X-Coordinate,STARLINK-5285 - X-Coordinate,STARLINK-5264 - X-Coordinate,STARLINK-5317 - X-Coordinate,STARLINK-31332 - X-Coordinate,STARLINK-4298 - X-Coordinate,STARLINK-30827 - X-Coordinate,STARLINK-31328 - X-Coordinate,STARLINK-1990 - X-Coordinate,STARLINK-5365 - X-Coordinate,STARLINK-31438 - X-Coordinate,STARLINK-30854 - X-Coordinate,STARLINK-1967 - X-Coordinate,STARLINK-3849 - X-Coordinate,STARLINK-2429 - X-Coordinate,STARLINK-30407 - X-Coordinate,STARLINK-5666 - X-Coordinate,STARLINK-30149 - X-Coordinate,STARLINK-1976 - X-Coordinate,STARLINK-4216 - X-Coordinate,STARLINK-2104 - X-Coordinate,STARLINK-1736 - X-Coordinate,STARLINK-5862 - X-Coordinate,STARLINK-2562 - X-Coordinate,STARLINK-6285 - X-Coordinate,STARLINK-2631 - X-Coordinate,STARLINK-11125 [DTC] - X-Coordinate,STARLINK-4752 - X-Coordinate,STARLINK-2192 - X-Coordinate,STARLINK-4669 - X-Coordinate,STARLINK-1135 - X-Coordinate,STARLINK-3888 - X-Coordinate,STARLINK-3592 - X-Coordinate,STARLINK-4308 - X-Coordinate,STARLINK-5321 - X-Coordinate,STARLINK-31318 - X-Coordinate,STARLINK-1200 - X-Coordinate,STARLINK-4597 - X-Coordinate,STARLINK-6165 - X-Coordinate,STARLINK-5100 - X-Coordinate,STARLINK-3963 - X-Coordinate,STARLINK-5307 - X-Coordinate,STARLINK-2428 - X-Coordinate,STARLINK-31739 - X-Coordinate,STARLINK-2114 - X-Coordinate,STARLINK-6121 - X-Coordinate,STARLINK-2611 - X-Coordinate,STARLINK-31189 - X-Coordinate,STARLINK-31429 - X-Coordinate,STARLINK-5880 - X-Coordinate,STARLINK-3807 - X-Coordinate,STARLINK-31603 - X-Coordinate,STARLINK-30346 - X-Coordinate,STARLINK-30837 - X-Coordinate,STARLINK-4170 - X-Coordinate,STARLINK-2406 - X-Coordinate,STARLINK-6080 - X-Coordinate,STARLINK-6132 - X-Coordinate,STARLINK-4263 - X-Coordinate,STARLINK-5908 - X-Coordinate,STARLINK-31304 - X-Coordinate,STARLINK-3085 - X-Coordinate,STARLINK-2094 - X-Coordinate,STARLINK-30340 - X-Coordinate,STARLINK-31373 - X-Coordinate,STARLINK-4609 - X-Coordinate,STARLINK-2644 - X-Coordinate,STARLINK-30370 - X-Coordinate,STARLINK-4429 - X-Coordinate,STARLINK-31942 - X-Coordinate,STARLINK-30800 - X-Coordinate,STARLINK-3613 - X-Coordinate,STARLINK-31551 - X-Coordinate,STARLINK-31035 - X-Coordinate,STARLINK-30100 - X-Coordinate,STARLINK-5261 - X-Coordinate,STARLINK-6296 - X-Coordinate,STARLINK-3249 - X-Coordinate,STARLINK-3129 - X-Coordinate,STARLINK-1704 - X-Coordinate,STARLINK-30249 - X-Coordinate,STARLINK-30036 - X-Coordinate,STARLINK-1817 - X-Coordinate,STARLINK-31806 - X-Coordinate,STARLINK-32222 - X-Coordinate,STARLINK-5823 - X-Coordinate,STARLINK-5603 - X-Coordinate,STARLINK-3636 - X-Coordinate,STARLINK-11246 [DTC] - X-Coordinate,STARLINK-32042 - X-Coordinate,STARLINK-4063 - X-Coordinate,STARLINK-3352 - X-Coordinate,STARLINK-31747 - X-Coordinate,STARLINK-3820 - X-Coordinate,STARLINK-3854 - X-Coordinate,STARLINK-3903 - X-Coordinate,STARLINK-30867 - X-Coordinate,STARLINK-2054 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31958 - Y-Coordinate,STARLINK-32149 - Y-Coordinate,STARLINK-4618 - Y-Coordinate,STARLINK-5285 - Y-Coordinate,STARLINK-5264 - Y-Coordinate,STARLINK-5317 - Y-Coordinate,STARLINK-31332 - Y-Coordinate,STARLINK-4298 - Y-Coordinate,STARLINK-30827 - Y-Coordinate,STARLINK-31328 - Y-Coordinate,STARLINK-1990 - Y-Coordinate,STARLINK-5365 - Y-Coordinate,STARLINK-31438 - Y-Coordinate,STARLINK-30854 - Y-Coordinate,STARLINK-1967 - Y-Coordinate,STARLINK-3849 - Y-Coordinate,STARLINK-2429 - Y-Coordinate,STARLINK-30407 - Y-Coordinate,STARLINK-5666 - Y-Coordinate,STARLINK-30149 - Y-Coordinate,STARLINK-1976 - Y-Coordinate,STARLINK-4216 - Y-Coordinate,STARLINK-2104 - Y-Coordinate,STARLINK-1736 - Y-Coordinate,STARLINK-5862 - Y-Coordinate,STARLINK-2562 - Y-Coordinate,STARLINK-6285 - Y-Coordinate,STARLINK-2631 - Y-Coordinate,STARLINK-11125 [DTC] - Y-Coordinate,STARLINK-4752 - Y-Coordinate,STARLINK-2192 - Y-Coordinate,STARLINK-4669 - Y-Coordinate,STARLINK-1135 - Y-Coordinate,STARLINK-3888 - Y-Coordinate,STARLINK-3592 - Y-Coordinate,STARLINK-4308 - Y-Coordinate,STARLINK-5321 - Y-Coordinate,STARLINK-31318 - Y-Coordinate,STARLINK-1200 - Y-Coordinate,STARLINK-4597 - Y-Coordinate,STARLINK-6165 - Y-Coordinate,STARLINK-5100 - Y-Coordinate,STARLINK-3963 - Y-Coordinate,STARLINK-5307 - Y-Coordinate,STARLINK-2428 - Y-Coordinate,STARLINK-31739 - Y-Coordinate,STARLINK-2114 - Y-Coordinate,STARLINK-6121 - Y-Coordinate,STARLINK-2611 - Y-Coordinate,STARLINK-31189 - Y-Coordinate,STARLINK-31429 - Y-Coordinate,STARLINK-5880 - Y-Coordinate,STARLINK-3807 - Y-Coordinate,STARLINK-31603 - Y-Coordinate,STARLINK-30346 - Y-Coordinate,STARLINK-30837 - Y-Coordinate,STARLINK-4170 - Y-Coordinate,STARLINK-2406 - Y-Coordinate,STARLINK-6080 - Y-Coordinate,STARLINK-6132 - Y-Coordinate,STARLINK-4263 - Y-Coordinate,STARLINK-5908 - Y-Coordinate,STARLINK-31304 - Y-Coordinate,STARLINK-3085 - Y-Coordinate,STARLINK-2094 - Y-Coordinate,STARLINK-30340 - Y-Coordinate,STARLINK-31373 - Y-Coordinate,STARLINK-4609 - Y-Coordinate,STARLINK-2644 - Y-Coordinate,STARLINK-30370 - Y-Coordinate,STARLINK-4429 - Y-Coordinate,STARLINK-31942 - Y-Coordinate,STARLINK-30800 - Y-Coordinate,STARLINK-3613 - Y-Coordinate,STARLINK-31551 - Y-Coordinate,STARLINK-31035 - Y-Coordinate,STARLINK-30100 - Y-Coordinate,STARLINK-5261 - Y-Coordinate,STARLINK-6296 - Y-Coordinate,STARLINK-3249 - Y-Coordinate,STARLINK-3129 - Y-Coordinate,STARLINK-1704 - Y-Coordinate,STARLINK-30249 - Y-Coordinate,STARLINK-30036 - Y-Coordinate,STARLINK-1817 - Y-Coordinate,STARLINK-31806 - Y-Coordinate,STARLINK-32222 - Y-Coordinate,STARLINK-5823 - Y-Coordinate,STARLINK-5603 - Y-Coordinate,STARLINK-3636 - Y-Coordinate,STARLINK-11246 [DTC] - Y-Coordinate,STARLINK-32042 - Y-Coordinate,STARLINK-4063 - Y-Coordinate,STARLINK-3352 - Y-Coordinate,STARLINK-31747 - Y-Coordinate,STARLINK-3820 - Y-Coordinate,STARLINK-3854 - Y-Coordinate,STARLINK-3903 - Y-Coordinate,STARLINK-30867 - Y-Coordinate,STARLINK-2054 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31958 - Z-Coordinate,STARLINK-32149 - Z-Coordinate,STARLINK-4618 - Z-Coordinate,STARLINK-5285 - Z-Coordinate,STARLINK-5264 - Z-Coordinate,STARLINK-5317 - Z-Coordinate,STARLINK-31332 - Z-Coordinate,STARLINK-4298 - Z-Coordinate,STARLINK-30827 - Z-Coordinate,STARLINK-31328 - Z-Coordinate,STARLINK-1990 - Z-Coordinate,STARLINK-5365 - Z-Coordinate,STARLINK-31438 - Z-Coordinate,STARLINK-30854 - Z-Coordinate,STARLINK-1967 - Z-Coordinate,STARLINK-3849 - Z-Coordinate,STARLINK-2429 - Z-Coordinate,STARLINK-30407 - Z-Coordinate,STARLINK-5666 - Z-Coordinate,STARLINK-30149 - Z-Coordinate,STARLINK-1976 - Z-Coordinate,STARLINK-4216 - Z-Coordinate,STARLINK-2104 - Z-Coordinate,STARLINK-1736 - Z-Coordinate,STARLINK-5862 - Z-Coordinate,STARLINK-2562 - Z-Coordinate,STARLINK-6285 - Z-Coordinate,STARLINK-2631 - Z-Coordinate,STARLINK-11125 [DTC] - Z-Coordinate,STARLINK-4752 - Z-Coordinate,STARLINK-2192 - Z-Coordinate,STARLINK-4669 - Z-Coordinate,STARLINK-1135 - Z-Coordinate,STARLINK-3888 - Z-Coordinate,STARLINK-3592 - Z-Coordinate,STARLINK-4308 - Z-Coordinate,STARLINK-5321 - Z-Coordinate,STARLINK-31318 - Z-Coordinate,STARLINK-1200 - Z-Coordinate,STARLINK-4597 - Z-Coordinate,STARLINK-6165 - Z-Coordinate,STARLINK-5100 - Z-Coordinate,STARLINK-3963 - Z-Coordinate,STARLINK-5307 - Z-Coordinate,STARLINK-2428 - Z-Coordinate,STARLINK-31739 - Z-Coordinate,STARLINK-2114 - Z-Coordinate,STARLINK-6121 - Z-Coordinate,STARLINK-2611 - Z-Coordinate,STARLINK-31189 - Z-Coordinate,STARLINK-31429 - Z-Coordinate,STARLINK-5880 - Z-Coordinate,STARLINK-3807 - Z-Coordinate,STARLINK-31603 - Z-Coordinate,STARLINK-30346 - Z-Coordinate,STARLINK-30837 - Z-Coordinate,STARLINK-4170 - Z-Coordinate,STARLINK-2406 - Z-Coordinate,STARLINK-6080 - Z-Coordinate,STARLINK-6132 - Z-Coordinate,STARLINK-4263 - Z-Coordinate,STARLINK-5908 - Z-Coordinate,STARLINK-31304 - Z-Coordinate,STARLINK-3085 - Z-Coordinate,STARLINK-2094 - Z-Coordinate,STARLINK-30340 - Z-Coordinate,STARLINK-31373 - Z-Coordinate,STARLINK-4609 - Z-Coordinate,STARLINK-2644 - Z-Coordinate,STARLINK-30370 - Z-Coordinate,STARLINK-4429 - Z-Coordinate,STARLINK-31942 - Z-Coordinate,STARLINK-30800 - Z-Coordinate,STARLINK-3613 - Z-Coordinate,STARLINK-31551 - Z-Coordinate,STARLINK-31035 - Z-Coordinate,STARLINK-30100 - Z-Coordinate,STARLINK-5261 - Z-Coordinate,STARLINK-6296 - Z-Coordinate,STARLINK-3249 - Z-Coordinate,STARLINK-3129 - Z-Coordinate,STARLINK-1704 - Z-Coordinate,STARLINK-30249 - Z-Coordinate,STARLINK-30036 - Z-Coordinate,STARLINK-1817 - Z-Coordinate,STARLINK-31806 - Z-Coordinate,STARLINK-32222 - Z-Coordinate,STARLINK-5823 - Z-Coordinate,STARLINK-5603 - Z-Coordinate,STARLINK-3636 - Z-Coordinate,STARLINK-11246 [DTC] - Z-Coordinate,STARLINK-32042 - Z-Coordinate,STARLINK-4063 - Z-Coordinate,STARLINK-3352 - Z-Coordinate,STARLINK-31747 - Z-Coordinate,STARLINK-3820 - Z-Coordinate,STARLINK-3854 - Z-Coordinate,STARLINK-3903 - Z-Coordinate,STARLINK-30867 - Z-Coordinate,STARLINK-2054 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-6469.2039,-3828.5076,-1315.2005,-428.8014,-4427.3605,547.2465,-3902.6357,5125.1188,770.7006,3841.9796,-2312.4813,-5116.3197,2324.0137,-5011.6638,-3560.2224,-4911.1898,-3771.4434,5117.1573,667.2857,5878.8314,-367.5228,-1593.4963,31.2685,4834.0013,-1369.6815,-3551.5906,-2242.3133,-6277.8045,-605.0684,1724.5031,-4422.9547,4699.7716,0.0000,5177.2582,-4094.1371,6111.0997,127.0145,5472.5590,4184.2647,1856.2680,1576.5140,-6438.3520,6493.2928,-3175.6786,-4179.1234,-6731.6815,-4887.5580,-5120.5484,499.1487,-6157.4757,0.0000,-1620.8854,-6555.0913,3232.8577,-1965.7500,-2300.0641,768.7429,-5806.9849,-5555.2910,5043.1009,-5948.5054,5916.9231,-1901.0942,-4584.7710,-3467.5803,802.5051,1593.1492,-6593.5233,-5154.5492,-2834.0261,161.7935,2343.6972,5684.5378,2248.3807,-3500.6477,4501.7378,-6904.1289,-216.2175,-5736.5995,-2845.0857,4477.9749,-1221.4287,86.6466,916.2085,-262.2757,-2356.8808,-4888.3912,2425.0834,-3309.3424,-1227.0598,2820.5039,-6074.6205,-4704.9692,5701.3151,6162.0682,4779.2843,3755.2957,-865.5042,5393.4964,-477.7112,-353603.8723,-375627.8534,-361799.1669,-360772.6812,-360563.6792,-361749.0858,-368942.7492,-365672.0792,-249744953.4262,-249769120.0312,-249746961.4107,-249738535.3305,-365438.9383,-249739625.9415,1451.0813,2875.2565,-4980.6676,6731.8071,460.8252,-6818.3103,5105.5236,-2757.3157,5143.4870,1504.6248,-3857.9136,-2235.8192,-5150.6876,-4715.6245,-5338.1276,-2283.2310,2342.9452,-891.4641,5856.1115,-2997.1125,-6320.1532,-4600.5550,-5526.2853,3698.1633,-2542.5140,-5441.5093,-4606.9786,-2553.4394,-5602.7860,-4028.6089,-5073.7296,4881.6661,0.0000,4452.2165,1920.6298,2778.1916,4740.6672,945.2488,-3745.2374,-3726.7207,4912.7328,-1093.8895,1975.3458,1842.2162,-674.2316,105.6678,-3265.9023,3669.6177,-6875.9189,-2089.6643,0.0000,6569.8852,31.7143,-2494.2041,-4935.3537,5751.8673,-6256.6247,-313.9475,4099.0901,4704.1770,-1651.6142,852.8138,5614.5019,-4659.2826,2768.5347,-4996.2760,3992.4198,-2066.8584,3483.5408,-4513.3049,6735.9293,-5316.2896,-1189.0909,4934.1934,4760.1748,-772.2611,-361.8631,6362.6334,1674.6678,6263.6323,-1439.7031,-4678.8660,-6227.0508,-5064.5428,4383.4912,-4436.3810,4570.6697,1404.0574,-1490.1564,5408.8466,-3542.5287,-510.7825,3436.1347,-3643.0355,1034.4202,156.1561,-3698.0020,4601.2492,2800.2922,-4530.3517,2454.1875,33375.3531,11951.8589,13382.0253,21947.5461,20296.2517,17652.2668,15314.8554,-25311358.2583,-25257885.4573,-25270045.1186,-25287975.5402,16656.3975,-25294367.1496,1522.3599,-4874.9444,-4568.9816,-1652.7009,-5296.0786,-1119.5103,2242.1458,-3725.2859,4521.8193,-5467.3130,-5170.8555,4071.2286,3853.6595,577.9570,2575.9715,4270.9110,5273.7124,4568.0037,-3583.2730,-2248.9881,-2659.4332,4867.2733,4142.8489,2963.0585,-6107.5275,2269.6396,-4636.5305,-715.8727,3680.6447,-5354.5836,-118.7158,-1108.2905,0.0000,-947.7992,-5223.8505,1708.6735,5104.6006,-3959.0299,3928.0234,-5519.3691,-4640.0941,2282.8690,1254.7704,-5907.3845,5438.4674,-1353.0664,3243.4471,2897.7040,-447.1193,2088.8367,0.0000,1443.5793,2258.1038,-5434.6250,-4436.6198,-3120.9716,-2846.4931,3705.3003,430.4027,-487.5740,-3021.3332,3517.4581,3351.6999,2361.6047,-5303.9915,4715.7864,-5298.5332,225.8109,2935.6632,-4388.6151,1651.9331,-3444.5742,3734.1479,4282.4264,3415.3741,5127.4262,-628.3670,-2771.4534,-3546.5132,550.7870,-5068.6786,4920.6717,-2996.5280,4618.2304,5361.7680,-4601.0969,-685.8763,6356.0815,-5946.9929,-4115.8596,-4996.8628,-3160.8597,3793.9235,1364.8624,-2785.2348,-5004.7111,-4477.1162,-5061.0277,-3341.7929,5198.6286,-5416.3759,-9405.3724,-7189.9412,-6619.9500,-3045.9499,-11892.9379,-17131.8172,-9932.7088,40353522.2543,40343184.4887,40338448.1729,40347625.5265,-8722.4090,40343507.2304,
300.000,-6127.1370,-1877.8138,-3092.1373,279.8252,-4650.8737,-76.7239,-2718.5644,4937.4505,2822.7635,4609.8063,-3555.1030,-6154.6726,758.7983,-5885.8021,-4822.0646,-4544.7222,-2021.6938,4203.0262,2473.0669,4471.6799,-1654.2789,-3476.9521,-1512.7679,4847.5354,-2291.0433,-4758.7554,-3928.1733,-6582.2170,-1995.9661,-441.4166,-5085.3298,5146.4479,0.0000,5889.1327,-3707.3477,6086.7225,1149.5404,6329.4561,3623.9546,-49.9039,3572.2495,-6856.1561,6833.4801,-3610.2698,-4689.9716,-6718.7754,-4771.3469,-3448.0416,-738.0080,-6776.1828,0.0000,-136.1965,-5663.2908,1841.0890,-3905.1871,-838.4858,-497.3823,-4762.0883,-4317.2790,5893.4558,-5316.0107,4699.6505,75.4227,-5321.6819,-1591.6775,-1337.6517,3613.5120,-6565.6886,-4739.5527,-4640.0269,-291.5602,833.6634,5633.4108,3239.6899,-1527.1204,4689.2069,-6784.9766,540.7347,-4228.8474,-1670.8423,2960.9891,-3117.3530,-1583.3303,-1128.2068,1819.5358,-4212.8040,-3922.0425,2328.2161,-2440.5833,130.6838,696.6082,-6645.2674,-2913.9953,5057.1784,5596.5631,3821.1046,1773.2045,858.6427,6461.4729,-2449.7597,-353493.3030,-376210.5747,-362170.5441,-361155.4409,-360815.3071,-362058.6400,-369137.2628,-365967.1173,-249128947.1202,-249153930.1285,-249131583.7013,-249123205.1697,-365697.7571,-249123635.1984,2959.3839,3716.7169,-5181.9512,5938.0438,2469.2297,-6853.8293,6194.2407,-4304.0144,4963.5508,-498.9451,-2084.6962,-618.6883,-6206.2624,-3482.4506,-4883.6927,-331.4809,3625.1307,-2842.1741,5974.6076,-4069.7017,-5268.8632,-4603.3765,-6160.1488,1946.0398,-514.5631,-4949.1766,-3260.0356,-1364.3928,-4286.3908,-4139.2286,-3974.0639,3576.2086,0.0000,3472.5380,3879.3700,3270.4923,5901.9666,-451.5131,-5273.1634,-4683.9456,4313.5419,444.9451,808.5642,3639.7759,1367.5170,1330.3604,-1442.4935,4538.2540,-6506.3855,-627.1181,0.0000,6918.9019,1318.6660,-4151.4792,-4372.3983,6642.7729,-6800.0224,1239.0929,5046.9842,3453.3988,-40.7532,-116.0018,5337.3392,-4466.5457,3849.8596,-5114.4606,3551.7538,-802.5620,4827.1412,-3629.2407,6909.4769,-6322.8151,-3030.8335,3215.1534,5101.4300,-2745.2686,1139.7091,5241.8713,2053.3038,6577.4766,-2934.7872,-4805.5815,-6519.1300,-5481.5581,3773.0036,-3401.8461,5340.2830,-800.3341,456.7476,6356.6089,-3992.0712,817.9714,3975.9918,-4678.6050,-766.1995,-1731.5519,-4085.6662,5497.9200,1411.1143,-4813.6312,-4959.3278,25499.5201,4185.6432,5694.1552,14273.6594,12586.1683,9961.8201,7971.7800,-30759959.7910,-30707166.2013,-30719018.9067,-30736387.3459,8949.0488,-30743052.8023,-16.2390,-5418.5829,-3315.3767,-3594.9998,-4486.8648,1009.4712,769.4674,-2198.8559,3860.8914,-5041.1766,-5475.6969,3083.6034,2775.7666,-969.3215,855.5451,5175.7395,5504.0217,4701.2817,-2399.1740,-3470.6535,-4082.1470,3759.9990,2738.1366,4302.3214,-6335.4370,513.7042,-4657.3751,1109.0772,4788.0839,-5527.0941,-1920.6196,-2808.4015,0.0000,872.0012,-4352.3429,-528.0282,3526.0508,-2496.9404,2460.9963,-5084.8507,-4096.1247,824.6817,-560.1907,-4699.4883,4862.6277,462.9909,4494.4870,3946.9976,-2206.3496,600.4750,0.0000,-87.0698,3772.2075,-5057.2555,-3678.4995,-1809.0683,-1155.8610,4828.5357,1927.2200,1057.4129,-4357.5178,5095.5456,4225.4593,281.1898,-5519.4046,4461.5189,-4568.8855,2004.6144,1260.2384,-3599.2135,-584.7515,-2221.7897,2602.6411,5185.3686,4266.0460,4201.5565,915.7858,-4523.9318,-5119.6537,-1264.1110,-5517.1411,3848.4301,-1656.2862,4063.2664,5520.9101,-4133.2822,1152.4099,6494.9143,-6510.0310,-2696.1705,-5390.1161,-1517.3844,4900.4143,-447.2811,-3860.8114,-5506.0987,-5290.5508,-4070.1503,-2084.6995,4315.9631,-5566.1350,-9564.0956,-7247.4239,-6931.7547,-3123.0159,-11769.5567,-17358.4718,-10378.9392,40350009.2178,40339317.4386,40334490.0159,40343409.2715,-8859.1972,40339844.6818,
600.000,-5155.1516,251.2600,-4535.6942,1006.7177,-4459.9518,-706.3343,-1262.8793,4277.5012,4587.7240,4956.9317,-4489.5235,-6604.6703,-857.6240,-6188.5400,-5597.6672,-3775.5849,-103.4632,2919.8826,4019.1534,2636.5765,-2817.8851,-4992.8752,-2879.7096,4390.2641,-3040.1553,-5481.5279,-5258.4394,-6204.6338,-3222.8277,-2563.0528,-5216.1213,5096.0691,0.0000,6014.1472,-3000.3266,5400.4403,2013.7149,6539.0530,2720.2082,-1917.9627,5224.2210,-6606.8012,6490.5759,-3735.5455,-4780.7276,-6020.5229,-4182.0318,-1438.7256,-1926.2552,-6706.9644,0.0000,1362.5630,-4224.1333,306.0816,-5460.9667,687.1353,-1701.1611,-3269.9718,-2647.8434,6173.6242,-4176.3532,3027.7343,2066.8094,-5515.7716,413.9332,-3339.7498,5257.9499,-5890.9148,-3857.0547,-5992.6739,-705.1554,-742.5358,5050.4130,3965.9081,611.8626,4444.8804,-6010.0362,1301.0893,-2289.6597,-316.0062,1188.0760,-4681.8428,-3084.2577,-3044.6704,3741.9241,-5649.5762,-2520.2491,2081.2777,-1402.5575,1446.5348,-1495.7425,-6544.1523,-832.7280,3903.4494,4490.8116,2535.9075,-388.8138,2462.2253,6906.3007,-4156.8218,-353228.2154,-376627.6141,-362381.8434,-361384.0119,-360906.2332,-362211.3618,-369169.7176,-366097.7806,-248394084.2188,-248419866.7247,-248397334.5520,-248389028.2876,-365794.0056,-248388784.0353,4163.5515,4235.5050,-4891.8382,4548.9317,4213.2470,-6186.3067,6645.1280,-5406.9828,4331.0558,-2423.2367,-130.5647,1032.1991,-6645.0959,-1900.4681,-3950.6244,1680.8273,4597.0343,-4537.4804,5521.4737,-4788.1288,-3695.9236,-4181.8732,-6196.2823,-37.6153,1535.5671,-3961.6001,-1629.9339,-20.9030,-2530.5813,-3902.6226,-2431.1082,1888.4631,0.0000,2135.2455,5446.1652,3398.8973,6487.8368,-1774.4703,-6253.5341,-5223.1007,3337.5058,1932.5103,-445.3931,5042.5852,3248.5659,2424.8423,564.7160,5005.6946,-5491.3067,893.1264,0.0000,6593.3219,2516.5269,-5406.0184,-3419.2846,6893.4970,-6668.7511,2714.0602,5517.8618,1856.7466,1613.3666,-1135.7478,4549.0867,-3823.2113,4605.1587,-4777.1170,2796.1221,563.2232,5674.1824,-2423.9925,6331.4167,-6670.0540,-4560.6044,1189.2686,4965.0076,-4419.9876,2540.0156,3601.1182,2291.3768,6238.0539,-4188.5949,-4490.7679,-6180.5093,-5399.2009,2849.9823,-2058.9364,5539.9063,-2928.0674,2397.7940,6679.4395,-4076.7990,2046.8359,4182.2363,-5249.5767,-2518.8334,-3484.0796,-4127.8456,5874.0575,-94.8481,-4662.4431,-12366.0778,17613.0460,-3582.2515,-1997.4072,6596.1111,4864.2144,2270.6018,693.5394,-36193721.0678,-36141625.7565,-36153173.0190,-36170044.1904,1238.2099,-36176898.3502,-1553.0224,-5357.6271,-1699.8427,-5155.2938,-3195.2984,3030.0803,-790.2270,-434.6718,2780.0831,-4057.1795,-5176.0797,1763.0792,1388.7950,-2411.6531,-957.1905,5519.3399,5137.2492,4329.0618,-954.3099,-4327.2390,-5056.1452,2242.5705,1037.3867,5147.8888,-5835.4312,-1298.4232,-4175.9142,2808.9166,5336.9673,-5106.5620,-3498.4724,-4199.4520,0.0000,2596.7312,-3011.0830,-2708.1504,1576.4746,-754.1661,721.6127,-4103.0575,-3115.4702,-722.3443,-2314.4236,-2994.4011,3758.6003,2227.9451,5217.4479,4574.3684,-3727.0758,-955.1049,0.0000,-1608.3619,4882.7296,-4107.4278,-2525.0602,-303.7089,659.4622,5427.5356,3216.1545,2488.1192,-5216.1880,6129.7603,4622.6217,-1829.1229,-5141.5295,3727.4891,-3327.4261,3566.8300,-553.1965,-2420.0452,-2759.0558,-741.9195,1189.3831,5528.9783,4638.7504,2814.1156,2362.1687,-5795.7558,-6150.4927,-2941.9151,-5372.5655,2359.0932,-136.9700,3070.8674,5090.4281,-3200.0575,2855.5969,5945.8760,-6389.8804,-984.6361,-5159.0550,293.3565,5487.6871,-2210.9414,-4507.1584,-5417.3981,-5535.2513,-2637.0069,-604.6044,2968.3587,-5716.1071,-9722.7717,-7307.9693,-7247.6688,-3203.3008,-11639.9553,-17580.3424,-10715.8739,40346491.6835,40335450.5063,40330533.1483,40339161.5410,-8995.9795,40336182.2315,
