TIME_UNITS,STARLINK-3655 - X-Coordinate,STARLINK-30071 - X-Coordinate,STARLINK-11118 [DTC] - X-Coordinate,STARLINK-2550 - X-Coordinate,STARLINK-5827 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3655 - Y-Coordinate,STARLINK-30071 - Y-Coordinate,STARLINK-11118 [DTC] - Y-Coordinate,STARLINK-2550 - Y-Coordinate,STARLINK-5827 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3655 - Z-Coordinate,STARLINK-30071 - Z-Coordinate,STARLINK-11118 [DTC] - Z-Coordinate,STARLINK-2550 - Z-Coordinate,STARLINK-5827 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
32400.000,-5591.6071,6028.4724,4070.0068,1868.8876,-6684.1453,-363611.9296,-371747.6197,-362426.5145,-359435.4785,-367939.0601,-366325.8458,-370495.2811,-366257.2302,31876188.3365,31860931.9590,31861555.1221,31860750.7799,-366668.7145,31864188.8711,3399.1636,-125.8632,2751.6706,3682.9763,-568.9195,26944.7052,57023.9913,43377.5075,40853.1779,43612.5562,42903.8255,37477.1911,41031.8223,-326573948.5122,-326545888.0489,-326532789.3238,-326551264.4693,39439.1003,-326557465.5996,2172.1328,3341.7147,-4604.9762,5486.9733,-1709.7240,-16357.0493,-21814.4057,-21757.4253,-13536.2245,-19144.5380,-28659.4750,-20625.4413,-18918.9804,137691247.1807,137660789.7468,137699187.9648,137690797.5351,-19702.7317,137692553.6991,
36000.000,2147.9806,-3672.3610,-6686.3547,-5611.8266,6398.4983,-357020.5356,-373198.9923,-359527.6925,-357907.4275,-365455.2614,-364195.9655,-369076.0845,-364879.6986,115357113.4801,115341146.3133,115333579.9349,115339839.6547,-364849.3698,115344198.7485,-3969.5351,3473.5725,-725.9950,-1687.9054,-1698.4805,-65517.1671,-38246.2985,-50832.8552,-52049.4107,-47854.5994,-49440.6896,-56116.5419,-55055.9184,-307162452.3155,-307138844.7648,-307123158.6830,-307149244.7510,-53666.9818,-307146727.5496,-5218.9554,-4699.3183,241.4248,-3599.9889,-2021.9641,-17838.9756,-23626.8551,-22537.2386,-15896.5508,-18502.0496,-29264.0543,-25662.3469,-22464.5416,137712089.3588,137679474.9585,137713337.8065,137703436.4940,-21363.9717,137710266.7189,
39600.000,2332.2578,748.2379,4879.1471,6834.4782,-3652.5289,-327612.1375,-350542.7483,-333829.0702,-333302.0569,-340172.0284,-339214.3348,-343482.1969,-340043.2902,190958177.9379,190943506.7444,190927208.5879,190947292.0753,-339759.8647,190944789.0323,4297.2757,-6167.6439,-1674.3894,-36.3118,3799.6507,-152697.2767,-130710.4842,-141745.9863,-141757.9770,-136711.5509,-138393.7829,-145755.4485,-142084.4735,-266795049.3185,-266775255.1696,-266761045.0735,-266788733.3109,-143344.1868,-266780394.8809,4853.9820,2988.7896,4314.6870,-750.1825,4475.6295,-19390.6639,-25410.8962,-23000.3551,-18736.6047,-18501.1792,-29170.1399,-29726.5424,-21749.8699,137732772.2076,137698645.2509,137727349.2852,137721687.1500,-23022.9474,137727938.4477,
43200.000,-5373.6776,1741.8991,-368.3137,-4743.0608,-131.6163,-277630.6240,-305248.4390,-286985.7429,-287326.5678,-293520.9347,-292875.2530,-296140.5606,-292621.2632,253521648.3342,253509822.0317,253486008.1363,253518209.4264,-293003.3123,253508322.7360,-4108.2249,6642.4897,4401.7013,1955.5502,-5531.4137,-229204.0990,-214350.5306,-223650.9192,-222737.9831,-216782.0881,-218671.2630,-225792.5956,-224725.4384,-208228613.1386,-208211209.0529,-208202343.2022,-208222214.2846,-223870.0769,-208215082.4157,-1355.6963,647.0936,-5082.6127,4567.7359,-4163.0921,-20999.2525,-27160.1816,-23467.0928,-22126.6118,-19054.4532,-28282.2921,-32962.6140,-26196.4850,137753100.7232,137718392.1898,137741337.7455,137742851.5985,-24679.4897,137745568.8880,
46800.000,5722.1985,-3705.7982,-3374.5187,828.9822,3258.2604,-210528.0007,-240259.9320,-221930.1251,-223408.0923,-228355.4877,-227711.0284,-230398.3251,-228042.2787,298780056.4702,298771842.0367,298743267.3980,298780535.7388,-227566.1134,298767287.3513,2354.3763,-4339.4760,-5663.3758,-4293.5897,5974.8412,-290410.3335,-283702.7677,-291391.5733,-290186.7885,-282794.9036,-285950.5141,-291260.0328,-289468.8442,-135461511.4480,-135444541.6811,-135443997.3501,-135450292.4808,-290107.2006,-135448885.2441,-3049.8934,-3881.4520,1347.2949,-5309.2099,1245.3546,-22655.8092,-28865.8378,-24256.1477,-26127.5121,-20088.0996,-26530.4892,-35484.7414,-24716.7894,137772900.1749,137738825.1405,137755418.3196,137764819.8598,-26333.4298,137763158.0423,
50400.000,-4056.8938,5140.3273,4511.5117,2542.8842,-4841.9565,-130735.3529,-159806.0745,-142719.7376,-147637.8678,-148754.7603,-146814.8388,-150575.4460,-147389.5631,323647278.1605,323642450.7149,323612947.4565,323646560.8936,-147626.9472,323635385.2979,1152.5063,361.2692,3497.4819,5902.1931,-4303.4138,-332712.8311,-334211.6558,-340652.2234,-339711.0203,-330478.1738,-338034.8570,-338158.1535,-338145.3371,-53460595.7255,-53441980.7137,-53451254.4747,-53443528.2697,-337831.2397,-53448439.9105,5447.3479,4576.4812,3557.5962,2434.0480,2427.8056,-24353.8403,-30514.6573,-25599.1387,-29578.4584,-21562.9539,-25666.6046,-37353.5139,-29735.7506,137792027.4217,137760067.4520,137769711.4018,137786385.2288,-27984.5995,137780705.9134,
54000.000,1969.3850,-5594.3259,-3816.3512,-4069.8513,5123.4293,-43378.6167,-69122.7693,-54334.1437,-62458.0957,-59734.5974,-56311.0021,-61756.1715,-58434.7123,326428948.2448,326426272.4096,326400081.2934,326422715.5377,-58289.5725,326417994.3790,-5001.5914,3311.2157,1498.3109,-5136.5881,668.4890,-353726.7318,-362522.1319,-368227.2204,-365288.7453,-356773.3746,-367819.1185,-363672.7331,-363790.5284,32177851.1519,32199785.7708,32181098.3339,32198196.4988,-364000.7159,32190071.6669,-4326.6575,-2314.0107,-5341.7376,2070.1720,-4609.3916,-26088.4605,-32085.2792,-27578.4892,-29073.8104,-23466.7434,-30556.5037,-38589.2991,-27861.0402,137810380.1824,137782236.8534,137784348.4195,137806608.1246,-29632.8312,137798212.5037,
57600.000,-241.2298,4209.5373,2429.7407,4223.5098,-4568.6024,46041.4190,25904.2823,37599.0166,28933.5134,33096.1242,37211.1698,30513.9661,34494.1014,306937872.0056,306935352.4734,306916282.3011,306924736.1762,34743.4466,306927646.5623,6881.1630,-5264.8731,-5798.2631,1584.4311,3414.5903,-352403.3092,-366687.2791,-372261.3498,-367581.6354,-360015.8774,-371167.1050,-366315.9389,-367144.6481,115610056.6752,115636008.0073,115610401.2716,115628634.4628,-366951.0150,115622837.5053,371.4545,-1471.8497,2394.8800,-5192.3634,3909.5146,-27855.8992,-33538.7875,-30105.2932,-28415.4146,-25811.1160,-35577.0373,-39177.5990,-33056.8685,137827903.6598,137805387.1099,137799478.1300,137824427.9599,-31277.9576,137815677.8158,
61200.000,-1459.9412,-863.3167,-288.1710,-3919.6915,3257.3958,131984.5062,119190.9027,127157.3107,118904.2741,123921.3102,127962.2910,120582.2103,125891.1331,266506581.4483,266502046.7299,266492496.7516,266490039.6496,125535.2027,266496655.8905,-5561.6539,5332.0168,6178.3764,3000.0328,-6055.5942,-329066.2663,-346271.1636,-352424.6362,-346940.7444,-340049.3023,-350212.2014,-345976.3779,-346199.5121,191143518.8422,191172758.6109,191144659.4630,191155616.3422,-346500.3387,191157186.0423,3800.1013,4281.2133,2646.7452,4776.5742,-795.1491,-29653.1883,-34789.5011,-32943.0967,-28397.6627,-28634.1899,-39623.8655,-39066.3898,-31203.4048,137844594.0896,137829381.0768,137815273.2689,137838468.8642,-32919.8125,137833101.8525,
64800.000,3642.7872,-3283.3174,-2921.7748,3219.5325,-839.2737,209201.3292,205220.2162,208537.1222,201207.9251,207137.4303,210229.5089,203094.4333,207679.4269,207896204.7384,207888172.8510,207888148.0791,207884227.0482,208293.7650,207886045.0415,1956.8628,-4260.0620,-2820.4870,-5967.1724,6259.8957,-285366.3615,-302413.5110,-309977.3554,-304508.6514,-298289.1068,-307089.8399,-303855.4241,-304561.9622,253625376.0718,253655757.2267,253630769.6570,253633177.9009,-303960.8361,253640000.4884,-5523.9754,-4324.8845,-5371.3152,-1143.1622,-2834.1860,-31477.9559,-35572.0203,-35771.2225,-28933.0367,-32006.1839,-42841.6021,-38160.2293,-36159.1874,137860498.9844,137853729.5378,137831936.2098,137848619.9351,-34558.2298,137850484.6162,
68400.000,-5599.6358,6220.6216,5695.4498,-1265.2155,-2476.4039,273039.5304,280068.6740,276480.2928,270433.0626,277804.2163,278906.8451,273586.6011,278291.7610,135107889.2768,135096325.2999,135102893.3710,135101910.1255,277742.0908,135096996.0510,1699.7224,2546.5913,-1286.5701,5905.6761,-4444.8280,-224159.1021,-240671.8008,-247695.1984,-242874.7890,-237896.4559,-244881.6776,-242217.0744,-241208.6640,298793896.8212,298822641.8374,298805966.3494,298808116.5966,-242054.2385,298809275.3286,3639.4988,1542.3464,3338.8821,-3289.4876,4681.2730,-33328.2840,-35410.4753,-38270.6664,-29947.7656,-35987.9684,-45344.4178,-36389.1594,-34739.8236,137875714.0568,137877621.9865,137849699.1600,137860967.1893,-36193.0442,137867826.1096,
72000.000,5758.9570,-6523.5317,-5439.4488,-2121.0100,5593.0164,319708.0695,335031.2697,326653.4663,322106.4813,331334.9196,329794.2988,329656.4170,328976.5935,53109661.6033,53096021.6775,53103860.5119,53101748.6848,329454.8690,53097701.1402,-3748.7666,-208.3161,3614.1413,-3571.7503,1858.3178,-149314.6071,-165912.5560,-169655.8538,-165896.6489,-164741.7563,-167684.8547,-163923.9965,-165987.0215,323569122.5263,323594074.1737,323588545.6089,323592608.9200,-164737.4364,323584831.0651,588.9975,2224.3658,1621.4721,5468.8224,-3634.1142,-35202.6033,-36363.5504,-40209.5453,-31402.6891,-39417.7783,-47192.8957,-35506.3034,-39065.0197,137890377.0212,137900324.2975,137868806.8349,137878906.5738,-37824.0913,137885126.3353,
75600.000,-3132.3797,4368.8438,1361.7506,5555.9971,-6886.1691,346485.5663,368237.7790,355930.0310,352919.4574,361446.4660,359827.6847,363950.9376,360321.7427,-32502631.1645,-32516097.0840,-32513010.2529,-32517814.2034,360140.7718,-32515739.2641,4230.9870,-2779.5992,-4093.5812,858.7260,605.1171,-65472.4043,-79106.7256,-80921.5869,-78425.1469,-81112.7144,-80417.6080,-74954.0016,-75517.2648,326262852.8211,326283275.5381,326288110.2579,326290403.3690,-76949.1991,326278357.3380,-4459.6219,-4563.0526,-5170.0879,-3961.9225,309.3085,-37099.6099,-37877.0559,-41505.1971,-33285.5387,-38891.3592,-48407.3995,-40375.8423,-38439.9023,137904658.6748,137921539.4798,137889454.9960,137899720.4796,-39451.2070,137902385.2960,
79200.000,-1274.1955,-1154.8606,3847.8445,-6774.2995,5499.5609,351861.9089,378298.5531,362553.1839,360923.8846,368507.4293,367235.3574,372057.4771,368037.4603,-115887164.4862,-115898249.6477,-115904481.4931,-115909696.6238,367852.0898,-115901226.0689,-4071.4196,5549.7862,3645.8665,1145.7991,-2726.4565,22243.2864,13930.4479,12828.7575,14028.6801,9898.3466,11473.1361,18191.5654,14043.9139,306693664.9985,306710273.8839,306721140.8063,306718745.4655,15705.7254,306708461.2141,5408.9999,3921.5570,4138.5229,-252.8671,3187.9651,-39018.1874,-39562.8373,-42246.2899,-35607.9657,-38211.0641,-48973.4281,-45374.0121,-41815.7462,137918751.8372,137941350.2692,137911646.6852,137921318.3773,-41074.2280,137919602.9944,
82800.000,5060.5744,-1680.5533,-6324.7731,4682.3088,-2065.2554,335606.4719,364561.4656,346190.6866,345664.2444,352577.0313,351606.0111,355809.7167,351515.9011,-191354717.9035,-191361843.3758,-191378666.7948,-191380708.8515,352108.3907,-191369314.9707,3713.4183,-6649.2309,-2239.6905,-2648.1092,4625.8742,108530.4276,107056.1119,105668.9002,105673.3433,100685.7884,102359.4026,109757.7590,108911.4610,266199135.4296,266213714.0950,266224143.2271,266217186.7390,107314.8895,266212880.8045,-2864.7590,-748.0711,526.0990,4272.5288,-4720.2613,-40957.3191,-41326.4396,-42669.0158,-38408.0895,-38170.4606,-48838.9538,-49397.5029,-42249.3267,137932858.8627,137959989.3823,137934979.3128,137942501.2215,-42692.9918,137936779.4330,
86400.000,-6250.2242,3660.4346,4702.4023,-478.0754,-1704.2746,298760.5006,327789.7049,307910.9738,308259.7349,314504.3446,313843.5827,317047.0490,314956.3475,-253756810.4368,-253759338.1027,-253784128.5045,-253780420.3668,313926.3455,-253771410.5148,-2460.1189,5062.4967,-834.4443,4212.8535,-5832.2826,188220.0779,194199.2751,191768.3180,190855.3162,184952.3072,186836.1190,193984.8033,190532.2444,207544438.6730,207559362.7630,207563178.8014,207554532.6823,192035.8697,207557041.9874,-1566.7768,-2931.4737,-4746.6262,-5416.0064,3302.7195,-42915.9600,-43131.1067,-43093.7482,-41756.1228,-38681.9871,-47908.5332,-52590.9569,-44466.7459,137947178.5358,137977696.2749,137958565.7924,137962329.6923,-44307.3366,137953914.6146,
