sl_100_5400_20280425 Coordinates.csv
2028/04/25 07:47:00.0000 UTC

Generated: Tue Oct  8 21:40:49 2024,
Start: 2028/04/25 07:47:00.00, Stop: 2028/04/25 09:17:00.00,
TIME_UNITS,STARLINK-30341 - X-Coordinate,STARLINK-5709 - X-Coordinate,STARLINK-30854 - X-Coordinate,STARLINK-30129 - X-Coordinate,STARLINK-32173 - X-Coordinate,STARLINK-4719 - X-Coordinate,STARLINK-2749 - X-Coordinate,STARLINK-31188 - X-Coordinate,STARLINK-11250 [DTC] - X-Coordinate,STARLINK-5630 - X-Coordinate,STARLINK-30508 - X-Coordinate,STARLINK-3177 - X-Coordinate,STARLINK-31903 - X-Coordinate,STARLINK-5646 - X-Coordinate,STARLINK-30116 - X-Coordinate,STARLINK-3450 - X-Coordinate,STARLINK-4084 - X-Coordinate,STARLINK-1776 - X-Coordinate,STARLINK-5885 - X-Coordinate,STARLINK-4646 - X-Coordinate,STARLINK-2264 - X-Coordinate,STARLINK-3691 - X-Coordinate,STARLINK-3973 - X-Coordinate,STARLINK-3895 - X-Coordinate,STARLINK-1342 - X-Coordinate,STARLINK-30962 - X-Coordinate,STARLINK-2240 - X-Coordinate,STARLINK-31941 - X-Coordinate,STARLINK-4470 - X-Coordinate,STARLINK-1568 - X-Coordinate,STARLINK-30543 - X-Coordinate,STARLINK-31885 - X-Coordinate,STARLINK-3559 - X-Coordinate,STARLINK-31842 - X-Coordinate,STARLINK-6063 - X-Coordinate,STARLINK-30947 - X-Coordinate,STARLINK-6099 - X-Coordinate,STARLINK-4515 - X-Coordinate,STARLINK-3520 - X-Coordinate,STARLINK-6201 - X-Coordinate,STARLINK-3198 - X-Coordinate,STARLINK-31450 - X-Coordinate,STARLINK-4201 - X-Coordinate,STARLINK-6028 - X-Coordinate,STARLINK-30545 - X-Coordinate,STARLINK-30905 - X-Coordinate,STARLINK-5428 - X-Coordinate,STARLINK-5346 - X-Coordinate,STARLINK-5422 - X-Coordinate,STARLINK-31562 - X-Coordinate,STARLINK-11142 [DTC] - X-Coordinate,STARLINK-31760 - X-Coordinate,STARLINK-1669 - X-Coordinate,STARLINK-30102 - X-Coordinate,STARLINK-1463 - X-Coordinate,STARLINK-5812 - X-Coordinate,STARLINK-4622 - X-Coordinate,STARLINK-2054 - X-Coordinate,STARLINK-5976 - X-Coordinate,STARLINK-3362 - X-Coordinate,STARLINK-31244 - X-Coordinate,STARLINK-5686 - X-Coordinate,STARLINK-3593 - X-Coordinate,STARLINK-5620 - X-Coordinate,STARLINK-5021 - X-Coordinate,STARLINK-31684 - X-Coordinate,STARLINK-30493 - X-Coordinate,STARLINK-6179 - X-Coordinate,STARLINK-3419 - X-Coordinate,STARLINK-3624 - X-Coordinate,STARLINK-30758 - X-Coordinate,STARLINK-5638 - X-Coordinate,STARLINK-31891 - X-Coordinate,STARLINK-31994 - X-Coordinate,STARLINK-5525 - X-Coordinate,STARLINK-1781 - X-Coordinate,STARLINK-5701 - X-Coordinate,STARLINK-31331 - X-Coordinate,STARLINK-1533 - X-Coordinate,STARLINK-5535 - X-Coordinate,STARLINK-5886 - X-Coordinate,STARLINK-32226 - X-Coordinate,STARLINK-2422 - X-Coordinate,STARLINK-1653 - X-Coordinate,STARLINK-31180 - X-Coordinate,STARLINK-1166 - X-Coordinate,STARLINK-5491 - X-Coordinate,STARLINK-4747 - X-Coordinate,STARLINK-3526 - X-Coordinate,STARLINK-5444 - X-Coordinate,STARLINK-4275 - X-Coordinate,STARLINK-4669 - X-Coordinate,STARLINK-32085 - X-Coordinate,STARLINK-2483 - X-Coordinate,STARLINK-31214 - X-Coordinate,STARLINK-1526 - X-Coordinate,STARLINK-5941 - X-Coordinate,STARLINK-11099 [DTC] - X-Coordinate,STARLINK-30937 - X-Coordinate,STARLINK-31385 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30341 - Y-Coordinate,STARLINK-5709 - Y-Coordinate,STARLINK-30854 - Y-Coordinate,STARLINK-30129 - Y-Coordinate,STARLINK-32173 - Y-Coordinate,STARLINK-4719 - Y-Coordinate,STARLINK-2749 - Y-Coordinate,STARLINK-31188 - Y-Coordinate,STARLINK-11250 [DTC] - Y-Coordinate,STARLINK-5630 - Y-Coordinate,STARLINK-30508 - Y-Coordinate,STARLINK-3177 - Y-Coordinate,STARLINK-31903 - Y-Coordinate,STARLINK-5646 - Y-Coordinate,STARLINK-30116 - Y-Coordinate,STARLINK-3450 - Y-Coordinate,STARLINK-4084 - Y-Coordinate,STARLINK-1776 - Y-Coordinate,STARLINK-5885 - Y-Coordinate,STARLINK-4646 - Y-Coordinate,STARLINK-2264 - Y-Coordinate,STARLINK-3691 - Y-Coordinate,STARLINK-3973 - Y-Coordinate,STARLINK-3895 - Y-Coordinate,STARLINK-1342 - Y-Coordinate,STARLINK-30962 - Y-Coordinate,STARLINK-2240 - Y-Coordinate,STARLINK-31941 - Y-Coordinate,STARLINK-4470 - Y-Coordinate,STARLINK-1568 - Y-Coordinate,STARLINK-30543 - Y-Coordinate,STARLINK-31885 - Y-Coordinate,STARLINK-3559 - Y-Coordinate,STARLINK-31842 - Y-Coordinate,STARLINK-6063 - Y-Coordinate,STARLINK-30947 - Y-Coordinate,STARLINK-6099 - Y-Coordinate,STARLINK-4515 - Y-Coordinate,STARLINK-3520 - Y-Coordinate,STARLINK-6201 - Y-Coordinate,STARLINK-3198 - Y-Coordinate,STARLINK-31450 - Y-Coordinate,STARLINK-4201 - Y-Coordinate,STARLINK-6028 - Y-Coordinate,STARLINK-30545 - Y-Coordinate,STARLINK-30905 - Y-Coordinate,STARLINK-5428 - Y-Coordinate,STARLINK-5346 - Y-Coordinate,STARLINK-5422 - Y-Coordinate,STARLINK-31562 - Y-Coordinate,STARLINK-11142 [DTC] - Y-Coordinate,STARLINK-31760 - Y-Coordinate,STARLINK-1669 - Y-Coordinate,STARLINK-30102 - Y-Coordinate,STARLINK-1463 - Y-Coordinate,STARLINK-5812 - Y-Coordinate,STARLINK-4622 - Y-Coordinate,STARLINK-2054 - Y-Coordinate,STARLINK-5976 - Y-Coordinate,STARLINK-3362 - Y-Coordinate,STARLINK-31244 - Y-Coordinate,STARLINK-5686 - Y-Coordinate,STARLINK-3593 - Y-Coordinate,STARLINK-5620 - Y-Coordinate,STARLINK-5021 - Y-Coordinate,STARLINK-31684 - Y-Coordinate,STARLINK-30493 - Y-Coordinate,STARLINK-6179 - Y-Coordinate,STARLINK-3419 - Y-Coordinate,STARLINK-3624 - Y-Coordinate,STARLINK-30758 - Y-Coordinate,STARLINK-5638 - Y-Coordinate,STARLINK-31891 - Y-Coordinate,STARLINK-31994 - Y-Coordinate,STARLINK-5525 - Y-Coordinate,STARLINK-1781 - Y-Coordinate,STARLINK-5701 - Y-Coordinate,STARLINK-31331 - Y-Coordinate,STARLINK-1533 - Y-Coordinate,STARLINK-5535 - Y-Coordinate,STARLINK-5886 - Y-Coordinate,STARLINK-32226 - Y-Coordinate,STARLINK-2422 - Y-Coordinate,STARLINK-1653 - Y-Coordinate,STARLINK-31180 - Y-Coordinate,STARLINK-1166 - Y-Coordinate,STARLINK-5491 - Y-Coordinate,STARLINK-4747 - Y-Coordinate,STARLINK-3526 - Y-Coordinate,STARLINK-5444 - Y-Coordinate,STARLINK-4275 - Y-Coordinate,STARLINK-4669 - Y-Coordinate,STARLINK-32085 - Y-Coordinate,STARLINK-2483 - Y-Coordinate,STARLINK-31214 - Y-Coordinate,STARLINK-1526 - Y-Coordinate,STARLINK-5941 - Y-Coordinate,STARLINK-11099 [DTC] - Y-Coordinate,STARLINK-30937 - Y-Coordinate,STARLINK-31385 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30341 - Z-Coordinate,STARLINK-5709 - Z-Coordinate,STARLINK-30854 - Z-Coordinate,STARLINK-30129 - Z-Coordinate,STARLINK-32173 - Z-Coordinate,STARLINK-4719 - Z-Coordinate,STARLINK-2749 - Z-Coordinate,STARLINK-31188 - Z-Coordinate,STARLINK-11250 [DTC] - Z-Coordinate,STARLINK-5630 - Z-Coordinate,STARLINK-30508 - Z-Coordinate,STARLINK-3177 - Z-Coordinate,STARLINK-31903 - Z-Coordinate,STARLINK-5646 - Z-Coordinate,STARLINK-30116 - Z-Coordinate,STARLINK-3450 - Z-Coordinate,STARLINK-4084 - Z-Coordinate,STARLINK-1776 - Z-Coordinate,STARLINK-5885 - Z-Coordinate,STARLINK-4646 - Z-Coordinate,STARLINK-2264 - Z-Coordinate,STARLINK-3691 - Z-Coordinate,STARLINK-3973 - Z-Coordinate,STARLINK-3895 - Z-Coordinate,STARLINK-1342 - Z-Coordinate,STARLINK-30962 - Z-Coordinate,STARLINK-2240 - Z-Coordinate,STARLINK-31941 - Z-Coordinate,STARLINK-4470 - Z-Coordinate,STARLINK-1568 - Z-Coordinate,STARLINK-30543 - Z-Coordinate,STARLINK-31885 - Z-Coordinate,STARLINK-3559 - Z-Coordinate,STARLINK-31842 - Z-Coordinate,STARLINK-6063 - Z-Coordinate,STARLINK-30947 - Z-Coordinate,STARLINK-6099 - Z-Coordinate,STARLINK-4515 - Z-Coordinate,STARLINK-3520 - Z-Coordinate,STARLINK-6201 - Z-Coordinate,STARLINK-3198 - Z-Coordinate,STARLINK-31450 - Z-Coordinate,STARLINK-4201 - Z-Coordinate,STARLINK-6028 - Z-Coordinate,STARLINK-30545 - Z-Coordinate,STARLINK-30905 - Z-Coordinate,STARLINK-5428 - Z-Coordinate,STARLINK-5346 - Z-Coordinate,STARLINK-5422 - Z-Coordinate,STARLINK-31562 - Z-Coordinate,STARLINK-11142 [DTC] - Z-Coordinate,STARLINK-31760 - Z-Coordinate,STARLINK-1669 - Z-Coordinate,STARLINK-30102 - Z-Coordinate,STARLINK-1463 - Z-Coordinate,STARLINK-5812 - Z-Coordinate,STARLINK-4622 - Z-Coordinate,STARLINK-2054 - Z-Coordinate,STARLINK-5976 - Z-Coordinate,STARLINK-3362 - Z-Coordinate,STARLINK-31244 - Z-Coordinate,STARLINK-5686 - Z-Coordinate,STARLINK-3593 - Z-Coordinate,STARLINK-5620 - Z-Coordinate,STARLINK-5021 - Z-Coordinate,STARLINK-31684 - Z-Coordinate,STARLINK-30493 - Z-Coordinate,STARLINK-6179 - Z-Coordinate,STARLINK-3419 - Z-Coordinate,STARLINK-3624 - Z-Coordinate,STARLINK-30758 - Z-Coordinate,STARLINK-5638 - Z-Coordinate,STARLINK-31891 - Z-Coordinate,STARLINK-31994 - Z-Coordinate,STARLINK-5525 - Z-Coordinate,STARLINK-1781 - Z-Coordinate,STARLINK-5701 - Z-Coordinate,STARLINK-31331 - Z-Coordinate,STARLINK-1533 - Z-Coordinate,STARLINK-5535 - Z-Coordinate,STARLINK-5886 - Z-Coordinate,STARLINK-32226 - Z-Coordinate,STARLINK-2422 - Z-Coordinate,STARLINK-1653 - Z-Coordinate,STARLINK-31180 - Z-Coordinate,STARLINK-1166 - Z-Coordinate,STARLINK-5491 - Z-Coordinate,STARLINK-4747 - Z-Coordinate,STARLINK-3526 - Z-Coordinate,STARLINK-5444 - Z-Coordinate,STARLINK-4275 - Z-Coordinate,STARLINK-4669 - Z-Coordinate,STARLINK-32085 - Z-Coordinate,STARLINK-2483 - Z-Coordinate,STARLINK-31214 - Z-Coordinate,STARLINK-1526 - Z-Coordinate,STARLINK-5941 - Z-Coordinate,STARLINK-11099 [DTC] - Z-Coordinate,STARLINK-30937 - Z-Coordinate,STARLINK-31385 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-5807.5975,-5015.5651,-1229.6535,-6251.5495,-2335.9820,1769.5630,4141.6668,-5118.0407,5311.7657,1788.4463,-4483.5410,-966.1166,-5131.6517,-0.8431,794.1338,4268.4511,-1817.8874,-4251.7910,2607.0089,-6403.9100,6844.7432,3292.0931,-5963.2038,3083.7761,2842.9921,-4754.4988,-1239.8945,-4891.2835,1473.3568,-5954.3726,4241.6988,3838.6025,4630.8001,4824.3672,-2008.5993,-6849.4852,2106.0935,319.6053,243.0526,-5788.7225,-1690.9744,4134.0945,5866.3257,-738.3184,-6123.6094,1036.4751,5671.1205,5754.9703,-5458.4625,-1382.5023,5435.2726,-3195.9747,-5472.7122,2358.7820,-4561.6830,-2492.5193,-5416.6905,2463.5428,5373.2066,1516.5314,-6017.9285,4112.8848,1594.8324,1898.9610,-4957.5694,-642.5580,-52.4676,-6930.1582,-42.0178,-3821.2505,-5801.0678,3811.7953,-2561.0275,3547.3471,-6378.4928,-4235.7524,-2955.9757,2808.5233,3775.5925,4985.9734,-1765.1166,1861.9834,-4772.9465,3917.7851,4105.7562,4450.2222,1964.4526,-1864.3889,-954.1449,5730.5688,5108.0588,-3761.0232,1953.4226,4787.8056,-2111.4540,6250.4057,3143.6447,-3997.0561,1059.7132,-650.5600,-152891.3981,-141286.9151,-148196.6332,-148519.8738,-150984.0324,-149681.4439,-141777.3936,-145642.2435,-200203512.0821,-200203619.0151,-200215573.2265,-200215198.1193,-144937.7855,-200218994.7272,-2963.3743,-760.7428,5049.7119,-799.2240,-3372.3721,-6322.1383,-431.4676,-3057.9887,-2194.1359,-2519.0041,2393.5194,-5416.3682,-4513.5905,-6924.7031,-6879.3066,-4152.8403,6222.2186,-931.6273,2560.8585,2580.4998,-863.8564,-2852.0958,2799.4473,2759.0658,-4026.7007,2152.0085,6799.5033,677.4366,-2739.5200,-1666.1509,4141.4832,-3134.1647,5086.4735,-4819.0406,-2562.7403,-544.4850,-5124.1771,-6516.3328,-6647.5579,-3047.3703,6289.8141,1035.5591,867.6423,2943.7681,3004.1989,-6516.0302,2595.9623,2512.0807,-4134.3351,-4811.5441,-1222.9991,-4877.3806,-3760.1633,-4975.5154,2372.3820,-319.4623,4240.6608,-3855.8732,3596.9489,-6730.6122,-3045.6994,-5234.3040,6500.7090,5808.8120,-503.8499,5407.9759,-4196.5884,117.1136,4414.0833,2746.7097,2061.9378,2695.6177,-5197.8696,4954.9864,-2223.5936,3563.0212,-4829.4397,5982.7956,-3792.7041,3478.5069,-2073.5513,-6082.2786,-4925.1773,-5458.0779,4410.8350,4879.0669,4662.5933,6639.4627,6362.2377,2577.5362,2054.7201,-4086.4679,4644.3337,-4332.7265,-5711.2647,398.0222,5117.6547,649.6083,4565.9201,5805.0721,355853.7123,340013.0555,344357.0954,343842.7987,335599.8409,337122.7471,337326.9644,338428.1283,292666588.0426,292616100.3523,292643605.4409,292657489.1995,339257.4778,292661348.8872,2226.6623,-4703.4978,4545.0905,-2886.4516,5419.8528,2233.1683,-5527.5910,-3184.1470,3407.8471,-6216.1863,-4728.2415,-4189.9384,-273.2444,439.7199,180.1799,3477.1896,2366.0350,5083.6588,5890.8947,-111.2253,-31.2243,5356.3121,2045.6972,-5521.0464,4659.1105,-4549.3780,-121.2481,4540.2347,6112.1143,-2935.2155,-3336.6819,4587.9798,600.5631,210.9062,6126.2745,918.9862,-4158.8733,2272.5845,-1860.1358,2213.0528,2315.1821,5359.0593,3531.7604,-6252.6804,-1283.2968,2108.7746,2921.6113,-2919.3803,-850.3989,-4638.4615,-3704.4647,-3518.1892,1881.5554,-4212.0818,4586.2191,-6498.7877,-636.4143,5179.9426,2505.1275,-601.5267,1076.0158,1902.8600,-1693.3936,-3206.3361,-4794.1799,-4077.5162,5394.5770,-13.1063,5288.3088,-5049.9782,3159.2015,-5136.3339,-3579.5736,3162.5318,-1570.5664,4119.4936,4054.5411,1757.2926,4065.2965,3329.0661,-6387.3787,2549.9609,-260.3439,1407.8510,-3351.8401,-1601.3502,4711.6335,453.6619,-2536.7218,2831.6063,-4145.8162,-4055.9269,-4549.9515,-2337.2038,3051.4618,2685.1005,-3458.6412,-5379.0211,4970.9808,3550.3994,136164.9304,134493.6854,134410.6130,136123.3612,138955.4735,129561.6166,125143.0675,134827.3663,64534014.7584,64515388.5232,64506210.1468,64516602.4573,133360.4269,64521758.3511,
300.000,-6656.4030,-5216.7277,924.5264,-6712.4651,-4112.8663,616.3048,3685.5882,-6258.4437,3690.5841,1130.8134,-3344.6007,-2327.4864,-5821.1411,-1491.6864,-720.3981,3660.7733,-666.0920,-5113.1986,727.7761,-5661.1060,6345.0194,1406.0520,-4652.5947,4449.4094,1781.4895,-3366.9375,9.5287,-4526.2544,2965.5618,-5335.4354,4845.8404,2199.3372,5184.8183,3479.3712,-3961.5074,-6838.4050,9.6043,-1018.8586,-1048.7410,-5215.8516,-528.3091,4001.4682,4980.2709,1253.6994,-4910.4500,-494.9317,5309.9251,5645.9393,-5743.7847,-3345.8258,3959.6966,-4226.1643,-6303.5932,259.8696,-4357.5981,-2021.2879,-5551.8883,330.9867,4171.4554,233.6593,-6614.1439,2940.4191,2816.4030,2225.1426,-5762.9912,1243.4107,-2155.7891,-6567.7420,1982.0352,-3203.3394,-5507.1622,3086.3079,-3808.8246,4932.2780,-6265.5905,-2336.3226,-4719.8583,3987.9447,3096.1959,3588.3229,177.6187,305.9487,-5441.8161,2932.3200,4794.4692,4872.9612,3855.7128,-581.5713,277.6528,5368.9160,6266.6297,-5303.3387,3906.4870,4117.7301,-3806.2460,5344.2435,4798.3283,-3332.8607,2993.7601,718.8915,-160409.7199,-148096.6084,-155193.4005,-155534.6867,-158105.7771,-156758.0610,-148952.1444,-152498.0479,-206544457.3839,-206543616.9241,-206556042.3899,-206555813.4716,-152044.3150,-206559950.8342,-1615.4346,1355.0522,4975.2845,809.3216,-2160.6761,-6893.1825,-2543.0591,-1716.1832,-3129.1424,-4395.6233,4191.7619,-4004.5579,-3115.7446,-6688.2411,-6757.1878,-5531.3278,6843.1235,919.8437,1556.3132,3571.2832,-2013.1354,-3936.4456,3597.1190,1100.6784,-5549.1562,3793.5354,6647.5423,2795.2142,-3897.8961,-57.7983,2242.2516,-4576.4767,3903.4089,-5604.7411,-2573.1150,962.8871,-5127.2010,-5687.0151,-5893.6377,-1969.0982,6871.7051,-1149.0182,-734.8471,2033.1889,4108.9520,-6882.1490,925.7750,626.4979,-2828.2448,-3890.2152,-2467.4046,-3136.6579,-2813.9546,-5109.6430,4163.2903,1832.2687,3780.0528,-4144.5199,3316.5877,-6512.1250,-1642.8274,-6257.1437,6300.8685,4365.9843,1158.8567,5918.9582,-4364.6417,1601.5665,3627.5308,4581.5821,3759.7810,873.4965,-3592.6112,4530.3604,-548.8597,4033.6757,-4116.5647,5558.2816,-5349.0208,3042.3470,-982.3699,-5553.1442,-3881.9184,-6196.1106,2564.7987,3463.4360,3663.0413,6518.0506,6860.9086,927.5026,855.7448,-3506.3015,3841.1260,-5462.2855,-5381.7018,-1019.9239,4472.7764,2744.5190,4708.5576,6504.0909,352455.7733,336644.6562,341235.5764,340627.3932,332402.3110,333922.4551,334169.5142,335602.7670,288224954.7242,288174881.7064,288202430.0002,288216688.5046,336086.9774,288219792.5074,759.2715,-4336.4935,4696.4488,-1524.5045,4962.8263,475.5241,-5276.3650,-1886.2442,4604.5136,-5250.8163,-4407.9275,-5135.7283,-1789.6597,-1101.7783,-1354.0002,1895.4396,617.1706,4221.5532,6715.2591,1688.0587,-1819.8308,5494.3322,3600.8013,-5156.4774,3473.5051,-4712.6935,-1903.1678,4088.1917,4805.3130,-4288.0230,-4215.9044,4453.0189,2351.0046,1733.3351,5084.4418,-626.1049,-4658.9484,3784.0609,-3448.2560,4070.1329,562.5930,5435.5906,4719.3505,-6526.7587,-2682.0803,630.9093,4284.3935,-3961.6275,-2576.9877,-4499.8920,-4795.7661,-4322.7691,97.2302,-4678.7139,3344.1805,-6411.0050,1606.9950,5520.3563,4432.6247,-2349.7854,-477.6068,404.4930,106.0031,-4861.3589,-3639.6829,-3114.0926,4799.0597,-1537.6624,5510.2037,-4047.9864,1856.4357,-6155.8489,-4356.6948,1519.8990,-2924.9262,5084.7033,3049.0448,-44.8300,2645.5494,5087.7260,-6870.6523,3999.9118,1546.5161,-403.6930,-4241.4021,-3232.4733,4418.1020,2215.9408,-806.5917,4217.4704,-2735.6658,-2618.9378,-4008.6651,-585.2841,1721.6033,4099.2848,-2234.4268,-5166.1895,3945.6481,1983.9974,136224.8030,134634.2590,134582.3395,136032.6716,139109.2997,129888.6855,125120.5882,135136.3725,64540050.8742,64521205.3281,64512042.2999,64522249.0597,133440.2949,64527775.4889,
600.000,-6846.7612,-4950.2241,2992.3536,-6527.2674,-5484.3200,-592.3109,2923.8972,-6743.0876,1666.6214,426.3801,-1922.3873,-3510.2931,-5934.7420,-2848.9243,-2177.8931,2706.0532,545.3209,-5451.1397,-1179.0888,-4344.4416,5207.5796,-590.7467,-2867.8565,5410.5789,572.2218,-1685.3440,1279.0023,-3717.7387,4173.4987,-4199.8685,4994.2763,361.1513,5241.1434,1768.0905,-5499.6283,-6164.3416,-2097.7024,-2296.3304,-2273.6410,-4134.7778,680.5282,3521.9898,3628.0796,3156.7470,-3217.6150,-1972.1964,4449.5162,5020.0256,-5474.1427,-4985.2385,2067.0890,-4866.6182,-6503.0007,-1870.5814,-3749.3536,-1429.8749,-5060.9516,-1831.9749,2548.2505,-1097.6485,-6540.3818,1485.5445,3756.9614,2385.4649,-6020.9677,2980.0173,-4022.0058,-5568.7357,3833.2106,-2311.1474,-4690.9245,2117.9428,-4708.6819,5805.9177,-5562.8877,-198.5306,-6028.4138,4757.0197,2111.7010,1837.3855,2049.8189,-1318.7475,-5568.3184,1644.4032,5052.6706,4816.8805,5385.2585,783.0781,1472.7587,4501.9044,6800.7760,-6300.4688,5461.0245,3033.8758,-5100.8329,3901.1762,5979.4815,-2368.8149,4599.5575,1992.6060,-167851.9678,-154850.8529,-162118.4607,-162473.6598,-165156.3562,-163758.0379,-156058.4415,-159267.9744,-212786906.0471,-212785129.9538,-212798034.9843,-212798004.6028,-159081.5379,-212802414.0632,-115.2970,3327.5312,4458.9965,2325.6526,-775.0430,-6783.9263,-4410.3091,-213.0830,-3773.1305,-5837.6747,5602.9625,-2220.8167,-1390.6135,-5805.0471,-5980.2516,-6347.0907,6778.3930,2636.8712,304.2967,4222.4433,-2981.2439,-4683.4804,4074.3987,-625.1254,-6492.9380,5098.2919,5838.2809,4611.6317,-4570.8928,1595.3600,107.7436,-5570.0330,2313.3238,-5831.6032,-2387.9876,2382.9092,-4677.2082,-4304.2429,-4562.1599,-642.9101,6768.8191,-3220.6383,-2307.3007,994.3974,4842.3126,-6580.6975,-871.4238,-1341.9208,-1217.7620,-2615.2644,-3494.7258,-1081.5439,-1587.1477,-4794.4054,5520.0935,3816.2348,2920.5851,-4083.9694,2622.3885,-5656.8369,-68.7706,-6669.7187,5469.2102,2464.7063,2674.1751,5843.8357,-4136.9040,2945.5205,2534.0776,5956.6580,5080.2319,-1077.8311,-1632.5294,3659.4868,1201.9983,4158.6598,-3039.6422,4561.0771,-6319.1765,2214.3262,295.6627,-4482.8193,-2430.2332,-6305.6671,462.9303,1665.4836,2346.5699,5754.4686,6676.8287,-849.6899,-398.7456,-2599.7991,2680.6183,-6031.9658,-4514.6657,-2375.2339,3413.8505,4557.6701,4406.9473,6540.3380,348897.8852,333136.9397,337962.7846,337261.4571,329055.7763,330577.6547,330860.4840,332674.8268,283645960.4442,283596323.2084,283623910.5408,283638565.6665,332767.6887,283640874.4748,-790.9178,-3503.1442,4339.9950,0.8154,3944.2138,-1332.9926,-4459.0384,-370.5186,5251.9134,-3726.9704,-3618.4421,-5529.3480,-3106.6782,-2525.6898,-2742.9645,107.7184,-1198.6787,2859.5189,6824.3524,3304.2429,-3410.9352,5038.8532,4764.6931,-4233.5309,1891.9197,-4370.7031,-3479.7567,3154.6204,2969.3640,-5165.0680,-4618.6301,3803.9142,3846.4997,3060.9288,3501.6079,-2104.1943,-4660.3318,4886.3798,-4663.7226,5486.5648,-1250.7517,4910.3238,5395.8832,-6110.8325,-3794.9620,-914.6741,5179.9585,-4579.0893,-4024.0717,-3857.6380,-5318.0440,-4640.4209,-1697.6715,-4645.6639,1736.6830,-5650.2793,3676.3202,5266.3424,5886.3857,-3845.9279,-1977.8084,-1137.3601,1893.8670,-5990.5550,-2092.8611,-1798.2374,3669.2081,-2897.5824,5132.9844,-2607.6087,353.9450,-6521.7329,-4643.2331,-290.1741,-3966.8253,5499.0138,1721.8715,-1841.9872,915.8283,6302.5666,-6625.7668,5006.8914,3182.5469,-2170.7803,-4670.5182,-4496.8948,3648.7451,3738.5520,1010.6098,5144.3005,-1027.4982,-894.7559,-3011.2925,1231.1407,197.5600,5051.9811,-770.7309,-4351.9395,2480.1462,196.2711,136284.4046,134767.4286,134751.8119,135937.2988,139259.7049,130221.9812,125102.9322,135322.1817,64546081.2792,64527022.1983,64517878.8164,64527944.5160,133520.0831,64533792.4663,
