sl_5_5400_20280826 Coordinates.csv
2028/08/26 07:47:00.0000 UTC

Generated: Tue Oct  8 21:10:50 2024,
Start: 2028/08/26 07:47:00.00, Stop: 2028/08/26 09:17:00.00,
TIME_UNITS,STARLINK-3998 - X-Coordinate,STARLINK-5011 - X-Coordinate,STARLINK-31347 - X-Coordinate,STARLINK-2458 - X-Coordinate,STARLINK-30588 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3998 - Y-Coordinate,STARLINK-5011 - Y-Coordinate,STARLINK-31347 - Y-Coordinate,STARLINK-2458 - Y-Coordinate,STARLINK-30588 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3998 - Z-Coordinate,STARLINK-5011 - Z-Coordinate,STARLINK-31347 - Z-Coordinate,STARLINK-2458 - Z-Coordinate,STARLINK-30588 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-3646.2628,-2860.2605,0.0000,0.0000,-1144.9430,253804.7209,277656.2405,257987.2747,259239.4809,267606.4155,265694.2290,261448.7537,261864.9055,-279122064.0180,-279074893.2921,-279081234.1511,-279111486.7387,261344.9367,-279103655.8540,2016.7263,-5225.1436,0.0000,0.0000,5816.2784,211857.0724,237928.9781,222791.8481,222397.9197,224312.7758,224912.4866,231413.5713,227574.5592,125955703.3954,125994139.6226,125969759.5940,125948148.5163,227753.8141,125957445.6901,-5532.1962,-3466.1273,0.0000,0.0000,3547.6511,-145727.1409,-149852.2601,-146543.3160,-145536.6715,-142249.2671,-151318.5662,-156237.0145,-146209.7672,124496175.4540,124488403.4850,124482900.0039,124492759.3474,-147897.5967,124487487.2736,
300.000,-2605.2458,-3599.1142,0.0000,0.0000,789.4544,249392.9317,272588.0538,253052.6500,254385.3328,262794.2491,260845.1236,256632.1640,256532.3570,-281804249.9387,-281757916.4319,-281763909.4763,-281793197.5257,256499.8732,-281785930.3753,3879.0169,-3564.4064,0.0000,0.0000,5298.5350,217142.3293,243638.7773,228309.9832,227945.5604,229745.5672,230390.5220,236784.1358,232946.0716,119831446.2206,119870544.4084,119846060.8049,119823708.6894,233185.8957,119833199.5310,-5111.4851,-4673.9797,0.0000,0.0000,4359.9469,-145818.3865,-149934.6909,-146524.8945,-145776.6654,-142250.4762,-151129.7846,-156398.2364,-146212.7753,124493611.6676,124485452.3307,124479855.4484,124490302.8002,-147964.0634,124484740.3616,
600.000,-1360.7827,-4030.0809,0.0000,0.0000,2672.4314,244871.6086,267401.6977,248006.2592,249416.3053,257868.5759,255874.5303,251705.3849,251087.1743,-284352074.1600,-284306593.5600,-284312240.9583,-284340530.1142,251541.9614,-284333843.1120,5378.7887,-1544.5264,0.0000,0.0000,4295.8630,222337.1942,249240.0299,233728.1475,233397.6225,235077.0786,235769.3769,242052.6409,238212.1307,113650117.3391,113689857.0152,113665271.8727,113642229.7650,238514.9504,113651877.8363,-4143.4351,-5373.9018,0.0000,0.0000,4701.2301,-145909.7025,-150016.8996,-146509.1121,-146020.8949,-142254.8535,-150934.6260,-156554.5317,-146354.4837,124491043.6883,124482500.9678,124476811.7866,124487836.7234,-148030.4291,124481993.2680,
900.000,-25.7662,-4118.3379,0.0000,0.0000,4321.0126,240242.5654,262099.5052,242850.2862,244334.6313,252831.5777,250783.7466,246670.5593,245570.2039,-286764323.3280,-286719710.7535,-286725014.5469,-286752273.1169,246473.3912,-286746180.5451,6362.0972,630.5375,0.0000,0.0000,2909.6546,227439.4187,254730.2725,239043.9182,238752.3675,240304.8997,241046.7071,247216.9036,243376.4179,107414664.1192,107455024.4224,107430339.5289,107406660.2465,243738.6352,107416427.9818,-2731.0425,-5490.4079,0.0000,0.0000,4534.7078,-146001.0884,-150098.8843,-146496.1251,-146269.3510,-142262.3706,-150733.1120,-156705.9432,-146630.0644,124488471.4351,124479549.4041,124473769.0872,124485360.4831,-148096.6938,124479245.9927,
1200.000,1282.5111,-3856.3957,0.0000,0.0000,5572.1269,235507.6610,256683.8608,237586.9659,239142.6265,247685.4838,245574.0303,241529.8721,240019.3014,-289039848.7330,-288996118.7242,-289001080.8134,-289027279.8696,241296.4011,-289021793.8003,6724.3900,2741.4089,0.0000,0.0000,1274.7481,232446.7899,260107.0923,244254.9143,244008.1760,245426.6690,246220.2185,252274.7812,248443.9657,101128059.7017,101169019.3991,101144236.3032,101119974.3135,248854.6535,101129823.1228,-1025.2645,-5010.8964,0.0000,0.0000,3878.3074,-146092.5436,-150180.6433,-146486.0845,-146522.0000,-142273.0007,-150525.3017,-156852.5114,-147023.3126,124485894.8289,124476597.6474,124470727.4191,124482873.4283,-148162.8574,124476498.5359,
1500.000,2452.3820,-3264.6519,0.0000,0.0000,6298.8388,230668.7992,251157.1996,232218.5827,233842.6982,242432.5693,240246.5861,236285.5498,234465.9231,-291177566.8561,-291134733.3659,-291139355.4985,-291164468.9763,236013.2772,-291159599.1949,6422.2894,4575.0997,0.0000,0.0000,-453.6744,237357.1313,265368.1275,249358.7986,249163.5594,250440.0748,251287.6711,257224.1720,253420.2886,94793301.5820,94834839.0872,94809959.1064,94785170.3984,253860.7564,94795060.7765,790.8036,-3986.9404,0.0000,0.0000,2802.8018,-146184.0675,-150262.1749,-146479.1352,-146778.7759,-142286.7182,-150311.3031,-156994.2745,-147507.9709,124483313.7923,124473645.7054,124467686.8517,124480374.8892,-148228.9200,124473750.8975,
1800.000,3387.1633,-2390.2098,0.0000,0.0000,6423.5186,225727.9280,245522.0061,226747.4704,228437.3564,237075.1549,234802.5500,230939.8595,228932.4098,-293176459.8853,-293134536.2707,-293138820.0292,-293162824.8242,230626.3523,-293158578.7543,5479.2776,5946.3294,0.0000,0.0000,-2114.7586,242168.3041,270511.0687,254353.2779,254217.1717,255342.8558,256246.8837,262063.0166,258310.3750,88413410.1811,88455503.5719,88430527.8018,88405269.7524,258754.7435,88415161.3927,2521.6750,-2529.1125,0.0000,0.0000,1424.3180,-146275.6597,-150343.4771,-146475.4162,-147039.5690,-142303.4995,-150091.2896,-157131.2684,-148050.1861,124480728.2501,124470693.5857,124464647.4547,124477864.1759,-148294.8815,124471003.0775,
2100.000,4012.9212,-1303.8360,0.0000,0.0000,5926.5052,220687.0383,239780.8132,221176.0108,222929.2288,231615.6057,229242.9722,225495.1081,223430.3438,-295035576.1998,-294994575.2142,-294998522.0041,-295021398.0657,225138.0047,-295017780.6963,3984.2121,6716.5330,0.0000,0.0000,-3556.9668,246878.2076,275533.6597,259236.1050,259167.8234,260132.8021,261095.7395,266789.2988,263117.6902,81991427.4053,82034054.4420,82008983.7663,81983314.9984,263534.4636,81993166.9135,3980.8904,-795.5724,0.0000,0.0000,-108.1433,-146367.3195,-150424.5482,-146475.0602,-147304.2118,-142323.3220,-149865.5211,-157263.5269,-148611.7524,124478138.1290,124467741.2960,124461609.2983,124475340.5761,-148360.7419,124468255.0760,
2400.000,4283.8642,-94.9517,0.0000,0.0000,4849.0666,215548.1640,233936.2010,215506.6331,217321.0803,226056.3303,223568.7973,219953.6419,217960.1513,-296754030.8229,-296713964.6087,-296717575.6469,-296739306.0705,219550.6572,-296736319.8846,2082.6801,6808.5240,0.0000,0.0000,-4651.9715,251484.7802,280433.6990,264005.0795,264014.4950,264807.7558,265832.1929,271401.0463,267843.3378,75530415.1961,75573553.3398,75548388.4402,75522368.6750,268197.8164,75532139.3230,5011.4338,1024.8068,0.0000,0.0000,-1628.9411,-146459.0464,-150505.3862,-146478.1932,-147572.4604,-142346.1648,-149634.3721,-157391.0816,-149153.6640,124475543.3575,124464788.8437,124458572.4530,124472803.3541,-148426.5011,124465506.8929,
