sl_10_5400_20280916 Coordinates.csv
2028/09/16 07:47:00.0000 UTC

Generated: Tue Oct  8 21:10:57 2024,
Start: 2028/09/16 07:47:00.00, Stop: 2028/09/16 09:17:00.00,
TIME_UNITS,STARLINK-11234 [DTC] - X-Coordinate,STARLINK-31326 - X-Coordinate,STARLINK-31612 - X-Coordinate,STARLINK-5821 - X-Coordinate,STARLINK-1402 - X-Coordinate,STARLINK-31959 - X-Coordinate,STARLINK-5599 - X-Coordinate,STARLINK-4263 - X-Coordinate,STARLINK-30079 - X-Coordinate,STARLINK-11144 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-11234 [DTC] - Y-Coordinate,STARLINK-31326 - Y-Coordinate,STARLINK-31612 - Y-Coordinate,STARLINK-5821 - Y-Coordinate,STARLINK-1402 - Y-Coordinate,STARLINK-31959 - Y-Coordinate,STARLINK-5599 - Y-Coordinate,STARLINK-4263 - Y-Coordinate,STARLINK-30079 - Y-Coordinate,STARLINK-11144 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-11234 [DTC] - Z-Coordinate,STARLINK-31326 - Z-Coordinate,STARLINK-31612 - Z-Coordinate,STARLINK-5821 - Z-Coordinate,STARLINK-1402 - Z-Coordinate,STARLINK-31959 - Z-Coordinate,STARLINK-5599 - Z-Coordinate,STARLINK-4263 - Z-Coordinate,STARLINK-30079 - Z-Coordinate,STARLINK-11144 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
2700.000,5698.2015,-135.9070,-1538.5483,3719.1754,5772.4986,0.0000,-1789.4323,-4060.1377,5011.5984,4320.2092,-338160.1423,-326806.8738,-339054.0821,-337231.0636,-329197.8190,-332073.3113,-337181.5270,-337748.8290,-295141525.6836,-295148259.7289,-295161253.0159,-295152375.7053,-336513.1741,-295156176.7154,-3203.2384,4976.9570,-6136.2898,4624.0848,-2656.2511,0.0000,1646.5566,1355.7762,-1613.5056,-5144.3443,88518.1669,116891.1633,101797.9746,102522.7773,106131.8577,106265.8737,110126.8695,105863.1623,32383951.6281,32410135.0214,32360142.5759,32366592.4948,107005.6674,32372636.0198,-1374.6996,-4703.7666,2554.2021,3574.1056,-2540.3864,0.0000,6505.0595,-5383.4680,4467.0021,-219.8373,81932.6005,75995.7574,80704.4582,79242.9194,84785.3184,77839.5020,69637.3370,79213.3766,104927059.9461,104909849.6184,104942518.0267,104944013.2272,78666.6161,104935701.9857,
3000.000,4443.3722,1661.8409,-3172.2044,5303.9604,4344.9980,0.0000,-618.7846,-3682.2122,3767.9170,3188.8295,-339877.6579,-329230.6003,-341355.0236,-339515.6159,-331365.8781,-334411.1061,-339306.0931,-340032.0632,-295776342.6375,-295783812.3333,-295795443.2496,-295786724.5921,-338701.4912,-295790912.3821,-3948.5737,3919.5073,-5936.3634,3766.5823,-3470.5136,0.0000,3451.6187,3398.1639,-3364.0373,-5692.2827,81376.4795,109855.2134,94781.3101,95623.7387,99060.3007,99202.3536,103006.9148,98734.8089,25931074.8475,25957287.0467,25907292.8884,25914360.9259,99911.2853,25919796.4511,-3050.1421,-5365.8987,1127.9802,2386.0899,-3990.3279,0.0000,5994.7407,-4711.0170,4706.8802,1605.2216,81793.5126,75870.6521,80632.1620,78909.6152,84695.4292,78020.4281,69460.7410,78602.8239,104923238.0002,104906076.8958,104939367.4571,104940382.8515,78541.4209,104932064.1481,
3300.000,2685.2174,3331.1204,-4474.0538,6369.0657,2467.1257,0.0000,544.8458,-2986.1707,2189.7472,1695.8215,-341444.3134,-331504.1620,-343506.0757,-341655.5931,-333385.5290,-336621.1180,-341280.0299,-342062.9874,-296270100.3167,-296278303.8381,-296288573.7118,-296280054.4211,-340740.2490,-296284590.8574,-4291.4711,2507.4126,-5138.8628,2566.0384,-3974.3968,0.0000,4944.2769,5094.9052,-4815.1337,-5633.0166,74203.0336,102767.3943,87722.3004,88696.1281,91944.8825,92090.4768,95844.9793,91651.0988,19465912.0403,19492137.0723,19442192.1258,19449876.7252,92772.1655,19454674.0697,-4361.4001,-5434.6031,-424.8692,942.2562,-4997.2333,0.0000,4848.7628,-3523.3499,4437.8849,3241.5828,81654.1502,75745.9170,80555.8248,78574.3386,84602.4224,78203.9983,69288.5954,77987.3286,104919419.9353,104902305.0816,104936208.7212,104936726.8117,78416.1652,104928426.2008,
3600.000,614.8001,4700.9420,-5323.9383,6813.9271,331.9653,0.0000,1596.0445,-2028.1670,430.2366,-10.6214,-342859.5684,-333626.4464,-345506.2666,-343649.6203,-335255.8573,-338704.6848,-343102.5488,-343846.6925,-296622564.8523,-296631500.0333,-296640412.4561,-296632134.3379,-342628.5328,-296636978.4088,-4210.0503,886.4698,-3815.9806,1125.3489,-4128.4957,0.0000,5964.1749,6273.4466,-5822.2077,-4986.1517,67001.0150,95630.8634,80623.9999,81745.0868,84788.7010,84932.8034,88644.2762,84613.9728,12991546.3817,13017768.3435,12967923.2511,12976220.3373,85591.4607,12980351.9576,-5152.8486,-4902.3670,-1930.0977,-602.5987,-5450.1494,0.0000,3188.0937,-1949.7207,3689.0339,4496.9714,81514.5146,75621.5635,80475.3537,78238.0757,84506.3136,78388.7469,69120.8771,77404.6500,104915605.8329,104898534.1852,104933041.4023,104933043.8645,78290.8493,104924788.1436,
3900.000,-1540.7755,5626.0423,-5648.1948,6599.3808,-1840.8597,0.0000,2447.0574,-886.7462,-1343.3990,-1755.2280,-344122.9495,-335596.4075,-347354.6869,-345496.1142,-336976.0160,-340663.4400,-344772.9295,-345395.4609,-296833569.7579,-296843234.0923,-296850794.8935,-296842800.8022,-344365.4949,-296847908.6823,-3723.3220,-781.6484,-2094.2317,-430.0565,-3922.6561,0.0000,6396.3946,6814.0985,-6281.1913,-3833.0139,59773.6175,88448.8008,73489.4808,74776.0161,77594.8732,77731.9069,81408.0299,77618.4077,6511065.4030,6537268.4682,6487573.4746,6496476.2117,78372.3425,6499917.5473,-5330.9678,-3827.6212,-3219.1754,-2082.9153,-5299.3356,0.0000,1188.7036,-162.1542,2541.1706,5224.1219,81374.6070,75497.6034,80390.6632,77902.1605,84407.1172,78572.6937,68957.5647,76888.8901,104911795.7726,104894764.2164,104929865.1112,104929332.7450,78165.4731,104921149.9765,
4200.000,-3543.1747,6002.3622,-5425.5075,5750.9942,-3827.5498,0.0000,3034.9945,342.9161,-2965.7444,-3353.7788,-345234.0507,-337413.0662,-349050.4906,-347193.1824,-338545.2260,-342499.2822,-346290.5197,-346727.0461,-296903016.0084,-296913406.6511,-296919623.8647,-296911957.6416,-345950.3542,-296917282.7809,-2887.5122,-2335.2031,-142.0447,-1963.0471,-3376.1810,0.0000,6185.0644,6662.8817,-6139.6002,-2305.9885,52524.0414,81224.4074,66321.8325,67794.5560,70366.5342,70490.3966,74139.4747,70653.1570,27559.5194,53727.9447,4232.7850,13731.3046,71117.9997,16461.1495,-4874.7771,-2328.7012,-4148.2760,-3340.3337,-4561.3686,0.0000,-937.0254,1643.1989,1118.3744,5337.8787,81234.4286,75374.0490,80301.6760,77568.3886,84304.8465,78753.1770,68798.6386,76468.1162,104907989.8322,104890995.1849,104926679.4868,104925592.1762,78040.0368,104917511.6997,
4500.000,-5168.7466,5779.2000,-4687.3058,4355.7115,-5422.8448,0.0000,3326.0120,1556.4882,-4288.6837,-4632.5108,-346192.5333,-339075.5105,-350592.8950,-348738.4929,-339962.7763,-344214.2926,-347654.7356,-347862.7399,-296830872.0865,-296841985.8548,-296846869.6799,-296839576.0660,-347382.3967,-296845069.3105,-1789.5658,-3627.9078,1846.9679,-3336.7862,-2536.1431,0.0000,5340.7572,5837.4147,-5402.8244,-572.9867,45255.4919,73960.9040,59124.1600,60806.5172,63106.8351,63210.9520,66841.8538,63701.8995,-6455879.4445,-6429761.3126,-6479007.5203,-6468926.4212,63831.6371,-6466925.5211,-3838.1262,-571.3178,-4614.1365,-4240.7136,-3317.4393,0.0000,-2963.3051,3267.8338,-425.4223,4824.8812,81093.9808,75250.9135,80208.3228,77239.1595,84199.5134,78926.6439,68644.0812,76162.7079,104904188.0875,104887227.1005,104923484.1958,104921820.8827,77914.5405,104913873.3130,
4800.000,-6233.3059,4966.3814,-3513.1492,2552.4507,-6461.2420,0.0000,3316.0597,2649.0441,-5195.0047,-5446.9798,-346998.1260,-340582.8964,-351981.1818,-350129.1164,-341228.0242,-345810.5579,-348865.0616,-348825.4511,-296617173.9974,-296629007.3722,-296632570.1275,-296625694.6453,-348660.9761,-296631304.3948,-538.5070,-4542.7721,3673.1686,-4426.7152,-1473.8683,0.0000,3940.3924,4424.8753,-4134.6722,1181.0520,37971.1778,66661.5294,51899.5831,53817.7284,55818.9421,55896.3746,59518.4177,56744.6432,-12936159.7285,-12910107.4472,-12959056.3052,-12948409.4978,56516.4737,-12947150.8196,-2343.7474,1249.5360,-4565.1524,-4688.2861,-1704.9184,0.0000,-4675.5509,4533.1152,-1923.2438,3745.0894,80953.2646,75128.2101,80110.5426,76917.6459,84091.1286,79088.4015,68493.8764,75984.3986,104900390.6124,104883459.9731,104920278.9328,104918017.6082,77788.9842,104910234.8166,
5100.000,-6613.4202,3635.0869,-2021.9855,517.9578,-6834.6740,0.0000,3028.3361,3523.8667,-5608.6748,-5698.6303,-347650.6248,-341934.4479,-353214.6967,-351361.3561,-342340.3957,-347289.8478,-349921.0509,-349637.9421,-296262025.2506,-296274574.3779,-296276830.4506,-296270419.2463,-349785.5139,-296276091.6569,744.8149,-5002.7750,5150.6383,-5131.5041,-279.5751,0.0000,2119.6322,2572.3296,-2451.8676,2773.8306,30674.3104,59329.5391,44651.2351,46833.7521,48506.0346,48549.6597,52172.4227,49759.2722,-19410191.1120,-19384220.1353,-19432824.0649,-19421632.4529,49175.7417,-19421124.6453,-569.3638,2931.4139,-4006.7986,-4635.5379,97.3349,0.0000,-5893.3835,5300.1259,-3213.3650,2225.0438,80812.2812,75005.9531,80008.2824,76607.9712,83979.7017,79232.3577,68348.0099,75935.9184,104896597.4788,104879693.8129,104917063.4199,104914181.1378,77663.3681,104906596.2104,
5400.000,-6261.5597,1911.8206,-360.2814,-1550.5072,-6504.4754,0.0000,2508.1693,4100.6972,-5500.7679,-5347.2063,-348149.8930,-343129.4575,-354292.8504,-352430.6087,-343299.3855,-348653.0791,-350822.3251,-350321.3058,-295765596.8102,-295778857.5026,-295779823.2924,-295773922.9299,-350755.4996,-295779602.1689,1938.9468,-4977.1031,6125.8515,-5382.1876,944.6970,0.0000,59.0032,470.8545,-513.0543,4044.7391,23368.1015,51968.2035,37382.2619,39859.4056,41171.3039,41174.0856,44807.1298,42723.1579,-25874886.3871,-25849012.0594,-25897224.3944,-25885513.3067,41812.6850,-25885759.9154,1273.1152,4287.3223,-3001.0344,-4088.0360,1888.7092,0.0000,-6489.2892,5484.8091,-4156.8819,443.3092,80671.0319,74884.1572,79901.4980,76315.3456,83865.2413,79350.8222,68206.4693,76011.1279,104892808.7565,104875928.6299,104913837.4063,104910310.3274,77537.6922,104902957.4945,
