sl_100_86400_20280419 Coordinates.csv
2028/04/19 07:47:00.0000 UTC

Generated: Tue Oct  8 21:43:15 2024,
Start: 2028/04/19 07:47:00.00, Stop: 2028/04/20 07:47:00.00,
TIME_UNITS,STARLINK-5675 - X-Coordinate,STARLINK-30078 - X-Coordinate,STARLINK-5324 - X-Coordinate,STARLINK-3582 - X-Coordinate,STARLINK-4706 - X-Coordinate,STARLINK-31341 - X-Coordinate,STARLINK-2018 - X-Coordinate,STARLINK-31193 - X-Coordinate,STARLINK-31724 - X-Coordinate,STARLINK-6142 - X-Coordinate,STARLINK-3823 - X-Coordinate,STARLINK-4753 - X-Coordinate,STARLINK-2410 - X-Coordinate,STARLINK-3962 - X-Coordinate,STARLINK-6182 - X-Coordinate,STARLINK-3804 - X-Coordinate,STARLINK-5917 - X-Coordinate,STARLINK-5590 - X-Coordinate,STARLINK-2051 - X-Coordinate,STARLINK-30880 - X-Coordinate,STARLINK-5524 - X-Coordinate,STARLINK-5823 - X-Coordinate,STARLINK-3872 - X-Coordinate,STARLINK-30340 - X-Coordinate,STARLINK-31014 - X-Coordinate,STARLINK-31436 - X-Coordinate,STARLINK-3544 - X-Coordinate,STARLINK-30079 - X-Coordinate,STARLINK-5593 - X-Coordinate,STARLINK-5569 - X-Coordinate,STARLINK-2469 - X-Coordinate,STARLINK-30391 - X-Coordinate,STARLINK-5065 - X-Coordinate,STARLINK-5289 - X-Coordinate,STARLINK-5011 - X-Coordinate,STARLINK-30933 - X-Coordinate,STARLINK-30542 - X-Coordinate,STARLINK-4307 - X-Coordinate,STARLINK-4309 - X-Coordinate,STARLINK-5220 - X-Coordinate,STARLINK-2705 - X-Coordinate,STARLINK-31139 - X-Coordinate,STARLINK-4707 - X-Coordinate,STARLINK-2542 - X-Coordinate,STARLINK-32076 - X-Coordinate,STARLINK-6188 - X-Coordinate,STARLINK-31871 - X-Coordinate,STARLINK-2111 - X-Coordinate,STARLINK-11270 [DTC] - X-Coordinate,STARLINK-5863 - X-Coordinate,STARLINK-30315 - X-Coordinate,STARLINK-31770 - X-Coordinate,STARLINK-31484 - X-Coordinate,STARLINK-2448 - X-Coordinate,STARLINK-1972 - X-Coordinate,STARLINK-2268 - X-Coordinate,STARLINK-3177 - X-Coordinate,STARLINK-3625 - X-Coordinate,STARLINK-5689 - X-Coordinate,STARLINK-31569 - X-Coordinate,STARLINK-1405 - X-Coordinate,STARLINK-5450 - X-Coordinate,STARLINK-31862 - X-Coordinate,STARLINK-3899 - X-Coordinate,STARLINK-3577 - X-Coordinate,STARLINK-4421 - X-Coordinate,STARLINK-31987 - X-Coordinate,STARLINK-1667 - X-Coordinate,STARLINK-6305 - X-Coordinate,STARLINK-11132 [DTC] - X-Coordinate,STARLINK-3806 - X-Coordinate,STARLINK-2426 - X-Coordinate,STARLINK-6252 - X-Coordinate,STARLINK-2265 - X-Coordinate,STARLINK-2364 - X-Coordinate,STARLINK-3238 - X-Coordinate,STARLINK-32026 - X-Coordinate,STARLINK-5649 - X-Coordinate,STARLINK-2720 - X-Coordinate,STARLINK-3618 - X-Coordinate,STARLINK-3311 - X-Coordinate,STARLINK-4553 - X-Coordinate,STARLINK-5374 - X-Coordinate,STARLINK-5420 - X-Coordinate,STARLINK-1890 - X-Coordinate,STARLINK-4797 - X-Coordinate,STARLINK-11232 [DTC] - X-Coordinate,STARLINK-30879 - X-Coordinate,STARLINK-1173 - X-Coordinate,STARLINK-2667 - X-Coordinate,STARLINK-30431 - X-Coordinate,STARLINK-6160 - X-Coordinate,STARLINK-3861 - X-Coordinate,STARLINK-31535 - X-Coordinate,STARLINK-4276 - X-Coordinate,STARLINK-1912 - X-Coordinate,STARLINK-2397 - X-Coordinate,STARLINK-3758 - X-Coordinate,STARLINK-4204 - X-Coordinate,STARLINK-6044 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5675 - Y-Coordinate,STARLINK-30078 - Y-Coordinate,STARLINK-5324 - Y-Coordinate,STARLINK-3582 - Y-Coordinate,STARLINK-4706 - Y-Coordinate,STARLINK-31341 - Y-Coordinate,STARLINK-2018 - Y-Coordinate,STARLINK-31193 - Y-Coordinate,STARLINK-31724 - Y-Coordinate,STARLINK-6142 - Y-Coordinate,STARLINK-3823 - Y-Coordinate,STARLINK-4753 - Y-Coordinate,STARLINK-2410 - Y-Coordinate,STARLINK-3962 - Y-Coordinate,STARLINK-6182 - Y-Coordinate,STARLINK-3804 - Y-Coordinate,STARLINK-5917 - Y-Coordinate,STARLINK-5590 - Y-Coordinate,STARLINK-2051 - Y-Coordinate,STARLINK-30880 - Y-Coordinate,STARLINK-5524 - Y-Coordinate,STARLINK-5823 - Y-Coordinate,STARLINK-3872 - Y-Coordinate,STARLINK-30340 - Y-Coordinate,STARLINK-31014 - Y-Coordinate,STARLINK-31436 - Y-Coordinate,STARLINK-3544 - Y-Coordinate,STARLINK-30079 - Y-Coordinate,STARLINK-5593 - Y-Coordinate,STARLINK-5569 - Y-Coordinate,STARLINK-2469 - Y-Coordinate,STARLINK-30391 - Y-Coordinate,STARLINK-5065 - Y-Coordinate,STARLINK-5289 - Y-Coordinate,STARLINK-5011 - Y-Coordinate,STARLINK-30933 - Y-Coordinate,STARLINK-30542 - Y-Coordinate,STARLINK-4307 - Y-Coordinate,STARLINK-4309 - Y-Coordinate,STARLINK-5220 - Y-Coordinate,STARLINK-2705 - Y-Coordinate,STARLINK-31139 - Y-Coordinate,STARLINK-4707 - Y-Coordinate,STARLINK-2542 - Y-Coordinate,STARLINK-32076 - Y-Coordinate,STARLINK-6188 - Y-Coordinate,STARLINK-31871 - Y-Coordinate,STARLINK-2111 - Y-Coordinate,STARLINK-11270 [DTC] - Y-Coordinate,STARLINK-5863 - Y-Coordinate,STARLINK-30315 - Y-Coordinate,STARLINK-31770 - Y-Coordinate,STARLINK-31484 - Y-Coordinate,STARLINK-2448 - Y-Coordinate,STARLINK-1972 - Y-Coordinate,STARLINK-2268 - Y-Coordinate,STARLINK-3177 - Y-Coordinate,STARLINK-3625 - Y-Coordinate,STARLINK-5689 - Y-Coordinate,STARLINK-31569 - Y-Coordinate,STARLINK-1405 - Y-Coordinate,STARLINK-5450 - Y-Coordinate,STARLINK-31862 - Y-Coordinate,STARLINK-3899 - Y-Coordinate,STARLINK-3577 - Y-Coordinate,STARLINK-4421 - Y-Coordinate,STARLINK-31987 - Y-Coordinate,STARLINK-1667 - Y-Coordinate,STARLINK-6305 - Y-Coordinate,STARLINK-11132 [DTC] - Y-Coordinate,STARLINK-3806 - Y-Coordinate,STARLINK-2426 - Y-Coordinate,STARLINK-6252 - Y-Coordinate,STARLINK-2265 - Y-Coordinate,STARLINK-2364 - Y-Coordinate,STARLINK-3238 - Y-Coordinate,STARLINK-32026 - Y-Coordinate,STARLINK-5649 - Y-Coordinate,STARLINK-2720 - Y-Coordinate,STARLINK-3618 - Y-Coordinate,STARLINK-3311 - Y-Coordinate,STARLINK-4553 - Y-Coordinate,STARLINK-5374 - Y-Coordinate,STARLINK-5420 - Y-Coordinate,STARLINK-1890 - Y-Coordinate,STARLINK-4797 - Y-Coordinate,STARLINK-11232 [DTC] - Y-Coordinate,STARLINK-30879 - Y-Coordinate,STARLINK-1173 - Y-Coordinate,STARLINK-2667 - Y-Coordinate,STARLINK-30431 - Y-Coordinate,STARLINK-6160 - Y-Coordinate,STARLINK-3861 - Y-Coordinate,STARLINK-31535 - Y-Coordinate,STARLINK-4276 - Y-Coordinate,STARLINK-1912 - Y-Coordinate,STARLINK-2397 - Y-Coordinate,STARLINK-3758 - Y-Coordinate,STARLINK-4204 - Y-Coordinate,STARLINK-6044 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5675 - Z-Coordinate,STARLINK-30078 - Z-Coordinate,STARLINK-5324 - Z-Coordinate,STARLINK-3582 - Z-Coordinate,STARLINK-4706 - Z-Coordinate,STARLINK-31341 - Z-Coordinate,STARLINK-2018 - Z-Coordinate,STARLINK-31193 - Z-Coordinate,STARLINK-31724 - Z-Coordinate,STARLINK-6142 - Z-Coordinate,STARLINK-3823 - Z-Coordinate,STARLINK-4753 - Z-Coordinate,STARLINK-2410 - Z-Coordinate,STARLINK-3962 - Z-Coordinate,STARLINK-6182 - Z-Coordinate,STARLINK-3804 - Z-Coordinate,STARLINK-5917 - Z-Coordinate,STARLINK-5590 - Z-Coordinate,STARLINK-2051 - Z-Coordinate,STARLINK-30880 - Z-Coordinate,STARLINK-5524 - Z-Coordinate,STARLINK-5823 - Z-Coordinate,STARLINK-3872 - Z-Coordinate,STARLINK-30340 - Z-Coordinate,STARLINK-31014 - Z-Coordinate,STARLINK-31436 - Z-Coordinate,STARLINK-3544 - Z-Coordinate,STARLINK-30079 - Z-Coordinate,STARLINK-5593 - Z-Coordinate,STARLINK-5569 - Z-Coordinate,STARLINK-2469 - Z-Coordinate,STARLINK-30391 - Z-Coordinate,STARLINK-5065 - Z-Coordinate,STARLINK-5289 - Z-Coordinate,STARLINK-5011 - Z-Coordinate,STARLINK-30933 - Z-Coordinate,STARLINK-30542 - Z-Coordinate,STARLINK-4307 - Z-Coordinate,STARLINK-4309 - Z-Coordinate,STARLINK-5220 - Z-Coordinate,STARLINK-2705 - Z-Coordinate,STARLINK-31139 - Z-Coordinate,STARLINK-4707 - Z-Coordinate,STARLINK-2542 - Z-Coordinate,STARLINK-32076 - Z-Coordinate,STARLINK-6188 - Z-Coordinate,STARLINK-31871 - Z-Coordinate,STARLINK-2111 - Z-Coordinate,STARLINK-11270 [DTC] - Z-Coordinate,STARLINK-5863 - Z-Coordinate,STARLINK-30315 - Z-Coordinate,STARLINK-31770 - Z-Coordinate,STARLINK-31484 - Z-Coordinate,STARLINK-2448 - Z-Coordinate,STARLINK-1972 - Z-Coordinate,STARLINK-2268 - Z-Coordinate,STARLINK-3177 - Z-Coordinate,STARLINK-3625 - Z-Coordinate,STARLINK-5689 - Z-Coordinate,STARLINK-31569 - Z-Coordinate,STARLINK-1405 - Z-Coordinate,STARLINK-5450 - Z-Coordinate,STARLINK-31862 - Z-Coordinate,STARLINK-3899 - Z-Coordinate,STARLINK-3577 - Z-Coordinate,STARLINK-4421 - Z-Coordinate,STARLINK-31987 - Z-Coordinate,STARLINK-1667 - Z-Coordinate,STARLINK-6305 - Z-Coordinate,STARLINK-11132 [DTC] - Z-Coordinate,STARLINK-3806 - Z-Coordinate,STARLINK-2426 - Z-Coordinate,STARLINK-6252 - Z-Coordinate,STARLINK-2265 - Z-Coordinate,STARLINK-2364 - Z-Coordinate,STARLINK-3238 - Z-Coordinate,STARLINK-32026 - Z-Coordinate,STARLINK-5649 - Z-Coordinate,STARLINK-2720 - Z-Coordinate,STARLINK-3618 - Z-Coordinate,STARLINK-3311 - Z-Coordinate,STARLINK-4553 - Z-Coordinate,STARLINK-5374 - Z-Coordinate,STARLINK-5420 - Z-Coordinate,STARLINK-1890 - Z-Coordinate,STARLINK-4797 - Z-Coordinate,STARLINK-11232 [DTC] - Z-Coordinate,STARLINK-30879 - Z-Coordinate,STARLINK-1173 - Z-Coordinate,STARLINK-2667 - Z-Coordinate,STARLINK-30431 - Z-Coordinate,STARLINK-6160 - Z-Coordinate,STARLINK-3861 - Z-Coordinate,STARLINK-31535 - Z-Coordinate,STARLINK-4276 - Z-Coordinate,STARLINK-1912 - Z-Coordinate,STARLINK-2397 - Z-Coordinate,STARLINK-3758 - Z-Coordinate,STARLINK-4204 - Z-Coordinate,STARLINK-6044 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-4544.6299,4321.5686,2671.6258,4712.5756,3456.3471,4620.6013,364.9076,-1382.8880,3545.9521,-5607.4937,-6757.1100,3773.9970,-3666.1551,4002.2222,-5456.1929,-1008.1962,6554.2818,183.0753,5633.1128,4222.5100,-149.3274,-1932.8143,3277.0177,-5159.9944,-3560.0656,2747.0511,-3026.9060,129.2827,4237.0728,-4936.6354,-2059.4635,2415.4681,163.1468,10.0689,-4060.3878,1418.8744,0.0000,4030.4463,-5962.2538,6273.7938,-2728.3116,4760.5910,-5477.6837,4487.5089,-1784.3815,4218.3890,1873.5198,6799.4777,3032.3488,-6536.6745,4311.8245,-5020.4080,-3868.8079,-4388.2637,5164.8320,-3352.1941,-1262.4256,4475.2254,-5467.3188,-5182.0742,5615.6389,-5273.6046,595.3724,2640.8820,-3127.5513,1174.8955,-2149.3723,-4190.8637,4068.7653,-4285.6363,6695.2532,-5167.0263,-6813.4421,3487.2453,-6701.3001,-962.7749,3512.3487,4854.6161,1656.2809,487.2822,5483.7491,-4167.4576,-3990.6924,4288.5805,-6561.3696,2292.4995,164.3482,3209.1120,2707.3305,64.4448,4573.9215,2041.0881,-6722.0498,-4617.7719,2968.0244,3893.1896,2678.1045,1265.7330,-4673.9820,-6560.1309,-395585.4861,-390806.8407,-400601.1610,-400943.5216,-404240.8629,-402791.6262,-394901.0988,-398346.4776,-192487574.3589,-192490896.6588,-192493426.9376,-192497572.6038,-397851.6800,-192499866.3215,4536.7826,3016.9404,1020.1647,4087.8173,3158.0985,-2180.2307,-4391.7169,5918.0858,3769.3104,3377.4968,258.8531,3893.3849,3151.5563,-3614.1421,3142.8130,6767.6113,-84.7269,-6787.0091,1135.9217,3418.0148,2514.8473,-6129.5831,-4132.3857,3331.1725,2317.4054,-3071.4914,-5629.7683,5484.7757,1569.5605,1258.7350,5714.2136,-5254.9081,5539.9524,6885.4953,-962.5809,6218.4246,0.0000,3110.6217,-3526.3628,1662.1784,-5275.7660,-4264.1768,2750.4756,1431.8422,-4438.3165,5406.3197,6083.7632,-126.0482,3440.5377,1906.4265,-4778.9535,360.5951,1426.1358,22.4663,695.2195,4046.0969,6164.4846,90.7930,-3115.7094,-1879.4344,-901.5366,-2021.0376,4992.4151,-5617.4381,-5050.9907,3853.3922,-5854.8366,1114.1439,-3134.0717,-1960.1724,391.6555,-3462.4039,-560.6001,2931.3708,1363.1865,4991.9931,-2317.8515,-2229.7884,3795.8181,4140.7966,3927.2353,4909.4793,-4576.5919,3672.9230,1910.9226,5383.7970,6699.3965,4957.9889,-3495.7075,-6466.2070,808.6465,4988.8948,1203.0595,4608.6750,-4434.7249,1770.5448,-3154.6522,5724.3097,3217.8866,1477.3395,48235.1835,26699.4023,40236.8894,39774.2884,31825.0024,33219.9444,32600.4946,34437.1222,299456780.0187,299425738.5320,299470324.5269,299465295.2776,34842.8823,299471044.3085,-2583.8471,-4509.6157,6321.1687,-2964.6381,5083.3515,4560.9013,5216.7409,2945.3507,-4442.5402,-2264.2601,-1442.4459,4279.6850,4865.3209,-4282.8507,2897.9818,-918.2549,2296.8271,1380.6413,3721.4274,4300.2685,6469.1073,-2672.4327,4411.7787,-3206.3292,-5378.7329,5469.9926,-2529.0658,4197.1459,5269.9444,-4699.8732,-3261.4123,-3820.1562,4186.1919,695.4174,-5489.1304,-2521.6224,0.0000,-4717.9145,-419.7044,-2328.2832,-2957.1458,-2368.7494,-3192.3331,-5047.1467,-4893.5787,881.1627,-2454.7718,-1128.4158,-4950.6309,1430.0293,-2550.5898,4589.4427,-5470.9929,5311.0884,4364.6746,4257.3732,-2863.4254,5235.3591,-2900.7552,-3993.8736,3875.6270,3979.0184,4553.4131,3020.6580,3508.8817,5609.5747,-2819.0876,4987.0449,-4618.6866,-4811.7288,-1672.7287,2750.5957,-1124.8322,5149.9309,-776.1398,4666.8292,5416.3834,4402.6267,-5464.9929,-5530.4276,1489.5264,-2517.2658,3306.8823,-3981.6200,40.4499,3663.1153,-671.4932,3471.0656,-5262.0316,1529.4327,-5026.8936,4352.3084,-1005.2884,-1981.8941,-4386.0399,5368.1499,-5361.0160,-3662.2822,-3952.0721,1711.3179,-64098.6010,-66023.4264,-66518.6453,-64771.4675,-61967.1197,-71374.6696,-75766.0058,-65848.6218,53905175.8413,53882181.5499,53879539.9304,53893350.9400,-67555.0430,53897250.0439,
3600.000,2864.2467,-5463.7791,-6042.1984,-6060.3876,-4553.9070,-3047.5323,3151.7445,-2940.2493,-6490.6293,4282.6006,6013.5309,-4189.4894,-769.2497,-3254.9401,4446.0863,-1144.7696,-3468.4852,1989.7996,-3224.4466,-5333.3130,-4269.8888,1914.6356,1203.2180,4038.0391,2028.6801,299.5535,3859.1734,-3889.2640,-1535.4650,3934.8135,-1514.2058,1623.3380,-1747.8511,-287.2379,4365.2143,-3973.9159,0.0000,543.1473,3139.0236,-6552.3112,4005.7306,-635.1370,5100.9157,-6580.3393,4611.2407,-5400.1923,-4258.5431,-5827.6667,-6390.6794,5779.9092,-2547.5235,4598.7902,1832.6117,2861.2254,-6561.8568,-1692.4110,-323.9855,-2789.4856,5046.0508,4448.3097,-2219.7380,6894.7232,-4933.3873,893.2860,5045.3725,911.5758,3642.7029,3850.2184,-1877.9897,6664.5616,-4428.9141,4097.6628,6221.4300,-6473.8822,5192.5294,-1272.6244,-1867.6635,-3896.9358,-5482.9785,-4559.9740,-5849.5626,650.6733,5011.1606,-6345.7977,4240.0580,-3824.5353,-2458.2141,-4969.3502,1721.3216,2259.7017,-3028.9363,-5216.8251,4302.5817,639.9217,-1685.7504,-6171.3017,420.0946,-3452.3334,592.8861,3658.3269,-396539.6755,-384473.0686,-395306.3953,-395587.5542,-400545.3428,-398035.2385,-391940.3808,-393862.2408,-263477636.2565,-263471352.1778,-263485647.6737,-263486595.3810,-394051.0391,-263491019.3904,-6202.8861,921.2147,621.9368,-2993.8189,1098.9196,5736.1490,5695.2013,-3994.3264,-1230.2145,-5248.4573,-1782.4068,357.3760,-4536.4081,6060.6691,-5284.2240,-4993.0163,950.9004,6232.7208,2581.8682,526.9281,-1737.7787,2782.5074,4096.3144,-5618.5771,-5981.9797,6000.4141,1939.4172,-3610.8344,2069.4917,-4907.1161,-3893.5163,4865.6928,-1728.6259,-5512.3884,-3381.2941,-3115.8187,0.0000,-763.6874,4150.1948,-32.2874,134.3623,4977.7038,-4521.7037,1083.4563,588.3887,-3316.5315,-2652.3483,1747.2021,-1883.7808,-1806.0197,6335.6161,-4480.6872,-5408.7489,-4202.1421,1794.5003,-3992.8149,-6738.8265,4069.4452,-635.0364,-2804.0914,3510.8527,489.1826,-3210.7057,4151.3845,4652.7731,-6772.8172,2061.7701,-5315.7187,6171.2479,-680.2949,1788.0447,-678.1579,-1691.3355,-1182.8285,-2786.8710,-6709.7617,5943.5217,5427.2278,-1494.6859,-3189.1768,-2293.3953,-4366.4099,738.7083,-2725.8925,-3261.7177,-1595.8789,-4031.2744,-938.5387,4760.9720,5074.1253,3710.1253,-4230.2110,-2692.3877,-5055.6106,6677.7304,1350.3467,6253.5258,-2279.0110,-4098.7464,-1591.9405,-51921.3754,-74704.5789,-60837.1386,-62499.3390,-69858.0737,-68141.0838,-68705.8463,-66360.8050,239371172.3060,239344946.0863,239391853.5005,239389248.7762,-66519.1616,239385671.7013,-1100.8558,4155.5628,-3381.9628,-1421.9965,-5095.3438,-2197.6477,-2098.1973,-4594.8211,1673.8303,-1442.4485,-2916.6896,-5494.1929,-5102.0087,248.4227,634.2974,4615.2417,-5953.3686,2276.0265,-5472.0397,-4408.8850,-5213.1653,6069.4366,-5403.5139,-298.3125,2636.6412,-3314.3325,5333.7853,-4436.8708,-6462.4645,2892.8235,5469.2366,4647.2647,-6510.7215,4161.3314,4114.5523,4626.1495,0.0000,6862.2376,-4599.3422,-2151.3969,5274.0037,4599.7058,-1139.7306,1761.5976,5007.9358,2756.3326,4614.0829,-3247.6112,1022.3955,3415.0393,-1133.6169,-2299.8269,3766.0492,-4667.7881,-139.5239,-5203.3438,-1511.6412,-4822.0551,4691.3371,4308.9121,-5500.8759,53.2414,-3390.1470,-5453.5904,729.4757,-1039.3912,5402.7513,-839.3740,2450.8048,670.6830,4983.0523,-5395.2092,-2540.3031,-2023.2599,-3561.1018,-1031.6423,-2897.7846,-1845.0034,3819.1266,4109.3777,2860.7565,5307.3745,-4718.8848,-116.2216,-4259.2345,-5533.5334,4790.4699,-4629.3150,4631.7108,3641.3068,4873.8806,-1732.3662,4665.0814,4520.5913,496.1360,-2709.3424,2545.3926,5522.8747,5523.2229,-5688.9276,-62533.0965,-64736.9263,-64168.6466,-65694.1549,-59869.4711,-66593.5645,-75264.8584,-67890.1279,53977803.2147,53955268.6357,53957200.7450,53965794.4169,-66135.3123,53972507.9495,
7200.000,151.5644,5503.3368,6716.2098,4879.2442,5064.6511,652.6741,-4526.2564,6259.7184,6234.4498,-1088.4013,-2637.7101,4386.2098,4184.0091,1038.3576,-1624.1273,4027.7629,-605.8228,-4013.8857,599.4903,5462.7732,6635.9520,-3034.8999,-5043.8752,-1315.6258,-320.9414,-2272.8329,-4493.2671,6513.6764,-7.8933,-2180.4056,5264.7852,-5140.3232,4403.3726,1869.9489,-3848.8720,5851.1854,0.0000,-2950.7444,637.4802,3924.2029,-4054.6574,-3882.5205,-2230.4795,5834.4867,-6206.7106,5075.8501,5747.8378,2250.4158,5565.2280,-2043.0429,-436.8999,-2456.5148,-56.7156,-1411.7158,4242.0587,5637.7822,2199.8049,1245.0604,-3868.5802,-2665.1824,-1207.5759,-5432.2513,6739.0267,-4811.1656,-4837.7463,-2721.9786,-4936.1969,-638.0688,-414.7211,-4696.6922,923.8855,-2358.1314,-3346.8050,6401.7157,-1175.0423,2651.9996,190.3579,1873.1949,6822.8701,6590.7401,4160.9582,3648.0589,-5257.5313,5515.3998,350.3038,5212.7081,4741.0295,5607.2808,-4631.2289,-4189.3605,1460.5731,6259.4537,-190.9922,3899.5516,-193.1698,5855.9026,-2434.9348,5549.9899,3391.0734,848.4989,-372339.9528,-352609.1392,-364390.3246,-363273.5021,-371228.0575,-365247.8607,-363473.8314,-364922.6739,-316480866.6835,-316466865.6081,-316494507.8762,-316496500.9954,-364819.4567,-316495374.5672,5581.3903,-4014.0004,-859.7813,195.7953,-4304.7526,-6601.0282,-4433.2264,945.5768,-1435.0383,5359.8501,3375.6699,-4244.8105,5135.5016,-5551.4071,5570.2519,1635.8894,-3235.3443,-3337.7709,-5955.6925,-3852.5558,1868.1323,1713.9396,-3773.3535,5763.4515,6554.1555,-6358.2245,2577.5216,1366.1869,-5764.6695,6540.1224,1715.7294,-3823.0972,-1852.8920,1520.4721,5714.6693,-815.7151,0.0000,-3863.5637,-754.1707,-2236.6948,4776.7814,-4499.6518,4513.3777,-2562.4482,2449.7224,-471.5722,-1592.3969,-3525.4716,-514.3659,1998.8811,-5557.9773,6115.2727,6819.3579,6680.7984,-3246.9053,3256.6792,4332.5035,-6666.2482,4469.8859,6127.0798,-5820.0375,1303.4770,670.8125,-2266.3258,-1955.1712,4754.1521,2362.6443,5063.4338,-6770.5350,2620.4599,-4507.7924,5083.8846,3912.1021,-526.8358,3965.6794,5469.3389,-6666.2492,-6408.1150,-367.1139,2106.5014,-1055.9331,3429.3627,3180.2649,527.1669,4240.8892,-2339.9854,-752.6761,-3041.7291,-5002.2230,82.9599,-6573.4577,2258.4829,4373.0575,4243.3804,-5829.3901,-3102.5007,-5858.8125,-1319.4667,4808.1654,2837.0410,-149782.3558,-170873.4696,-158068.2203,-162708.7340,-167370.4319,-163143.9278,-166274.8253,-163731.0674,162950815.3083,162931432.8500,162976336.8750,162975119.2322,-163718.7628,162965010.7698,4076.1981,-1296.3261,-1575.8375,4871.7737,1913.7809,-1737.2612,-2577.6640,2354.7535,2349.3932,4236.2200,5416.2658,3240.8438,1799.8965,3924.5485,-3806.6932,-5365.1744,6108.4888,-4564.1690,3325.2532,1836.7622,909.8178,-6026.9695,2766.2317,3597.5116,1958.3267,-1194.1270,-4518.9951,1863.1400,3874.4367,670.2535,-4107.7244,-2643.3221,5040.6956,-6494.7384,-60.3730,-3484.2825,0.0000,-4952.5323,6859.4712,5197.6289,-2180.6966,-3338.5113,4721.2631,2634.1328,-1517.4654,-4677.4675,-3316.2296,5467.8075,3765.2317,-6351.0200,4090.4810,-1748.9136,610.5200,972.8665,-4220.1035,1845.2575,4904.8933,1247.0355,-3616.1011,-1293.8951,3472.4961,-4079.0481,-492.7359,4399.6951,-4526.7413,-4226.2864,-4114.2938,-4215.9370,1275.5942,4039.1827,-5159.0333,3850.4516,4623.8647,-2482.3204,5489.9023,-3287.5256,-1641.6974,-1862.8898,504.3932,-172.1846,-5417.9788,-4768.5743,3170.7029,4113.1142,5338.4332,3876.5665,-4726.6749,2491.1885,-848.0431,-5164.6439,-1217.5104,-1957.1898,-5339.4480,-3647.5020,3684.9504,-1826.3459,2346.0580,-3901.6706,-3630.5952,6266.6125,-61027.3693,-63489.9929,-62340.4128,-66332.5954,-58215.6530,-62359.1022,-74103.9493,-62899.6272,54050068.2327,54028420.7464,54036444.7198,54043503.5336,-64710.2848,54047746.4324,
