sl_10_5400_20280612 Coordinates.csv
2028/06/12 07:47:00.0000 UTC

Generated: Tue Oct  8 21:10:52 2024,
Start: 2028/06/12 07:47:00.00, Stop: 2028/06/12 09:17:00.00,
TIME_UNITS,STARLINK-11288 [DTC] - X-Coordinate,STARLINK-5956 - X-Coordinate,STARLINK-2558 - X-Coordinate,STARLINK-31172 - X-Coordinate,STARLINK-11179 [DTC] - X-Coordinate,STARLINK-3352 - X-Coordinate,STARLINK-4361 - X-Coordinate,STARLINK-5639 - X-Coordinate,STARLINK-30234 - X-Coordinate,STARLINK-3511 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-11288 [DTC] - Y-Coordinate,STARLINK-5956 - Y-Coordinate,STARLINK-2558 - Y-Coordinate,STARLINK-31172 - Y-Coordinate,STARLINK-11179 [DTC] - Y-Coordinate,STARLINK-3352 - Y-Coordinate,STARLINK-4361 - Y-Coordinate,STARLINK-5639 - Y-Coordinate,STARLINK-30234 - Y-Coordinate,STARLINK-3511 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-11288 [DTC] - Z-Coordinate,STARLINK-5956 - Z-Coordinate,STARLINK-2558 - Z-Coordinate,STARLINK-31172 - Z-Coordinate,STARLINK-11179 [DTC] - Z-Coordinate,STARLINK-3352 - Z-Coordinate,STARLINK-4361 - Z-Coordinate,STARLINK-5639 - Z-Coordinate,STARLINK-30234 - Z-Coordinate,STARLINK-3511 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
2700.000,3633.7037,-5741.2690,-3963.9329,0.0000,-3872.7925,6341.9750,1298.3826,-3318.6231,1018.4751,799.9844,-174425.1709,-138283.0949,-161364.7437,-160626.4312,-157376.8085,-157212.9406,-152893.9224,-155777.8313,-284251225.4650,-284231519.8680,-284214121.8662,-284244498.6220,-156027.6727,-284234629.4224,-3734.0986,-2974.6192,1303.9810,0.0000,-1693.4850,2585.4087,-5438.9701,4601.4470,5033.1031,-6222.1537,-358845.1792,-363464.1861,-358376.3380,-359772.0500,-367940.2253,-365257.8332,-360256.4751,-361577.8744,178006641.0109,177990334.9061,177979203.8304,178003030.2531,-360768.1319,177995420.4323,-4190.0836,2434.5277,5510.9384,0.0000,-5270.0200,880.7643,4079.3260,-3987.3903,4630.0331,2768.3653,-82198.2457,-84718.0890,-83194.7726,-84171.4786,-78937.4733,-86250.7783,-94061.4407,-83473.3931,127564326.6383,127530628.6679,127560365.9355,127558465.7397,-85072.0237,127560320.3239,
3000.000,1622.3523,-6640.9513,-2977.4389,0.0000,-4979.7015,6270.4720,1367.7715,-1989.3699,3074.4768,-466.3958,-166784.1069,-130506.2713,-153622.8047,-152776.8127,-149688.4593,-149497.3533,-145261.3971,-148323.6387,-288067681.7328,-288048193.9848,-288030154.9392,-288061407.5126,-148359.6383,-288051081.2491,-4045.7559,-1634.2158,3237.7106,0.0000,78.0490,1245.1617,-3766.5486,5948.3936,4648.1264,-6760.5571,-362570.8696,-366408.3051,-361519.3906,-362951.3900,-371214.8672,-368390.0535,-363571.9152,-364422.4020,171758636.6553,171742577.1135,171731837.5816,171754764.7668,-364022.6426,171747513.7321,-5070.4141,995.9848,5332.5909,0.0000,-4564.7379,2603.4099,5640.0647,-2955.1978,4094.1416,1062.3362,-82107.1187,-84628.5060,-83022.1148,-84271.5003,-78785.4537,-85837.2738,-94008.0697,-83206.8425,127567393.7331,127533588.6440,127562880.6555,127561652.1556,-84961.6731,127563141.0763,
3300.000,-575.3368,-6889.5973,-1750.8176,0.0000,-5592.5788,5585.7580,1209.4873,-495.3091,4827.5731,-1673.0750,-159062.0740,-122667.9931,-145810.3140,-144844.6883,-141931.3012,-141714.9962,-137558.3287,-140822.5505,-291746819.0880,-291727558.3105,-291708891.3781,-291740970.5241,-140623.6846,-291730217.9945,-3971.9627,-143.4743,4873.7850,0.0000,1802.9612,-245.7038,-1694.6899,6725.2324,3849.4120,-6610.7711,-366133.8646,-369185.7739,-364499.7275,-365963.8491,-374325.4318,-371339.4611,-366725.8700,-367083.9901,165428840.1695,165413015.4993,165402692.8168,165424677.4906,-367114.1602,165417814.7185,-5348.2205,-550.2451,4580.2900,0.0000,-3332.9454,4043.7919,6595.6229,-1606.9291,3117.3574,-761.1562,-82016.1374,-84538.9014,-82853.1029,-84374.5935,-78636.4942,-85419.7693,-93950.1013,-83072.1053,127570458.6260,127536552.5182,127565395.1526,127564841.0897,-84851.2756,127565961.5496,
3600.000,-2716.5526,-6464.7196,-398.3854,0.0000,-5634.3191,4365.3609,828.0535,1031.6123,6106.7394,-2717.5820,-151262.5339,-114771.8265,-137930.8325,-136831.7977,-134108.8545,-133869.7385,-129788.1005,-133260.4097,-295286885.4400,-295267860.3194,-295248579.5631,-295281434.1841,-132823.2764,-295270287.5562,-3524.5099,1366.5436,6045.0150,0.0000,3306.5962,-1751.8177,545.8345,6852.7871,2705.2545,-5784.9926,-369532.3691,-371795.3343,-367315.9757,-368808.3916,-377270.5037,-374102.5865,-369716.8008,-369593.8983,159020269.0917,159004667.2735,158994786.2368,159015788.0180,-370041.2666,159009340.7652,-4990.8042,-2037.0547,3334.7135,0.0000,-1716.1288,5045.8784,6843.9265,-86.5674,1804.7687,-2500.6108,-81925.3012,-84449.2734,-82687.8485,-84480.0864,-78490.5788,-84999.3060,-93887.5610,-83073.1278,127573521.2065,127539520.3474,127567909.4929,127568031.8009,-84740.8312,127568781.7441,
3900.000,-4563.8100,-5410.6084,958.2738,0.0000,-5086.1787,2738.4211,262.1299,2457.6268,6788.0447,-3513.5719,-143388.9892,-106821.3632,-129987.9523,-128739.6869,-126224.6681,-125965.4833,-121954.1329,-125620.8595,-298686194.9980,-298667413.7725,-298647534.1438,-298681111.4476,-124961.9083,-298669604.1248,-2748.2749,2762.5117,6628.5610,0.0000,4441.2079,-3131.7582,2707.4948,6315.2184,1314.5697,-4365.7883,-372764.6611,-374235.8042,-369966.8398,-371484.2622,-380048.7401,-376675.8027,-372543.2402,-371982.6771,152535978.4736,152520587.1749,152511172.0399,152531153.4905,-372802.6170,152525146.7595,-4040.2649,-3304.0717,1729.7722,0.0000,99.2342,5501.2873,6358.3681,1443.0533,297.7480,-3964.3223,-81834.6095,-84359.6202,-82526.4560,-84587.0550,-78347.6931,-84577.3000,-93820.4721,-83203.3674,127576581.3650,127542492.1895,127570423.7422,127571223.5799,-84630.3401,127571601.6595,
4200.000,-5910.9804,-3833.2979,2201.0916,0.0000,-3992.0382,871.5966,-419.3996,3658.7642,6807.0112,-3997.3867,-135444.9812,-98820.2188,-121985.2947,-120569.7037,-118282.3179,-118006.1537,-114059.8815,-117887.0468,-301943129.0744,-301924599.5208,-301904136.8408,-301938382.4970,-117043.1030,-301926548.9869,-1717.0429,3920.4437,6559.3699,0.0000,5100.6877,-4251.2579,4553.3118,5162.2539,-201.3962,-2497.2221,-375829.0935,-376506.0781,-372451.1026,-373991.0598,-382658.8712,-379055.3263,-375203.7926,-374277.4751,145979059.4237,145963866.0145,145954940.4662,145973867.1358,-375396.9412,145968323.6467,-2608.8700,-4215.0427,-61.6399,0.0000,1903.0737,5360.7975,5190.5284,2817.8350,-1241.3553,-4991.6625,-81744.0617,-84269.9402,-82369.0225,-84694.2373,-78207.8237,-84155.6674,-93748.8563,-83445.6943,127579638.9929,127545468.1034,127572937.9665,127574415.7455,-84519.8023,127574421.2959,
4500.000,-6606.5481,-1889.3908,3225.6809,0.0000,-2455.6353,-1048.1977,-1125.6493,4531.5334,6164.8251,-4132.3404,-127434.0888,-90772.0311,-113926.5086,-112323.0180,-110285.4057,-109995.6726,-106108.8354,-110043.6460,-305056136.8551,-305037866.2766,-305016837.2163,-305051695.5103,-109070.4095,-305039571.2955,-527.1644,4736.3711,5837.8440,0.0000,5230.5721,-4996.1948,5882.9420,3504.5875,-1709.5125,-369.5780,-378724.0942,-378605.1276,-374767.6252,-376328.8334,-385099.7013,-381237.2451,-377697.1353,-376499.4440,139352637.6334,139337629.2027,139329216.3256,139347056.7889,-377823.0438,139341996.9563,-866.4292,-4672.3172,-1846.4346,0.0000,3486.3571,4639.5058,3465.0760,3890.2597,-2646.9271,-5470.4174,-81653.6571,-84180.2318,-82215.6371,-84799.9213,-78070.9585,-83736.9873,-93672.7333,-83773.3143,127582693.9824,127548448.1486,127575452.2316,127577607.6422,-84409.2179,127577240.6534,
4800.000,-6571.4282,229.7773,3949.8814,0.0000,-630.7459,-2832.5249,-1755.4656,5001.6207,4927.6637,-3910.7005,-119359.9266,-82680.4586,-105815.2683,-104000.6886,-102237.5574,-101937.9357,-98104.5162,-102078.9606,-308023736.1381,-308005731.3523,-307984153.4124,-308019567.3979,-101047.4018,-308007188.8090,710.7729,5135.2508,4530.5246,0.0000,4832.0721,-5284.3136,6555.0091,1502.9434,-3076.3634,1800.2813,-381448.1676,-380532.0018,-376915.3481,-378498.2028,-387370.1090,-383217.5978,-380022.0192,-378661.5909,132659871.8869,132645035.2595,132637157.5080,132653883.3976,-380079.8048,132649325.3121,979.4494,-4626.9922,-3432.5229,0.0000,4665.7191,3415.2865,1366.9842,4545.3552,-3768.0994,-5348.5021,-81563.3951,-84090.4932,-82066.3816,-84901.8015,-77937.0867,-83324.7076,-93592.1210,-84151.7854,127585746.2272,127551432.3857,127577966.6035,127580798.6377,-84298.5868,127580059.7319,
5100.000,-5808.7180,2316.9140,4319.8311,0.0000,1294.5107,-4310.0103,-2211.3035,5029.8843,3219.3823,-3353.5976,-111226.1434,-74549.1786,-97655.2718,-95603.8104,-94142.4215,-93836.7761,-90050.4757,-93986.7994,-310844514.0392,-310826781.3667,-310804672.8556,-310840584.5059,-92977.6771,-310827988.5964,1881.7576,5077.5550,2763.5928,0.0000,3959.8645,-5074.5889,6503.0127,-647.8705,-4179.8447,3790.8195,-383999.8950,-382285.8276,-378893.2911,-380500.5005,-389469.0482,-384992.5421,-382177.2694,-380767.4253,125903952.5554,125889274.3093,125881953.4789,125897539.5120,-382166.1800,125893498.9268,2708.2294,-4083.9017,-4649.7718,0.0000,5304.8170,1820.6323,-878.1795,4712.9789,-4484.9181,-4639.2466,-81473.2753,-84000.7231,-81921.3295,-84996.8068,-77806.1985,-82923.3916,-93507.0356,-84541.9986,127588795.6217,127554420.8762,127580481.1483,127583988.1207,-84187.9093,127582878.5313,
5400.000,-4403.6387,4168.8067,4313.1250,0.0000,3117.2784,-5343.0755,-2413.3163,4615.3074,1208.6627,-2509.1057,-103036.4206,-66381.8858,-89450.2388,-87133.7886,-86003.6677,-85695.9211,-81950.2945,-85767.8168,-313517127.6646,-313499672.9181,-313477052.9298,-313513403.2872,-84864.8546,-313500627.7104,2876.7320,4563.1689,710.1098,0.0000,2714.3969,-4373.0580,5742.4336,-2738.1440,-4919.7108,5398.1143,-386377.9356,-383865.8104,-380700.5543,-382337.9176,-391395.5482,-386558.6658,-384161.7862,-382810.6547,119088100.0758,119073566.5602,119066823.7597,119081247.7595,-384081.2019,119077738.0810,4113.2688,-3101.1306,-5368.1715,0.0000,5329.8728,28.4551,-3029.0021,4375.2039,-4720.9188,-3420.0186,-81383.2970,-83910.9197,-81780.5463,-85080.9137,-77678.2856,-82538.9808,-93417.4916,-84903.7865,127591842.0617,127557413.6824,127582995.9321,127587175.4980,-84077.1853,127585697.0518,
