sl_20_86400_20280719 Coordinates.csv
2028/07/19 07:47:00.0000 UTC

Generated: Tue Oct  8 21:41:25 2024,
Start: 2028/07/19 07:47:00.00, Stop: 2028/07/20 07:47:00.00,
TIME_UNITS,STARLINK-30588 - X-Coordinate,STARLINK-2117 - X-Coordinate,STARLINK-30461 - X-Coordinate,STARLINK-3271 - X-Coordinate,STARLINK-3541 - X-Coordinate,STARLINK-11213 [DTC] - X-Coordinate,STARLINK-31327 - X-Coordinate,STARLINK-2631 - X-Coordinate,STARLINK-2541 - X-Coordinate,STARLINK-11179 [DTC] - X-Coordinate,STARLINK-5313 - X-Coordinate,STARLINK-32229 - X-Coordinate,STARLINK-5318 - X-Coordinate,STARLINK-1654 - X-Coordinate,STARLINK-4542 - X-Coordinate,STARLINK-31970 - X-Coordinate,STARLINK-30440 - X-Coordinate,STARLINK-1932 - X-Coordinate,STARLINK-4758 - X-Coordinate,STARLINK-4268 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30588 - Y-Coordinate,STARLINK-2117 - Y-Coordinate,STARLINK-30461 - Y-Coordinate,STARLINK-3271 - Y-Coordinate,STARLINK-3541 - Y-Coordinate,STARLINK-11213 [DTC] - Y-Coordinate,STARLINK-31327 - Y-Coordinate,STARLINK-2631 - Y-Coordinate,STARLINK-2541 - Y-Coordinate,STARLINK-11179 [DTC] - Y-Coordinate,STARLINK-5313 - Y-Coordinate,STARLINK-32229 - Y-Coordinate,STARLINK-5318 - Y-Coordinate,STARLINK-1654 - Y-Coordinate,STARLINK-4542 - Y-Coordinate,STARLINK-31970 - Y-Coordinate,STARLINK-30440 - Y-Coordinate,STARLINK-1932 - Y-Coordinate,STARLINK-4758 - Y-Coordinate,STARLINK-4268 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30588 - Z-Coordinate,STARLINK-2117 - Z-Coordinate,STARLINK-30461 - Z-Coordinate,STARLINK-3271 - Z-Coordinate,STARLINK-3541 - Z-Coordinate,STARLINK-11213 [DTC] - Z-Coordinate,STARLINK-31327 - Z-Coordinate,STARLINK-2631 - Z-Coordinate,STARLINK-2541 - Z-Coordinate,STARLINK-11179 [DTC] - Z-Coordinate,STARLINK-5313 - Z-Coordinate,STARLINK-32229 - Z-Coordinate,STARLINK-5318 - Z-Coordinate,STARLINK-1654 - Z-Coordinate,STARLINK-4542 - Z-Coordinate,STARLINK-31970 - Z-Coordinate,STARLINK-30440 - Z-Coordinate,STARLINK-1932 - Z-Coordinate,STARLINK-4758 - Z-Coordinate,STARLINK-4268 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,3929.9604,-5611.0241,-556.2431,1071.6595,6177.6941,320.0373,4261.6486,-3586.7224,-3450.7769,-2194.5957,-2425.0431,2392.6600,760.1842,6242.9227,-4114.4527,4511.8084,5767.4166,4303.3467,4340.3676,-2248.9905,-324085.1305,-288224.4648,-313777.7940,-313099.4815,-305255.0854,-306469.7979,-305865.6640,-307476.1194,-263633096.1752,-263612714.5086,-263589194.0629,-263612054.6274,-308161.9547,-263614752.6533,5221.8461,2628.4064,5004.4884,-6351.1869,-1157.5777,5080.0586,-5369.9909,-4041.5913,4328.5036,4436.1725,117.0710,3320.2852,-2784.2849,2576.5342,-1774.8395,2387.0190,-3763.5469,-3900.1921,2470.5983,-6226.7393,133096.6559,140892.9993,138676.9409,137821.1952,134327.3108,135903.9031,143688.5405,140139.1122,181179721.1615,181169532.6699,181168319.5097,181177729.4504,140822.3945,181173344.8986,-2261.7041,3003.9677,-4691.3210,2425.2734,2852.3440,-4420.8796,308.0679,4163.3516,-4123.3794,-4599.2176,6493.3381,5417.2262,-6316.2887,1299.3806,-5238.3626,-4495.8935,501.2535,-3561.5490,-4738.0863,1905.8865,167153.9245,163520.1282,166163.5061,167387.3905,170541.9591,161367.2390,156599.8998,166418.4849,141476611.4212,141441905.4622,141468200.8340,141463947.7643,164903.1666,141470267.9960,
3600.000,-4885.9048,1871.1887,-3547.9360,1766.6546,-6109.6478,-3311.6474,-1205.2990,4186.8558,2383.3757,-2924.8044,1750.7942,-5750.7696,1186.4287,-6082.5730,4102.0798,-5279.1002,-3066.1004,-3240.1236,-3930.3213,3611.5941,-345650.8914,-314100.7669,-339044.8072,-337204.8464,-330062.0437,-331749.4031,-331016.7784,-333753.4286,-301545303.5188,-301528561.6233,-301502632.8593,-301534209.7000,-333304.1565,-301527739.1501,-1755.0641,-3797.2588,-5038.9772,4014.9774,2836.8294,-5869.9176,5624.7141,-629.6127,-6475.0480,-3512.6956,-4546.1904,-59.1420,6000.4154,-725.2087,-2746.0496,2263.0507,4901.1463,5898.0109,2065.9713,5286.8726,47874.0779,64132.7289,59100.0501,58382.2596,53074.9716,55880.8377,61734.0745,60055.7093,106718354.9964,106707900.3475,106715810.1078,106716902.5467,59690.6116,106712744.7218,4556.4319,-5440.8674,3046.2896,-5310.1041,1513.2322,-68.6668,-3749.0754,-5360.4910,81.5594,4961.5009,-4944.8930,-3630.3315,3279.3101,3119.0999,4798.4962,3627.7526,-3782.5203,-1055.1751,5248.2851,2541.4653,166737.8943,163188.9143,166892.9633,164925.9069,171031.2383,164670.2462,155633.3835,163086.1441,141476723.9549,141442018.8747,141462258.0488,141460983.8579,164789.3369,141467926.3224,
7200.000,5107.2243,2415.3568,5785.7172,-5000.4004,3123.7756,4149.1954,-2941.9345,-4240.0125,-262.0698,6320.1450,-1889.4481,6355.7261,-1455.9967,3470.6122,-3646.3461,4256.3862,-1100.2902,97.7075,3292.7878,-4049.1037,-345175.1792,-320051.7649,-343030.0926,-338006.0195,-333898.3616,-338385.8177,-334787.9944,-337117.8202,-318878266.6899,-318864449.6396,-318840171.7110,-318873123.6334,-337477.3939,-318861691.2616,-2408.4627,4823.5843,3663.3546,-851.8698,-3691.2056,2842.8127,-4186.9148,4692.9053,5617.7599,2091.2882,6663.9049,-2186.6185,-6577.2419,-2348.6928,5718.6432,-5300.5487,-5000.8111,-4780.5028,-5604.1973,-1617.0167,-39471.4840,-16673.3790,-23986.1312,-23261.8055,-31629.2348,-25081.1640,-23770.2860,-25315.4214,24982944.7458,24970249.4319,24987790.4232,24975746.2171,-25089.4117,24977603.5118,-3994.4602,4277.8521,639.1000,4646.6465,-4933.7588,4474.2057,4563.6244,2564.6208,3988.5358,-1132.1354,438.6109,-1025.8790,1670.1738,-5459.2111,-1221.1818,70.8080,4623.9061,4839.5936,-2263.9664,-5340.8482,166281.4806,162854.8166,167042.5932,163081.3285,171061.7353,166958.3038,155300.2213,166394.3498,141476227.3891,141442878.1235,141456457.1910,141461551.9577,164659.4466,141465545.3029,
10800.000,-4287.8336,-4950.8361,-5635.6641,6659.9623,1280.0891,-3821.1092,6159.4888,2782.4458,-3005.2908,-5657.3491,1215.1445,-3232.7691,1569.3579,-373.1774,1795.9833,-978.8981,4778.0888,4120.0798,-1736.2031,4231.6445,-323037.2748,-305675.8617,-325560.0410,-316926.9803,-316608.5592,-323644.9505,-317044.6695,-320426.1054,-314451433.2033,-314438974.7664,-314420301.0796,-314446036.2013,-320447.7605,-314435783.0067,5347.3567,-4780.8212,-544.0181,-1492.7803,4368.0137,2398.6131,2064.9403,-5862.8305,-2886.7398,290.5387,-5301.8489,3481.7786,3709.4629,5500.2907,-5843.5994,5601.4294,4305.6510,2239.8667,6265.4414,-2862.5229,-123322.3827,-96471.1962,-105453.9065,-105551.6413,-114504.0457,-105270.8728,-107295.5190,-107980.9455,-58448404.3511,-58464720.9622,-58438920.5822,-58462531.4000,-108191.9959,-58454011.6990,898.1144,-320.3014,-3911.6046,-911.2583,5184.1423,-5010.5990,-2219.0824,2111.0456,-5503.7043,-3681.8526,4302.1756,4851.3200,-5657.8720,4105.0671,-3183.6914,-3731.9386,-2519.6592,-4942.9992,-2259.8801,4616.3318,165785.6223,162520.3026,166537.4686,165140.9534,170645.5243,163510.4309,155580.4665,162715.5605,141474999.6903,141444607.7531,141450922.8523,141463366.7876,164513.4792,141463124.9455,
14400.000,1982.7901,5104.0960,3876.0559,-5220.2950,-4676.3044,2733.5873,-6641.1932,725.2950,5971.2030,1972.1447,1397.6582,-1669.9461,-2822.1719,-1770.4476,1643.7764,-3408.9567,-6331.8665,-6694.0891,-1247.8251,-3838.1118,-281033.0979,-271827.7207,-287735.0736,-278050.2203,-279378.8920,-287077.3245,-279092.1187,-283446.6131,-288569175.7494,-288556014.8510,-288545973.8199,-288558739.3322,-283311.0470,-288554130.5134,-6023.0711,2542.3559,-3423.1419,2873.2136,-4609.7141,-6047.4818,407.1377,4318.1705,118.6148,-3607.9653,1958.9657,-4409.8922,788.5522,-6646.0594,3840.4108,-3837.8698,-2475.5753,81.2501,-4262.7918,5656.5586,-198401.9889,-170257.0363,-180293.5784,-181826.9695,-190367.8820,-181298.9454,-183520.9149,-184688.0809,-137882503.7510,-137902780.1859,-137871901.5249,-137900717.4084,-184404.2070,-137888810.2205,2746.2219,-3873.5069,4525.9967,-3452.8207,-2142.9877,1167.1962,-1689.4829,-5243.2585,3447.6045,5347.0077,-6511.6335,-4901.9649,6286.1749,-8.7713,5470.5500,4447.6917,-1217.7898,1243.7652,5246.9916,-880.7561,165251.6277,162188.3343,165473.8278,167265.7237,169770.8404,159994.3426,156488.9890,166098.3758,141472963.6274,141447305.4041,141445793.4334,141465111.0067,164351.4199,141460665.2581,
18000.000,1628.0955,-3851.5410,-1588.5030,1235.4027,5618.1329,-279.4359,4230.1825,-4819.0449,-6632.1277,1724.6349,-4901.4383,5116.1830,4651.4152,3079.1168,-5289.6810,6460.3549,5474.6757,5580.8643,4791.3216,1859.0751,-222231.4155,-220568.8987,-231873.4990,-222330.9908,-224689.7613,-231963.2455,-223576.2350,-228045.9274,-242999829.8707,-242984025.1467,-242983889.7671,-242982720.0611,-228422.1049,-242984896.9350,4830.4167,1533.1851,6356.4210,-3942.6109,3300.9718,5638.9306,-3120.6423,-1827.8124,1716.1150,6034.9736,798.2054,4339.3021,-4019.6701,4573.4847,-1440.4155,1284.0404,-608.2632,-1927.6960,1401.0005,-5667.2216,-260128.1858,-233384.9016,-243871.7592,-246274.7648,-254464.3312,-246302.0713,-247709.3103,-248379.1288,-207899559.1097,-207922806.5082,-207891451.5409,-207916820.2662,-248952.1687,-207906781.9801,-4675.6789,5493.9054,-2100.6723,5498.5531,-2290.9119,3668.3246,4402.4520,4468.9638,813.5367,-2493.9262,4841.3700,1090.8039,-3228.0813,-4118.7422,-4178.3024,-1690.1546,4155.4056,3384.2156,-4740.3814,-3457.0762,164681.7807,161862.6009,164093.2794,168727.6334,168399.6219,157431.6065,158078.2290,162487.2556,141470091.7736,141450953.3030,141441227.7032,141465811.3725,164173.2554,141458166.2488,
21600.000,-5172.8532,2432.5027,-850.1305,2976.9454,-4490.1166,-3450.6749,-480.3412,6810.3250,4190.7459,-3637.4066,6727.9353,-5399.9367,-4976.0690,-4173.5138,6875.8856,-6182.9863,-3217.2661,-1470.9102,-6748.0204,1753.3486,-150749.5500,-155044.2386,-161413.5387,-152762.8048,-156223.3471,-162121.3415,-154334.4856,-159573.3548,-180854853.5168,-180835369.4856,-180843949.9478,-180833337.4034,-159245.5620,-180839497.1829,-2775.0097,-5403.7294,-6595.9545,4828.2794,-11.3966,-2257.4847,5510.3133,-259.9818,-3030.0367,-5114.1934,-1669.8394,-2093.7100,4511.9556,-298.7100,-429.9033,1483.1024,4195.6606,3824.7724,849.2275,3747.5304,-304921.3201,-281852.9192,-292192.3370,-294864.8314,-302723.9218,-295515.3031,-296085.8243,-298587.7665,-263722932.8034,-263746938.6399,-263720298.0476,-263734302.7737,-297799.3879,-263731016.5815,3643.5878,-3519.6155,-1762.7044,-3906.6292,5237.5615,-5334.9766,-4068.3591,-402.6681,-4572.9311,-2500.6050,-320.8718,3549.1304,-1762.6927,5449.8295,115.4790,-2412.5357,-4447.3969,-5443.9941,1040.2713,5502.1691,164080.8525,161547.8758,162718.0476,169617.9156,166462.3646,155675.4645,160443.8540,165525.2254,141466408.2832,141455260.9616,141437411.3710,141464418.1932,163978.9742,141455627.9256,
25200.000,6883.0612,-940.0534,3363.5321,-5217.6623,2738.3219,6192.7030,-2749.3549,-5133.7459,35.2786,4049.3802,-5115.9680,3478.0837,2390.7458,4915.7213,-5219.9821,2806.9638,680.7765,-2803.9886,5535.6177,-5430.1289,-71469.6080,-79290.9379,-80750.8432,-73535.4381,-78812.8292,-82190.4734,-76334.8268,-79892.8836,-106376372.6092,-106353690.7534,-106367115.0358,-106356113.3981,-80137.3486,-106360154.7727,561.6951,6780.3871,4051.3517,-4481.4851,-4076.9034,-1246.6422,-6224.4545,2100.3914,4335.4315,701.1201,1587.3394,-2156.7577,-3172.1670,-3654.7345,2039.3028,-4130.1092,-6608.7454,-5238.3953,-2352.3025,-1548.7256,-330460.2494,-312551.4620,-322160.3757,-324628.1467,-331793.1498,-325619.6437,-326327.5369,-326730.7348,-301544972.7325,-301567042.7501,-301549480.9953,-301548769.0463,-327898.5016,-301553603.5970,-330.4467,-796.3983,4416.1068,-304.4219,-4858.6545,2340.9240,886.3159,-3986.7069,5358.4899,5348.3196,-4416.5876,-5433.3057,5685.8169,-3133.7430,4000.2564,4603.4445,1875.5356,3319.7931,3334.9421,-3955.3137,163460.6067,161250.6010,161664.6145,170010.4088,163904.3013,154612.5561,163650.4190,162385.3007,141461987.3278,141459556.9164,141434561.3208,141459517.3230,163768.5664,141453050.2966,
28800.000,-5851.6462,-1213.9701,-5518.5278,5016.0573,-1175.7370,-5292.9433,4514.7078,920.6759,-3640.8767,-3759.5113,877.9208,-1165.8932,2146.5139,-4111.6993,1339.3143,1452.1858,1625.2751,4833.8519,-1683.8503,6885.0931,10272.4909,2008.9780,5010.3452,10453.8747,2103.1759,2598.5505,3923.6965,3959.7949,-24647620.8572,-24623633.6011,-24636151.4697,-24633465.6785,3929.2049,-24630316.0632,1813.5968,-5009.4928,-249.5403,1939.1574,6666.3185,3197.4772,4276.5924,-4065.9420,-5201.9687,4239.7061,-2217.7408,5961.8580,2058.8400,5356.7773,-3928.9987,5823.6433,6440.4041,4608.2567,3788.0200,-211.5995,-335925.8639,-323457.7362,-331823.7332,-333773.7850,-337915.9617,-334696.7038,-338290.1695,-338710.2313,-318786691.8950,-318804852.8044,-318798207.2390,-318788728.5740,-337380.7950,-318795379.8433,-3210.1885,4562.4787,-4103.9176,4290.8058,1357.3792,2666.9872,2893.9388,5397.2538,-2705.1709,-3676.6184,6509.1494,3041.7219,-6275.2700,-1318.0233,-5503.5234,-3199.0087,1880.1332,1323.1408,-5496.3149,-210.3584,162857.5156,160979.9141,161158.9007,169944.0623,161964.1225,154182.9138,165840.6250,164696.5507,141456948.2933,141463004.4612,141432920.4509,141450228.3380,163542.0241,141450433.3699,
