sl_100_5400_20290222 Coordinates.csv
2029/02/22 07:47:00.0000 UTC

Generated: Tue Oct  8 21:45:57 2024,
Start: 2029/02/22 07:47:00.00, Stop: 2029/02/22 09:17:00.00,
TIME_UNITS,STARLINK-31481 - X-Coordinate,STARLINK-31207 - X-Coordinate,STARLINK-5511 - X-Coordinate,STARLINK-4463 - X-Coordinate,STARLINK-6203 - X-Coordinate,STARLINK-6284 - X-Coordinate,STARLINK-2017 - X-Coordinate,STARLINK-31195 - X-Coordinate,STARLINK-30295 - X-Coordinate,STARLINK-3050 - X-Coordinate,STARLINK-4115 - X-Coordinate,STARLINK-6341 - X-Coordinate,STARLINK-4342 - X-Coordinate,STARLINK-4198 - X-Coordinate,STARLINK-4459 - X-Coordinate,STARLINK-5709 - X-Coordinate,STARLINK-5469 - X-Coordinate,STARLINK-31881 - X-Coordinate,STARLINK-5742 - X-Coordinate,STARLINK-1225 - X-Coordinate,STARLINK-31282 - X-Coordinate,STARLINK-32046 - X-Coordinate,STARLINK-4563 - X-Coordinate,STARLINK-1776 - X-Coordinate,STARLINK-32010 - X-Coordinate,STARLINK-6251 - X-Coordinate,STARLINK-31700 - X-Coordinate,STARLINK-11228 [DTC] - X-Coordinate,STARLINK-31187 - X-Coordinate,STARLINK-31414 - X-Coordinate,STARLINK-30454 - X-Coordinate,STARLINK-5013 - X-Coordinate,STARLINK-31793 - X-Coordinate,STARLINK-3966 - X-Coordinate,STARLINK-2483 - X-Coordinate,STARLINK-5830 - X-Coordinate,STARLINK-1361 - X-Coordinate,STARLINK-31394 - X-Coordinate,STARLINK-4413 - X-Coordinate,STARLINK-4317 - X-Coordinate,STARLINK-11155 [DTC] - X-Coordinate,STARLINK-6317 - X-Coordinate,STARLINK-5440 - X-Coordinate,STARLINK-30422 - X-Coordinate,STARLINK-3308 - X-Coordinate,STARLINK-5689 - X-Coordinate,STARLINK-4690 - X-Coordinate,STARLINK-5776 - X-Coordinate,STARLINK-5180 - X-Coordinate,STARLINK-30240 - X-Coordinate,STARLINK-2698 - X-Coordinate,STARLINK-2702 - X-Coordinate,STARLINK-3753 - X-Coordinate,STARLINK-4697 - X-Coordinate,STARLINK-5969 - X-Coordinate,STARLINK-30486 - X-Coordinate,STARLINK-31248 - X-Coordinate,STARLINK-5160 - X-Coordinate,STARLINK-1068 - X-Coordinate,STARLINK-31973 - X-Coordinate,STARLINK-3849 - X-Coordinate,STARLINK-31769 - X-Coordinate,STARLINK-5224 - X-Coordinate,STARLINK-1231 - X-Coordinate,STARLINK-32209 - X-Coordinate,STARLINK-32106 - X-Coordinate,STARLINK-31498 - X-Coordinate,STARLINK-30260 - X-Coordinate,STARLINK-30410 - X-Coordinate,STARLINK-5464 - X-Coordinate,STARLINK-5853 - X-Coordinate,STARLINK-3199 - X-Coordinate,STARLINK-31855 - X-Coordinate,STARLINK-31112 - X-Coordinate,STARLINK-3285 - X-Coordinate,STARLINK-3538 - X-Coordinate,STARLINK-4216 - X-Coordinate,STARLINK-31409 - X-Coordinate,STARLINK-2320 - X-Coordinate,STARLINK-4437 - X-Coordinate,STARLINK-4264 - X-Coordinate,STARLINK-11179 [DTC] - X-Coordinate,STARLINK-4117 - X-Coordinate,STARLINK-30915 - X-Coordinate,STARLINK-2509 - X-Coordinate,STARLINK-5638 - X-Coordinate,STARLINK-6086 - X-Coordinate,STARLINK-4173 - X-Coordinate,STARLINK-5314 - X-Coordinate,STARLINK-30965 - X-Coordinate,STARLINK-4190 - X-Coordinate,STARLINK-31643 - X-Coordinate,STARLINK-2097 - X-Coordinate,STARLINK-1138 - X-Coordinate,STARLINK-31135 - X-Coordinate,STARLINK-31177 - X-Coordinate,STARLINK-5547 - X-Coordinate,STARLINK-3746 - X-Coordinate,STARLINK-30799 - X-Coordinate,STARLINK-4089 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31481 - Y-Coordinate,STARLINK-31207 - Y-Coordinate,STARLINK-5511 - Y-Coordinate,STARLINK-4463 - Y-Coordinate,STARLINK-6203 - Y-Coordinate,STARLINK-6284 - Y-Coordinate,STARLINK-2017 - Y-Coordinate,STARLINK-31195 - Y-Coordinate,STARLINK-30295 - Y-Coordinate,STARLINK-3050 - Y-Coordinate,STARLINK-4115 - Y-Coordinate,STARLINK-6341 - Y-Coordinate,STARLINK-4342 - Y-Coordinate,STARLINK-4198 - Y-Coordinate,STARLINK-4459 - Y-Coordinate,STARLINK-5709 - Y-Coordinate,STARLINK-5469 - Y-Coordinate,STARLINK-31881 - Y-Coordinate,STARLINK-5742 - Y-Coordinate,STARLINK-1225 - Y-Coordinate,STARLINK-31282 - Y-Coordinate,STARLINK-32046 - Y-Coordinate,STARLINK-4563 - Y-Coordinate,STARLINK-1776 - Y-Coordinate,STARLINK-32010 - Y-Coordinate,STARLINK-6251 - Y-Coordinate,STARLINK-31700 - Y-Coordinate,STARLINK-11228 [DTC] - Y-Coordinate,STARLINK-31187 - Y-Coordinate,STARLINK-31414 - Y-Coordinate,STARLINK-30454 - Y-Coordinate,STARLINK-5013 - Y-Coordinate,STARLINK-31793 - Y-Coordinate,STARLINK-3966 - Y-Coordinate,STARLINK-2483 - Y-Coordinate,STARLINK-5830 - Y-Coordinate,STARLINK-1361 - Y-Coordinate,STARLINK-31394 - Y-Coordinate,STARLINK-4413 - Y-Coordinate,STARLINK-4317 - Y-Coordinate,STARLINK-11155 [DTC] - Y-Coordinate,STARLINK-6317 - Y-Coordinate,STARLINK-5440 - Y-Coordinate,STARLINK-30422 - Y-Coordinate,STARLINK-3308 - Y-Coordinate,STARLINK-5689 - Y-Coordinate,STARLINK-4690 - Y-Coordinate,STARLINK-5776 - Y-Coordinate,STARLINK-5180 - Y-Coordinate,STARLINK-30240 - Y-Coordinate,STARLINK-2698 - Y-Coordinate,STARLINK-2702 - Y-Coordinate,STARLINK-3753 - Y-Coordinate,STARLINK-4697 - Y-Coordinate,STARLINK-5969 - Y-Coordinate,STARLINK-30486 - Y-Coordinate,STARLINK-31248 - Y-Coordinate,STARLINK-5160 - Y-Coordinate,STARLINK-1068 - Y-Coordinate,STARLINK-31973 - Y-Coordinate,STARLINK-3849 - Y-Coordinate,STARLINK-31769 - Y-Coordinate,STARLINK-5224 - Y-Coordinate,STARLINK-1231 - Y-Coordinate,STARLINK-32209 - Y-Coordinate,STARLINK-32106 - Y-Coordinate,STARLINK-31498 - Y-Coordinate,STARLINK-30260 - Y-Coordinate,STARLINK-30410 - Y-Coordinate,STARLINK-5464 - Y-Coordinate,STARLINK-5853 - Y-Coordinate,STARLINK-3199 - Y-Coordinate,STARLINK-31855 - Y-Coordinate,STARLINK-31112 - Y-Coordinate,STARLINK-3285 - Y-Coordinate,STARLINK-3538 - Y-Coordinate,STARLINK-4216 - Y-Coordinate,STARLINK-31409 - Y-Coordinate,STARLINK-2320 - Y-Coordinate,STARLINK-4437 - Y-Coordinate,STARLINK-4264 - Y-Coordinate,STARLINK-11179 [DTC] - Y-Coordinate,STARLINK-4117 - Y-Coordinate,STARLINK-30915 - Y-Coordinate,STARLINK-2509 - Y-Coordinate,STARLINK-5638 - Y-Coordinate,STARLINK-6086 - Y-Coordinate,STARLINK-4173 - Y-Coordinate,STARLINK-5314 - Y-Coordinate,STARLINK-30965 - Y-Coordinate,STARLINK-4190 - Y-Coordinate,STARLINK-31643 - Y-Coordinate,STARLINK-2097 - Y-Coordinate,STARLINK-1138 - Y-Coordinate,STARLINK-31135 - Y-Coordinate,STARLINK-31177 - Y-Coordinate,STARLINK-5547 - Y-Coordinate,STARLINK-3746 - Y-Coordinate,STARLINK-30799 - Y-Coordinate,STARLINK-4089 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31481 - Z-Coordinate,STARLINK-31207 - Z-Coordinate,STARLINK-5511 - Z-Coordinate,STARLINK-4463 - Z-Coordinate,STARLINK-6203 - Z-Coordinate,STARLINK-6284 - Z-Coordinate,STARLINK-2017 - Z-Coordinate,STARLINK-31195 - Z-Coordinate,STARLINK-30295 - Z-Coordinate,STARLINK-3050 - Z-Coordinate,STARLINK-4115 - Z-Coordinate,STARLINK-6341 - Z-Coordinate,STARLINK-4342 - Z-Coordinate,STARLINK-4198 - Z-Coordinate,STARLINK-4459 - Z-Coordinate,STARLINK-5709 - Z-Coordinate,STARLINK-5469 - Z-Coordinate,STARLINK-31881 - Z-Coordinate,STARLINK-5742 - Z-Coordinate,STARLINK-1225 - Z-Coordinate,STARLINK-31282 - Z-Coordinate,STARLINK-32046 - Z-Coordinate,STARLINK-4563 - Z-Coordinate,STARLINK-1776 - Z-Coordinate,STARLINK-32010 - Z-Coordinate,STARLINK-6251 - Z-Coordinate,STARLINK-31700 - Z-Coordinate,STARLINK-11228 [DTC] - Z-Coordinate,STARLINK-31187 - Z-Coordinate,STARLINK-31414 - Z-Coordinate,STARLINK-30454 - Z-Coordinate,STARLINK-5013 - Z-Coordinate,STARLINK-31793 - Z-Coordinate,STARLINK-3966 - Z-Coordinate,STARLINK-2483 - Z-Coordinate,STARLINK-5830 - Z-Coordinate,STARLINK-1361 - Z-Coordinate,STARLINK-31394 - Z-Coordinate,STARLINK-4413 - Z-Coordinate,STARLINK-4317 - Z-Coordinate,STARLINK-11155 [DTC] - Z-Coordinate,STARLINK-6317 - Z-Coordinate,STARLINK-5440 - Z-Coordinate,STARLINK-30422 - Z-Coordinate,STARLINK-3308 - Z-Coordinate,STARLINK-5689 - Z-Coordinate,STARLINK-4690 - Z-Coordinate,STARLINK-5776 - Z-Coordinate,STARLINK-5180 - Z-Coordinate,STARLINK-30240 - Z-Coordinate,STARLINK-2698 - Z-Coordinate,STARLINK-2702 - Z-Coordinate,STARLINK-3753 - Z-Coordinate,STARLINK-4697 - Z-Coordinate,STARLINK-5969 - Z-Coordinate,STARLINK-30486 - Z-Coordinate,STARLINK-31248 - Z-Coordinate,STARLINK-5160 - Z-Coordinate,STARLINK-1068 - Z-Coordinate,STARLINK-31973 - Z-Coordinate,STARLINK-3849 - Z-Coordinate,STARLINK-31769 - Z-Coordinate,STARLINK-5224 - Z-Coordinate,STARLINK-1231 - Z-Coordinate,STARLINK-32209 - Z-Coordinate,STARLINK-32106 - Z-Coordinate,STARLINK-31498 - Z-Coordinate,STARLINK-30260 - Z-Coordinate,STARLINK-30410 - Z-Coordinate,STARLINK-5464 - Z-Coordinate,STARLINK-5853 - Z-Coordinate,STARLINK-3199 - Z-Coordinate,STARLINK-31855 - Z-Coordinate,STARLINK-31112 - Z-Coordinate,STARLINK-3285 - Z-Coordinate,STARLINK-3538 - Z-Coordinate,STARLINK-4216 - Z-Coordinate,STARLINK-31409 - Z-Coordinate,STARLINK-2320 - Z-Coordinate,STARLINK-4437 - Z-Coordinate,STARLINK-4264 - Z-Coordinate,STARLINK-11179 [DTC] - Z-Coordinate,STARLINK-4117 - Z-Coordinate,STARLINK-30915 - Z-Coordinate,STARLINK-2509 - Z-Coordinate,STARLINK-5638 - Z-Coordinate,STARLINK-6086 - Z-Coordinate,STARLINK-4173 - Z-Coordinate,STARLINK-5314 - Z-Coordinate,STARLINK-30965 - Z-Coordinate,STARLINK-4190 - Z-Coordinate,STARLINK-31643 - Z-Coordinate,STARLINK-2097 - Z-Coordinate,STARLINK-1138 - Z-Coordinate,STARLINK-31135 - Z-Coordinate,STARLINK-31177 - Z-Coordinate,STARLINK-5547 - Z-Coordinate,STARLINK-3746 - Z-Coordinate,STARLINK-30799 - Z-Coordinate,STARLINK-4089 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-6394.5188,4535.5355,5672.2178,-1122.4162,3912.2906,6406.6214,4517.5504,-3270.3724,-663.7325,-6493.3144,-5966.5738,-3801.6803,2596.4958,-3566.0764,3239.9642,-4763.0115,3230.0453,3906.5316,-2728.6459,-1476.6887,3962.3734,2269.0611,4870.6101,-4186.0702,5895.5739,1205.8117,5585.8300,2648.8260,-1715.0059,5356.7611,-2262.8653,5045.0916,5420.8900,-6183.3642,-5487.9030,2912.5512,6164.6411,-5674.0362,1930.0630,1457.6392,4724.4294,-3802.6260,-492.7586,5534.8648,-164.9918,1109.2241,-1502.8896,-4017.7027,-5118.4815,652.2149,-4715.4989,-5776.5847,-3552.7089,-6047.5874,2002.6088,-2537.5860,2614.9765,-2410.6636,1144.8150,-5256.9063,-4076.3303,-5092.2321,2131.2778,-4722.8557,4462.2024,-5964.5322,-5896.2082,5784.9436,-939.6827,3498.7916,-3456.9183,-3024.6192,-6499.6598,-5112.7744,1904.3478,3583.2661,-4792.2686,4750.1537,68.5779,1882.0248,-4552.3213,4123.0997,-6010.5096,622.1530,-3307.6171,-4759.1228,2773.9499,868.7532,-2683.4103,1815.9642,-5715.4899,-2527.5149,5789.1355,2007.2027,-4196.7082,-79.6385,-4923.3004,-3349.0018,-1162.6789,-3906.0394,341278.5621,323188.8986,340958.1906,338943.4520,330462.5223,332263.4223,336095.6890,335851.1477,-28995927.6799,-28978500.1316,-28964371.1529,-28966310.2348,336541.3103,-28977447.8952,1537.2254,2255.1794,3584.3890,1918.8777,-5702.4057,2220.5522,1473.3531,5983.3783,6193.6011,-1602.2250,-3225.2082,-755.2024,2216.6863,-4903.3088,-2551.4666,2251.9551,-2404.3569,-3122.0362,-4262.7424,-4244.5067,-3211.1936,5971.6924,2266.6330,-1925.6326,-3168.9971,6619.6598,2561.9279,-4901.8715,6115.1594,-356.1699,-6279.9054,1947.9055,2961.7893,1714.2451,-3481.1220,-4537.7322,1671.5983,2368.8809,-59.9101,-122.7901,4421.1437,-4691.3914,-4801.4631,2958.9390,-6872.6085,-6289.7557,4453.0764,5292.0286,4333.7226,-5161.3554,-527.2352,3741.6512,-5295.9860,-2569.6361,-5185.6309,-4400.5454,3324.8093,6320.5810,-5088.0771,1067.0660,-2374.4051,-4058.5132,1283.8826,859.1199,-4747.8598,-3238.7423,955.0385,925.0290,-4628.2506,-2643.5432,-3751.9098,5637.2555,-1474.3904,-2324.8536,-3674.1760,-5555.3161,-4945.5887,-2218.8146,-4057.5879,6535.2026,180.8343,3261.9047,3342.1091,-5993.3696,5773.4508,-4996.6482,5266.6969,6704.8399,4692.8961,4762.6038,-2969.7687,4838.2863,-3611.3402,6586.8136,-3311.4680,-5919.9051,-1441.1063,-4103.7101,5900.4798,-2014.9780,132910.5585,116077.3690,121698.3053,122874.9537,121784.7619,120677.2488,114202.4389,117150.6194,-112063819.4708,-112063511.0616,-112053873.3339,-112056770.9927,117804.0556,-112056903.1395,-1577.2112,4541.0742,1733.4139,-6557.8278,-510.3320,1432.4095,-4961.7287,-553.9814,2806.7985,1928.7844,1242.7655,5751.0498,-6036.7787,3302.5946,5577.3454,4458.5600,5655.0094,-4620.1580,4632.1755,5171.1094,4501.2831,-2320.3377,-4321.7298,4689.0569,-488.0652,1710.5167,2606.9533,-3814.6174,-2190.5339,-4180.2286,1829.0220,-4322.8182,2916.1578,2499.7244,-2155.2105,4414.9852,-2625.8580,2907.6506,6653.2443,6779.4841,1574.8845,3386.0717,4913.6604,-2928.6192,764.3490,-2679.7048,-5057.8760,-1960.0851,1720.8050,4556.5236,-5000.3509,-135.0040,-2599.5612,-2115.4164,-4141.5563,-4715.6388,5411.0000,-1408.4901,-4471.1242,4228.6442,-5041.5840,-2037.5885,-6453.1734,4927.0628,1783.2529,-571.8132,-3317.3035,-3690.1934,-4945.2885,-5330.1720,-4688.3534,2609.7851,1374.7247,3936.8844,5526.8961,-1951.0762,179.1306,-4424.7491,-5376.8125,1098.1514,5047.2064,4232.8698,-554.6393,3147.0558,-1384.8559,617.6043,-3528.2865,1430.3354,4348.3371,4695.9778,2422.0239,4102.4668,-116.2047,-473.2667,4108.0422,3291.7980,4634.2109,-4419.7213,-3470.8490,5299.7437,166076.5652,161876.3040,166566.5756,166582.3646,170518.3427,161983.3461,156326.7411,163304.8611,-4474896.7067,-4446736.0313,-4476421.7802,-4476715.5690,164818.7009,-4469601.1905,
300.000,-5358.2912,5509.5687,6533.3065,-2898.5511,2425.7603,6308.6507,5638.9314,-1721.1814,622.7146,-6882.9101,-5968.7446,-5309.8373,614.9874,-4077.1590,4820.7833,-4055.1208,3542.6493,2498.7348,-4289.0256,-3057.2870,2198.4453,3173.6583,4513.9660,-3989.6437,4875.9912,2611.2153,5236.7346,1602.5475,-199.6332,4450.3614,-3495.1266,5077.6566,5174.6079,-4919.9725,-6353.3384,846.9521,5587.5274,-4206.5598,-46.9223,3159.1836,5633.8862,-5349.1607,-2209.0839,6546.8325,-1361.8646,-455.8928,72.0973,-2323.0845,-4841.8535,-1478.6492,-5490.9696,-4858.2847,-4816.4073,-5759.8619,-89.4497,-4310.0829,4390.4317,-1007.9985,-750.9980,-4112.9754,-4160.7861,-6156.6896,2583.2186,-4984.2231,2969.8975,-6490.6532,-5917.5195,5212.7723,-2854.5330,2596.4209,-4971.9782,-1399.2278,-6804.6818,-6175.4986,-113.6383,2621.4988,-5378.8141,4050.7062,-2110.5669,1443.2091,-5013.0020,5625.4271,-5250.6638,-898.7032,-1867.3212,-4839.5462,4484.0327,2005.1718,-1147.9717,3661.8134,-5495.8037,-1439.4880,4872.5385,3027.4693,-5670.1983,-1847.5259,-5533.9768,-5010.3714,489.9411,-4131.7759,338273.2586,320765.0042,338450.4302,336370.7031,327850.6904,329713.9345,333488.5125,332896.8465,-26536309.6609,-26519088.1242,-26504790.6903,-26506573.2636,333965.6158,-26517915.3368,2903.0997,390.6408,2305.6975,2946.1008,-6182.3711,560.3552,-88.4332,6298.5398,6715.8833,-1037.0627,-1828.4496,224.2445,1358.3994,-3195.3205,-3001.9779,4159.7141,-4134.4703,-4730.3424,-2757.8027,-2760.7018,-4485.1254,4640.8828,304.0477,236.6768,-4017.8332,5667.0224,897.0691,-6137.3001,6676.9009,-2288.1410,-5081.3920,-173.8263,1255.5386,2734.5730,-2519.2832,-5032.7888,131.0226,3607.9087,1069.5263,1217.2674,3545.2126,-3841.3494,-3567.6811,1616.3042,-6701.3779,-6790.6255,5582.9688,5664.6708,4936.2789,-4848.7235,1237.1993,4581.1992,-4842.1978,-1053.1306,-5136.5867,-3227.0329,2203.4556,6110.9892,-4348.0023,2871.2125,-247.6155,-2886.6615,-880.8811,2750.6662,-5029.9415,-1806.8776,2725.2362,-1012.9895,-4836.0033,-4475.1650,-2282.8897,5417.9463,33.3467,-746.4959,-4458.2213,-6370.8106,-3826.2103,-4132.1288,-3801.1230,6639.7110,2104.4003,2394.3247,4291.6057,-5065.8017,5781.4000,-4169.9615,4728.3159,5847.0671,3812.7093,3651.4304,-1374.9333,6113.9296,-4466.2139,5789.1525,-2461.1935,-4995.6657,561.7772,-3583.6304,6549.9791,146.9676,139999.9000,122943.5088,128632.7609,129782.1726,128832.0220,127670.1270,121305.1216,124115.0535,-112667688.7310,-112667711.0406,-112657154.4114,-112660023.9893,124850.2548,-112660728.4982,-2935.2514,3972.8328,221.8734,-5554.1030,-1998.9613,2808.7033,-3922.7383,-2046.3199,1105.6635,-175.6079,2923.3238,4459.3259,-6773.0537,4561.0077,3988.7826,3728.9061,4310.7342,-4210.8187,4590.5627,5473.6268,4617.5049,-3820.8698,-5203.6069,5218.3905,-2270.5218,3039.8061,4037.5542,-2312.5115,-704.2634,-4610.6639,3137.0420,-4703.7049,4275.5080,3963.0120,-384.3756,4744.2100,-4057.5780,3940.2084,6843.7823,6054.8386,-259.3556,2141.8280,5460.3850,-1574.8836,-1051.8094,-1279.8505,-4061.2463,-3243.0043,-397.3529,4703.7085,-3978.7241,1663.9993,-874.2584,-3658.1659,-4654.7746,-4364.8123,4801.8706,-3066.5162,-5265.5223,4634.5861,-5504.9359,-542.5358,-6354.2663,3864.3212,3388.0208,985.8913,-2054.5594,-4443.6648,-3900.4778,-4568.4879,-4251.4469,4048.8022,-171.4193,2893.6174,5271.2156,-165.8367,1963.7073,-3684.4726,-5145.3453,-1153.3027,4085.7528,2865.2676,1260.5381,4439.6513,-3048.9750,2675.8366,-2325.5569,3084.4926,5679.3840,4613.9037,3902.1472,2684.9202,1688.9734,-2231.1774,2697.3446,4183.0366,4106.2841,-3104.3894,-2250.0732,5504.7831,166055.8458,161888.4995,166645.9793,166414.5413,170579.2975,162258.1710,156251.6858,163610.7125,-4474639.6174,-4446153.3603,-4475436.5250,-4475978.9048,164827.1431,-4469109.2855,
600.000,-3763.1158,5947.0160,6759.8644,-4402.7998,689.7544,5613.3224,6212.4843,18.2153,1832.3174,-6576.7687,-5391.4666,-6296.9684,-1388.8813,-4231.9059,5902.9349,-2985.6746,3547.2481,871.3106,-5451.3511,-4372.4761,234.2839,3789.9383,3758.2604,-3394.0052,3311.7432,3793.7095,4340.9322,411.6107,1330.0702,3124.8873,-4417.2208,4662.2075,4432.1502,-3162.8164,-6564.4900,-1294.9494,4479.1331,-2312.9641,-2063.9574,4469.6862,5915.2754,-6370.0376,-3747.5395,6922.0236,-2435.1257,-1964.7958,1601.4855,-386.0219,-4063.9474,-3474.5465,-5747.2330,-3438.8029,-5587.5388,-4922.2798,-2184.1024,-5682.2746,5740.2280,524.9241,-2606.0155,-2586.0777,-3892.8779,-6591.3225,2852.1760,-4780.6057,1137.7130,-6355.1678,-5352.3974,4168.7341,-4454.4276,1485.5901,-6026.8300,397.0427,-6411.0088,-6631.3032,-2093.6552,1397.4287,-5439.7257,2982.0085,-4065.0269,859.7782,-4989.1668,6523.7597,-3956.1963,-2370.0253,-204.2164,-4450.1878,5747.7536,2976.5551,554.6920,5174.3362,-4752.5249,-233.6301,3439.9902,3769.5159,-6532.1345,-3456.5094,-5638.5070,-6161.2215,2075.8613,-4004.8284,335120.4864,318197.3730,335793.7689,333652.2326,325091.8397,327027.4553,330731.4734,329880.5732,-24064141.1901,-24047110.7260,-24032693.6295,-24034325.6347,331242.4709,-24045833.6838,3994.6368,-1486.8538,805.3928,3588.1158,-6076.2795,-1176.8680,-1603.4399,5989.2966,6547.3917,-364.8071,-221.4600,1125.3389,269.4544,-1158.4008,-3076.5452,5658.9937,-5421.1297,-5875.1618,-1010.7458,-1037.2283,-5337.2158,2820.8262,-1715.6649,2387.0252,-4451.2985,4170.9403,-901.6637,-6715.5161,6525.0401,-4012.3623,-3387.0416,-2285.4369,-611.7263,3524.5508,-1302.6823,-5094.1263,-1460.5452,4514.7468,1998.2487,2494.6125,2270.4725,-2637.7321,-2019.5458,131.5730,-5862.6743,-6634.1337,6180.8406,5513.8726,5035.2236,-4108.2687,2845.3965,4973.8725,-3907.2170,601.2701,-4634.2528,-1779.7117,910.3580,5310.2566,-3216.5384,4415.3078,1909.7526,-1425.3288,-2935.9518,4342.2580,-4806.9542,-180.7694,4204.4624,-2878.5322,-4585.6113,-5869.7752,-627.4410,4691.9783,1539.3008,880.4704,-4851.5405,-6544.0506,-2306.0067,-5631.2234,-3196.5599,6003.0006,3781.9281,1303.9725,4822.5947,-3633.3199,5205.9882,-2892.0429,3749.3725,4407.5758,2600.1400,2226.0320,390.3704,6760.6373,-4874.2251,4406.7402,-1378.1978,-3577.0038,2488.8878,-2738.6288,6577.0342,2290.8479,147019.7455,129759.5384,135508.5134,136623.9847,135821.1741,134602.7945,128350.3759,131065.4722,-113217579.0979,-113217942.0316,-113206461.1655,-113209294.3957,131840.2025,-113210578.5493,-3955.4181,2955.5880,-1313.4622,-3955.4844,-3273.8451,3883.8630,-2452.9107,-3310.8943,-719.0476,-2261.4626,4285.7071,2692.2029,-6789.0613,5325.7223,1975.1731,2595.4405,2508.1854,-3326.5729,4043.2932,5171.1884,4211.9028,-4888.3484,-5521.1252,5098.0395,-3784.6243,4044.9685,4985.0321,-542.5841,864.8235,-4520.5040,4107.5205,-4580.2605,5157.0397,4993.7073,1429.1856,4574.3145,-5050.7375,4526.6270,6304.1160,4686.0526,-2062.3465,667.5241,5412.8919,-51.9453,-2754.6650,257.5007,-2625.2045,-4178.3731,-2472.8527,4344.7606,-2524.4715,3280.8511,946.5858,-4804.9441,-4670.7489,-3547.3053,3665.8063,-4393.4370,-5482.6043,4522.9002,-5373.9488,1013.4787,-5573.4196,2379.0880,4600.9634,2432.1671,-561.9852,-4720.6500,-2421.1890,-3312.3552,-3359.4291,5050.2298,-1698.1931,1530.9204,4446.1952,1637.4618,3533.8209,-2537.6251,-4316.2878,-3279.1027,2662.0713,1165.9784,2938.6333,5228.9615,-4367.3486,4446.8878,-872.4257,4405.1502,6405.6145,4038.4894,4955.3798,967.0890,3304.4329,-3747.2460,973.5168,4595.1880,3135.9253,-1451.9787,-789.4935,5110.2833,166034.8896,161901.1049,166721.8207,166242.8637,170636.9886,162538.9744,156181.2486,164011.1509,-4474379.9502,-4445576.9950,-4474443.9725,-4475230.8636,164835.4859,-4468617.3032,
