sl_20_86400_20291027 Coordinates.csv
2029/10/27 07:47:00.0000 UTC

Generated: Tue Oct  8 21:46:26 2024,
Start: 2029/10/27 07:47:00.00, Stop: 2029/10/28 07:47:00.00,
TIME_UNITS,STARLINK-30395 - X-Coordinate,STARLINK-31323 - X-Coordinate,STARLINK-3138 - X-Coordinate,STARLINK-11247 [DTC] - X-Coordinate,STARLINK-31680 - X-Coordinate,STARLINK-1205 - X-Coordinate,STARLINK-5226 - X-Coordinate,STARLINK-31075 - X-Coordinate,STARLINK-5052 - X-Coordinate,STARLINK-30264 - X-Coordinate,STARLINK-1491 - X-Coordinate,STARLINK-31601 - X-Coordinate,STARLINK-6283 - X-Coordinate,STARLINK-3625 - X-Coordinate,STARLINK-11272 [DTC] - X-Coordinate,STARLINK-31820 - X-Coordinate,STARLINK-32120 - X-Coordinate,STARLINK-4142 - X-Coordinate,STARLINK-5301 - X-Coordinate,STARLINK-3755 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30395 - Y-Coordinate,STARLINK-31323 - Y-Coordinate,STARLINK-3138 - Y-Coordinate,STARLINK-11247 [DTC] - Y-Coordinate,STARLINK-31680 - Y-Coordinate,STARLINK-1205 - Y-Coordinate,STARLINK-5226 - Y-Coordinate,STARLINK-31075 - Y-Coordinate,STARLINK-5052 - Y-Coordinate,STARLINK-30264 - Y-Coordinate,STARLINK-1491 - Y-Coordinate,STARLINK-31601 - Y-Coordinate,STARLINK-6283 - Y-Coordinate,STARLINK-3625 - Y-Coordinate,STARLINK-11272 [DTC] - Y-Coordinate,STARLINK-31820 - Y-Coordinate,STARLINK-32120 - Y-Coordinate,STARLINK-4142 - Y-Coordinate,STARLINK-5301 - Y-Coordinate,STARLINK-3755 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30395 - Z-Coordinate,STARLINK-31323 - Z-Coordinate,STARLINK-3138 - Z-Coordinate,STARLINK-11247 [DTC] - Z-Coordinate,STARLINK-31680 - Z-Coordinate,STARLINK-1205 - Z-Coordinate,STARLINK-5226 - Z-Coordinate,STARLINK-31075 - Z-Coordinate,STARLINK-5052 - Z-Coordinate,STARLINK-30264 - Z-Coordinate,STARLINK-1491 - Z-Coordinate,STARLINK-31601 - Z-Coordinate,STARLINK-6283 - Z-Coordinate,STARLINK-3625 - Z-Coordinate,STARLINK-11272 [DTC] - Z-Coordinate,STARLINK-31820 - Z-Coordinate,STARLINK-32120 - Z-Coordinate,STARLINK-4142 - Z-Coordinate,STARLINK-5301 - Z-Coordinate,STARLINK-3755 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-4433.5469,-3206.4224,-1252.4765,2669.4337,-501.7398,-2795.3620,575.8547,-4671.8038,4211.4027,1684.1856,770.9148,1789.6488,-1768.6125,-2390.4097,1657.0850,5391.4603,0.0000,3097.8530,3907.9853,-1422.9864,-143197.1230,-149924.5661,-155314.6468,-152004.4233,-148525.4079,-150874.8893,-158016.5242,-155238.7382,88798820.0213,88796650.0422,88811170.2951,88811656.1054,-155122.1474,88815292.9921,-2505.8519,-2883.5811,4469.3835,6054.7865,-6795.6679,5765.5729,-4342.1612,1931.3562,5084.0275,-5356.5043,-5737.4009,-5052.2066,4745.4228,4754.7732,-6383.8812,2787.6075,0.0000,3390.0626,-2988.8563,-3866.5779,-340923.0314,-320558.6677,-338537.5119,-337086.6571,-329278.3358,-330154.3784,-330571.2018,-334105.1215,231304993.3521,231343850.4503,231321353.8999,231308339.8743,-332797.6817,231300145.6834,-4707.8951,-5289.8010,-5110.5847,-417.7852,205.6789,2639.4274,-5347.3433,4699.9995,-2016.9250,-3864.1494,3696.4890,-4315.2877,4712.9779,4357.1940,-1405.5001,3062.9522,0.0000,-5173.9164,4954.3915,-5503.7117,158782.9091,154810.5940,160380.0670,159155.4192,163879.8392,156201.6209,149552.0432,157029.3271,-113582988.6229,-113602965.6480,-113605274.4730,-113598582.4911,158201.4502,-113594057.5846,
3600.000,6211.9352,6414.1763,-3136.4187,-3979.1881,2371.9139,-449.1558,2754.9189,2632.8066,-4260.8233,2874.8761,1140.8091,2406.2736,-2080.5893,803.6954,656.0998,-3858.5656,0.0000,-6219.2941,278.1020,5372.7683,-54272.9873,-64180.5001,-68757.2760,-66613.4738,-60210.4496,-64507.4367,-69155.4126,-66955.5426,25877644.6632,25866135.9890,25885331.7481,25887369.8956,-66904.1245,25895010.9297,-828.8529,602.6560,-3552.9435,-2887.3058,4632.7063,-4408.7473,5774.4935,-5416.8685,-1729.5467,4313.2466,6750.5568,3480.4124,-5665.2280,-6826.0857,5725.3433,1375.3308,0.0000,-2161.3748,2388.1188,2131.1726,-364326.4003,-349661.8340,-366326.4339,-363841.2678,-357012.0976,-359809.1384,-358468.3676,-359826.1040,246435812.8974,246467869.4910,246446502.1732,246432832.3291,-361005.7187,246430500.7595,2955.0433,2230.3219,5006.0375,-4453.5761,-4408.6061,-5335.4193,2596.7881,-3390.9619,5138.2359,4411.7037,595.3304,5409.9418,-3399.1074,-411.3248,-3506.8057,-5436.4960,0.0000,2099.6758,-6565.5626,3705.7806,158112.7832,154655.3389,160348.5150,156763.1469,163811.7046,159400.8218,148727.6262,159299.4966,-113601962.1112,-113622587.9350,-113625295.7119,-113620309.7133,157902.1100,-113611320.2386,
7200.000,-6105.9543,-6223.1940,6182.1408,3705.3296,-4326.3098,4315.9069,-4241.8525,-385.7839,3926.3359,-6195.1118,-2702.9067,-5970.9335,4664.3377,1063.3271,-3659.2359,1749.7980,0.0000,6498.9055,-4367.3962,-6824.3596,36913.4031,26578.5643,22141.9945,22762.5072,32102.9654,24143.6761,23709.7499,25647.7372,-38821154.6802,-38839660.1663,-38814928.6464,-38808847.6273,25560.6368,-38802714.4252,3229.0105,1261.9306,2561.0048,-2901.3106,-221.7283,2535.4801,-5152.7666,6897.8511,-2737.9818,-2341.1299,-4436.1403,-1854.2414,5117.8651,5621.0473,-1795.9661,-5514.6306,0.0000,627.3743,-2864.4748,-530.4720,-365052.5303,-356538.7575,-370913.6506,-364915.5441,-361790.5451,-368827.3129,-363113.9636,-367168.6170,244757241.9158,244780551.3099,244761009.7739,244747035.9379,-366244.1450,244751973.2829,577.0250,2479.7182,-1694.7179,4659.7577,5252.9443,4788.5933,1780.0861,-93.1622,-4977.8666,-1605.5283,-4504.9449,-2873.1160,-30.1157,-3833.9473,5359.4040,3567.7742,0.0000,2269.8849,4635.6776,600.1254,157424.2614,154605.6877,159648.3979,157092.8063,163327.4219,158667.4315,148516.0987,156092.6009,-113621509.6402,-113642123.5622,-113644672.4866,-113639186.1606,157589.8354,-113628550.8810,
10800.000,3610.6493,2693.9889,-6275.9196,-2207.9960,5440.9688,-6726.7874,4308.0103,-2016.0630,-3306.8693,6349.4978,4326.5218,6677.6440,-5425.7320,-3531.8211,5823.3184,165.7078,0.0000,-4117.1995,6030.7844,4942.5063,124645.1642,116733.1774,111708.3005,113407.0065,122571.8812,113772.9163,114588.5985,116283.2598,-100883934.1804,-100906782.5810,-100875681.2608,-100864878.6728,116391.1327,-100864514.3443,-4560.1794,-3268.5899,-878.4757,6251.2910,-3504.0641,-981.3918,1924.8642,-5600.5017,5840.8949,-384.9617,184.7627,202.0334,-2594.5882,-2129.8848,-2190.8866,6718.4548,0.0000,1861.1117,3522.1151,-1544.1463,-343628.1806,-340681.3588,-351996.2285,-344085.8038,-343404.5701,-352165.2676,-344338.8060,-347368.5744,226380864.6898,226394244.0690,226378012.0916,226366757.9109,-348182.0535,226376170.8918,-3776.8482,-5351.4853,-2735.3376,-30.9069,-2150.9030,-1365.0518,-5050.4527,3498.7668,1596.9306,-2446.0549,5327.8751,-1637.7777,3422.4450,5502.4290,-2603.9198,1047.1731,0.0000,-5237.7898,-249.1362,-4521.4592,156731.4402,154727.9565,158383.6680,159281.8178,162438.2292,154612.8011,148911.6519,158895.4325,-113641481.1465,-113661561.6818,-113663190.8650,-113655487.4566,157264.6375,-113645749.4947,
14400.000,376.8874,1693.8800,3854.7572,-1065.4463,-4048.0275,6267.1965,-3925.0463,4493.1759,1654.8269,-3541.9449,-5374.9592,-4243.7211,4891.5539,5747.6551,-4784.3911,-2359.6097,0.0000,832.6634,-4857.7195,-1199.0384,203644.5853,200732.7568,194309.9433,196844.9879,205468.6764,197306.7962,197717.0327,199744.9163,-156076136.7998,-156100589.2070,-156062821.0262,-156049539.1332,199810.7454,-156056082.4041,5104.9074,5108.0285,-1939.7630,-4607.5027,4829.8524,-603.6012,2502.5202,2356.6507,-6090.6333,3539.2342,3448.4023,2021.9992,-1344.8654,-1394.5194,4085.8629,-4122.7151,0.0000,-4798.5483,-2599.0090,4150.6370,-302132.6567,-303213.5564,-310700.4635,-302521.8123,-303149.0561,-312037.5590,-303519.5906,-308636.9031,192557509.5565,192560534.4872,192549944.5828,192544827.4660,-307969.9399,192553806.0776,4665.5016,4180.1196,5375.6094,-4652.0575,-2605.8687,-2907.5728,5095.3481,-4694.7409,2787.4718,4610.4023,-2545.7429,5008.8851,-4717.2974,-3529.9357,-2431.3405,-4874.9976,0.0000,4897.9083,-4305.1133,5333.1524,156071.9099,155185.7683,156806.1298,160755.9927,161134.7987,151419.5041,149942.7334,155290.6311,-113661697.0347,-113680891.3305,-113680597.5150,-113669592.0687,156926.5288,-113662916.0629,
18000.000,-4053.0689,-4328.7429,-778.0271,4887.0554,-18.7995,-3350.6035,3346.7217,-6166.0998,1489.8532,-272.8107,4394.6475,480.6864,-3645.7197,-5916.4780,333.1870,4706.7905,0.0000,1647.8451,2431.4059,-2070.9620,269689.6311,272782.7875,264680.9419,267349.3538,275540.9621,268274.3700,267974.3860,270617.1118,-200631252.0904,-200654672.6746,-200611086.0011,-200600414.8801,270514.3663,-200611068.6057,-4916.8508,-5269.2052,5115.2245,248.1903,-4193.6699,2755.5440,-5731.3567,1146.0285,4034.8919,-5974.2612,-4896.4849,-4683.4325,5007.6107,3423.6247,-4093.1101,-253.6365,0.0000,6546.7211,-543.1718,-6048.1736,-244320.3126,-247742.4400,-249558.5474,-241967.7673,-243778.6905,-251759.0553,-243478.2638,-247481.8035,145592091.0148,145585036.7519,145583042.9166,145585705.6814,-248166.4921,145589568.6506,-2734.9782,107.7696,-4571.4674,4463.2062,5363.9359,5399.1474,-1927.2868,2889.9986,-5402.3104,-3269.3965,-1993.3532,-5019.7769,3086.9614,-816.8384,5336.0893,4894.1648,0.0000,-1504.3082,6520.1861,-2526.4859,155595.7539,156528.1684,155247.9605,161584.0980,159388.1607,149118.7650,151676.6020,158256.7998,-113681959.8073,-113700101.2446,-113696610.8625,-113682003.3900,156575.5223,-113680050.5687,
21600.000,5926.6173,4634.8193,-1483.5521,-5882.3781,4592.0839,-176.3598,-1795.1103,5856.8300,-5013.0477,3247.2987,-917.3389,2457.8120,1804.6950,3161.7022,4604.7648,-5709.0743,0.0000,-2990.9295,-770.3696,3695.0475,323312.6932,323727.3007,318265.1208,320458.0258,328280.9177,321791.2408,321343.9553,323680.6830,-231507878.0764,-231527879.9517,-231481037.4850,-231479814.8870,324005.5514,-231488099.2078,3489.6350,2497.2047,-6690.2041,3036.3091,2948.9811,-5147.2019,6190.9520,-3588.4501,-1393.9180,5961.1700,4445.6876,6214.6088,-6670.0207,-4026.8356,3310.0356,3522.5965,0.0000,-5541.0244,4531.4578,5427.0857,-174829.3645,-176722.3670,-172406.3632,-165994.0614,-169440.1974,-175479.7052,-168340.3355,-173336.7778,88686506.7385,88670261.1224,88679803.3557,88687877.0262,-172575.9185,88685081.6353,-875.8885,-4342.3101,798.0254,356.3310,-4091.9648,-4644.9346,-2489.5438,736.6324,4524.9867,-586.9401,5151.3193,1610.7250,433.2577,4593.8290,-3652.8480,-1137.8935,0.0000,-2859.7330,-5268.0623,-2031.1562,156331.1835,157553.5564,154032.6910,161889.9935,157164.7811,147562.0996,154212.6979,154638.7616,-113702066.8540,-113719179.6678,-113710974.9176,-113693825.1803,156211.6324,-113697152.9951,
25200.000,-5671.1707,-3687.2771,2803.7903,2109.5613,-6665.3045,2652.0847,-1187.3108,-3096.4033,6835.0683,-4712.9073,-3561.4939,-3745.6042,864.7287,1356.8343,-6431.1724,3677.3053,0.0000,3840.5794,437.7044,-4080.0473,361755.3601,354747.2400,351554.2258,352860.0090,359715.9213,354354.2554,355676.1757,357161.6929,-246597334.9657,-246611891.7657,-246566303.5479,-246579356.9734,356882.2972,-246578383.0401,-577.4633,2200.6235,5262.5718,-4033.2717,-1398.6709,6315.9898,-4257.8974,4783.0819,-606.3190,-2884.3293,-3364.8791,-5004.3944,5789.5370,4141.0518,-1625.0090,-4509.5028,0.0000,1941.7420,-6876.7033,-1919.7136,-87806.4235,-92809.2684,-84174.2064,-79329.3906,-85704.3242,-88268.3151,-83615.3809,-85102.3769,25721306.1017,25697271.7994,25720162.4279,25724974.4415,-86006.1473,25720641.7728,3935.3227,5288.3513,3465.7226,-4825.8913,-299.7939,1062.5571,5300.4352,-3913.2144,-759.2568,3976.3138,-4824.0766,2858.4046,-3703.9685,-5334.4274,-1216.2904,-3529.7769,0.0000,5402.3986,1163.1493,5175.3776,157422.0670,157313.1031,153388.5041,161744.2412,154695.4059,146660.4474,157334.3464,157375.8224,-113721823.5723,-113738114.1461,-113723599.4208,-113708205.6702,155834.8740,-113714223.3253,
28800.000,4090.0023,2454.9629,-3922.7321,3644.3991,5070.3911,-3695.9106,4734.0670,-1073.8512,-5547.9703,4931.9588,6420.7336,4096.3983,-3975.5366,-5065.7433,4256.1878,907.0790,0.0000,-4633.0048,-307.7432,4105.2294,374569.8886,364595.2636,362370.0288,362571.6012,365735.7406,363930.6757,369643.2266,366695.7786,-244867657.4894,-244875193.2702,-244836711.9899,-244856865.1206,367053.2861,-244849733.0314,-3167.6958,-5941.0753,-1358.5064,3548.0008,-994.4030,-4948.7245,1620.7929,-5048.2565,2119.7943,-1807.4994,2137.8992,1085.0119,-3198.0893,-3925.0291,-1473.8605,3981.6496,0.0000,2336.3001,6016.9808,-2699.4247,8118.5315,-3223.7928,9436.7639,12560.1564,3232.6675,4172.2697,4630.3215,4882.6994,-39008971.8375,-39038978.9321,-39003426.1001,-39012192.9142,6036.7515,-39009376.2898,-4619.1611,-2285.9529,-5516.6658,4242.6840,4437.0490,3140.6934,-4768.8259,4583.7582,-3520.3913,-4344.2147,1193.8240,-5422.5894,4672.0503,2504.8815,5005.9035,5429.7766,0.0000,-4575.4931,3532.8065,-4809.0367,157804.4423,156775.4671,153387.0859,161182.4444,154949.0459,146371.7542,156521.9283,154126.4221,-113741055.9691,-113756891.2990,-113734787.1073,-113729285.7005,155445.2634,-113731261.5423,
