sl_20_5400_20290430 Coordinates.csv
2029/04/30 07:47:00.0000 UTC

Generated: Tue Oct  8 21:45:07 2024,
Start: 2029/04/30 07:47:00.00, Stop: 2029/04/30 09:17:00.00,
TIME_UNITS,STARLINK-3765 - X-Coordinate,STARLINK-31077 - X-Coordinate,STARLINK-30790 - X-Coordinate,STARLINK-1347 - X-Coordinate,STARLINK-30917 - X-Coordinate,STARLINK-30297 - X-Coordinate,STARLINK-3543 - X-Coordinate,STARLINK-2691 - X-Coordinate,STARLINK-4750 - X-Coordinate,STARLINK-30852 - X-Coordinate,STARLINK-5913 - X-Coordinate,STARLINK-30930 - X-Coordinate,STARLINK-30190 - X-Coordinate,STARLINK-2586 - X-Coordinate,STARLINK-11083 [DTC] - X-Coordinate,STARLINK-11114 [DTC] - X-Coordinate,STARLINK-5823 - X-Coordinate,STARLINK-3670 - X-Coordinate,STARLINK-31305 - X-Coordinate,STARLINK-4749 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3765 - Y-Coordinate,STARLINK-31077 - Y-Coordinate,STARLINK-30790 - Y-Coordinate,STARLINK-1347 - Y-Coordinate,STARLINK-30917 - Y-Coordinate,STARLINK-30297 - Y-Coordinate,STARLINK-3543 - Y-Coordinate,STARLINK-2691 - Y-Coordinate,STARLINK-4750 - Y-Coordinate,STARLINK-30852 - Y-Coordinate,STARLINK-5913 - Y-Coordinate,STARLINK-30930 - Y-Coordinate,STARLINK-30190 - Y-Coordinate,STARLINK-2586 - Y-Coordinate,STARLINK-11083 [DTC] - Y-Coordinate,STARLINK-11114 [DTC] - Y-Coordinate,STARLINK-5823 - Y-Coordinate,STARLINK-3670 - Y-Coordinate,STARLINK-31305 - Y-Coordinate,STARLINK-4749 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3765 - Z-Coordinate,STARLINK-31077 - Z-Coordinate,STARLINK-30790 - Z-Coordinate,STARLINK-1347 - Z-Coordinate,STARLINK-30917 - Z-Coordinate,STARLINK-30297 - Z-Coordinate,STARLINK-3543 - Z-Coordinate,STARLINK-2691 - Z-Coordinate,STARLINK-4750 - Z-Coordinate,STARLINK-30852 - Z-Coordinate,STARLINK-5913 - Z-Coordinate,STARLINK-30930 - Z-Coordinate,STARLINK-30190 - Z-Coordinate,STARLINK-2586 - Z-Coordinate,STARLINK-11083 [DTC] - Z-Coordinate,STARLINK-11114 [DTC] - Z-Coordinate,STARLINK-5823 - Z-Coordinate,STARLINK-3670 - Z-Coordinate,STARLINK-31305 - Z-Coordinate,STARLINK-4749 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-3492.8518,2772.8873,-6609.2379,3419.3928,4945.4326,898.2415,215.0733,-2659.8481,-6632.6120,4461.3632,-472.5596,-6713.3195,4337.0609,-2671.4902,-4004.4300,4190.0931,4941.5128,5352.1283,-3908.4074,0.0000,-6227.5562,6503.3076,4640.3875,2378.2458,-230.7185,1659.7104,9040.5868,6023.2671,103334867.3927,103356100.0744,103343416.1527,103356329.6407,5959.9250,103350165.5516,3493.3079,-4130.9299,-1168.4493,-4703.5932,-1620.8780,-6571.3696,4270.7218,3976.6893,1506.6372,2639.8323,3224.1154,-1131.4058,2709.0199,4112.7523,238.3439,4967.2612,-2467.3869,-2882.8298,-3080.0544,0.0000,-321457.2649,-352100.7152,-327274.1607,-328743.5350,-336883.9083,-335750.4943,-334883.6173,-334730.3301,-39637534.0264,-39670862.1088,-39658190.4819,-39641108.2913,-332969.8007,-39647947.3360,4823.8258,-4616.5375,-1700.1354,-3665.3016,-4581.2847,1672.3031,-5416.3485,-4713.2697,-1219.4040,-4589.6386,6139.2136,-130.0317,4766.0880,4460.3797,-5289.2773,1754.9386,-4238.1961,-3094.2957,4570.6284,0.0000,-145899.9872,-150002.9809,-145580.9087,-145920.1129,-141767.4734,-150081.7580,-156005.2683,-147509.0280,7165375.0708,7141679.4848,7192295.6433,7164909.9077,-147464.4114,7174030.1206,
300.000,-1461.2578,804.9266,-6911.4733,2570.1043,3765.7532,-456.9602,2264.0664,-532.5590,-5726.9106,5587.6869,866.9674,-6595.6526,5273.4548,-560.7223,-3899.4367,5229.1142,5427.7416,5095.5431,-4911.3679,0.0000,482.6610,13814.0788,11733.5239,9475.5741,6713.5100,8685.2268,15937.7632,12876.2176,104180118.9543,104201806.4712,104189021.3823,104201373.6522,12920.0782,104195502.0989,3993.4746,-5054.5153,341.3479,-6007.9648,-3418.4132,-5975.6571,3533.2224,4087.5584,2558.6993,902.6428,4643.7414,114.4226,794.4305,4110.1569,2407.1219,4242.0574,-3626.1357,-4299.7415,-1137.9226,0.0000,-321629.8499,-351851.9507,-327071.3445,-328605.3815,-336722.5081,-335544.5060,-334696.6571,-334486.7092,-37367691.7131,-37400678.1542,-37388912.9076,-37370730.3869,-332774.3322,-37378134.1205,5438.4820,-4457.4488,-185.3884,-2129.0670,-4712.4253,3292.3433,-5478.0515,-5302.3770,-2902.3943,-3987.0695,5100.0256,1680.2160,4520.3399,5169.2642,-4802.8464,-60.8674,-2418.8496,-1434.8062,4498.6993,0.0000,-145962.2891,-150053.3208,-145550.6625,-146131.3907,-141754.4774,-149846.1985,-156119.6330,-147065.2221,7165659.3452,7141738.2145,7192311.4929,7165136.5363,-147499.2766,7174126.6682,
600.000,712.5890,-1224.1368,-6540.4407,1484.0750,2258.8224,-1800.8466,4108.5527,1660.1871,-4248.1802,6195.7548,2062.6619,-5791.9540,5748.9755,1626.7342,-3412.8907,5703.0527,5386.2119,4321.8649,-5439.0282,0.0000,7198.7758,21117.1710,18822.5214,16577.0134,13654.0772,15713.2834,22829.6168,19722.0870,104975523.9500,104997654.1775,104984804.0591,104996541.1050,19874.6724,104990993.6837,4157.2311,-5494.3798,1816.1527,-6699.0971,-4912.2821,-4777.6085,2501.3911,3817.3810,3388.5658,-892.7643,5630.5674,1367.5594,-1171.4815,3704.8094,4298.4212,3057.6108,-4394.3748,-5258.9445,901.0172,0.0000,-321663.4180,-351450.4325,-326725.3968,-328324.2178,-336416.0980,-335184.3476,-334366.9128,-333967.2614,-35079843.9209,-35112478.7875,-35101615.4439,-35082366.3282,-332433.4520,-35090311.9476,5465.6197,-3791.2310,1349.2874,-358.9649,-4340.4151,4545.4887,-4947.2078,-5270.4846,-4272.0025,-2956.6027,3520.8707,3300.4768,3803.4612,5249.3006,-3733.2067,-1869.5979,-343.7970,385.9779,3908.1236,0.0000,-146024.6243,-150103.3926,-145524.0159,-146346.0314,-141744.4891,-149604.5673,-156229.2086,-146655.6955,7165947.3411,7141798.7934,7192320.7516,7165378.6635,-147534.0314,7174223.1086,
900.000,2810.5425,-3107.1688,-5531.1144,251.2477,567.7990,-3008.3166,5560.6880,3679.2772,-2344.5937,6218.8382,3010.0105,-4390.5073,5712.4740,3643.1082,-2585.9984,5575.4670,4802.1528,3095.0302,-5430.3809,0.0000,13917.9471,28409.3730,25904.2507,23680.1919,20587.9091,22741.3632,29713.2567,26560.9038,105720699.1966,105743259.7307,105730380.3553,105741450.2781,26820.6715,105736256.9711,3968.5210,-5398.3596,3126.9880,-6708.9662,-5955.0030,-3106.8933,1272.7619,3195.1992,3929.6870,-2579.0494,6071.6793,2515.4193,-3006.4947,2943.6646,5699.0041,1526.3318,-4714.2354,-5673.8917,2825.3805,0.0000,-321557.7670,-350896.3718,-326236.4117,-327900.6936,-335964.7758,-334669.1288,-333894.5342,-333187.6119,-32775085.1886,-32807358.9144,-32797391.7152,-32777112.3747,-331947.3068,-32785575.2901,4902.3870,-2693.2777,2738.6975,1450.5951,-3504.7481,5292.3788,-3880.7302,-4621.2905,-5181.0954,-1608.4558,1568.5791,4547.6630,2690.0436,4690.7941,-2209.5129,-3460.2420,1767.6216,2163.2834,2866.8497,0.0000,-146086.9920,-150153.1945,-145501.0856,-146563.8834,-141737.4812,-149357.0341,-156334.0317,-146314.8920,7166238.9717,7141861.2418,7192323.5430,7165635.7672,-147568.6756,7174319.4416,
1200.000,4622.6314,-4654.1541,-3981.7351,-1023.4619,-1150.0556,-3962.7876,6469.5156,5303.3938,-206.7167,5645.4918,3634.3761,-2542.0463,5158.0955,5258.3593,-1493.1758,4874.2274,3716.8379,1527.6243,-4876.8801,0.0000,20637.3276,35687.4790,32975.5823,30782.8000,27511.9371,29767.0228,36585.7926,33393.2011,106415285.5429,106438263.7105,106425390.4427,106435743.5556,33755.0430,106430932.6560,3439.5672,-4765.9422,4159.5131,-6040.1103,-6439.9235,-1139.9751,-41.2429,2280.5608,4139.0953,-4001.7771,5907.9107,3452.1760,-4543.0413,1906.0409,6451.6025,-199.7008,-4574.6694,-5515.3395,4438.2856,0.0000,-321312.7517,-350190.0473,-325604.5473,-327335.6293,-335368.7019,-333997.9152,-333279.7267,-332172.0670,-30454518.2006,-30486421.5959,-30477343.5228,-30456072.8296,-331316.1067,-30465026.7727,3809.4943,-1288.2204,3833.2798,3100.4324,-2294.3209,5450.1130,-2393.4187,-3430.2452,-5532.3793,-87.2813,-550.0257,5281.1252,1296.0578,3561.4393,-416.6037,-4647.9798,3691.7714,3696.9662,1494.8466,0.0000,-146149.3913,-150202.7244,-145481.9813,-146784.7353,-141733.4282,-149103.8512,-156434.1369,-146070.8792,7166534.1488,7141925.5808,7192319.9895,7165907.3355,-147603.2093,7174415.6673,
1500.000,5968.2397,-5711.4962,-2043.9287,-2228.7975,-2737.7739,-4567.2554,6737.1074,6353.2049,1951.7075,4522.0877,3896.6677,-442.9374,4127.0714,6286.6334,-236.2826,3686.1671,2225.1959,-229.4464,-3824.7376,0.0000,27354.0650,42948.2900,40033.3875,37882.5930,34423.0991,36787.9071,43444.3361,40220.0517,107058948.0424,107082330.9119,107069498.6669,107079087.5950,40674.7593,107074685.6353,2610.5131,-3649.9804,4823.8030,-4765.0526,-6312.4572,918.8507,-1325.0132,1158.3376,4000.1863,-5033.6300,5141.8688,4088.2099,-5643.6454,695.6343,6473.3732,-1944.0768,-4010.3515,-4812.8093,5577.7291,0.0000,-320928.2839,-349331.8053,-324830.0263,-326630.0402,-334628.0999,-333169.7146,-332522.7520,-330951.1459,-28119253.2594,-28150777.5204,-28142580.3175,-28120359.5120,-330540.1251,-28129776.6450,2304.8557,263.9060,4515.3312,4408.9132,-838.2774,5001.1828,-646.1135,-1836.3121,-5288.3114,1443.2732,-2610.3890,5418.3428,-233.1368,1998.4011,1427.1109,-5295.4928,5224.9343,4814.4472,-49.6252,0.0000,-146211.8213,-150251.9804,-145466.8051,-147008.2979,-141732.3058,-148845.3816,-156529.5563,-145943.3755,7166832.7823,7141991.8315,7192310.2119,7166192.8657,-147637.6324,7174511.7858,
1800.000,6714.5191,-6177.6029,92.5115,-3256.6584,-4052.9609,-4754.1002,6329.8169,6711.6995,3914.8777,2949.5043,3794.8451,1685.9995,2705.1213,6608.2643,1064.2743,2145.7910,467.3098,-2001.7084,-2371.5775,0.0000,34065.3030,50188.6151,47074.5402,44977.3919,41318.3409,43801.7659,50286.0017,47043.0070,107651376.1152,107675150.5067,107662393.7101,107671173.4840,47576.7994,107667205.1705,1546.9690,-2153.0061,5061.8762,-3018.0279,-5576.6457,2858.7213,-2468.6350,-68.4550,3523.7616,-5585.8920,3839.0918,4358.4060,-6213.3816,-569.4486,5765.6999,-3524.0164,-3095.6486,-3649.6501,6133.1352,0.0000,-320404.3326,-348322.0598,-323913.1362,-325785.1641,-333743.2557,-332183.4640,-331623.9275,-329558.8397,-25770407.7542,-25801544.4721,-25794218.6696,-25771091.2262,-329619.6987,-25780942.2503,551.0458,1785.8491,4711.6072,5232.1797,707.5885,3995.3444,1171.4566,-26.3316,-4474.8667,2818.3218,-4394.6431,4943.9206,-1738.0241,191.9223,3096.5153,-5328.2564,6205.1268,5390.2338,-1588.3979,0.0000,-146274.2810,-150300.9606,-145455.6514,-147234.1789,-141734.0915,-148582.1338,-156620.3204,-145942.7053,7167134.7808,7142060.0152,7192294.3294,7166491.8642,-147671.9450,7174607.7969,
2100.000,6789.9916,-6012.8584,2218.4403,-4011.5453,-4980.6169,-4492.8215,5282.9273,6338.0638,5486.2335,1074.0835,3361.2640,3622.7557,1015.4825,6184.3838,2280.7911,419.8669,-1385.0834,-3608.5799,-657.4906,0.0000,40768.1826,57405.2732,54095.9184,52065.0786,48194.6170,50806.4726,57107.9083,53863.9338,108192283.6971,108216436.1940,108203788.7424,108211716.8857,54458.1499,108208205.0368,335.3707,-418.1237,4852.4719,-980.2814,-4295.9960,4483.8284,-3377.1098,-1287.5412,2747.4036,-5615.9563,2122.0742,4228.7584,-6208.0322,-1767.9068,4413.6464,-4769.1506,-1934.7950,-2152.7432,6056.0999,0.0000,-319740.9241,-347161.2918,-322854.2289,-324802.4964,-332714.5179,-331038.0152,-330583.6272,-328029.9232,-23409105.6262,-23439846.7960,-23433381.7349,-23409393.2267,-328555.2268,-23419647.4905,-1262.3372,3103.5986,4401.0465,5479.8833,2177.5594,2544.3159,2861.4540,1786.7173,-3178.9799,3889.7351,-5715.0134,3911.2359,-3061.7515,-1637.9585,4387.7895,-4742.5756,6529.0122,5359.8032,-2944.2285,0.0000,-146336.7697,-150349.6627,-145448.6067,-147461.8515,-141738.7638,-148314.8108,-156706.4572,-146069.6028,7167440.0510,7142130.1539,7192272.4601,7166803.8448,-147706.1471,7174703.7008,
2400.000,6191.5953,-5242.7546,4125.9044,-4419.1934,-5443.1695,-3794.7852,3697.7598,5272.8687,6508.2243,-926.2026,2656.5856,5167.3438,-791.8160,5061.7988,3290.5967,-1310.3555,-3145.5228,-4881.7541,1148.5966,0.0000,47459.8429,64595.0942,61094.4057,59143.5843,55048.8920,57800.0438,63907.1800,60684.7507,108681409.3778,108705926.3385,108693421.5613,108700458.1723,61315.8061,108697423.6621,-923.6563,1384.6969,4212.8566,1139.1062,-2588.1869,5633.4405,-3977.9790,-2387.2975,1733.1133,-5130.1545,158.0992,3700.7433,-5637.1305,-2786.6221,2575.1784,-5539.5662,-649.8045,-478.3910,5364.1092,0.0000,-318938.1422,-345850.0496,-321653.7214,-323683.8309,-331542.2975,-329732.1241,-329402.2809,-326397.5369,-21036476.8310,-21066814.8598,-21061198.7175,-21036396.6807,-327347.1720,-21047022.2889,-2939.4919,4066.5419,3616.9723,5124.8611,3413.9771,809.6333,4239.8729,3389.1045,-1539.7613,4542.2150,-6433.3556,2436.6441,-4066.6022,-3268.6932,5143.5636,-3605.9463,6162.3996,4726.5913,-3961.3969,0.0000,-146399.2863,-150398.0848,-145445.7497,-147690.6109,-141746.3031,-148044.3732,-156787.9931,-146315.7047,7167748.4982,7142202.2694,7192244.7202,7167128.3284,-147740.2386,7174799.4973,
