sl_100_5400_20290726 Coordinates.csv
2029/07/26 07:47:00.0000 UTC

Generated: Tue Oct  8 21:46:01 2024,
Start: 2029/07/26 07:47:00.00, Stop: 2029/07/26 09:17:00.00,
TIME_UNITS,STARLINK-3419 - X-Coordinate,STARLINK-3946 - X-Coordinate,STARLINK-30454 - X-Coordinate,STARLINK-31259 - X-Coordinate,STARLINK-31048 - X-Coordinate,STARLINK-5601 - X-Coordinate,STARLINK-4730 - X-Coordinate,STARLINK-3239 - X-Coordinate,STARLINK-5125 - X-Coordinate,STARLINK-4652 - X-Coordinate,STARLINK-5974 - X-Coordinate,STARLINK-31788 - X-Coordinate,STARLINK-5673 - X-Coordinate,STARLINK-31118 - X-Coordinate,STARLINK-5180 - X-Coordinate,STARLINK-4792 - X-Coordinate,STARLINK-2645 - X-Coordinate,STARLINK-31926 - X-Coordinate,STARLINK-2151 - X-Coordinate,STARLINK-4597 - X-Coordinate,STARLINK-5542 - X-Coordinate,STARLINK-3129 - X-Coordinate,STARLINK-32198 - X-Coordinate,STARLINK-4756 - X-Coordinate,STARLINK-4301 - X-Coordinate,STARLINK-30119 - X-Coordinate,STARLINK-5045 - X-Coordinate,STARLINK-5458 - X-Coordinate,STARLINK-4292 - X-Coordinate,STARLINK-5374 - X-Coordinate,STARLINK-6077 - X-Coordinate,STARLINK-5379 - X-Coordinate,STARLINK-4762 - X-Coordinate,STARLINK-3839 - X-Coordinate,STARLINK-4112 - X-Coordinate,STARLINK-30449 - X-Coordinate,STARLINK-3798 - X-Coordinate,STARLINK-31096 - X-Coordinate,STARLINK-1821 - X-Coordinate,STARLINK-31851 - X-Coordinate,STARLINK-5840 - X-Coordinate,STARLINK-2213 - X-Coordinate,STARLINK-1366 - X-Coordinate,STARLINK-2578 - X-Coordinate,STARLINK-31662 - X-Coordinate,STARLINK-5813 - X-Coordinate,STARLINK-5529 - X-Coordinate,STARLINK-31783 - X-Coordinate,STARLINK-4290 - X-Coordinate,STARLINK-4272 - X-Coordinate,STARLINK-31501 - X-Coordinate,STARLINK-3760 - X-Coordinate,STARLINK-31810 - X-Coordinate,STARLINK-11076 [DTC] - X-Coordinate,STARLINK-5300 - X-Coordinate,STARLINK-6335 - X-Coordinate,STARLINK-2728 - X-Coordinate,STARLINK-30076 - X-Coordinate,STARLINK-5802 - X-Coordinate,STARLINK-31461 - X-Coordinate,STARLINK-5972 - X-Coordinate,STARLINK-3919 - X-Coordinate,STARLINK-3200 - X-Coordinate,STARLINK-30765 - X-Coordinate,STARLINK-30812 - X-Coordinate,STARLINK-3824 - X-Coordinate,STARLINK-1292 - X-Coordinate,STARLINK-5261 - X-Coordinate,STARLINK-31110 - X-Coordinate,STARLINK-1773 - X-Coordinate,STARLINK-30397 - X-Coordinate,STARLINK-4718 - X-Coordinate,STARLINK-30177 - X-Coordinate,STARLINK-32113 - X-Coordinate,STARLINK-3910 - X-Coordinate,STARLINK-5413 - X-Coordinate,STARLINK-3236 - X-Coordinate,STARLINK-3194 - X-Coordinate,STARLINK-31551 - X-Coordinate,STARLINK-3651 - X-Coordinate,STARLINK-30105 - X-Coordinate,STARLINK-31295 - X-Coordinate,STARLINK-11093 [DTC] - X-Coordinate,STARLINK-1150 - X-Coordinate,STARLINK-30212 - X-Coordinate,STARLINK-2066 - X-Coordinate,STARLINK-31933 - X-Coordinate,STARLINK-31835 - X-Coordinate,STARLINK-11191 [DTC] - X-Coordinate,STARLINK-6184 - X-Coordinate,STARLINK-30583 - X-Coordinate,STARLINK-1541 - X-Coordinate,STARLINK-4524 - X-Coordinate,STARLINK-30266 - X-Coordinate,STARLINK-31603 - X-Coordinate,STARLINK-5701 - X-Coordinate,STARLINK-6132 - X-Coordinate,STARLINK-6311 - X-Coordinate,STARLINK-6164 - X-Coordinate,STARLINK-3732 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3419 - Y-Coordinate,STARLINK-3946 - Y-Coordinate,STARLINK-30454 - Y-Coordinate,STARLINK-31259 - Y-Coordinate,STARLINK-31048 - Y-Coordinate,STARLINK-5601 - Y-Coordinate,STARLINK-4730 - Y-Coordinate,STARLINK-3239 - Y-Coordinate,STARLINK-5125 - Y-Coordinate,STARLINK-4652 - Y-Coordinate,STARLINK-5974 - Y-Coordinate,STARLINK-31788 - Y-Coordinate,STARLINK-5673 - Y-Coordinate,STARLINK-31118 - Y-Coordinate,STARLINK-5180 - Y-Coordinate,STARLINK-4792 - Y-Coordinate,STARLINK-2645 - Y-Coordinate,STARLINK-31926 - Y-Coordinate,STARLINK-2151 - Y-Coordinate,STARLINK-4597 - Y-Coordinate,STARLINK-5542 - Y-Coordinate,STARLINK-3129 - Y-Coordinate,STARLINK-32198 - Y-Coordinate,STARLINK-4756 - Y-Coordinate,STARLINK-4301 - Y-Coordinate,STARLINK-30119 - Y-Coordinate,STARLINK-5045 - Y-Coordinate,STARLINK-5458 - Y-Coordinate,STARLINK-4292 - Y-Coordinate,STARLINK-5374 - Y-Coordinate,STARLINK-6077 - Y-Coordinate,STARLINK-5379 - Y-Coordinate,STARLINK-4762 - Y-Coordinate,STARLINK-3839 - Y-Coordinate,STARLINK-4112 - Y-Coordinate,STARLINK-30449 - Y-Coordinate,STARLINK-3798 - Y-Coordinate,STARLINK-31096 - Y-Coordinate,STARLINK-1821 - Y-Coordinate,STARLINK-31851 - Y-Coordinate,STARLINK-5840 - Y-Coordinate,STARLINK-2213 - Y-Coordinate,STARLINK-1366 - Y-Coordinate,STARLINK-2578 - Y-Coordinate,STARLINK-31662 - Y-Coordinate,STARLINK-5813 - Y-Coordinate,STARLINK-5529 - Y-Coordinate,STARLINK-31783 - Y-Coordinate,STARLINK-4290 - Y-Coordinate,STARLINK-4272 - Y-Coordinate,STARLINK-31501 - Y-Coordinate,STARLINK-3760 - Y-Coordinate,STARLINK-31810 - Y-Coordinate,STARLINK-11076 [DTC] - Y-Coordinate,STARLINK-5300 - Y-Coordinate,STARLINK-6335 - Y-Coordinate,STARLINK-2728 - Y-Coordinate,STARLINK-30076 - Y-Coordinate,STARLINK-5802 - Y-Coordinate,STARLINK-31461 - Y-Coordinate,STARLINK-5972 - Y-Coordinate,STARLINK-3919 - Y-Coordinate,STARLINK-3200 - Y-Coordinate,STARLINK-30765 - Y-Coordinate,STARLINK-30812 - Y-Coordinate,STARLINK-3824 - Y-Coordinate,STARLINK-1292 - Y-Coordinate,STARLINK-5261 - Y-Coordinate,STARLINK-31110 - Y-Coordinate,STARLINK-1773 - Y-Coordinate,STARLINK-30397 - Y-Coordinate,STARLINK-4718 - Y-Coordinate,STARLINK-30177 - Y-Coordinate,STARLINK-32113 - Y-Coordinate,STARLINK-3910 - Y-Coordinate,STARLINK-5413 - Y-Coordinate,STARLINK-3236 - Y-Coordinate,STARLINK-3194 - Y-Coordinate,STARLINK-31551 - Y-Coordinate,STARLINK-3651 - Y-Coordinate,STARLINK-30105 - Y-Coordinate,STARLINK-31295 - Y-Coordinate,STARLINK-11093 [DTC] - Y-Coordinate,STARLINK-1150 - Y-Coordinate,STARLINK-30212 - Y-Coordinate,STARLINK-2066 - Y-Coordinate,STARLINK-31933 - Y-Coordinate,STARLINK-31835 - Y-Coordinate,STARLINK-11191 [DTC] - Y-Coordinate,STARLINK-6184 - Y-Coordinate,STARLINK-30583 - Y-Coordinate,STARLINK-1541 - Y-Coordinate,STARLINK-4524 - Y-Coordinate,STARLINK-30266 - Y-Coordinate,STARLINK-31603 - Y-Coordinate,STARLINK-5701 - Y-Coordinate,STARLINK-6132 - Y-Coordinate,STARLINK-6311 - Y-Coordinate,STARLINK-6164 - Y-Coordinate,STARLINK-3732 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3419 - Z-Coordinate,STARLINK-3946 - Z-Coordinate,STARLINK-30454 - Z-Coordinate,STARLINK-31259 - Z-Coordinate,STARLINK-31048 - Z-Coordinate,STARLINK-5601 - Z-Coordinate,STARLINK-4730 - Z-Coordinate,STARLINK-3239 - Z-Coordinate,STARLINK-5125 - Z-Coordinate,STARLINK-4652 - Z-Coordinate,STARLINK-5974 - Z-Coordinate,STARLINK-31788 - Z-Coordinate,STARLINK-5673 - Z-Coordinate,STARLINK-31118 - Z-Coordinate,STARLINK-5180 - Z-Coordinate,STARLINK-4792 - Z-Coordinate,STARLINK-2645 - Z-Coordinate,STARLINK-31926 - Z-Coordinate,STARLINK-2151 - Z-Coordinate,STARLINK-4597 - Z-Coordinate,STARLINK-5542 - Z-Coordinate,STARLINK-3129 - Z-Coordinate,STARLINK-32198 - Z-Coordinate,STARLINK-4756 - Z-Coordinate,STARLINK-4301 - Z-Coordinate,STARLINK-30119 - Z-Coordinate,STARLINK-5045 - Z-Coordinate,STARLINK-5458 - Z-Coordinate,STARLINK-4292 - Z-Coordinate,STARLINK-5374 - Z-Coordinate,STARLINK-6077 - Z-Coordinate,STARLINK-5379 - Z-Coordinate,STARLINK-4762 - Z-Coordinate,STARLINK-3839 - Z-Coordinate,STARLINK-4112 - Z-Coordinate,STARLINK-30449 - Z-Coordinate,STARLINK-3798 - Z-Coordinate,STARLINK-31096 - Z-Coordinate,STARLINK-1821 - Z-Coordinate,STARLINK-31851 - Z-Coordinate,STARLINK-5840 - Z-Coordinate,STARLINK-2213 - Z-Coordinate,STARLINK-1366 - Z-Coordinate,STARLINK-2578 - Z-Coordinate,STARLINK-31662 - Z-Coordinate,STARLINK-5813 - Z-Coordinate,STARLINK-5529 - Z-Coordinate,STARLINK-31783 - Z-Coordinate,STARLINK-4290 - Z-Coordinate,STARLINK-4272 - Z-Coordinate,STARLINK-31501 - Z-Coordinate,STARLINK-3760 - Z-Coordinate,STARLINK-31810 - Z-Coordinate,STARLINK-11076 [DTC] - Z-Coordinate,STARLINK-5300 - Z-Coordinate,STARLINK-6335 - Z-Coordinate,STARLINK-2728 - Z-Coordinate,STARLINK-30076 - Z-Coordinate,STARLINK-5802 - Z-Coordinate,STARLINK-31461 - Z-Coordinate,STARLINK-5972 - Z-Coordinate,STARLINK-3919 - Z-Coordinate,STARLINK-3200 - Z-Coordinate,STARLINK-30765 - Z-Coordinate,STARLINK-30812 - Z-Coordinate,STARLINK-3824 - Z-Coordinate,STARLINK-1292 - Z-Coordinate,STARLINK-5261 - Z-Coordinate,STARLINK-31110 - Z-Coordinate,STARLINK-1773 - Z-Coordinate,STARLINK-30397 - Z-Coordinate,STARLINK-4718 - Z-Coordinate,STARLINK-30177 - Z-Coordinate,STARLINK-32113 - Z-Coordinate,STARLINK-3910 - Z-Coordinate,STARLINK-5413 - Z-Coordinate,STARLINK-3236 - Z-Coordinate,STARLINK-3194 - Z-Coordinate,STARLINK-31551 - Z-Coordinate,STARLINK-3651 - Z-Coordinate,STARLINK-30105 - Z-Coordinate,STARLINK-31295 - Z-Coordinate,STARLINK-11093 [DTC] - Z-Coordinate,STARLINK-1150 - Z-Coordinate,STARLINK-30212 - Z-Coordinate,STARLINK-2066 - Z-Coordinate,STARLINK-31933 - Z-Coordinate,STARLINK-31835 - Z-Coordinate,STARLINK-11191 [DTC] - Z-Coordinate,STARLINK-6184 - Z-Coordinate,STARLINK-30583 - Z-Coordinate,STARLINK-1541 - Z-Coordinate,STARLINK-4524 - Z-Coordinate,STARLINK-30266 - Z-Coordinate,STARLINK-31603 - Z-Coordinate,STARLINK-5701 - Z-Coordinate,STARLINK-6132 - Z-Coordinate,STARLINK-6311 - Z-Coordinate,STARLINK-6164 - Z-Coordinate,STARLINK-3732 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,5838.1129,-4299.2479,-6199.3294,447.5526,6112.4635,-1260.6246,4713.1682,573.6175,-3776.5052,-5510.1913,0.0000,1233.3773,-5561.5669,0.0000,5401.8856,-3476.5586,-1853.6891,2726.8939,-3865.6709,-6787.5385,6916.1371,6874.4278,3975.5185,-6354.5925,0.0000,454.8212,-1361.5869,3441.1697,-3242.4921,-3916.2366,6768.7104,4948.6579,5353.7409,-6211.7257,1804.3841,-5468.0403,3840.1389,-6015.1593,5265.1066,-72.1206,-5040.8403,-596.4816,-6463.6479,-939.1997,6719.9497,-1601.0220,-4021.3966,6272.5918,6153.5524,5246.8733,-5885.6782,-6272.0367,2737.8293,2245.8766,1331.3394,-5886.1761,-4091.3017,4933.1017,5030.3153,-5934.5702,-6112.6452,-1998.8632,-4163.5851,1670.6870,-504.1790,-3692.6453,2507.5842,-2769.9830,5055.3950,-2800.8164,5757.4618,-5250.4761,1437.3693,516.2827,-3605.5241,6089.1930,-4529.3075,739.8791,2350.1330,2579.5013,0.0000,4383.5904,3789.0101,4535.9332,-5715.1039,-4152.6430,4988.5128,-2146.2230,-3727.0892,6100.4262,5350.9946,4424.3629,2239.1074,2713.3852,-494.3447,-2447.2264,898.4346,-1969.3138,5396.2588,3516.0653,92422.3545,122751.9202,102029.0913,103377.8256,111199.5331,110304.5659,110030.1786,106980.6834,150388912.7508,150390308.2422,150362193.6682,150365710.2057,107815.9883,150376536.2708,843.0011,-1838.5566,2141.9282,6719.0721,-2985.0101,2096.2632,-3346.0754,6100.1545,3645.8818,4173.1969,0.0000,3925.3060,860.5339,0.0000,-4270.7330,-5163.7880,-6587.6966,-6194.9988,-3561.8704,711.1524,-79.0277,-271.6990,5394.5468,2608.2546,0.0000,6538.1658,-3877.6936,5099.7765,-5994.6756,3542.0144,-912.4850,-2506.3573,4240.3681,997.7323,-3885.0823,506.0184,5462.6782,3027.3161,-42.1414,6715.1822,-671.1332,4877.9205,-868.0635,-6127.4194,545.1510,-6082.6309,-3730.5018,-2564.2582,1450.4545,4473.5715,-3285.7066,354.9429,4194.1322,3655.8471,-2807.3506,-2783.7545,673.0285,-3315.0447,-3624.3503,-1753.3375,-2578.3190,-5439.0852,4163.0039,-5521.7737,4080.8095,2065.2121,-6185.9497,3171.2905,216.3202,-4292.2344,295.7327,2845.0334,5161.0709,-6500.1378,4036.4470,1927.3500,-899.9133,4553.4111,6152.2838,4371.6306,0.0000,-2483.8240,-4435.7361,-2532.3220,2944.5544,-373.3949,248.1618,3790.0790,-2250.4227,-1351.1543,3204.1014,748.3783,4947.4870,6298.5101,6771.3500,4706.6896,6837.1649,6258.3047,2862.5320,3549.9345,-370260.7616,-364299.8342,-360193.8231,-363043.4531,-366487.8007,-364325.9587,-357028.5177,-360522.3931,126259824.0581,126281426.2270,126270998.2598,126270404.5544,-359908.4749,126271841.1473,3548.0420,5078.9346,2201.2099,1208.4576,-831.0718,6497.0993,3791.9126,3200.8807,4495.3455,58.6828,0.0000,5473.0411,-4081.8543,0.0000,683.5863,2725.4977,-890.6421,-870.9000,4372.6956,1067.3498,594.0316,-664.4005,1214.4563,-269.1997,0.0000,-2195.1052,-5487.9479,-3105.5122,1060.9971,-4465.3090,1212.2117,4131.3591,-582.9860,-2825.9395,5394.3545,4176.0050,1749.6903,-1584.9406,4483.4122,-267.0740,-4711.6245,4827.0003,-1367.4880,-2989.1762,1071.8553,2956.4383,4230.6384,-920.4537,-2723.7247,144.5697,747.2340,2823.7045,-4647.7429,4958.4956,6191.6473,-2155.0450,5484.7952,3567.4270,-3076.3833,2813.3455,1968.7808,3744.2028,3570.0443,3770.6950,-5484.3860,5446.3829,1692.8559,-5522.2716,-4651.9336,-4640.3911,-3830.6441,-2871.6141,-4305.9792,-2062.9585,4294.6747,2618.6735,5135.3338,-5104.8805,1800.2564,-4683.0150,0.0000,4649.8971,3374.3214,4128.7244,-2575.2204,-5442.9753,-4655.0614,5251.8756,-5133.1845,3004.0706,2998.3542,5097.2238,-4139.4547,198.7587,-91.7720,-4546.7327,414.5088,-2175.8317,-3265.1000,-4755.3206,-90051.0616,-95897.9073,-90589.1734,-91369.9677,-86938.3506,-94952.9770,-101226.2483,-91122.4461,-32517995.2794,-32483706.7390,-32502917.9203,-32505221.1117,-92628.6528,-32507050.2859,
300.000,6576.2509,-4145.5720,-4948.3439,1940.2748,5071.2100,330.4600,4339.6913,1979.0518,-1792.2781,-4499.3947,0.0000,3206.2003,-5575.4177,0.0000,4904.0113,-4041.7327,-2987.3041,1279.4462,-5442.7827,-6046.3283,6433.3755,6313.9907,4577.0004,-5640.0998,0.0000,2039.6964,-3357.1989,4816.0473,-4023.3530,-2063.9427,5977.5035,3356.7096,5713.6058,-5008.2595,57.0295,-4502.4972,4918.7764,-4726.7575,5898.2191,1448.7469,-5210.1893,1083.0676,-6634.4636,-2149.6310,6740.9092,-2004.2751,-5286.5612,5569.9593,6802.9943,5731.3365,-6468.6761,-6580.4927,4453.6631,3491.7999,-785.2678,-5874.8623,-3699.2688,3202.0366,4272.3226,-6643.4967,-6179.9079,-3011.1482,-3537.5919,18.1272,1659.8562,-2172.5984,1050.0944,-2745.6426,4749.2713,-4564.0769,6174.8048,-3642.0583,3410.2835,-731.0751,-2856.2239,5571.3384,-3976.5174,2483.9034,3566.9996,4369.3281,0.0000,3005.6279,3036.0199,2691.0238,-5156.0640,-3899.0769,4859.6059,-590.9670,-5131.9460,4891.2254,5481.7174,3853.8278,3920.5264,3972.5303,742.3160,-350.3674,2348.3190,-216.0686,5437.8985,5191.5661,100289.9517,130315.0376,109630.3429,111037.5083,118820.2853,117873.8064,117623.5602,114184.9938,147596918.1279,147598531.5584,147570424.3448,147574128.3502,115402.0628,147584619.6713,-491.1756,292.8262,3401.7522,6011.3684,-3834.3354,3537.7885,-4875.8365,6437.7788,4058.3618,4908.5401,0.0000,3000.1067,2771.3027,0.0000,-4668.6961,-3568.2073,-6149.9262,-6666.3999,-2799.2504,1860.9723,-1572.1134,-1457.1486,4119.6317,3611.9921,0.0000,6562.5551,-3055.3954,4708.9052,-4870.3488,4618.9750,-2343.0142,-3871.7065,2980.2580,2176.1085,-5011.1609,2380.9379,4845.4651,4111.6338,-1684.6910,6432.5066,1443.8246,5707.8824,372.6968,-4899.1644,-979.3218,-4737.5952,-3779.2092,-3913.1555,252.2795,3310.8475,-1873.6602,1700.3131,2912.7047,1814.8977,-2239.1252,-1003.9901,2784.5943,-4316.1833,-5153.6133,-220.4091,-3107.7534,-3859.4195,5558.3263,-6362.2765,4166.8104,3629.4238,-5946.7745,4874.7247,-1925.0800,-3906.4668,-1515.4401,3572.0379,4857.2133,-6792.8415,5567.6842,367.6885,1172.7075,3302.6945,4915.5355,4063.1197,0.0000,-4156.3126,-5754.6333,-3404.1345,4474.3097,1795.6466,-1905.6552,5125.1160,-770.3349,-2820.8492,1303.2217,-1350.3066,4877.1254,5432.3492,6480.9336,5100.5042,6399.8913,6008.1516,915.8329,2786.2808,-368321.4571,-361705.4304,-357739.5139,-360580.1811,-364187.8054,-361932.0359,-354771.0000,-358169.6689,129516351.9784,129538376.1274,129526985.6570,129526384.0315,-357589.4966,129528342.2358,1980.8651,5511.7171,3432.2313,2622.4648,-2562.7689,5965.6391,2282.6099,1566.6397,5297.6177,1848.1971,0.0000,5254.2472,-3091.3268,0.0000,-1443.1147,4133.0487,924.6606,686.8214,3053.1116,2768.9633,2074.1603,-2408.3742,2903.4250,1540.6116,0.0000,-725.2641,-5138.0068,-1452.7896,2764.1329,-4714.7385,2620.7198,4644.2479,-2339.8966,-4213.9368,4727.5833,4652.1142,-46.3481,-2937.2058,3198.1077,1292.0160,-4338.8490,3704.7724,470.4713,-4329.9701,-482.2021,4668.7287,2409.4908,635.2119,-1013.5872,1930.6072,-815.0709,1128.1580,-4285.2003,5244.2388,6507.8671,-3395.6908,5084.0832,4375.9496,-1753.9370,1431.9907,-260.3270,4859.4849,2007.8775,2654.0161,-5183.4739,5447.2428,3305.0381,-4111.8161,-4580.7988,-3420.2716,-2733.9324,-4230.1088,-3466.2781,-281.0371,2933.7911,4055.7647,5522.7276,-5501.1693,3115.0305,-3476.8125,0.0000,4549.4714,1765.9751,5018.2205,-1158.0568,-5345.9984,-4400.2021,4466.8783,-4286.2656,4019.8894,4014.7506,5425.3704,-2730.8933,-1342.8375,-1891.8493,-4762.6488,-1129.2939,-3412.7471,-4192.0630,-3585.3227,-89972.0802,-95800.6960,-90433.0803,-91446.6251,-86797.1107,-94578.2220,-101201.0233,-91299.8672,-32521283.0187,-32486915.7767,-32505569.0048,-32507992.1703,-92529.2250,-32510221.2709,
600.000,6657.6113,-3639.9627,-3216.6975,3262.4564,3501.5622,1830.3068,3557.3915,3171.4704,373.2327,-3027.3667,0.0000,4872.4429,-5079.0655,0.0000,3889.5784,-4229.5471,-3831.2576,-304.9556,-6456.7686,-4701.9526,5331.1410,5125.9108,4730.6259,-4346.2036,0.0000,3418.4003,-5026.5116,5696.4345,-4429.8662,-29.3073,4609.6645,1458.4692,5507.7764,-3312.9409,-1657.3816,-3129.7827,5505.3956,-2972.4017,5968.2739,2827.8654,-4915.8241,2621.1319,-6065.1328,-3191.3171,6076.2226,-2265.7107,-5995.0231,4300.0446,6765.7119,5654.8178,-6383.6509,-6230.7007,5737.5759,4385.8285,-2846.6801,-5300.0962,-2991.8078,1166.4652,3113.3450,-6671.0246,-5571.0952,-3776.6531,-2576.7175,-1613.0809,3646.1351,-480.2315,-544.4409,-2494.6086,4015.9294,-5862.9449,6008.1545,-1616.7470,5034.6600,-1899.8771,-1855.3773,4523.8558,-3086.1852,4019.7856,4451.9689,5711.1513,0.0000,1362.7719,1976.1352,552.7317,-4103.8650,-3309.5061,4280.9110,982.5313,-6007.6899,3221.6024,5113.3411,2938.3256,5179.3611,4846.1015,1922.6892,1775.1101,3578.8848,1583.6932,4988.4985,6345.7970,108117.9616,137821.8255,117184.0724,118650.9970,126391.8292,125384.0131,125169.6954,121424.7595,144734413.9574,144736230.7036,144708177.9625,144712086.2512,122938.3287,144722194.2917,-1754.1219,2407.2188,4363.0071,4700.0027,-4319.2578,4674.1681,-5908.5537,6142.3042,4127.3360,5171.2132,0.0000,1824.6698,4400.4769,0.0000,-4601.1315,-1586.8497,-5091.7412,-6460.2455,-1783.7003,2856.3435,-2933.2346,-2524.6713,2399.1314,4265.3923,0.0000,5946.9252,-1978.5530,3857.3544,-3246.0300,5287.4453,-3571.9535,-4899.7430,1395.9404,3183.4712,-5671.5251,4050.6972,3742.9106,4823.0924,-3131.7136,5462.2446,3408.2448,5991.0165,1577.5678,-3188.9556,-2408.9090,-2907.6466,-3469.0358,-4871.1866,-959.8957,1799.1788,-259.8055,2862.3364,1374.1296,-206.0490,-1524.9154,898.7020,4617.7948,-4941.3269,-6173.7719,1321.2507,-3293.2256,-1903.1550,6385.7809,-6586.9615,3886.8361,4873.3972,-5129.2784,6069.0478,-3879.7063,-3169.2536,-3159.2044,3946.0647,4102.7414,-6385.3669,6540.0665,-1265.8067,3151.2242,1765.8855,3177.6922,3386.5444,0.0000,-5439.1537,-6448.0446,-3952.6348,5561.6315,3786.4486,-3863.2554,5958.7151,749.0687,-4053.9057,-742.0509,-3329.3773,4328.6256,4017.2761,5510.7589,5058.1626,5333.8179,5192.1643,-1137.2644,1784.0989,-366214.0943,-358953.7552,-355124.3476,-357946.7336,-361725.9860,-359369.0215,-352353.3333,-355630.2542,132711160.9641,132733619.8332,132721265.9056,132720668.9207,-355110.5893,132723128.1372,197.2504,5348.9529,4293.6003,3744.2592,-4010.8168,4801.1937,527.0808,-236.6733,5529.0118,3437.9012,0.0000,4453.7481,-1772.7053,0.0000,-3414.6853,5071.5242,2639.4680,2167.3620,1393.5088,4170.7976,3332.8889,-3892.3934,4264.4943,3181.0855,0.0000,822.9905,-4221.2630,358.3418,4166.6971,-4456.8754,3748.9567,4657.4462,-3837.9232,-5144.7569,3546.4597,4623.9040,-1837.3855,-3973.3738,1568.4716,2699.2307,-3502.3583,2179.1523,2251.7498,-5198.0598,-1982.2500,5885.4028,330.2014,2119.9231,807.4489,3506.5181,-2284.2597,-690.5019,-3444.4685,4870.3247,6129.2693,-4261.5495,4127.4114,4716.4601,-242.6864,-111.8496,-2461.4607,5447.9974,226.5235,1248.4895,-4310.3938,4857.9034,4556.2205,-2263.9264,-4007.6916,-1831.2565,-1343.1762,-5073.1432,-2246.2341,1532.2249,1256.0719,5053.4235,5314.0968,-5297.2494,4080.7403,-1894.4469,0.0000,3946.7512,-47.8840,5298.7201,383.5675,-4659.4863,-3653.2529,3181.7864,-2939.3030,4605.7251,4599.3853,5138.1276,-1016.5429,-2736.2341,-3476.6619,-4481.5443,-2550.9807,-4281.5802,-4669.9095,-2026.0331,-89893.2140,-95703.0624,-90280.9212,-91526.2529,-86658.8738,-94197.6769,-101171.1121,-91565.9398,-32524565.8422,-32490128.6080,-32508225.4863,-32510769.9467,-92429.7403,-32513392.3420,
