sl_100_5400_20291015 Coordinates.csv
2029/10/15 07:47:00.0000 UTC

Generated: Tue Oct  8 21:45:25 2024,
Start: 2029/10/15 07:47:00.00, Stop: 2029/10/15 09:17:00.00,
TIME_UNITS,STARLINK-30327 - X-Coordinate,STARLINK-1467 - X-Coordinate,STARLINK-5877 - X-Coordinate,STARLINK-30559 - X-Coordinate,STARLINK-1780 - X-Coordinate,STARLINK-31264 - X-Coordinate,STARLINK-6220 - X-Coordinate,STARLINK-5470 - X-Coordinate,STARLINK-31505 - X-Coordinate,STARLINK-5538 - X-Coordinate,STARLINK-30212 - X-Coordinate,STARLINK-30419 - X-Coordinate,STARLINK-31347 - X-Coordinate,STARLINK-31590 - X-Coordinate,STARLINK-5959 - X-Coordinate,STARLINK-1363 - X-Coordinate,STARLINK-3049 - X-Coordinate,STARLINK-6213 - X-Coordinate,STARLINK-4206 - X-Coordinate,STARLINK-30789 - X-Coordinate,STARLINK-3551 - X-Coordinate,STARLINK-4756 - X-Coordinate,STARLINK-2231 - X-Coordinate,STARLINK-5603 - X-Coordinate,STARLINK-3293 - X-Coordinate,STARLINK-30429 - X-Coordinate,STARLINK-3249 - X-Coordinate,STARLINK-5651 - X-Coordinate,STARLINK-1448 - X-Coordinate,STARLINK-30845 - X-Coordinate,STARLINK-30450 - X-Coordinate,STARLINK-5905 - X-Coordinate,STARLINK-3226 - X-Coordinate,STARLINK-32076 - X-Coordinate,STARLINK-32173 - X-Coordinate,STARLINK-1721 - X-Coordinate,STARLINK-5129 - X-Coordinate,STARLINK-30302 - X-Coordinate,STARLINK-2753 - X-Coordinate,STARLINK-3752 - X-Coordinate,STARLINK-30765 - X-Coordinate,STARLINK-31488 - X-Coordinate,STARLINK-6039 - X-Coordinate,STARLINK-4680 - X-Coordinate,STARLINK-5974 - X-Coordinate,STARLINK-3852 - X-Coordinate,STARLINK-31778 - X-Coordinate,STARLINK-6117 - X-Coordinate,STARLINK-5777 - X-Coordinate,STARLINK-31176 - X-Coordinate,STARLINK-1978 - X-Coordinate,STARLINK-2050 - X-Coordinate,STARLINK-5009 - X-Coordinate,STARLINK-30052 - X-Coordinate,STARLINK-4406 - X-Coordinate,STARLINK-30084 - X-Coordinate,STARLINK-3173 - X-Coordinate,STARLINK-5084 - X-Coordinate,STARLINK-5845 - X-Coordinate,STARLINK-3657 - X-Coordinate,STARLINK-2536 - X-Coordinate,STARLINK-1052 - X-Coordinate,STARLINK-5604 - X-Coordinate,STARLINK-2040 - X-Coordinate,STARLINK-1418 - X-Coordinate,STARLINK-6379 - X-Coordinate,STARLINK-1291 - X-Coordinate,STARLINK-31378 - X-Coordinate,STARLINK-4481 - X-Coordinate,STARLINK-30039 - X-Coordinate,STARLINK-1967 - X-Coordinate,STARLINK-6212 - X-Coordinate,STARLINK-5260 - X-Coordinate,STARLINK-6370 - X-Coordinate,STARLINK-5908 - X-Coordinate,STARLINK-11143 [DTC] - X-Coordinate,STARLINK-4170 - X-Coordinate,STARLINK-5262 - X-Coordinate,STARLINK-3202 - X-Coordinate,STARLINK-30961 - X-Coordinate,STARLINK-3725 - X-Coordinate,STARLINK-4642 - X-Coordinate,STARLINK-30412 - X-Coordinate,STARLINK-3258 - X-Coordinate,STARLINK-31559 - X-Coordinate,STARLINK-30534 - X-Coordinate,STARLINK-3267 - X-Coordinate,STARLINK-31923 - X-Coordinate,STARLINK-4536 - X-Coordinate,STARLINK-4389 - X-Coordinate,STARLINK-11175 [DTC] - X-Coordinate,STARLINK-31146 - X-Coordinate,STARLINK-31277 - X-Coordinate,STARLINK-5382 - X-Coordinate,STARLINK-5894 - X-Coordinate,STARLINK-4182 - X-Coordinate,STARLINK-4267 - X-Coordinate,STARLINK-32233 - X-Coordinate,STARLINK-2120 - X-Coordinate,STARLINK-1716 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30327 - Y-Coordinate,STARLINK-1467 - Y-Coordinate,STARLINK-5877 - Y-Coordinate,STARLINK-30559 - Y-Coordinate,STARLINK-1780 - Y-Coordinate,STARLINK-31264 - Y-Coordinate,STARLINK-6220 - Y-Coordinate,STARLINK-5470 - Y-Coordinate,STARLINK-31505 - Y-Coordinate,STARLINK-5538 - Y-Coordinate,STARLINK-30212 - Y-Coordinate,STARLINK-30419 - Y-Coordinate,STARLINK-31347 - Y-Coordinate,STARLINK-31590 - Y-Coordinate,STARLINK-5959 - Y-Coordinate,STARLINK-1363 - Y-Coordinate,STARLINK-3049 - Y-Coordinate,STARLINK-6213 - Y-Coordinate,STARLINK-4206 - Y-Coordinate,STARLINK-30789 - Y-Coordinate,STARLINK-3551 - Y-Coordinate,STARLINK-4756 - Y-Coordinate,STARLINK-2231 - Y-Coordinate,STARLINK-5603 - Y-Coordinate,STARLINK-3293 - Y-Coordinate,STARLINK-30429 - Y-Coordinate,STARLINK-3249 - Y-Coordinate,STARLINK-5651 - Y-Coordinate,STARLINK-1448 - Y-Coordinate,STARLINK-30845 - Y-Coordinate,STARLINK-30450 - Y-Coordinate,STARLINK-5905 - Y-Coordinate,STARLINK-3226 - Y-Coordinate,STARLINK-32076 - Y-Coordinate,STARLINK-32173 - Y-Coordinate,STARLINK-1721 - Y-Coordinate,STARLINK-5129 - Y-Coordinate,STARLINK-30302 - Y-Coordinate,STARLINK-2753 - Y-Coordinate,STARLINK-3752 - Y-Coordinate,STARLINK-30765 - Y-Coordinate,STARLINK-31488 - Y-Coordinate,STARLINK-6039 - Y-Coordinate,STARLINK-4680 - Y-Coordinate,STARLINK-5974 - Y-Coordinate,STARLINK-3852 - Y-Coordinate,STARLINK-31778 - Y-Coordinate,STARLINK-6117 - Y-Coordinate,STARLINK-5777 - Y-Coordinate,STARLINK-31176 - Y-Coordinate,STARLINK-1978 - Y-Coordinate,STARLINK-2050 - Y-Coordinate,STARLINK-5009 - Y-Coordinate,STARLINK-30052 - Y-Coordinate,STARLINK-4406 - Y-Coordinate,STARLINK-30084 - Y-Coordinate,STARLINK-3173 - Y-Coordinate,STARLINK-5084 - Y-Coordinate,STARLINK-5845 - Y-Coordinate,STARLINK-3657 - Y-Coordinate,STARLINK-2536 - Y-Coordinate,STARLINK-1052 - Y-Coordinate,STARLINK-5604 - Y-Coordinate,STARLINK-2040 - Y-Coordinate,STARLINK-1418 - Y-Coordinate,STARLINK-6379 - Y-Coordinate,STARLINK-1291 - Y-Coordinate,STARLINK-31378 - Y-Coordinate,STARLINK-4481 - Y-Coordinate,STARLINK-30039 - Y-Coordinate,STARLINK-1967 - Y-Coordinate,STARLINK-6212 - Y-Coordinate,STARLINK-5260 - Y-Coordinate,STARLINK-6370 - Y-Coordinate,STARLINK-5908 - Y-Coordinate,STARLINK-11143 [DTC] - Y-Coordinate,STARLINK-4170 - Y-Coordinate,STARLINK-5262 - Y-Coordinate,STARLINK-3202 - Y-Coordinate,STARLINK-30961 - Y-Coordinate,STARLINK-3725 - Y-Coordinate,STARLINK-4642 - Y-Coordinate,STARLINK-30412 - Y-Coordinate,STARLINK-3258 - Y-Coordinate,STARLINK-31559 - Y-Coordinate,STARLINK-30534 - Y-Coordinate,STARLINK-3267 - Y-Coordinate,STARLINK-31923 - Y-Coordinate,STARLINK-4536 - Y-Coordinate,STARLINK-4389 - Y-Coordinate,STARLINK-11175 [DTC] - Y-Coordinate,STARLINK-31146 - Y-Coordinate,STARLINK-31277 - Y-Coordinate,STARLINK-5382 - Y-Coordinate,STARLINK-5894 - Y-Coordinate,STARLINK-4182 - Y-Coordinate,STARLINK-4267 - Y-Coordinate,STARLINK-32233 - Y-Coordinate,STARLINK-2120 - Y-Coordinate,STARLINK-1716 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30327 - Z-Coordinate,STARLINK-1467 - Z-Coordinate,STARLINK-5877 - Z-Coordinate,STARLINK-30559 - Z-Coordinate,STARLINK-1780 - Z-Coordinate,STARLINK-31264 - Z-Coordinate,STARLINK-6220 - Z-Coordinate,STARLINK-5470 - Z-Coordinate,STARLINK-31505 - Z-Coordinate,STARLINK-5538 - Z-Coordinate,STARLINK-30212 - Z-Coordinate,STARLINK-30419 - Z-Coordinate,STARLINK-31347 - Z-Coordinate,STARLINK-31590 - Z-Coordinate,STARLINK-5959 - Z-Coordinate,STARLINK-1363 - Z-Coordinate,STARLINK-3049 - Z-Coordinate,STARLINK-6213 - Z-Coordinate,STARLINK-4206 - Z-Coordinate,STARLINK-30789 - Z-Coordinate,STARLINK-3551 - Z-Coordinate,STARLINK-4756 - Z-Coordinate,STARLINK-2231 - Z-Coordinate,STARLINK-5603 - Z-Coordinate,STARLINK-3293 - Z-Coordinate,STARLINK-30429 - Z-Coordinate,STARLINK-3249 - Z-Coordinate,STARLINK-5651 - Z-Coordinate,STARLINK-1448 - Z-Coordinate,STARLINK-30845 - Z-Coordinate,STARLINK-30450 - Z-Coordinate,STARLINK-5905 - Z-Coordinate,STARLINK-3226 - Z-Coordinate,STARLINK-32076 - Z-Coordinate,STARLINK-32173 - Z-Coordinate,STARLINK-1721 - Z-Coordinate,STARLINK-5129 - Z-Coordinate,STARLINK-30302 - Z-Coordinate,STARLINK-2753 - Z-Coordinate,STARLINK-3752 - Z-Coordinate,STARLINK-30765 - Z-Coordinate,STARLINK-31488 - Z-Coordinate,STARLINK-6039 - Z-Coordinate,STARLINK-4680 - Z-Coordinate,STARLINK-5974 - Z-Coordinate,STARLINK-3852 - Z-Coordinate,STARLINK-31778 - Z-Coordinate,STARLINK-6117 - Z-Coordinate,STARLINK-5777 - Z-Coordinate,STARLINK-31176 - Z-Coordinate,STARLINK-1978 - Z-Coordinate,STARLINK-2050 - Z-Coordinate,STARLINK-5009 - Z-Coordinate,STARLINK-30052 - Z-Coordinate,STARLINK-4406 - Z-Coordinate,STARLINK-30084 - Z-Coordinate,STARLINK-3173 - Z-Coordinate,STARLINK-5084 - Z-Coordinate,STARLINK-5845 - Z-Coordinate,STARLINK-3657 - Z-Coordinate,STARLINK-2536 - Z-Coordinate,STARLINK-1052 - Z-Coordinate,STARLINK-5604 - Z-Coordinate,STARLINK-2040 - Z-Coordinate,STARLINK-1418 - Z-Coordinate,STARLINK-6379 - Z-Coordinate,STARLINK-1291 - Z-Coordinate,STARLINK-31378 - Z-Coordinate,STARLINK-4481 - Z-Coordinate,STARLINK-30039 - Z-Coordinate,STARLINK-1967 - Z-Coordinate,STARLINK-6212 - Z-Coordinate,STARLINK-5260 - Z-Coordinate,STARLINK-6370 - Z-Coordinate,STARLINK-5908 - Z-Coordinate,STARLINK-11143 [DTC] - Z-Coordinate,STARLINK-4170 - Z-Coordinate,STARLINK-5262 - Z-Coordinate,STARLINK-3202 - Z-Coordinate,STARLINK-30961 - Z-Coordinate,STARLINK-3725 - Z-Coordinate,STARLINK-4642 - Z-Coordinate,STARLINK-30412 - Z-Coordinate,STARLINK-3258 - Z-Coordinate,STARLINK-31559 - Z-Coordinate,STARLINK-30534 - Z-Coordinate,STARLINK-3267 - Z-Coordinate,STARLINK-31923 - Z-Coordinate,STARLINK-4536 - Z-Coordinate,STARLINK-4389 - Z-Coordinate,STARLINK-11175 [DTC] - Z-Coordinate,STARLINK-31146 - Z-Coordinate,STARLINK-31277 - Z-Coordinate,STARLINK-5382 - Z-Coordinate,STARLINK-5894 - Z-Coordinate,STARLINK-4182 - Z-Coordinate,STARLINK-4267 - Z-Coordinate,STARLINK-32233 - Z-Coordinate,STARLINK-2120 - Z-Coordinate,STARLINK-1716 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-441.7086,0.0000,0.0000,4032.4310,-3488.5325,3804.5946,-2523.7555,-1343.4382,4877.5290,-4351.9096,-2887.6749,-1744.9009,0.0000,-3214.5475,2358.1945,-3495.8093,-3241.5253,5333.6878,-2179.6337,-3024.8488,4903.1608,-4087.9320,-3162.3512,-4564.0749,-2827.7123,2863.5262,-6060.8391,6099.2074,-1829.6422,2810.2244,5382.5520,3913.6473,5132.9120,1370.1866,3504.0993,0.0000,756.5015,-3683.5643,-4227.0473,2591.8002,5415.1305,-6621.1200,-1910.6476,0.0000,0.0000,-5702.1912,762.9674,-1765.0637,969.6490,5053.5468,-4688.1385,4991.4474,-4793.8493,2831.7106,-4735.7384,1934.4844,6465.3148,-1664.6217,4629.8503,1551.7466,3616.8527,0.0000,-5841.7190,-944.3352,-726.8904,441.5095,-3324.8556,-1482.6084,-5633.6810,5086.3975,-2344.9636,1128.8012,-3966.4582,-5131.4194,453.8101,3094.8604,-925.9054,-1651.6134,2887.2813,-2467.1532,-2797.2949,-5453.6196,-1794.5821,-3152.5859,850.0195,4197.4711,1488.9163,-1805.5591,5752.3112,230.9025,0.0000,-4938.0462,2329.4833,3381.4770,-3557.7670,5922.2242,-5453.7501,1168.0184,-2071.2911,-1341.0502,350555.6561,352118.9164,353111.3922,356585.3567,361557.2765,359099.6943,351998.8234,353765.7119,95523319.6992,95507370.6288,95507334.9834,95512756.0130,354391.0898,95512528.1337,5529.3695,0.0000,0.0000,-1711.7644,-2846.3465,-2925.8087,4646.9092,-6684.6646,753.7858,-1849.1683,-4783.2499,-4111.5429,0.0000,5287.3581,-301.5370,-1871.2344,5787.5015,4398.1217,5953.1366,-2779.2065,-4814.6138,-4993.8305,2696.2793,-214.4170,-6290.3349,-4230.6684,2630.7838,-659.7221,6166.8349,-4718.5345,3637.7591,-4000.4486,1863.2726,-5516.8546,3854.5155,0.0000,6421.3683,-2161.4655,3639.1887,-5093.8532,-597.5803,-869.7404,-2240.4099,0.0000,0.0000,2019.5305,4989.6356,-4978.3241,6306.8636,-264.5380,2328.7318,1208.1149,-2884.2230,6214.1927,4003.8372,-4764.8254,-1424.6709,5822.2264,4853.9450,5800.6213,4525.7167,0.0000,-2213.9511,4311.1324,-4359.2829,-5113.5662,3890.3650,4804.1476,-3746.8086,1092.7263,5869.0237,6477.4649,-4319.0493,-359.9887,3116.4977,-4680.2315,-4838.1730,-3802.4839,-3374.9582,-6457.2790,6282.9867,-581.4111,3956.0533,-4078.9767,-5965.8266,-2907.4186,6690.3422,3920.1717,2372.3447,-6531.0118,0.0000,-2479.3619,-6176.4902,3804.5975,5787.5516,-970.1071,3713.8564,6553.9779,-4242.7449,5439.0162,102408.5551,104660.2830,100287.3852,101044.2843,108001.9028,107604.4658,108644.5688,105538.0665,222329637.8133,222354274.1465,222302168.7937,222323407.3473,105890.8147,222314638.5498,4115.8862,0.0000,0.0000,-5348.8667,5217.8325,-4927.8943,4495.5699,-1117.1663,4451.6593,5075.3321,4078.1917,-5122.0837,0.0000,-2846.3768,-6526.7042,5266.2407,1906.9863,426.4274,2691.3776,-5471.1745,694.2138,2353.0863,5238.9494,-5257.5133,345.9465,4661.2865,-1986.2647,3179.2275,-2506.3083,-4166.9513,2266.9089,-4070.7398,4147.3002,3803.7131,4352.0805,0.0000,-2432.8595,-5360.8378,3906.1594,3822.3185,-4231.3889,-1038.8490,-6292.6838,0.0000,0.0000,3296.8813,-4581.2580,-4496.2657,2708.8199,4714.8870,-4536.7681,4540.7553,-4066.7484,1099.5413,-3072.2786,-4627.9945,-2012.9287,3385.2742,-1634.2972,3419.8714,3724.4589,0.0000,3008.8562,5241.6582,-5284.4492,4661.9344,-4546.6787,-4497.7609,-1355.5746,-4588.9820,-2809.7216,-2171.5100,3692.0575,-4632.5704,6173.0090,3710.9201,4840.9419,-5520.8277,5258.2585,-520.6597,-56.6005,4204.4826,-5310.5361,4570.8751,-3196.2067,-4687.4463,844.8054,5243.5929,-2996.9555,2320.3367,0.0000,-4157.6108,985.9516,4709.6102,1486.0343,-3407.8504,-2006.4950,-1192.2382,-5043.6884,-3988.1799,-109769.8738,-110471.0525,-109188.1574,-110359.6806,-105679.4596,-113400.4125,-119998.0430,-112964.8149,-107367373.6582,-107383430.3006,-107364999.6531,-107360358.9824,-111354.4975,-107358659.0280,
300.000,1440.2849,0.0000,0.0000,3584.3585,-4073.0165,1855.8836,-2257.7880,-2418.6990,5215.4191,-5364.3609,-4110.5800,-3213.8927,0.0000,-1314.2897,1967.9596,-4395.5819,-2230.1624,6097.3545,-582.7970,-4297.3824,3946.8735,-4518.9101,-1293.9962,-5830.0723,-3743.6677,868.2690,-4792.0655,5041.4053,-672.5916,727.8204,5633.1781,2772.7536,4585.3323,-385.1203,5148.2888,0.0000,1949.9938,-4973.4845,-2333.9584,1540.8096,4435.6015,-6157.3749,-8.0637,0.0000,0.0000,-5701.0294,2851.6590,-3478.8233,2617.0205,4694.5437,-4531.4541,6011.7563,-6106.5112,4167.6229,-5534.9888,14.3763,5378.7367,268.5845,5287.9203,2655.1132,4082.7532,0.0000,-6634.5143,1201.7654,-2588.7679,-1647.0093,-2464.1406,517.0572,-5747.2933,5612.9942,-1253.7558,2703.0532,-5063.1683,-4789.0098,1874.2589,2167.7936,-2487.1224,-3502.6536,823.2613,-3782.1018,-1564.9029,-4474.7453,-102.4245,-3808.9178,-1008.6914,2661.9482,2637.0542,381.7930,5324.8629,626.6604,0.0000,-4621.5499,843.2815,4738.2476,-2589.0098,6197.7827,-4895.5088,2376.1197,-3333.2764,445.4160,348358.0060,349496.8155,350710.8989,354174.5186,359311.6384,356741.2857,349787.9415,351454.7275,90648627.1192,90631937.5117,90633127.7370,90637529.9297,352119.9541,90637901.7107,5976.5726,0.0000,0.0000,-3708.0296,-764.1086,-3753.8360,5968.0489,-5830.5968,-1354.0667,-2897.8610,-3090.3218,-2508.7456,0.0000,5427.9067,-2450.0041,140.1171,6533.0786,3093.5788,5492.0825,-1015.4188,-5558.0870,-3453.5247,3888.1885,762.7632,-5399.5145,-5054.2143,3468.6346,-2284.5950,6825.4919,-5039.6549,1861.0730,-5541.4027,-32.5561,-4768.8281,3232.5378,0.0000,5351.2992,-529.0409,4063.4266,-6288.4792,-2472.7012,440.6388,-1118.6156,0.0000,0.0000,3489.1290,4669.0328,-3695.1417,6284.8642,-2380.8193,4092.2436,-269.4915,-1900.6790,5504.5325,4048.4211,-5583.7660,-2488.7171,5460.6479,3293.5805,4371.3869,2706.1067,0.0000,-1767.1068,3947.5306,-3244.7725,-5297.4937,5469.6534,4218.6639,-2339.9102,-903.6822,6708.3199,6335.1840,-4393.0562,1768.0445,1453.2792,-5985.6094,-3441.5265,-2673.1928,-4042.8847,-5716.8360,6464.2968,1126.2910,5121.4722,-2138.3443,-5333.1128,-4417.4471,6310.1110,4074.9539,710.0054,-5416.3445,0.0000,-549.4867,-6596.7183,2134.1108,5452.6072,-2432.9202,4850.0140,6297.2756,-2527.7044,4697.4272,109457.1042,112415.1232,107801.3587,108613.9969,115498.4169,115054.9155,116108.3975,113487.7255,224362843.7490,224387273.3303,224335079.8125,224356735.3168,113354.6993,224347904.3092,3151.9184,0.0000,0.0000,-4604.5796,5505.9535,-5457.9572,2737.6109,-2813.0446,3892.8946,3313.8509,4624.8961,-5437.0270,0.0000,-3900.1387,-6194.1427,4911.5851,120.1729,-1115.8809,4110.8348,-5225.4459,-1122.5129,3847.7486,5284.1497,-3733.2486,2117.0242,4639.6509,-3552.8006,4133.6707,-776.1371,-4647.6709,3481.8217,-3080.5298,5095.8070,4884.8704,3025.3034,0.0000,-3911.8630,-4685.8523,4938.3198,2320.6835,-4668.9973,-2754.5089,-6856.4932,0.0000,0.0000,1678.6971,-4066.1428,-4728.7991,1314.6363,4487.2977,-3270.7503,3286.9796,-2631.8191,-444.0883,-925.3792,-4084.4234,-3574.2177,4268.4392,-2978.5381,4643.3944,4839.3843,0.0000,986.7875,5469.8363,-5498.1162,4160.4136,-3296.3721,-5238.3423,-3021.4569,-3975.1474,-1118.6143,-700.1850,1765.9608,-4675.7450,6511.4246,2182.1422,5445.3085,-5315.5316,5508.4809,1023.0472,1743.0143,5141.9554,-4563.4219,5326.0614,-4132.6598,-4631.0156,-973.3749,5419.0716,-4342.0985,4279.6804,0.0000,-5115.2831,-586.4491,4591.8128,3449.2222,-1811.2346,-225.6511,644.8723,-5498.4308,-5002.8161,-109606.9914,-110282.0215,-109059.5382,-110454.2785,-105562.7947,-113040.4200,-119986.8602,-112907.2770,-107369704.7649,-107385723.3599,-107366650.2675,-107363067.9081,-111274.0470,-107360807.6123,
600.000,3160.3974,0.0000,0.0000,2832.2207,-4310.7701,-264.7667,-1797.3165,-3284.6490,5014.9273,-5768.7742,-4974.7135,-4396.6338,0.0000,738.3007,1459.4388,-4842.8291,-996.8990,6274.9094,1108.8196,-5174.7060,2586.9335,-4531.7231,682.8632,-6525.5384,-4307.4576,-1193.5933,-3037.1503,3509.8300,543.0665,-1428.8986,5353.6822,1391.3477,3618.7785,-2140.4711,6244.4088,0.0000,2992.7445,-5789.2323,-190.2276,360.4609,3055.9766,-5045.0877,1841.9172,0.0000,0.0000,-5139.0415,4645.5677,-4887.4639,4000.2953,3921.6819,-3960.1236,6435.5314,-6811.8842,5100.3275,-5734.1328,-1882.6146,3760.0337,2199.9745,5453.0615,3545.6914,4192.6080,0.0000,-6745.9216,3239.4053,-4225.9475,-3563.1583,-1388.4252,2491.3635,-5309.2910,5629.8684,-50.3185,4008.2069,-5627.4921,-4025.9817,3171.0970,1031.7740,-3849.4869,-5031.9996,-1308.2191,-4738.9966,-155.7249,-3089.8802,1560.5482,-4143.3289,-2794.0559,901.3295,3532.1911,2527.3248,4401.2373,894.2102,0.0000,-3897.7819,-740.6111,5669.7721,-1321.3847,5863.2466,-3846.8995,3336.7432,-4318.3923,2225.4574,346028.3941,346748.1357,348152.9468,351596.3468,356906.9826,354214.3769,347419.8917,349017.8680,85730686.4615,85713262.7827,85715687.6786,85719053.2432,349691.5919,85720024.2559,5861.0099,0.0000,0.0000,-5333.9443,1382.5420,-4263.9470,6673.7096,-4393.4580,-3296.1305,-3670.6126,-1112.9546,-681.9514,0.0000,5047.6754,-4360.2545,2104.8218,6624.1615,1479.8287,4507.9200,813.2456,-5754.8880,-1545.6797,4706.0690,1617.1053,-3959.5895,-5426.4729,3999.1537,-3721.0838,6800.3868,-4910.0306,-118.5478,-6545.4935,-1957.9560,-3570.7152,2305.1173,0.0000,3756.3038,1115.3224,4121.2759,-6847.3821,-4133.2865,1735.0570,202.7953,0.0000,0.0000,4593.3519,3912.2095,-2089.0369,5660.9912,-4267.5483,5435.7756,-1685.9110,-757.8312,4255.3107,3638.0890,-5889.8249,-3346.3457,4604.9956,1397.0448,2517.1360,606.2389,0.0000,-1152.3677,3242.4017,-1856.5539,-5007.1966,6487.8177,3232.9373,-673.9064,-2792.4138,6878.9509,5579.2171,-4036.1108,3731.9122,-304.3786,-6640.7345,-1739.8769,-1331.1160,-4364.9213,-4417.4356,5998.8056,2765.1055,5799.7355,11.5931,-4186.2356,-5530.7730,5296.1146,3865.4620,-1058.1165,-3712.0888,0.0000,1461.8699,-6299.1537,287.5129,4592.2678,-3634.6082,5496.8378,5363.1691,-591.2728,3523.7312,116468.3690,120122.5131,115268.9466,116141.0962,122947.2683,122448.2348,123526.0963,121377.2892,226289176.8918,226313384.4429,226261148.0830,226283126.1228,120769.9467,226274299.7118,1847.2442,0.0000,0.0000,-3364.4295,5196.1476,-5392.2046,688.0189,-4205.0858,2863.0485,1198.9391,4674.1314,-5136.5856,0.0000,-4514.5773,-5205.1532,3950.2093,-1679.7002,-2538.4331,5081.8091,-4399.6294,-2817.7977,4919.2127,4702.6014,-1815.3230,3658.5271,4118.7951,-4734.1381,4641.6426,1038.2366,-4623.6781,4315.6545,-1758.9357,5481.9316,5422.5979,1354.2174,0.0000,-4968.5190,-3493.0619,5414.0990,564.6797,-4600.5301,-4152.4720,-6694.9731,0.0000,0.0000,-122.4738,-3094.0317,-4457.1326,-220.2956,3777.0512,-1653.9720,1669.9485,-913.1977,-1939.8760,1321.1563,-3101.5676,-4751.3743,4696.1396,-4000.3132,5365.6598,5426.9951,0.0000,-1140.8283,5093.8018,-5114.1339,3214.5571,-1679.9259,-5370.0961,-4359.7857,-2937.1849,693.1635,846.4283,-349.2973,-4217.3451,6155.5125,398.1296,5461.8068,-4536.0358,5158.2074,2457.0614,3351.3226,5524.9290,-3313.4168,5501.9477,-4605.7584,-4079.6603,-2686.2116,4979.8660,-5218.2328,5781.4855,0.0000,-5522.9317,-2088.6325,3983.9324,5046.5785,-17.9748,1579.7326,2407.2439,-5360.5457,-5470.4110,-109448.0826,-110109.8294,-108935.0646,-110551.3254,-105449.0644,-112674.9220,-119971.0226,-112720.3433,-107372031.6610,-107388015.3049,-107368293.8606,-107365765.2071,-111193.5259,-107362956.0092,
