sl_20_86400_20291110 Coordinates.csv
2029/11/10 07:47:00.0000 UTC

Generated: Tue Oct  8 21:46:18 2024,
Start: 2029/11/10 07:47:00.00, Stop: 2029/11/11 07:47:00.00,
TIME_UNITS,STARLINK-30489 - X-Coordinate,STARLINK-3230 - X-Coordinate,STARLINK-1967 - X-Coordinate,STARLINK-30377 - X-Coordinate,STARLINK-31489 - X-Coordinate,STARLINK-4642 - X-Coordinate,STARLINK-1130 (DARKSAT) - X-Coordinate,STARLINK-11117 [DTC] - X-Coordinate,STARLINK-5302 - X-Coordinate,STARLINK-5539 - X-Coordinate,STARLINK-31470 - X-Coordinate,STARLINK-31537 - X-Coordinate,STARLINK-31658 - X-Coordinate,STARLINK-31242 - X-Coordinate,STARLINK-5731 - X-Coordinate,STARLINK-31215 - X-Coordinate,STARLINK-4407 - X-Coordinate,STARLINK-30422 - X-Coordinate,STARLINK-2410 - X-Coordinate,STARLINK-11273 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30489 - Y-Coordinate,STARLINK-3230 - Y-Coordinate,STARLINK-1967 - Y-Coordinate,STARLINK-30377 - Y-Coordinate,STARLINK-31489 - Y-Coordinate,STARLINK-4642 - Y-Coordinate,STARLINK-1130 (DARKSAT) - Y-Coordinate,STARLINK-11117 [DTC] - Y-Coordinate,STARLINK-5302 - Y-Coordinate,STARLINK-5539 - Y-Coordinate,STARLINK-31470 - Y-Coordinate,STARLINK-31537 - Y-Coordinate,STARLINK-31658 - Y-Coordinate,STARLINK-31242 - Y-Coordinate,STARLINK-5731 - Y-Coordinate,STARLINK-31215 - Y-Coordinate,STARLINK-4407 - Y-Coordinate,STARLINK-30422 - Y-Coordinate,STARLINK-2410 - Y-Coordinate,STARLINK-11273 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30489 - Z-Coordinate,STARLINK-3230 - Z-Coordinate,STARLINK-1967 - Z-Coordinate,STARLINK-30377 - Z-Coordinate,STARLINK-31489 - Z-Coordinate,STARLINK-4642 - Z-Coordinate,STARLINK-1130 (DARKSAT) - Z-Coordinate,STARLINK-11117 [DTC] - Z-Coordinate,STARLINK-5302 - Z-Coordinate,STARLINK-5539 - Z-Coordinate,STARLINK-31470 - Z-Coordinate,STARLINK-31537 - Z-Coordinate,STARLINK-31658 - Z-Coordinate,STARLINK-31242 - Z-Coordinate,STARLINK-5731 - Z-Coordinate,STARLINK-31215 - Z-Coordinate,STARLINK-4407 - Z-Coordinate,STARLINK-30422 - Z-Coordinate,STARLINK-2410 - Z-Coordinate,STARLINK-11273 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,5905.6363,-1969.2444,874.2239,-4451.4283,-1387.7797,4904.7145,1504.6346,-2431.8421,-3290.7004,-4136.2098,-6452.0945,6539.2511,0.0000,-2484.9149,-1248.3053,-1075.1117,-5782.3395,2873.8114,5836.4222,-1919.5976,181562.5908,162538.8936,173125.9097,176063.2036,177614.3657,175506.1065,168689.1113,170982.7951,81984913.5981,81946348.7587,81975241.0473,81968599.4840,172032.7548,81972429.6326,-3559.8251,-3672.7341,-4978.4295,-4498.8571,-6202.7021,3122.0464,3731.1331,3549.3474,-6041.6744,-5538.8950,2233.4788,-1752.5319,0.0000,-5783.2490,5699.6200,-6476.7464,2940.0449,-4620.4085,-1115.1888,4320.7413,289321.4125,317360.1126,297399.6536,299616.5645,308029.3195,306609.6881,304503.5036,303739.9948,242113600.4153,242159223.5844,242145639.6440,242120097.4519,303028.2951,242129579.4678,571.2391,-5459.8934,-4721.0222,2580.9901,-2562.5403,-3750.8418,5317.6426,-5122.2768,773.4265,-830.5604,-237.2906,645.7305,0.0000,-2591.0840,-3720.7796,-2011.9373,2488.9755,-4282.2509,3354.0696,4557.0234,-129640.6118,-133417.8069,-130933.3667,-132225.5671,-127467.6416,-135091.4856,-141793.0503,-134406.6794,-117490103.9453,-117475392.0703,-117470576.8927,-117496163.3241,-133136.2024,-117487613.7535,
3600.000,-3845.7430,5753.5621,1451.1671,6205.8510,3898.7563,-6624.4256,-5847.9202,-2919.8963,4599.1888,3581.3682,4160.7907,-3793.4291,0.0000,4932.0891,-1397.1242,3608.4172,6357.7614,-392.0200,-5900.2030,-1090.8138,105057.7759,78297.0690,90586.6128,92106.5792,96768.2499,93217.5991,88409.5498,92463.8026,16497647.7786,16449896.9259,16480231.8235,16486872.6402,91208.8643,16484165.6705,4906.4197,2139.4298,6663.8055,2534.4557,5471.1932,-1946.5061,-1051.1973,-4485.1726,3402.4765,4483.0832,-4173.4009,3950.3796,0.0000,4453.6805,-6760.3575,3700.3867,-635.1740,6743.0193,3209.8486,-6470.6192,326307.3075,349390.5790,331231.5999,334166.8498,342318.6953,338516.0200,338762.8697,336297.9518,255107228.5579,255145883.9997,255141656.9468,255111533.6017,336829.2332,255122565.3166,2992.3382,3066.6117,1133.7467,1342.8743,-1356.3846,-397.9202,-3049.9368,3996.6954,-3907.6687,-3946.8139,-3466.2452,-4039.8831,0.0000,-1470.0730,435.2290,4506.4754,2724.3967,1500.7018,1214.4204,382.9067,-129098.8187,-133142.5036,-130081.1425,-133695.8249,-126642.8299,-130993.6411,-141705.7942,-131372.2275,-117492562.2245,-117483264.8066,-117478295.1508,-117497759.2734,-132532.3427,-117493192.4331,
7200.000,-10.8422,-6693.3743,-2779.1651,-5228.7366,-4917.5038,5428.0119,6168.6011,5603.6058,-5112.8158,-2488.2572,237.0183,-791.0533,0.0000,-5169.6723,3354.9962,-5654.9713,-2477.9224,-1833.5823,2627.2547,3301.3653,21284.0572,-11513.8322,2082.6472,1312.6585,9672.4014,3595.6152,1815.8207,2837.9224,-50127525.6792,-50182198.1764,-50153176.1898,-50133830.0463,4374.6940,-50141613.4259,-5075.5631,-532.9793,-5489.9791,963.5178,-2071.6285,-188.7623,-1347.6128,3528.0278,661.7951,-679.6574,5039.5164,-5229.4615,0.0000,-614.5950,5186.8391,207.4125,-1126.4363,-6298.9987,-3961.8987,2879.1252,343464.8699,359263.1632,344120.6472,350109.1617,355343.6434,346548.8000,352045.3003,349878.6481,250700886.2851,250729786.6082,250734083.0337,250708426.7860,349440.7209,250715209.4614,-4708.5223,1423.8896,3142.9694,-4305.8323,4284.0525,4273.6602,-2174.7911,913.5959,4612.6676,6458.0721,4598.4811,4267.5670,0.0000,4372.0826,3102.4169,-3892.5812,-6401.0005,2194.4255,-4905.4309,-4905.7810,-128582.9993,-132847.3435,-129872.5334,-132368.2384,-126206.2453,-130886.6088,-140979.9767,-132759.0761,-117495024.0839,-117491171.7969,-117486537.7464,-117498022.5036,-131915.1824,-117498733.8794,
10800.000,3984.2914,4405.1603,3841.8911,2665.9334,4851.5659,-2552.6789,-2033.8969,-4463.7777,4845.7677,2365.2395,-4301.4803,4511.8251,0.0000,3942.4522,-4820.1153,5961.0405,-2833.9267,3934.6997,2212.3483,-4423.1095,-64684.0931,-101144.0744,-86710.6240,-86878.6275,-78137.3904,-84587.8083,-85688.4422,-81361.8604,-113346160.0553,-113404657.7499,-113378933.3568,-113354291.4363,-83000.7115,-113360328.9084,4457.3748,-1800.0184,1793.3464,-4757.5019,-2443.5267,3338.8326,3521.9290,248.8156,-4277.8491,-3803.7922,-4756.8437,4951.4880,0.0000,-3949.7105,-1560.0076,-3356.4222,-175.7828,3438.0477,4151.6141,2989.9168,339407.5167,346271.5224,335222.3915,343285.6382,346126.5095,335491.7655,343300.4341,339893.1058,229191505.2715,229208752.7486,229220066.9480,229205834.5164,339995.7309,229204686.0567,3474.7179,-4952.7944,-5465.4972,4116.1361,-4181.5781,-5496.5605,5284.1512,-4976.0594,-2488.9921,-5332.9193,-2361.1224,-1184.8629,0.0000,-3899.0737,-4715.1151,557.4372,6333.3820,-4543.8822,4938.6348,3825.2982,-128088.9362,-132529.9566,-130198.1370,-129234.1723,-126146.8068,-133979.6671,-139621.0234,-130602.5012,-117497688.9533,-117499091.8061,-117495163.6671,-117498899.5359,-131284.8099,-117504238.0810,
14400.000,-6232.7321,-679.8082,-4816.4801,111.9416,-3656.8503,-194.5128,-2991.1111,1528.4786,-3268.8171,-2884.6685,6037.0826,-5714.0348,0.0000,-1774.8865,5556.6918,-3694.8239,5404.8859,-5590.8753,-5579.0870,2986.7193,-147514.5463,-184852.3019,-170137.7661,-169575.5195,-161054.9034,-166849.1513,-168511.8952,-167174.4389,-168845174.7851,-168903940.8134,-168882647.2700,-168862480.4402,-165394.5086,-168858905.4787,-3002.7215,4598.5341,2391.0540,6772.8083,5691.1505,-6089.0577,-4954.1971,-4896.5858,5988.7955,6228.2642,2758.1252,-2363.3711,0.0000,6557.2482,-2370.1625,4850.4302,3489.8583,365.3026,-3704.9163,-5633.5202,314042.9235,311175.6262,305118.9890,313619.6111,315061.5146,304470.1613,312836.3603,308837.5719,192042715.3323,192047523.8167,192064092.4654,192059335.0453,309018.3243,192054900.9596,-92.9406,5043.3166,4338.1438,-943.8509,1079.2169,3264.9195,-3334.1412,4277.4627,-1191.6945,1159.7887,-1635.6981,-2841.0505,0.0000,385.0006,3360.2978,3142.7749,-2634.9940,4053.2144,-1331.8671,1589.9554,-127613.3566,-132188.3579,-130801.8436,-126795.1891,-126473.8547,-136176.9813,-137600.0897,-130960.9434,-117500740.7026,-117507006.4932,-117504046.7088,-117505019.1263,-130641.3148,-117509705.0270,
18000.000,6037.2720,-2255.4991,4842.3189,-2603.2303,1069.1036,1937.5692,5197.5642,1062.0067,207.1754,2367.2205,-5133.2294,4580.9162,0.0000,-1175.0164,-4873.7249,-519.1242,-3766.1897,5934.6262,5760.8104,1576.7711,-221948.8292,-257273.1486,-242942.5531,-242135.9756,-233752.7843,-238895.4354,-241181.9392,-235903.2308,-212837113.8949,-212892546.1672,-212876056.1265,-212858877.3460,-237578.9496,-212850028.3432,367.3830,-6266.5272,-4908.3742,-5603.9618,-6169.0310,6564.4767,3764.3222,6583.1601,-5557.2980,-5434.9667,903.8055,-1929.6501,0.0000,-5764.6647,4907.0949,-4999.7802,-5216.2377,-3400.6986,1629.7842,3686.5374,268618.2855,256152.3624,255731.6458,263677.1246,263856.7367,254374.0688,262330.3032,258948.2531,141785290.5737,141778052.2137,141798227.2536,141795556.4918,258395.9288,141796865.5382,-3367.6871,-1672.0925,-506.1801,-2935.2609,2767.7930,988.6635,-1846.2438,472.9209,4115.4360,3643.3260,4407.7012,4633.1071,0.0000,3409.9574,80.8045,-4681.2801,-2639.0193,-1060.2210,-3287.8245,-5213.4312,-127153.6644,-131820.7573,-131349.4967,-124973.9126,-127216.0812,-137458.6011,-134849.4418,-129862.7922,-117504335.7344,-117514899.7360,-117513069.8027,-117516673.1528,-129984.7875,-117515134.7063,
21600.000,-4026.7404,3628.7792,-2806.6792,4642.4315,2632.8910,-3135.8717,-4097.5284,-3078.8834,3563.5945,329.8869,2780.5064,-2313.6975,0.0000,4403.2036,2233.6052,4585.1143,319.5677,-4116.7790,-3512.3091,-5902.0369,-283140.0419,-313760.6017,-300577.2021,-299977.9982,-291558.7845,-296414.2335,-298549.3672,-296543.1788,-242318634.5685,-242367481.0118,-242355631.3900,-242335691.5485,-294953.0921,-242330594.7778,3063.1449,5071.0043,5149.2499,1851.3922,4279.0586,-4055.0730,591.2164,-3502.7890,3859.4056,2714.5689,-4836.5142,5738.9497,0.0000,2454.5658,-5541.6211,4160.7696,2813.8294,4915.0788,2126.0565,-72.6977,205680.5100,184655.2139,190149.7055,196825.7131,195309.9469,187915.4208,194722.9609,190402.5427,81844774.4094,81826972.6263,81849496.3723,81849259.8172,191265.3179,81856259.5096,4710.1575,-2877.6032,-3668.0313,4657.3623,-4665.3067,-4646.6602,5227.2993,-4795.6256,-4517.1994,-6405.2519,-3950.1998,-2830.0615,0.0000,-4575.7417,-3492.0137,2953.7991,6335.9695,-2612.9511,5445.1692,2883.8674,-126707.7559,-131425.4267,-131518.4705,-123646.7921,-128405.5024,-137972.2899,-131269.7058,-129074.2287,-117508592.8531,-117522757.1077,-117522119.6037,-117527735.4091,-129315.3196,-117520527.1079,
25200.000,1463.8057,-4055.8804,-1085.8817,-5694.8197,-5872.5946,4335.2319,1712.5946,4556.2529,-6354.9749,-4220.0157,-99.4065,-375.5774,0.0000,-6320.3580,1718.2388,-6427.7429,1253.9896,424.5598,845.7370,5407.5287,-326975.5856,-350684.9723,-339436.3633,-339349.5927,-331178.1735,-335758.2433,-335530.7528,-332538.7715,-255275579.1294,-255315258.2536,-255307657.0998,-255284543.4242,-333836.2750,-255286723.1879,-5995.6413,-1113.9571,-4012.2529,2312.8654,-1418.6829,-128.4425,-5356.5607,-1826.4523,-1747.7174,-374.2864,6809.4155,-6686.6768,0.0000,1255.6591,4767.5526,-2267.7534,2417.3423,-5106.7138,-5750.0896,-2564.5828,128950.8744,101192.1651,112419.0504,117355.1603,112727.1043,109011.4136,113820.0131,112922.0489,16308015.2198,16282010.5610,16306153.5462,16312473.2867,111819.1055,16319930.8794,-3134.0326,5416.9963,5515.7757,-3002.8428,3220.4568,5377.9855,-3603.2376,4528.5813,2115.3168,5516.6334,565.1566,-1198.5037,0.0000,2177.4020,4697.8689,804.0999,-6399.7260,4641.6543,-3587.5239,2710.1318,-126273.8844,-131000.5954,-131084.1572,-122743.7232,-129796.9741,-137806.3947,-127093.5538,-129086.1773,-117513585.5712,-117530565.4632,-117531081.1405,-117536090.2662,-128633.0036,-117525882.2207,
28800.000,928.6037,4199.6646,5016.8942,4692.6439,6716.9133,-5162.1868,671.5486,-4247.9256,6724.7231,6782.1001,-2446.2231,3183.7460,0.0000,5329.6367,-5289.2293,5497.6601,304.3794,3621.8726,1195.3822,-32.3955,-350363.0261,-365664.4067,-357033.9576,-357630.3381,-352360.7833,-354298.5455,-348808.5727,-352756.9984,-250820618.9268,-250849429.1917,-250845782.8121,-250823350.6233,-351704.6258,-250831324.6389,6845.1258,-3403.2573,2701.9913,-4900.6422,-1243.8783,3683.4893,6469.7823,5162.4530,-469.1098,-403.7600,-5502.9493,4216.9975,0.0000,-3778.7800,-3320.8321,-864.0360,-6386.1542,4512.9595,6655.0291,3978.2991,43119.2988,11036.2341,27315.4224,30317.1836,21979.2692,22474.3287,24277.5983,23764.6755,-50355480.9890,-50386747.5155,-50361205.4258,-50345627.7202,25044.6291,-50342751.3006,-415.5307,-4237.0578,-3919.2806,-857.8742,495.9152,-2765.7962,-1509.9795,29.0493,1572.4563,-1524.4824,3216.8842,4273.2913,0.0000,1893.6528,-2979.3510,-4025.5086,2719.1820,-3802.0413,-954.4678,-5237.2767,-125850.5513,-130544.3544,-129980.1863,-122229.4061,-128390.1726,-137002.4968,-126910.2975,-127163.1093,-117519337.3472,-117538312.6049,-117539832.1864,-117541739.1614,-127937.9331,-117531200.0337,
