sl_100_5400_20290304 Coordinates.csv
2029/03/04 07:47:00.0000 UTC

Generated: Tue Oct  8 21:45:53 2024,
Start: 2029/03/04 07:47:00.00, Stop: 2029/03/04 09:17:00.00,
TIME_UNITS,STARLINK-5952 - X-Coordinate,STARLINK-31848 - X-Coordinate,STARLINK-30274 - X-Coordinate,STARLINK-3980 - X-Coordinate,STARLINK-31055 - X-Coordinate,STARLINK-3332 - X-Coordinate,STARLINK-31218 - X-Coordinate,STARLINK-31232 - X-Coordinate,STARLINK-5204 - X-Coordinate,STARLINK-3645 - X-Coordinate,STARLINK-1737 - X-Coordinate,STARLINK-31380 - X-Coordinate,STARLINK-30126 - X-Coordinate,STARLINK-31069 - X-Coordinate,STARLINK-2566 - X-Coordinate,STARLINK-32024 - X-Coordinate,STARLINK-1560 - X-Coordinate,STARLINK-31953 - X-Coordinate,STARLINK-4349 - X-Coordinate,STARLINK-2157 - X-Coordinate,STARLINK-4038 - X-Coordinate,STARLINK-30897 - X-Coordinate,STARLINK-5519 - X-Coordinate,STARLINK-6231 - X-Coordinate,STARLINK-1205 - X-Coordinate,STARLINK-30397 - X-Coordinate,STARLINK-30070 - X-Coordinate,STARLINK-1007 - X-Coordinate,STARLINK-6149 - X-Coordinate,STARLINK-5436 - X-Coordinate,STARLINK-5167 - X-Coordinate,STARLINK-30853 - X-Coordinate,STARLINK-30242 - X-Coordinate,STARLINK-2437 - X-Coordinate,STARLINK-30884 - X-Coordinate,STARLINK-3912 - X-Coordinate,STARLINK-3960 - X-Coordinate,STARLINK-32237 - X-Coordinate,STARLINK-31612 - X-Coordinate,STARLINK-5676 - X-Coordinate,STARLINK-3288 - X-Coordinate,STARLINK-4395 - X-Coordinate,STARLINK-30214 - X-Coordinate,STARLINK-5690 - X-Coordinate,STARLINK-5397 - X-Coordinate,STARLINK-3739 - X-Coordinate,STARLINK-1789 - X-Coordinate,STARLINK-2152 - X-Coordinate,STARLINK-3359 - X-Coordinate,STARLINK-3894 - X-Coordinate,STARLINK-2122 - X-Coordinate,STARLINK-32235 - X-Coordinate,STARLINK-2354 - X-Coordinate,STARLINK-3271 - X-Coordinate,STARLINK-3986 - X-Coordinate,STARLINK-5823 - X-Coordinate,STARLINK-6119 - X-Coordinate,STARLINK-5885 - X-Coordinate,STARLINK-31076 - X-Coordinate,STARLINK-3594 - X-Coordinate,STARLINK-3673 - X-Coordinate,STARLINK-6261 - X-Coordinate,STARLINK-5854 - X-Coordinate,STARLINK-5042 - X-Coordinate,STARLINK-5984 - X-Coordinate,STARLINK-4165 - X-Coordinate,STARLINK-5248 - X-Coordinate,STARLINK-3109 - X-Coordinate,STARLINK-5537 - X-Coordinate,STARLINK-1378 - X-Coordinate,STARLINK-4549 - X-Coordinate,STARLINK-5881 - X-Coordinate,STARLINK-2090 - X-Coordinate,STARLINK-31244 - X-Coordinate,STARLINK-3553 - X-Coordinate,STARLINK-5737 - X-Coordinate,STARLINK-6144 - X-Coordinate,STARLINK-11094 [DTC] - X-Coordinate,STARLINK-3586 - X-Coordinate,STARLINK-3357 - X-Coordinate,STARLINK-4458 - X-Coordinate,STARLINK-1512 - X-Coordinate,STARLINK-30317 - X-Coordinate,STARLINK-3981 - X-Coordinate,STARLINK-5865 - X-Coordinate,STARLINK-2347 - X-Coordinate,STARLINK-2587 - X-Coordinate,STARLINK-4550 - X-Coordinate,STARLINK-5256 - X-Coordinate,STARLINK-1994 - X-Coordinate,STARLINK-4172 - X-Coordinate,STARLINK-30964 - X-Coordinate,STARLINK-31560 - X-Coordinate,STARLINK-5895 - X-Coordinate,STARLINK-3284 - X-Coordinate,STARLINK-5735 - X-Coordinate,STARLINK-5534 - X-Coordinate,STARLINK-3659 - X-Coordinate,STARLINK-11272 [DTC] - X-Coordinate,STARLINK-5011 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5952 - Y-Coordinate,STARLINK-31848 - Y-Coordinate,STARLINK-30274 - Y-Coordinate,STARLINK-3980 - Y-Coordinate,STARLINK-31055 - Y-Coordinate,STARLINK-3332 - Y-Coordinate,STARLINK-31218 - Y-Coordinate,STARLINK-31232 - Y-Coordinate,STARLINK-5204 - Y-Coordinate,STARLINK-3645 - Y-Coordinate,STARLINK-1737 - Y-Coordinate,STARLINK-31380 - Y-Coordinate,STARLINK-30126 - Y-Coordinate,STARLINK-31069 - Y-Coordinate,STARLINK-2566 - Y-Coordinate,STARLINK-32024 - Y-Coordinate,STARLINK-1560 - Y-Coordinate,STARLINK-31953 - Y-Coordinate,STARLINK-4349 - Y-Coordinate,STARLINK-2157 - Y-Coordinate,STARLINK-4038 - Y-Coordinate,STARLINK-30897 - Y-Coordinate,STARLINK-5519 - Y-Coordinate,STARLINK-6231 - Y-Coordinate,STARLINK-1205 - Y-Coordinate,STARLINK-30397 - Y-Coordinate,STARLINK-30070 - Y-Coordinate,STARLINK-1007 - Y-Coordinate,STARLINK-6149 - Y-Coordinate,STARLINK-5436 - Y-Coordinate,STARLINK-5167 - Y-Coordinate,STARLINK-30853 - Y-Coordinate,STARLINK-30242 - Y-Coordinate,STARLINK-2437 - Y-Coordinate,STARLINK-30884 - Y-Coordinate,STARLINK-3912 - Y-Coordinate,STARLINK-3960 - Y-Coordinate,STARLINK-32237 - Y-Coordinate,STARLINK-31612 - Y-Coordinate,STARLINK-5676 - Y-Coordinate,STARLINK-3288 - Y-Coordinate,STARLINK-4395 - Y-Coordinate,STARLINK-30214 - Y-Coordinate,STARLINK-5690 - Y-Coordinate,STARLINK-5397 - Y-Coordinate,STARLINK-3739 - Y-Coordinate,STARLINK-1789 - Y-Coordinate,STARLINK-2152 - Y-Coordinate,STARLINK-3359 - Y-Coordinate,STARLINK-3894 - Y-Coordinate,STARLINK-2122 - Y-Coordinate,STARLINK-32235 - Y-Coordinate,STARLINK-2354 - Y-Coordinate,STARLINK-3271 - Y-Coordinate,STARLINK-3986 - Y-Coordinate,STARLINK-5823 - Y-Coordinate,STARLINK-6119 - Y-Coordinate,STARLINK-5885 - Y-Coordinate,STARLINK-31076 - Y-Coordinate,STARLINK-3594 - Y-Coordinate,STARLINK-3673 - Y-Coordinate,STARLINK-6261 - Y-Coordinate,STARLINK-5854 - Y-Coordinate,STARLINK-5042 - Y-Coordinate,STARLINK-5984 - Y-Coordinate,STARLINK-4165 - Y-Coordinate,STARLINK-5248 - Y-Coordinate,STARLINK-3109 - Y-Coordinate,STARLINK-5537 - Y-Coordinate,STARLINK-1378 - Y-Coordinate,STARLINK-4549 - Y-Coordinate,STARLINK-5881 - Y-Coordinate,STARLINK-2090 - Y-Coordinate,STARLINK-31244 - Y-Coordinate,STARLINK-3553 - Y-Coordinate,STARLINK-5737 - Y-Coordinate,STARLINK-6144 - Y-Coordinate,STARLINK-11094 [DTC] - Y-Coordinate,STARLINK-3586 - Y-Coordinate,STARLINK-3357 - Y-Coordinate,STARLINK-4458 - Y-Coordinate,STARLINK-1512 - Y-Coordinate,STARLINK-30317 - Y-Coordinate,STARLINK-3981 - Y-Coordinate,STARLINK-5865 - Y-Coordinate,STARLINK-2347 - Y-Coordinate,STARLINK-2587 - Y-Coordinate,STARLINK-4550 - Y-Coordinate,STARLINK-5256 - Y-Coordinate,STARLINK-1994 - Y-Coordinate,STARLINK-4172 - Y-Coordinate,STARLINK-30964 - Y-Coordinate,STARLINK-31560 - Y-Coordinate,STARLINK-5895 - Y-Coordinate,STARLINK-3284 - Y-Coordinate,STARLINK-5735 - Y-Coordinate,STARLINK-5534 - Y-Coordinate,STARLINK-3659 - Y-Coordinate,STARLINK-11272 [DTC] - Y-Coordinate,STARLINK-5011 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5952 - Z-Coordinate,STARLINK-31848 - Z-Coordinate,STARLINK-30274 - Z-Coordinate,STARLINK-3980 - Z-Coordinate,STARLINK-31055 - Z-Coordinate,STARLINK-3332 - Z-Coordinate,STARLINK-31218 - Z-Coordinate,STARLINK-31232 - Z-Coordinate,STARLINK-5204 - Z-Coordinate,STARLINK-3645 - Z-Coordinate,STARLINK-1737 - Z-Coordinate,STARLINK-31380 - Z-Coordinate,STARLINK-30126 - Z-Coordinate,STARLINK-31069 - Z-Coordinate,STARLINK-2566 - Z-Coordinate,STARLINK-32024 - Z-Coordinate,STARLINK-1560 - Z-Coordinate,STARLINK-31953 - Z-Coordinate,STARLINK-4349 - Z-Coordinate,STARLINK-2157 - Z-Coordinate,STARLINK-4038 - Z-Coordinate,STARLINK-30897 - Z-Coordinate,STARLINK-5519 - Z-Coordinate,STARLINK-6231 - Z-Coordinate,STARLINK-1205 - Z-Coordinate,STARLINK-30397 - Z-Coordinate,STARLINK-30070 - Z-Coordinate,STARLINK-1007 - Z-Coordinate,STARLINK-6149 - Z-Coordinate,STARLINK-5436 - Z-Coordinate,STARLINK-5167 - Z-Coordinate,STARLINK-30853 - Z-Coordinate,STARLINK-30242 - Z-Coordinate,STARLINK-2437 - Z-Coordinate,STARLINK-30884 - Z-Coordinate,STARLINK-3912 - Z-Coordinate,STARLINK-3960 - Z-Coordinate,STARLINK-32237 - Z-Coordinate,STARLINK-31612 - Z-Coordinate,STARLINK-5676 - Z-Coordinate,STARLINK-3288 - Z-Coordinate,STARLINK-4395 - Z-Coordinate,STARLINK-30214 - Z-Coordinate,STARLINK-5690 - Z-Coordinate,STARLINK-5397 - Z-Coordinate,STARLINK-3739 - Z-Coordinate,STARLINK-1789 - Z-Coordinate,STARLINK-2152 - Z-Coordinate,STARLINK-3359 - Z-Coordinate,STARLINK-3894 - Z-Coordinate,STARLINK-2122 - Z-Coordinate,STARLINK-32235 - Z-Coordinate,STARLINK-2354 - Z-Coordinate,STARLINK-3271 - Z-Coordinate,STARLINK-3986 - Z-Coordinate,STARLINK-5823 - Z-Coordinate,STARLINK-6119 - Z-Coordinate,STARLINK-5885 - Z-Coordinate,STARLINK-31076 - Z-Coordinate,STARLINK-3594 - Z-Coordinate,STARLINK-3673 - Z-Coordinate,STARLINK-6261 - Z-Coordinate,STARLINK-5854 - Z-Coordinate,STARLINK-5042 - Z-Coordinate,STARLINK-5984 - Z-Coordinate,STARLINK-4165 - Z-Coordinate,STARLINK-5248 - Z-Coordinate,STARLINK-3109 - Z-Coordinate,STARLINK-5537 - Z-Coordinate,STARLINK-1378 - Z-Coordinate,STARLINK-4549 - Z-Coordinate,STARLINK-5881 - Z-Coordinate,STARLINK-2090 - Z-Coordinate,STARLINK-31244 - Z-Coordinate,STARLINK-3553 - Z-Coordinate,STARLINK-5737 - Z-Coordinate,STARLINK-6144 - Z-Coordinate,STARLINK-11094 [DTC] - Z-Coordinate,STARLINK-3586 - Z-Coordinate,STARLINK-3357 - Z-Coordinate,STARLINK-4458 - Z-Coordinate,STARLINK-1512 - Z-Coordinate,STARLINK-30317 - Z-Coordinate,STARLINK-3981 - Z-Coordinate,STARLINK-5865 - Z-Coordinate,STARLINK-2347 - Z-Coordinate,STARLINK-2587 - Z-Coordinate,STARLINK-4550 - Z-Coordinate,STARLINK-5256 - Z-Coordinate,STARLINK-1994 - Z-Coordinate,STARLINK-4172 - Z-Coordinate,STARLINK-30964 - Z-Coordinate,STARLINK-31560 - Z-Coordinate,STARLINK-5895 - Z-Coordinate,STARLINK-3284 - Z-Coordinate,STARLINK-5735 - Z-Coordinate,STARLINK-5534 - Z-Coordinate,STARLINK-3659 - Z-Coordinate,STARLINK-11272 [DTC] - Z-Coordinate,STARLINK-5011 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,3268.0744,-3873.2287,-199.6655,-6707.3672,2392.7675,-5995.0534,4516.3969,415.1122,2834.0102,3351.6497,2746.6203,2381.3089,-4855.6254,3802.3061,5673.5102,4459.1399,-5776.0489,4420.2479,5962.3866,-6298.9893,-3595.5232,-4125.3855,-4916.2606,-6355.4337,4061.3065,5189.0351,-4824.3181,0.0000,-3554.9974,-5545.7909,-6649.2906,-3600.8052,-4434.2273,-2335.5485,2313.4188,6097.6716,6336.9307,0.0000,-4993.1466,-2689.7187,1931.9408,1238.3440,5519.4092,-2467.7807,1273.9480,3038.4292,-5303.4020,6545.2900,-1285.1311,1282.1087,5765.8201,-2959.3090,3743.4831,-308.1193,-1560.3572,-2362.1936,1959.8030,5922.0682,-4846.8309,-5348.9771,-183.3276,-5744.0327,3547.4271,-4334.0617,5700.8178,-4671.6979,-3210.8357,-1560.6133,-1871.7047,4517.5881,5226.6409,2979.6197,6072.0821,6020.7465,6487.6794,4610.5775,-2294.8371,1075.3622,640.6275,3853.6356,4022.2957,0.0000,5989.3715,6371.8374,-796.4300,1720.7696,-4416.9107,-1768.1772,3379.6190,4801.3798,6781.7625,-2083.9616,998.5098,3744.8939,2193.2648,4488.2844,-5254.8877,102.4116,-2596.7932,-3981.5300,-125180.9032,-126707.5295,-124856.3009,-127089.2747,-135264.0305,-133289.5316,-128400.9979,-127250.9911,-5873649.7990,-5872761.2028,-5890655.3303,-5882145.8674,-128581.6797,-5879940.7577,-3918.6664,-3151.7137,-4932.7594,-977.1342,-5136.4606,2898.7094,-170.0408,4130.1592,-4090.1060,3031.1947,3917.7033,5922.7645,2364.7344,-5783.7587,777.4902,-497.9333,-3285.2399,-3205.2051,2667.9350,2021.0200,-3441.2102,2850.1909,1222.0728,-2440.6160,973.7516,-1937.0254,-4678.9873,0.0000,-4899.9393,2784.3189,-49.6824,-5881.4093,3045.9464,-3788.5131,4591.3570,-3187.7349,2712.6298,0.0000,1307.5072,-4358.5481,-6502.2366,-1713.9415,3319.3171,-4545.3102,5185.3369,5989.6816,-1034.9932,-2114.3652,-3946.6617,-6688.3952,-772.5107,-2782.2457,2779.4289,5820.0041,4079.7935,6174.8717,4692.9711,3611.9773,4270.6131,-2253.5627,6720.3020,1608.2393,3679.1530,-2908.7566,3735.2235,-1617.2164,-4188.9175,-5764.0600,-5938.1711,-971.9816,2621.9765,-4424.9448,-192.9555,-837.7937,2171.2543,-4977.8161,-5275.1951,4174.0564,-6730.3557,-2816.1834,-1406.4502,0.0000,-3258.0696,2645.1735,-5026.5975,3769.4115,1549.2493,6647.3202,-4625.2658,3507.8010,-1228.8232,-6084.2652,-5191.0071,5053.0206,5384.8403,2614.3524,-2013.1306,4542.9230,-3106.3755,1287.2206,-305914.4464,-321347.6757,-318001.1892,-317154.1620,-319668.5650,-320471.4697,-326175.9623,-321551.2284,-106725061.2021,-106694691.2630,-106723225.5456,-106715775.2751,-322552.2957,-106709173.4532,-4696.3970,-4630.4063,4651.6144,-118.8748,3826.3578,1834.0065,-5124.7899,-5429.6941,4804.5479,-5188.2036,-4873.7568,-2426.7720,-4327.9011,257.3161,-3765.3876,5193.6435,1877.6017,-4010.8346,2304.2644,1913.7376,-4790.2339,-4672.8323,4716.2113,1335.4275,-5536.4388,4139.2576,-1586.1932,0.0000,3356.9989,3019.3865,-1828.2541,-57.4187,-4409.2460,-5304.4024,-4606.2407,-300.4562,141.9426,0.0000,-4476.1789,4661.2381,1223.1449,-6614.1339,-2597.6940,4567.3253,4427.5070,1589.5634,-4265.8939,-381.1129,5541.0484,1151.0907,3641.3398,-5416.1993,-4760.1655,3645.3346,5224.4350,2159.0034,4690.2758,-174.4593,-2436.5139,3716.8125,-1492.1656,-3507.2633,-4710.4246,4531.7936,1306.1419,-4829.8493,4460.1806,3534.7917,2941.9916,-5153.0778,-3679.3642,-4420.6518,3078.4114,-3100.2690,-700.2608,-1362.5606,-3870.1912,5151.1022,-860.7269,4930.6808,-5483.3637,0.0000,-554.5536,179.2134,-4716.0233,5488.1376,4681.2647,-592.1693,3848.6347,-3459.0505,266.3516,-2589.2309,4306.7315,2940.1867,3712.4114,-4599.0003,4050.8534,-5198.4626,5380.1719,-5469.1802,-107766.4272,-109153.6969,-107703.8369,-107743.0995,-103779.9027,-112281.3427,-117974.9167,-108734.0941,-2760154.8338,-2778222.2000,-2786550.1678,-2776503.0536,-109475.2939,-2771352.3266,
300.000,1394.6800,-5123.7948,-1961.8585,-6556.0976,1290.9466,-4726.8013,3526.0420,2496.6806,752.7613,5012.6990,3657.8934,3259.5670,-3325.3416,2403.5208,6442.8582,3366.6063,-5702.5381,3528.4062,6119.5228,-5129.3706,-5254.1390,-2708.7591,-4232.2369,-6634.4614,4296.4740,4793.1814,-5425.2195,0.0000,-5139.2958,-5324.4876,-5862.9728,-4692.6829,-3489.9953,-4240.3642,4197.5661,5302.6138,6525.3696,0.0000,-4593.5863,-4249.6298,760.3625,3138.5178,6530.2687,-4331.3168,3074.3676,4168.1902,-6229.2260,5751.7714,-3294.4621,-40.3784,4450.5465,-4288.5042,4003.7010,1231.3364,624.4683,-1376.4705,3775.3051,5414.5980,-3920.6301,-6438.5334,1079.0596,-5577.1415,4952.5447,-5792.6768,4800.9455,-5837.9331,-4896.7439,-2470.5832,-3545.3877,3204.9070,4886.5796,920.8887,4963.9608,6064.5154,6712.5748,3469.6495,-4107.9945,2847.6975,-632.2991,3266.1477,2352.4046,0.0000,5230.0585,6556.1460,-2841.5289,3560.3678,-2771.0371,-475.4117,1482.3996,6055.3543,6297.8282,-3680.1204,-928.1061,3621.4061,3145.7734,5064.5689,-4190.7072,2038.2709,-4066.4912,-2872.7875,-118823.6878,-119625.6798,-117966.2762,-120257.2489,-128495.3159,-126448.4951,-121637.2167,-120280.7259,-3536595.0263,-3535895.9775,-3552976.9322,-3544398.9227,-121776.9576,-3542875.8784,-4978.6698,-1410.3813,-5498.7938,268.0638,-6300.7395,3687.4055,-2093.5881,3455.7317,-4207.4548,1925.8027,1998.7237,4558.9880,3836.7941,-6370.2194,-608.3530,-2369.3122,-1781.6477,-4933.2404,3249.7136,2985.6512,-2624.3618,4473.1531,3245.7362,-1874.9432,-1174.7645,-3834.5733,-3102.9745,0.0000,-4135.0067,4179.6777,1218.9585,-4801.4800,4808.6537,-3097.4648,3697.9248,-4124.5059,1490.5507,0.0000,3333.8613,-2868.9679,-6826.6569,-2531.2924,2042.0802,-3637.4127,4039.3290,5499.2249,398.5602,-3127.6004,-3187.1734,-6292.2347,-2099.1899,-1050.4587,640.2779,4770.8118,4039.7875,5500.7907,3529.6789,3820.5408,5593.1476,-1134.6827,6034.7464,3389.0076,3836.8186,-1904.5564,3665.3252,-168.0481,-3716.6514,-6291.0499,-5687.5361,-2665.8843,795.8866,-4986.5176,-1566.8108,-2568.5181,977.2957,-5983.7046,-4839.0108,2866.2373,-6272.2950,-4636.3067,-256.0471,0.0000,-4219.5599,1425.7923,-4366.3691,2611.5191,2942.0742,6478.0903,-4597.3566,2668.4086,-2358.1061,-5755.7759,-5786.7642,3657.6270,3775.8049,542.5997,-694.3861,3600.3713,-1470.3492,3164.2943,-308502.9711,-324392.4812,-320712.6748,-319903.8291,-322285.8176,-323131.4179,-328737.9169,-324157.0322,-106825610.8013,-106794962.1495,-106823794.6337,-106816294.0344,-325164.1884,-106809641.6547,-4621.6677,-4258.1519,3457.1865,1695.3851,2327.9302,3426.0276,-5465.9249,-5341.8349,5436.6781,-4301.2405,-5410.3672,-3904.6705,-4703.5086,-1279.7078,-2253.5424,5491.1118,3458.4604,-3017.2941,94.6921,3488.7219,-3635.7559,-4430.5438,4412.0035,-790.3673,-5315.2981,3186.4050,-2938.6656,0.0000,2104.8116,1353.8563,-3422.3650,-1582.7355,-3615.7553,-4512.7352,-4043.7351,1508.8589,-1659.9887,0.0000,-3802.7264,4654.9683,-593.6189,-5653.0938,-1185.5156,3953.8313,4726.4517,-214.5601,-2902.3647,-2147.7203,5188.7597,2842.5343,4781.5765,-5132.2275,-5287.7945,4790.7514,5445.9052,4023.3063,4599.3801,2048.3371,-997.4622,2188.6906,-3139.5609,-2298.0320,-3008.2932,3259.2816,3409.2542,-3695.0338,3159.4928,1583.8103,1590.0804,-5525.1694,-4819.4600,-4721.0591,4388.7041,-1781.4879,1120.3806,172.0295,-2788.0744,5365.2595,-2593.6767,3866.7965,-6528.0335,0.0000,1266.9653,-1623.6002,-4582.7587,5272.4599,5241.7586,-2343.6230,4926.2727,-1876.8052,-1540.4627,-1174.9332,3486.8433,4656.3597,4838.4134,-4710.2115,5477.9855,-5528.0363,5162.3848,-5399.8284,-107892.9032,-109083.7387,-107733.2144,-108018.9359,-103827.6661,-112113.8983,-118157.5005,-109281.2419,-2759591.0457,-2776994.9350,-2786059.0929,-2776300.2384,-109574.9015,-2770677.8768,
600.000,-589.8156,-5879.5592,-3489.1542,-5713.2458,83.0584,-2977.7128,2225.9061,4338.1857,-1411.4925,6181.1846,4252.1194,3846.1935,-1497.6736,760.7777,6561.8632,1983.9349,-5085.9306,2299.2916,5607.0085,-3440.0068,-6389.2070,-1056.5882,-3178.8994,-6238.9421,4167.9908,3959.1024,-5518.9891,0.0000,-6216.9587,-4581.2597,-4497.9757,-5335.7305,-2245.8517,-5729.3929,5676.5021,3964.1311,6065.9636,0.0000,-3765.7276,-5427.8920,-494.2729,4736.0174,6909.8350,-5775.4459,4607.0862,4882.4849,-6540.1445,4373.3893,-4992.0878,-1389.3965,2703.0257,-5207.1883,3882.6498,2692.6168,2749.0757,-204.7406,5245.4614,4332.8005,-2617.7603,-6883.0656,2267.7262,-4884.2197,5836.0929,-6678.2678,3404.5125,-6441.3856,-6085.7277,-3109.6234,-4857.7372,1620.3501,4105.3831,-1220.7072,3357.6951,5501.5825,6260.1920,1988.6888,-5513.3685,4351.4649,-1868.7806,2390.7396,385.6629,0.0000,3924.0649,6091.0855,-4623.0774,5068.7778,-843.8424,889.9151,-584.4267,6692.2519,5178.8850,-4911.1067,-2737.4397,3184.9265,3838.0046,5196.3885,-2742.9075,3803.5197,-5140.3693,-1529.3785,-112413.1024,-112544.1763,-111024.3112,-113368.9614,-121672.8978,-119543.4036,-114822.6389,-113363.1216,-1197955.4805,-1197459.8160,-1213715.3497,-1205062.3496,-114919.2782,-1204229.9708,-5595.4459,444.8760,-5514.1025,1504.5058,-6818.2729,4145.7492,-3835.6999,2485.0921,-3968.6396,673.3162,-108.7073,2721.3015,4973.3585,-6344.2332,-1907.7656,-4036.1786,-71.2885,-6146.0748,3477.5177,3689.0813,-1586.9221,5672.2730,4961.4231,-1107.8341,-3196.5329,-5348.7178,-1208.6255,0.0000,-2987.0124,5145.8778,2403.2495,-3241.1151,6113.4676,-2150.8387,2480.4620,-4660.2039,101.4734,0.0000,5017.2651,-1134.0203,-6465.8357,-3005.2394,579.1314,-2410.4608,2538.4316,4456.6921,1761.7514,-3849.7275,-2169.6535,-5277.7169,-3263.3193,751.6000,-1572.0322,3267.9831,3642.6571,4295.0114,2061.5807,3588.7273,6361.7740,73.2744,4749.0463,4826.1109,3639.8627,-747.7136,3156.4137,1260.3647,-2908.8795,-6185.5201,-4885.6280,-4139.3837,-1140.0404,-5110.1235,-2824.6598,-4024.0738,-328.2005,-6406.5967,-3959.0402,1296.4087,-5168.1232,-5981.3993,841.7583,0.0000,-4758.6803,46.6472,-3327.8125,1243.4313,4056.1456,5670.1729,-4161.6881,1579.9117,-3268.0224,-4876.7374,-5818.7454,1863.3424,1796.0770,-1571.0803,752.9376,2352.7792,279.9217,4752.9869,-310961.0619,-327309.3326,-323283.2680,-322518.7755,-324761.3035,-325649.9030,-331157.9305,-326686.2877,-106874984.2593,-106844068.7155,-106873162.3178,-106865571.9493,-327632.5527,-106858932.9331,-4053.7067,-3406.0390,1868.5965,3315.4485,570.1017,4647.2131,-5198.3429,-4659.3121,5484.5037,-2944.1797,-5343.6131,-4946.3317,-4574.2488,-2679.4017,-492.0170,5184.9285,4664.7203,-1677.9759,-2125.0804,4682.7770,-2088.2650,-3698.6166,3634.2118,-2831.7825,-4527.4469,1890.2292,-3973.1347,0.0000,626.4214,-458.5419,-4644.8535,-2936.0252,-2439.3302,-3237.1536,-3043.3917,3153.2314,-3281.3798,0.0000,-2704.6156,4149.9033,-2345.7688,-4091.9634,353.0077,2911.8961,4521.2930,-1995.4374,-1221.6925,-3680.2049,4280.4736,4226.1078,5395.2753,-4260.4912,-5182.0168,5411.1083,5054.6847,5461.2599,4014.1912,4052.1520,549.7843,422.3559,-4444.5339,-841.3522,-986.6897,1635.3350,5148.2344,-2161.4543,1517.7667,-536.1233,64.5835,-5304.9576,-5439.7260,-4516.2858,5204.3392,-262.6737,2817.9947,1688.0641,-1407.6322,4950.5552,-4034.8248,2377.1326,-6880.6875,0.0000,2947.1161,-3250.3483,-3961.1284,4480.5363,5162.2367,-3841.2711,5470.3553,-88.8653,-3179.9317,365.2269,2275.3309,5876.9384,5439.6846,-4319.3867,6320.5336,-5260.7724,4344.0044,-4742.7678,-108019.4470,-109030.4158,-107766.0151,-108298.4082,-103878.5017,-111940.3010,-118335.2896,-109849.4399,-2759032.2208,-2775763.0304,-2785563.2300,-2776066.0748,-109674.4259,-2770003.3771,
