TIME_UNITS,STARLINK-5988 - X-Coordinate,STARLINK-11113 [DTC] - X-Coordinate,STARLINK-30903 - X-Coordinate,STARLINK-11117 [DTC] - X-Coordinate,STARLINK-5684 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5988 - Y-Coordinate,STARLINK-11113 [DTC] - Y-Coordinate,STARLINK-30903 - Y-Coordinate,STARLINK-11117 [DTC] - Y-Coordinate,STARLINK-5684 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5988 - Z-Coordinate,STARLINK-11113 [DTC] - Z-Coordinate,STARLINK-30903 - Z-Coordinate,STARLINK-11117 [DTC] - Z-Coordinate,STARLINK-5684 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
2700.000,1981.6936,6293.0653,5600.4602,-1608.8747,-5958.1046,175560.5409,162382.2931,173595.7664,175164.3146,177115.8607,174667.1731,169497.2310,172221.7874,25734620.3890,25713815.3586,25740264.1715,25735362.4552,172719.6245,25730615.9459,2992.7845,2146.6393,2974.4807,6185.3834,-733.5502,-333695.2782,-324246.6874,-332145.3208,-329097.8679,-320186.6376,-323667.7572,-325396.1198,-325526.0679,262319095.9459,262307704.5293,262291814.9559,262292521.3275,-326581.3697,262302730.3909,5933.2131,-909.1881,-2542.8924,-1967.5215,3448.3555,162953.9389,161823.1393,163074.8206,159896.7710,166491.4295,161370.7442,151522.2652,162029.4694,-117524554.1676,-117489837.2322,-117509847.4333,-117516733.1723,160624.5346,-117512999.3585,
3000.000,341.5424,6576.1494,6539.5882,-411.7631,-5299.9263,182781.2424,169033.4970,180292.9250,181668.2587,183940.0651,181402.1114,176366.7651,179451.7002,20004180.0363,19982898.1480,20010122.2609,20005381.8487,179560.3085,20000137.9789,1618.1286,944.7555,1628.8478,6670.8208,1135.5626,-330025.9443,-320601.7548,-328442.0790,-325354.9506,-316426.2426,-320212.2081,-321621.3098,-321988.2419,262820551.8609,262809040.8249,262793754.6443,262794315.5754,-322858.8229,262804257.2768,6732.1041,933.2219,-1114.9769,-159.9162,4304.4195,163010.3193,161808.2454,163084.8264,159738.6533,166505.7839,161667.7687,151502.3023,162227.0585,-117524179.0541,-117489421.5866,-117508858.0727,-117515844.1274,160631.3386,-117512537.3672,
3300.000,-1269.2717,6142.7770,6814.1124,829.0419,-4156.6320,189922.6528,175606.7121,186909.6684,188068.0197,190682.4620,188049.2258,183153.7985,186618.2965,14264108.7478,14242349.9705,14270320.9843,14265744.5049,186320.8138,14260025.9106,1.2415,-371.2468,128.7570,6418.6300,2923.0171,-326194.4456,-316821.5428,-324593.9363,-321456.8474,-312523.3614,-316646.9772,-317702.0583,-318352.5678,263196831.2024,263185180.8004,263170536.8532,263170971.4289,-318993.0494,263180605.4441,6814.1607,2665.3840,437.6822,1666.7407,4698.3078,163064.7133,161792.8540,163090.0727,159590.6575,166517.2533,161952.8188,151486.5968,162308.6771,-117523798.4004,-117489009.2327,-117507872.6775,-117514946.8907,160638.0543,-117512075.0998,
3600.000,-2673.6294,5045.9802,6396.6436,1998.0274,-2642.8661,196981.0321,182099.0986,193443.1306,194360.2105,197340.0996,194604.5673,189855.2740,193690.6397,8517140.5745,8494905.5478,8523593.5015,8519181.3697,192998.1429,8513013.8881,-1681.7316,-1677.1731,-1388.7662,5457.6593,4456.9827,-322202.8745,-312907.6561,-320602.6011,-317401.4133,-308479.7718,-312975.8713,-313640.1902,-314604.5823,263447752.4939,263435942.9399,263421978.4353,263422306.5394,-314985.7753,263431593.2813,6170.4840,4082.6868,1941.3020,3294.3202,4587.8018,163117.2178,161776.9904,163090.5622,159456.7981,166525.8520,162219.8925,151475.1337,162267.4580,-117523412.1698,-117488600.0955,-117506891.8027,-117514042.2322,160644.6817,-117511612.5563,
3900.000,-3724.0076,3411.4835,5331.1190,2985.2002,-905.6064,203952.7124,188507.8551,199890.4819,200542.6629,203910.0637,201064.2552,196468.1771,200637.0898,2766012.9000,2743302.9356,2772676.4112,2768426.6754,199589.3354,2761839.3960,-3240.3561,-2846.1596,-2784.1954,3896.4720,5586.8676,-318053.3832,-308861.7615,-316469.8408,-313185.9510,-304297.3150,-309201.7878,-309437.5961,-310728.6448,263573193.9665,263561205.4579,263547955.9043,263548198.0674,-310838.7889,263557098.8894,4869.0409,5017.9138,3227.4215,4528.5158,3984.7213,163167.9214,161760.6780,163086.3067,159342.0145,166531.5932,162461.4314,151467.8996,162105.2305,-117523020.3277,-117488194.1014,-117505915.9818,-117513131.0023,160651.2207,-117511149.7368,
4200.000,-4318.1814,1422.6431,3728.0228,3696.0906,890.1295,210834.0961,194830.2189,206248.9299,206615.0736,210389.4789,207424.6932,202989.5380,207427.3177,-2986534.8640,-3009717.7816,-2979691.5504,-2983783.3564,206091.4695,-2990758.0468,-4491.4892,-3760.7841,-3928.2508,1910.4855,6198.1985,-313748.1838,-304685.5865,-312197.4816,-308807.4750,-299977.8942,-305325.9604,-305096.2307,-306708.9940,263573093.6187,263560906.3577,263548405.5014,263548582.7276,-306553.9409,263557060.1411,3047.9414,5360.9335,4152.0122,5222.2488,2953.6960,163216.9059,161743.9386,163077.3266,159252.1006,166534.4888,162668.3391,151464.8828,161832.8900,-117522622.8420,-117487791.1787,-117504945.7255,-117512214.1408,160657.6713,-117510686.6411,
4500.000,-4409.5877,-700.5877,1752.5091,4060.3527,2576.9471,217621.6542,201063.4678,212515.7207,212579.6824,216775.5101,213682.9100,209416.4323,214034.5417,-8737762.5822,-8761415.7957,-8730770.8145,-8734711.8097,212501.6629,-8742038.1926,-5281.1156,-4324.5956,-4713.7104,-278.3724,6224.4899,-309289.5489,-300380.9183,-307787.4078,-304263.2960,-295523.4745,-301347.0413,-300618.1125,-302530.8651,263447449.2469,263435043.4623,263423323.2342,263423456.8043,-302133.1426,263431474.7113,901.2440,5071.3781,4611.6646,5293.0059,1605.3663,163264.2465,161726.7927,163063.6514,159193.3438,166534.5498,162830.4290,151466.0732,161470.1372,-117522219.6830,-117487391.2572,-117503981.5207,-117511292.6887,160664.0336,-117510223.2694,
4800.000,-4011.0200,-2726.0943,-392.9955,4038.3809,4000.7481,224311.9255,207204.9202,218688.1397,218441.6908,223065.3637,219836.9872,215745.9825,220437.8036,-14484930.7005,-14509050.8806,-14477822.2837,-14481622.3678,218817.0747,-14489261.3701,-5503.7366,-4472.1515,-5065.2108,-2426.7462,5654.8028,-304679.8115,-295949.6032,-303241.5605,-299551.9747,-290936.0817,-297260.2855,-296005.3220,-298181.6099,263196318.4465,263183674.4162,263172764.8868,263172876.1363,-297578.3659,263180400.0797,-1341.7598,4183.2309,4555.0327,4732.3568,84.5714,163310.0129,161709.2593,163045.3192,159171.7420,166531.7860,162937.5409,151471.4623,161044.4392,-117521810.8236,-117486994.2685,-117503023.8295,-117510367.7991,160670.3076,-117509759.6216,
5100.000,-3190.9867,-4434.9864,-2489.7078,3625.5859,5034.9215,230901.5161,213251.9364,224763.5126,224208.9785,229256.2888,225886.4237,221975.3598,226624.0091,-20225301.5514,-20249884.6980,-20218108.6381,-20221780.6036,225034.9057,-20229689.7892,-5116.4508,-4176.7458,-4946.2999,-4296.9205,4535.9235,-299921.3647,-291393.5451,-298561.9375,-294674.4790,-286217.8012,-293057.3352,-291260.0012,-293651.7254,262819818.5866,262806916.6588,262796846.0009,262796956.0726,-292891.6418,262803953.5041,-3441.6470,2801.0089,3988.4397,3606.9267,-1445.3260,163354.2694,161691.3562,163022.3767,159191.8182,166526.2062,162981.3547,151481.0435,160589.1385,-117521396.2389,-117486600.1454,-117502073.0885,-117509440.7506,160676.4931,-117509295.6977,
5400.000,-2063.2117,-5645.5169,-4324.8464,2853.9555,5591.5770,237387.0987,219201.9195,230739.2064,229890.7906,235345.5791,231832.1891,228101.7845,232589.4055,-25956140.6574,-25981182.1018,-25948895.6394,-25952455.2656,231152.4007,-25960588.8456,-4145.4909,-3454.9266,-4363.2503,-5683.2622,2968.6613,-295016.6614,-286714.7045,-293750.5921,-289635.0715,-281370.7774,-288727.1188,-286384.3522,-288935.6662,262318126.7543,262304947.3696,262295741.8290,262295871.3973,-288075.0598,262302311.9660,-5175.1422,1087.7770,2975.1910,2050.7569,-2820.2271,163397.0761,161673.1002,162994.8796,159255.3687,166517.8183,162957.4452,151494.8113,160140.7697,-117520975.9066,-117486208.8227,-117501129.7080,-117508512.9615,160682.5903,-117508831.4977,
