sl_100_86400_20290909 Coordinates.csv
2029/09/09 07:47:00.0000 UTC

Generated: Tue Oct  8 21:47:49 2024,
Start: 2029/09/09 07:47:00.00, Stop: 2029/09/10 07:47:00.00,
TIME_UNITS,STARLINK-11104 [DTC] - X-Coordinate,STARLINK-4487 - X-Coordinate,STARLINK-31541 - X-Coordinate,STARLINK-3586 - X-Coordinate,STARLINK-30864 - X-Coordinate,STARLINK-5587 - X-Coordinate,STARLINK-30866 - X-Coordinate,STARLINK-3744 - X-Coordinate,STARLINK-4439 - X-Coordinate,STARLINK-1728 - X-Coordinate,STARLINK-31873 - X-Coordinate,STARLINK-30306 - X-Coordinate,STARLINK-30835 - X-Coordinate,STARLINK-4791 - X-Coordinate,STARLINK-2455 - X-Coordinate,STARLINK-31784 - X-Coordinate,STARLINK-3994 - X-Coordinate,STARLINK-30582 - X-Coordinate,STARLINK-5675 - X-Coordinate,STARLINK-3148 - X-Coordinate,STARLINK-4793 - X-Coordinate,STARLINK-1505 - X-Coordinate,STARLINK-5249 - X-Coordinate,STARLINK-1328 - X-Coordinate,STARLINK-30761 - X-Coordinate,STARLINK-2315 - X-Coordinate,STARLINK-4506 - X-Coordinate,STARLINK-2547 - X-Coordinate,STARLINK-4486 - X-Coordinate,STARLINK-30802 - X-Coordinate,STARLINK-6354 - X-Coordinate,STARLINK-5142 - X-Coordinate,STARLINK-3742 - X-Coordinate,STARLINK-5611 - X-Coordinate,STARLINK-31746 - X-Coordinate,STARLINK-30917 - X-Coordinate,STARLINK-6069 - X-Coordinate,STARLINK-3138 - X-Coordinate,STARLINK-4468 - X-Coordinate,STARLINK-5273 - X-Coordinate,STARLINK-5913 - X-Coordinate,STARLINK-1368 - X-Coordinate,STARLINK-2267 - X-Coordinate,STARLINK-4351 - X-Coordinate,STARLINK-4304 - X-Coordinate,STARLINK-31598 - X-Coordinate,STARLINK-1147 - X-Coordinate,STARLINK-30525 - X-Coordinate,STARLINK-4121 - X-Coordinate,STARLINK-32170 - X-Coordinate,STARLINK-4061 - X-Coordinate,STARLINK-30898 - X-Coordinate,STARLINK-3318 - X-Coordinate,STARLINK-30359 - X-Coordinate,STARLINK-31676 - X-Coordinate,STARLINK-3767 - X-Coordinate,STARLINK-5848 - X-Coordinate,STARLINK-5935 - X-Coordinate,STARLINK-3181 - X-Coordinate,STARLINK-30039 - X-Coordinate,STARLINK-31456 - X-Coordinate,STARLINK-4080 - X-Coordinate,STARLINK-4647 - X-Coordinate,STARLINK-30136 - X-Coordinate,STARLINK-30287 - X-Coordinate,STARLINK-5954 - X-Coordinate,STARLINK-4590 - X-Coordinate,STARLINK-3332 - X-Coordinate,STARLINK-30554 - X-Coordinate,STARLINK-5653 - X-Coordinate,STARLINK-3098 - X-Coordinate,STARLINK-5311 - X-Coordinate,STARLINK-31137 - X-Coordinate,STARLINK-6324 - X-Coordinate,STARLINK-2468 - X-Coordinate,STARLINK-3957 - X-Coordinate,STARLINK-32005 - X-Coordinate,STARLINK-6302 - X-Coordinate,STARLINK-3736 - X-Coordinate,STARLINK-5511 - X-Coordinate,STARLINK-5850 - X-Coordinate,STARLINK-30373 - X-Coordinate,STARLINK-2022 - X-Coordinate,STARLINK-31996 - X-Coordinate,STARLINK-6178 - X-Coordinate,STARLINK-31675 - X-Coordinate,STARLINK-1335 - X-Coordinate,STARLINK-3884 - X-Coordinate,STARLINK-3793 - X-Coordinate,STARLINK-31257 - X-Coordinate,STARLINK-5201 - X-Coordinate,STARLINK-31497 - X-Coordinate,STARLINK-4494 - X-Coordinate,STARLINK-11093 [DTC] - X-Coordinate,STARLINK-5169 - X-Coordinate,STARLINK-5002 - X-Coordinate,STARLINK-30908 - X-Coordinate,STARLINK-4193 - X-Coordinate,STARLINK-6280 - X-Coordinate,STARLINK-31504 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-11104 [DTC] - Y-Coordinate,STARLINK-4487 - Y-Coordinate,STARLINK-31541 - Y-Coordinate,STARLINK-3586 - Y-Coordinate,STARLINK-30864 - Y-Coordinate,STARLINK-5587 - Y-Coordinate,STARLINK-30866 - Y-Coordinate,STARLINK-3744 - Y-Coordinate,STARLINK-4439 - Y-Coordinate,STARLINK-1728 - Y-Coordinate,STARLINK-31873 - Y-Coordinate,STARLINK-30306 - Y-Coordinate,STARLINK-30835 - Y-Coordinate,STARLINK-4791 - Y-Coordinate,STARLINK-2455 - Y-Coordinate,STARLINK-31784 - Y-Coordinate,STARLINK-3994 - Y-Coordinate,STARLINK-30582 - Y-Coordinate,STARLINK-5675 - Y-Coordinate,STARLINK-3148 - Y-Coordinate,STARLINK-4793 - Y-Coordinate,STARLINK-1505 - Y-Coordinate,STARLINK-5249 - Y-Coordinate,STARLINK-1328 - Y-Coordinate,STARLINK-30761 - Y-Coordinate,STARLINK-2315 - Y-Coordinate,STARLINK-4506 - Y-Coordinate,STARLINK-2547 - Y-Coordinate,STARLINK-4486 - Y-Coordinate,STARLINK-30802 - Y-Coordinate,STARLINK-6354 - Y-Coordinate,STARLINK-5142 - Y-Coordinate,STARLINK-3742 - Y-Coordinate,STARLINK-5611 - Y-Coordinate,STARLINK-31746 - Y-Coordinate,STARLINK-30917 - Y-Coordinate,STARLINK-6069 - Y-Coordinate,STARLINK-3138 - Y-Coordinate,STARLINK-4468 - Y-Coordinate,STARLINK-5273 - Y-Coordinate,STARLINK-5913 - Y-Coordinate,STARLINK-1368 - Y-Coordinate,STARLINK-2267 - Y-Coordinate,STARLINK-4351 - Y-Coordinate,STARLINK-4304 - Y-Coordinate,STARLINK-31598 - Y-Coordinate,STARLINK-1147 - Y-Coordinate,STARLINK-30525 - Y-Coordinate,STARLINK-4121 - Y-Coordinate,STARLINK-32170 - Y-Coordinate,STARLINK-4061 - Y-Coordinate,STARLINK-30898 - Y-Coordinate,STARLINK-3318 - Y-Coordinate,STARLINK-30359 - Y-Coordinate,STARLINK-31676 - Y-Coordinate,STARLINK-3767 - Y-Coordinate,STARLINK-5848 - Y-Coordinate,STARLINK-5935 - Y-Coordinate,STARLINK-3181 - Y-Coordinate,STARLINK-30039 - Y-Coordinate,STARLINK-31456 - Y-Coordinate,STARLINK-4080 - Y-Coordinate,STARLINK-4647 - Y-Coordinate,STARLINK-30136 - Y-Coordinate,STARLINK-30287 - Y-Coordinate,STARLINK-5954 - Y-Coordinate,STARLINK-4590 - Y-Coordinate,STARLINK-3332 - Y-Coordinate,STARLINK-30554 - Y-Coordinate,STARLINK-5653 - Y-Coordinate,STARLINK-3098 - Y-Coordinate,STARLINK-5311 - Y-Coordinate,STARLINK-31137 - Y-Coordinate,STARLINK-6324 - Y-Coordinate,STARLINK-2468 - Y-Coordinate,STARLINK-3957 - Y-Coordinate,STARLINK-32005 - Y-Coordinate,STARLINK-6302 - Y-Coordinate,STARLINK-3736 - Y-Coordinate,STARLINK-5511 - Y-Coordinate,STARLINK-5850 - Y-Coordinate,STARLINK-30373 - Y-Coordinate,STARLINK-2022 - Y-Coordinate,STARLINK-31996 - Y-Coordinate,STARLINK-6178 - Y-Coordinate,STARLINK-31675 - Y-Coordinate,STARLINK-1335 - Y-Coordinate,STARLINK-3884 - Y-Coordinate,STARLINK-3793 - Y-Coordinate,STARLINK-31257 - Y-Coordinate,STARLINK-5201 - Y-Coordinate,STARLINK-31497 - Y-Coordinate,STARLINK-4494 - Y-Coordinate,STARLINK-11093 [DTC] - Y-Coordinate,STARLINK-5169 - Y-Coordinate,STARLINK-5002 - Y-Coordinate,STARLINK-30908 - Y-Coordinate,STARLINK-4193 - Y-Coordinate,STARLINK-6280 - Y-Coordinate,STARLINK-31504 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-11104 [DTC] - Z-Coordinate,STARLINK-4487 - Z-Coordinate,STARLINK-31541 - Z-Coordinate,STARLINK-3586 - Z-Coordinate,STARLINK-30864 - Z-Coordinate,STARLINK-5587 - Z-Coordinate,STARLINK-30866 - Z-Coordinate,STARLINK-3744 - Z-Coordinate,STARLINK-4439 - Z-Coordinate,STARLINK-1728 - Z-Coordinate,STARLINK-31873 - Z-Coordinate,STARLINK-30306 - Z-Coordinate,STARLINK-30835 - Z-Coordinate,STARLINK-4791 - Z-Coordinate,STARLINK-2455 - Z-Coordinate,STARLINK-31784 - Z-Coordinate,STARLINK-3994 - Z-Coordinate,STARLINK-30582 - Z-Coordinate,STARLINK-5675 - Z-Coordinate,STARLINK-3148 - Z-Coordinate,STARLINK-4793 - Z-Coordinate,STARLINK-1505 - Z-Coordinate,STARLINK-5249 - Z-Coordinate,STARLINK-1328 - Z-Coordinate,STARLINK-30761 - Z-Coordinate,STARLINK-2315 - Z-Coordinate,STARLINK-4506 - Z-Coordinate,STARLINK-2547 - Z-Coordinate,STARLINK-4486 - Z-Coordinate,STARLINK-30802 - Z-Coordinate,STARLINK-6354 - Z-Coordinate,STARLINK-5142 - Z-Coordinate,STARLINK-3742 - Z-Coordinate,STARLINK-5611 - Z-Coordinate,STARLINK-31746 - Z-Coordinate,STARLINK-30917 - Z-Coordinate,STARLINK-6069 - Z-Coordinate,STARLINK-3138 - Z-Coordinate,STARLINK-4468 - Z-Coordinate,STARLINK-5273 - Z-Coordinate,STARLINK-5913 - Z-Coordinate,STARLINK-1368 - Z-Coordinate,STARLINK-2267 - Z-Coordinate,STARLINK-4351 - Z-Coordinate,STARLINK-4304 - Z-Coordinate,STARLINK-31598 - Z-Coordinate,STARLINK-1147 - Z-Coordinate,STARLINK-30525 - Z-Coordinate,STARLINK-4121 - Z-Coordinate,STARLINK-32170 - Z-Coordinate,STARLINK-4061 - Z-Coordinate,STARLINK-30898 - Z-Coordinate,STARLINK-3318 - Z-Coordinate,STARLINK-30359 - Z-Coordinate,STARLINK-31676 - Z-Coordinate,STARLINK-3767 - Z-Coordinate,STARLINK-5848 - Z-Coordinate,STARLINK-5935 - Z-Coordinate,STARLINK-3181 - Z-Coordinate,STARLINK-30039 - Z-Coordinate,STARLINK-31456 - Z-Coordinate,STARLINK-4080 - Z-Coordinate,STARLINK-4647 - Z-Coordinate,STARLINK-30136 - Z-Coordinate,STARLINK-30287 - Z-Coordinate,STARLINK-5954 - Z-Coordinate,STARLINK-4590 - Z-Coordinate,STARLINK-3332 - Z-Coordinate,STARLINK-30554 - Z-Coordinate,STARLINK-5653 - Z-Coordinate,STARLINK-3098 - Z-Coordinate,STARLINK-5311 - Z-Coordinate,STARLINK-31137 - Z-Coordinate,STARLINK-6324 - Z-Coordinate,STARLINK-2468 - Z-Coordinate,STARLINK-3957 - Z-Coordinate,STARLINK-32005 - Z-Coordinate,STARLINK-6302 - Z-Coordinate,STARLINK-3736 - Z-Coordinate,STARLINK-5511 - Z-Coordinate,STARLINK-5850 - Z-Coordinate,STARLINK-30373 - Z-Coordinate,STARLINK-2022 - Z-Coordinate,STARLINK-31996 - Z-Coordinate,STARLINK-6178 - Z-Coordinate,STARLINK-31675 - Z-Coordinate,STARLINK-1335 - Z-Coordinate,STARLINK-3884 - Z-Coordinate,STARLINK-3793 - Z-Coordinate,STARLINK-31257 - Z-Coordinate,STARLINK-5201 - Z-Coordinate,STARLINK-31497 - Z-Coordinate,STARLINK-4494 - Z-Coordinate,STARLINK-11093 [DTC] - Z-Coordinate,STARLINK-5169 - Z-Coordinate,STARLINK-5002 - Z-Coordinate,STARLINK-30908 - Z-Coordinate,STARLINK-4193 - Z-Coordinate,STARLINK-6280 - Z-Coordinate,STARLINK-31504 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-4042.6307,-3993.5197,5439.4387,-1709.7347,-2219.3721,846.3607,6252.0622,3799.6225,1400.5140,5201.0534,-4426.0611,-6133.5167,38.3363,-4230.0605,-6066.1658,4689.9069,-3290.1302,-6701.6798,6689.0503,6383.2629,2788.7686,0.0000,5854.8597,-3964.7785,-3261.3282,4059.6530,2381.3424,1777.7550,-2448.5640,-2628.7754,-5632.0450,-3275.7193,-3744.7560,-959.8933,2887.8300,4776.0649,-105.1517,4188.3997,-4630.2899,-1983.3004,-2291.5420,-4313.7506,5617.3688,-1090.0305,2236.8024,5836.6074,-4385.9326,6856.8660,-5249.6890,-5103.9177,4022.9083,2668.8362,5430.4531,5083.6045,-1006.8768,-121.2731,-1286.3901,3357.9067,4155.7108,652.3353,-2276.8589,991.8970,4682.5412,1194.7687,6075.7686,3835.7953,5325.2939,-1221.8352,6524.2639,6655.9471,2635.4086,0.0000,-2034.3191,-6911.3358,322.1374,4905.0686,3297.7518,3747.5377,-700.5072,1917.1049,3173.8146,4816.1657,2322.2895,-3517.2683,5244.0055,-3480.1974,-6722.2900,3192.7829,1036.0799,-3247.5985,-4401.4783,-1441.9420,-2586.4540,2311.3373,-5370.5295,5908.6369,-1765.8406,5253.9599,5600.1925,-3710.7225,-109955.0604,-98466.7639,-116946.7113,-113809.9287,-105768.8247,-107957.4358,-113191.3043,-111763.4301,120907731.0002,120890380.8438,120886543.0568,120897835.3991,-112808.6186,120893941.4150,256.6030,1016.1819,1351.9985,6045.0758,6406.9889,-5389.5904,477.2212,2196.9879,2973.8565,4399.9614,-5153.9671,-787.1523,-6524.4357,-189.1422,640.5403,1682.5786,-5628.1561,-254.9447,-1444.0700,-1911.9078,-6019.7131,0.0000,-2561.8999,-5649.0898,-5658.0974,877.9606,5181.9537,6253.4529,4590.2168,4911.6769,3775.2731,5312.0497,1755.3339,3668.9570,4484.2903,-3568.3624,6476.2470,-97.1558,-1444.7661,-3604.9639,3259.2931,871.9847,-3897.7461,1640.5607,-3471.1011,-3502.7873,-5341.5545,910.8837,288.2948,1189.5584,970.9985,3502.5965,-448.0212,449.2335,-6256.3443,5785.7147,-2042.6969,-5347.4941,1358.9230,6712.6759,4391.7610,6364.8645,4883.2398,-6740.6915,-2781.1749,3083.5616,4074.7674,5944.1725,2355.2322,-1042.5980,-5544.1512,0.0000,-6385.9217,462.0084,4655.4008,4561.4483,5967.7656,5170.6654,-6411.4942,5798.8975,-5776.9931,2346.7265,-5991.4955,-3572.6935,-1776.8747,3575.1322,239.4981,2958.5650,-6599.0346,3829.5226,-317.2228,-4634.2928,-6397.0868,-3566.4193,3989.1627,-2963.0288,-5415.3267,-4374.4728,3204.1901,5266.5330,330382.5059,356281.5296,338852.6616,337594.0836,340483.8985,341504.9041,346493.0999,344340.6844,190603036.3468,190587680.8534,190589392.9934,190585951.7368,342872.7015,190588218.7900,5381.3021,5505.6499,3838.2971,-2598.5719,-1506.8211,4263.6497,2921.2802,-5281.7752,6065.0257,824.8359,796.2977,3110.6883,-2309.9561,-5351.6584,-2644.0795,4643.9143,-2200.3735,1807.5085,964.1751,1797.5421,1700.8994,0.0000,-2600.8451,208.8068,2335.7669,5493.2457,3901.3790,-1573.5785,4509.5068,3972.6875,-1442.6295,-2938.8647,5476.5509,-5802.6494,-4309.1183,3522.9280,-2594.2092,5472.9098,-4927.0576,5498.2377,-5712.5591,5233.4295,671.6116,6641.8489,-5519.6848,-645.8881,104.2284,-293.0403,4455.2140,4346.8193,5511.1626,5222.7228,4221.9032,-4673.5146,-2418.4361,-3816.2425,6533.2072,-2907.2981,5219.1252,-1615.1033,-4720.4727,-2475.0539,-1456.2984,1120.7935,-1809.2750,4881.4415,1673.5119,3288.5002,-108.1096,1569.0791,3149.1087,0.0000,1366.7575,-104.6144,5008.7601,-1538.9097,660.3783,-2668.5037,1666.7101,-3283.9829,-2187.1709,-4367.7393,-2513.3657,4402.2118,-4178.4032,4607.5404,1042.4642,-5335.1799,-1777.3177,-4656.2832,5310.0264,4778.6571,-49.2104,5228.7964,-1740.9536,1982.7981,3922.5384,764.5355,-2521.2130,-2172.6878,-26606.1350,-29375.6473,-24688.3796,-25686.4873,-21108.3083,-28963.1323,-35420.2703,-26823.2641,-77288873.8271,-77265974.8302,-77301431.2183,-77280185.4426,-26796.5889,-77286104.7268,
3600.000,3064.8228,2943.8348,-4083.3948,-237.2592,29.4335,2187.7459,-6614.6768,-4491.6072,228.4440,-5395.9476,5189.3265,6719.2360,2272.9603,5118.5098,1884.7680,-5616.1832,3928.1312,6435.0609,-5352.8805,-5493.6897,-953.5940,0.0000,-5222.5710,4420.7307,4621.4392,-4557.6383,-4551.7500,-3572.3064,865.0573,1078.4932,3004.1469,1937.9858,2256.7322,217.7997,-6073.0162,-1061.3173,-861.9436,-3304.6565,3528.7224,5657.8894,-2129.3795,4582.6787,-3596.4055,5696.3537,1400.6835,-3670.5745,4720.4493,-5954.5347,2324.4400,5547.0433,-5140.2073,-6152.7793,-6331.2076,-4606.9711,3960.5067,-1766.1255,5254.5472,-636.5512,-6243.2588,-2774.4930,272.3314,-2903.5695,-5331.1601,1510.3363,-4762.4260,722.6159,-4679.4610,-2008.9608,-5728.5068,-5780.9185,-1260.4668,0.0000,4088.2170,5476.9142,-3568.6706,-4541.2202,-4015.9006,-4852.0949,2803.7667,-4432.1853,-1160.5324,-5092.3846,-755.2908,4140.8871,-2374.9900,-398.9462,5423.9775,-4986.0998,1387.2597,-521.6625,5696.3362,4523.2681,3583.8849,2694.0772,2207.4337,-2655.3813,4693.2615,-2414.8981,-5131.6785,-479.6721,-188623.6140,-183993.6164,-199836.5624,-196658.9318,-187374.7494,-192114.5346,-194533.3685,-195494.6371,67416598.4305,67401077.1772,67394960.7631,67408408.2139,-194817.4835,67403953.7744,-5019.1756,-5068.5911,3204.2822,-6415.6812,-6610.6327,6399.1486,1925.3025,2384.0899,-6646.9670,-2310.4994,1869.2248,-1626.4739,6383.5704,-3766.8387,-3518.6892,2582.6561,2105.9381,-1875.2918,3433.1367,3269.8579,6142.3667,0.0000,4108.9445,3248.5958,2430.1715,3352.7342,-5203.6218,-4426.2048,-6801.7997,-6754.3237,-2846.2348,-6449.3337,-5603.3436,-6661.1746,-2860.9679,4972.5745,-3397.6119,4329.6560,-2853.1756,1489.4328,-2010.6226,-4604.1509,4577.8620,-1946.4268,5622.5385,4347.7474,3156.4867,1480.9014,-3587.9547,-3954.6434,2945.7518,-2131.6680,2729.0461,3613.9637,3006.0613,-6695.3755,966.3249,3097.8589,1844.9959,-6011.9017,-6776.3170,-3305.1530,-3340.1443,5415.8403,4643.8003,-583.4366,-994.6882,-3672.2934,-379.2032,3138.2207,6683.8122,0.0000,3398.4575,-2626.7935,-5636.4251,-1308.9274,-3123.2017,-1605.0360,4923.2924,-5328.7331,6690.4930,1873.7401,6576.3732,-1937.3037,4705.6780,-6003.3225,-2069.6042,1204.2736,4520.6767,-6007.8879,-2990.6219,849.9338,4298.1153,4662.7402,-4203.6385,3775.3117,5020.7617,4521.0606,408.5472,-5002.9068,294422.4866,319605.1618,301092.5419,301293.4942,301506.8941,302697.0466,306986.0587,302011.3252,215433802.9769,215422813.3032,215413091.4617,215425397.6079,303654.9290,215418804.3252,-3303.0480,-3618.7333,-4396.0350,-2237.6317,-2139.8352,-1516.4344,656.0892,4598.2403,-1884.3656,3548.0560,-4052.9115,395.2563,-1407.3812,2465.6577,5303.4236,-2880.1537,5227.3522,1814.1780,2697.0876,2594.8567,2869.6307,0.0000,-1856.3308,-4198.1830,-4577.0634,-3948.7703,152.0306,-3522.0098,-698.2545,318.4869,5544.5451,-1491.4820,-3281.5658,1892.8135,1389.5132,-4714.4486,6017.0840,-4243.9014,5199.6423,-3618.3689,6303.2334,-2169.5677,3641.3785,-3459.2500,3715.7023,-3795.7937,3933.5783,-3213.8281,-5419.8343,-134.4772,-3544.5524,-2093.1605,-256.0827,3672.1460,4600.3004,-265.2896,-4487.7938,6173.7326,-2025.7240,-2070.4005,841.3723,5301.6525,-2888.7380,-4073.1325,-1921.5649,-6882.4483,-4997.8084,-5500.4678,-3901.2173,2136.1409,1170.9992,0.0000,-4312.5847,-3338.8484,-1578.9798,4976.6029,-4593.6534,4653.2045,3498.2339,-168.2147,-1461.5847,4267.0839,-1940.6414,-4873.2911,4493.8477,-3169.6817,3547.4181,4576.3983,5027.4229,3227.8121,-2535.7055,-5035.2303,-4044.6365,-4065.8037,5010.4167,-5141.0054,-820.7761,-4596.4357,4620.9741,4566.2369,-28551.2951,-31144.7334,-25918.0973,-29401.1078,-22404.6864,-27011.3962,-37544.4447,-28498.1810,-77332929.7657,-77305015.0673,-77338870.1507,-77326486.3224,-28361.8847,-77327225.9343,
7200.000,-1230.0737,-1598.0570,1801.9739,2750.5641,2657.7214,-4081.2616,4354.7762,4331.8323,-2391.8454,3775.8175,-4552.8425,-4687.3495,-4030.7422,-3859.0100,2821.2912,4385.6298,-4327.9153,-3818.9481,1801.5947,1899.0197,-2200.6756,0.0000,1925.0700,-4066.6687,-5401.9309,4049.0820,4751.0365,4030.9711,936.9966,1153.8762,1682.3547,692.9766,-670.5146,-48.5427,6370.8409,-2696.5437,3280.7926,2188.1759,-2435.3370,-6832.2457,5798.7568,-3053.8328,-668.6063,-6689.4418,-3500.2526,-846.1625,-4052.9318,3023.2405,381.1180,-2918.0946,4785.1155,6327.8904,4324.7154,3273.5874,-5929.2449,2937.5289,-6915.9554,-3574.2574,5196.1603,4352.8876,1582.4049,4998.7596,4299.0604,-4484.5367,1380.7060,-2970.3431,3292.3648,5386.6579,3159.3166,2550.8976,-1063.2036,0.0000,-5366.7422,-2095.4282,4640.4284,3421.4904,4108.2633,5271.9390,-4099.9521,5272.8702,-1601.1246,4431.1870,-1701.1823,-3447.1854,-482.5241,3378.8193,-1208.2619,5577.1359,-4456.4173,3345.8478,-4969.0591,-6268.1499,-4148.6060,-5378.7623,2225.8018,-1766.6041,-5669.4347,-2063.9997,3817.1916,4835.0267,-256757.2702,-257500.6908,-270062.5182,-265413.7312,-256713.1238,-267061.4309,-263377.4874,-264010.8882,9313954.0310,9297712.8376,9295946.7945,9300120.3925,-264384.7266,9302359.6023,6421.9389,6662.1980,-6381.9367,3244.3372,4564.6371,-5163.2376,-3767.6886,-5270.5498,5437.1195,-1672.6983,2645.4883,3537.9883,-3698.8894,5149.3930,5411.9683,-5108.3793,2450.0199,3806.9055,-4773.3981,-3934.8096,-3561.2876,0.0000,-4239.5651,1027.0736,1547.3013,-5577.5192,2855.6263,-792.3189,5804.5517,5117.7280,2325.4110,4771.0097,6737.1225,6175.3018,316.6689,-5622.8137,-456.4243,-6540.1810,6081.4017,264.5515,1923.8662,5606.8984,-4080.4379,-311.6359,-5909.6051,-4030.3043,961.8655,-4058.3307,6265.7519,4504.6270,-4918.7560,288.3843,-3701.1222,-6080.6006,1194.6081,4694.3908,-914.1186,-1087.1158,-3472.4877,2991.2106,5564.1117,-634.4429,-198.8529,-2662.7064,-5119.0803,-4059.9540,-3202.3380,1030.9619,-2699.4191,-4574.3809,-4882.1121,0.0000,981.4612,4609.8783,4062.6152,-3186.6273,-1563.1380,-2462.3751,287.3733,2818.7535,-5266.8907,-5095.4795,-4303.5724,5683.2474,-6591.1601,5848.6119,3923.3740,-3955.6918,-1313.1878,5948.0623,4432.2696,2241.4660,-72.0047,-4024.2148,4057.5983,-4428.0569,-2809.6246,-3829.5862,-4280.1273,3378.1422,240315.9092,262693.1217,244226.8498,247999.8947,243477.0994,244508.7123,248631.6321,246906.2278,225561444.1880,225555161.3712,225534901.7200,225554850.7692,245216.0565,225546795.9587,-1650.2655,-699.6075,1489.5718,5289.9458,4499.1135,-2177.7018,-3845.2471,-749.5727,-3536.1314,-5487.7013,4361.3248,-3677.6926,4226.9978,2249.3635,-2636.4202,-1083.8249,-4757.0785,-4387.3895,-4667.7691,-5351.3946,-5428.6522,0.0000,5077.5807,5473.5242,4063.0134,-195.6948,-4141.9539,5266.2746,-3601.8897,-4405.0457,-6310.2138,4918.9623,-1182.1784,3127.5276,2495.5682,3015.7688,-6140.8268,253.4590,-2202.5033,-737.8291,-3336.1241,-2475.8351,-5493.4868,-1825.1855,514.7678,5447.8700,-5523.1326,4715.1010,2851.2274,-4204.6044,-736.4913,-2581.7519,-3904.9209,-384.9749,-3070.4413,4152.8705,-73.1890,-5860.6874,-2728.0532,4483.0221,3631.5101,-4716.5976,5406.4809,4567.1610,4439.1244,4768.9700,5156.9493,4188.5006,5544.0709,-4526.6804,-4770.7131,0.0000,4118.9845,4718.4334,-2994.6367,-5040.9338,5245.6368,-3747.8625,-5249.9639,3497.7957,4221.5292,-1467.0868,5103.5785,638.1720,-2099.7075,-775.3691,-5436.6142,-776.6888,-5121.1043,511.4919,-1866.8863,1473.4644,5503.0052,-615.8357,-5138.1010,4983.4977,-2811.5943,5319.7993,-3885.4214,-3383.2714,-30482.6621,-32886.6381,-27799.5524,-30573.4182,-24105.4976,-28672.8768,-39037.2549,-29383.8040,-77376608.0439,-77345096.2315,-77374701.1503,-77374128.6980,-29923.9890,-77368338.8738,
