sl_100_5400_20290119 Coordinates.csv
2029/01/19 07:47:00.0000 UTC

Generated: Tue Oct  8 21:45:48 2024,
Start: 2029/01/19 07:47:00.00, Stop: 2029/01/19 09:17:00.00,
TIME_UNITS,STARLINK-5459 - X-Coordinate,STARLINK-3562 - X-Coordinate,STARLINK-31423 - X-Coordinate,STARLINK-5163 - X-Coordinate,STARLINK-5773 - X-Coordinate,STARLINK-3754 - X-Coordinate,STARLINK-6216 - X-Coordinate,STARLINK-32113 - X-Coordinate,STARLINK-30753 - X-Coordinate,STARLINK-3766 - X-Coordinate,STARLINK-5054 - X-Coordinate,STARLINK-31788 - X-Coordinate,STARLINK-4258 - X-Coordinate,STARLINK-1973 - X-Coordinate,STARLINK-31473 - X-Coordinate,STARLINK-31451 - X-Coordinate,STARLINK-30813 - X-Coordinate,STARLINK-30710 - X-Coordinate,STARLINK-30444 - X-Coordinate,STARLINK-2546 - X-Coordinate,STARLINK-5886 - X-Coordinate,STARLINK-5227 - X-Coordinate,STARLINK-4533 - X-Coordinate,STARLINK-11228 [DTC] - X-Coordinate,STARLINK-2242 - X-Coordinate,STARLINK-2699 - X-Coordinate,STARLINK-4260 - X-Coordinate,STARLINK-32127 - X-Coordinate,STARLINK-2189 - X-Coordinate,STARLINK-6223 - X-Coordinate,STARLINK-30832 - X-Coordinate,STARLINK-5123 - X-Coordinate,STARLINK-2219 - X-Coordinate,STARLINK-5413 - X-Coordinate,STARLINK-5045 - X-Coordinate,STARLINK-3909 - X-Coordinate,STARLINK-30445 - X-Coordinate,STARLINK-4593 - X-Coordinate,STARLINK-5791 - X-Coordinate,STARLINK-31092 - X-Coordinate,STARLINK-32043 - X-Coordinate,STARLINK-1369 - X-Coordinate,STARLINK-5519 - X-Coordinate,STARLINK-6281 - X-Coordinate,STARLINK-6361 - X-Coordinate,STARLINK-30889 - X-Coordinate,STARLINK-31922 - X-Coordinate,STARLINK-31324 - X-Coordinate,STARLINK-3950 - X-Coordinate,STARLINK-4327 - X-Coordinate,STARLINK-30764 - X-Coordinate,STARLINK-32230 - X-Coordinate,STARLINK-32002 - X-Coordinate,STARLINK-5463 - X-Coordinate,STARLINK-2485 - X-Coordinate,STARLINK-5779 - X-Coordinate,STARLINK-1191 - X-Coordinate,STARLINK-1404 - X-Coordinate,STARLINK-3805 - X-Coordinate,STARLINK-31702 - X-Coordinate,STARLINK-31033 - X-Coordinate,STARLINK-30345 - X-Coordinate,STARLINK-30166 - X-Coordinate,STARLINK-3112 - X-Coordinate,STARLINK-31131 - X-Coordinate,STARLINK-3226 - X-Coordinate,STARLINK-31642 - X-Coordinate,STARLINK-2733 - X-Coordinate,STARLINK-6174 - X-Coordinate,STARLINK-6234 - X-Coordinate,STARLINK-4086 - X-Coordinate,STARLINK-4792 - X-Coordinate,STARLINK-30574 - X-Coordinate,STARLINK-6101 - X-Coordinate,STARLINK-30365 - X-Coordinate,STARLINK-1492 - X-Coordinate,STARLINK-3929 - X-Coordinate,STARLINK-4164 - X-Coordinate,STARLINK-5546 - X-Coordinate,STARLINK-5282 - X-Coordinate,STARLINK-4552 - X-Coordinate,STARLINK-31586 - X-Coordinate,STARLINK-30274 - X-Coordinate,STARLINK-2197 - X-Coordinate,STARLINK-2582 - X-Coordinate,STARLINK-1130 (DARKSAT) - X-Coordinate,STARLINK-4569 - X-Coordinate,STARLINK-2476 - X-Coordinate,STARLINK-31678 - X-Coordinate,STARLINK-1690 - X-Coordinate,STARLINK-4034 - X-Coordinate,STARLINK-30513 - X-Coordinate,STARLINK-4658 - X-Coordinate,STARLINK-30866 - X-Coordinate,STARLINK-31996 - X-Coordinate,STARLINK-31323 - X-Coordinate,STARLINK-6343 - X-Coordinate,STARLINK-31789 - X-Coordinate,STARLINK-31382 - X-Coordinate,STARLINK-30252 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5459 - Y-Coordinate,STARLINK-3562 - Y-Coordinate,STARLINK-31423 - Y-Coordinate,STARLINK-5163 - Y-Coordinate,STARLINK-5773 - Y-Coordinate,STARLINK-3754 - Y-Coordinate,STARLINK-6216 - Y-Coordinate,STARLINK-32113 - Y-Coordinate,STARLINK-30753 - Y-Coordinate,STARLINK-3766 - Y-Coordinate,STARLINK-5054 - Y-Coordinate,STARLINK-31788 - Y-Coordinate,STARLINK-4258 - Y-Coordinate,STARLINK-1973 - Y-Coordinate,STARLINK-31473 - Y-Coordinate,STARLINK-31451 - Y-Coordinate,STARLINK-30813 - Y-Coordinate,STARLINK-30710 - Y-Coordinate,STARLINK-30444 - Y-Coordinate,STARLINK-2546 - Y-Coordinate,STARLINK-5886 - Y-Coordinate,STARLINK-5227 - Y-Coordinate,STARLINK-4533 - Y-Coordinate,STARLINK-11228 [DTC] - Y-Coordinate,STARLINK-2242 - Y-Coordinate,STARLINK-2699 - Y-Coordinate,STARLINK-4260 - Y-Coordinate,STARLINK-32127 - Y-Coordinate,STARLINK-2189 - Y-Coordinate,STARLINK-6223 - Y-Coordinate,STARLINK-30832 - Y-Coordinate,STARLINK-5123 - Y-Coordinate,STARLINK-2219 - Y-Coordinate,STARLINK-5413 - Y-Coordinate,STARLINK-5045 - Y-Coordinate,STARLINK-3909 - Y-Coordinate,STARLINK-30445 - Y-Coordinate,STARLINK-4593 - Y-Coordinate,STARLINK-5791 - Y-Coordinate,STARLINK-31092 - Y-Coordinate,STARLINK-32043 - Y-Coordinate,STARLINK-1369 - Y-Coordinate,STARLINK-5519 - Y-Coordinate,STARLINK-6281 - Y-Coordinate,STARLINK-6361 - Y-Coordinate,STARLINK-30889 - Y-Coordinate,STARLINK-31922 - Y-Coordinate,STARLINK-31324 - Y-Coordinate,STARLINK-3950 - Y-Coordinate,STARLINK-4327 - Y-Coordinate,STARLINK-30764 - Y-Coordinate,STARLINK-32230 - Y-Coordinate,STARLINK-32002 - Y-Coordinate,STARLINK-5463 - Y-Coordinate,STARLINK-2485 - Y-Coordinate,STARLINK-5779 - Y-Coordinate,STARLINK-1191 - Y-Coordinate,STARLINK-1404 - Y-Coordinate,STARLINK-3805 - Y-Coordinate,STARLINK-31702 - Y-Coordinate,STARLINK-31033 - Y-Coordinate,STARLINK-30345 - Y-Coordinate,STARLINK-30166 - Y-Coordinate,STARLINK-3112 - Y-Coordinate,STARLINK-31131 - Y-Coordinate,STARLINK-3226 - Y-Coordinate,STARLINK-31642 - Y-Coordinate,STARLINK-2733 - Y-Coordinate,STARLINK-6174 - Y-Coordinate,STARLINK-6234 - Y-Coordinate,STARLINK-4086 - Y-Coordinate,STARLINK-4792 - Y-Coordinate,STARLINK-30574 - Y-Coordinate,STARLINK-6101 - Y-Coordinate,STARLINK-30365 - Y-Coordinate,STARLINK-1492 - Y-Coordinate,STARLINK-3929 - Y-Coordinate,STARLINK-4164 - Y-Coordinate,STARLINK-5546 - Y-Coordinate,STARLINK-5282 - Y-Coordinate,STARLINK-4552 - Y-Coordinate,STARLINK-31586 - Y-Coordinate,STARLINK-30274 - Y-Coordinate,STARLINK-2197 - Y-Coordinate,STARLINK-2582 - Y-Coordinate,STARLINK-1130 (DARKSAT) - Y-Coordinate,STARLINK-4569 - Y-Coordinate,STARLINK-2476 - Y-Coordinate,STARLINK-31678 - Y-Coordinate,STARLINK-1690 - Y-Coordinate,STARLINK-4034 - Y-Coordinate,STARLINK-30513 - Y-Coordinate,STARLINK-4658 - Y-Coordinate,STARLINK-30866 - Y-Coordinate,STARLINK-31996 - Y-Coordinate,STARLINK-31323 - Y-Coordinate,STARLINK-6343 - Y-Coordinate,STARLINK-31789 - Y-Coordinate,STARLINK-31382 - Y-Coordinate,STARLINK-30252 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5459 - Z-Coordinate,STARLINK-3562 - Z-Coordinate,STARLINK-31423 - Z-Coordinate,STARLINK-5163 - Z-Coordinate,STARLINK-5773 - Z-Coordinate,STARLINK-3754 - Z-Coordinate,STARLINK-6216 - Z-Coordinate,STARLINK-32113 - Z-Coordinate,STARLINK-30753 - Z-Coordinate,STARLINK-3766 - Z-Coordinate,STARLINK-5054 - Z-Coordinate,STARLINK-31788 - Z-Coordinate,STARLINK-4258 - Z-Coordinate,STARLINK-1973 - Z-Coordinate,STARLINK-31473 - Z-Coordinate,STARLINK-31451 - Z-Coordinate,STARLINK-30813 - Z-Coordinate,STARLINK-30710 - Z-Coordinate,STARLINK-30444 - Z-Coordinate,STARLINK-2546 - Z-Coordinate,STARLINK-5886 - Z-Coordinate,STARLINK-5227 - Z-Coordinate,STARLINK-4533 - Z-Coordinate,STARLINK-11228 [DTC] - Z-Coordinate,STARLINK-2242 - Z-Coordinate,STARLINK-2699 - Z-Coordinate,STARLINK-4260 - Z-Coordinate,STARLINK-32127 - Z-Coordinate,STARLINK-2189 - Z-Coordinate,STARLINK-6223 - Z-Coordinate,STARLINK-30832 - Z-Coordinate,STARLINK-5123 - Z-Coordinate,STARLINK-2219 - Z-Coordinate,STARLINK-5413 - Z-Coordinate,STARLINK-5045 - Z-Coordinate,STARLINK-3909 - Z-Coordinate,STARLINK-30445 - Z-Coordinate,STARLINK-4593 - Z-Coordinate,STARLINK-5791 - Z-Coordinate,STARLINK-31092 - Z-Coordinate,STARLINK-32043 - Z-Coordinate,STARLINK-1369 - Z-Coordinate,STARLINK-5519 - Z-Coordinate,STARLINK-6281 - Z-Coordinate,STARLINK-6361 - Z-Coordinate,STARLINK-30889 - Z-Coordinate,STARLINK-31922 - Z-Coordinate,STARLINK-31324 - Z-Coordinate,STARLINK-3950 - Z-Coordinate,STARLINK-4327 - Z-Coordinate,STARLINK-30764 - Z-Coordinate,STARLINK-32230 - Z-Coordinate,STARLINK-32002 - Z-Coordinate,STARLINK-5463 - Z-Coordinate,STARLINK-2485 - Z-Coordinate,STARLINK-5779 - Z-Coordinate,STARLINK-1191 - Z-Coordinate,STARLINK-1404 - Z-Coordinate,STARLINK-3805 - Z-Coordinate,STARLINK-31702 - Z-Coordinate,STARLINK-31033 - Z-Coordinate,STARLINK-30345 - Z-Coordinate,STARLINK-30166 - Z-Coordinate,STARLINK-3112 - Z-Coordinate,STARLINK-31131 - Z-Coordinate,STARLINK-3226 - Z-Coordinate,STARLINK-31642 - Z-Coordinate,STARLINK-2733 - Z-Coordinate,STARLINK-6174 - Z-Coordinate,STARLINK-6234 - Z-Coordinate,STARLINK-4086 - Z-Coordinate,STARLINK-4792 - Z-Coordinate,STARLINK-30574 - Z-Coordinate,STARLINK-6101 - Z-Coordinate,STARLINK-30365 - Z-Coordinate,STARLINK-1492 - Z-Coordinate,STARLINK-3929 - Z-Coordinate,STARLINK-4164 - Z-Coordinate,STARLINK-5546 - Z-Coordinate,STARLINK-5282 - Z-Coordinate,STARLINK-4552 - Z-Coordinate,STARLINK-31586 - Z-Coordinate,STARLINK-30274 - Z-Coordinate,STARLINK-2197 - Z-Coordinate,STARLINK-2582 - Z-Coordinate,STARLINK-1130 (DARKSAT) - Z-Coordinate,STARLINK-4569 - Z-Coordinate,STARLINK-2476 - Z-Coordinate,STARLINK-31678 - Z-Coordinate,STARLINK-1690 - Z-Coordinate,STARLINK-4034 - Z-Coordinate,STARLINK-30513 - Z-Coordinate,STARLINK-4658 - Z-Coordinate,STARLINK-30866 - Z-Coordinate,STARLINK-31996 - Z-Coordinate,STARLINK-31323 - Z-Coordinate,STARLINK-6343 - Z-Coordinate,STARLINK-31789 - Z-Coordinate,STARLINK-31382 - Z-Coordinate,STARLINK-30252 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-6689.6837,4104.5291,-1251.3105,-5762.9806,915.3077,-4145.0453,5119.9506,-406.9661,-34.4286,3390.6710,-1199.9821,-1057.7766,4257.2375,1295.5845,5242.7814,-4825.0954,1580.8340,4023.1698,-4631.5166,-5242.0181,-5957.5197,759.6203,-2066.6859,4395.6930,-676.9129,-3731.2980,-5935.6091,-4625.3627,-506.1706,-5320.2882,1594.2716,-6698.6546,6683.2828,-3258.9214,4509.3169,2301.1269,-2499.7200,-4129.5710,1286.5035,5029.9774,5615.1353,-3541.3900,5762.8170,6910.6983,-3915.7999,4538.3676,-2696.1589,5592.4626,-4127.7045,4838.3824,5376.6127,-2336.2990,-3925.7375,-3577.5485,2932.8023,-4590.3242,-4236.0519,-1143.1966,-200.5899,-5845.3166,-4011.4825,-5635.0153,5080.4665,2914.9974,5688.1596,-5869.6520,3908.9897,3093.9457,-5483.8441,-2409.4233,-2027.3322,3511.5909,271.4242,-5870.1025,-6391.5381,0.0000,-4466.9284,2226.3240,-1645.0769,100.3615,5867.9209,491.2200,1643.4674,-2337.8943,-3244.5856,3023.2135,-2397.8857,-2436.3972,5704.8867,0.0000,-46.4483,5708.6952,270.2370,4994.4181,-2856.1898,321.3019,-5119.2211,-56.0517,404.3319,-4976.2736,184747.5144,169200.9712,174125.8497,173129.4061,165416.2391,166360.6967,165974.0196,169942.7991,-111501064.9916,-111528149.2642,-111486899.6234,-111470362.9901,168309.2079,-111483633.8169,-1842.9956,553.2445,5817.5655,3752.0104,-5020.5854,-2086.7611,-295.4196,-6717.1566,5092.0654,5821.6549,-3965.9405,4056.3853,-2464.8042,6498.1183,-464.6118,1133.3042,-6055.9418,1514.2021,2230.6570,-2396.8491,-3312.4523,6216.0994,-4478.9533,665.3313,-4160.5380,-3173.7918,521.3932,-778.6810,6813.8897,-4138.7918,-6596.5600,-1478.6648,700.6654,-5164.3044,3776.3485,-4096.1496,-6449.8406,620.7784,-6762.0271,-2115.4635,101.2918,2146.7869,-3737.5838,-528.7326,5623.2737,-5031.7656,-4314.3260,-1899.3247,136.4304,2813.5721,3616.8683,-5788.7281,-3594.0905,1230.2705,-5149.8577,-2850.3770,297.9999,-6543.3711,6748.8491,-2607.7655,-2648.4652,-2381.1193,312.3135,5788.1208,1610.8106,-1874.9418,-2946.5016,-3807.0972,-1471.2082,-5154.2920,-6593.7999,-4048.2192,-6689.4616,-261.7998,-1936.5849,0.0000,-2897.5737,4913.9240,2917.0240,-6249.4771,-3630.4979,-4192.7864,3743.3379,6444.2866,-2595.0422,4951.9492,2838.7763,-6468.3169,3550.9437,0.0000,-4158.3258,-869.7333,5533.1354,1180.7325,-3305.0057,-4135.2272,-952.9191,4964.1253,-6307.0897,-962.7577,368975.1548,363838.4253,367862.1225,369760.9762,373468.7090,371608.8762,364045.2266,366492.0377,-112402229.1700,-112403450.9120,-112399121.2497,-112393836.3503,366827.0550,-112392908.3087,365.5379,5512.4260,3311.8398,262.6115,-4731.8331,5100.6919,-4666.0955,1184.4952,4709.5860,1242.7121,-5519.2438,5413.4042,-4942.6253,-1881.5734,-4223.2850,4545.6716,-2850.0208,-5325.5517,-4648.8073,-3774.7381,1270.0954,2887.8299,4787.7730,5069.9467,5451.5080,4820.5987,-3475.6004,-4929.9407,853.7534,1638.7089,-1036.0578,966.9496,-1548.0985,-3235.5759,3524.0143,5015.2209,-442.1760,5476.2718,-778.3141,-4091.1542,3659.1697,-5468.1535,889.9447,-31.6334,995.0401,1034.8815,-4525.7891,3424.0014,5520.5026,-4077.1538,2174.2989,2727.6090,4276.0089,-5831.6698,3228.0138,4317.6907,-5453.4660,-1784.6588,1459.4215,2350.7753,-4977.7963,3249.0081,-4716.4158,2379.6493,3442.3615,3032.6962,-4770.4025,4841.7323,-3959.2196,-3961.3714,-134.2972,-4220.2350,-1838.9104,3509.9392,-1871.9399,0.0000,4370.7799,-4309.2443,-6084.6206,-2917.8634,-489.7876,-5357.4117,5413.9477,541.3422,5488.7941,-3445.7732,-5835.9121,-595.3929,1116.8075,0.0000,5444.0607,-3582.1696,4102.9837,4637.2188,5092.7443,5409.6402,-4581.9938,-4550.4431,2266.1894,4722.9340,11740.6715,9164.2819,9807.6738,10004.7447,13817.2282,5176.6041,-338.5517,8831.8018,-4105467.9812,-4126892.1660,-4128568.5342,-4110374.8901,8127.0810,-4110630.9517,
300.000,-6622.2523,4088.6291,394.3624,-4756.3055,-1187.0941,-4144.1688,4995.3602,-1601.4483,2084.0241,4120.7481,-3171.4221,1131.8874,2442.8616,2551.5769,5297.1222,-3918.3221,37.7047,4086.2612,-3742.1739,-4840.2673,-5769.3810,1989.0309,-3921.3554,3783.1442,-2689.7039,-5350.6651,-4711.6167,-3926.1256,710.4239,-5739.9742,-20.0940,-6384.0964,6869.8649,-3879.0431,5837.8424,969.3864,-3738.9300,-3362.4947,-286.6722,3527.0353,6211.7616,-2412.7300,4496.9203,6456.4290,-2357.6690,3339.3277,-4193.8824,4071.6182,-3880.8030,3222.5896,5366.0046,-3705.3020,-5479.8724,-1601.3974,1947.3376,-5839.5669,-4269.2054,-2256.1690,1020.3692,-6653.4375,-5505.4941,-5503.1859,4876.5643,4183.0508,6473.9980,-6694.5262,1956.8850,1016.0240,-6271.8638,-3761.8020,-3061.6874,2732.2079,-1270.6211,-6269.1466,-6908.1736,0.0000,-5884.6887,3229.1848,445.1768,-1281.0748,5052.4275,-1548.2786,3483.0601,-1133.8454,-4328.5633,3697.9206,-3951.5414,-3492.8441,6013.2751,0.0000,-2171.6362,5751.4679,1834.1324,5013.2418,-4656.3830,-1849.4748,-5594.9408,2082.1995,-1202.7143,-5184.9617,176928.9340,161128.4478,166304.4853,165236.5630,157566.0869,158528.3848,158159.5708,162234.5245,-109014191.0999,-109040948.1377,-108999417.7628,-108983515.2573,160488.0784,-108996741.9359,-1183.7221,-1619.1367,6484.6994,4531.1306,-5284.3798,56.2938,-2388.7140,-5985.2713,5010.6412,4620.9163,-3063.3975,4067.8093,-3501.8249,6395.3886,-2477.2944,3128.6096,-6715.1464,-669.9163,4122.7700,-554.6427,-3725.7981,5042.2931,-4319.1417,-1431.4371,-3319.1783,-2224.9093,1865.2761,1244.8884,6783.0785,-2502.4761,-6405.6627,-165.2493,-519.4829,-3512.6547,3026.6560,-5504.1241,-5507.5121,2662.7865,-6549.6701,-3604.8678,-1376.5879,3970.3073,-4716.6776,-1988.7928,6036.7514,-5965.9281,-2738.2885,-2919.3534,2283.6120,2401.0602,2042.8544,-5628.7901,-2846.8072,1983.1559,-6264.2312,-1305.3995,2397.2554,-5549.1715,6825.4634,-1204.4764,-1463.8330,-439.1843,-1826.9796,5458.8845,-3.0476,-717.2202,-3727.9890,-4118.1301,245.7764,-3595.6387,-5879.6840,-5566.8353,-6815.8898,1501.8382,-474.1753,0.0000,-1902.7349,3196.3297,2351.4834,-5254.5564,-4532.7090,-4679.3784,2548.5729,6664.0371,-708.7008,3220.9057,3638.2702,-5867.7477,1933.6947,0.0000,-4241.5697,-2703.9443,6083.2977,-977.5135,-2354.7367,-3818.2389,1054.1306,4936.2696,-6560.0956,1165.7266,372910.0669,367015.3691,371224.5857,373139.3022,376981.1691,375045.8342,367602.2142,369878.4943,-114808885.7353,-114810933.7169,-114805792.5592,-114799835.0532,370319.0358,-114799469.9561,-1748.1416,5310.9875,2048.4058,2042.3078,-4369.4264,5510.4261,-4172.1749,2876.0903,4321.3555,2926.4520,-5309.1549,5389.8541,-5513.8702,-95.2063,-3366.8622,4482.0859,-1478.6713,-5449.0197,-4126.8802,-4873.1415,-974.2955,4259.4831,3640.0581,5394.1724,5406.8281,3698.4813,-4681.4743,-5416.7065,-963.0611,2981.0238,-2472.5636,2678.2464,254.7303,-4515.2390,1950.8563,4002.0781,-1936.7794,5388.2950,-2241.1260,-4591.4810,2116.8634,-5046.4165,2340.3442,-1554.9564,2432.8333,-516.6969,-4613.0147,4634.9266,5221.5979,-5641.1659,3704.3194,1013.7690,2917.3812,-6466.5636,1594.2431,3472.0236,-4878.5519,-3382.6850,-348.9346,893.5998,-3927.1003,4181.2270,-4585.7593,632.4398,2216.6212,1367.0532,-5384.4483,5431.2838,-2916.3388,-4581.0659,-1920.6589,-2839.3231,-336.4333,2305.0423,-371.6826,0.0000,3038.7377,-5199.5891,-6519.3770,-4282.8752,1321.8485,-4714.1644,5234.8124,-1272.5911,5305.7339,-4636.3196,-4360.2501,1212.1675,2545.3509,0.0000,4923.1776,-2403.3307,2680.6436,4664.0541,4220.3347,5335.7710,-3960.8222,-4080.0512,789.6539,4445.6117,11863.6031,9367.1737,10005.6657,9952.8987,13996.1898,5565.0205,-300.2027,8500.0836,-4106395.7418,-4127762.5865,-4129181.7545,-4110699.6285,8251.1093,-4111320.2058,
600.000,-5887.9653,3723.8621,1981.0019,-3256.6190,-3163.5307,-3790.9243,4427.0582,-2663.5689,3994.9921,4459.8292,-4847.1402,3204.3259,413.3905,3549.1959,4823.6785,-2637.0376,-1495.1924,3793.5554,-2529.5134,-3998.4294,-4959.6140,3065.9778,-5365.0200,2824.0635,-4455.1772,-6432.9444,-3036.3203,-2873.5516,1866.3080,-5627.6544,-1654.4322,-5447.2595,6365.6437,-4164.0125,6564.6344,-418.0796,-4633.6303,-2315.9940,-1852.4069,1689.2998,6139.9207,-1091.5639,2784.5043,5375.3969,-553.3996,1800.9548,-5296.7354,2137.5078,-3304.8443,1289.7556,4834.5571,-4679.1047,-6463.5052,512.4934,771.8119,-6534.3997,-3931.9758,-3179.6825,2143.3067,-6782.2923,-6465.6712,-4871.8229,4246.5071,5027.2724,6614.4358,-6839.7908,-184.3723,-1165.5503,-6464.1591,-4790.5904,-3810.3878,1701.7584,-2686.8307,-6049.8471,-6755.3254,0.0000,-6712.7673,3967.5378,2516.7531,-2579.2515,3725.3604,-3403.5660,4986.0155,198.7388,-5027.4919,4031.3056,-5108.4336,-4217.2623,5723.0509,0.0000,-4062.9821,5218.8446,3188.8898,4589.0301,-5958.5187,-3835.3847,-5562.6116,3991.2464,-2673.3822,-4933.0355,169024.9250,152990.6561,158408.0975,157267.8527,149642.8699,150629.7912,150270.0147,154331.1325,-106475379.9729,-106501793.0441,-106459997.9682,-106444774.1766,152594.5205,-106457916.5334,-381.9691,-3625.4722,6495.9340,4872.0679,-5082.9305,2201.0389,-4243.6372,-4638.0032,4486.6919,2934.2686,-1911.6338,3725.1942,-4258.3856,5647.7954,-4213.9025,4808.5452,-6709.8104,-2785.2892,5622.8442,1374.7081,-3721.6624,3374.8101,-3761.5273,-3397.8322,-2202.4393,-1092.8889,3071.8917,3167.3867,6068.5064,-607.2466,-5585.1560,1193.1690,-1690.3706,-1504.7323,1989.6903,-6372.3378,-4026.2258,4456.7199,-5708.3654,-4765.9345,-2681.3607,5412.9781,-5257.7171,-3270.9358,5879.2400,-6304.0640,-912.7484,-3690.5916,4202.7985,1655.8433,230.4677,-4889.8605,-1838.7296,2617.3857,-6705.0798,336.5557,4246.6235,-3996.3425,6220.1135,312.8574,-176.6340,1566.2215,-3791.1963,4588.4826,-1596.3011,497.6562,-4187.0249,-4078.2051,1915.0182,-1707.6827,-4570.9203,-6503.9284,-6284.6493,3095.8148,1030.6597,0.0000,-751.1919,1173.9643,1629.5822,-3752.4375,-4996.0305,-4730.1510,1138.9415,6213.6916,1215.3075,1141.9720,3989.9795,-4682.7436,100.0590,0.0000,-3946.9608,-4243.6050,6040.4977,-3040.2309,-1197.1607,-3166.8225,2939.6684,4425.7656,-6113.3659,3171.2556,376679.0373,370045.8539,374418.9130,376342.5398,380325.0652,378307.1050,370992.8630,373132.3344,-117160532.7260,-117163397.1136,-117157426.9732,-117150825.6077,373644.2389,-117151021.0743,-3676.1159,4533.6363,553.8702,3598.2422,-3545.3185,5322.7442,-3232.4130,4246.0687,3472.2323,4285.4329,-4524.8375,4769.5421,-5507.0259,1701.5358,-2120.2345,3894.6135,54.9110,-4968.4335,-3163.4622,-5441.7612,-3114.5678,5168.2960,2093.5274,5093.3108,4774.8352,2170.8777,-5380.0375,-5292.7037,-2674.7435,4004.7051,-3636.7748,4101.9671,2029.7885,-5308.2121,162.0680,2550.2098,-3224.0331,4713.9994,-3463.5938,-4576.9814,324.3373,-4068.7103,3539.3112,-2911.7579,3609.0559,-2011.1011,-4180.4987,5327.2865,4356.3201,-6601.8533,4820.8265,-814.3753,1232.3622,-6417.9510,-224.2185,2252.6779,-3778.0257,-4610.5429,-2119.5811,-664.0827,-2454.1769,4665.1808,-3966.5213,-1183.3174,744.1890,-449.0163,-5399.2891,5430.9750,-1559.8620,-4711.4420,-3498.6498,-1139.5169,1201.9284,844.0343,1168.3408,0.0000,1375.6703,-5528.3505,-6263.3313,-5183.5464,2990.8222,-3542.4222,4460.0649,-2947.0470,4544.5319,-5290.8508,-2415.8700,2890.0296,3686.5949,0.0000,3857.9944,-951.3836,966.8610,4189.3105,2851.4203,4663.3716,-2916.7683,-3134.3542,-779.8510,3692.4956,11986.2064,9558.9881,10200.3116,9897.1596,14171.9630,5959.5684,-257.1219,8150.1360,-4107325.5745,-4128632.2980,-4129784.9962,-4111025.2410,8375.1320,-4112009.3054,
