sl_20_5400_20290514 Coordinates.csv
2029/05/14 07:47:00.0000 UTC

Generated: Tue Oct  8 21:45:09 2024,
Start: 2029/05/14 07:47:00.00, Stop: 2029/05/14 09:17:00.00,
TIME_UNITS,STARLINK-3591 - X-Coordinate,STARLINK-1336 - X-Coordinate,STARLINK-5598 - X-Coordinate,STARLINK-2021 - X-Coordinate,STARLINK-6201 - X-Coordinate,STARLINK-5824 - X-Coordinate,STARLINK-31493 - X-Coordinate,STARLINK-2646 - X-Coordinate,STARLINK-30703 - X-Coordinate,STARLINK-5694 - X-Coordinate,STARLINK-30240 - X-Coordinate,STARLINK-5265 - X-Coordinate,STARLINK-30224 - X-Coordinate,STARLINK-5502 - X-Coordinate,STARLINK-5284 - X-Coordinate,STARLINK-3124 - X-Coordinate,STARLINK-30936 - X-Coordinate,STARLINK-11100 [DTC] - X-Coordinate,STARLINK-4165 - X-Coordinate,STARLINK-31099 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3591 - Y-Coordinate,STARLINK-1336 - Y-Coordinate,STARLINK-5598 - Y-Coordinate,STARLINK-2021 - Y-Coordinate,STARLINK-6201 - Y-Coordinate,STARLINK-5824 - Y-Coordinate,STARLINK-31493 - Y-Coordinate,STARLINK-2646 - Y-Coordinate,STARLINK-30703 - Y-Coordinate,STARLINK-5694 - Y-Coordinate,STARLINK-30240 - Y-Coordinate,STARLINK-5265 - Y-Coordinate,STARLINK-30224 - Y-Coordinate,STARLINK-5502 - Y-Coordinate,STARLINK-5284 - Y-Coordinate,STARLINK-3124 - Y-Coordinate,STARLINK-30936 - Y-Coordinate,STARLINK-11100 [DTC] - Y-Coordinate,STARLINK-4165 - Y-Coordinate,STARLINK-31099 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3591 - Z-Coordinate,STARLINK-1336 - Z-Coordinate,STARLINK-5598 - Z-Coordinate,STARLINK-2021 - Z-Coordinate,STARLINK-6201 - Z-Coordinate,STARLINK-5824 - Z-Coordinate,STARLINK-31493 - Z-Coordinate,STARLINK-2646 - Z-Coordinate,STARLINK-30703 - Z-Coordinate,STARLINK-5694 - Z-Coordinate,STARLINK-30240 - Z-Coordinate,STARLINK-5265 - Z-Coordinate,STARLINK-30224 - Z-Coordinate,STARLINK-5502 - Z-Coordinate,STARLINK-5284 - Z-Coordinate,STARLINK-3124 - Z-Coordinate,STARLINK-30936 - Z-Coordinate,STARLINK-11100 [DTC] - Z-Coordinate,STARLINK-4165 - Z-Coordinate,STARLINK-31099 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-6528.3687,3074.1887,-5475.9099,-1688.9191,-5556.7398,5244.3507,5021.9338,6475.6327,-5154.7939,4090.4790,-5323.8988,4170.6356,6192.6479,-1678.3308,6807.0824,-5507.5599,3967.1418,-6269.6748,-320.1097,4330.0106,-129144.0520,-115872.9798,-125542.6866,-127463.7766,-128109.8727,-126509.9550,-119563.3406,-123429.8750,122227675.4967,122244756.3098,122222769.5976,122213196.0830,-123003.2176,122219069.3484,-420.7514,-2795.8719,4256.6554,4189.0365,3693.5010,-2357.0567,3162.6540,-1152.6397,-3145.5486,5166.0585,-1915.7280,3504.7182,815.4817,1695.3334,-1434.2377,426.7211,-1462.7020,2479.5152,4121.7079,-499.9817,359201.4582,344250.3353,351466.2457,349467.1916,340948.0960,342483.1820,345056.5828,345800.3055,-15442700.7126,-15459323.2106,-15416740.7837,-15415826.9191,346208.0460,-15424246.4592,-2186.3939,5397.4084,319.3702,-5191.3425,-1756.4366,-3859.6953,3394.7040,-1903.1621,-3207.9460,2088.9738,-3990.3940,-4280.7908,-2897.1819,-6526.6822,462.1504,-4159.5713,5414.7211,-236.1346,5522.8453,-5380.3721,162137.5207,160174.0461,160564.5571,160155.2353,164361.6429,156092.6228,150108.6065,160368.1005,6616264.5505,6597436.0972,6603384.6149,6621857.2379,158658.9047,6617924.4650,
300.000,-5739.1774,1274.5198,-4736.6807,-64.5749,-5356.5124,4786.0881,6223.6580,6403.1962,-6276.4773,4868.2799,-6252.1508,3582.9113,5561.5360,36.6581,6475.2742,-6014.4090,2693.4666,-5542.6076,1844.2306,4434.1167,-136809.5935,-122924.6907,-132675.2575,-134576.0112,-135378.4418,-133709.0562,-126882.9532,-130836.2393,122539208.1609,122556876.5925,122533840.8208,122524378.5330,-130264.2735,122530523.8987,922.4793,-4051.7387,4470.2635,5356.8560,4330.6187,-4164.4399,1840.9223,-2417.8813,-2208.9820,3587.8987,-262.2044,1853.4829,-971.3098,3056.3009,-1994.2495,2012.5019,-3238.8701,3499.6906,4068.1172,-2551.7218,356423.7066,341497.9705,348812.0945,346752.4198,338219.9433,339820.1458,342341.7845,343564.1463,-12766388.5604,-12782432.7939,-12740031.8857,-12740175.9843,343516.9983,-12747996.0895,-3715.4732,5325.2922,2398.0794,-4318.1549,364.3923,-2774.1215,2154.6650,-113.2196,-1571.3463,3344.5430,-2961.1385,-5634.2748,-3942.3865,-6241.4088,-1651.8941,-2752.8409,5426.9194,1586.5540,5258.2818,-4665.6012,162177.0133,160202.4727,160659.2491,160009.7367,164439.5210,156394.7990,150061.1038,160413.3568,6615616.0205,6596880.0793,6603279.0663,6621797.5743,158689.9372,6617534.6591,
600.000,-4389.2021,-620.6114,-3495.5476,1526.8032,-4595.8615,3887.3640,6797.5261,5673.2226,-6747.8754,5201.0173,-6585.5922,2692.3934,4404.7495,1693.6249,5487.4957,-5941.3116,1197.9318,-4212.3249,3820.2149,4150.0492,-144414.5005,-129918.5506,-139747.1558,-141619.3268,-142586.2591,-140843.5527,-134142.8758,-138161.9492,122792141.5705,122810383.5518,122786294.5247,122777006.9222,-137466.5208,122783381.7315,2213.1681,-4936.0767,4253.5929,6013.7345,4521.0190,-5557.2773,354.1551,-3433.5206,-1062.4027,1649.3056,1391.6480,-26.7618,-2692.0499,4169.9568,-2374.7941,3373.1121,-4723.0484,4160.7713,3667.7485,-4335.6593,353480.5294,338603.4680,346003.8415,343885.3500,335339.6206,337015.5122,339472.3004,341166.5321,-10083828.8674,-10099284.2304,-10057098.3781,-10058311.3879,340673.7346,-10065501.0562,-4841.4771,4654.5650,4220.9424,-2973.1811,2445.5611,-1390.6124,674.3479,1689.2851,240.6152,4238.9904,-1613.7246,-6385.9841,-4557.6207,-5295.8485,-3592.1954,-1049.1539,4844.2646,3224.7963,4424.4552,-3450.6291,162215.9502,160229.3811,160750.1026,159860.7463,164514.1977,156702.8048,150018.1823,160332.4511,6614968.2255,6596324.6473,6603185.2590,6621724.8125,158720.8805,6617144.7206,
900.000,-2619.8070,-2418.0044,-1866.2313,2936.2916,-3337.2767,2622.4835,6684.2755,4353.2054,-6523.0073,5064.8662,-6284.4523,1599.9131,2841.4920,3131.7673,3939.9415,-5282.5760,-372.8878,-2415.6546,5409.7238,3491.7583,-151955.1645,-136851.3561,-146755.2961,-148589.7574,-149730.1828,-147909.9914,-141339.7788,-145394.2977,122986351.4505,123005152.7401,122980007.5532,122970959.9673,-144606.7701,122977518.6936,3334.0717,-5349.8283,3649.2385,6082.5810,4267.1418,-6403.8989,-1161.7660,-4114.4351,196.6745,-461.7871,2896.0559,-1947.5992,-4180.9854,4912.6587,-2563.2112,4387.7023,-5759.9321,4409.9385,2950.8930,-5677.7237,350373.2984,335567.9437,343042.7998,340866.9229,332308.4512,334071.7127,336449.4471,338577.8845,-7396304.6036,-7411160.8187,-7369224.3050,-7371513.5464,337679.5389,-7378044.2175,-5443.0728,3460.3684,5593.6602,-1302.8365,4260.6738,142.4239,-881.1765,3303.7488,2025.6647,4675.8953,-92.7091,-6456.7100,-4676.2022,-3789.3225,-5155.3730,767.8677,3730.3867,4488.2393,3111.4250,-1865.0907,162254.3393,160254.8846,160837.0034,159708.4281,164585.7002,157016.4579,149979.8056,160134.8187,6614321.2821,6595769.8085,6603103.1824,6621637.2842,158751.7346,6616754.6494,
1200.000,-611.8772,-3938.5262,-6.1507,4036.3390,-1698.4432,1100.6788,5895.1797,2573.3067,-5629.1173,4477.5898,-5370.7779,418.7286,1027.6615,4217.4068,1986.5369,-4091.3200,-1869.9442,-341.8784,6454.1713,2506.6395,-159428.0094,-143719.9585,-153696.6246,-155483.2819,-156807.0975,-154904.9035,-148470.3655,-152521.5620,123121741.6140,123141087.8047,123114884.9056,123106144.3866,-151681.8600,123112838.7146,4179.3380,-5238.2396,2734.9938,5544.1156,3615.8003,-6626.9060,-2568.8775,-4408.3647,1458.3968,-2539.2261,4117.2649,-3712.0369,-5291.4180,5192.7929,-2561.5876,4971.3936,-6236.2219,4234.9956,1974.1431,-6449.0453,347103.4639,332392.5874,339930.3475,337698.0518,329127.8261,330991.3688,333274.6145,335772.4078,-4705101.1877,-4719348.3079,-4677696.1167,-4681065.0120,334535.7617,-4686910.8748,-5455.6488,1876.7840,6370.2097,510.2892,5612.4465,1660.1105,-2338.5304,4550.5109,3584.2807,4608.2188,1438.2706,-5839.2304,-4285.2957,-1880.6745,-6178.5035,2501.8024,2207.1728,5230.3434,1461.2660,-78.9254,162292.1884,160279.0847,160919.8449,159553.0087,164654.0541,157335.4884,149945.9396,159837.7279,6613675.3064,6595215.5702,6603032.8077,6621533.2038,158782.4995,6616364.4457,
1500.000,1432.6863,-5035.2016,1899.1192,4732.3842,159.0932,-543.0620,4510.7600,513.1106,-4163.2708,3496.1745,-3927.3143,-737.0543,-859.5669,4856.6044,-177.1077,-2475.6114,-3155.8224,1787.6634,6850.8454,1273.0644,-166829.4938,-150521.2607,-160568.1207,-162295.8186,-163813.9156,-161824.7953,-155531.3736,-159533.6657,123198244.0097,123218120.5351,123190859.7827,123182494.9179,-158688.6586,123189273.8544,4664.1287,-4598.3192,1613.7785,4440.7166,2650.6806,-6210.4929,-3739.5965,-4299.2267,2609.9026,-4378.8631,4949.4603,-5134.3702,-5909.9450,4962.3482,-2384.0693,5082.2824,-6093.4850,3663.6535,816.4971,-6578.8932,343672.5541,329078.6610,336667.9265,334379.5989,325799.2034,327777.3080,329949.2649,332729.5584,-2011505.8714,-2025134.2819,-1983802.0498,-1988249.8352,331243.8198,-1993388.1580,-4877.8352,81.9516,6468.0809,2267.3909,6354.2363,2999.0234,-3535.6160,5291.0301,4742.3695,4043.2523,2814.2640,-4598.9058,-3427.2327,227.8928,-6555.5867,3965.0252,441.6564,5365.2025,-347.2333,1715.7104,162329.5049,160302.0725,160998.5279,159394.7966,164719.2835,157659.5112,149916.5522,159465.0024,6613030.4139,6594661.9396,6602974.0868,6621410.6634,158813.1753,6615974.1094,
1800.000,3310.9615,-5607.7093,3654.4536,4970.9082,2046.1594,-2159.9358,2672.0698,-1616.9226,-2281.2713,2211.3102,-2090.0056,-1763.2265,-2638.7768,5003.5208,-2333.5032,-588.5255,-4117.3977,3743.3502,6563.4213,-105.2789,-174156.1119,-157252.2159,-167366.7975,-169023.2209,-170747.5795,-168666.1377,-162519.5762,-166422.8425,123215818.7560,123236210.8975,123207893.6196,123199974.3174,-165624.0646,123206784.3374,4733.0022,-3481.0927,401.8978,2873.6149,1481.4786,-5201.3493,-4568.0279,-3806.9252,3545.1767,-5798.6836,5323.8321,-6059.6308,-5968.1160,4224.4709,-2053.7568,4723.8418,-5335.6626,2759.2427,-426.5771,-6061.5468,340082.1742,325627.4976,333257.0420,330912.3459,322324.1075,324432.5793,326474.9321,329435.1694,683192.8754,670192.4561,711168.4931,705647.0739,327805.1954,701235.5901,-3771.6502,-1722.1308,5876.6980,3775.5770,6405.6233,4015.0280,-4339.7140,5443.1481,5370.8139,3041.8500,3887.0251,-2867.2531,-2195.1437,2312.1663,-6247.7997,4999.3422,-1372.3560,4877.1925,-2118.1730,3325.3711,162366.2962,160323.9299,161072.9609,159234.2082,164781.4110,157987.9884,149891.6134,159045.5081,6612386.7200,6594108.9240,6602926.9510,6621267.6280,158843.7617,6615583.6404,
2100.000,4838.9131,-5611.5215,5075.1561,4743.0295,3765.2775,-3600.8175,565.8224,-3597.1417,-180.5613,739.1826,-34.9104,-2574.6383,-4141.6000,4663.4014,-4264.8812,1386.7013,-4675.7017,5312.0245,5625.2337,-1507.8663,-181404.3956,-163909.8257,-174089.7035,-175661.2772,-177605.0624,-175425.3540,-169431.7837,-173184.2696,123174454.1619,123195347.0555,123165976.1048,123158573.3380,-172485.0091,123165358.5732,4366.4003,-1987.9494,-783.0338,993.5114,231.2832,-3703.1533,-4979.0831,-2984.0986,4174.5225,-6657.0361,5213.9074,-6380.8671,-5450.3507,3035.5669,-1599.7756,3942.7036,-4029.9439,1613.6433,-1650.7064,-4956.1245,336334.0053,322040.4999,329699.2615,327296.9569,318704.1283,320960.4702,322853.2205,325882.2548,3377705.9822,3365342.5004,3405925.5647,3399340.5853,324221.4359,3395671.4298,-2256.2594,-3332.7589,4658.5642,4869.3863,5760.7873,4598.8949,-4661.9869,4989.9638,5399.6650,1712.0044,4541.1141,-828.7083,-723.1845,4150.1821,-5287.1053,5493.1419,-3035.9043,3822.7182,-3660.1459,4576.5585,162402.5692,160344.7310,161143.0605,159071.8012,164840.4578,158320.1787,149871.0950,158611.4409,6611744.3389,6593556.5309,6602891.3102,6621101.9342,158874.2590,6615193.0389,
2400.000,5869.5671,-5060.6366,6006.6184,4083.4664,5131.3179,-4729.9622,-1594.7642,-5221.3935,1920.7342,-788.8380,2038.9604,-3112.0418,-5228.7363,3889.8140,-5774.8874,3254.6985,-4791.9259,6320.4042,4134.9553,-2807.7996,-188570.9162,-170491.1395,-180733.9233,-182205.7165,-184383.3704,-182098.8050,-176264.8449,-179816.6236,123074166.7343,123095545.3768,123065125.1851,123058310.6869,-179268.4564,123065013.1633,3584.4262,-261.3212,-1833.4507,-1014.2644,-976.3741,-1865.5156,-4934.7969,-1910.4316,4432.9386,-6867.1513,4636.8302,-6052.1658,-4397.0172,1501.3402,-1054.8739,2822.4735,-2300.6661,338.1593,-2751.0911,-3379.4870,332429.8042,318319.1392,325996.2141,323533.9326,314940.9208,317364.5198,319085.8042,322071.4962,6070744.3938,6059026.4595,6099179.2942,6091545.9896,320494.1526,6088630.4414,-495.6522,-4569.6163,2943.0428,5429.0135,4489.2149,4687.9593,-4466.9514,3981.6569,4825.6819,197.2854,4706.2602,1298.6488,827.8751,5546.3523,-3773.1699,5393.2397,-4367.0426,2323.9463,-4807.1320,5334.6178,162438.3307,160364.5430,161208.7512,158908.3201,164896.4439,158655.0703,149854.9712,158196.4225,6611103.3847,6593004.7676,6602867.0516,6620911.2911,158904.6669,6614802.3047,
