sl_10_5400_20290107 Coordinates.csv
2029/01/07 07:47:00.0000 UTC

Generated: Tue Oct  8 21:11:25 2024,
Start: 2029/01/07 07:47:00.00, Stop: 2029/01/07 09:17:00.00,
TIME_UNITS,STARLINK-30572 - X-Coordinate,STARLINK-2543 - X-Coordinate,STARLINK-1200 - X-Coordinate,STARLINK-1797 - X-Coordinate,STARLINK-31107 - X-Coordinate,STARLINK-30914 - X-Coordinate,STARLINK-1130 (DARKSAT) - X-Coordinate,STARLINK-1790 - X-Coordinate,STARLINK-1448 - X-Coordinate,STARLINK-30607 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30572 - Y-Coordinate,STARLINK-2543 - Y-Coordinate,STARLINK-1200 - Y-Coordinate,STARLINK-1797 - Y-Coordinate,STARLINK-31107 - Y-Coordinate,STARLINK-30914 - Y-Coordinate,STARLINK-1130 (DARKSAT) - Y-Coordinate,STARLINK-1790 - Y-Coordinate,STARLINK-1448 - Y-Coordinate,STARLINK-30607 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30572 - Z-Coordinate,STARLINK-2543 - Z-Coordinate,STARLINK-1200 - Z-Coordinate,STARLINK-1797 - Z-Coordinate,STARLINK-31107 - Z-Coordinate,STARLINK-30914 - Z-Coordinate,STARLINK-1130 (DARKSAT) - Z-Coordinate,STARLINK-1790 - Z-Coordinate,STARLINK-1448 - Z-Coordinate,STARLINK-30607 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
2700.000,-4473.3603,-5248.4926,-1583.5658,-4019.9407,-4816.3481,-1887.1441,-5974.8533,6270.6151,2990.2031,4031.2357,-246502.4778,-277533.2805,-257152.1733,-258500.9562,-264501.0609,-263673.3810,-265507.4044,-264247.1834,-117195919.2594,-117226319.5776,-117194141.0995,-117182800.8151,-262750.1829,-117195771.7949,5029.9668,4518.9847,5178.4707,3069.4376,1395.2625,3869.1901,-3134.0893,-1606.9554,-4139.6938,-3832.0621,-243689.8599,-257620.1593,-253205.3206,-251212.3455,-244707.5627,-247760.8643,-253637.1309,-251676.4513,-130681037.3710,-130701300.3274,-130691010.7036,-130697277.9452,-251960.3675,-130697391.8535,-690.9893,-494.7839,-4208.6497,4677.5097,-4670.8816,5307.0297,82.3651,-2396.4756,4638.5238,3944.9687,-65913.9522,-67733.6758,-66162.6189,-68155.5795,-62285.3259,-68775.6802,-77428.9561,-69297.5014,-794736.8338,-812824.3155,-764828.1789,-780692.9407,-68362.9502,-782493.8878,
3000.000,-3446.3918,-4110.2866,-260.2180,-2076.1576,-3975.2864,-202.9939,-6199.2853,5058.3000,931.9976,3423.6499,-241364.4805,-272143.3421,-251818.4415,-253288.9278,-259150.8692,-258247.0166,-260130.7428,-259029.8864,-114308163.6353,-114338332.2095,-114307035.9999,-114295271.4253,-257369.1376,-114308091.0900,5707.7585,5128.0177,6242.1442,3786.1322,3380.5863,5069.8367,-1874.2350,-2651.9864,-4248.2424,-5353.0690,-248758.3049,-263372.1477,-258804.9495,-256857.8832,-250163.4271,-253404.3092,-259038.5856,-257021.8381,-133207288.1192,-133228160.2530,-133217131.0703,-133222994.3544,-257428.1993,-133223663.6948,1142.3618,-2246.8378,-2827.3347,5366.1148,-4441.5544,4579.0621,1884.9487,-3878.8397,5353.2540,2480.2413,-66058.5948,-67878.6393,-66244.1325,-68480.8612,-62379.8678,-68590.4592,-77596.3865,-68974.5786,-795958.5280,-814161.2418,-765953.8319,-781587.8753,-68485.4288,-783743.1348,
3300.000,-2041.5549,-2553.5179,1058.8354,67.5540,-2777.3563,1461.7339,-5768.6706,3343.1180,-1229.7152,2488.3322,-236123.5334,-266632.6473,-246373.1063,-247978.9585,-253687.4027,-252693.6466,-254643.2026,-253574.8009,-111365971.2968,-111395894.6663,-111365499.3330,-111353344.6934,-251874.3461,-111365972.6650,5785.5472,5253.8252,6678.3539,4183.2389,5039.2015,5782.6541,-393.7155,-3476.0474,-3992.0717,-6310.6045,-253719.1668,-269010.8671,-264289.8097,-262399.5316,-255505.8131,-258954.0511,-264325.3529,-262288.2445,-135669750.5091,-135691223.7530,-135679492.6465,-135684934.4482,-262781.1078,-135686150.8665,2844.0780,-3759.7101,-1133.5457,5470.9779,-3721.0322,3340.8356,3468.6603,-4941.4083,5488.0391,736.9061,-66203.3611,-68023.6197,-66329.8641,-68806.0908,-62477.3536,-68404.5724,-77759.3013,-68613.5931,-797174.5311,-815496.5386,-767089.3440,-782486.4066,-68607.8581,-784992.2141,
3600.000,-393.4526,-722.1867,2257.2081,2194.4266,-1335.8274,2945.8768,-4739.3416,1298.8451,-3277.7146,1302.9411,-230781.8726,-261003.6047,-240818.5470,-242575.9167,-248113.0605,-247014.2604,-249047.2375,-247877.9676,-108370750.9476,-108400415.8666,-108370938.4528,-108358428.9407,-246268.2629,-108370825.0652,5268.0215,4899.2745,6435.3441,4221.8666,6201.5050,5923.9677,1164.1413,-4009.3792,-3398.5273,-6610.5897,-258570.3916,-274533.7617,-269657.4398,-267834.9465,-260732.3424,-264409.8688,-269495.2006,-267474.9318,-138067251.9408,-138089317.8904,-138076922.9653,-138081928.0777,-268016.7278,-138083680.7217,4218.1107,-4873.0406,685.6945,4980.6985,-2588.5968,1730.0946,4649.7183,-5470.0449,5028.2857,-1089.2141,-66348.2503,-68168.6134,-66419.8834,-69129.7763,-62577.7680,-68220.1878,-77917.7217,-68252.1819,-798384.8582,-816830.1920,-768234.5799,-783389.2340,-68730.2381,-786241.1258,
3900.000,1333.8825,1210.2939,3232.2273,4090.4950,215.3660,4110.5853,-3230.2629,-868.7358,-5005.1011,-29.4844,-225341.7742,-255258.6763,-235157.1936,-237085.0563,-242430.2912,-241209.8644,-243345.3431,-241946.1233,-105323936.5402,-105353329.9876,-105324785.9703,-105311957.6064,-240553.3917,-105324082.0869,4221.7609,4110.8714,5531.6166,3892.2569,6746.5419,5466.9893,2643.3714,-4205.0558,-2521.8284,-6228.9066,-263309.9717,-279938.3277,-274905.4275,-273161.5149,-265840.6899,-269771.7737,-274545.9474,-272578.2326,-140398650.9177,-140421300.8355,-140408280.6018,-140412836.2081,-273132.7463,-140415111.7103,5106.3934,-5469.3555,2428.9256,3948.4154,-1169.2458,-73.6239,5291.3233,-5408.1844,4023.5998,-2793.1485,-66493.2617,-68313.6170,-66514.2519,-69449.9293,-62681.0970,-68040.2111,-78071.6667,-67928.8852,-799589.5267,-818162.1875,-769389.4019,-784297.0832,-68852.5686,-787489.8700,
4200.000,2963.4726,3057.5718,3903.4952,5566.2681,1733.7389,4852.4436,-1408.7262,-2942.4321,-6236.3823,-1389.2569,-219805.5531,-249400.3771,-229391.5255,-231511.9826,-236641.5912,-235281.5601,-237540.0563,-235796.8343,-102226986.5892,-102256095.7779,-102228499.0689,-102215388.5568,-234732.2843,-102227202.0907,2766.3057,2972.4938,4054.9382,3215.5639,6615.0934,4446.3147,3890.9628,-4042.7278,-1438.3087,-5212.9544,-267935.9465,-285222.1139,-280031.4109,-278376.1904,-270828.5849,-275039.9277,-279475.4639,-277591.9647,-142662837.5902,-142686062.4102,-142672455.7184,-142676551.4573,-278126.9038,-142679333.9225,5406.9536,-5485.9769,3902.9168,2486.2399,379.8459,-1869.1592,5319.3040,-4762.4895,2582.6224,-4184.1740,-66638.3946,-68458.6270,-66613.0228,-69763.9187,-62787.3279,-67868.5084,-78221.1537,-67679.6513,-800788.5564,-819492.5106,-770553.6706,-785210.7089,-68974.8496,-788738.4465,
4500.000,4323.5256,4638.0819,4219.0732,6476.0623,3081.1885,5112.5182,528.5043,-4715.0687,-6845.7626,-2650.6233,-214175.5626,-243431.2734,-223524.0708,-225862.5369,-230749.5036,-229230.6809,-231633.9541,-229457.4284,-99081383.4729,-99110195.8594,-99083558.8085,-99070203.3833,-228807.5393,-99081667.3041,1060.0863,1596.3058,2153.5699,2243.2669,5816.6158,2955.7034,4772.5683,-3530.7285,-240.1222,-3675.2320,-272446.4030,-290382.7228,-285033.0796,-283475.2695,-275693.8119,-280214.4675,-284281.6731,-282508.1047,-144858734.2841,-144882524.6162,-144868370.5944,-144871998.6198,-282996.9953,-144875269.6171,5085.3319,-4921.2000,4944.4175,753.2817,1886.7315,-3456.5608,4730.4229,-3602.1693,861.4964,-5107.2348,-66783.6482,-68603.6400,-66716.2409,-70068.3041,-62896.4489,-67710.1600,-78366.1982,-67534.4243,-801981.9699,-820821.1466,-771727.2445,-786130.8976,-69097.0810,-789986.8554,
4800.000,5265.4898,5792.6195,4158.8058,6732.8957,4136.4950,4880.3520,2376.4707,-6010.0648,-6770.5662,-3693.0940,-208454.1930,-237353.9823,-217557.4055,-220142.5422,-224756.6173,-223059.0070,-225629.6524,-222962.7941,-95888632.7238,-95917136.0173,-95891469.4180,-95877906.6871,-222781.8010,-95888983.1114,-716.9509,111.8562,20.8770,1053.9144,4428.9045,1139.2327,5186.9749,-2706.3522,972.2519,-1780.1956,-276839.4766,-295417.8124,-289908.1758,-288454.1107,-280434.2114,-285295.1833,-288962.5516,-287317.6303,-146985296.0133,-147009642.1485,-146994980.1398,-146998135.1746,-287740.8712,-147001873.7347,4178.3839,-3834.4431,5438.2758,-1061.7172,3184.0002,-4659.6456,3592.7385,-2051.9929,-953.0811,-5459.8621,-66929.0218,-68748.6528,-66823.9421,-70358.6756,-63008.4496,-67571.7108,-78506.8143,-67514.3044,-803169.7920,-822148.0807,-772909.9813,-787058.4701,-69219.2627,-791235.0967,
5100.000,5680.4230,6400.4106,3734.7912,6317.0596,4806.0846,4192.7599,3943.7247,-6699.3513,-6017.9914,-4412.5384,-202643.8706,-231171.1699,-211494.1524,-214357.3356,-218665.5653,-216769.0801,-219529.8053,-216352.3377,-92650262.3079,-92678444.4799,-92653757.5764,-92640025.3538,-216657.7584,-92650677.3337,-2382.2706,-1345.7841,-2124.7092,-252.7944,2590.3504,-823.0239,5077.9865,-1633.9972,2098.1514,273.6515,-281113.3520,-300325.0962,-294654.4957,-293306.8269,-285047.6810,-290280.9883,-293516.1299,-292011.4067,-149041510.9768,-149066402.8927,-149051272.3944,-149053951.7769,-292356.4381,-149058134.3946,2790.2218,-2340.3708,5329.9533,-2761.2788,4127.6125,-5345.4446,2037.9984,-279.3655,-2664.4336,-5203.0110,-67074.5148,-68893.6624,-66936.1541,-70629.5627,-63123.3207,-67461.3210,-78643.0140,-67629.6923,-804352.0500,-823473.2978,-774101.7372,-787994.2851,-69341.3946,-792483.1704,
5400.000,5512.0032,6392.1788,2989.3287,5277.2498,5032.0033,3128.0971,5072.4022,-6716.6550,-4664.2090,-4731.2801,-196747.0570,-224885.5506,-205336.9801,-208511.0288,-212479.0238,-210364.6034,-213337.1040,-209666.5469,-89367821.8928,-89395671.1863,-89371971.6834,-89358107.8164,-210438.1439,-89368299.4978,-3769.5343,-2648.0372,-4062.1764,-1564.1391,485.7449,-2732.9980,4442.2677,-400.9268,3044.7692,2274.3943,-285266.2637,-305102.3453,-299269.8908,-298026.0459,-289532.1759,-295169.1514,-297940.4936,-296580.9788,-151026401.0405,-151051828.4066,-151036269.0107,-151038472.7334,-296841.6602,-151043073.3770,1080.5509,-597.2806,4631.3571,-4161.0445,4612.9498,-5438.4341,246.6041,1523.5602,-4087.6003,-4365.1045,-67220.1263,-69038.6657,-67052.8955,-70874.5289,-63241.0541,-67388.6473,-78774.8079,-67879.6425,-805528.7737,-824796.7827,-775302.3680,-788939.2418,-69463.4766,-793731.0765,
