sl_20_5400_20290828 Coordinates.csv
2029/08/28 07:47:00.0000 UTC

Generated: Tue Oct  8 21:45:07 2024,
Start: 2029/08/28 07:47:00.00, Stop: 2029/08/28 09:17:00.00,
TIME_UNITS,STARLINK-30080 - X-Coordinate,STARLINK-11098 [DTC] - X-Coordinate,STARLINK-3291 - X-Coordinate,STARLINK-1230 - X-Coordinate,STARLINK-31401 - X-Coordinate,STARLINK-3769 - X-Coordinate,STARLINK-4751 - X-Coordinate,STARLINK-3837 - X-Coordinate,STARLINK-5685 - X-Coordinate,STARLINK-31176 - X-Coordinate,STARLINK-3855 - X-Coordinate,STARLINK-31501 - X-Coordinate,STARLINK-31916 - X-Coordinate,STARLINK-31942 - X-Coordinate,STARLINK-4356 - X-Coordinate,STARLINK-11115 [DTC] - X-Coordinate,STARLINK-30704 - X-Coordinate,STARLINK-11174 [DTC] - X-Coordinate,STARLINK-5789 - X-Coordinate,STARLINK-31392 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30080 - Y-Coordinate,STARLINK-11098 [DTC] - Y-Coordinate,STARLINK-3291 - Y-Coordinate,STARLINK-1230 - Y-Coordinate,STARLINK-31401 - Y-Coordinate,STARLINK-3769 - Y-Coordinate,STARLINK-4751 - Y-Coordinate,STARLINK-3837 - Y-Coordinate,STARLINK-5685 - Y-Coordinate,STARLINK-31176 - Y-Coordinate,STARLINK-3855 - Y-Coordinate,STARLINK-31501 - Y-Coordinate,STARLINK-31916 - Y-Coordinate,STARLINK-31942 - Y-Coordinate,STARLINK-4356 - Y-Coordinate,STARLINK-11115 [DTC] - Y-Coordinate,STARLINK-30704 - Y-Coordinate,STARLINK-11174 [DTC] - Y-Coordinate,STARLINK-5789 - Y-Coordinate,STARLINK-31392 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30080 - Z-Coordinate,STARLINK-11098 [DTC] - Z-Coordinate,STARLINK-3291 - Z-Coordinate,STARLINK-1230 - Z-Coordinate,STARLINK-31401 - Z-Coordinate,STARLINK-3769 - Z-Coordinate,STARLINK-4751 - Z-Coordinate,STARLINK-3837 - Z-Coordinate,STARLINK-5685 - Z-Coordinate,STARLINK-31176 - Z-Coordinate,STARLINK-3855 - Z-Coordinate,STARLINK-31501 - Z-Coordinate,STARLINK-31916 - Z-Coordinate,STARLINK-31942 - Z-Coordinate,STARLINK-4356 - Z-Coordinate,STARLINK-11115 [DTC] - Z-Coordinate,STARLINK-30704 - Z-Coordinate,STARLINK-11174 [DTC] - Z-Coordinate,STARLINK-5789 - Z-Coordinate,STARLINK-31392 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
2700.000,-4352.3030,-1248.7830,3963.2995,-2581.0792,-167.1158,2019.7558,219.7954,-5343.8349,337.5163,5950.1968,4831.2709,-527.2173,-6226.3403,2676.8412,-6186.4804,1027.9609,-4047.6532,1796.5618,-5622.7268,6453.0459,-42536.7113,-21016.0146,-39928.6215,-36898.8092,-27903.1948,-31319.3635,-33847.5292,-35624.9634,93151092.5554,93159884.3335,93157993.6838,93154074.5774,-34633.1612,93148768.6821,-2673.4961,-3872.4889,-4218.3532,-3261.3595,5907.9139,-4117.9923,-5300.1521,2071.1710,-5321.3683,-3530.7655,3513.1273,6571.2412,-2434.2270,-6054.1281,2916.3676,5255.9723,-5244.0097,-5474.0289,3009.6531,-1235.6064,-397735.5927,-385519.5670,-393952.4169,-394975.7704,-395680.1063,-393756.6012,-388720.5918,-393457.3123,198565987.1457,198616399.6319,198582785.8728,198584223.2266,-391989.6419,198584202.8532,-4660.2723,5200.2985,3767.5866,5403.2923,-3386.3957,-5145.3423,4399.9519,-3891.5176,4424.2785,242.2936,-3413.3866,1584.1181,-1432.7535,1207.3073,-1046.0416,4114.9872,-1457.5119,3500.2278,2696.0433,1769.9787,97208.5097,91071.7276,96823.5430,93911.2829,100345.1819,94847.9005,85305.4055,94705.1658,-65233754.7890,-65207818.2884,-65205945.4812,-65219783.0832,94408.0323,-65224801.1203,
3000.000,-5438.5668,-3339.3318,2094.6851,-3958.3538,1585.6752,-128.7247,-1479.4819,-3735.2200,-1649.8184,4946.8096,4789.9906,1020.5013,-6761.6116,1236.7201,-5731.8461,2698.7447,-5048.4014,28.6917,-5052.7092,6207.9184,-34151.3173,-12904.7081,-31659.6060,-28603.6490,-19557.0432,-23249.2487,-25481.0024,-27425.5508,88793353.0116,88801521.5619,88800562.6337,88796582.9856,-26321.3541,88791000.5555,-872.3766,-3417.5056,-4417.5495,-1554.3797,6267.1992,-4132.6964,-4219.2051,3074.6881,-5652.4343,-4669.3640,1703.5315,6704.5011,-994.2881,-6606.4719,2220.6152,5571.3002,-4512.4862,-4855.1560,4554.9568,-2779.3035,-398732.5228,-385969.5614,-394439.8604,-395290.8443,-396286.8855,-394300.8665,-389374.1506,-394009.3005,200554384.1584,200605326.1110,200571755.0284,200573502.0908,-392614.8489,200572684.2012,-4179.2198,4558.9561,4875.5959,5330.1459,-2144.1472,-5514.9647,5243.1001,-4958.8037,3653.7452,-1294.6475,-4636.4337,46.8869,107.5508,-353.8323,-3180.8649,2705.3999,365.7133,4673.8058,1299.3816,248.7378,97340.0491,91170.2696,96935.8560,93830.3781,100456.6863,95245.8554,85372.2603,94339.7748,-65237119.2449,-65211527.5687,-65209497.9187,-65223707.7347,94506.5603,-65228346.8475,
3300.000,-6023.0413,-5048.0120,1.4787,-4972.3624,3158.7349,-2270.3804,-3074.7998,-1768.1807,-3458.5674,3455.5094,4312.5642,2461.7082,-6611.6318,-338.3127,-4630.3095,4058.4341,-5518.1079,-1780.1366,-4001.4195,5326.2553,-25739.4182,-4785.2266,-23378.1053,-20290.7643,-11200.8154,-15199.8725,-17102.3686,-19136.3202,84393195.6563,84400722.3582,84400689.0648,84396582.4609,-17998.6273,84390810.8835,985.4814,-2626.9599,-4229.3223,273.2891,5996.7377,-3795.8690,-2755.0116,3829.7788,-5465.5615,-5364.1765,-302.2659,6141.4693,547.5540,-6457.1429,1321.7905,5313.3214,-3300.4831,-3754.3430,5649.8046,-4035.2702,-399550.1299,-386249.7790,-394750.2980,-395405.8744,-396715.9356,-394664.7398,-389849.0485,-394281.7530,202447166.9624,202498624.5513,202465123.3511,202467168.4089,-393063.8137,202465550.4910,-3247.9512,3355.4108,5456.6968,4659.6526,-659.9365,-5286.0688,5516.4985,-5495.5438,2492.0135,-2692.4667,-5353.0485,-1495.7293,1635.8105,-1873.6082,-4973.7947,983.1219,2147.0827,5304.4631,-236.8745,-1300.6705,97470.4022,91269.1670,97043.4912,93755.9761,100565.2862,95636.5634,85443.4402,93987.2414,-65240479.7209,-65215237.9993,-65213058.0145,-65227678.1609,94605.0357,-65231892.5615,
3600.000,-6041.0748,-6178.1301,-2108.0498,-5511.2119,4402.5108,-4188.9379,-4407.5650,360.4871,-4918.7989,1615.2765,3455.5051,3662.1847,-5793.9987,-1895.5531,-2994.5814,4975.7061,-5421.7726,-3439.6536,-2559.3456,3892.5532,-17305.0344,3338.8721,-15087.8282,-11960.8163,-2838.2903,-7177.5949,-8715.4689,-10761.4781,79952718.0936,79959584.7016,79960470.1061,79956169.5394,-9668.7178,79950297.3098,2724.5542,-1576.4844,-3679.3668,2036.5368,5114.9727,-3138.5860,-1057.6538,4267.8862,-4768.9153,-5560.0398,-2304.5318,4939.1975,2049.7502,-5626.9047,342.0753,4495.1068,-1721.5734,-2296.4236,6196.7533,-4888.7384,-400187.7064,-386360.1114,-394883.6766,-395319.2514,-396967.1247,-394847.4302,-390145.0441,-394283.1299,204243431.3222,204295390.1141,204261985.5493,204264306.5801,-393336.3546,204261897.3267,-1966.3889,1737.8189,5448.3725,3466.7185,898.8132,-4483.2200,5190.5994,-5444.7380,1063.3887,-3801.2744,-5485.5633,-2867.4663,2981.1462,-3174.4988,-6233.4970,-852.8102,3682.7938,5319.1971,-1747.7148,-2703.0370,97599.6094,91368.4281,97146.4311,93691.2519,100670.9961,96015.3710,85518.9285,93682.9275,-65243836.3010,-65218949.5564,-65216625.6382,-65231689.7881,94703.4585,-65235438.2623,
3900.000,-5481.1517,-6600.1323,-4022.2401,-5507.9378,5202.1052,-5689.6719,-5340.4291,2439.5757,-5896.3189,-399.5163,2307.1750,4511.5058,-4394.6904,-3282.3366,-998.7811,5368.5553,-4783.2242,-4770.6024,-855.5732,2049.1292,-8852.1958,11464.0293,-6792.4829,-3613.7427,5526.7499,811.6580,-324.1501,-2310.9318,75474037.1879,75480225.8509,75482022.1938,75477461.8334,-1335.3654,75471576.7456,4183.2248,-366.6464,-2822.8033,3561.1488,3703.5734,-2217.2486,704.2454,4344.8419,-3618.4105,-5248.2639,-4100.9730,3221.9350,3372.8094,-4208.9180,-594.5498,3189.7770,68.9959,-639.0826,6152.3659,-5265.5978,-400644.6399,-386300.5254,-394840.0218,-395030.0524,-397040.4005,-394848.1219,-390261.9810,-394030.1059,205942319.0133,205994763.9834,205961482.3303,205964047.4312,-393432.3696,205960866.3255,-472.4851,-94.2828,4851.5798,1884.8878,2355.9358,-3192.9479,4300.7317,-4811.6929,-479.1294,-4502.5390,-5019.6007,-3912.0231,3993.1161,-4105.0250,-6826.4821,-2590.2655,4797.3052,4716.2593,-3071.0887,-3800.1778,97727.7087,91468.0613,97244.6672,93640.2472,100773.8294,96376.2496,85598.7103,93459.2573,-65247189.0705,-65222662.2169,-65220200.6599,-65235737.4163,94801.8286,-65238983.9500,
4200.000,-4387.5184,-6267.1274,-5547.3252,-4949.1515,5487.8715,-6619.2860,-5771.5883,4264.1143,-6305.1814,-2395.7743,978.7507,4932.7250,-2558.6636,-4360.7521,1140.6111,5211.2908,-3680.6365,-5624.0931,953.8640,-18.4115,-384.9403,19586.6870,1504.2244,4751.2274,13890.5213,8762.9301,8067.7380,6200.2355,70959288.0552,70964781.3350,70967480.0622,70962596.9179,6997.6892,70956784.3605,5228.8954,886.2059,-1738.6339,4701.2055,1900.0211,-1109.2750,2360.2646,4045.2911,-2113.5906,-4465.9709,-5506.8544,1167.7523,4392.1659,-2357.6684,-1377.6462,1524.0726,1889.8339,1044.1903,5530.1911,-5138.2211,-400920.4133,-386071.0630,-394619.4381,-394538.5413,-396935.7899,-394666.0440,-390199.7886,-393546.6937,207543018.2325,207595933.7760,207562800.8122,207565568.9597,-393351.8355,207561645.5279,1072.4791,-1914.7910,3730.6252,91.5592,3546.6876,-1554.9290,2943.3915,-3663.5308,-1970.3824,-4721.5047,-4005.5431,-4510.7858,4558.6636,-4557.2094,-6690.3165,-4028.9624,5363.4932,3565.3692,-4065.4185,-4468.7469,97854.7359,91568.0755,97338.1997,93607.9619,100873.7980,96711.6044,85682.7723,93342.6843,-65250538.1167,-65226375.9578,-65223782.9512,-65239815.4309,94900.1460,-65242529.6244,
4500.000,-2857.2359,-5220.2066,-6527.2706,-3878.2941,5241.1377,-6882.1472,-5646.2442,5655.4546,-6115.1440,-4180.0742,-406.2001,4888.7311,-474.4155,-5020.9245,3188.0553,4535.0197,-2236.5694,-5898.5470,2700.3391,-2100.0874,8092.6876,27703.2893,9798.5915,13135.3668,22249.2400,16673.0098,16456.3437,14752.8112,66410623.0450,66415403.9346,66418995.7258,66413731.1233,15326.7057,66408072.5642,5770.1973,2060.8300,-522.6563,5353.2847,-115.9902,92.7758,3754.7129,3385.2923,-389.0756,-3291.4808,-6373.9402,-1010.2540,5009.7350,-271.7454,-1922.9981,-334.2582,3551.9350,2582.1706,4398.0324,-4526.6360,-401014.6038,-385671.8414,-394222.1080,-393846.8390,-396653.3998,-394300.6221,-389958.4815,-392862.4718,209044763.9852,209098133.9303,209065174.9140,209068096.9866,-393094.8089,209063469.7854,2501.4084,-3499.4654,2206.4372,-1712.0684,4336.5618,252.7068,1266.0025,-2122.5115,-3250.9607,-4434.8598,-2553.4449,-4595.9597,4614.6794,-4478.7176,-5839.5265,-5003.7024,5316.9193,1999.9452,-4624.6442,-4633.8097,97980.7246,91668.4798,97427.0375,93600.2965,100970.9130,97012.2919,85771.1030,93351.0402,-65253883.5286,-65230090.7569,-65227372.3842,-65243918.0211,94998.4106,-65246075.2857,
4800.000,-1031.6792,-3582.7652,-6860.2212,-2392.6817,4494.6628,-6450.8349,-4963.7810,6479.0657,-5353.3413,-5577.1756,-1722.8423,4385.0443,1645.6213,-5191.8372,4914.3868,3422.0610,-604.0829,-5552.3015,4218.2299,-3982.7598,16576.6392,35810.2843,18086.9214,21539.9262,30599.1240,24541.3791,24837.8158,23324.9345,61830210.7144,61834262.6558,61838737.4529,61833038.2621,23647.9460,61827609.9804,5764.9409,3042.4898,720.7103,5465.7767,-2140.7286,1288.4284,4761.4304,2412.5857,1397.5733,-1836.4456,-6606.5376,-3086.0029,5163.1880,1827.4091,-2181.5029,-2193.5945,4878.2742,3823.3774,2870.1818,-3495.3825,-400926.8833,-385103.0533,-393648.2917,-392959.6575,-396193.4163,-393751.7355,-389538.1600,-392010.0604,210446838.4513,210500646.0724,210467885.7223,210470905.7046,-392661.4252,210465621.1268,3659.7022,-4653.9016,443.7019,-3323.9791,4636.4595,2032.7101,-549.0470,-353.4961,-4184.3458,-3673.1005,-821.6194,-4157.9141,4154.9160,-3878.6271,-4364.1512,-5403.0158,4662.9075,201.8869,-4689.2532,-4276.9059,98105.7065,91769.2836,97511.1986,93623.7008,101065.1842,97268.0708,85863.6925,93491.6848,-65257225.3966,-65233806.5921,-65230968.8326,-65248039.3845,95096.6224,-65249620.9337,
5100.000,916.6827,-1545.0303,-6509.5975,-634.5034,3328.1536,-5369.3873,-3779.4606,6658.1307,-4100.2826,-6447.1572,-2856.0965,3469.0994,3586.8215,-4848.9228,6122.2890,1995.5602,1049.4853,-4609.9809,5360.3762,-5471.6877,25062.8626,43904.1253,26365.5241,29965.2231,38936.3949,32371.0689,33208.3056,31893.8279,57220234.7942,57223541.6961,57228888.7316,57222708.3168,31957.6761,57217580.4134,5223.0007,3733.6084,1887.1266,5042.2640,-3967.1351,2377.3440,5295.2981,1204.0657,3080.2753,-235.4728,-6172.7427,-4843.6093,4832.2437,3718.6963,-2143.5522,-3858.0911,5722.6853,4651.1619,1095.7194,-2146.6828,-400657.0172,-384364.9660,-392898.3274,-391884.8163,-395556.1054,-393020.0641,-388939.0097,-391022.1598,211748571.3276,211802799.3588,211770261.8365,211773318.1189,-392051.8991,211767429.1008,4422.1466,-5237.1596,-1367.0101,-4564.2791,4412.5806,3590.5681,-2304.4852,1453.5178,-4671.3301,-2517.4456,1000.3273,-3246.2149,3230.6682,-2826.4330,-2420.9861,-5181.3532,3475.9526,-1619.6737,-4252.3550,-3438.0063,98229.7116,91870.4967,97590.7096,93684.3928,101156.6206,97468.7254,85960.5324,93760.7715,-65260563.8128,-65237523.4417,-65234572.1711,-65252173.9033,95194.7812,-65253166.5685,
5400.000,2800.7719,658.5871,-5508.2748,1223.0924,1859.6180,-3748.6387,-2200.1138,6181.1696,-2480.9738,-6699.6840,-3710.5718,2226.1247,5154.2166,-4017.7066,6669.3178,405.8344,2559.5988,-3161.3443,6012.1800,-6410.5827,33547.3049,51981.2729,34630.7178,38409.4690,47257.2792,40168.9092,41563.9681,40437.5353,52582893.1482,52585439.4024,52591647.2285,52584946.1157,40252.1676,52580181.8062,4204.0598,4062.7650,2880.8191,4138.8986,-5406.0025,3267.4464,5319.1502,-139.7016,4499.7105,1366.0090,-5109.1458,-6099.6984,4041.4139,5204.4644,-1838.4582,-5147.9660,5986.2700,4994.6218,-755.9042,-610.5986,-400204.8647,-383457.9222,-391972.6298,-390633.0811,-394741.8124,-392107.4145,-388161.3014,-389928.5651,212949340.1486,213003970.7983,212971679.6906,212974706.3898,-391266.5246,212968271.0971,4706.4294,-5178.3045,-3030.1751,-5295.1725,3690.1356,4756.1508,-3809.9684,3104.0318,-4660.2666,-1091.4898,2712.3914,-1964.2809,1945.1651,-1444.3504,-217.7441,-4363.9607,1891.4970,-3253.1346,-3360.3883,-2211.2451,98352.7683,91972.1295,97665.6062,93787.1575,101245.2297,97605.8901,86061.6162,94143.7476,-65263898.8710,-65241241.2844,-65238182.2756,-65256316.2820,95292.8872,-65256712.1900,
