sl_100_5400_20291120 Coordinates.csv
2029/11/20 07:47:00.0000 UTC

Generated: Tue Oct  8 21:46:06 2024,
Start: 2029/11/20 07:47:00.00, Stop: 2029/11/20 09:17:00.00,
TIME_UNITS,STARLINK-3602 - X-Coordinate,STARLINK-30078 - X-Coordinate,STARLINK-5670 - X-Coordinate,STARLINK-2347 - X-Coordinate,STARLINK-11094 [DTC] - X-Coordinate,STARLINK-5733 - X-Coordinate,STARLINK-1283 - X-Coordinate,STARLINK-30981 - X-Coordinate,STARLINK-30590 - X-Coordinate,STARLINK-4009 - X-Coordinate,STARLINK-4751 - X-Coordinate,STARLINK-3678 - X-Coordinate,STARLINK-30578 - X-Coordinate,STARLINK-3800 - X-Coordinate,STARLINK-6126 - X-Coordinate,STARLINK-31095 - X-Coordinate,STARLINK-2549 - X-Coordinate,STARLINK-4171 - X-Coordinate,STARLINK-31182 - X-Coordinate,STARLINK-1027 - X-Coordinate,STARLINK-4701 - X-Coordinate,STARLINK-3937 - X-Coordinate,STARLINK-5847 - X-Coordinate,STARLINK-6242 - X-Coordinate,STARLINK-31500 - X-Coordinate,STARLINK-32237 - X-Coordinate,STARLINK-3920 - X-Coordinate,STARLINK-31668 - X-Coordinate,STARLINK-4279 - X-Coordinate,STARLINK-31481 - X-Coordinate,STARLINK-4563 - X-Coordinate,STARLINK-31477 - X-Coordinate,STARLINK-31172 - X-Coordinate,STARLINK-4023 - X-Coordinate,STARLINK-30928 - X-Coordinate,STARLINK-1185 - X-Coordinate,STARLINK-6307 - X-Coordinate,STARLINK-2105 - X-Coordinate,STARLINK-31036 - X-Coordinate,STARLINK-31059 - X-Coordinate,STARLINK-32289 - X-Coordinate,STARLINK-31709 - X-Coordinate,STARLINK-4503 - X-Coordinate,STARLINK-4074 - X-Coordinate,STARLINK-5730 - X-Coordinate,STARLINK-32023 - X-Coordinate,STARLINK-30269 - X-Coordinate,STARLINK-30089 - X-Coordinate,STARLINK-5257 - X-Coordinate,STARLINK-6333 - X-Coordinate,STARLINK-30818 - X-Coordinate,STARLINK-4530 - X-Coordinate,STARLINK-5681 - X-Coordinate,STARLINK-4363 - X-Coordinate,STARLINK-5796 - X-Coordinate,STARLINK-4745 - X-Coordinate,STARLINK-2616 - X-Coordinate,STARLINK-6122 - X-Coordinate,STARLINK-4126 - X-Coordinate,STARLINK-2393 - X-Coordinate,STARLINK-30277 - X-Coordinate,STARLINK-11121 [DTC] - X-Coordinate,STARLINK-30799 - X-Coordinate,STARLINK-2134 - X-Coordinate,STARLINK-1265 - X-Coordinate,STARLINK-31464 - X-Coordinate,STARLINK-4775 - X-Coordinate,STARLINK-31965 - X-Coordinate,STARLINK-11118 [DTC] - X-Coordinate,STARLINK-3275 - X-Coordinate,STARLINK-11149 [DTC] - X-Coordinate,STARLINK-2053 - X-Coordinate,STARLINK-1488 - X-Coordinate,STARLINK-3124 - X-Coordinate,STARLINK-5621 - X-Coordinate,STARLINK-2733 - X-Coordinate,STARLINK-30403 - X-Coordinate,STARLINK-32120 - X-Coordinate,STARLINK-31923 - X-Coordinate,STARLINK-1500 - X-Coordinate,STARLINK-5231 - X-Coordinate,STARLINK-5817 - X-Coordinate,STARLINK-4398 - X-Coordinate,STARLINK-4689 - X-Coordinate,STARLINK-11072 [DTC] - X-Coordinate,STARLINK-30409 - X-Coordinate,STARLINK-30556 - X-Coordinate,STARLINK-5107 - X-Coordinate,STARLINK-5007 - X-Coordinate,STARLINK-1281 - X-Coordinate,STARLINK-3653 - X-Coordinate,STARLINK-2180 - X-Coordinate,STARLINK-1013 - X-Coordinate,STARLINK-3513 - X-Coordinate,STARLINK-5374 - X-Coordinate,STARLINK-5600 - X-Coordinate,STARLINK-2095 - X-Coordinate,STARLINK-5749 - X-Coordinate,STARLINK-6275 - X-Coordinate,STARLINK-3845 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3602 - Y-Coordinate,STARLINK-30078 - Y-Coordinate,STARLINK-5670 - Y-Coordinate,STARLINK-2347 - Y-Coordinate,STARLINK-11094 [DTC] - Y-Coordinate,STARLINK-5733 - Y-Coordinate,STARLINK-1283 - Y-Coordinate,STARLINK-30981 - Y-Coordinate,STARLINK-30590 - Y-Coordinate,STARLINK-4009 - Y-Coordinate,STARLINK-4751 - Y-Coordinate,STARLINK-3678 - Y-Coordinate,STARLINK-30578 - Y-Coordinate,STARLINK-3800 - Y-Coordinate,STARLINK-6126 - Y-Coordinate,STARLINK-31095 - Y-Coordinate,STARLINK-2549 - Y-Coordinate,STARLINK-4171 - Y-Coordinate,STARLINK-31182 - Y-Coordinate,STARLINK-1027 - Y-Coordinate,STARLINK-4701 - Y-Coordinate,STARLINK-3937 - Y-Coordinate,STARLINK-5847 - Y-Coordinate,STARLINK-6242 - Y-Coordinate,STARLINK-31500 - Y-Coordinate,STARLINK-32237 - Y-Coordinate,STARLINK-3920 - Y-Coordinate,STARLINK-31668 - Y-Coordinate,STARLINK-4279 - Y-Coordinate,STARLINK-31481 - Y-Coordinate,STARLINK-4563 - Y-Coordinate,STARLINK-31477 - Y-Coordinate,STARLINK-31172 - Y-Coordinate,STARLINK-4023 - Y-Coordinate,STARLINK-30928 - Y-Coordinate,STARLINK-1185 - Y-Coordinate,STARLINK-6307 - Y-Coordinate,STARLINK-2105 - Y-Coordinate,STARLINK-31036 - Y-Coordinate,STARLINK-31059 - Y-Coordinate,STARLINK-32289 - Y-Coordinate,STARLINK-31709 - Y-Coordinate,STARLINK-4503 - Y-Coordinate,STARLINK-4074 - Y-Coordinate,STARLINK-5730 - Y-Coordinate,STARLINK-32023 - Y-Coordinate,STARLINK-30269 - Y-Coordinate,STARLINK-30089 - Y-Coordinate,STARLINK-5257 - Y-Coordinate,STARLINK-6333 - Y-Coordinate,STARLINK-30818 - Y-Coordinate,STARLINK-4530 - Y-Coordinate,STARLINK-5681 - Y-Coordinate,STARLINK-4363 - Y-Coordinate,STARLINK-5796 - Y-Coordinate,STARLINK-4745 - Y-Coordinate,STARLINK-2616 - Y-Coordinate,STARLINK-6122 - Y-Coordinate,STARLINK-4126 - Y-Coordinate,STARLINK-2393 - Y-Coordinate,STARLINK-30277 - Y-Coordinate,STARLINK-11121 [DTC] - Y-Coordinate,STARLINK-30799 - Y-Coordinate,STARLINK-2134 - Y-Coordinate,STARLINK-1265 - Y-Coordinate,STARLINK-31464 - Y-Coordinate,STARLINK-4775 - Y-Coordinate,STARLINK-31965 - Y-Coordinate,STARLINK-11118 [DTC] - Y-Coordinate,STARLINK-3275 - Y-Coordinate,STARLINK-11149 [DTC] - Y-Coordinate,STARLINK-2053 - Y-Coordinate,STARLINK-1488 - Y-Coordinate,STARLINK-3124 - Y-Coordinate,STARLINK-5621 - Y-Coordinate,STARLINK-2733 - Y-Coordinate,STARLINK-30403 - Y-Coordinate,STARLINK-32120 - Y-Coordinate,STARLINK-31923 - Y-Coordinate,STARLINK-1500 - Y-Coordinate,STARLINK-5231 - Y-Coordinate,STARLINK-5817 - Y-Coordinate,STARLINK-4398 - Y-Coordinate,STARLINK-4689 - Y-Coordinate,STARLINK-11072 [DTC] - Y-Coordinate,STARLINK-30409 - Y-Coordinate,STARLINK-30556 - Y-Coordinate,STARLINK-5107 - Y-Coordinate,STARLINK-5007 - Y-Coordinate,STARLINK-1281 - Y-Coordinate,STARLINK-3653 - Y-Coordinate,STARLINK-2180 - Y-Coordinate,STARLINK-1013 - Y-Coordinate,STARLINK-3513 - Y-Coordinate,STARLINK-5374 - Y-Coordinate,STARLINK-5600 - Y-Coordinate,STARLINK-2095 - Y-Coordinate,STARLINK-5749 - Y-Coordinate,STARLINK-6275 - Y-Coordinate,STARLINK-3845 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3602 - Z-Coordinate,STARLINK-30078 - Z-Coordinate,STARLINK-5670 - Z-Coordinate,STARLINK-2347 - Z-Coordinate,STARLINK-11094 [DTC] - Z-Coordinate,STARLINK-5733 - Z-Coordinate,STARLINK-1283 - Z-Coordinate,STARLINK-30981 - Z-Coordinate,STARLINK-30590 - Z-Coordinate,STARLINK-4009 - Z-Coordinate,STARLINK-4751 - Z-Coordinate,STARLINK-3678 - Z-Coordinate,STARLINK-30578 - Z-Coordinate,STARLINK-3800 - Z-Coordinate,STARLINK-6126 - Z-Coordinate,STARLINK-31095 - Z-Coordinate,STARLINK-2549 - Z-Coordinate,STARLINK-4171 - Z-Coordinate,STARLINK-31182 - Z-Coordinate,STARLINK-1027 - Z-Coordinate,STARLINK-4701 - Z-Coordinate,STARLINK-3937 - Z-Coordinate,STARLINK-5847 - Z-Coordinate,STARLINK-6242 - Z-Coordinate,STARLINK-31500 - Z-Coordinate,STARLINK-32237 - Z-Coordinate,STARLINK-3920 - Z-Coordinate,STARLINK-31668 - Z-Coordinate,STARLINK-4279 - Z-Coordinate,STARLINK-31481 - Z-Coordinate,STARLINK-4563 - Z-Coordinate,STARLINK-31477 - Z-Coordinate,STARLINK-31172 - Z-Coordinate,STARLINK-4023 - Z-Coordinate,STARLINK-30928 - Z-Coordinate,STARLINK-1185 - Z-Coordinate,STARLINK-6307 - Z-Coordinate,STARLINK-2105 - Z-Coordinate,STARLINK-31036 - Z-Coordinate,STARLINK-31059 - Z-Coordinate,STARLINK-32289 - Z-Coordinate,STARLINK-31709 - Z-Coordinate,STARLINK-4503 - Z-Coordinate,STARLINK-4074 - Z-Coordinate,STARLINK-5730 - Z-Coordinate,STARLINK-32023 - Z-Coordinate,STARLINK-30269 - Z-Coordinate,STARLINK-30089 - Z-Coordinate,STARLINK-5257 - Z-Coordinate,STARLINK-6333 - Z-Coordinate,STARLINK-30818 - Z-Coordinate,STARLINK-4530 - Z-Coordinate,STARLINK-5681 - Z-Coordinate,STARLINK-4363 - Z-Coordinate,STARLINK-5796 - Z-Coordinate,STARLINK-4745 - Z-Coordinate,STARLINK-2616 - Z-Coordinate,STARLINK-6122 - Z-Coordinate,STARLINK-4126 - Z-Coordinate,STARLINK-2393 - Z-Coordinate,STARLINK-30277 - Z-Coordinate,STARLINK-11121 [DTC] - Z-Coordinate,STARLINK-30799 - Z-Coordinate,STARLINK-2134 - Z-Coordinate,STARLINK-1265 - Z-Coordinate,STARLINK-31464 - Z-Coordinate,STARLINK-4775 - Z-Coordinate,STARLINK-31965 - Z-Coordinate,STARLINK-11118 [DTC] - Z-Coordinate,STARLINK-3275 - Z-Coordinate,STARLINK-11149 [DTC] - Z-Coordinate,STARLINK-2053 - Z-Coordinate,STARLINK-1488 - Z-Coordinate,STARLINK-3124 - Z-Coordinate,STARLINK-5621 - Z-Coordinate,STARLINK-2733 - Z-Coordinate,STARLINK-30403 - Z-Coordinate,STARLINK-32120 - Z-Coordinate,STARLINK-31923 - Z-Coordinate,STARLINK-1500 - Z-Coordinate,STARLINK-5231 - Z-Coordinate,STARLINK-5817 - Z-Coordinate,STARLINK-4398 - Z-Coordinate,STARLINK-4689 - Z-Coordinate,STARLINK-11072 [DTC] - Z-Coordinate,STARLINK-30409 - Z-Coordinate,STARLINK-30556 - Z-Coordinate,STARLINK-5107 - Z-Coordinate,STARLINK-5007 - Z-Coordinate,STARLINK-1281 - Z-Coordinate,STARLINK-3653 - Z-Coordinate,STARLINK-2180 - Z-Coordinate,STARLINK-1013 - Z-Coordinate,STARLINK-3513 - Z-Coordinate,STARLINK-5374 - Z-Coordinate,STARLINK-5600 - Z-Coordinate,STARLINK-2095 - Z-Coordinate,STARLINK-5749 - Z-Coordinate,STARLINK-6275 - Z-Coordinate,STARLINK-3845 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4190.2879,5083.2041,-3095.0510,-2244.9218,-85.6743,-662.7119,-6511.9869,5065.2469,6169.8859,4987.5228,-3024.1086,-177.6508,5997.5356,-4302.5748,-4621.2726,834.8688,3762.5535,5482.6999,4209.2473,-5785.7308,-4023.5165,3940.1482,-1265.5154,6605.7468,1023.1039,0.0000,-674.9376,5100.3189,2062.5399,-4418.2637,4490.4170,-3143.9914,0.0000,4942.5591,4040.7793,1559.7979,-1628.5797,-6511.9891,1556.3629,6193.4481,-5249.0051,142.8350,4870.0205,-3786.8581,2434.2392,2335.2680,1295.6811,4601.1433,-6819.6314,6423.6370,4244.5018,487.6128,3931.3818,-1896.9501,-4567.7749,4047.3704,-4528.1552,367.2507,5332.2759,-5460.2105,4670.6271,-3559.2837,1876.5695,4478.1627,-4807.9485,-3635.7724,-5068.4067,-2142.3332,2732.6270,-4494.8292,-3855.3729,-6606.3839,0.0000,3501.7644,242.2058,-145.4011,-5820.4903,0.0000,6299.2781,2539.3264,6791.4587,176.3124,4397.7813,3947.8672,-684.4965,-35.5757,-4094.1516,2975.6402,4555.1701,5648.4332,-3212.9561,5317.1482,-4149.6266,4453.8147,-4751.6200,3605.4205,-3290.6721,-6492.3672,3244.7172,-4444.0245,257530.3855,237470.6431,249482.7549,252051.1097,252187.5925,250325.8203,243975.1040,248812.4066,77365671.0493,77339168.8484,77363671.6557,77347961.8532,247519.6581,77356023.6842,-1979.8110,-1230.0076,-6144.3476,-3582.8803,-6299.6228,6564.3412,1094.0830,-1902.1071,3130.5375,675.1191,-5572.1667,-6894.0733,2341.2563,4864.5765,3068.0464,-6006.9670,3734.8612,-875.5412,4767.5098,-883.1690,-5409.6257,-5164.0501,-6785.1469,-576.4889,-6164.0612,0.0000,5602.2320,-2611.5806,4073.5067,-4549.9382,-4977.4552,3904.9311,0.0000,3475.3919,4121.7675,6578.9266,6282.4499,-967.2208,-5228.3583,-1186.3525,-57.9854,4649.9510,-2758.8299,-5623.3346,6399.9461,-5182.3856,-5007.3445,5116.0443,534.8642,-83.3506,2796.6297,-4409.4386,-3530.9866,2202.6959,-2925.8197,762.5215,-5040.3347,-5068.0579,-4188.4911,3020.1840,-4264.8820,3206.6637,4892.7930,2190.2494,4275.0852,-5676.0159,4577.3125,-4993.5557,3751.1606,4784.7081,1224.8103,306.4900,0.0000,2511.7336,6772.6170,5954.6754,6.7540,0.0000,1597.0273,3284.4368,1203.0496,2973.5434,4963.2004,-2796.1841,4000.1380,5342.6655,-634.2389,-4532.6565,2303.3153,-22.9855,-3897.8919,-1778.8177,5387.9745,559.0960,1790.0656,3833.2068,-6082.6155,-1980.3515,-2941.4508,1008.4860,-300227.2950,-271297.0423,-293807.2729,-291105.3151,-282553.1987,-284308.6010,-287520.0745,-289484.0558,250480089.9070,250476873.0898,250455057.5869,250468808.7492,-288424.3165,250466656.2734,5073.7435,4536.6981,-787.7831,-5426.9448,-2350.7126,2080.3758,1552.8944,4316.0427,-704.9279,4728.6118,2710.6833,-333.6859,2589.3963,2334.9488,-4157.7022,3220.8220,-4423.2516,-4111.6099,-2497.5234,3558.5001,-1537.8808,2067.3702,504.4569,-2043.2743,2690.9782,0.0000,-3873.5532,-3687.2096,-5143.5673,-2307.3223,-1583.0306,-4634.5335,0.0000,-3502.6668,3845.0749,-107.0007,-2455.5203,-1943.0859,-4116.7340,2580.5612,-4324.8530,-4993.9991,-4010.4046,-1192.2026,-757.4133,3755.3539,-4605.6252,-601.6246,-1180.1095,-2582.0582,-4728.8643,-5293.1269,-4448.1413,6285.5741,4325.2640,5481.6448,1383.2900,-4586.4262,-1299.8190,2803.1186,2650.8368,-4686.4820,-4558.5276,-4762.3564,-2228.6183,1007.6487,165.9270,-4142.0687,-4875.9838,-886.6692,5389.4389,-1448.9990,0.0000,5393.1141,-1447.4641,3461.1479,3727.3793,0.0000,1993.6946,5488.9531,-212.5693,-6285.8936,-1370.4267,4914.3481,-5328.5804,-4387.0392,-5511.7931,4280.1164,-4680.3757,-3946.1363,4653.1211,4014.8007,1257.6848,5205.1469,-4691.9559,-4510.5717,-328.1393,-1343.2978,-5395.1740,5159.8094,145496.6095,140084.3459,144213.2760,142877.0530,147669.4651,140082.1826,133338.3427,142592.3369,-117748079.7553,-117713253.4114,-117729802.6154,-117744682.0478,141999.8829,-117736086.1568,
300.000,2493.9784,4015.0190,-4359.9738,-4117.3862,-1394.6848,992.7407,-6366.0693,4604.5933,6684.5549,4126.7849,-4347.9253,-1367.2900,5829.0204,-2725.0648,-2887.0337,-1016.1259,4123.4237,5856.6887,5552.3882,-4900.1002,-4587.3467,2386.3880,-2693.3432,6574.3691,-570.9310,0.0000,985.2857,4553.2842,3376.6010,-5026.9795,3622.5880,-1249.8364,0.0000,4876.1274,4766.1964,2655.8987,142.3191,-5882.7058,-303.2260,6089.3063,-5908.8343,2024.0803,4655.8940,-4775.2660,3666.6652,477.3122,-857.6047,5576.3037,-6776.8767,6607.4792,5279.9936,-1433.4387,2717.7394,-3655.9111,-3767.2549,4399.3162,-4987.9005,-1775.8267,4576.3481,-3914.3359,3728.0074,-1520.2185,3832.8867,5806.3887,-3264.1175,-4852.7009,-3963.7065,-3637.0533,4572.7003,-3504.4601,-3082.6935,-6577.9098,0.0000,4157.0719,876.1269,1257.7736,-6145.8882,0.0000,5787.0351,4046.6485,6712.4203,1839.9239,3517.9163,3409.5916,1525.0597,1984.4941,-4346.4065,1475.5447,5469.4303,4498.7632,-4937.7144,5414.1670,-2768.8997,3829.0544,-3666.4156,4671.9797,-4222.0836,-6895.9411,1241.6808,-3115.3392,263923.0210,243167.1288,255367.5042,257891.0650,258210.5739,256282.5745,250043.8894,254792.6153,71881715.1662,71854691.8730,71880026.8403,71863928.3727,253540.9491,71872036.3314,-3293.8253,-3096.1347,-5323.7116,-2623.6026,-6550.6717,5975.3688,2334.2725,-3833.1097,1717.4176,-1211.5886,-5259.7638,-6603.1469,516.4115,5047.5923,4243.2726,-5370.2966,1753.0096,-2486.7626,3835.3774,746.6434,-4086.0196,-5257.1853,-6291.5417,-2141.7089,-6658.0460,0.0000,4642.7375,-4382.5869,2368.1463,-2824.2862,-5852.3995,4962.5386,0.0000,1677.1891,2209.0691,5921.2185,5914.9324,420.7536,-4571.2578,-2833.8885,1556.4329,5156.5871,-4378.5394,-4915.6620,5392.5190,-4758.2772,-5018.3803,3961.3043,1158.5054,-1703.0578,937.0652,-5049.1980,-5155.7478,3000.7654,-1354.0427,-1359.8240,-3697.4896,-4733.1495,-5141.6804,3727.5526,-5622.6202,3821.5526,4278.1773,904.0324,4657.1625,-4756.9200,5205.3960,-3489.4436,3127.9785,5535.3630,3262.5296,1550.3606,0.0000,435.0066,6839.2712,6509.6012,1816.8981,0.0000,135.8631,1716.5569,-26.5289,1543.6389,4624.1288,-4612.8328,3927.6359,4656.4845,1500.2501,-5823.7436,404.2738,-1562.2259,-3312.8027,-3414.5831,5616.3213,-1513.7971,3651.5073,1973.6790,-5282.7744,-514.5427,-2679.9352,2705.5010,-294704.9105,-266167.3224,-288526.4266,-285789.2192,-277200.5020,-279066.5440,-282173.8419,-284352.5546,252110901.1597,252107627.2043,252086363.9111,252099073.8119,-283113.8245,252097539.6220,5490.3341,4714.0077,759.0070,-4846.3422,-581.8283,3337.6597,-263.4676,3468.1487,838.4070,5401.6706,1000.5662,1474.8565,3726.2949,3833.6181,-4660.4606,4154.2064,-5253.2686,-2690.2815,-1062.4294,4724.7637,-3176.7579,3619.9108,-1039.9799,-559.2829,1286.7804,0.0000,-4931.9485,-2544.9143,-5504.0720,-3508.6826,223.4494,-4519.0242,0.0000,-4711.4053,4526.2533,-1906.6149,-3627.5219,-3513.9244,-5071.9878,1158.1265,-2985.4763,-3986.4834,-2559.6458,626.6493,-2225.4744,4849.4953,-4695.2680,946.0097,946.9969,-1166.0166,-4409.0753,-4488.3913,-3706.2377,5061.7816,5663.8526,5081.0826,3040.1160,-4615.1177,514.1341,4189.1936,1242.5984,-5291.8213,-3904.1850,-3604.0261,-3745.5051,-548.8756,1957.8146,-4612.7997,-3822.6006,966.6185,5027.0062,373.3874,0.0000,5494.0349,677.9696,1880.4942,2592.7903,0.0000,3559.0257,5296.2631,1591.7824,-6528.3200,-3481.8132,3830.6965,-5206.9514,-4708.8036,-5138.6005,3412.5330,-4228.3780,-4980.1244,3440.6106,2571.6678,2931.2754,5503.0048,-4584.7489,-4724.0955,1474.1772,192.2512,-6290.1963,5509.8989,145554.2066,140116.7853,144313.0342,142758.2470,147758.7816,140418.9906,133326.9526,142196.4676,-117747833.5926,-117713018.8902,-117729007.9338,-117744655.0069,142055.4884,-117735784.9396,
600.000,577.7463,2594.8679,-5206.4678,-5589.6148,-2545.5687,2580.1963,-5547.2474,3728.9645,6559.7223,2904.2248,-5227.1414,-2436.8250,5124.3080,-851.7911,-889.8967,-2795.0514,4132.6259,5666.1643,6327.4610,-3545.9685,-4727.4624,558.7315,-3868.4867,5908.7288,-2094.0574,0.0000,2588.6455,3563.9488,4403.5161,-5139.8265,2386.9990,746.9989,0.0000,4386.3150,5074.6450,3490.8617,1926.2797,-4670.7501,-2167.3569,5369.2244,-5970.2157,3668.8221,3997.4620,-5286.3183,4557.9557,-1462.3976,-2928.8206,6010.4039,-6040.5158,6152.3802,5840.3296,-3182.7154,1272.5707,-5052.8829,-2641.0776,4358.9354,-4980.4359,-3747.3768,3357.7187,-1959.4043,2423.1022,677.8690,5419.5066,6564.8744,-1361.6828,-5577.8228,-2434.3346,-4801.8721,5916.2511,-2106.7909,-2036.3413,-5848.9254,0.0000,4457.8032,1429.1320,2514.6682,-5887.5325,0.0000,4687.4467,5187.2254,5963.0816,3375.4509,2265.0831,2573.0969,3566.7617,3831.4008,-4219.4621,-138.5347,5884.7416,2928.3510,-6155.6714,4990.7844,-1089.8417,2875.9266,-2263.1695,5327.8070,-4748.9318,-6626.4284,-907.4699,-1518.8290,270196.0569,248753.3788,261137.0008,263604.9503,264117.5983,262121.1904,255997.3135,260565.8622,66363425.6401,66335878.0231,66362021.2977,66345598.7020,259448.3318,66353711.9648,-4328.5648,-4686.9616,-3980.5693,-1452.8350,-6091.6217,4818.0408,3330.9145,-5384.4631,131.6841,-3013.9654,-4427.4097,-5650.1986,-1382.2688,4762.4494,5050.0328,-4226.1946,-408.8274,-3826.8128,2523.3136,2343.3330,-2340.5345,-4836.7148,-5182.6400,-3494.7280,-6471.7133,0.0000,3243.3071,-5696.4527,457.1208,-789.5516,-6138.1811,5554.1944,0.0000,-307.3148,84.7862,4628.3349,4999.0341,1803.0508,-3490.0596,-4182.3115,2979.8745,5166.8040,-5542.1736,-3706.2457,3847.6539,-3885.3433,-4587.9698,2411.0092,1676.3493,-3146.7041,-986.5685,-5227.4164,-6285.0538,3410.9732,403.1406,-3326.4147,-1968.3625,-3966.9141,-5583.8915,4099.5133,-6412.2812,4081.3551,3289.3363,-434.1219,4593.1433,-3348.2466,5312.2843,-1656.9539,2211.8411,5664.4784,4963.8012,2633.6775,0.0000,-1667.4689,6202.9840,6418.1187,3430.8487,0.0000,-1375.8986,20.7604,-1271.3681,22.1004,3712.1869,-5962.3488,3487.0323,3556.9049,3470.0987,-6558.1395,-1508.6846,-2992.3562,-2430.5536,-4689.1197,5309.9783,-3456.6599,5176.8174,-57.6385,-3950.2698,1003.4081,-2227.6940,4173.7877,-289045.0567,-260918.9331,-283118.2372,-280348.3400,-271722.4075,-273712.8825,-276699.9733,-279001.4145,253621656.3415,253618305.4583,253597633.4648,253609277.2823,-277677.7018,253608365.0961,5305.5161,4385.7568,2224.1343,-3736.2084,1255.3218,4235.3583,-2049.7883,2247.7260,2292.6663,5491.4440,-818.3922,3123.3817,4465.5775,4916.5182,-4665.3808,4630.4880,-5515.8187,-978.0126,491.5342,5367.6581,-4473.3686,4765.1048,-2472.5531,984.4861,-263.0817,0.0000,-5443.4479,-1115.7505,-5263.3770,-4303.7970,2005.4881,-3898.2307,0.0000,-5427.6973,4724.2096,-3486.6845,-4412.8485,-4697.9112,-5462.4504,-394.8179,-1307.9003,-2532.5394,-829.2547,2376.8659,-3450.9333,5397.8091,-4281.9050,2391.0945,2972.9771,375.4455,-3620.1278,-3198.6649,-2563.6224,3296.4867,6399.1611,4120.2270,4368.9484,-4131.9574,2272.2710,5109.0638,-303.0038,-5272.8861,-2834.6927,-2053.7755,-4840.1514,-2043.6187,3530.5052,-4568.9970,-2323.0783,2701.4532,4080.9327,2152.8044,0.0000,5001.3836,2730.6293,94.8740,1178.3896,0.0000,4720.4054,4526.1417,3223.1436,-6082.3415,-5194.4083,2331.2925,-4469.8745,-4523.4452,-4207.1468,2176.2749,-3323.0332,-5472.7327,1850.0120,849.1789,4288.6785,5198.5181,-3983.7361,-4432.7069,3117.8422,1707.0535,-6519.6882,5259.6747,145611.3468,140149.2558,144408.4181,142637.1090,147845.0393,140760.9831,133320.0505,141789.3846,-117747581.7082,-117712787.2359,-117728220.2420,-117744608.4801,142111.0176,-117735483.4489,
