sl_20_5400_20290817 Coordinates.csv
2029/08/17 07:47:00.0000 UTC

Generated: Tue Oct  8 21:45:10 2024,
Start: 2029/08/17 07:47:00.00, Stop: 2029/08/17 09:17:00.00,
TIME_UNITS,STARLINK-30496 - X-Coordinate,STARLINK-3634 - X-Coordinate,STARLINK-5233 - X-Coordinate,STARLINK-32022 - X-Coordinate,STARLINK-31606 - X-Coordinate,STARLINK-31595 - X-Coordinate,STARLINK-3566 - X-Coordinate,STARLINK-1143 - X-Coordinate,STARLINK-3561 - X-Coordinate,STARLINK-30955 - X-Coordinate,STARLINK-4709 - X-Coordinate,STARLINK-4134 - X-Coordinate,STARLINK-5694 - X-Coordinate,STARLINK-1808 - X-Coordinate,STARLINK-2291 - X-Coordinate,STARLINK-5276 - X-Coordinate,STARLINK-31842 - X-Coordinate,STARLINK-2655 - X-Coordinate,STARLINK-3964 - X-Coordinate,STARLINK-30800 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30496 - Y-Coordinate,STARLINK-3634 - Y-Coordinate,STARLINK-5233 - Y-Coordinate,STARLINK-32022 - Y-Coordinate,STARLINK-31606 - Y-Coordinate,STARLINK-31595 - Y-Coordinate,STARLINK-3566 - Y-Coordinate,STARLINK-1143 - Y-Coordinate,STARLINK-3561 - Y-Coordinate,STARLINK-30955 - Y-Coordinate,STARLINK-4709 - Y-Coordinate,STARLINK-4134 - Y-Coordinate,STARLINK-5694 - Y-Coordinate,STARLINK-1808 - Y-Coordinate,STARLINK-2291 - Y-Coordinate,STARLINK-5276 - Y-Coordinate,STARLINK-31842 - Y-Coordinate,STARLINK-2655 - Y-Coordinate,STARLINK-3964 - Y-Coordinate,STARLINK-30800 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30496 - Z-Coordinate,STARLINK-3634 - Z-Coordinate,STARLINK-5233 - Z-Coordinate,STARLINK-32022 - Z-Coordinate,STARLINK-31606 - Z-Coordinate,STARLINK-31595 - Z-Coordinate,STARLINK-3566 - Z-Coordinate,STARLINK-1143 - Z-Coordinate,STARLINK-3561 - Z-Coordinate,STARLINK-30955 - Z-Coordinate,STARLINK-4709 - Z-Coordinate,STARLINK-4134 - Z-Coordinate,STARLINK-5694 - Z-Coordinate,STARLINK-1808 - Z-Coordinate,STARLINK-2291 - Z-Coordinate,STARLINK-5276 - Z-Coordinate,STARLINK-31842 - Z-Coordinate,STARLINK-2655 - Z-Coordinate,STARLINK-3964 - Z-Coordinate,STARLINK-30800 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,6893.8240,-2866.8833,-2477.9865,6377.0685,4870.5559,-5497.6482,5438.7090,-2469.8803,-3963.5295,759.4265,-4819.5369,-6712.5657,4235.7600,1668.8697,5231.2421,-4708.6641,4669.1273,4904.0767,-5395.7738,-1476.3857,300983.8466,329261.9333,308200.5905,310560.6232,319098.5516,317469.0739,314532.6658,314051.9775,138077801.7337,138101018.4147,138121256.9451,138085791.6816,313519.0815,138096461.0379,574.1955,3038.4684,-5605.8150,-2148.3605,-1434.4639,-3323.5887,-4008.6729,-4323.8082,-3934.2322,-5516.6811,-1184.0686,796.6976,-5138.2492,4302.9011,-273.3457,3782.0965,-4964.1436,26.4783,-4283.6167,6184.0746,129745.0554,139507.7301,135615.7366,133360.2749,132997.7231,134727.0487,141375.0778,138779.8896,161702740.6187,161700541.4853,161708966.0929,161704354.2829,137883.0653,161702302.1004,886.7372,5466.5041,-3158.5198,1090.6935,-4596.7571,-2347.0053,1493.8929,-4733.6895,-4062.9534,-4122.8722,4801.2563,1388.5452,1851.6666,-5155.5648,4343.6270,3373.8928,-349.5227,4683.8631,528.7188,2681.0356,-142911.5964,-149722.4076,-144344.4496,-145232.4782,-140729.3195,-148666.2357,-155029.2004,-147841.8200,-53945287.2763,-53982774.2290,-53948915.5415,-53961652.9490,-146418.5642,-53953595.0219,
300.000,6882.4254,-993.2396,-3910.4969,5929.0190,4286.3816,-6391.3416,4752.9762,-4290.5465,-4246.4025,-1087.7532,-4187.2170,-6589.8329,2570.0679,3137.8621,3988.5705,-3201.2135,3387.7779,5541.8347,-5980.0899,330.0209,298169.5002,326172.9043,305201.1031,307609.7033,316172.1591,314455.7134,311596.7746,311459.4063,134515019.6444,134537933.2274,134558266.4353,134522673.6126,310552.9496,134533593.4253,-927.2027,4158.4273,-5471.4690,-3286.4912,-3456.8929,-2358.3771,-5022.1350,-4008.4038,-2016.9355,-6070.2958,805.6094,2011.2985,-5584.3442,2741.7681,-1881.4867,3562.7570,-5798.1716,-1725.3602,-3218.3868,5754.0398,135891.1457,146299.7316,142286.9204,140063.4845,139531.4201,141329.8661,147860.0340,145438.2488,164681734.1630,164679438.5211,164688659.9767,164682843.7107,144421.4852,164681324.3637,-654.2113,5390.8138,-1514.7531,-736.5312,-4073.4447,-590.4693,-311.6168,-3566.0676,-5059.4808,-3157.7786,5430.4098,-422.8247,3155.3789,-5524.3650,5180.6595,4988.0336,1201.3042,3511.1609,-1284.5211,3790.6969,-142947.7801,-149766.6612,-144331.3722,-145449.6917,-140730.3388,-148431.0574,-155143.3155,-147591.2401,-53948627.4988,-53986141.8447,-53952744.4656,-53964923.5543,-146459.8573,-53957126.1633,
600.000,6216.0019,947.0614,-4937.6666,4860.7336,3311.4786,-6624.0285,3592.6499,-5664.7824,-4162.5257,-2807.3152,-3191.7831,-5805.7932,636.7640,4345.9935,2366.0233,-1335.4896,1752.0615,5623.8261,-5976.4099,2131.5345,295231.5039,322942.4097,302067.1096,304522.1021,313109.3400,311293.7768,308526.8508,308655.6835,130887991.7056,130910608.6240,130931006.5559,130895344.4421,307450.5268,130906479.2791,-2346.5951,4911.1871,-4799.1636,-4090.4748,-5133.0164,-1156.4330,-5539.1680,-3325.4935,112.2995,-6055.8378,2744.5179,3029.0177,-5510.0532,947.1159,-3341.4661,3036.6622,-6048.8825,-3265.9932,-1820.3692,4782.9144,141977.3428,153023.1904,148895.9756,146714.0424,146003.3615,147874.0133,154282.4292,151967.8374,167582243.3647,167579837.4643,167589861.7951,167582833.1936,150896.1540,167581858.5163,-2126.3587,4726.8680,293.9407,-2480.9015,-3098.8086,1231.9287,-2083.6151,-2006.6406,-5509.7635,-1854.2519,5473.1079,-2188.3457,4118.2024,-5300.5083,5433.1448,6065.6787,2617.1200,1938.0098,-2958.9622,4489.0542,-142984.2814,-149810.4601,-144322.2439,-145669.6988,-140734.3012,-148190.1190,-155252.7104,-147251.2520,-53951971.5864,-53989505.0808,-53956574.3606,-53968181.9864,-146501.0471,-53960657.3269,
900.000,4958.4990,2761.5924,-5470.2399,3276.3013,2033.8998,-6177.5136,2059.7063,-6456.4886,-3725.7885,-4240.9113,-1933.5884,-4435.3191,-1379.1369,5170.6963,535.7235,701.0253,-81.3834,5128.1047,-5397.9210,3755.5741,292171.0830,319571.9547,298799.9556,301299.5717,309911.4206,307983.3386,305324.2155,305622.9961,127198446.4959,127220773.6959,127241206.2077,127205533.7306,304213.1820,127216847.3411,-3563.2053,5213.7013,-3641.3657,-4495.9322,-6292.9960,178.4485,-5523.7728,-2326.4450,2240.8980,-5465.0101,4438.4460,3767.9133,-4931.2045,-903.9671,-4502.5985,2271.8751,-5700.2516,-4445.6221,-214.4649,3371.5155,148001.1995,159675.1324,155439.9490,153309.9946,152410.6618,154356.8709,160639.5518,158358.9131,170402883.0658,170400353.4120,170411185.5455,170402939.6974,157304.2321,170402519.3743,-3375.0505,3546.9544,2070.5640,-3946.4929,-1780.5084,2916.7355,-3631.6563,-226.3740,-5365.5387,-351.7666,4924.8415,-3716.7568,4636.2644,-4507.7920,5072.7280,6491.4989,3738.7738,143.7693,-4314.1067,4700.4832,-143021.0937,-149853.7981,-144317.1605,-145892.2457,-140741.1803,-147943.7022,-155357.4193,-146852.6806,-53955319.6237,-53992863.8780,-53960405.1607,-53971428.5945,-146542.1337,-53964188.5129,
1200.000,3230.6066,4274.1477,-5469.3837,1335.1801,568.9461,-5104.5282,295.1911,-6590.2180,-2978.1506,-5259.5278,-533.0007,-2613.2452,-3282.1899,5521.9252,-1313.0775,2699.6215,-1933.1627,4092.9152,-4313.4031,5043.4171,288989.5115,316063.1069,295401.0481,297944.0371,306579.7850,304524.3889,301990.2432,302351.7617,123448142.4497,123470187.3822,123490624.1772,123455000.7909,300842.3434,123466456.2099,-4473.7121,5023.5660,-2100.8112,-4477.5255,-6818.9842,1526.7922,-4991.7477,-1092.9835,4155.1754,-4344.8717,5714.4957,4171.8378,-3909.3581,-2632.7992,-5239.6181,1353.0667,-4795.9833,-5155.2685,1450.8223,1660.6864,153960.2923,166252.6159,161915.9132,159849.5123,158750.4660,160775.8948,166928.7142,164606.8472,173142306.1708,173139639.5439,173151283.3014,173141818.3124,163642.9096,173141959.8235,-4269.4517,1979.6984,3621.3739,-4969.3116,-264.5321,4275.8146,-4789.9360,1578.8111,-4642.1660,1188.4839,3844.6847,-4843.0752,4653.7422,-3230.6949,4139.9408,6220.1374,4440.2342,-1666.8948,-5204.4439,4402.1036,-143058.2106,-149896.6683,-144316.2100,-146116.9923,-140750.9509,-147692.2074,-155457.4740,-146430.1033,-53958671.6935,-53996218.1764,-53964236.8002,-53974663.7353,-146583.1168,-53967719.7211,
1500.000,1197.7217,5342.0848,-4949.0047,-764.3344,-950.8114,-3522.1895,-1533.9703,-6058.8158,-1985.7544,-5775.2244,880.9966,-520.5259,-4885.5203,5352.2476,-2993.5541,4451.8626,-3618.7693,2614.2108,-2838.6040,5865.7031,285688.1106,312417.4958,291871.8557,294457.6250,303115.8752,300916.8151,298526.3612,298840.8360,119638867.0194,119660637.6306,119681048.2978,119645533.8468,297339.4977,119657093.5026,-5000.6549,4344.9713,-321.3823,-4049.2761,-6657.5600,2763.9803,-4007.0711,268.9010,5661.5209,-2794.5851,6438.9445,4213.8591,-2545.0603,-4076.1473,-5466.3548,372.0234,-3433.8308,-5336.7811,3017.0870,-182.8675,159852.2221,172752.7330,168320.9689,166330.9001,165019.9505,167128.6291,173147.2543,170712.2737,175799204.2903,175796387.7656,175808845.8567,175798162.8934,169909.4070,175798871.4631,-4716.1353,196.2061,4777.3940,-5435.3611,1280.8235,5157.6011,-5434.8785,3209.8437,-3417.1237,2600.9960,2349.1181,-5446.2066,4168.7510,-1605.8611,2739.8007,5280.7569,4642.7096,-3287.7730,-5534.7067,3626.1931,-143095.6256,-149939.0639,-144319.4720,-146343.4869,-140763.5894,-147436.1920,-155552.9044,-146018.8774,-53962027.8768,-53999567.9151,-53968069.2138,-53977887.7748,-146623.9966,-53971250.9516,
1800.000,-946.1449,5870.0523,-3972.5029,-2805.4719,-2387.2838,-1598.6533,-3250.7510,-4923.4951,-833.5285,-5748.6529,2182.5540,1634.0154,-6029.2235,4663.4428,-4340.2877,5771.4215,-4966.9613,836.5793,-1123.5869,6135.5747,282268.2494,308636.8117,288213.9074,290842.7000,299521.1900,297160.3839,294934.0497,295096.9793,115772435.8236,115793940.5453,115814294.5976,115778949.1791,293706.1892,115790575.0029,-5098.5961,3230.1731,1525.5927,-3261.3364,-5825.5222,3771.5996,-2673.8873,1637.8054,6606.0615,-956.7227,6531.7164,3897.1312,-967.9161,-5101.7358,-5146.1595,-581.4942,-1754.7627,-4986.9134,4330.8399,-1982.8059,165674.6152,179172.6110,174652.2460,172752.5997,171216.3246,173412.7202,179292.5367,176680.8454,178372308.3656,178369329.3333,178382603.3516,178370706.6820,176100.9767,178371985.2300,-4668.5736,-1608.7338,5412.9401,-5292.8214,2683.7335,5463.9241,-5497.8656,4486.8600,-1822.1822,3733.9626,599.6639,-5461.4872,3233.5428,192.0926,1030.2415,3774.0117,4323.3767,-4534.9231,-5269.5807,2456.7851,-143133.3327,-149980.9779,-144327.0183,-146571.1307,-140779.0737,-147176.4220,-155643.7385,-145652.4332,-53965388.2527,-54002913.0322,-53971902.3358,-53981101.0893,-146664.7730,-53974782.2043,
2100.000,-2996.8605,5818.4853,-2644.7471,-4575.0989,-3609.2769,465.1484,-4684.8982,-3306.4165,381.5314,-5191.6230,3260.0705,3634.3839,-6596.5251,3508.4384,-5225.8118,6514.2857,-5837.1691,-1061.2461,662.4573,5818.1626,278731.3436,304722.8056,284428.7924,287101.9101,295797.2847,293254.7255,291214.8409,291133.7917,111850691.7818,111871939.5208,111892206.4337,111857090.2572,289944.0198,111868743.7957,-4757.7556,1775.9205,3258.0288,-2194.0095,-4408.1689,4448.5706,-1125.3309,2887.6297,6890.9207,996.0056,5975.6780,3253.5576,675.6283,-5620.6514,-4297.6196,-1427.8098,71.7079,-4155.3225,5258.2522,-3570.0402,171425.1246,185509.4132,180906.9050,179113.1875,177336.8309,179625.9337,185361.9535,182522.6830,180860389.2752,180857235.4596,180871325.8794,180858222.9097,182214.9041,180860072.0052,-4131.7724,-3238.2757,5459.0953,-4557.4689,3788.1572,5160.6772,-4972.1356,5269.2534,-29.6769,4465.7274,-1214.6033,-4887.2230,1949.0003,1969.2781,-795.6728,1861.6038,3517.9277,-5267.4482,-4437.2605,1020.7048,-143171.3261,-150022.4028,-144338.9120,-146799.1326,-140797.3829,-146913.9412,-155730.0022,-145360.0183,-53968752.8985,-54006253.4653,-53975736.1009,-53984304.0673,-146705.4460,-53978313.4792,
2400.000,-4759.4489,5205.9080,-1100.5313,-5885.7060,-4504.3033,2456.5955,-5689.5739,-1376.9819,1558.0789,-4164.6867,4025.5988,5278.7653,-6526.0832,1987.8752,-5572.8281,6595.1142,-6134.3516,-2884.4562,2347.6030,4935.2363,275078.8551,300677.2874,280518.1595,283238.2433,291945.7702,289199.3259,287370.3186,286970.3287,107875504.2364,107896504.3628,107916653.6133,107881826.8573,286054.6474,107893469.3881,-4004.9884,115.0524,4701.0561,-949.7583,-2550.2659,4721.1926,489.6017,3899.0632,6485.0718,2877.1554,4819.3545,2340.6233,2235.8038,-5595.1678,-2994.4330,-2103.7028,1864.6050,-2937.3070,5698.7350,-4798.7426,177101.4303,191760.3407,187082.1388,185411.3604,183378.7469,185766.1721,191352.9257,188251.6005,183262258.4217,183258917.9005,183273824.0749,183259525.3818,188248.5088,183261943.2013,-3161.7527,-4515.2693,4910.9294,-3311.0627,4471.3083,4281.4925,-3913.4855,5471.0506,1766.0228,4717.8062,-2897.7980,-3784.8842,453.8619,3533.7378,-2531.8573,-250.9178,2316.7152,-5402.9128,-3126.6772,-526.1687,-143209.5999,-150063.3313,-144355.2080,-147026.4483,-140818.4976,-146650.1631,-155811.7194,-145164.9646,-53972121.8895,-54009589.1509,-53979570.4438,-53987497.1111,-146746.0156,-53981844.7764,
