TIME_UNITS,STARLINK-5303 - X-Coordinate,STARLINK-4745 - X-Coordinate,STARLINK-31721 - X-Coordinate,STARLINK-11210 [DTC] - X-Coordinate,STARLINK-11078 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5303 - Y-Coordinate,STARLINK-4745 - Y-Coordinate,STARLINK-31721 - Y-Coordinate,STARLINK-11210 [DTC] - Y-Coordinate,STARLINK-11078 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5303 - Z-Coordinate,STARLINK-4745 - Z-Coordinate,STARLINK-31721 - Z-Coordinate,STARLINK-11210 [DTC] - Z-Coordinate,STARLINK-11078 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
32400.000,2359.2381,3999.8617,-1093.0037,4198.9189,-6204.3543,90568.8345,81893.6739,86004.2006,87614.7601,80817.4034,81643.4878,75408.2854,80383.9789,-128597060.2161,-128598584.6130,-128582579.8223,-128587863.3932,80034.1770,-128581811.6135,-536.6765,5534.5823,5581.2781,4915.4293,1996.2222,-371703.5598,-345823.7551,-364531.8529,-365861.9668,-359727.2671,-360876.9761,-365272.6742,-363180.1421,78565104.0957,78615527.3968,78595668.9296,78574470.9462,-364564.4277,78571118.7733,-6516.9275,-763.3622,-3759.1707,-1848.4778,-1729.8019,147587.8953,144615.0907,145897.8400,152830.2114,148967.6942,138793.8941,145162.3889,148426.5585,-371938.9034,-388172.0621,-390989.3607,-392398.3318,147342.4281,-384132.5224,
36000.000,-1065.1256,-4667.6555,-2028.2022,-4167.2593,4645.1481,179388.5500,166482.8391,174638.1256,175963.0746,170489.1716,170603.4852,163928.3384,168610.5233,-144615842.2140,-144627805.8195,-144608235.1953,-144606609.7504,168656.0595,-144600286.5696,4784.6317,-3515.6989,-6502.8517,-655.7481,-3666.3876,-335048.7400,-314487.1123,-333930.9213,-333479.4565,-326745.8483,-328239.7079,-333476.2891,-333891.2398,42549800.0159,42593827.3199,42576184.2687,42550479.4568,-332563.8067,42554948.8155,4909.3068,-3617.2958,165.7407,5223.2494,-3237.1761,147826.7918,145081.7609,147693.7595,152560.4787,151556.5031,140698.7394,142780.4920,146764.2667,-389623.1811,-408296.4236,-411992.6069,-411675.2506,147967.5489,-401825.3269,
39600.000,928.4241,4048.2859,4058.1560,3140.5630,176.4136,255147.2993,240628.6087,251825.8411,253012.7437,248621.3903,248245.6674,242164.3522,246303.1448,-150749959.1125,-150770027.5339,-150746579.3529,-150735182.2829,246354.9504,-150733652.3390,-6870.9634,-712.4091,4171.1517,-4453.4140,4041.9858,-277794.4798,-262971.3506,-282056.4692,-280180.9412,-272967.5691,-274539.0781,-280295.3570,-278397.8533,3600949.8764,3636175.3379,3620903.4953,3595361.2218,-279437.9224,3605537.1812,-462.8447,5493.7436,3534.5279,-3939.3150,5384.6257,148062.4200,145565.9555,149551.2011,151830.6041,153488.0867,143301.9991,141315.3363,150054.7724,-408119.1211,-428409.9106,-432647.7867,-428184.8304,148580.8170,-419539.5565,
43200.000,-454.9567,-3161.7233,-5061.6645,-1365.9050,-4842.0285,313070.6908,299652.1938,312671.5568,313610.1208,310512.8983,309689.8311,304604.9341,308391.9742,-146573674.9051,-146599030.5299,-146571141.5936,-146551071.6854,308205.2065,-146556382.0261,5440.4576,4903.8170,325.8419,6521.4702,-3692.8576,-204481.8603,-194501.7065,-212352.3287,-209595.1978,-201633.5610,-203735.8368,-209069.6384,-209501.6514,-35618156.2819,-35593295.2408,-35605526.3240,-35624733.6124,-208615.9222,-35613645.7972,-4299.3577,-3633.3375,-4556.0019,-896.4510,-2898.1782,148340.0402,146072.9855,151136.6707,150591.5359,154883.0240,146704.4657,140614.1702,147648.9843,-427376.0984,-448501.3592,-452794.4355,-442734.2303,149182.1737,-437275.2112,
46800.000,-1612.8906,1838.1962,4759.4450,-1606.1850,6113.6889,349957.1868,339825.0485,353405.2486,353046.9277,352388.6879,351308.3981,347047.1465,350262.0380,-132366470.7653,-132394106.8694,-132361308.8462,-132337827.6900,350301.6528,-132348227.7394,-1799.6886,-6577.7358,-4403.2677,-4293.0238,1907.9409,-121442.5350,-113355.9788,-129364.4971,-126416.6170,-117280.6724,-121607.1789,-124434.5769,-123991.2876,-72424072.9587,-72410250.5738,-72418078.3453,-72426071.1798,-124645.8675,-72419101.4386,6501.0023,-741.7148,2086.0643,4906.5924,-2115.2300,148873.7069,146610.0023,152186.3705,148947.4498,155813.4446,150822.3142,140580.8200,151464.4223,-447295.5888,-468559.8512,-472242.7273,-456078.0294,149771.5609,-455032.2913,
50400.000,4691.1585,587.0735,-2604.5478,4957.9805,-3816.0905,369493.2143,358600.1017,371580.2132,367580.0553,371711.2544,370689.3555,366717.8788,370015.0174,-109094387.5813,-109121371.1374,-109083748.0370,-109065271.9568,370005.6447,-109075492.1204,-1411.2051,5077.6329,5981.5903,127.1980,1714.0713,-35754.5318,-24594.8236,-38405.7593,-34108.7130,-25319.0491,-35201.4923,-31940.8148,-33467.1571,-104296798.4249,-104293849.0310,-104295221.5954,-104290969.2154,-32902.4866,-104290915.8834,-4932.9642,4580.2033,1957.1672,-4541.0381,5278.5043,150855.3380,147187.0798,152576.8807,149425.1141,156315.8616,151910.6510,141168.0837,148671.0302,-467737.5502,-488574.5186,-490767.0559,-469221.9328,150348.9216,-472810.7968,
54000.000,-6434.8478,-3924.3259,-1290.2599,-6036.6872,408.3157,370884.1994,354771.0728,366166.4619,361269.1629,367374.9875,366838.0818,362415.1081,366354.5874,-78344376.1688,-78368055.4078,-78326741.9995,-78322188.0558,366109.8941,-78325309.9574,2572.8132,-1920.7285,-4933.4648,2955.8689,-5488.0075,57437.8852,66257.1891,54786.9201,61519.7494,68343.1795,56133.9300,62350.4296,61315.3736,-129052324.7737,-129059355.6151,-129051793.0401,-129040547.1590,60756.9018,-129045287.1173,438.1396,-5306.9703,-4525.4954,85.6790,-3899.3141,152676.1215,147819.2485,152358.2204,152540.2165,156401.4594,148733.2770,142366.0228,152632.9906,-488529.4916,-508534.3562,-508107.2648,-484149.2061,150914.1993,-490610.7279,
57600.000,4981.1757,6378.3306,5208.7458,3078.5035,2088.3857,347213.6443,328552.9282,337568.8266,333085.9627,339796.1255,339844.5387,334578.9394,338597.3203,-42216106.6844,-42234256.4370,-42191856.9443,-42203411.2887,338911.8066,-42197409.3843,-2267.2640,-895.3278,2466.4125,-4004.5273,6352.9168,150026.7866,153561.2703,144378.7017,152174.6996,157677.2717,145642.5800,152295.0004,149736.3798,-144992320.6717,-145007857.5708,-144989041.7719,-144982761.5367,150366.2642,-144984153.7661,4269.5550,2378.5059,3625.5894,4425.0321,-871.1792,153929.7479,148530.7457,151740.4275,155056.7875,156059.6043,146279.6745,144199.0516,149850.7557,-509477.6438,-528428.0358,-523994.3181,-504515.0767,151467.3385,-508432.0846,
61200.000,-773.4709,-5998.1375,-6809.4663,2254.8869,-3511.9370,299775.0308,281587.5358,287594.4746,283710.8460,290905.3826,291066.1556,285283.7058,290649.7592,-3178606.2781,-3189518.3344,-3150229.8174,-3166129.5595,290190.9219,-3160734.3380,2294.6805,2558.7702,243.3503,3902.6123,-3056.8289,234202.9838,231925.5302,224749.3700,232469.6101,236891.5662,226043.8572,232100.0872,231083.2055,-151020680.5770,-151042820.7989,-151011545.8376,-151017509.0309,230230.6691,-151011673.5664,-6516.1899,2153.4580,22.5308,-4990.7169,4867.4930,154918.3946,149365.3254,151037.2541,156915.8031,155257.2955,144742.4360,146730.1612,153559.6511,-530379.5090,-548243.7118,-538235.1395,-529504.0252,152008.2843,-526274.8670,
64800.000,-3533.4134,2540.8722,4978.6094,-5963.4907,4371.3283,231757.6817,216911.4903,219373.7568,216099.8594,224048.3276,223561.0532,218205.7943,222679.6209,36098488.5631,36095954.8590,36126865.3173,36117310.5255,223092.1590,36115281.2914,-3386.9417,-3656.4144,-2863.2657,-2911.0036,-2126.9973,303745.0850,296554.9412,290806.7112,297565.8583,300696.6245,291689.5315,296751.2510,294242.5806,-146718932.2125,-146745489.9952,-146702823.5830,-146716169.7974,295287.8793,-146709561.8424,4916.4867,-5236.6530,-3673.1751,1064.9037,-4675.7191,155743.1830,150417.5863,150582.0671,158237.8588,153945.5106,143968.8174,150060.1470,151182.5198,-551036.9743,-567968.8133,-550894.0417,-552451.1213,152536.9829,-544139.0751,
68400.000,5395.3173,1978.6156,-881.6294,5531.2944,-3941.1339,147764.0660,139114.6240,137216.3552,134548.3081,143681.7105,141724.9514,138880.4397,142227.9916,72927528.6150,72933919.9824,72951593.6972,72950936.8052,141922.5494,72943257.1648,4353.4391,4579.6946,5027.8627,334.7002,5454.5593,353680.8905,343458.1958,338306.4288,343484.4311,344180.6274,338173.1833,342422.3533,342766.1993,-132375304.9950,-132403947.4422,-132353998.6241,-132367307.9211,341428.7879,-132366110.7719,-473.8110,4712.1361,4503.4495,3794.7043,423.2103,156450.4474,151969.3808,150638.4923,159095.0875,152228.6216,143862.6621,154104.9953,154264.1912,-571269.1424,-587589.8102,-562508.5394,-571877.6561,153053.3811,-562024.7089,
72000.000,-4421.7721,-4963.8276,-3037.7360,-2146.2147,1106.6733,53480.2512,54313.1056,46377.5686,44283.7282,53090.7488,50926.8620,54171.7730,51797.8716,104786800.6709,104802058.5472,104804079.8641,104809977.5579,51874.6138,104801744.7835,-3213.1512,-4648.2579,-5792.8169,3579.0041,-5169.7556,380479.8591,366771.9365,364159.8775,367429.6660,363334.9966,362464.2085,366450.0654,364258.8379,-108965433.8039,-108993813.9686,-108943145.7349,-108950649.6065,365756.4440,-108956876.7083,-4291.1261,-985.0407,-1916.2677,-5273.4385,4175.2082,157065.7939,154426.6500,151329.7489,159524.0062,152634.3384,144376.7814,155118.3338,152634.2626,-590924.0467,-607091.9450,-574060.2925,-588549.3532,153557.4264,-579931.7683,
75600.000,2378.8153,5324.4368,5071.6837,-1285.7643,3409.6708,-44719.4227,-36048.1061,-47275.6832,-48897.6735,-42048.2927,-42883.5514,-36685.8741,-41561.5548,129493228.5163,129516693.6979,129504297.1629,129511833.6262,-41305.8400,129507859.0909,-437.6556,2647.7954,4012.8884,-6282.3846,2647.6152,382243.7904,364687.1603,366686.8189,368000.0026,361923.1641,363065.3271,367515.4968,368420.0079,-78085987.0972,-78111884.0953,-78067445.0898,-78066680.2892,366767.3799,-78078328.8786,6500.2176,-3445.1770,-2153.0686,2008.2881,-5182.9599,157605.0867,155523.1043,152605.6134,159535.8044,155675.8356,145501.2485,151867.2622,154784.4634,-609888.4929,-626458.9167,-586535.6670,-603270.5105,154049.0675,-597860.2534,
79200.000,-1224.3568,-3903.9592,-5053.5211,3195.7914,-6525.1523,-140213.0854,-124081.9916,-137679.2044,-139001.1085,-133469.9678,-133596.2501,-126966.6823,-131104.5200,145351988.7318,145382432.7580,145359995.5487,145364300.0666,-131686.2429,145366844.1794,4735.8822,1308.1288,82.7618,5068.2046,-11.8573,358810.0919,340962.7671,345762.7526,345296.9000,338610.3048,340102.3745,345396.8933,342819.4719,-41845737.5565,-41867209.4431,-41834130.7316,-41826729.7415,344443.9294,-41838972.2425,-4940.1487,5488.6918,4559.7215,3036.7582,1693.1308,158078.9331,156010.8407,154255.8650,159119.8554,158118.1975,147260.4893,149339.9827,154151.5567,-628095.3899,-645672.4988,-600497.0071,-616795.8075,154528.2536,-615810.1641,
82800.000,1133.1160,2177.3335,3750.7994,-4026.6715,5544.9380,-226586.5524,-203522.4502,-219016.3601,-220188.6203,-215736.1424,-215372.8240,-209341.7919,-214498.3992,151272780.4408,151308479.9745,151281944.2978,151281087.8714,-213524.7420,151288325.3458,-6836.1491,-5298.6268,-4484.8381,-263.8244,-2036.3862,311744.1175,296759.8059,302826.2204,300937.8036,293762.2324,295336.4187,301144.9302,301779.5697,-2721514.2734,-2737059.5065,-2717527.9547,-2708229.0769,300251.9140,-2715369.8433,449.0232,-3798.6578,-3506.0296,-5379.8522,3241.5151,158494.8193,156316.0949,155966.6112,158243.1700,159902.7027,149717.5066,147728.7189,155172.6949,-645528.0946,-664712.0718,-616056.3756,-630137.9772,154994.9349,-633781.5002,
86400.000,-644.0937,-546.5785,-1526.8480,4018.7366,-1074.0549,-298071.1205,-269391.9611,-286130.5411,-287047.1051,-283882.8513,-283076.7201,-278038.2687,-280423.2210,146844770.2053,146883639.1175,146858887.2583,146855803.4320,-281634.6280,146861273.3358,5441.3562,6828.1803,6636.6397,-4546.3599,3908.1145,244216.5560,234725.2373,240744.4355,237977.1432,230041.9846,232151.5450,237528.1603,235765.2560,36611113.6700,36602402.7992,36609157.1390,36615833.0075,237044.0963,36617103.8855,4261.2731,-518.8750,-240.9042,2884.1017,-5392.0953,158858.2437,156535.8985,157404.3969,156856.7556,161149.9637,152973.0986,146880.7351,155665.5237,-662221.4899,-683554.0408,-633073.9842,-645303.5423,155449.0624,-651774.2617,
