sl_100_5400_20291206 Coordinates.csv
2029/12/06 07:47:00.0000 UTC

Generated: Tue Oct  8 21:45:42 2024,
Start: 2029/12/06 07:47:00.00, Stop: 2029/12/06 09:17:00.00,
TIME_UNITS,STARLINK-31259 - X-Coordinate,STARLINK-30310 - X-Coordinate,STARLINK-31680 - X-Coordinate,STARLINK-32250 - X-Coordinate,STARLINK-4589 - X-Coordinate,STARLINK-30475 - X-Coordinate,STARLINK-5975 - X-Coordinate,STARLINK-2461 - X-Coordinate,STARLINK-30284 - X-Coordinate,STARLINK-2175 - X-Coordinate,STARLINK-31052 - X-Coordinate,STARLINK-2502 - X-Coordinate,STARLINK-6070 - X-Coordinate,STARLINK-2077 - X-Coordinate,STARLINK-2431 - X-Coordinate,STARLINK-2182 - X-Coordinate,STARLINK-31682 - X-Coordinate,STARLINK-2105 - X-Coordinate,STARLINK-5237 - X-Coordinate,STARLINK-31747 - X-Coordinate,STARLINK-3687 - X-Coordinate,STARLINK-31708 - X-Coordinate,STARLINK-1397 - X-Coordinate,STARLINK-3288 - X-Coordinate,STARLINK-30875 - X-Coordinate,STARLINK-30967 - X-Coordinate,STARLINK-5512 - X-Coordinate,STARLINK-2674 - X-Coordinate,STARLINK-31056 - X-Coordinate,STARLINK-1764 - X-Coordinate,STARLINK-31237 - X-Coordinate,STARLINK-5744 - X-Coordinate,STARLINK-3285 - X-Coordinate,STARLINK-5058 - X-Coordinate,STARLINK-5455 - X-Coordinate,STARLINK-5072 - X-Coordinate,STARLINK-5264 - X-Coordinate,STARLINK-2178 - X-Coordinate,STARLINK-5384 - X-Coordinate,STARLINK-3166 - X-Coordinate,STARLINK-2488 - X-Coordinate,STARLINK-30939 - X-Coordinate,STARLINK-11151 [DTC] - X-Coordinate,STARLINK-31102 - X-Coordinate,STARLINK-31349 - X-Coordinate,STARLINK-4337 - X-Coordinate,STARLINK-32230 - X-Coordinate,STARLINK-3940 - X-Coordinate,STARLINK-4195 - X-Coordinate,STARLINK-4505 - X-Coordinate,STARLINK-1013 - X-Coordinate,STARLINK-5924 - X-Coordinate,STARLINK-5415 - X-Coordinate,STARLINK-4776 - X-Coordinate,STARLINK-3101 - X-Coordinate,STARLINK-30808 - X-Coordinate,STARLINK-2257 - X-Coordinate,STARLINK-3503 - X-Coordinate,STARLINK-31015 - X-Coordinate,STARLINK-4603 - X-Coordinate,STARLINK-4095 - X-Coordinate,STARLINK-3368 - X-Coordinate,STARLINK-5784 - X-Coordinate,STARLINK-30607 - X-Coordinate,STARLINK-31636 - X-Coordinate,STARLINK-31247 - X-Coordinate,STARLINK-31532 - X-Coordinate,STARLINK-2612 - X-Coordinate,STARLINK-6147 - X-Coordinate,STARLINK-6330 - X-Coordinate,STARLINK-1780 - X-Coordinate,STARLINK-11128 [DTC] - X-Coordinate,STARLINK-4414 - X-Coordinate,STARLINK-30549 - X-Coordinate,STARLINK-6046 - X-Coordinate,STARLINK-4410 - X-Coordinate,STARLINK-32212 - X-Coordinate,STARLINK-5108 - X-Coordinate,STARLINK-3575 - X-Coordinate,STARLINK-1401 - X-Coordinate,STARLINK-4710 - X-Coordinate,STARLINK-3998 - X-Coordinate,STARLINK-4717 - X-Coordinate,STARLINK-3929 - X-Coordinate,STARLINK-32202 - X-Coordinate,STARLINK-31602 - X-Coordinate,STARLINK-4437 - X-Coordinate,STARLINK-31533 - X-Coordinate,STARLINK-4096 - X-Coordinate,STARLINK-30871 - X-Coordinate,STARLINK-30757 - X-Coordinate,STARLINK-2108 - X-Coordinate,STARLINK-3500 - X-Coordinate,STARLINK-5224 - X-Coordinate,STARLINK-3866 - X-Coordinate,STARLINK-31393 - X-Coordinate,STARLINK-2689 - X-Coordinate,STARLINK-31285 - X-Coordinate,STARLINK-31965 - X-Coordinate,STARLINK-1301 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31259 - Y-Coordinate,STARLINK-30310 - Y-Coordinate,STARLINK-31680 - Y-Coordinate,STARLINK-32250 - Y-Coordinate,STARLINK-4589 - Y-Coordinate,STARLINK-30475 - Y-Coordinate,STARLINK-5975 - Y-Coordinate,STARLINK-2461 - Y-Coordinate,STARLINK-30284 - Y-Coordinate,STARLINK-2175 - Y-Coordinate,STARLINK-31052 - Y-Coordinate,STARLINK-2502 - Y-Coordinate,STARLINK-6070 - Y-Coordinate,STARLINK-2077 - Y-Coordinate,STARLINK-2431 - Y-Coordinate,STARLINK-2182 - Y-Coordinate,STARLINK-31682 - Y-Coordinate,STARLINK-2105 - Y-Coordinate,STARLINK-5237 - Y-Coordinate,STARLINK-31747 - Y-Coordinate,STARLINK-3687 - Y-Coordinate,STARLINK-31708 - Y-Coordinate,STARLINK-1397 - Y-Coordinate,STARLINK-3288 - Y-Coordinate,STARLINK-30875 - Y-Coordinate,STARLINK-30967 - Y-Coordinate,STARLINK-5512 - Y-Coordinate,STARLINK-2674 - Y-Coordinate,STARLINK-31056 - Y-Coordinate,STARLINK-1764 - Y-Coordinate,STARLINK-31237 - Y-Coordinate,STARLINK-5744 - Y-Coordinate,STARLINK-3285 - Y-Coordinate,STARLINK-5058 - Y-Coordinate,STARLINK-5455 - Y-Coordinate,STARLINK-5072 - Y-Coordinate,STARLINK-5264 - Y-Coordinate,STARLINK-2178 - Y-Coordinate,STARLINK-5384 - Y-Coordinate,STARLINK-3166 - Y-Coordinate,STARLINK-2488 - Y-Coordinate,STARLINK-30939 - Y-Coordinate,STARLINK-11151 [DTC] - Y-Coordinate,STARLINK-31102 - Y-Coordinate,STARLINK-31349 - Y-Coordinate,STARLINK-4337 - Y-Coordinate,STARLINK-32230 - Y-Coordinate,STARLINK-3940 - Y-Coordinate,STARLINK-4195 - Y-Coordinate,STARLINK-4505 - Y-Coordinate,STARLINK-1013 - Y-Coordinate,STARLINK-5924 - Y-Coordinate,STARLINK-5415 - Y-Coordinate,STARLINK-4776 - Y-Coordinate,STARLINK-3101 - Y-Coordinate,STARLINK-30808 - Y-Coordinate,STARLINK-2257 - Y-Coordinate,STARLINK-3503 - Y-Coordinate,STARLINK-31015 - Y-Coordinate,STARLINK-4603 - Y-Coordinate,STARLINK-4095 - Y-Coordinate,STARLINK-3368 - Y-Coordinate,STARLINK-5784 - Y-Coordinate,STARLINK-30607 - Y-Coordinate,STARLINK-31636 - Y-Coordinate,STARLINK-31247 - Y-Coordinate,STARLINK-31532 - Y-Coordinate,STARLINK-2612 - Y-Coordinate,STARLINK-6147 - Y-Coordinate,STARLINK-6330 - Y-Coordinate,STARLINK-1780 - Y-Coordinate,STARLINK-11128 [DTC] - Y-Coordinate,STARLINK-4414 - Y-Coordinate,STARLINK-30549 - Y-Coordinate,STARLINK-6046 - Y-Coordinate,STARLINK-4410 - Y-Coordinate,STARLINK-32212 - Y-Coordinate,STARLINK-5108 - Y-Coordinate,STARLINK-3575 - Y-Coordinate,STARLINK-1401 - Y-Coordinate,STARLINK-4710 - Y-Coordinate,STARLINK-3998 - Y-Coordinate,STARLINK-4717 - Y-Coordinate,STARLINK-3929 - Y-Coordinate,STARLINK-32202 - Y-Coordinate,STARLINK-31602 - Y-Coordinate,STARLINK-4437 - Y-Coordinate,STARLINK-31533 - Y-Coordinate,STARLINK-4096 - Y-Coordinate,STARLINK-30871 - Y-Coordinate,STARLINK-30757 - Y-Coordinate,STARLINK-2108 - Y-Coordinate,STARLINK-3500 - Y-Coordinate,STARLINK-5224 - Y-Coordinate,STARLINK-3866 - Y-Coordinate,STARLINK-31393 - Y-Coordinate,STARLINK-2689 - Y-Coordinate,STARLINK-31285 - Y-Coordinate,STARLINK-31965 - Y-Coordinate,STARLINK-1301 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31259 - Z-Coordinate,STARLINK-30310 - Z-Coordinate,STARLINK-31680 - Z-Coordinate,STARLINK-32250 - Z-Coordinate,STARLINK-4589 - Z-Coordinate,STARLINK-30475 - Z-Coordinate,STARLINK-5975 - Z-Coordinate,STARLINK-2461 - Z-Coordinate,STARLINK-30284 - Z-Coordinate,STARLINK-2175 - Z-Coordinate,STARLINK-31052 - Z-Coordinate,STARLINK-2502 - Z-Coordinate,STARLINK-6070 - Z-Coordinate,STARLINK-2077 - Z-Coordinate,STARLINK-2431 - Z-Coordinate,STARLINK-2182 - Z-Coordinate,STARLINK-31682 - Z-Coordinate,STARLINK-2105 - Z-Coordinate,STARLINK-5237 - Z-Coordinate,STARLINK-31747 - Z-Coordinate,STARLINK-3687 - Z-Coordinate,STARLINK-31708 - Z-Coordinate,STARLINK-1397 - Z-Coordinate,STARLINK-3288 - Z-Coordinate,STARLINK-30875 - Z-Coordinate,STARLINK-30967 - Z-Coordinate,STARLINK-5512 - Z-Coordinate,STARLINK-2674 - Z-Coordinate,STARLINK-31056 - Z-Coordinate,STARLINK-1764 - Z-Coordinate,STARLINK-31237 - Z-Coordinate,STARLINK-5744 - Z-Coordinate,STARLINK-3285 - Z-Coordinate,STARLINK-5058 - Z-Coordinate,STARLINK-5455 - Z-Coordinate,STARLINK-5072 - Z-Coordinate,STARLINK-5264 - Z-Coordinate,STARLINK-2178 - Z-Coordinate,STARLINK-5384 - Z-Coordinate,STARLINK-3166 - Z-Coordinate,STARLINK-2488 - Z-Coordinate,STARLINK-30939 - Z-Coordinate,STARLINK-11151 [DTC] - Z-Coordinate,STARLINK-31102 - Z-Coordinate,STARLINK-31349 - Z-Coordinate,STARLINK-4337 - Z-Coordinate,STARLINK-32230 - Z-Coordinate,STARLINK-3940 - Z-Coordinate,STARLINK-4195 - Z-Coordinate,STARLINK-4505 - Z-Coordinate,STARLINK-1013 - Z-Coordinate,STARLINK-5924 - Z-Coordinate,STARLINK-5415 - Z-Coordinate,STARLINK-4776 - Z-Coordinate,STARLINK-3101 - Z-Coordinate,STARLINK-30808 - Z-Coordinate,STARLINK-2257 - Z-Coordinate,STARLINK-3503 - Z-Coordinate,STARLINK-31015 - Z-Coordinate,STARLINK-4603 - Z-Coordinate,STARLINK-4095 - Z-Coordinate,STARLINK-3368 - Z-Coordinate,STARLINK-5784 - Z-Coordinate,STARLINK-30607 - Z-Coordinate,STARLINK-31636 - Z-Coordinate,STARLINK-31247 - Z-Coordinate,STARLINK-31532 - Z-Coordinate,STARLINK-2612 - Z-Coordinate,STARLINK-6147 - Z-Coordinate,STARLINK-6330 - Z-Coordinate,STARLINK-1780 - Z-Coordinate,STARLINK-11128 [DTC] - Z-Coordinate,STARLINK-4414 - Z-Coordinate,STARLINK-30549 - Z-Coordinate,STARLINK-6046 - Z-Coordinate,STARLINK-4410 - Z-Coordinate,STARLINK-32212 - Z-Coordinate,STARLINK-5108 - Z-Coordinate,STARLINK-3575 - Z-Coordinate,STARLINK-1401 - Z-Coordinate,STARLINK-4710 - Z-Coordinate,STARLINK-3998 - Z-Coordinate,STARLINK-4717 - Z-Coordinate,STARLINK-3929 - Z-Coordinate,STARLINK-32202 - Z-Coordinate,STARLINK-31602 - Z-Coordinate,STARLINK-4437 - Z-Coordinate,STARLINK-31533 - Z-Coordinate,STARLINK-4096 - Z-Coordinate,STARLINK-30871 - Z-Coordinate,STARLINK-30757 - Z-Coordinate,STARLINK-2108 - Z-Coordinate,STARLINK-3500 - Z-Coordinate,STARLINK-5224 - Z-Coordinate,STARLINK-3866 - Z-Coordinate,STARLINK-31393 - Z-Coordinate,STARLINK-2689 - Z-Coordinate,STARLINK-31285 - Z-Coordinate,STARLINK-31965 - Z-Coordinate,STARLINK-1301 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4210.7294,5259.4212,5481.0893,-4383.0705,-5280.1073,-5204.6586,4572.3828,4285.7454,1428.2927,-2922.3133,-3363.3111,-4813.1437,2087.7964,-6587.8865,-2605.5076,-6079.6411,0.0000,1302.1427,-4115.9224,-5482.1476,-5997.0213,-1554.3561,-4364.1073,5677.7206,3671.4452,5918.1377,-5204.7141,-1595.5034,3538.2989,54.1323,1549.0832,-4897.5369,2586.6233,-5240.7731,3643.3072,-4261.5638,-2891.5779,3764.7289,879.5411,-5871.5532,4054.0816,3904.6527,-4479.2500,2585.6022,2958.5776,-6041.6485,-4081.9967,-2706.3182,5401.8898,5268.4858,5735.9046,1841.1804,-1026.5574,-3781.2469,-5363.0175,2343.8104,-4134.6007,-2209.9913,-2866.4376,-6435.5904,-4021.8030,534.9727,5843.3795,6492.3666,5043.3854,-3780.3879,4798.4584,2535.8686,4981.8811,5414.8384,1062.8203,-4508.0730,4517.5526,6205.8414,-735.7873,5700.9206,3793.2026,-978.2309,-5461.1492,0.0000,4786.0354,-3370.1133,-2464.1059,5493.9241,-4251.6187,-3804.0217,1606.1896,4944.5766,3940.8884,-5263.7809,-414.4509,0.0000,-585.5472,-5033.8168,6650.8414,-3553.9337,418.5819,-3997.2992,-5835.6766,-2370.1223,-87017.5512,-118032.9184,-101850.4538,-100053.7888,-102216.5031,-103561.9625,-108779.1996,-106705.7689,69448436.1558,69477157.9404,69446261.1713,69463057.7654,-105117.7618,69463383.1804,3959.8863,4118.1541,-3771.4758,-2802.2793,-1325.6468,-3099.6774,-2155.5320,-5091.4169,6751.3971,5927.9302,5909.8642,3210.2780,5095.1992,-1884.9953,3880.5221,-1619.8783,0.0000,5322.2415,1448.7610,1634.6593,2195.0500,5983.2373,-4013.3840,-1630.0730,-4089.5247,-1546.1309,-4586.8220,6656.7709,-2298.6621,6752.8295,-4812.5857,2089.8174,-4492.5171,-1193.2337,2980.1997,2932.5164,-5402.0649,-5396.1684,5002.6233,2351.9433,-1034.3273,2872.6430,-436.0344,3825.1191,6089.6084,-2757.9844,-948.5303,-4964.4332,2052.2404,-1736.3722,1996.1966,3528.0024,-5953.4170,-3162.0302,1997.6630,-4731.6065,-4804.5674,3551.2853,-4247.3871,1643.4371,2947.0065,-6813.4701,-1929.9847,-120.4998,-4225.4462,-2415.5742,-4554.6105,5248.2183,-2208.0387,318.4262,-4083.8702,-2937.1997,-3826.0255,2846.4775,-4845.7293,-3822.2058,3743.2285,-5180.9777,-2015.2442,0.0000,-3796.8738,-3061.3254,6529.7873,-4035.2617,5182.7885,-5450.9941,1692.2183,4210.2752,-1990.5900,-869.3035,-6443.7401,0.0000,-5464.9736,-2489.3825,-113.5575,-3930.5772,6796.2356,-4044.0380,-2103.7412,-5132.0688,312192.1574,330565.7897,310835.8244,314186.6303,322467.1676,320247.5121,315442.7882,316431.8836,265276285.9819,265279838.1171,265299393.6368,265289886.2291,315531.4780,265284227.6713,-3663.8204,-1543.1669,1476.1899,4476.1064,-4250.8536,3207.1169,4709.5212,-1727.4071,67.6298,1854.5840,-1318.8381,-3753.4075,-4233.0462,-832.7285,5043.3596,-2893.2732,0.0000,4119.0749,-5337.0023,3746.6107,-2612.4508,2843.1871,-3484.8315,-3551.9736,-4127.9266,-3268.8717,202.8896,719.1176,-5384.5669,1375.8161,4572.3689,4416.9229,-4575.9019,4355.5076,5100.3197,-4633.8088,-3210.4777,-1918.1078,4685.9169,-2779.5605,-5512.0374,-4852.4568,5035.0621,5143.5327,279.2112,-1988.4360,-5375.5597,3837.0717,3758.5610,4086.4819,-3321.5110,-5592.8947,3310.7127,4422.8026,-3858.8292,4462.9312,2622.7971,-5505.2134,-4684.5232,1896.0053,4757.0090,1096.4385,-3212.9989,-2089.9558,1872.9405,5100.3686,-1611.7033,-3347.1334,4241.9756,-4313.5482,-5461.5968,-4052.7017,-3600.3789,531.0960,-4928.5059,-964.2599,4318.1226,-4453.1981,-3724.2101,0.0000,-3216.7529,-5219.4687,-266.0621,990.0681,-1133.9342,1755.7763,6456.3848,2041.7256,-5305.1488,-4425.4679,-2543.4954,0.0000,-4171.6850,4013.4026,1864.8561,4254.9894,-1051.5290,3646.8316,2845.8271,3966.3933,-141817.3538,-146710.6139,-141864.8196,-143275.1862,-138440.4820,-145965.9030,-152771.3464,-144164.1588,-113368190.0693,-113392627.1896,-113389092.9125,-113374856.6104,-144101.9191,-113379631.0743,
300.000,4829.3448,5693.0792,4814.5670,-5817.2423,-6279.4977,-6339.6466,3438.6010,3400.9358,2816.8875,-1860.6247,-2021.2282,-3040.5971,2329.5393,-6388.6126,-1362.8568,-6802.3477,0.0000,2576.6180,-3794.1039,-5267.0771,-4637.7347,34.3678,-4538.0555,4205.6763,1686.7766,4632.9226,-5904.1565,-287.5510,1889.6589,1290.5473,-618.8673,-4298.7934,551.4244,-5907.4708,3041.6054,-2428.1031,-3626.0003,2820.6124,2907.9351,-5724.6001,3537.7599,4126.2957,-5182.7108,3658.5546,4191.7796,-6095.6819,-3999.7418,-4299.4706,4872.5688,3679.2329,5189.4045,3506.8571,-2477.6851,-5372.5670,-3734.4060,223.3570,-4518.2845,-446.8882,-4378.4232,-5335.1947,-3512.4572,-673.5827,4474.6004,5600.2894,4093.5722,-4066.4707,3222.3016,3369.1532,3481.7239,4793.6171,-939.4648,-5884.8678,5463.9594,6518.7852,-1846.8222,5894.1769,5376.9816,-2695.5227,-4918.9274,0.0000,3078.9336,-4024.5844,-1207.4926,4286.8077,-3270.1406,-4890.0969,2136.9623,5400.4086,3409.3877,-4920.1550,-1991.3210,0.0000,-2041.6868,-4096.1657,5824.2377,-4550.2234,1605.6672,-5525.9991,-5594.1027,-3293.4977,-93538.1676,-124877.7715,-108551.1183,-106808.4954,-108802.8009,-110180.9645,-115320.0401,-113170.5191,63642736.4656,63671788.7805,63640369.5329,63656657.4246,-111693.8240,63657763.9020,2017.5184,2483.9838,-4813.9982,-1762.7446,39.1969,-1773.3577,-3979.6373,-5972.9984,6093.6200,6609.4856,6620.0474,3833.9010,3377.1166,-561.4195,5384.1259,-433.3024,0.0000,3819.1937,3472.2012,3484.8252,3113.4994,5335.0501,-2193.0192,-2726.6162,-4796.1156,-3006.7233,-3216.2371,6420.7916,-3738.3142,6048.7286,-5001.4356,4014.7481,-4360.5294,689.7100,1119.0275,2819.3505,-3805.3513,-6242.8139,4267.3796,3712.0702,-3101.5477,774.0523,1430.1922,1967.4216,5171.1327,-3290.3437,1243.2635,-4771.1407,247.2100,-2866.8636,300.3440,4108.0706,-6202.9039,-2261.7386,2275.9538,-5052.2238,-3190.9831,4732.3529,-2715.9208,2669.6599,4721.2918,-6853.2826,-3296.6092,-1399.0396,-5470.9388,-260.4370,-5217.5969,3602.8458,-3701.7026,-1707.2701,-4748.9081,-1963.5238,-3977.5642,1662.7197,-5836.1951,-3410.9330,3054.2209,-5516.3486,-229.3488,0.0000,-4235.2368,-1013.3880,6572.5643,-4662.4323,5917.9655,-4834.8715,3661.2357,2494.1052,-3951.5169,1236.4548,-5529.0642,0.0000,-4149.3124,-1076.9242,-1363.8017,-2026.3680,6110.2516,-2982.3571,-215.2492,-3444.8525,310409.5750,328061.1579,308522.1122,311892.0419,320259.0625,317911.5569,313240.7969,314291.9834,266731875.0208,266735566.4369,266754373.0619,266745762.0139,313281.9728,266739806.1838,-4409.7940,-2904.3827,-342.0047,3189.4519,-2874.2241,1915.5981,4480.5894,69.6656,1591.7917,64.1544,216.7256,-4860.4114,-5604.8211,-2557.0824,4057.3663,-1214.3316,0.0000,5073.6291,-4589.7420,2625.3421,-4051.4223,4219.9086,-4679.9629,-4732.2191,-4625.9026,-4195.9330,1714.8433,2456.5804,-5408.7387,3034.9688,4590.1441,3644.0059,-5337.9528,3535.8105,6134.9765,-5864.8031,-4497.6326,-129.8813,4592.5017,-1079.0779,-5074.1032,-5424.4250,4088.6234,5523.6530,-1274.5954,237.8722,-5377.2413,2339.6946,4867.6645,5069.1433,-4572.4124,-4236.4952,1695.3702,3147.4274,-5340.9325,4713.5059,4053.3407,-5020.2412,-4653.8091,3477.6048,3590.2737,-718.3621,-4160.9871,-3636.8806,363.8668,5433.9549,-2962.4518,-4566.7125,4674.7678,-4705.3471,-4918.8695,-2622.8811,-1521.4835,-1288.8953,-3292.1581,1280.5853,2971.5925,-3150.2818,-4848.7735,0.0000,-4500.9897,-5544.9094,-2034.7077,2702.2841,695.3883,-42.1004,5401.4796,3306.4257,-4515.7915,-4723.9217,-3693.0615,0.0000,-5121.3696,5447.2842,3451.8139,4622.0687,-2752.7235,2494.9809,3900.5805,4994.9750,-141829.5590,-146720.0874,-141812.3968,-143439.1602,-138397.8433,-145673.8894,-152827.4246,-143709.9353,-113366686.6657,-113390544.2747,-113387758.0732,-113373627.7786,-144091.9157,-113378029.2130,
600.000,5005.0063,5578.9931,3644.1325,-6663.4916,-6662.8514,-6839.2812,2008.0397,2170.3092,3943.5302,-610.3359,-480.4230,-960.6755,2408.7368,-5561.6053,-26.3429,-6851.1824,0.0000,3642.2661,-3143.7504,-4542.0622,-2813.6203,1659.1881,-4304.0686,2323.0435,-459.9499,2915.0894,-6044.3392,1075.9847,88.3644,2431.2624,-2719.6842,-3316.5315,-1556.6718,-6023.5435,2203.5025,-329.3298,-4051.5023,1588.7701,4665.2886,-5013.2912,2728.1720,3990.3174,-5369.3481,4425.3755,5000.1013,-5485.4150,-3564.8673,-5434.6362,3897.6889,1736.8355,4165.7304,4772.2411,-3663.0808,-6356.0113,-1713.4822,-1916.7359,-4484.6813,1321.6347,-5500.0413,-3701.3880,-2690.8427,-1823.3691,2686.6326,4138.0520,2733.2277,-3989.5048,1302.9307,3891.5363,1666.1061,3748.9881,-2820.9414,-6626.4619,5824.6738,6168.8416,-2732.2982,5433.7907,6407.5745,-4119.2317,-3929.5560,0.0000,1052.2068,-4342.9906,186.5243,2632.5664,-1938.3108,-5480.7864,2356.9389,5331.1052,2588.4841,-4144.3373,-3408.8985,0.0000,-3344.4002,-2783.7935,4424.5145,-5121.7827,2662.4841,-6473.3475,-4813.4053,-3944.5294,-100023.7543,-131668.8692,-115205.4279,-113526.8079,-115342.9628,-116752.0604,-121814.7829,-119485.5009,57806591.0795,57835967.0579,57804055.4998,57819810.6145,-118221.8320,57821699.7030,-129.9358,584.0309,-5358.1800,-580.2379,1369.5274,-287.8718,-5433.3564,-6248.9884,4833.4404,6618.0982,6686.7100,4128.9717,1310.2860,845.0687,6359.0524,782.6316,0.0000,1948.3669,5142.2262,4969.8704,3766.5182,4158.0606,-133.1260,-3602.4430,-5071.2775,-4214.4153,-1522.8563,5545.2518,-4841.3582,4741.8337,-4725.8434,5545.4603,-3853.5066,2481.8385,-891.8058,2495.3318,-1827.6736,-6449.1990,3158.0067,4691.7922,-4867.0920,-1407.3407,3112.8712,-60.3706,3708.8581,-3460.2449,3307.7942,-4108.5333,-1617.4328,-3764.8982,-1461.9083,4303.2677,-5838.5147,-1143.2560,2389.8195,-4925.7132,-1235.1833,5484.8163,-955.2672,3468.8281,6014.7196,-6212.7860,-4383.9635,-2573.3054,-6161.7220,1919.4512,-5372.4503,1568.5294,-4870.5913,-3588.1863,-4988.5588,-808.7719,-3676.5326,294.7980,-6255.0940,-2642.1865,2087.6347,-5326.2437,1614.6519,0.0000,-4300.5539,1120.9230,5989.8710,-4846.6094,6035.9213,-3728.3568,5247.4512,506.4275,-5517.1052,3235.5307,-4094.7840,0.0000,-2447.9717,500.4988,-2516.2626,71.6806,4812.2659,-1632.6273,1719.5845,-1422.3004,308490.9655,325414.1517,306072.7032,309456.3048,317913.1748,315423.7161,310903.3129,311950.3163,268060421.8751,268064267.3509,268082305.8622,268074513.4192,310895.4745,268068346.2568,-4666.2249,-3944.5426,-2121.7081,1551.4064,-1186.5380,412.0569,3768.1385,1859.0528,2943.0175,-1733.3761,1728.9783,-5440.3889,-6382.1313,-4004.4120,2627.4062,595.1503,0.0000,5467.7699,-3343.8519,1211.5277,-5051.3306,5119.5165,-5363.3443,-5398.4264,-4617.0853,-4675.2274,3043.6134,3925.1388,-4832.5688,4363.2998,4092.4361,2479.1779,-5525.9466,2335.7889,6517.3985,-6473.9002,-5301.2457,1672.7216,4003.8750,738.2065,-4091.4703,-5399.0432,2670.0372,5309.0955,-2682.4076,2438.6529,-4775.5296,581.1208,5447.8088,5500.3247,-5332.8392,-2413.9222,-104.8018,1487.5627,-6245.8212,4456.4386,5036.4182,-3994.9058,-4128.1673,4682.9011,2033.0501,-2455.9423,-4666.1924,-4775.9706,-1185.7562,5151.4669,-3979.0134,-5252.2270,4602.2911,-4594.1335,-3843.8558,-887.2021,720.6557,-2965.8442,-1306.3876,3388.0714,1297.0921,-1505.7125,-5450.6820,0.0000,-5298.5950,-5277.1255,-3590.3190,4119.4341,2445.6840,-1835.3786,3753.5895,4197.4508,-3237.5292,-4517.6743,-4449.1006,0.0000,-5516.7194,6291.8052,4665.3842,4465.1939,-4154.0821,1054.8904,4518.1107,5483.6691,-141841.8125,-146729.3067,-141764.2051,-143605.1619,-138358.0654,-145376.5797,-152878.8383,-143282.9499,-113365188.1025,-113388454.3300,-113386420.4533,-113372439.0128,-144081.8034,-113376427.0633,
