sl_5_86400_20291008 Coordinates.csv
2029/10/08 07:47:00.0000 UTC

Generated: Tue Oct  8 21:11:29 2024,
Start: 2029/10/08 07:47:00.00, Stop: 2029/10/09 07:47:00.00,
TIME_UNITS,STARLINK-6302 - X-Coordinate,STARLINK-11108 [DTC] - X-Coordinate,STARLINK-1996 - X-Coordinate,STARLINK-3518 - X-Coordinate,STARLINK-11244 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-6302 - Y-Coordinate,STARLINK-11108 [DTC] - Y-Coordinate,STARLINK-1996 - Y-Coordinate,STARLINK-3518 - Y-Coordinate,STARLINK-11244 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-6302 - Z-Coordinate,STARLINK-11108 [DTC] - Z-Coordinate,STARLINK-1996 - Z-Coordinate,STARLINK-3518 - Z-Coordinate,STARLINK-11244 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-3504.9391,-2113.2662,1303.5041,4120.4236,-2231.6604,-136767.6518,-145533.5410,-147281.0825,-143776.3301,-138029.8737,-140499.0849,-147433.9625,-144859.8842,99871456.5972,99850519.8431,99861184.3897,99848254.4428,-145386.1134,99856506.0450,-5082.7520,5807.5324,6497.5833,-5479.9781,5189.3571,304937.1302,334160.7547,311229.4661,311579.2903,317907.0952,317798.5004,319678.5343,318054.8353,216933472.3714,216968985.9442,216935306.2765,216940513.3906,316661.1900,216941118.8350,-3126.0767,-2705.9017,1931.6293,-850.9045,3506.8674,-80500.1906,-81461.0713,-78982.4486,-80119.0890,-75454.2069,-83202.4114,-89774.8498,-80076.2242,-102672630.2174,-102640894.6953,-102644323.1811,-102671513.1157,-81135.2481,-102660994.3609,
3600.000,4854.6011,-1899.5049,-2942.5344,-1453.3102,-2781.0249,-208583.2300,-223559.7540,-222850.1504,-220075.7296,-211904.8893,-216777.1494,-220835.0611,-219747.9566,40286621.6793,40257143.3528,40278183.7957,40264373.0052,-219502.4143,40271095.6534,1423.2036,-3592.8083,-3598.2315,4972.4727,-3053.9789,262770.5549,288010.1080,265667.4707,267347.9504,271857.4823,270601.5112,273295.0463,268936.1005,235409939.7518,235446913.3876,235419146.5238,235410730.9642,270198.5031,235418375.7919,4709.0903,5371.6575,-5109.8318,4561.2322,-5221.4707,-82186.2371,-83096.9523,-80002.5475,-83550.3399,-76522.9644,-81009.8316,-91628.7174,-83652.3966,-102701282.1682,-102672629.2552,-102672578.4060,-102699886.0791,-82450.2989,-102691027.5926,
7200.000,-5504.1339,5780.3441,4728.6682,-2642.5504,6429.4353,-268380.9236,-287737.5452,-284290.4371,-281876.0574,-272043.0713,-281751.8573,-280397.5462,-279558.8259,-22054947.8189,-22093809.9623,-22065581.7366,-22072605.1745,-279644.5103,-22071432.1447,2506.5028,595.7976,-489.7967,-3410.5305,312.0997,204061.6737,223857.3165,203363.6143,208871.6855,208934.4767,204838.5577,210322.1469,207927.8045,237825609.8789,237860952.7830,237842137.1695,237822927.7895,206797.2821,237834456.1683,-3364.9520,-3426.3867,4997.2787,-5401.5870,1676.5084,-83869.6703,-84716.7598,-81669.2362,-84314.1530,-77987.1891,-82608.3281,-92846.4002,-82319.6355,-102729246.3971,-102704547.6312,-102702130.9221,-102726247.7865,-83755.9481,-102721037.2108,
10800.000,4738.1720,-6355.0756,-5681.0373,6029.6723,-5250.6894,-312528.4010,-333983.9093,-327654.0195,-323593.0656,-314685.8008,-325798.5205,-322519.3710,-322071.7055,-82899907.5069,-82947813.2310,-82916145.5142,-82912347.3209,-322051.9723,-82917495.1385,-5039.2367,1695.0335,3537.0672,1874.9842,2042.4892,131988.0133,145723.8398,128254.4678,135293.2010,133042.1972,127555.6631,134673.3341,129592.3983,224013296.3320,224043702.2075,224035175.3291,224012245.9202,130487.3057,224022033.3020,-100.4236,-1497.8740,-1707.7698,2792.0519,3530.6853,-85537.5365,-86318.0154,-83885.6066,-83088.1414,-79835.5429,-87639.9722,-93434.0830,-86567.7344,-102756655.3453,-102736604.7173,-102732757.8312,-102751232.7997,-85052.0453,-102751023.1929,
14400.000,-2106.0818,2795.6128,4382.8506,-6717.7135,209.8392,-338227.6470,-359355.1890,-350157.6731,-345182.9938,-337197.6173,-347762.7802,-344630.0201,-344072.9911,-138096414.4404,-138151831.0880,-138120303.1449,-138107882.8124,-344089.9940,-138114974.3207,5588.3022,-3388.9162,-4603.2061,-371.8139,-4133.1979,50367.8681,58531.7144,45149.6404,52195.3207,48864.5969,43038.8993,50965.0706,46881.4637,194913018.4017,194935414.9517,194936999.1883,194918656.6426,46102.4962,194921122.3101,3483.4190,5106.3990,-2701.0604,1563.9778,-5215.0900,-87156.3190,-87898.5608,-86404.8787,-82541.9161,-82077.4399,-91802.4859,-93363.6772,-84684.8309,-102783675.8845,-102768764.1416,-102764248.2320,-102776311.7925,-86338.4416,-102780985.5163,
18000.000,-1832.8230,2243.8288,-716.0128,4472.9452,4285.6867,-343533.2581,-362237.6235,-350405.2002,-345453.3491,-338244.9574,-347676.7020,-345297.7394,-344576.4895,-183877393.7508,-183937755.2794,-183909282.1032,-183896315.0096,-344412.5999,-183896552.8650,-4733.3232,4659.7809,4287.6134,-1795.1710,4813.4110,-36856.5880,-32211.5872,-40606.4875,-34157.1489,-38465.9434,-43730.6485,-35779.1072,-41655.1900,152508025.5767,152519995.3493,152530375.2447,152519797.9456,-41025.4816,152515105.6709,-4705.7272,-4332.0675,5354.8414,-4955.0017,1646.2530,-88599.3876,-89456.3908,-88896.4973,-82620.5892,-84742.3648,-95046.6041,-92568.2817,-89255.0267,-102810498.5084,-102800996.0612,-102796416.8432,-102805308.3692,-87614.9894,-102810924.1584,
21600.000,5369.2717,-5212.8279,-3643.1803,-928.6174,-5124.4998,-324778.1681,-342452.6635,-328483.4056,-324321.5489,-317969.6173,-326053.0127,-324202.7300,-322815.7822,-217117599.8046,-217179610.0745,-217156179.7700,-217144840.0677,-323044.2699,-217136840.6952,3183.8496,-4274.7819,-3641.1400,4466.8799,-2304.7746,-126739.8410,-120766.4585,-123530.9577,-118053.0989,-123772.8716,-127464.7361,-120522.2939,-124751.8831,99689653.2483,99689762.7238,99706946.7482,99697932.3585,-125404.1575,99695554.0778,2972.5415,-200.9588,-4603.4071,5177.0751,3554.4538,-88964.9057,-90989.5321,-91034.6802,-83200.5219,-87866.2061,-97521.2751,-90947.8137,-87195.3997,-102837324.9945,-102833275.5630,-102829103.5684,-102840795.0628,-88881.5424,-102840839.0966,
25200.000,-6790.2609,4855.9554,6277.3663,-1926.5921,3088.1902,-277758.3078,-301270.0083,-285919.4169,-283066.5299,-278523.0013,-284466.2258,-281789.3440,-281815.5476,-235546939.4635,-235606971.5877,-235589595.5015,-235573073.5758,-281375.0748,-235565735.5989,-1176.3691,1101.7568,2731.6542,-6283.9335,-2767.4873,-205050.5633,-201529.9028,-198396.7672,-194135.8332,-202288.2315,-203072.2385,-199003.8573,-202440.6023,40060213.8211,40048203.1847,40069985.9394,40060652.4576,-201726.4279,40065055.8850,602.0106,4537.9373,883.9493,-2137.6924,-5208.5022,-88656.0099,-92495.9429,-92585.6880,-84210.8419,-91238.5244,-99316.3221,-88696.7106,-91698.9714,-102864355.3351,-102865581.4858,-102862168.5693,-102876941.8220,-90137.9559,-102870730.3083,
28800.000,5580.9168,-2692.7192,-5956.7426,3370.0848,-434.3018,-214533.0596,-241327.3297,-225522.1794,-224239.6358,-224135.7077,-225591.9111,-220101.6165,-221646.6926,-237905501.9166,-237960030.9097,-237948871.2971,-237924210.3272,-222069.8751,-237923455.4377,-1470.9960,3668.1392,-857.1646,5582.0033,6437.9413,-265859.7236,-269395.9256,-260571.8901,-257611.7027,-267444.5527,-265972.3453,-267303.8649,-264325.0149,-22312648.1969,-22335837.9892,-22311480.5888,-22316085.2798,-265204.1528,-22308500.1193,-3819.3383,-4981.4075,3376.7373,-2288.1224,1615.8401,-89085.2915,-93973.4186,-93470.4267,-85615.7270,-91941.4891,-100474.3160,-90237.3865,-89855.5225,-102891774.7837,-102897895.5396,-102895486.4140,-102910372.5077,-91384.0865,-102900597.7710,
32400.000,-2675.9369,411.3231,3492.8734,-3939.9112,-1945.4906,-139818.4680,-166461.7215,-151152.9528,-151484.0457,-153697.1479,-153081.9511,-145949.7306,-149405.8142,-224029708.1869,-224075711.4497,-224070337.8565,-224040299.7066,-148897.5410,-224046653.9308,4376.2271,-6638.6073,-2299.3188,-2175.0707,-5255.2613,-308291.9568,-320084.2713,-306275.0934,-304512.8800,-313429.6812,-312353.7839,-315602.2203,-312987.8542,-83173396.7094,-83205755.1175,-83180388.2390,-83174759.8921,-311868.2207,-83169429.2450,4632.1692,1107.8881,-5498.4868,5231.5724,3578.1708,-89819.7714,-95419.4878,-93785.6066,-87403.8467,-90655.1766,-101001.4432,-95208.5682,-93910.6680,-102919741.8566,-102930201.6362,-102928940.3762,-102940954.9874,-92619.7924,-102930441.4623,
36000.000,-405.8815,1729.9509,-694.5708,4353.9914,4148.1432,-58155.6948,-81463.6670,-67468.4931,-69282.8544,-72579.4557,-71351.6928,-63411.9289,-66179.6660,-194863684.9169,-194898954.5704,-194898669.8805,-194869559.6305,-66491.1653,-194879733.4573,-6414.5204,5359.3039,5517.3094,-2241.5823,243.8107,-330760.6659,-350416.2098,-332752.5240,-331935.7417,-339935.1881,-339377.5275,-342475.8727,-337504.6450,-138368926.0213,-138407632.1380,-138382233.2628,-138363841.1703,-338816.3016,-138364611.8310,-2565.7788,3699.8939,4082.6885,-4879.4512,-5201.7057,-90719.1661,-96831.2871,-93777.7862,-89584.6209,-90047.9604,-100869.6177,-99309.5497,-92648.7283,-102948378.0651,-102962485.3693,-102962417.0129,-102969085.6004,-93844.9332,-102960261.3595,
39600.000,2764.3384,-4030.3604,-1278.5497,-4231.3845,-4904.9726,25575.8308,8230.6154,20340.3323,17359.5207,13081.4495,14702.8267,22664.4071,19773.2572,-152395063.2404,-152418393.5420,-152422565.4860,-152401663.6386,19945.4557,-152410571.6636,6242.1458,-896.6904,-6785.3497,5273.6427,4204.1968,-332520.7489,-358519.4786,-338398.7477,-338236.3068,-345462.8407,-345300.8685,-347645.3806,-345955.6820,-184131963.4939,-184173724.5729,-184148713.4005,-184119480.3268,-344392.8561,-184126899.5577,-1123.5458,-5336.3026,-75.1058,1406.6551,1585.2703,-91724.6752,-98205.3948,-93777.2573,-92187.5346,-90064.7689,-100011.9409,-102491.3202,-95924.7167,-102977760.0450,-102994733.6043,-102995800.7936,-102995210.4864,-95059.3703,-102990057.4403,
43200.000,-4294.5654,5375.9570,2668.8300,2590.6941,2375.2981,106442.4397,96888.5393,106817.8661,103313.7087,97620.7208,100089.8573,107039.7364,104787.7446,-99519558.1330,-99530795.6584,-99539130.4459,-99531881.4711,104966.4645,-99535036.2098,-3550.9231,-3319.2596,4953.2496,-5690.1307,-5058.6704,-313917.9961,-343949.0667,-322843.8115,-323222.9576,-329598.9032,-329469.8583,-331290.3598,-326662.9908,-217338214.3885,-217379627.1358,-217355041.8378,-217321659.5700,-328290.2719,-217332227.7090,4090.5422,2350.8941,-4006.1626,2931.5401,3601.8342,-92805.3567,-99537.5943,-94109.4905,-95248.4529,-90581.9666,-98328.3457,-104902.8299,-95538.3049,-103007914.5920,-103026934.1457,-103028968.4325,-103019968.9760,-96262.9664,-103019829.6823,
46800.000,5219.1393,-3879.0068,-4050.1887,882.7788,2754.1055,179741.0708,178849.5396,186538.4844,183777.2415,175643.4265,180507.1224,184585.9048,183702.4874,-39843545.4805,-39843513.9207,-39856215.6798,-39862875.8105,183226.9520,-39859521.8225,-513.8011,4837.1407,-958.2627,4179.3948,3123.1652,-276412.3842,-307715.9740,-287007.4151,-288711.4472,-293288.8969,-291990.5093,-294650.6977,-293274.8171,-235719692.2088,-235757573.9746,-235733360.2039,-235706248.7157,-291564.9950,-235712885.2296,-4517.0499,2641.9362,5499.2871,-5435.1547,-5194.6988,-93942.5855,-100822.5194,-95007.8733,-98556.6816,-91528.6926,-96013.5629,-106633.8998,-97793.1732,-103038816.9246,-103059075.4602,-103061782.5398,-103044853.1290,-97455.5859,-103049578.0629,
50400.000,-5201.2751,-615.8711,5198.5568,-4770.7394,-6443.6732,241262.5625,248888.4358,254437.2586,252067.9549,242235.4132,251910.7686,250602.0736,248976.1463,22561908.9948,22571578.7941,22553806.5670,22541620.6465,249818.7349,22545025.7165,4041.3385,-4030.6025,-2911.8927,-2216.8326,-556.8124,-222502.8347,-252222.0525,-233096.9930,-238625.1033,-238770.1685,-234590.1162,-240087.0214,-235010.3551,-238019659.5494,-238051309.9176,-238027669.9967,-238015677.5428,-236567.8795,-238012383.3869,2105.3729,-5375.9857,-3494.6071,4467.4893,1554.5441,-95124.1199,-102053.0887,-96551.1263,-99193.6948,-92869.1348,-97491.3149,-107727.1016,-98469.8651,-103070392.2881,-103091146.4404,-103094084.3075,-103073726.7076,-98637.0947,-103079302.5600,
54000.000,3617.9375,5268.9802,-4845.4565,6849.6113,5257.3423,287522.0463,302549.8222,306161.9419,302159.6278,293233.4517,304299.2070,301081.5482,301698.1148,83438793.2816,83455887.5459,83432025.4313,83424921.8483,300577.8257,83420821.6862,-5671.9995,2393.4149,4857.8742,599.3617,-1849.6774,-155584.2691,-181105.1083,-164515.4230,-171586.6051,-169411.4452,-163829.4486,-170976.0861,-168205.3462,-224078584.1974,-224101956.5532,-224079690.0863,-224078651.0647,-166793.3731,-224071346.6995,1604.9108,3454.1821,-771.2813,-688.5572,3625.4419,-96341.3996,-103219.5463,-98642.1708,-97842.0329,-94591.9717,-102396.9853,-108188.6246,-99577.9684,-103102520.7939,-103123136.1940,-103125685.3731,-103109057.3317,-99807.3605,-103109003.1510,
57600.000,-306.4078,-6574.5057,2146.6730,-5821.6549,-278.2401,315945.9140,336430.9194,338404.1374,333489.1144,325475.7438,335990.6494,332926.7781,331008.0494,138632711.8623,138654672.0505,138623759.4693,138622066.8744,332344.3600,138613745.6417,5390.5820,-430.9149,-4751.7500,1105.6696,4163.7318,-79752.9559,-99004.1731,-85655.4535,-92740.8839,-89478.4645,-83562.4187,-91515.6258,-85573.0837,-194845222.2019,-194859004.6583,-194839757.3472,-194840508.6818,-86657.2374,-194838554.9307,-4330.1307,1426.8834,4517.3027,-3557.0317,-5187.4801,-97588.1582,-104307.7106,-101034.1095,-97168.8325,-96706.6297,-106431.4412,-107990.3860,-101376.4937,-103135045.1829,-103155033.8509,-103156360.4155,-103144960.8170,-100966.2526,-103138679.8136,
61200.000,-3630.5573,3768.1529,2132.0595,2461.8420,-4120.5467,325006.6490,348392.4178,349154.3080,344257.9906,337013.4455,346399.6772,344089.6579,344602.5236,184376431.4649,184400574.8099,184362256.4805,184362633.5277,343158.7885,184356815.0788,-3977.1538,-2310.2062,3752.7000,-3334.6641,-4994.7557,426.1432,-11259.5660,-1587.7150,-8076.5165,-3829.2449,1515.7250,-6455.7450,-2024.3510,-152312052.4031,-152315673.2314,-152301994.4912,-152301450.3117,-1216.9613,-152306371.4001,4333.1543,-5098.1544,-5393.8905,5516.5616,1523.6622,-98859.6424,-105295.4437,-103396.3601,-97118.8394,-99242.5952,-109545.9270,-107065.4907,-101343.2296,-103167781.0076,-103186828.3764,-103185846.0278,-103178136.3906,-102113.6420,-103168332.5256,
