sl_20_86400_20290812 Coordinates.csv
2029/08/12 07:47:00.0000 UTC

Generated: Tue Oct  8 21:46:14 2024,
Start: 2029/08/12 07:47:00.00, Stop: 2029/08/13 07:47:00.00,
TIME_UNITS,STARLINK-31056 - X-Coordinate,STARLINK-32009 - X-Coordinate,STARLINK-3629 - X-Coordinate,STARLINK-4340 - X-Coordinate,STARLINK-30793 - X-Coordinate,STARLINK-5845 - X-Coordinate,STARLINK-1231 - X-Coordinate,STARLINK-30286 - X-Coordinate,STARLINK-11213 [DTC] - X-Coordinate,STARLINK-3666 - X-Coordinate,STARLINK-3893 - X-Coordinate,STARLINK-4635 - X-Coordinate,STARLINK-30898 - X-Coordinate,STARLINK-11235 [DTC] - X-Coordinate,STARLINK-30257 - X-Coordinate,STARLINK-3452 - X-Coordinate,STARLINK-32083 - X-Coordinate,STARLINK-1700 - X-Coordinate,STARLINK-3053 - X-Coordinate,STARLINK-30085 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31056 - Y-Coordinate,STARLINK-32009 - Y-Coordinate,STARLINK-3629 - Y-Coordinate,STARLINK-4340 - Y-Coordinate,STARLINK-30793 - Y-Coordinate,STARLINK-5845 - Y-Coordinate,STARLINK-1231 - Y-Coordinate,STARLINK-30286 - Y-Coordinate,STARLINK-11213 [DTC] - Y-Coordinate,STARLINK-3666 - Y-Coordinate,STARLINK-3893 - Y-Coordinate,STARLINK-4635 - Y-Coordinate,STARLINK-30898 - Y-Coordinate,STARLINK-11235 [DTC] - Y-Coordinate,STARLINK-30257 - Y-Coordinate,STARLINK-3452 - Y-Coordinate,STARLINK-32083 - Y-Coordinate,STARLINK-1700 - Y-Coordinate,STARLINK-3053 - Y-Coordinate,STARLINK-30085 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31056 - Z-Coordinate,STARLINK-32009 - Z-Coordinate,STARLINK-3629 - Z-Coordinate,STARLINK-4340 - Z-Coordinate,STARLINK-30793 - Z-Coordinate,STARLINK-5845 - Z-Coordinate,STARLINK-1231 - Z-Coordinate,STARLINK-30286 - Z-Coordinate,STARLINK-11213 [DTC] - Z-Coordinate,STARLINK-3666 - Z-Coordinate,STARLINK-3893 - Z-Coordinate,STARLINK-4635 - Z-Coordinate,STARLINK-30898 - Z-Coordinate,STARLINK-11235 [DTC] - Z-Coordinate,STARLINK-30257 - Z-Coordinate,STARLINK-3452 - Z-Coordinate,STARLINK-32083 - Z-Coordinate,STARLINK-1700 - Z-Coordinate,STARLINK-3053 - Z-Coordinate,STARLINK-30085 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
32400.000,3485.3290,-1862.4515,-5060.1400,-5547.6367,-6344.0310,-6006.6899,5286.0973,1698.5534,4682.3303,-5040.7360,-4116.1388,2801.7368,-5282.5071,-2447.1203,5710.7780,-4745.5834,-2640.6372,-3592.0296,-4461.2672,4937.2026,-275603.9901,-280823.5592,-279690.7071,-278118.4374,-286715.8750,-285399.2274,-284204.4638,-282176.4913,-209341642.6394,-209368785.3978,-209318943.6126,-209337190.3536,-282746.5612,-209329064.5328,5883.8785,-6572.7741,4010.0901,-3991.7080,-659.6979,3262.9823,-2701.7980,6729.1320,785.1565,-3459.6323,-1974.7900,5407.5643,-539.4008,5746.0675,3675.7334,4572.0858,-4140.3253,5865.0022,-676.8930,1251.2792,-238463.1363,-229825.7852,-227570.0549,-226523.8581,-229729.9532,-229579.9066,-237230.1898,-232299.9437,-9678031.2634,-9684780.1251,-9700955.3435,-9692536.2544,-232737.1547,-9692090.7132,53.6069,410.7473,-2396.0107,-1003.2978,2541.7964,959.7642,-3483.2978,38.7559,-4792.6360,3206.3307,-5185.0929,-3279.7172,-4314.7121,2575.2183,1293.6882,-2058.7193,4774.2049,-622.0153,-5271.4418,4694.3549,-15270.1816,-19043.3559,-19237.6605,-12590.7360,-16129.4906,-26398.6897,-20335.4008,-16254.5115,-49282365.3851,-49298827.0848,-49281071.0828,-49280144.2140,-17936.9248,-49274522.9572,
36000.000,-4202.6273,3193.5271,1416.0608,1993.9038,6487.9803,4133.0737,-4937.8470,-3512.5293,-6297.2468,4188.4367,6563.3823,-4601.4771,6583.4079,452.5187,-5480.9822,1364.6506,5702.9126,1560.2678,1005.7438,-5234.8301,-204767.4022,-214327.2936,-211223.3189,-211315.6486,-219797.7760,-218538.2422,-216776.9444,-216195.1444,-199708294.7153,-199734707.3071,-199682131.5716,-199699823.7366,-215456.2775,-199696280.8389,-3307.9165,4612.9705,-4161.1752,3505.8883,-1848.7784,-4809.2694,4710.2896,-4967.3260,2310.8629,-352.1008,-399.7550,-5065.4473,-1841.4032,-6316.8272,-474.0782,-4367.3638,3657.7418,-5681.2733,-2401.6949,2724.2161,-298918.8264,-298343.7105,-291537.3707,-289856.4363,-291635.3791,-292277.4948,-300599.9972,-296470.4507,-63594999.8156,-63610836.1083,-63612212.7212,-63614507.2637,-295987.3415,-63608170.1109,-4265.7787,3913.0970,5287.8614,5602.9325,1286.1459,2721.6102,-885.6068,3334.5163,666.6310,-5486.9527,2101.8810,-1008.3875,133.9446,2358.0329,-4194.2262,5156.3285,-1062.8027,-3609.3212,6413.1610,-3644.7256,-16469.5902,-18635.7666,-19605.6409,-15092.6983,-15809.1125,-26652.4138,-24847.3776,-21036.0993,-49326397.1955,-49342425.2199,-49316680.3278,-49325865.5745,-19511.3055,-49316417.6832,
39600.000,4017.6991,-4142.4400,3108.1615,1422.9076,-3728.6154,-295.3032,2054.8876,4894.0405,3958.5267,-3035.8528,-6208.1474,4576.7746,-4424.7722,2605.1274,4012.0610,3062.5562,-5725.0680,1974.8708,1259.2874,4405.7166,-121860.8561,-136390.9679,-129480.0401,-130833.5784,-139235.4153,-138108.0624,-135662.7487,-133665.2226,-176430447.7094,-176453911.0475,-176405580.4604,-176415331.9695,-134505.9188,-176419311.3051,-1361.1705,-173.4502,3984.0801,894.3763,3909.4795,5080.0199,-4644.6252,1362.8930,-3689.1419,4501.4067,1949.1657,2295.2629,3184.7440,3236.5667,-3451.6486,3707.9102,-1596.6828,3652.6357,5707.3686,-5339.1369,-339103.5874,-345671.7636,-337027.8543,-334778.3728,-335343.1393,-336497.1591,-344466.4897,-339690.5262,-113181078.8463,-113205238.9855,-113191624.5954,-113201126.0192,-340370.9163,-113193798.6437,5353.4384,-5451.6991,-4679.6262,-6705.9267,-4248.1471,-4671.1957,4630.3569,-4734.5745,4015.1250,4262.8060,2300.5846,4638.1948,4119.7267,-5337.4396,4440.5965,-4953.6693,-3422.6444,5506.6001,-3734.4543,367.2448,-17796.7477,-19612.2743,-19946.1475,-18032.8603,-16126.7960,-26191.0921,-28439.0060,-19612.8983,-49369788.1712,-49385884.8789,-49352246.6174,-49368524.1915,-21083.4939,-49358317.8692,
43200.000,-3463.3533,4639.6399,-5949.0324,-1534.7111,-457.6107,-3801.0965,2389.8075,-5605.9137,1161.4432,1836.9203,2992.6510,-3855.6573,-107.3320,-5510.8863,-2090.0675,-6089.9986,3548.4627,-5515.4886,-1713.9459,-2000.5919,-32345.9220,-48273.1813,-39583.9918,-41754.4307,-50237.7085,-48750.3155,-46336.5933,-45980.7325,-141094735.0508,-141113330.2929,-141075396.6766,-141074504.6119,-45055.6747,-141084530.9204,5309.4282,-3988.7063,-3335.4189,-5711.0577,-5349.9713,-4489.4546,3699.1304,2412.6808,4079.0127,-6649.6975,-3339.5838,2002.4768,-4199.8345,798.0984,6310.8410,-2856.1871,-2077.2008,-1416.6652,-6605.2321,5857.9206,-357013.2995,-370776.0125,-361198.7363,-358790.2116,-357781.5033,-359619.5918,-366479.9400,-363979.3441,-155047717.6433,-155078893.2517,-155053667.1443,-155063869.7571,-363077.2331,-155060522.7462,-2572.3147,3058.7999,931.0795,3560.8628,4274.8174,3604.8488,-5291.3950,3296.7441,-5246.0901,-352.2943,-5256.0484,-5384.5600,-5400.3259,3821.7753,-1909.8250,1539.0205,5476.2915,-3911.9790,-1240.1105,3114.4321,-19215.0520,-21194.2508,-20589.1005,-21453.6299,-16959.8498,-24913.9367,-31261.1504,-23860.1776,-49412441.7447,-49429189.4197,-49388741.4431,-49408710.4070,-22653.3228,-49400223.4947,
46800.000,1860.1680,-3616.3342,5811.6934,-775.9699,3915.5516,6200.0993,-5906.4569,4971.1006,-5339.9447,112.8875,1223.2266,3038.3846,4160.5480,5829.3174,-186.6021,6173.9849,-1040.2043,6894.7007,1674.4391,-1680.6049,58066.6790,44043.0540,52831.8972,49945.5824,41555.0435,45136.0215,45461.3175,48022.2093,-96111924.7316,-96124178.2934,-96100073.6097,-96090794.0859,47197.1972,-96102435.0287,-6236.2052,5611.9494,1378.4394,6627.0383,5474.4421,3028.4183,-2598.9554,-4844.5209,-3632.9536,5766.6487,4769.2215,-5572.5853,4680.5783,-3308.9602,-6663.8424,1168.4434,5678.8147,-338.2080,3968.7808,-4793.7171,-351994.7506,-372776.9896,-362488.0596,-361294.0640,-357410.3610,-360537.1481,-365504.6270,-361482.5756,-186332878.9563,-186369293.4901,-186338207.3783,-186343039.1085,-362677.5807,-186346261.6872,-2104.5376,1506.5929,3412.3905,1797.1723,-1380.0418,-238.5559,2377.8091,92.5378,1925.4155,-3808.2846,4832.4074,2739.0271,2736.6000,875.4093,-1841.8532,2843.1432,-3704.9670,-209.7963,5419.3411,-4722.9572,-20703.1601,-22942.8766,-21782.7334,-25198.6517,-18236.6497,-22957.9381,-33406.4834,-23126.7544,-49454309.4568,-49472320.1958,-49426703.2892,-49447018.2512,-24220.6251,-49442134.5390,
50400.000,1289.2955,329.2088,-3573.6944,1849.8137,-5408.3431,-6055.9179,6468.1280,-2452.0466,5828.8965,-3021.6845,-4158.8286,-1711.9999,-5571.5745,-2380.6782,2827.7638,-3872.0551,-893.0511,-5131.1873,-2673.5924,5193.8609,143743.5085,134471.6959,141928.2739,136128.7345,130356.2349,138987.3294,133962.3061,135676.4423,-44552405.2056,-44557427.5246,-44547321.4340,-44535339.5106,136381.6080,-44543196.6832,4206.8569,-4652.1551,2089.5131,-2766.0105,-3435.6057,-366.8372,1009.9921,5506.9585,1484.5824,-2821.1026,-5346.9325,6503.6427,-3479.6215,4053.2339,4499.2184,1831.7640,-6762.1066,1974.6926,591.0734,3017.1336,-324776.4062,-351517.0138,-340733.4605,-342095.4658,-334201.9783,-339758.2308,-341771.5025,-340669.0838,-204896683.9437,-204936218.3264,-204905559.3093,-204902399.9749,-339215.0088,-204910963.9124,5225.1308,-5015.1929,-5504.9832,-6057.7287,-2482.8101,-3300.6260,2105.6379,-3445.2739,3040.1859,5525.0024,-1342.7426,1598.4470,1894.8650,-4862.8386,4415.1628,-5415.6440,-695.4731,4167.2570,-6375.3825,3452.5868,-22247.3362,-24759.8502,-23627.0218,-26519.5334,-19920.9318,-24437.9034,-34919.6169,-26525.3151,-49495394.0930,-49515256.0705,-49466231.3462,-49484147.2361,-25785.2339,-49484050.9814,
54000.000,-4953.1048,3974.7086,1006.3959,547.5316,5052.3448,3984.8260,-4177.3757,-1375.6134,-3193.9739,5798.3536,4931.9627,-840.9126,4479.0415,-2788.8233,-5354.5460,974.8927,2568.6436,1340.6985,4376.4225,-6860.9577,219453.9505,217142.4781,222006.0796,213836.0297,210593.3855,221326.0277,213680.5356,217215.2090,10063421.8987,10065827.0174,10064526.6084,10073362.3939,216826.6190,10072884.1885,-1180.6340,2629.3718,-5568.9290,-2326.4780,-474.9469,-3098.3107,1698.5290,-4886.1319,2484.9300,-214.0448,3768.9663,-4751.7084,-19.5148,-3904.1086,-1148.3296,-5149.8760,4398.6577,-3978.8131,-4109.7338,-995.0452,-277404.8747,-308224.5553,-297235.4245,-298182.5209,-289598.7308,-295638.9071,-296866.9013,-292537.2932,-209467752.7253,-209508127.5207,-209483193.1845,-209474674.7285,-294200.3117,-209482992.8617,-4570.2520,4903.3813,3911.1528,6472.4893,4620.1545,4700.6515,-5201.9965,4725.1171,-5397.1982,-3753.4514,-3032.4277,-4958.9423,-5171.6014,4751.2518,-4227.4723,4481.0753,4580.0905,-5488.1364,3458.4564,-103.1718,-23838.1167,-26608.7637,-26046.8458,-25538.8178,-22001.3352,-29746.3242,-35808.3748,-26753.9053,-49535749.5023,-49557972.8103,-49507184.5938,-49521390.9815,-27346.9828,-49525972.8012,
57600.000,6708.5230,-6679.6499,875.7095,-4543.6282,-3668.5623,-1312.8802,872.7242,4970.5730,-37.4822,-6539.9266,-4235.6478,4163.9014,-2458.3990,6040.7400,6512.0499,1139.3878,-4392.0461,2255.1050,-4801.7315,5920.5821,280668.6062,286705.3194,287889.3428,279088.7197,277273.6115,288040.5125,279725.6504,283322.8858,64005524.7135,64014809.6189,64006485.6639,64011222.1650,283422.3226,64015737.0656,-1188.7891,-766.9849,6821.8863,4368.6222,4562.7128,6032.4445,-4857.3073,3642.6043,-5996.6221,2187.2105,-0.2928,1850.2285,4338.8198,2961.1598,-1875.7027,6771.8958,-104.3000,5636.7244,4766.1430,-1403.0494,-213100.5825,-245525.2250,-234729.4963,-234874.5705,-226400.1618,-231815.3869,-233612.8308,-232291.1894,-199730239.2557,-199769247.5351,-199753423.1973,-199746055.9099,-230514.5180,-199746229.1128,570.9133,-1295.5008,265.4825,-2841.5489,-3598.8391,-3096.5637,4783.4924,-3201.2429,3072.5089,-427.9665,5443.4979,5192.8524,4669.0640,-679.8328,1365.0229,-681.7684,-5269.0429,3281.3713,1497.4097,-3327.7822,-25468.6479,-28472.1671,-28812.0771,-25203.0426,-24487.7761,-34242.3662,-36046.2761,-29089.0495,-49575477.1081,-49600442.3191,-49549342.5043,-49561847.9853,-28905.7055,-49567899.9778,
61200.000,-4967.7778,5915.0394,-2446.3997,5918.6650,1613.6510,-1150.6198,1628.8722,-6686.6335,2250.0242,4283.9931,3237.6851,-6535.1345,617.1143,-5450.1199,-5264.8288,-2549.0574,5466.5509,-4099.0127,2363.2147,-3062.8429,323811.4833,338648.8551,335307.8344,326936.9107,326336.4342,336045.0007,328086.4813,331633.4824,113588981.7730,113603891.1253,113593639.8722,113599953.4933,331944.6358,113600271.6037,2726.8191,-1102.0314,-4800.0766,-2420.9370,-6676.3578,-6788.2920,6580.5938,-1843.5217,6067.4610,-3270.6872,-4230.4393,549.6022,-6765.4660,-365.7020,3820.1705,-5323.5518,-3476.0858,-5465.2174,-3352.2761,4037.1699,-136045.8532,-167296.5789,-157236.4790,-156975.1453,-148575.8938,-153363.5840,-155843.3029,-150455.4044,-176345612.1146,-176381380.6558,-176375773.5214,-176369663.2696,-152224.1950,-176361922.8169,3818.9360,-3268.6275,-4291.2526,-2615.9004,86.6847,-515.8552,-1178.7773,-249.6273,1889.0227,4311.2502,-4397.8744,-2196.8991,-793.8493,-3987.0140,2338.0055,-3582.7913,2234.5250,994.9475,-5597.1462,4722.0361,-27133.7736,-30340.2594,-31599.2085,-25504.3143,-27411.3857,-37817.0987,-35568.1251,-30437.2191,-49614719.3388,-49642631.6624,-49592481.9532,-49608861.2916,-30461.2361,-49609832.4905,
64800.000,630.2492,-2319.2282,4153.2452,-2585.9171,1108.9933,3255.2157,-3028.5078,5931.9108,-3679.0424,-73.3944,-2097.8940,6214.0813,1317.0225,2284.4219,1777.2263,3872.1002,-4304.3247,4363.8001,2133.3005,-202.7043,346451.6288,369582.6675,361223.6718,354049.6087,355022.5648,362731.4595,355881.8857,359925.9673,155425684.3501,155444394.9946,155437030.6622,155444259.0484,359323.3442,155438124.2282,-4081.9557,3397.7613,704.9681,-398.5810,5820.6661,4767.9866,-5259.8299,-677.6459,-2130.2479,4215.5909,6558.5076,-2096.8810,5611.6902,-3523.6465,-4863.6980,1451.9762,4789.6813,2635.2389,1953.5198,-6114.8769,-51120.5870,-78428.7083,-69785.4290,-69526.1175,-61038.6845,-65588.0149,-68030.9320,-65971.8428,-140907689.7107,-140938931.0379,-140942448.4588,-140929116.4473,-64321.4321,-140923786.1479,-5454.8044,5461.0587,5434.6784,6386.4274,3466.0507,3777.0421,-3247.1997,3532.7189,-5237.2880,-5476.7145,517.7472,-2202.3472,-3683.6041,5286.7548,-4587.6686,5515.2297,2346.7062,-4664.6801,6288.6200,-3267.0185,-28829.4959,-32206.8700,-34078.0084,-26319.9350,-30814.5454,-40621.3821,-34273.1399,-31617.9906,-49653650.4022,-49684501.8179,-49636403.0995,-49657467.7895,-32013.4090,-49651770.3187,
68400.000,3529.8968,-1633.0293,-5433.6695,-3069.5518,-4188.1860,-5033.3163,3957.1752,-3467.3467,4520.0989,-3755.2091,177.7040,-3074.7364,-3683.4627,859.9167,2369.6484,-5060.8279,534.8062,-4007.2737,-5886.7218,2736.0098,347424.3135,377454.9183,364048.3538,358593.1441,362442.1431,366670.9428,361705.3361,362909.9306,186655813.9925,186676177.3306,186675425.9469,186676155.4468,363836.3818,186669202.4578,4958.7201,-5487.8543,3001.3278,585.1880,-2836.1085,-982.2165,1301.3336,3726.3549,-2935.8867,-4867.4498,-5841.7077,3356.9232,-1812.8809,6344.5076,5159.8465,2589.1900,-4319.0171,1763.8947,-1726.8308,6367.0048,36397.2907,15484.9147,21960.9591,21930.0976,30336.9634,25870.7636,25525.3115,29017.8344,-95833994.7303,-95860203.3778,-95869964.6716,-95847281.3188,27594.8474,-95849375.5940,3106.4501,-3758.1209,-2980.5857,-6167.4900,-4653.1123,-4627.6144,5464.7260,-4724.1210,4041.4049,3143.6137,3667.4237,5195.6216,5459.0018,-2178.7824,3937.0826,-3916.7994,-5302.6968,5329.3076,-3234.6667,-187.4393,-30552.6362,-34067.7386,-35999.9779,-27578.2840,-34540.6742,-42747.8794,-32298.5504,-34109.7020,-49692465.0021,-49726006.0776,-49680933.2349,-49703192.5043,-33562.0591,-49693713.4416,
72000.000,-5279.1578,3909.3186,4816.0138,6301.7812,6319.2033,5848.4712,-4691.5366,606.9389,-3755.0658,5383.5252,2821.9218,-1120.8693,5643.2929,-2801.0889,-5264.1093,4935.9699,3989.4974,3486.1352,6473.8232,-4253.5755,326876.4362,361687.3824,343721.7465,340230.6856,348100.1946,347785.1614,345750.4889,346266.2151,205143290.1335,205163153.4679,205171102.1213,205159466.2389,345218.0481,205157204.3291,-4085.6246,5579.2386,-4692.0223,1953.0076,-550.4568,-2686.2380,3009.7450,-6183.9091,5565.1078,4166.1387,3030.0011,-4694.6568,-2035.9737,-5489.6335,-4408.6690,-4819.3077,3262.6432,-5359.3880,1705.3318,-4195.4103,121148.2059,108504.4437,112123.0637,111628.9364,117434.4763,115267.2236,120284.8370,116525.2742,-44200837.9412,-44222384.5873,-44234360.6169,-44207113.8539,117675.8742,-44215166.9036,1478.2376,-666.3333,-1485.9370,2036.6772,2627.7965,2490.0826,-4038.8873,3083.9692,628.3330,1164.0992,-5530.7382,-4956.6619,-3288.5923,-2781.7331,-826.0249,-229.1279,4511.4384,-2615.3395,-1815.2097,3509.1884,-32300.6109,-35919.6759,-37264.9034,-29243.1005,-35840.5514,-44241.1958,-33760.5715,-34178.8229,-49731365.7277,-49767088.0346,-49725922.9347,-49745862.5723,-35107.0214,-49735661.8386,
75600.000,4602.9631,-4313.8803,-1641.1439,-4706.2612,-6030.3042,-4791.5210,4303.0048,1756.8405,377.7249,-4841.4650,-5733.1438,4162.4623,-5348.7798,3920.2452,5965.8680,-2502.3101,-6531.4966,-2129.7633,-3887.0804,5074.1534,286235.3871,323217.2375,301660.0501,300099.4193,308669.4064,307354.8374,306093.6319,303515.3742,209621840.6759,209639402.5876,209656240.5613,209630907.3880,304674.3715,209635747.0013,707.3628,-2670.3306,4498.5244,-3792.7268,3065.0608,4813.8998,-5367.4735,6704.7826,-4748.7174,-1307.0796,-27.8241,5286.8245,4059.3070,1108.8089,2067.9334,4860.4812,-2009.3387,6320.0400,-217.2232,323.7961,198005.4526,194725.0086,195003.7920,193942.4732,197221.6084,197060.6729,204701.2295,201027.3663,10466619.7161,10448531.7467,10438756.0808,10462852.0255,200195.5301,10453426.0589,-5011.9833,4586.2020,4935.4564,3344.3624,1186.7073,1230.3870,-125.5223,380.6323,-4775.4478,-4756.6633,3840.4268,1591.6783,-1296.8483,5384.0882,-2824.3016,4201.8436,-572.1788,-1799.8821,5723.6579,-4717.9630,-34071.2730,-37760.1101,-37947.6698,-31303.0253,-34839.2359,-45109.1506,-39048.3383,-37701.4976,-49770549.9323,-49807679.1432,-49771240.2092,-49786068.4381,-36648.1317,-49777615.4890,
79200.000,-2925.4411,3914.7493,-2839.6072,389.1177,2971.7200,1584.1991,-1830.0153,-3585.4123,4214.6892,3362.3325,6620.3739,-5003.2013,2039.1993,-4445.4663,-4834.1547,-1692.9829,5711.5217,-649.0022,451.1100,-5155.3890,228105.0100,264441.7573,240607.8207,240716.7433,249183.2791,247919.3547,246085.7981,245870.5842,199781715.2495,199795854.4240,199819914.5819,199784534.0238,244804.7502,199795109.0351,3778.6071,-2037.4783,-3628.4290,1837.3757,-4553.1104,-5266.8332,5143.3101,-4704.3958,2190.0336,-2858.1803,-1938.4073,-3897.9534,-4285.7683,3708.9150,1569.2169,-3831.4279,-113.5407,-4669.6879,-3029.6064,3481.5154,262369.8856,268657.6211,265430.6118,263748.2041,265599.4441,266231.1828,274538.2476,269326.2062,64435005.9607,64418537.3188,64414980.1859,64428605.4790,269914.6085,64422756.4285,4881.3128,-5237.8505,-5119.3313,-6652.1470,-4203.6633,-4178.6101,4176.4955,-3636.5193,4776.0169,5305.4906,281.6668,2745.4064,4913.9602,-3497.4587,4679.1454,-5488.8557,-3795.9819,5034.5880,-6225.5832,3050.9653,-35862.7937,-39586.8190,-38278.1472,-33767.9743,-34482.0932,-45325.2587,-43522.4752,-36830.5040,-49810196.9503,-49847696.0632,-49816764.5640,-49824403.0952,-38185.2259,-49819574.3721,
82800.000,1265.8045,-3151.7164,6089.0644,2304.5322,1414.0451,2609.9466,-2294.7223,4988.8899,-6707.0024,-1957.5441,-4459.3163,4333.5204,2732.8087,3283.8096,2889.2744,5478.7506,-2569.3255,4229.9297,1548.9211,4014.2875,156096.3105,189068.6857,164436.3719,165810.7855,174207.2998,173070.9852,170556.9089,168463.8832,176291107.3649,176301617.8134,176329700.0053,176292066.6814,169434.9806,176303644.9626,-6609.5514,5694.0324,2605.0676,3052.0270,5145.9206,4602.4071,-3527.6340,1028.8023,227.6190,6134.5815,3128.3292,301.0611,3812.5510,-5753.8057,-5147.8109,2680.6353,3219.4922,2014.7044,6078.9851,-5634.4682,310428.4868,325584.8669,319030.3646,316789.8882,317426.0629,318571.1671,326518.7267,322770.1602,114017659.5431,114000674.6520,114006248.8122,114005317.3913,322413.6445,114005938.6716,-1224.3139,2110.6510,1871.6058,5743.5634,4315.5989,4425.6646,-5448.4275,4705.9589,-668.7993,-2505.5672,-4249.7826,-5385.7513,-4980.9813,-1346.2025,-3606.8673,3221.6108,5470.7450,-5078.5830,2943.5525,451.2144,-37673.5622,-41397.7564,-38579.5424,-36669.0736,-34760.9951,-44824.3204,-47074.3537,-41148.3883,-49850456.4825,-49887038.6484,-49862381.3975,-49861569.1703,-39718.1406,-49861538.4672,
86400.000,691.0772,1426.9287,-6301.8264,-1392.5635,-4875.5777,-5809.4049,5898.0681,-5691.9233,4893.5005,411.6900,281.1812,-3283.8771,-6017.0685,259.6243,-700.7943,-6683.5879,-653.9698,-6646.2004,-1769.7697,-1238.6028,74603.9875,101881.3787,77916.1961,80108.2261,88599.6636,87096.7080,84624.6441,84149.8316,140750803.1632,140758472.1504,140786408.2876,140756305.8113,83372.4200,140762391.8369,5924.6734,-6204.5546,-932.7487,-6655.6233,-4609.8683,-3245.9376,1801.3597,2631.5813,-2289.0122,-6627.6358,-4181.3823,3935.3070,-2923.3087,4491.9924,6874.1023,-1311.0231,-5964.5764,214.9911,-6371.7480,5734.8818,339362.9742,361868.1624,352451.0301,350058.6997,349121.5128,350947.9453,357786.6203,354083.5078,155826439.7656,155806953.6809,155822913.1546,155809126.3753,354373.1571,155814716.8835,-3348.6116,2507.9002,2598.5885,-1247.1436,-1477.9430,-1845.1680,3040.9921,-2982.9793,-4038.0549,-1913.1517,5478.2619,4633.8313,1406.9466,5035.2655,248.5434,1098.5021,-3324.3153,1854.3717,2066.7366,-3698.1541,-39502.0879,-43190.9274,-39181.7366,-40048.6785,-35553.2380,-43505.5607,-49854.8315,-39618.3734,-49891438.8993,-49925591.2392,-49907976.6147,-49898875.4184,-41246.7129,-49903507.7537,
