sl_100_86400_20290707 Coordinates.csv
2029/07/07 07:47:00.0000 UTC

Generated: Tue Oct  8 21:47:48 2024,
Start: 2029/07/07 07:47:00.00, Stop: 2029/07/08 07:47:00.00,
TIME_UNITS,STARLINK-5089 - X-Coordinate,STARLINK-5609 - X-Coordinate,STARLINK-5134 - X-Coordinate,STARLINK-6186 - X-Coordinate,STARLINK-31809 - X-Coordinate,STARLINK-1159 - X-Coordinate,STARLINK-4292 - X-Coordinate,STARLINK-5266 - X-Coordinate,STARLINK-11210 [DTC] - X-Coordinate,STARLINK-1813 - X-Coordinate,STARLINK-1169 - X-Coordinate,STARLINK-32272 - X-Coordinate,STARLINK-31802 - X-Coordinate,STARLINK-5417 - X-Coordinate,STARLINK-5245 - X-Coordinate,STARLINK-4624 - X-Coordinate,STARLINK-11261 [DTC] - X-Coordinate,STARLINK-5480 - X-Coordinate,STARLINK-5605 - X-Coordinate,STARLINK-3994 - X-Coordinate,STARLINK-4453 - X-Coordinate,STARLINK-1677 - X-Coordinate,STARLINK-11148 [DTC] - X-Coordinate,STARLINK-3602 - X-Coordinate,STARLINK-3149 - X-Coordinate,STARLINK-4495 - X-Coordinate,STARLINK-6155 - X-Coordinate,STARLINK-31686 - X-Coordinate,STARLINK-3386 - X-Coordinate,STARLINK-32166 - X-Coordinate,STARLINK-5030 - X-Coordinate,STARLINK-3641 - X-Coordinate,STARLINK-5778 - X-Coordinate,STARLINK-31971 - X-Coordinate,STARLINK-30271 - X-Coordinate,STARLINK-30832 - X-Coordinate,STARLINK-31045 - X-Coordinate,STARLINK-31636 - X-Coordinate,STARLINK-31305 - X-Coordinate,STARLINK-5823 - X-Coordinate,STARLINK-1319 - X-Coordinate,STARLINK-30533 - X-Coordinate,STARLINK-31378 - X-Coordinate,STARLINK-30835 - X-Coordinate,STARLINK-31626 - X-Coordinate,STARLINK-6095 - X-Coordinate,STARLINK-30548 - X-Coordinate,STARLINK-6281 - X-Coordinate,STARLINK-5852 - X-Coordinate,STARLINK-3354 - X-Coordinate,STARLINK-6183 - X-Coordinate,STARLINK-31029 - X-Coordinate,STARLINK-31784 - X-Coordinate,STARLINK-30939 - X-Coordinate,STARLINK-3931 - X-Coordinate,STARLINK-2121 - X-Coordinate,STARLINK-31848 - X-Coordinate,STARLINK-11087 [DTC] - X-Coordinate,STARLINK-30974 - X-Coordinate,STARLINK-5498 - X-Coordinate,STARLINK-4120 - X-Coordinate,STARLINK-30523 - X-Coordinate,STARLINK-4268 - X-Coordinate,STARLINK-11188 [DTC] - X-Coordinate,STARLINK-4337 - X-Coordinate,STARLINK-31643 - X-Coordinate,STARLINK-30921 - X-Coordinate,STARLINK-30092 - X-Coordinate,STARLINK-3623 - X-Coordinate,STARLINK-5082 - X-Coordinate,STARLINK-6163 - X-Coordinate,STARLINK-31812 - X-Coordinate,STARLINK-4399 - X-Coordinate,STARLINK-5263 - X-Coordinate,STARLINK-31286 - X-Coordinate,STARLINK-30255 - X-Coordinate,STARLINK-3869 - X-Coordinate,STARLINK-5685 - X-Coordinate,STARLINK-5682 - X-Coordinate,STARLINK-5591 - X-Coordinate,STARLINK-3102 - X-Coordinate,STARLINK-3637 - X-Coordinate,STARLINK-1029 - X-Coordinate,STARLINK-4459 - X-Coordinate,STARLINK-4102 - X-Coordinate,STARLINK-3703 - X-Coordinate,STARLINK-4603 - X-Coordinate,STARLINK-5276 - X-Coordinate,STARLINK-31177 - X-Coordinate,STARLINK-11147 [DTC] - X-Coordinate,STARLINK-3204 - X-Coordinate,STARLINK-4118 - X-Coordinate,STARLINK-2388 - X-Coordinate,STARLINK-30552 - X-Coordinate,STARLINK-6326 - X-Coordinate,STARLINK-31738 - X-Coordinate,STARLINK-30153 - X-Coordinate,STARLINK-31390 - X-Coordinate,STARLINK-30602 - X-Coordinate,STARLINK-3254 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5089 - Y-Coordinate,STARLINK-5609 - Y-Coordinate,STARLINK-5134 - Y-Coordinate,STARLINK-6186 - Y-Coordinate,STARLINK-31809 - Y-Coordinate,STARLINK-1159 - Y-Coordinate,STARLINK-4292 - Y-Coordinate,STARLINK-5266 - Y-Coordinate,STARLINK-11210 [DTC] - Y-Coordinate,STARLINK-1813 - Y-Coordinate,STARLINK-1169 - Y-Coordinate,STARLINK-32272 - Y-Coordinate,STARLINK-31802 - Y-Coordinate,STARLINK-5417 - Y-Coordinate,STARLINK-5245 - Y-Coordinate,STARLINK-4624 - Y-Coordinate,STARLINK-11261 [DTC] - Y-Coordinate,STARLINK-5480 - Y-Coordinate,STARLINK-5605 - Y-Coordinate,STARLINK-3994 - Y-Coordinate,STARLINK-4453 - Y-Coordinate,STARLINK-1677 - Y-Coordinate,STARLINK-11148 [DTC] - Y-Coordinate,STARLINK-3602 - Y-Coordinate,STARLINK-3149 - Y-Coordinate,STARLINK-4495 - Y-Coordinate,STARLINK-6155 - Y-Coordinate,STARLINK-31686 - Y-Coordinate,STARLINK-3386 - Y-Coordinate,STARLINK-32166 - Y-Coordinate,STARLINK-5030 - Y-Coordinate,STARLINK-3641 - Y-Coordinate,STARLINK-5778 - Y-Coordinate,STARLINK-31971 - Y-Coordinate,STARLINK-30271 - Y-Coordinate,STARLINK-30832 - Y-Coordinate,STARLINK-31045 - Y-Coordinate,STARLINK-31636 - Y-Coordinate,STARLINK-31305 - Y-Coordinate,STARLINK-5823 - Y-Coordinate,STARLINK-1319 - Y-Coordinate,STARLINK-30533 - Y-Coordinate,STARLINK-31378 - Y-Coordinate,STARLINK-30835 - Y-Coordinate,STARLINK-31626 - Y-Coordinate,STARLINK-6095 - Y-Coordinate,STARLINK-30548 - Y-Coordinate,STARLINK-6281 - Y-Coordinate,STARLINK-5852 - Y-Coordinate,STARLINK-3354 - Y-Coordinate,STARLINK-6183 - Y-Coordinate,STARLINK-31029 - Y-Coordinate,STARLINK-31784 - Y-Coordinate,STARLINK-30939 - Y-Coordinate,STARLINK-3931 - Y-Coordinate,STARLINK-2121 - Y-Coordinate,STARLINK-31848 - Y-Coordinate,STARLINK-11087 [DTC] - Y-Coordinate,STARLINK-30974 - Y-Coordinate,STARLINK-5498 - Y-Coordinate,STARLINK-4120 - Y-Coordinate,STARLINK-30523 - Y-Coordinate,STARLINK-4268 - Y-Coordinate,STARLINK-11188 [DTC] - Y-Coordinate,STARLINK-4337 - Y-Coordinate,STARLINK-31643 - Y-Coordinate,STARLINK-30921 - Y-Coordinate,STARLINK-30092 - Y-Coordinate,STARLINK-3623 - Y-Coordinate,STARLINK-5082 - Y-Coordinate,STARLINK-6163 - Y-Coordinate,STARLINK-31812 - Y-Coordinate,STARLINK-4399 - Y-Coordinate,STARLINK-5263 - Y-Coordinate,STARLINK-31286 - Y-Coordinate,STARLINK-30255 - Y-Coordinate,STARLINK-3869 - Y-Coordinate,STARLINK-5685 - Y-Coordinate,STARLINK-5682 - Y-Coordinate,STARLINK-5591 - Y-Coordinate,STARLINK-3102 - Y-Coordinate,STARLINK-3637 - Y-Coordinate,STARLINK-1029 - Y-Coordinate,STARLINK-4459 - Y-Coordinate,STARLINK-4102 - Y-Coordinate,STARLINK-3703 - Y-Coordinate,STARLINK-4603 - Y-Coordinate,STARLINK-5276 - Y-Coordinate,STARLINK-31177 - Y-Coordinate,STARLINK-11147 [DTC] - Y-Coordinate,STARLINK-3204 - Y-Coordinate,STARLINK-4118 - Y-Coordinate,STARLINK-2388 - Y-Coordinate,STARLINK-30552 - Y-Coordinate,STARLINK-6326 - Y-Coordinate,STARLINK-31738 - Y-Coordinate,STARLINK-30153 - Y-Coordinate,STARLINK-31390 - Y-Coordinate,STARLINK-30602 - Y-Coordinate,STARLINK-3254 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5089 - Z-Coordinate,STARLINK-5609 - Z-Coordinate,STARLINK-5134 - Z-Coordinate,STARLINK-6186 - Z-Coordinate,STARLINK-31809 - Z-Coordinate,STARLINK-1159 - Z-Coordinate,STARLINK-4292 - Z-Coordinate,STARLINK-5266 - Z-Coordinate,STARLINK-11210 [DTC] - Z-Coordinate,STARLINK-1813 - Z-Coordinate,STARLINK-1169 - Z-Coordinate,STARLINK-32272 - Z-Coordinate,STARLINK-31802 - Z-Coordinate,STARLINK-5417 - Z-Coordinate,STARLINK-5245 - Z-Coordinate,STARLINK-4624 - Z-Coordinate,STARLINK-11261 [DTC] - Z-Coordinate,STARLINK-5480 - Z-Coordinate,STARLINK-5605 - Z-Coordinate,STARLINK-3994 - Z-Coordinate,STARLINK-4453 - Z-Coordinate,STARLINK-1677 - Z-Coordinate,STARLINK-11148 [DTC] - Z-Coordinate,STARLINK-3602 - Z-Coordinate,STARLINK-3149 - Z-Coordinate,STARLINK-4495 - Z-Coordinate,STARLINK-6155 - Z-Coordinate,STARLINK-31686 - Z-Coordinate,STARLINK-3386 - Z-Coordinate,STARLINK-32166 - Z-Coordinate,STARLINK-5030 - Z-Coordinate,STARLINK-3641 - Z-Coordinate,STARLINK-5778 - Z-Coordinate,STARLINK-31971 - Z-Coordinate,STARLINK-30271 - Z-Coordinate,STARLINK-30832 - Z-Coordinate,STARLINK-31045 - Z-Coordinate,STARLINK-31636 - Z-Coordinate,STARLINK-31305 - Z-Coordinate,STARLINK-5823 - Z-Coordinate,STARLINK-1319 - Z-Coordinate,STARLINK-30533 - Z-Coordinate,STARLINK-31378 - Z-Coordinate,STARLINK-30835 - Z-Coordinate,STARLINK-31626 - Z-Coordinate,STARLINK-6095 - Z-Coordinate,STARLINK-30548 - Z-Coordinate,STARLINK-6281 - Z-Coordinate,STARLINK-5852 - Z-Coordinate,STARLINK-3354 - Z-Coordinate,STARLINK-6183 - Z-Coordinate,STARLINK-31029 - Z-Coordinate,STARLINK-31784 - Z-Coordinate,STARLINK-30939 - Z-Coordinate,STARLINK-3931 - Z-Coordinate,STARLINK-2121 - Z-Coordinate,STARLINK-31848 - Z-Coordinate,STARLINK-11087 [DTC] - Z-Coordinate,STARLINK-30974 - Z-Coordinate,STARLINK-5498 - Z-Coordinate,STARLINK-4120 - Z-Coordinate,STARLINK-30523 - Z-Coordinate,STARLINK-4268 - Z-Coordinate,STARLINK-11188 [DTC] - Z-Coordinate,STARLINK-4337 - Z-Coordinate,STARLINK-31643 - Z-Coordinate,STARLINK-30921 - Z-Coordinate,STARLINK-30092 - Z-Coordinate,STARLINK-3623 - Z-Coordinate,STARLINK-5082 - Z-Coordinate,STARLINK-6163 - Z-Coordinate,STARLINK-31812 - Z-Coordinate,STARLINK-4399 - Z-Coordinate,STARLINK-5263 - Z-Coordinate,STARLINK-31286 - Z-Coordinate,STARLINK-30255 - Z-Coordinate,STARLINK-3869 - Z-Coordinate,STARLINK-5685 - Z-Coordinate,STARLINK-5682 - Z-Coordinate,STARLINK-5591 - Z-Coordinate,STARLINK-3102 - Z-Coordinate,STARLINK-3637 - Z-Coordinate,STARLINK-1029 - Z-Coordinate,STARLINK-4459 - Z-Coordinate,STARLINK-4102 - Z-Coordinate,STARLINK-3703 - Z-Coordinate,STARLINK-4603 - Z-Coordinate,STARLINK-5276 - Z-Coordinate,STARLINK-31177 - Z-Coordinate,STARLINK-11147 [DTC] - Z-Coordinate,STARLINK-3204 - Z-Coordinate,STARLINK-4118 - Z-Coordinate,STARLINK-2388 - Z-Coordinate,STARLINK-30552 - Z-Coordinate,STARLINK-6326 - Z-Coordinate,STARLINK-31738 - Z-Coordinate,STARLINK-30153 - Z-Coordinate,STARLINK-31390 - Z-Coordinate,STARLINK-30602 - Z-Coordinate,STARLINK-3254 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4088.3430,2152.3086,-1012.7570,-886.0207,-4919.0601,3259.0831,-6003.4208,2432.3643,-2630.2612,4849.2417,2017.2564,-876.1470,5006.1661,2832.5378,-5411.1596,3839.9111,-4219.2338,-2473.5819,6746.7056,-66.8178,-883.9693,4050.4305,3247.6348,121.6358,2629.2326,1837.6997,-2362.2723,1358.2930,4297.9555,4557.2687,-6592.9432,3910.5664,3734.5025,-1874.1665,-3522.6357,4222.7568,5736.0031,387.5154,5158.6189,-145.0971,-4410.3615,759.9701,6673.4910,6560.6263,-490.3064,1491.3056,4225.0280,5929.7750,2385.7123,-5255.9308,-4625.3516,6669.9546,6083.7402,-378.8437,6475.8389,3745.8936,2559.8725,-4686.9178,0.0000,-239.1744,-4019.8910,3249.8090,-5166.1017,5461.2426,4617.4682,339.8693,-940.3518,-6515.4305,-6499.8276,-2026.2721,3948.4320,5509.9897,-1363.7128,-6232.3733,-5916.0533,492.2678,-1747.1822,6039.8747,5190.0719,687.1413,3604.0993,-4712.0978,-1373.0439,-4765.2555,3042.8166,3425.2893,1118.7882,-1699.0581,-4791.7455,5514.2653,-4299.3617,-1955.4425,6074.8165,-1828.1134,-5773.8700,5565.8182,-418.5396,4569.1934,87.0220,-1768.7941,-383551.2566,-349813.6397,-371194.0218,-370807.3397,-364475.3712,-364653.7859,-362560.7290,-364813.7837,154548292.4933,154556489.3196,154582586.9660,154562991.1423,-365576.4802,154558374.2481,-3594.7606,4582.6140,-6208.7469,6877.7942,-2689.0084,3002.0124,3055.9904,-573.2797,-4970.3002,2714.3831,4863.3477,-6514.4400,-3607.3786,3001.0462,2676.8387,-1815.8174,-4039.2781,-3363.2898,-1544.2869,6643.4358,314.6200,5276.2109,-2404.6672,4127.5658,6297.2507,-6074.6200,6270.7081,-6663.9541,3099.6728,-514.9287,1689.2075,-4833.8614,3457.7379,-4986.5152,-2362.2384,2948.8536,-3796.5679,5040.1468,-1134.3972,2417.9343,1995.3167,-5371.6895,-666.8612,-669.3890,-4210.2120,5538.4544,-78.0884,-2414.0364,798.4582,-3822.4289,4839.3065,-1858.2631,566.1983,5390.0143,2258.3172,-2246.4174,-5594.3181,4773.7000,0.0000,2500.8919,1249.3511,-6117.1703,-4385.7531,-920.6110,1686.4886,-5357.7393,4470.6206,-1329.8046,2296.5408,-6222.0690,-5672.9156,-3399.2011,-5407.0447,2427.1422,-2338.8597,-5076.3402,-4094.3242,1216.7916,953.9376,2351.1411,-4302.8216,-2090.7311,-4272.6590,1795.3717,-6179.9052,-2314.9330,-5148.8629,-2520.9455,4694.9320,-736.9984,-2857.8062,-6582.9289,-1837.0897,-5585.7419,1267.3604,1434.6879,5996.3406,-2607.1205,-6728.7042,-6608.3903,54679.3911,60771.6331,60801.5752,57770.4077,52036.8411,54331.1574,61353.7197,59672.2133,90735936.8380,90717171.1751,90711563.9762,90717029.1000,59331.2234,90721377.4080,-4292.7564,4661.8017,-2854.2449,-255.7680,-3942.2455,5216.4633,-1497.3555,6435.4068,3670.9686,4104.7045,4144.6520,1740.0534,-2915.5648,-5512.2097,3335.3282,-5470.3678,3312.8632,5521.5954,573.1746,-1793.4237,-6853.4381,1670.0852,-5367.1634,-5509.2235,1065.8351,-2688.0805,-1711.3752,244.4567,4348.4691,5076.1978,-1276.0258,2980.5103,4698.8020,-4290.3768,5351.7386,4511.2154,309.8905,4606.5255,4209.3538,6510.5649,4864.5583,-4005.3197,1018.8185,-2103.4380,5310.3695,3881.4422,5440.5001,-2658.3179,6460.1738,2302.9494,1789.2156,220.3571,3016.6169,4208.3896,699.5123,-5364.5400,-2913.9822,-949.9207,0.0000,6465.2055,5460.3797,-227.9961,-1215.8254,3541.1870,4877.5637,4220.9665,5029.8049,-1957.2644,-205.1828,2216.6814,-200.4468,-2211.3512,-4099.5255,1672.5045,2474.4955,-4751.2482,-5273.8815,3172.0327,4457.9125,6496.5420,-4117.8905,-4219.6514,5131.4127,4712.8451,-576.3676,-5519.0119,4463.2368,6209.5458,881.1155,3580.5349,-4587.2573,635.7777,2631.4416,3666.3705,-3770.0704,3616.0416,-3385.0621,-4378.1450,-1714.6744,-886.9070,154108.9052,151870.1659,153501.8323,152818.2085,157198.1269,149114.7741,142913.6430,149950.3499,-16645049.4569,-16682047.1007,-16654884.6488,-16651585.7753,151499.2415,-16655235.8100,
3600.000,-2354.7183,-5533.9115,3015.7399,-1520.2174,6823.0847,-4854.3739,4666.0993,-359.7275,4134.2558,-3941.6817,-4918.0524,2628.0405,-3337.9527,-5768.8880,5115.6719,683.8987,6002.0006,2505.6725,-4550.6342,-1594.3763,115.2323,-5000.5128,-313.1948,-4391.6857,-3566.2499,-232.5781,-856.3487,1563.2666,-3997.7483,-5360.1859,3897.9150,-91.7084,-5912.2137,5171.6908,6321.4663,-6554.6195,-3590.4050,-4408.3039,-2111.5018,-3693.8924,552.6644,1726.9485,-5122.5601,-4152.6579,4550.9006,-4373.0540,-4805.8879,-2786.3982,-5319.4096,6089.1079,2776.5164,-4648.8339,-3806.6583,-3287.4257,-5890.1890,-2724.3772,75.2276,1136.8504,0.0000,-3175.6548,1906.7831,-710.1624,5537.0901,-5059.0595,-5090.4703,3402.9138,-2166.9000,5023.2179,4308.9336,4065.4508,-1206.1509,-1778.2030,-932.9490,5134.3747,6658.3511,3222.6644,5289.7774,-4521.2962,-4511.0364,-4785.7180,23.6639,6612.4978,4904.4324,394.8991,-645.7318,-1134.0858,905.0449,5252.2995,1025.1589,-5358.4560,6691.0411,3166.0787,-5603.5795,4425.2905,2185.3199,-6602.6978,-2267.8562,-182.9246,2069.1464,3043.7767,-383967.8643,-352289.9263,-373244.8153,-371595.8090,-366956.0075,-367981.2343,-365409.8495,-369387.5028,125780127.8767,125784691.2404,125815014.4572,125797219.2404,-368435.3562,125789371.5927,6329.2840,-2110.1207,3050.1232,-5761.6729,60.3188,1405.4637,-4163.8795,4731.9859,60.1268,1405.1936,-4520.2552,5504.7941,5861.4823,94.2755,-4531.6159,-1224.2475,2495.5483,-1340.5121,1519.2553,-6117.5779,4941.7524,-3715.0342,6145.0014,-3675.1533,-3589.7579,6651.3544,-5285.4470,5615.9709,1478.7137,3908.8228,-1675.1178,4238.2088,-132.5366,1739.2925,-478.9491,72.9373,4413.9473,-4657.6441,5053.9124,-3994.2031,-4560.0009,6476.3081,2491.2915,3204.8942,4486.3789,-5319.9673,3914.2984,4305.3866,2021.0438,2440.1021,-6059.9499,3029.3504,3230.3209,-2646.9029,-333.2089,5748.9104,6718.6299,-4520.3877,0.0000,-4701.5470,-5046.4976,6088.4759,2536.5369,3725.0747,-4704.7327,2529.4390,-6282.6143,-1711.8390,-3366.0279,3248.3653,5798.3594,4763.1926,6749.7956,-3695.1588,-204.6182,5198.7910,3753.9304,2311.0157,3183.9361,-2766.2278,2494.5207,-361.4385,972.2977,859.6600,5290.8741,5773.3198,6818.2671,3413.5414,-5215.3506,3476.0477,1471.5874,4177.7003,3509.4210,2544.2490,-1793.2311,1602.2835,-6511.3009,4286.1687,6339.7334,4125.9310,-43804.7851,-29133.0709,-31128.3353,-33680.0289,-41618.2281,-37151.1891,-32800.2394,-34583.3050,127725317.8733,127705851.3785,127709491.8244,127713352.4026,-34080.0859,127711265.3228,1549.9789,-3524.1114,5404.1008,3544.0409,615.1224,-4631.0617,-2917.2940,-5039.0094,-5304.5562,-5508.0275,586.1888,3002.6668,-1024.5431,3743.4515,959.0007,6773.1809,1692.7503,-6329.8824,-5028.5061,-2717.7237,4827.4727,2860.5228,2678.3275,3807.9951,-4705.8869,-1786.1350,4364.9475,3503.2722,-5380.1870,-1716.1422,5459.0879,-5445.8151,-3623.3473,4121.4010,-2568.8141,-2005.6722,3871.4153,-2393.0845,-3967.4230,-4345.9983,-5111.7695,-718.6147,3672.7416,4503.7761,-2339.3691,-775.7633,-3029.9396,4650.9040,-3989.1663,2127.4113,1887.6501,-4150.7318,-4647.2025,-5407.8357,3560.8813,2702.8619,-1083.3382,4879.2772,0.0000,-4019.5091,-4309.6968,-3241.6085,-3211.7862,1942.9995,9.0502,-5366.8245,-1461.7885,4446.5850,4196.0118,-4554.4041,3558.6513,4569.4369,-1193.7181,2739.9893,1495.2327,3331.0126,2338.9671,-4726.9009,-4167.0324,-4228.8054,6482.3030,-698.7903,-4648.9802,-6880.3182,4393.5345,3581.4010,-686.0617,-2964.2073,-4193.8786,1736.2957,833.8347,-4485.9937,1868.8450,-4694.9142,6401.4846,101.5754,-144.9640,5317.0827,-1942.8747,4605.9421,154388.0880,152095.2820,154457.0124,151138.7482,158049.1505,153174.1868,142842.0213,153510.1404,-16674670.7542,-16710052.2958,-16689562.6978,-16689695.9449,152031.0384,-16686266.4479,
7200.000,141.1571,6877.8304,-5161.1950,4196.8548,-5589.3005,5232.1822,-856.1880,-225.3080,-4627.7915,2908.9189,4598.3504,-3895.7543,-185.1641,6531.0567,-2277.2755,-5586.2689,-4078.4049,-3416.6460,168.9650,3315.6789,2522.5699,4209.8547,-1906.5093,6337.1510,4315.3390,-2001.2930,4450.9890,-4604.3229,3385.7023,3780.3890,721.6901,-4191.5563,6439.7687,-6625.3925,-6076.5952,6052.5063,-691.7818,6101.7953,-1128.6818,4963.2830,2551.8056,-3321.1198,550.6257,702.3614,-5653.1851,5465.5963,3952.9312,-1012.3763,6337.7341,-4492.3084,508.2780,643.5674,657.2171,6263.0366,3114.1266,1327.4414,-2952.1108,3821.3810,0.0000,4087.1846,-180.0360,-2713.3878,-3990.4474,-65.3970,2013.0866,-6326.5365,3636.1579,-2437.6346,-42.1699,-5595.8262,-2603.6314,-2687.8313,2120.9301,-1389.9111,-4251.3583,-5482.2212,-6128.1612,2334.0763,3110.5903,6155.3749,-4388.6015,-3536.4553,-6598.0205,4801.6066,-3008.2476,-599.9602,-2336.5100,-5620.8669,3742.0388,608.2123,-5976.9173,-4277.0971,2182.8845,-6272.1180,1791.3981,4159.6918,4024.1452,-3585.0236,-3935.2768,-4345.6677,-359439.1527,-332323.5849,-351607.0466,-346096.2919,-345906.6063,-349546.4952,-344427.1281,-346800.9368,88399061.6820,88400785.8717,88431148.3437,88409533.5571,-347833.6035,88407373.4165,-6592.7204,-385.6498,768.6616,2879.3571,2412.4275,-4360.3233,4169.4554,-6895.3247,4365.3282,-5242.4152,907.0699,-1279.1058,-5384.0253,-2110.8797,4557.9680,1051.2092,1245.0891,5050.9266,-2442.1722,2702.6213,-6433.2131,-229.5847,-5962.0928,2649.9267,-755.9460,-4216.2643,3110.6255,-2106.4184,-5344.7059,-4926.5158,2713.6754,-3298.9319,-2547.6312,1387.5394,2319.3554,-2567.5654,-4083.1273,2678.8118,-6654.0306,4864.2137,6105.4432,-3360.7223,-4079.9868,-5521.8715,-2866.2567,3198.1894,-5481.9975,-5696.3717,-2702.5048,628.7866,5309.5358,-4123.3600,-6202.6324,-41.3349,-2723.6073,-6584.4680,-4436.6811,2978.3655,0.0000,5559.4450,6888.7741,-4278.5720,1184.2690,-3965.6416,4433.9688,229.4769,4733.8976,4917.2637,4189.3859,647.3470,-4365.7551,-5145.8156,-3293.6736,4074.5228,3079.7114,-4297.7987,-2373.7977,-5564.8705,-6048.4071,3195.3836,-1562.6274,2772.4447,1602.6479,-486.6594,-2988.5007,-6831.9545,-5453.6176,-3436.2507,3951.1330,-4011.5964,312.0577,97.3664,-4038.6912,714.6752,3553.1253,-3847.8801,4314.0334,-5297.3862,-3609.3733,128.1878,-138812.7466,-116469.8965,-120819.4085,-122957.7366,-132697.2651,-123298.0095,-124497.8015,-124425.7320,156000431.2371,155978291.5191,155992436.4511,155993141.3787,-125138.4032,155986355.2519,2120.9871,35.8909,-4529.3702,-4719.8433,3137.9547,742.6707,5420.4928,457.9312,2160.5115,3436.6477,-4801.5280,-5431.3225,4176.4491,506.0399,-4659.2254,-3954.7645,-5198.4953,3283.6557,6486.4637,5379.1696,179.8228,-5415.6340,2419.2811,420.8051,5330.9420,5059.7539,-4284.8377,-4552.0950,2643.1960,-2894.3790,-6335.7316,4364.9018,333.7253,-927.7657,-2114.3673,-1940.4211,-5506.0268,-1559.9431,375.4683,-347.2585,1836.3824,4797.4788,-5399.3617,-4116.6320,-2473.8065,-2822.5700,-1375.5116,-3818.5205,-873.5643,-5200.7597,-4430.5937,5519.7587,2745.4074,2775.9553,-5519.9006,1632.4045,4222.6134,-4714.5754,0.0000,-819.2534,365.0474,4720.8753,5472.9178,-5253.5313,-4941.8126,2566.4706,-3269.2151,-4234.8231,-5483.0679,3996.2979,-4692.0814,-3623.2585,5686.9612,-5391.5208,-4373.1609,-43.2084,2090.7333,3407.7821,1235.3079,-518.9433,-5174.7679,4903.6624,678.2996,4985.1500,-5463.0987,682.7462,-3548.1561,-2142.6291,4012.9384,-5237.2861,3431.3992,5400.1870,-5119.7065,2857.9901,-5774.5122,-3755.7383,3561.3781,-2429.2765,4429.4590,-5359.7552,154631.1622,152307.0655,154749.6864,151706.6354,158474.2913,154021.7396,143389.3296,151314.3742,-16705061.1352,-16737214.6636,-16724153.0681,-16725743.5809,152550.4843,-16717315.2072,
