sl_100_5400_20290316 Coordinates.csv
2029/03/16 07:47:00.0000 UTC

Generated: Tue Oct  8 21:45:27 2024,
Start: 2029/03/16 07:47:00.00, Stop: 2029/03/16 09:17:00.00,
TIME_UNITS,STARLINK-6342 - X-Coordinate,STARLINK-4176 - X-Coordinate,STARLINK-4469 - X-Coordinate,STARLINK-31420 - X-Coordinate,STARLINK-1645 - X-Coordinate,STARLINK-31297 - X-Coordinate,STARLINK-4797 - X-Coordinate,STARLINK-3539 - X-Coordinate,STARLINK-3855 - X-Coordinate,STARLINK-4799 - X-Coordinate,STARLINK-1407 - X-Coordinate,STARLINK-2682 - X-Coordinate,STARLINK-3081 - X-Coordinate,STARLINK-30557 - X-Coordinate,STARLINK-5375 - X-Coordinate,STARLINK-6350 - X-Coordinate,STARLINK-31162 - X-Coordinate,STARLINK-1976 - X-Coordinate,STARLINK-11079 [DTC] - X-Coordinate,STARLINK-3312 - X-Coordinate,STARLINK-5175 - X-Coordinate,STARLINK-5456 - X-Coordinate,STARLINK-31078 - X-Coordinate,STARLINK-5829 - X-Coordinate,STARLINK-31531 - X-Coordinate,STARLINK-4089 - X-Coordinate,STARLINK-5472 - X-Coordinate,STARLINK-6319 - X-Coordinate,STARLINK-2423 - X-Coordinate,STARLINK-2689 - X-Coordinate,STARLINK-6367 - X-Coordinate,STARLINK-6048 - X-Coordinate,STARLINK-5869 - X-Coordinate,STARLINK-31211 - X-Coordinate,STARLINK-31461 - X-Coordinate,STARLINK-3071 - X-Coordinate,STARLINK-4202 - X-Coordinate,STARLINK-11207 [DTC] - X-Coordinate,STARLINK-31739 - X-Coordinate,STARLINK-5682 - X-Coordinate,STARLINK-31700 - X-Coordinate,STARLINK-3733 - X-Coordinate,STARLINK-30351 - X-Coordinate,STARLINK-6158 - X-Coordinate,STARLINK-31782 - X-Coordinate,STARLINK-31231 - X-Coordinate,STARLINK-2403 - X-Coordinate,STARLINK-5851 - X-Coordinate,STARLINK-30471 - X-Coordinate,STARLINK-2507 - X-Coordinate,STARLINK-2512 - X-Coordinate,STARLINK-3114 - X-Coordinate,STARLINK-4340 - X-Coordinate,STARLINK-1654 - X-Coordinate,STARLINK-31982 - X-Coordinate,STARLINK-30565 - X-Coordinate,STARLINK-31005 - X-Coordinate,STARLINK-1663 - X-Coordinate,STARLINK-31730 - X-Coordinate,STARLINK-5733 - X-Coordinate,STARLINK-4393 - X-Coordinate,STARLINK-30168 - X-Coordinate,STARLINK-1336 - X-Coordinate,STARLINK-31242 - X-Coordinate,STARLINK-6194 - X-Coordinate,STARLINK-30271 - X-Coordinate,STARLINK-6271 - X-Coordinate,STARLINK-31511 - X-Coordinate,STARLINK-30413 - X-Coordinate,STARLINK-1228 - X-Coordinate,STARLINK-5621 - X-Coordinate,STARLINK-5214 - X-Coordinate,STARLINK-11196 [DTC] - X-Coordinate,STARLINK-5736 - X-Coordinate,STARLINK-5228 - X-Coordinate,STARLINK-31176 - X-Coordinate,STARLINK-3289 - X-Coordinate,STARLINK-3901 - X-Coordinate,STARLINK-31550 - X-Coordinate,STARLINK-5039 - X-Coordinate,STARLINK-1046 - X-Coordinate,STARLINK-3899 - X-Coordinate,STARLINK-30882 - X-Coordinate,STARLINK-31815 - X-Coordinate,STARLINK-5001 - X-Coordinate,STARLINK-4144 - X-Coordinate,STARLINK-3708 - X-Coordinate,STARLINK-31166 - X-Coordinate,STARLINK-3391 - X-Coordinate,STARLINK-5559 - X-Coordinate,STARLINK-4198 - X-Coordinate,STARLINK-30843 - X-Coordinate,STARLINK-5786 - X-Coordinate,STARLINK-6306 - X-Coordinate,STARLINK-1108 - X-Coordinate,STARLINK-30170 - X-Coordinate,STARLINK-30191 - X-Coordinate,STARLINK-3980 - X-Coordinate,STARLINK-1038 - X-Coordinate,STARLINK-5766 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-6342 - Y-Coordinate,STARLINK-4176 - Y-Coordinate,STARLINK-4469 - Y-Coordinate,STARLINK-31420 - Y-Coordinate,STARLINK-1645 - Y-Coordinate,STARLINK-31297 - Y-Coordinate,STARLINK-4797 - Y-Coordinate,STARLINK-3539 - Y-Coordinate,STARLINK-3855 - Y-Coordinate,STARLINK-4799 - Y-Coordinate,STARLINK-1407 - Y-Coordinate,STARLINK-2682 - Y-Coordinate,STARLINK-3081 - Y-Coordinate,STARLINK-30557 - Y-Coordinate,STARLINK-5375 - Y-Coordinate,STARLINK-6350 - Y-Coordinate,STARLINK-31162 - Y-Coordinate,STARLINK-1976 - Y-Coordinate,STARLINK-11079 [DTC] - Y-Coordinate,STARLINK-3312 - Y-Coordinate,STARLINK-5175 - Y-Coordinate,STARLINK-5456 - Y-Coordinate,STARLINK-31078 - Y-Coordinate,STARLINK-5829 - Y-Coordinate,STARLINK-31531 - Y-Coordinate,STARLINK-4089 - Y-Coordinate,STARLINK-5472 - Y-Coordinate,STARLINK-6319 - Y-Coordinate,STARLINK-2423 - Y-Coordinate,STARLINK-2689 - Y-Coordinate,STARLINK-6367 - Y-Coordinate,STARLINK-6048 - Y-Coordinate,STARLINK-5869 - Y-Coordinate,STARLINK-31211 - Y-Coordinate,STARLINK-31461 - Y-Coordinate,STARLINK-3071 - Y-Coordinate,STARLINK-4202 - Y-Coordinate,STARLINK-11207 [DTC] - Y-Coordinate,STARLINK-31739 - Y-Coordinate,STARLINK-5682 - Y-Coordinate,STARLINK-31700 - Y-Coordinate,STARLINK-3733 - Y-Coordinate,STARLINK-30351 - Y-Coordinate,STARLINK-6158 - Y-Coordinate,STARLINK-31782 - Y-Coordinate,STARLINK-31231 - Y-Coordinate,STARLINK-2403 - Y-Coordinate,STARLINK-5851 - Y-Coordinate,STARLINK-30471 - Y-Coordinate,STARLINK-2507 - Y-Coordinate,STARLINK-2512 - Y-Coordinate,STARLINK-3114 - Y-Coordinate,STARLINK-4340 - Y-Coordinate,STARLINK-1654 - Y-Coordinate,STARLINK-31982 - Y-Coordinate,STARLINK-30565 - Y-Coordinate,STARLINK-31005 - Y-Coordinate,STARLINK-1663 - Y-Coordinate,STARLINK-31730 - Y-Coordinate,STARLINK-5733 - Y-Coordinate,STARLINK-4393 - Y-Coordinate,STARLINK-30168 - Y-Coordinate,STARLINK-1336 - Y-Coordinate,STARLINK-31242 - Y-Coordinate,STARLINK-6194 - Y-Coordinate,STARLINK-30271 - Y-Coordinate,STARLINK-6271 - Y-Coordinate,STARLINK-31511 - Y-Coordinate,STARLINK-30413 - Y-Coordinate,STARLINK-1228 - Y-Coordinate,STARLINK-5621 - Y-Coordinate,STARLINK-5214 - Y-Coordinate,STARLINK-11196 [DTC] - Y-Coordinate,STARLINK-5736 - Y-Coordinate,STARLINK-5228 - Y-Coordinate,STARLINK-31176 - Y-Coordinate,STARLINK-3289 - Y-Coordinate,STARLINK-3901 - Y-Coordinate,STARLINK-31550 - Y-Coordinate,STARLINK-5039 - Y-Coordinate,STARLINK-1046 - Y-Coordinate,STARLINK-3899 - Y-Coordinate,STARLINK-30882 - Y-Coordinate,STARLINK-31815 - Y-Coordinate,STARLINK-5001 - Y-Coordinate,STARLINK-4144 - Y-Coordinate,STARLINK-3708 - Y-Coordinate,STARLINK-31166 - Y-Coordinate,STARLINK-3391 - Y-Coordinate,STARLINK-5559 - Y-Coordinate,STARLINK-4198 - Y-Coordinate,STARLINK-30843 - Y-Coordinate,STARLINK-5786 - Y-Coordinate,STARLINK-6306 - Y-Coordinate,STARLINK-1108 - Y-Coordinate,STARLINK-30170 - Y-Coordinate,STARLINK-30191 - Y-Coordinate,STARLINK-3980 - Y-Coordinate,STARLINK-1038 - Y-Coordinate,STARLINK-5766 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-6342 - Z-Coordinate,STARLINK-4176 - Z-Coordinate,STARLINK-4469 - Z-Coordinate,STARLINK-31420 - Z-Coordinate,STARLINK-1645 - Z-Coordinate,STARLINK-31297 - Z-Coordinate,STARLINK-4797 - Z-Coordinate,STARLINK-3539 - Z-Coordinate,STARLINK-3855 - Z-Coordinate,STARLINK-4799 - Z-Coordinate,STARLINK-1407 - Z-Coordinate,STARLINK-2682 - Z-Coordinate,STARLINK-3081 - Z-Coordinate,STARLINK-30557 - Z-Coordinate,STARLINK-5375 - Z-Coordinate,STARLINK-6350 - Z-Coordinate,STARLINK-31162 - Z-Coordinate,STARLINK-1976 - Z-Coordinate,STARLINK-11079 [DTC] - Z-Coordinate,STARLINK-3312 - Z-Coordinate,STARLINK-5175 - Z-Coordinate,STARLINK-5456 - Z-Coordinate,STARLINK-31078 - Z-Coordinate,STARLINK-5829 - Z-Coordinate,STARLINK-31531 - Z-Coordinate,STARLINK-4089 - Z-Coordinate,STARLINK-5472 - Z-Coordinate,STARLINK-6319 - Z-Coordinate,STARLINK-2423 - Z-Coordinate,STARLINK-2689 - Z-Coordinate,STARLINK-6367 - Z-Coordinate,STARLINK-6048 - Z-Coordinate,STARLINK-5869 - Z-Coordinate,STARLINK-31211 - Z-Coordinate,STARLINK-31461 - Z-Coordinate,STARLINK-3071 - Z-Coordinate,STARLINK-4202 - Z-Coordinate,STARLINK-11207 [DTC] - Z-Coordinate,STARLINK-31739 - Z-Coordinate,STARLINK-5682 - Z-Coordinate,STARLINK-31700 - Z-Coordinate,STARLINK-3733 - Z-Coordinate,STARLINK-30351 - Z-Coordinate,STARLINK-6158 - Z-Coordinate,STARLINK-31782 - Z-Coordinate,STARLINK-31231 - Z-Coordinate,STARLINK-2403 - Z-Coordinate,STARLINK-5851 - Z-Coordinate,STARLINK-30471 - Z-Coordinate,STARLINK-2507 - Z-Coordinate,STARLINK-2512 - Z-Coordinate,STARLINK-3114 - Z-Coordinate,STARLINK-4340 - Z-Coordinate,STARLINK-1654 - Z-Coordinate,STARLINK-31982 - Z-Coordinate,STARLINK-30565 - Z-Coordinate,STARLINK-31005 - Z-Coordinate,STARLINK-1663 - Z-Coordinate,STARLINK-31730 - Z-Coordinate,STARLINK-5733 - Z-Coordinate,STARLINK-4393 - Z-Coordinate,STARLINK-30168 - Z-Coordinate,STARLINK-1336 - Z-Coordinate,STARLINK-31242 - Z-Coordinate,STARLINK-6194 - Z-Coordinate,STARLINK-30271 - Z-Coordinate,STARLINK-6271 - Z-Coordinate,STARLINK-31511 - Z-Coordinate,STARLINK-30413 - Z-Coordinate,STARLINK-1228 - Z-Coordinate,STARLINK-5621 - Z-Coordinate,STARLINK-5214 - Z-Coordinate,STARLINK-11196 [DTC] - Z-Coordinate,STARLINK-5736 - Z-Coordinate,STARLINK-5228 - Z-Coordinate,STARLINK-31176 - Z-Coordinate,STARLINK-3289 - Z-Coordinate,STARLINK-3901 - Z-Coordinate,STARLINK-31550 - Z-Coordinate,STARLINK-5039 - Z-Coordinate,STARLINK-1046 - Z-Coordinate,STARLINK-3899 - Z-Coordinate,STARLINK-30882 - Z-Coordinate,STARLINK-31815 - Z-Coordinate,STARLINK-5001 - Z-Coordinate,STARLINK-4144 - Z-Coordinate,STARLINK-3708 - Z-Coordinate,STARLINK-31166 - Z-Coordinate,STARLINK-3391 - Z-Coordinate,STARLINK-5559 - Z-Coordinate,STARLINK-4198 - Z-Coordinate,STARLINK-30843 - Z-Coordinate,STARLINK-5786 - Z-Coordinate,STARLINK-6306 - Z-Coordinate,STARLINK-1108 - Z-Coordinate,STARLINK-30170 - Z-Coordinate,STARLINK-30191 - Z-Coordinate,STARLINK-3980 - Z-Coordinate,STARLINK-1038 - Z-Coordinate,STARLINK-5766 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,6722.7059,44.1732,3550.5352,-6613.2505,1701.2274,-1965.3586,-4456.9676,-2587.7590,-3918.0010,4135.8430,928.8416,4046.1730,-2027.6784,3936.5224,4016.1347,2891.6942,-1026.3118,2500.1856,-3950.7095,1073.9134,-4137.9523,-537.0721,-2044.8824,-5614.1957,6412.8139,1712.0787,6105.1738,6441.0865,6385.6284,3033.6913,-1705.6677,3306.5210,4584.8851,4311.3784,4617.7452,578.3691,6550.5346,4694.1872,5593.6752,4526.1868,3469.8972,2447.2126,1233.6358,-4372.1490,-2167.7063,2399.7800,5061.8253,-2353.4776,3499.6067,-5819.3186,5045.2008,-4852.0781,985.8945,-3948.1744,2468.7053,4288.4923,5840.9460,-1597.6259,5036.9063,152.1994,-700.5235,4809.9031,-4578.9423,-3538.7104,-2442.7653,-1263.8308,-4060.5005,-3270.2465,-4574.3828,3127.5402,414.9768,-1459.4166,-5019.4432,6714.0699,1022.1872,-6499.1471,-3566.3141,5673.7606,0.0000,-3740.8526,5232.1591,-3768.1594,2447.2491,-1949.8647,-3999.4954,3822.1504,3162.1615,2234.8409,2660.1442,0.0000,6649.4885,4929.9593,938.5014,-2252.1158,0.0000,2887.9832,-6854.2786,3158.8690,-5008.1656,1309.1474,-99545.0878,-117061.3476,-102282.0413,-104701.4359,-112212.8351,-110109.7307,-104184.7766,-104631.6565,20614765.1059,20596364.5428,20585467.3703,20606219.7702,-105080.5521,20604245.4241,1591.0969,-5291.9002,-1553.8948,501.9257,-5278.6379,6510.4374,201.0431,3252.7358,-4993.2484,-4785.1407,-6072.6721,-934.2238,-1416.5993,3272.8133,5565.6509,4233.5229,-5116.8765,-4541.6459,1009.1530,6824.0298,136.7136,-3079.7369,-5643.8280,-2899.1496,-1091.1154,-3788.6112,-312.5514,-2318.3002,-2120.3223,-3034.8834,5822.2409,284.8466,2134.2440,3399.6242,3259.7228,3928.7776,-949.3465,-1980.5197,-3981.8922,-2249.8019,3146.4042,-4762.4859,-4984.9148,-3767.2122,-5259.7684,-4564.9316,-1779.4004,-3668.1015,-3751.6527,3252.1842,-1969.6072,4700.1875,405.9266,-1848.2576,-3805.4736,-3646.5667,-2597.6025,-4780.6267,-4523.5411,-6084.6598,-6307.2832,3388.8168,-676.9799,-5721.8016,5088.2803,4173.3710,4416.0131,4238.5937,4912.7472,-3265.7559,-6207.2816,3865.3652,692.2488,1524.1261,6546.2949,1938.8048,3929.3523,-3104.5736,0.0000,-3833.6423,169.0362,4482.6928,4738.2961,-4673.9179,-739.7089,-2628.1283,4185.8236,6376.4358,-6365.4561,0.0000,1105.6659,1600.4922,5113.2045,4952.2981,0.0000,-6256.3186,532.5843,-3115.3977,-3292.1068,-6185.1521,405983.0875,381696.4237,393706.6448,394117.3540,390031.8765,389616.4639,385026.3965,389502.5511,-97472128.7683,-97498227.9230,-97503648.3411,-97495707.7836,388541.6755,-97489607.5559,674.1528,-4436.4754,-5742.0911,1518.7861,3974.9229,-944.2102,-5276.1657,-5503.2237,2649.8793,2778.8650,3052.8107,-5500.0468,-6506.8184,-4663.9716,916.1009,-4678.9837,-4375.6549,4479.5964,5351.2031,-90.5313,-5513.8711,-6202.3325,-3249.5574,2864.2929,2033.1981,5487.6624,3179.8684,-1068.8095,1591.7706,-5399.9822,3322.3195,-6109.4858,-4712.7057,4121.2968,3776.4808,5700.2896,1976.9108,-4345.1436,-77.1528,4710.4496,4745.9664,4354.4676,-4644.4531,-3831.0506,3725.1863,-4500.1488,-4086.0523,-5420.9790,-4757.8396,-1768.7194,4200.9864,1510.9837,6820.4182,-5311.8681,-5115.8077,-3883.0160,-2660.3808,-4754.2883,-146.1757,3288.8563,-2790.8518,-3657.3616,-5021.0904,1077.4631,4028.7338,-5272.7174,3464.1932,-4226.3089,1665.5296,5190.0798,3050.3327,-5521.1482,-4468.9634,-748.0559,-1890.2781,-1402.0913,4407.2679,-2370.5856,0.0000,4387.3545,4539.6642,-3662.8595,-4254.5384,-4596.4783,5254.0013,-5127.9480,4303.7485,1093.4642,-332.9379,0.0000,1501.8184,4579.4204,-4546.3406,-4291.2796,0.0000,686.8797,486.5563,-5127.6835,-3440.3952,2835.2730,59583.0281,53240.8019,58034.2103,57931.7311,61937.3957,53474.2565,47731.1046,57707.6530,-214834.7526,-247854.0853,-206050.4860,-223290.9514,56239.6331,-215934.2295,
300.000,6324.5022,-1569.2646,1933.0044,-5775.5936,431.8417,-480.2576,-4809.5128,-930.5057,-5159.5743,3382.4178,-352.8981,3501.9338,-2706.1593,4944.4866,5157.5623,4388.1527,-2903.2572,1359.1137,-2984.0685,2199.3634,-4012.2387,-2315.6607,-3775.9767,-5901.3371,5392.7230,-210.9545,4969.7690,5398.3905,6066.9740,1760.2350,223.8853,1939.7247,5278.9327,5731.0770,5947.3955,1609.8820,5546.5053,4639.5414,4596.5952,3375.6609,5143.9939,464.9327,-792.4313,-5811.5556,-3991.0338,624.4824,5125.5789,-2432.4162,1734.2284,-4521.0899,3379.6758,-3470.7873,1173.8559,-4141.1727,326.6957,2414.5221,5379.3059,-3431.7132,3740.1760,-1615.5147,-287.3674,6106.1165,-3891.7770,-4780.5809,-884.6941,547.4034,-2156.5151,-1225.1567,-2972.3615,2056.0193,-407.2460,602.6471,-3645.5047,6877.4806,2277.0177,-6036.5710,-1569.8872,5296.2268,0.0000,-5321.2914,5931.5017,-1915.9020,3366.9760,-3726.6439,-4556.9632,1951.9374,3782.3504,3486.1134,1387.0258,0.0000,6140.8935,5046.9196,2983.4300,-140.6822,0.0000,1452.5304,-6290.5047,2124.6657,-6209.3838,-502.8685,-108199.3321,-125065.0683,-110392.7705,-112859.9452,-120460.9047,-118276.2548,-112448.7948,-112540.4183,22743869.1514,22725855.0107,22714927.4784,22736047.2404,-113294.2217,22733442.1117,851.1511,-5953.3568,-220.9850,1699.4310,-6327.8172,6820.3655,2186.7353,4596.3883,-4454.9656,-5928.5751,-6709.8419,-3010.0391,678.5960,1367.7413,4579.4429,2686.2195,-4049.5208,-5906.0286,2994.1608,6275.5144,2277.8128,-3951.5158,-5333.6703,-3584.7452,-2540.6762,-4709.9903,-1658.5202,-3555.4515,-3313.8791,-4680.2401,5469.7056,-1397.6264,106.7990,2064.8859,1930.0380,2110.1067,-2089.2815,-3761.5710,-4749.3534,-4060.0632,2200.0141,-4486.0599,-5505.7841,-2593.3507,-4855.5106,-5627.6105,-3473.6642,-1646.0952,-4958.8353,3974.3709,-3054.0704,5089.3194,2621.4238,320.4762,-4091.3341,-4073.5735,-4172.3400,-4834.7819,-5391.6753,-5248.7837,-6896.0711,2113.8626,1359.8787,-4833.6605,6183.0713,5127.8014,4970.5320,4856.5982,5472.9291,-4955.6972,-5032.7706,4492.8279,2239.8499,25.2433,6500.5379,3389.0128,4189.4298,-4358.5766,0.0000,-2599.7789,-1459.6359,4574.4480,2957.1623,-3427.0859,1327.5079,-3667.5136,2255.0113,5320.0081,-6432.0187,0.0000,-237.5670,-551.7090,4853.3169,5090.0004,0.0000,-6717.7259,1995.6105,-4844.0795,-2395.9681,-5701.1424,403813.4083,379246.5540,391294.2230,391655.8720,387688.7816,387246.5270,382735.9616,387385.5170,-96996166.7153,-97022167.8711,-97028330.2036,-97019469.9327,386211.1904,-97013682.6706,2725.7831,-3126.8886,-6648.1804,3164.5513,2522.0440,607.8335,-4452.7730,-5056.5456,930.3539,1078.9161,1394.5419,-5115.3676,-6377.3990,-4651.8207,-629.6696,-4658.4912,-4642.8713,3200.7692,5234.3347,-1878.6090,-5124.0887,-5221.4731,-1968.5154,700.0236,3299.8822,5018.0560,4472.8409,-2497.2016,-206.4448,-4750.1943,4226.1180,-6528.5440,-4461.4601,3169.4372,2671.4771,6419.1015,3544.2742,-3025.3463,-1869.4730,4456.8016,3631.7110,5222.2051,-4122.4871,-2733.8635,2599.3413,-3844.9176,-2670.9652,-6305.0347,-4620.3012,-3368.5079,5119.8778,3152.7917,6279.3732,-5474.1379,-5468.7022,-4934.8830,-1256.9635,-3584.7286,-1677.8968,4205.4113,-617.5743,-2496.0980,-5444.3803,-477.8518,3016.5914,-4496.4388,4314.7099,-4630.2417,3003.5036,4314.9859,4741.8240,-5196.5847,-5228.8646,798.7577,-100.5757,130.1406,5248.5566,-620.0089,0.0000,3589.5125,3275.3684,-4808.3441,-5144.7598,-4598.5598,4651.2589,-5527.4899,5160.5998,2523.3695,-2105.0564,0.0000,3146.1601,4696.8872,-3903.1464,-4699.4437,0.0000,-859.3869,1980.6204,-4241.8901,-1855.6328,3902.9531,59687.2221,53359.3049,58219.0533,57871.1104,62104.0933,53857.7087,47764.5943,57521.8894,-213792.4594,-247004.9140,-205536.6005,-222813.1449,56355.3369,-215152.1361,
600.000,5291.0888,-2997.5471,53.3903,-4337.6673,-853.9036,1058.8019,-4728.2850,777.3265,-5872.8724,2302.6937,-1582.9633,2664.2246,-3191.3599,5512.0778,5801.7148,5493.4090,-4510.4902,115.2902,-1752.0626,3126.4364,-3542.9056,-3819.5014,-5111.4421,-5541.0750,3827.8512,-2080.1597,3353.3292,3828.1785,5143.2803,359.4870,2155.8909,441.2998,5496.5646,6586.5814,6669.2443,2555.5826,3992.7573,4106.5020,3120.3752,1934.3670,6251.3409,-1588.0470,-2722.1698,-6687.8891,-5393.3789,-1185.0243,4663.5947,-2348.7589,-166.8169,-2759.0366,1385.2359,-1725.3677,1145.2484,-3977.8507,-1846.6918,284.7134,4402.9159,-4907.9173,2042.9996,-3257.8493,165.6683,6811.4126,-2860.0918,-5537.0167,732.1520,2267.1062,-37.6676,939.1097,-1065.3783,825.1359,-1248.4944,2580.9728,-1918.0021,6372.2662,3301.2514,-4985.6574,592.0292,4389.2025,0.0000,-6393.5927,6067.8040,146.6194,3996.8424,-5153.1502,-4653.9169,-87.8812,4064.6696,4410.1642,-46.0720,0.0000,5030.7548,4717.8247,4728.8620,1989.4763,0.0000,-131.9226,-5105.6533,914.3642,-6787.6278,-2294.1201,-116806.6468,-133015.8493,-118452.3807,-120961.7877,-128656.2832,-126379.7527,-120662.9707,-120459.8525,24862010.2810,24844374.8371,24833447.7563,24854889.4112,-121456.2816,24851677.1553,-10.3289,-6041.3157,1058.8483,2755.6011,-6728.3792,6449.0389,3932.0991,5518.7182,-3474.6218,-6475.3860,-6666.2623,-4791.2516,2677.3707,-648.3872,3143.6814,911.9010,-2605.5560,-6673.3701,4680.4008,5098.0109,4186.5042,-4478.5822,-4496.3808,-3888.6325,-3762.6100,-5204.7462,-2885.4007,-4471.3657,-4179.5482,-5879.9982,4616.9529,-2996.2255,-1912.0990,554.2285,427.8987,112.7576,-3060.7250,-5111.9913,-5051.7439,-5491.9770,1052.4955,-3815.7714,-5526.5392,-1193.8136,-3975.4916,-6147.9113,-4775.8681,548.5187,-5734.1750,4335.0144,-3883.5664,5003.2277,4559.7176,2453.6889,-4019.9739,-4138.4950,-5332.8272,-4446.9585,-5710.6776,-3926.7098,-6731.3148,657.4897,3283.6866,-3448.0773,6691.3723,5593.6786,5084.1778,5026.0378,5523.7717,-6159.2581,-3359.5040,4724.8865,3599.0341,-1483.8024,5799.7520,4510.4247,4089.5503,-5167.7557,0.0000,-1146.9919,-2914.8546,4261.5011,881.1749,-1871.8578,3221.0235,-4400.9140,89.0607,3723.2173,-5866.7097,0.0000,-1590.6765,-2649.6250,4155.1321,4779.8078,0.0000,-6528.6793,3280.7877,-6072.7517,-1281.4453,-4689.3346,401457.9332,376630.0497,388705.4111,389012.6827,385170.4662,384703.2480,380269.8875,385021.8218,-96473713.0106,-96499603.1056,-96506508.3933,-96496689.8402,383707.0683,-96491262.5142,4486.5429,-1478.8326,-6844.6341,4451.9740,786.4486,2092.7911,-3148.8989,-4061.6087,-891.1341,-737.7265,-417.6973,-4174.8826,-5576.7149,-4141.1844,-2107.8135,-4142.0972,-4387.3300,1567.6828,4506.9664,-3463.5961,-4178.4558,-3686.4174,-466.6824,-1539.0169,4194.9179,4001.7619,5278.8746,-3657.9670,-1982.4121,-3585.2594,4674.9998,-6258.1337,-3729.4254,1868.7404,1263.5743,6458.0577,4728.2088,-1346.5633,-3456.0593,3722.2633,2082.1152,5524.7646,-3158.1937,-1343.3164,1179.0216,-2762.6341,-945.7277,-6523.8298,-4002.3069,-4602.6148,5473.2104,4455.4790,5061.3161,-5036.8411,-5213.7310,-5438.2247,281.6290,-2031.1297,-3017.0701,4669.5090,1621.8754,-1067.0285,-5260.3390,-1979.3299,1682.1845,-3220.6346,4702.9066,-4515.1536,4017.5817,2969.3083,5925.6261,-4308.5456,-5386.3650,2259.6659,1700.0822,1648.3598,5520.9684,1198.2732,0.0000,2406.5847,1660.4771,-5434.8210,-5459.1608,-4089.2628,3486.3828,-5332.7911,5430.2135,3672.4786,-3649.4701,0.0000,4449.7459,4309.1872,-2837.8522,-4604.8944,0.0000,-2313.3750,3258.7106,-2872.0480,-70.2155,4552.4395,59791.1577,53478.2588,58400.3172,57806.7901,62267.6117,54247.1766,47802.7577,57251.0434,-212750.7694,-246152.5585,-205024.9406,-222305.3635,56471.0099,-214370.0314,
