sl_20_86400_20290603 Coordinates.csv
2029/06/03 07:47:00.0000 UTC

Generated: Tue Oct  8 21:46:11 2024,
Start: 2029/06/03 07:47:00.00, Stop: 2029/06/04 07:47:00.00,
TIME_UNITS,STARLINK-11246 [DTC] - X-Coordinate,STARLINK-3167 - X-Coordinate,STARLINK-4375 - X-Coordinate,STARLINK-2046 - X-Coordinate,STARLINK-31524 - X-Coordinate,STARLINK-3500 - X-Coordinate,STARLINK-11096 [DTC] - X-Coordinate,STARLINK-3344 - X-Coordinate,STARLINK-3874 - X-Coordinate,STARLINK-31550 - X-Coordinate,STARLINK-3752 - X-Coordinate,STARLINK-31729 - X-Coordinate,STARLINK-5177 - X-Coordinate,STARLINK-30802 - X-Coordinate,STARLINK-31236 - X-Coordinate,STARLINK-4605 - X-Coordinate,STARLINK-2658 - X-Coordinate,STARLINK-6143 - X-Coordinate,STARLINK-31234 - X-Coordinate,STARLINK-4013 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-11246 [DTC] - Y-Coordinate,STARLINK-3167 - Y-Coordinate,STARLINK-4375 - Y-Coordinate,STARLINK-2046 - Y-Coordinate,STARLINK-31524 - Y-Coordinate,STARLINK-3500 - Y-Coordinate,STARLINK-11096 [DTC] - Y-Coordinate,STARLINK-3344 - Y-Coordinate,STARLINK-3874 - Y-Coordinate,STARLINK-31550 - Y-Coordinate,STARLINK-3752 - Y-Coordinate,STARLINK-31729 - Y-Coordinate,STARLINK-5177 - Y-Coordinate,STARLINK-30802 - Y-Coordinate,STARLINK-31236 - Y-Coordinate,STARLINK-4605 - Y-Coordinate,STARLINK-2658 - Y-Coordinate,STARLINK-6143 - Y-Coordinate,STARLINK-31234 - Y-Coordinate,STARLINK-4013 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-11246 [DTC] - Z-Coordinate,STARLINK-3167 - Z-Coordinate,STARLINK-4375 - Z-Coordinate,STARLINK-2046 - Z-Coordinate,STARLINK-31524 - Z-Coordinate,STARLINK-3500 - Z-Coordinate,STARLINK-11096 [DTC] - Z-Coordinate,STARLINK-3344 - Z-Coordinate,STARLINK-3874 - Z-Coordinate,STARLINK-31550 - Z-Coordinate,STARLINK-3752 - Z-Coordinate,STARLINK-31729 - Z-Coordinate,STARLINK-5177 - Z-Coordinate,STARLINK-30802 - Z-Coordinate,STARLINK-31236 - Z-Coordinate,STARLINK-4605 - Z-Coordinate,STARLINK-2658 - Z-Coordinate,STARLINK-6143 - Z-Coordinate,STARLINK-31234 - Z-Coordinate,STARLINK-4013 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4331.3325,-4054.0322,5799.7934,5840.3806,0.0000,-3550.0177,5741.7584,1267.2322,3574.0436,0.0000,-4723.7520,-3978.4866,-631.3276,-3806.1253,-1864.1740,-3965.2951,4606.2895,-5265.5525,4375.9148,-5004.3110,-333742.0597,-314192.5112,-332698.0982,-333911.9176,-331702.3332,-330666.3794,-325013.4752,-329815.1786,142046969.2037,142099251.0441,142070682.0830,142068823.5324,-328640.7978,142061750.2079,-5002.9799,-626.3240,-2919.3024,-1075.3609,0.0000,-3237.2192,-3218.5817,-4689.9565,2318.3239,0.0000,-1491.3207,3577.3855,4437.0944,1575.3335,4445.6569,1432.8707,-4035.2164,202.3990,3753.6689,-3733.2649,-211216.0023,-233451.2949,-215861.8596,-218471.3150,-226727.4342,-224726.0000,-219978.6730,-219076.3164,22669786.5720,22635713.2673,22635084.0257,22655518.8253,-220042.5276,22655734.3910,-1292.2377,5477.1034,2436.4459,3463.7869,0.0000,-4957.4474,1301.5670,4979.3899,-5442.2890,0.0000,-4786.8776,4195.3737,5233.0587,-5474.6120,4810.2351,5451.4472,-3205.3835,4492.5638,3619.9282,2888.2567,-35263.7973,-39417.2989,-36200.2487,-36714.4589,-32451.1573,-40650.3605,-46710.8116,-37129.9478,2072251.4154,2079809.4465,2082484.5094,2063680.1081,-38146.8884,2071051.9596,
3600.000,-1906.9350,4424.1698,-2917.8979,-6092.5122,0.0000,6431.5330,-1790.5393,920.3348,-4965.7646,0.0000,3429.3254,-403.7272,-3696.6578,2243.9496,-2949.1264,3265.8560,-3787.6175,3793.0627,-5028.3779,4235.5243,-272335.9231,-245670.1284,-265511.6678,-265470.0605,-265796.2468,-264255.6428,-259707.8500,-261495.4241,131351673.0699,131409671.8115,131383276.6441,131370020.6427,-262911.7498,131366885.4400,5378.7792,-3751.4527,-114.8310,3072.9244,0.0000,1956.2235,4002.9200,6655.8240,1807.4443,0.0000,-2863.0501,-5394.6253,-3259.0188,-5563.4064,-3574.5536,-5246.4400,5669.3080,-4035.3595,835.9114,-99.8489,-288524.6218,-305845.8243,-290869.2095,-293819.2417,-302970.4626,-298812.8593,-296440.0010,-296659.8270,58752893.7596,58729594.4239,58721839.4347,58746517.8914,-295882.1806,58739936.0641,-3595.4287,-3652.8712,-6299.2601,872.9436,0.0000,1538.5408,-5085.5433,-1845.0798,4438.7925,0.0000,5227.5307,-4135.1059,-4832.6420,3294.6498,-5004.6285,-3077.7299,-1114.3358,-4174.6924,-4524.8211,-5430.2502,-33546.5245,-38281.5464,-34322.3200,-37544.1015,-30696.3254,-35712.1229,-45931.2424,-37441.0378,2060872.8584,2062992.2878,2064853.0113,2046900.3200,-36738.8516,2056622.8591,
7200.000,-2571.0532,-3591.9336,-2554.4941,3293.8965,0.0000,-6274.1906,-3555.7892,-2261.3446,5289.7876,0.0000,-2123.4783,3996.9193,6462.2872,-599.6253,6242.4554,-1972.7381,1020.6544,-1912.6685,4390.9414,-3042.8348,-192953.8316,-161046.8924,-181138.9304,-177625.0073,-182673.5022,-180568.7411,-176995.3154,-181827.1951,111658944.7840,111719295.3405,111696356.7026,111669936.7829,-180143.2747,111674049.6585,-3187.1909,5781.3417,841.3880,-3863.4186,0.0000,-268.8839,-3816.7675,-6149.6966,-4398.3650,0.0000,6165.9700,5440.6652,2040.3788,6710.3535,2354.8594,6482.0202,-4951.5604,6532.4170,-4824.3500,4395.2050,-348707.2053,-358679.4442,-347152.8261,-351839.7680,-360131.1352,-350454.4453,-354094.9207,-352286.1218,90837844.3968,90826770.6330,90813392.8212,90834825.0143,-352785.3678,90826017.7977,5344.9975,-788.0428,6385.0464,-4646.9359,0.0000,2848.1027,4213.9132,-2367.4315,-634.5910,0.0000,-2215.3893,854.0903,1274.3452,1216.7892,1394.7529,-1311.2846,4699.7116,1297.9160,1954.8274,4324.7608,-31934.9244,-37130.4445,-33088.9693,-36270.6485,-29354.6651,-33743.2712,-44515.5720,-34829.4877,2049197.8942,2046113.5703,2046932.5414,2033109.0878,-35327.7683,2042172.5906,
10800.000,6237.4425,733.1052,6245.2548,1234.7386,0.0000,3550.2329,6209.5492,3366.3475,-3329.0184,0.0000,468.1269,-5342.9707,-6159.6394,-1758.6828,-5981.6589,-569.5343,3029.9963,-335.4790,-2060.8050,1767.8262,-100336.1782,-65768.5791,-85075.9419,-80919.9327,-87735.4389,-85850.4431,-82162.6918,-83885.7667,84311052.8178,84370099.7112,84351171.2053,84315080.3473,-85641.2974,84325564.0718,604.9435,-4976.3312,1340.0025,4224.7385,0.0000,-2385.2077,2499.2398,3157.2003,4869.0354,0.0000,-6474.0256,-2878.0361,-290.7977,-4473.7422,-304.6137,-4891.6165,3203.1263,-6509.9123,6143.6321,-6643.2244,-387483.6642,-388540.3346,-381113.4510,-388338.6435,-394449.1187,-382380.9911,-389040.2494,-387217.9156,116726323.0918,116727759.3169,116710229.9851,116721241.1560,-387052.7030,116715393.1695,-2490.6202,4642.0655,-2716.4571,5277.7774,0.0000,-5418.6665,478.9994,5205.6670,-3600.2672,0.0000,-2300.5140,3069.4024,3082.5119,-4881.8835,3246.0387,4823.2666,-5323.5818,2347.5150,2093.4365,-357.7638,-30402.0888,-35962.2307,-32452.6851,-32310.3410,-28415.1189,-36069.5054,-42473.9224,-34039.5705,2037046.7850,2029190.1816,2028841.4722,2021448.8718,-33913.7589,2027701.1510,
14400.000,-6050.2885,3435.4638,-5361.0212,-4902.1545,0.0000,-201.6831,-4687.3042,-4656.1552,-652.1384,0.0000,2062.1865,4729.6764,3401.2783,4577.4380,2906.6079,4004.0625,-6229.2916,3052.0132,-1790.0222,274.4054,-247.2863,34044.5065,16483.0485,20112.2114,12835.1600,14116.2393,18597.3525,12721.2765,51174952.4488,51229167.7542,51214263.7944,51175856.0928,14522.1302,51188563.9067,1548.0645,2803.4421,-3551.2417,-4200.8477,0.0000,5249.0374,704.5068,809.3434,-4088.3552,0.0000,3925.8865,-1593.1540,-2487.4051,657.3917,-2885.1811,2023.4668,-1540.6646,4215.0966,-4741.7152,5683.7041,-401927.7686,-393498.2610,-390624.5351,-398875.6286,-403603.7723,-391636.5228,-398835.9054,-396678.1036,134642732.6760,134655793.1895,134635265.4717,134631902.1987,-396438.2034,134632255.5945,-2546.1847,-5228.5395,-2612.9196,-2384.3860,0.0000,4461.4823,-4756.4563,-5123.1980,5519.6536,0.0000,5255.7358,-4632.7445,-5466.5899,5041.4601,-5454.7222,-5249.0148,2548.5430,-4584.5464,-4557.3449,-3878.3408,-28931.5170,-34775.0023,-32205.1591,-28924.5891,-27888.4929,-37667.1351,-39782.0413,-32573.0935,2024269.2584,2012237.1405,2010693.9256,2011156.7142,-32496.9435,2013208.5374,
18000.000,2006.9202,-6482.5933,1256.2040,5905.8399,0.0000,-2124.0772,1030.0302,5430.4143,4733.0295,0.0000,-4979.2867,-2951.1947,-146.6251,-6217.2469,581.9457,-6498.4890,6662.7084,-5555.6815,5480.4923,-3234.2421,100915.6997,131992.1977,117053.9798,120093.2379,112451.9053,113485.4286,118556.2675,115526.4532,14514859.1348,14561217.3035,14550096.4094,14518321.3086,113899.3263,14527524.6223,-3557.8218,-723.3261,2488.0300,2811.8555,0.0000,-6533.8023,-4692.4576,-3807.6848,3122.0210,0.0000,-448.4016,5553.8707,5395.4101,2370.5338,5803.5175,451.7662,-16.8929,-987.8128,1976.6637,-2564.2491,-390689.2197,-373223.7334,-375113.8970,-383234.9652,-386838.2503,-376035.6250,-382705.1344,-379755.6017,143355943.1571,143378716.6822,143355864.3824,143339281.6628,-380296.9339,143345382.1601,5352.5786,2085.9205,6343.0305,-2135.9730,0.0000,-642.6607,4677.3124,2114.5579,-3951.5155,0.0000,-4739.6519,2591.4259,4284.2454,-1622.8042,3520.8709,2265.1377,1821.9269,4014.5859,3521.5694,5497.0233,-27512.2657,-33566.6156,-32033.1445,-26180.9888,-27808.0897,-38332.9061,-36377.0629,-30611.2347,2010754.2386,1995268.0446,1992605.1749,2001324.3635,-31077.4420,1998694.7468,
21600.000,2729.7575,6285.9995,2071.0613,-4478.2851,0.0000,3307.2565,1956.9542,-4533.8353,-6629.4464,0.0000,6462.8193,416.9799,-2069.1899,4900.5490,-2752.4224,6230.5028,-4194.7507,6616.5141,-6757.9716,5917.5485,196554.8604,221805.6429,210246.7760,212780.5418,204533.8525,206003.3419,210774.6036,204640.3733,-23162430.9315,-23126170.7164,-23133687.6262,-23151642.7877,206082.4908,-23150485.6762,5044.0731,-1040.1484,1917.4359,427.5873,0.0000,4855.7941,6410.1695,4865.9058,-1933.4937,0.0000,-2124.0481,-6636.1557,-6571.9733,-3746.6810,-6145.4054,-2031.4105,2138.5235,-1801.4613,836.3080,-594.0784,-354114.2062,-329004.0926,-335555.6077,-342662.6199,-344907.0060,-336002.4799,-341634.6822,-340511.7151,142263871.7735,142293678.8609,142268685.9168,142246033.5093,-339629.5186,142252738.0301,-3548.4675,2510.8495,-6343.6010,5195.7997,0.0000,-3621.9518,-355.1252,2061.3772,-154.2565,0.0000,1045.5571,1439.4125,-348.4436,-2979.4537,1052.5623,2153.0149,-5059.8046,-1019.9054,191.1263,-3472.0992,-26136.6665,-32334.5635,-31602.4378,-23959.6153,-28223.7798,-38219.4615,-32157.9755,-30297.1524,1996437.0401,1978295.4299,1974697.2291,1990315.6553,-29655.3744,1984159.7764,
25200.000,-5034.5742,-2964.6410,-1956.2412,2237.6622,0.0000,-4050.5650,-3505.3806,1477.9299,5524.4530,0.0000,-5005.7373,2746.2158,3248.3193,-787.4503,3753.9989,-3035.2767,537.4045,-5253.1341,4612.5890,-6324.5512,280321.4289,297748.5939,290119.9572,292218.1452,283065.3822,285661.7853,288052.9973,286236.0705,-59278915.9056,-59254048.4853,-59257789.1222,-59262014.2594,285117.4203,-59267252.5826,-4277.1174,3092.6080,-6149.2229,-4411.2368,0.0000,-811.5413,-3768.2947,-4513.1978,-153.4155,0.0000,3359.2886,4438.3311,4722.5116,4084.3241,2978.7830,3364.4555,-4657.0493,3691.3278,-3304.5270,2563.8630,-294252.6846,-263655.9331,-274400.5754,-279874.7385,-279586.5575,-273813.9842,-278351.5111,-276049.0817,131435087.1182,131468801.1285,131441505.7047,131423726.5069,-277020.4358,131423068.0075,-1353.2899,-5351.9711,2540.9956,-4786.6124,0.0000,5514.6427,-4312.9193,-5100.8977,4135.1807,0.0000,3316.1203,-4373.7805,-3842.9178,5430.2382,-4853.9941,-5209.7450,5064.4818,-2618.3222,-3775.7024,-899.6076,-24799.1249,-31075.8151,-30647.4766,-22188.5091,-29036.7645,-37423.2312,-27203.2667,-27229.0693,1981303.5567,1961331.0662,1957104.9691,1974799.4363,-28230.8604,1969603.6230,
28800.000,4421.9664,-1209.7587,-410.1735,-314.5823,0.0000,4629.3736,4152.8817,2618.8985,-2601.4026,0.0000,973.6724,-5533.6186,-4085.1847,-3759.8852,-4260.7351,-1236.4004,2311.1035,1792.5423,-323.3659,3628.4147,346555.0590,354983.2040,351517.3039,353245.4120,344932.8820,347184.9475,343558.4840,345057.9981,-91361753.2769,-91348592.1993,-91347837.7312,-91348007.7984,345888.6766,-91349836.0833,455.5110,-5121.4983,6361.8083,6775.2076,0.0000,-3359.1008,-1557.3001,3770.9772,3263.9072,0.0000,-4036.1894,-618.5017,-602.6737,-4072.7255,1891.5901,-4706.1750,6237.4704,-4816.0459,5134.3251,-3547.2921,-214749.0804,-181339.9235,-195455.7173,-198972.7527,-193958.6864,-193319.9813,-196909.2695,-197593.4615,111604561.1015,111638939.7823,111609114.6299,111599304.4181,-196473.8785,111591602.3164,5057.7533,4376.8367,2729.3069,1141.3097,0.0000,-3864.8880,5027.6225,5226.0632,-5508.9331,0.0000,-5497.3426,3903.2953,5514.4336,-4025.5698,4964.7025,4881.6871,-1875.3169,4640.9643,4456.1740,4640.0679,-23495.4336,-29786.5877,-29042.5414,-20831.2744,-27746.1871,-35991.6324,-25220.3369,-27937.2079,1965391.1745,1944386.2081,1939983.1136,1953514.8633,-26804.0196,1955026.2840,
