sl_100_5400_20291029 Coordinates.csv
2029/10/29 07:47:00.0000 UTC

Generated: Tue Oct  8 21:45:35 2024,
Start: 2029/10/29 07:47:00.00, Stop: 2029/10/29 09:17:00.00,
TIME_UNITS,STARLINK-31689 - X-Coordinate,STARLINK-2660 - X-Coordinate,STARLINK-31262 - X-Coordinate,STARLINK-31997 - X-Coordinate,STARLINK-4656 - X-Coordinate,STARLINK-4477 - X-Coordinate,STARLINK-30840 - X-Coordinate,STARLINK-3175 - X-Coordinate,STARLINK-5675 - X-Coordinate,STARLINK-5842 - X-Coordinate,STARLINK-3571 - X-Coordinate,STARLINK-30588 - X-Coordinate,STARLINK-1701 - X-Coordinate,STARLINK-32254 - X-Coordinate,STARLINK-30707 - X-Coordinate,STARLINK-5447 - X-Coordinate,STARLINK-31631 - X-Coordinate,STARLINK-2171 - X-Coordinate,STARLINK-1055 - X-Coordinate,STARLINK-4603 - X-Coordinate,STARLINK-4123 - X-Coordinate,STARLINK-30514 - X-Coordinate,STARLINK-2236 - X-Coordinate,STARLINK-3328 - X-Coordinate,STARLINK-5989 - X-Coordinate,STARLINK-30108 - X-Coordinate,STARLINK-5376 - X-Coordinate,STARLINK-4370 - X-Coordinate,STARLINK-30200 - X-Coordinate,STARLINK-4480 - X-Coordinate,STARLINK-5539 - X-Coordinate,STARLINK-11247 [DTC] - X-Coordinate,STARLINK-11077 [DTC] - X-Coordinate,STARLINK-1231 - X-Coordinate,STARLINK-5676 - X-Coordinate,STARLINK-3190 - X-Coordinate,STARLINK-30198 - X-Coordinate,STARLINK-30201 - X-Coordinate,STARLINK-31610 - X-Coordinate,STARLINK-31010 - X-Coordinate,STARLINK-6165 - X-Coordinate,STARLINK-1959 - X-Coordinate,STARLINK-3650 - X-Coordinate,STARLINK-1108 - X-Coordinate,STARLINK-4436 - X-Coordinate,STARLINK-4789 - X-Coordinate,STARLINK-30381 - X-Coordinate,STARLINK-30254 - X-Coordinate,STARLINK-3316 - X-Coordinate,STARLINK-3080 - X-Coordinate,STARLINK-1444 - X-Coordinate,STARLINK-1906 - X-Coordinate,STARLINK-1010 - X-Coordinate,STARLINK-3926 - X-Coordinate,STARLINK-4462 - X-Coordinate,STARLINK-3721 - X-Coordinate,STARLINK-30822 - X-Coordinate,STARLINK-30153 - X-Coordinate,STARLINK-5389 - X-Coordinate,STARLINK-32173 - X-Coordinate,STARLINK-1672 - X-Coordinate,STARLINK-2538 - X-Coordinate,STARLINK-30519 - X-Coordinate,STARLINK-31627 - X-Coordinate,STARLINK-3512 - X-Coordinate,STARLINK-4676 - X-Coordinate,STARLINK-31300 - X-Coordinate,STARLINK-31971 - X-Coordinate,STARLINK-1498 - X-Coordinate,STARLINK-11155 [DTC] - X-Coordinate,STARLINK-5074 - X-Coordinate,STARLINK-1752 - X-Coordinate,STARLINK-30245 - X-Coordinate,STARLINK-4503 - X-Coordinate,STARLINK-4678 - X-Coordinate,STARLINK-4216 - X-Coordinate,STARLINK-3554 - X-Coordinate,STARLINK-4071 - X-Coordinate,STARLINK-1405 - X-Coordinate,STARLINK-5336 - X-Coordinate,STARLINK-1536 - X-Coordinate,STARLINK-1597 - X-Coordinate,STARLINK-1955 - X-Coordinate,STARLINK-6342 - X-Coordinate,STARLINK-31588 - X-Coordinate,STARLINK-2478 - X-Coordinate,STARLINK-30545 - X-Coordinate,STARLINK-1748 - X-Coordinate,STARLINK-3245 - X-Coordinate,STARLINK-30067 - X-Coordinate,STARLINK-5150 - X-Coordinate,STARLINK-30482 - X-Coordinate,STARLINK-5568 - X-Coordinate,STARLINK-4562 - X-Coordinate,STARLINK-31432 - X-Coordinate,STARLINK-4703 - X-Coordinate,STARLINK-30331 - X-Coordinate,STARLINK-31217 - X-Coordinate,STARLINK-30341 - X-Coordinate,STARLINK-3054 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31689 - Y-Coordinate,STARLINK-2660 - Y-Coordinate,STARLINK-31262 - Y-Coordinate,STARLINK-31997 - Y-Coordinate,STARLINK-4656 - Y-Coordinate,STARLINK-4477 - Y-Coordinate,STARLINK-30840 - Y-Coordinate,STARLINK-3175 - Y-Coordinate,STARLINK-5675 - Y-Coordinate,STARLINK-5842 - Y-Coordinate,STARLINK-3571 - Y-Coordinate,STARLINK-30588 - Y-Coordinate,STARLINK-1701 - Y-Coordinate,STARLINK-32254 - Y-Coordinate,STARLINK-30707 - Y-Coordinate,STARLINK-5447 - Y-Coordinate,STARLINK-31631 - Y-Coordinate,STARLINK-2171 - Y-Coordinate,STARLINK-1055 - Y-Coordinate,STARLINK-4603 - Y-Coordinate,STARLINK-4123 - Y-Coordinate,STARLINK-30514 - Y-Coordinate,STARLINK-2236 - Y-Coordinate,STARLINK-3328 - Y-Coordinate,STARLINK-5989 - Y-Coordinate,STARLINK-30108 - Y-Coordinate,STARLINK-5376 - Y-Coordinate,STARLINK-4370 - Y-Coordinate,STARLINK-30200 - Y-Coordinate,STARLINK-4480 - Y-Coordinate,STARLINK-5539 - Y-Coordinate,STARLINK-11247 [DTC] - Y-Coordinate,STARLINK-11077 [DTC] - Y-Coordinate,STARLINK-1231 - Y-Coordinate,STARLINK-5676 - Y-Coordinate,STARLINK-3190 - Y-Coordinate,STARLINK-30198 - Y-Coordinate,STARLINK-30201 - Y-Coordinate,STARLINK-31610 - Y-Coordinate,STARLINK-31010 - Y-Coordinate,STARLINK-6165 - Y-Coordinate,STARLINK-1959 - Y-Coordinate,STARLINK-3650 - Y-Coordinate,STARLINK-1108 - Y-Coordinate,STARLINK-4436 - Y-Coordinate,STARLINK-4789 - Y-Coordinate,STARLINK-30381 - Y-Coordinate,STARLINK-30254 - Y-Coordinate,STARLINK-3316 - Y-Coordinate,STARLINK-3080 - Y-Coordinate,STARLINK-1444 - Y-Coordinate,STARLINK-1906 - Y-Coordinate,STARLINK-1010 - Y-Coordinate,STARLINK-3926 - Y-Coordinate,STARLINK-4462 - Y-Coordinate,STARLINK-3721 - Y-Coordinate,STARLINK-30822 - Y-Coordinate,STARLINK-30153 - Y-Coordinate,STARLINK-5389 - Y-Coordinate,STARLINK-32173 - Y-Coordinate,STARLINK-1672 - Y-Coordinate,STARLINK-2538 - Y-Coordinate,STARLINK-30519 - Y-Coordinate,STARLINK-31627 - Y-Coordinate,STARLINK-3512 - Y-Coordinate,STARLINK-4676 - Y-Coordinate,STARLINK-31300 - Y-Coordinate,STARLINK-31971 - Y-Coordinate,STARLINK-1498 - Y-Coordinate,STARLINK-11155 [DTC] - Y-Coordinate,STARLINK-5074 - Y-Coordinate,STARLINK-1752 - Y-Coordinate,STARLINK-30245 - Y-Coordinate,STARLINK-4503 - Y-Coordinate,STARLINK-4678 - Y-Coordinate,STARLINK-4216 - Y-Coordinate,STARLINK-3554 - Y-Coordinate,STARLINK-4071 - Y-Coordinate,STARLINK-1405 - Y-Coordinate,STARLINK-5336 - Y-Coordinate,STARLINK-1536 - Y-Coordinate,STARLINK-1597 - Y-Coordinate,STARLINK-1955 - Y-Coordinate,STARLINK-6342 - Y-Coordinate,STARLINK-31588 - Y-Coordinate,STARLINK-2478 - Y-Coordinate,STARLINK-30545 - Y-Coordinate,STARLINK-1748 - Y-Coordinate,STARLINK-3245 - Y-Coordinate,STARLINK-30067 - Y-Coordinate,STARLINK-5150 - Y-Coordinate,STARLINK-30482 - Y-Coordinate,STARLINK-5568 - Y-Coordinate,STARLINK-4562 - Y-Coordinate,STARLINK-31432 - Y-Coordinate,STARLINK-4703 - Y-Coordinate,STARLINK-30331 - Y-Coordinate,STARLINK-31217 - Y-Coordinate,STARLINK-30341 - Y-Coordinate,STARLINK-3054 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31689 - Z-Coordinate,STARLINK-2660 - Z-Coordinate,STARLINK-31262 - Z-Coordinate,STARLINK-31997 - Z-Coordinate,STARLINK-4656 - Z-Coordinate,STARLINK-4477 - Z-Coordinate,STARLINK-30840 - Z-Coordinate,STARLINK-3175 - Z-Coordinate,STARLINK-5675 - Z-Coordinate,STARLINK-5842 - Z-Coordinate,STARLINK-3571 - Z-Coordinate,STARLINK-30588 - Z-Coordinate,STARLINK-1701 - Z-Coordinate,STARLINK-32254 - Z-Coordinate,STARLINK-30707 - Z-Coordinate,STARLINK-5447 - Z-Coordinate,STARLINK-31631 - Z-Coordinate,STARLINK-2171 - Z-Coordinate,STARLINK-1055 - Z-Coordinate,STARLINK-4603 - Z-Coordinate,STARLINK-4123 - Z-Coordinate,STARLINK-30514 - Z-Coordinate,STARLINK-2236 - Z-Coordinate,STARLINK-3328 - Z-Coordinate,STARLINK-5989 - Z-Coordinate,STARLINK-30108 - Z-Coordinate,STARLINK-5376 - Z-Coordinate,STARLINK-4370 - Z-Coordinate,STARLINK-30200 - Z-Coordinate,STARLINK-4480 - Z-Coordinate,STARLINK-5539 - Z-Coordinate,STARLINK-11247 [DTC] - Z-Coordinate,STARLINK-11077 [DTC] - Z-Coordinate,STARLINK-1231 - Z-Coordinate,STARLINK-5676 - Z-Coordinate,STARLINK-3190 - Z-Coordinate,STARLINK-30198 - Z-Coordinate,STARLINK-30201 - Z-Coordinate,STARLINK-31610 - Z-Coordinate,STARLINK-31010 - Z-Coordinate,STARLINK-6165 - Z-Coordinate,STARLINK-1959 - Z-Coordinate,STARLINK-3650 - Z-Coordinate,STARLINK-1108 - Z-Coordinate,STARLINK-4436 - Z-Coordinate,STARLINK-4789 - Z-Coordinate,STARLINK-30381 - Z-Coordinate,STARLINK-30254 - Z-Coordinate,STARLINK-3316 - Z-Coordinate,STARLINK-3080 - Z-Coordinate,STARLINK-1444 - Z-Coordinate,STARLINK-1906 - Z-Coordinate,STARLINK-1010 - Z-Coordinate,STARLINK-3926 - Z-Coordinate,STARLINK-4462 - Z-Coordinate,STARLINK-3721 - Z-Coordinate,STARLINK-30822 - Z-Coordinate,STARLINK-30153 - Z-Coordinate,STARLINK-5389 - Z-Coordinate,STARLINK-32173 - Z-Coordinate,STARLINK-1672 - Z-Coordinate,STARLINK-2538 - Z-Coordinate,STARLINK-30519 - Z-Coordinate,STARLINK-31627 - Z-Coordinate,STARLINK-3512 - Z-Coordinate,STARLINK-4676 - Z-Coordinate,STARLINK-31300 - Z-Coordinate,STARLINK-31971 - Z-Coordinate,STARLINK-1498 - Z-Coordinate,STARLINK-11155 [DTC] - Z-Coordinate,STARLINK-5074 - Z-Coordinate,STARLINK-1752 - Z-Coordinate,STARLINK-30245 - Z-Coordinate,STARLINK-4503 - Z-Coordinate,STARLINK-4678 - Z-Coordinate,STARLINK-4216 - Z-Coordinate,STARLINK-3554 - Z-Coordinate,STARLINK-4071 - Z-Coordinate,STARLINK-1405 - Z-Coordinate,STARLINK-5336 - Z-Coordinate,STARLINK-1536 - Z-Coordinate,STARLINK-1597 - Z-Coordinate,STARLINK-1955 - Z-Coordinate,STARLINK-6342 - Z-Coordinate,STARLINK-31588 - Z-Coordinate,STARLINK-2478 - Z-Coordinate,STARLINK-30545 - Z-Coordinate,STARLINK-1748 - Z-Coordinate,STARLINK-3245 - Z-Coordinate,STARLINK-30067 - Z-Coordinate,STARLINK-5150 - Z-Coordinate,STARLINK-30482 - Z-Coordinate,STARLINK-5568 - Z-Coordinate,STARLINK-4562 - Z-Coordinate,STARLINK-31432 - Z-Coordinate,STARLINK-4703 - Z-Coordinate,STARLINK-30331 - Z-Coordinate,STARLINK-31217 - Z-Coordinate,STARLINK-30341 - Z-Coordinate,STARLINK-3054 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4654.9353,5033.5502,6791.2186,2855.7255,3961.7851,-6260.3968,-155.2850,4664.9823,-5588.7408,-6431.0577,-6126.5094,-1488.8034,1519.2162,2273.1422,6709.6589,-4108.5867,-1086.8279,-4556.4342,0.0000,-5134.4033,3894.9790,-5168.3349,4578.8647,5593.9122,2.5125,-3496.2525,-5817.5281,-5609.1181,-3312.5612,-5983.4723,5849.9417,4173.8072,189.2617,-3221.7872,-4587.6281,-2081.9998,598.1026,-4042.9198,-6496.0748,677.2684,-4936.9444,-3432.8868,3572.5374,0.0000,-1455.4139,2491.6546,-1951.6908,-6788.9590,0.0000,-2531.1291,0.0000,6091.4988,-686.7596,2636.5013,1077.8907,1458.5463,1181.6154,-4294.7843,2490.2073,977.6563,4268.6579,-5681.0406,-4967.3249,-5754.0106,-1686.7322,3870.7493,1000.7827,-2033.9324,0.0000,3965.1407,-3204.8259,5537.2806,-435.0013,-3111.9444,622.3742,-1638.4307,2283.6568,3746.8385,-3186.6863,4513.9631,2006.1062,3349.8201,3974.7144,155.9888,-4753.9241,-4939.6839,1808.8927,0.0000,-2572.6271,-2970.9536,4250.9412,-2811.4719,4925.3435,-4608.4225,0.0000,906.5379,5071.2073,547.1830,-6299.1245,3726.3080,-267817.0111,-282829.9838,-279868.4113,-276600.3119,-273390.1248,-275712.3697,-282831.9733,-280600.0201,87766993.0401,87762679.4150,87779866.8900,87776668.4518,-279862.5399,87783255.6941,-4217.7652,3761.0269,1063.4560,-3522.7051,1219.9745,2679.1104,5368.9970,4320.0964,644.0473,-1576.0436,-1345.2481,5146.3559,-4313.0410,-4397.7258,1384.5332,1451.3128,-5928.5210,2696.9366,0.0000,-886.3956,2278.5411,-3380.0510,-1384.6419,460.9767,5913.1499,3533.7661,2053.0555,2653.5493,-4031.1724,1641.3542,-474.0832,2063.2393,6456.0008,-6070.0377,-5145.4434,-6146.8424,-5458.7525,5153.2123,73.4545,-5111.1474,1806.0955,-5735.0630,-4025.9000,0.0000,-4269.3583,-6450.7061,-6487.3991,-818.6941,0.0000,3852.0001,0.0000,-3060.5514,-6503.1403,-6063.1209,6149.4438,4239.6379,-4781.4620,-4307.0245,-5467.3855,6607.4862,130.5652,24.9908,-1572.5219,-730.7016,-6376.7106,2389.6416,-5668.3446,6004.9705,0.0000,432.9597,233.0723,4098.4813,5530.2436,3815.4404,-6825.9212,4306.9444,-3578.5164,3739.2851,2841.1815,2460.7234,-4315.6235,-5712.3573,-1742.3973,-6869.4095,-2720.8501,4715.7393,5940.6525,0.0000,6206.4458,-5301.8493,-5467.4523,-5379.9719,-1416.3112,2830.3431,0.0000,-4307.9080,-874.4086,-5195.6685,-2680.9124,-4242.0396,-255093.7942,-221439.5979,-246853.9367,-245288.1735,-237365.3914,-238321.5813,-238985.6194,-239537.2025,232805354.4917,232850305.2734,232831463.2285,232800541.8995,-241111.9095,232807435.9378,-2609.9987,-2356.1439,-811.2114,5110.4894,-5540.5850,-1187.4451,4351.4303,-2482.5608,-4018.2720,2032.9813,2856.0196,-4361.1990,5165.8893,-4654.8065,112.2997,5315.2171,-3180.4115,-4442.7449,0.0000,4530.0514,5208.6481,-2526.7172,-4900.5790,4011.6555,3644.8611,-4590.5805,3070.4852,-3113.6520,-4563.3988,-2975.5312,-3749.7742,4709.4238,1653.0984,261.1406,-721.0248,2375.7149,-4236.0476,2023.6934,-2163.2154,-4688.2757,-4529.2325,1665.2882,4038.6017,0.0000,-5246.4670,-48.6116,1251.4484,-507.0251,0.0000,5199.4638,0.0000,571.5089,2153.9074,1948.9588,-2975.6565,5250.7424,-4379.2948,-3248.6855,-3451.6877,-1248.7860,-5155.0852,-3915.0940,4298.9349,3639.9606,-2090.0939,-5197.3668,-3701.2825,2487.8401,0.0000,-5313.4827,-6148.5413,-402.2696,-4138.3682,4801.7006,909.6662,5103.8515,-5432.7206,4404.3719,5370.3642,4646.5163,-4976.2630,-676.1915,-5296.7237,-990.0490,4019.2661,-476.4200,-3106.0186,0.0000,-1643.5510,-3343.9750,151.3801,-3320.6752,4642.6646,4310.0505,0.0000,5191.0188,-4623.2980,-4345.7352,535.8526,-4066.9682,131993.5651,127708.9183,131809.3557,130575.4878,135306.0501,127635.2621,120977.6127,129124.6723,-114374074.2836,-114392162.1678,-114393407.2919,-114395870.3925,129628.0336,-114386263.3869,
300.000,2910.9467,5075.3680,6437.0896,1684.6120,4417.4760,-5751.5442,1821.7673,5768.9772,-5680.7920,-6853.6405,-5430.5427,358.6285,-125.7042,183.3333,6578.3418,-2711.1139,-2647.3625,-2729.4863,0.0000,-6056.7065,5292.4840,-6160.2109,3047.1510,4573.5665,799.6955,-1906.4735,-5520.0774,-4597.3462,-4972.6041,-6029.5142,4403.1179,4024.9865,1455.3482,-4092.5568,-5383.4086,-3381.7245,-1434.4053,-2868.2875,-5702.8016,-1464.2151,-4372.8539,-4121.3669,1590.5200,0.0000,-1353.7282,1256.3092,-3243.6695,-6738.6714,0.0000,-716.3093,0.0000,5095.6829,-1973.4777,1556.3042,2250.0877,3058.3683,-866.5543,-4908.2592,1031.6423,2108.9190,3543.0323,-6269.0104,-4906.8029,-4818.0047,-2951.7036,5305.3211,-674.6734,-202.3580,0.0000,4081.4126,-1624.2760,5895.5594,1558.2580,-1035.5996,-639.1261,500.5995,651.0243,4102.2456,-2006.5917,5101.9924,-114.6371,2000.5161,3485.4865,-493.8889,-5964.2758,-3939.8366,3191.6769,0.0000,-1132.4347,-4069.9687,2889.0575,-3956.2966,4358.4937,-3423.4597,0.0000,-940.0893,4222.5127,-1447.4457,-6683.9392,2125.8447,-262337.7525,-278058.0413,-274864.9815,-271622.1733,-268231.8890,-270654.3492,-277632.8834,-275352.9700,82665569.2230,82660382.8852,82677854.3769,82675608.1683,-274721.4161,82681868.4994,-4885.4349,2122.5532,-218.4151,-5131.3432,-887.6383,3779.2249,5658.3195,3569.9858,2547.9795,-1011.6911,199.1804,5915.1989,-5425.0324,-4219.3376,126.6114,3122.4546,-4738.4821,3549.7573,0.0000,627.7584,847.7250,-2439.9909,-2855.0976,-1179.6433,4543.3479,4971.2014,3740.3134,1688.8160,-2815.3556,3047.2777,-1166.0175,-93.6963,6506.1352,-5134.6505,-3779.0333,-5996.5262,-4906.5177,6205.9052,1671.4246,-4943.3003,3770.0196,-4434.4707,-4207.8726,0.0000,-5788.1621,-6570.2275,-5464.0111,700.6476,0.0000,3068.6104,0.0000,-3922.9977,-6586.5908,-6714.8669,4904.9843,2784.8992,-5342.2685,-2453.3420,-6479.1142,5756.1554,-1952.6856,1524.6544,592.1073,889.0791,-6248.4307,1013.9793,-4810.4380,5748.3196,0.0000,-1756.2549,1733.3279,2861.8612,4884.6188,4105.9358,-6360.8710,4098.2455,-4887.0491,1754.3630,4562.8694,386.4775,-4182.1425,-5863.8363,-3741.8434,-6236.3772,-1201.1756,5433.3133,4614.8480,0.0000,5991.9362,-3681.3002,-6144.0906,-3790.7041,-3434.9082,1559.3643,0.0000,-5151.7803,-2856.2979,-5600.2014,-1212.7942,-3705.4234,-260618.9620,-227342.3495,-252687.3653,-251070.7210,-243180.4892,-244211.0200,-244823.7635,-245261.0850,234667588.6114,234712031.9972,234693389.4550,234662199.0395,-246965.0302,234669601.1239,-3733.2916,-3844.7030,-2538.8019,4187.1852,-5252.0223,627.6202,3531.0483,-737.6005,-3003.7923,-71.2460,4235.6026,-3549.2360,4262.7551,-5324.2428,1904.1545,5489.2281,-4121.3210,-5265.4354,0.0000,3258.0560,4333.6450,-772.9579,-5427.9515,5026.3046,5190.6047,-4175.4620,1746.7222,-4921.1063,-3922.8751,-1301.1068,-5269.0747,5256.7063,-176.4955,2037.7821,-2189.6381,628.6403,-4687.0780,530.7319,-3401.6441,-4687.8151,-3848.0449,3281.7591,5002.1791,0.0000,-3538.1930,1746.2276,2656.8162,1044.6344,0.0000,6191.1925,0.0000,2326.8517,387.7942,163.8667,-4326.9384,5527.5393,-3760.5693,-4176.8218,-2225.3668,-2934.8551,-5333.6711,-2442.6062,4603.6421,4781.6269,-318.1181,-4304.5995,-4821.3830,3646.7975,0.0000,-4939.4900,-6517.8684,-2165.9400,-4648.9693,5417.5809,2628.3784,5497.8142,-4819.5702,5243.3145,4715.6488,4673.7490,-5468.9881,-2437.9880,-4553.6431,-3011.6143,3027.0840,1339.8507,-4090.4957,0.0000,-3266.6036,-4243.2746,-1381.3794,-4225.9759,4127.5872,5800.4996,0.0000,4349.7650,-4676.3657,-3566.0020,-1014.8701,-5492.9823,131898.1266,127612.3989,131782.1158,130326.7999,135267.4827,127841.5946,120835.5444,129495.9129,-114375421.8529,-114393674.6869,-114395002.0182,-114396990.8030,129554.2586,-114387573.5587,
600.000,858.9285,4601.6568,5452.1130,386.0523,4492.3179,-4665.0047,3602.5647,6270.4772,-5241.5411,-6572.6753,-4215.5713,2146.0253,-1719.6415,-1943.3844,5777.6656,-1086.0358,-3974.5314,-641.5385,0.0000,-6392.3314,6182.1565,-6464.2590,1239.6949,3131.1045,1582.2295,-151.4307,-4690.9764,-3055.3102,-6162.7572,-5473.9686,2525.2012,3481.8032,2561.3226,-4569.7414,-5674.8100,-4338.2103,-3348.6059,-1410.8022,-4347.8682,-3469.3672,-3423.5816,-4430.1366,-576.4835,0.0000,-1054.6067,-122.6827,-4240.7468,-6012.2274,0.0000,1213.4252,0.0000,3565.1614,-3056.9079,321.5286,3246.8186,4398.9392,-2796.0777,-5079.0811,-506.1887,3052.9381,2488.3326,-6242.4731,-4377.7089,-3421.3970,-3919.7969,6232.0215,-2323.3859,1675.5110,0.0000,3797.9197,64.5162,5679.4984,3423.2123,1148.1819,-1866.1804,2602.1125,-1004.4408,4104.6549,-672.7088,5239.5403,-2236.7010,404.4221,2691.7469,-1133.0662,-6570.5807,-2523.9427,4304.7969,0.0000,450.8398,-4816.4324,1236.0394,-4756.3671,3406.7640,-1815.0382,0.0000,-2655.4056,3004.1331,-3273.1258,-6404.8810,272.2670,-256745.5664,-273162.7688,-269739.8553,-266533.0325,-262953.2291,-265482.9148,-272311.9673,-269940.7929,77524677.1672,77518631.6331,77536387.0009,77535111.5565,-269457.8925,77541016.4748,-5087.3525,226.6574,-1506.3155,-6225.6127,-2889.0213,4508.3469,5424.0854,2456.9684,4186.3940,-342.5908,1763.9052,6128.5374,-6024.1646,-3656.8698,-1165.6568,4520.2441,-3082.3914,4108.6806,0.0000,2046.9149,-624.5429,-1237.3067,-4084.9091,-2747.1844,2728.9346,5914.9636,5047.5913,601.6433,-1362.8556,4132.7262,-1808.8414,-2254.3969,5831.1466,-3669.0394,-2034.5216,-5252.2067,-3920.8213,6634.1328,3132.2043,-4349.7475,5367.7323,-2675.0835,-3993.1185,0.0000,-6679.4115,-6042.4240,-3898.5140,2159.8942,0.0000,2044.3919,0.0000,-4406.3982,-6007.1504,-6691.1060,3183.9108,1095.7960,-5333.1161,-352.2745,-6866.1208,4301.2834,-3845.5729,2847.5215,2701.8088,2462.0316,-5499.9935,-418.7816,-3495.1890,4927.6892,0.0000,-3737.7945,3122.1453,1320.0010,3802.6866,4043.8849,-5268.1778,3537.3339,-5740.6732,-412.5552,5840.5847,-1712.9330,-3689.3601,-5377.9054,-5357.4699,-4971.8238,414.2069,5603.1947,2856.1013,0.0000,5202.9421,-1711.1421,-6232.0404,-1839.3944,-5119.5389,182.9928,0.0000,-5496.5859,-4578.5050,-5456.9690,385.6750,-2856.1253,-266025.5498,-233143.3393,-258409.0896,-256740.1400,-248885.4698,-250002.0257,-250549.8955,-250993.3079,236418051.1832,236461968.1588,236443524.4037,236412109.2979,-252708.5641,236419996.4923,-4434.3362,-4881.2129,-3993.5715,2796.8920,-4399.8617,2374.7922,2330.0006,1090.1287,-1665.1771,-2167.8527,5154.1581,-2353.6122,2897.7786,-5388.6862,3484.6538,5062.2997,-4598.7924,-5521.1749,0.0000,1633.5243,2987.5726,1073.5549,-5354.7997,5496.1552,6185.1240,-3281.0435,232.6819,-6205.4776,-2862.7205,515.8378,-6233.7703,5161.3449,-1984.9076,3590.7547,-3423.8099,-1186.3666,-4638.0587,-1020.9774,-4262.5728,-4194.1559,-2756.4708,4540.1012,5382.3643,0.0000,-1449.1482,3352.5109,3772.2440,2480.5682,0.0000,6527.1780,0.0000,3822.8184,-1420.7109,-1639.0928,-5212.7531,5207.3249,-2676.4313,-4651.5052,-760.3356,-4287.8600,-4881.7718,-704.8404,4377.4511,5393.2250,1488.1272,-2946.7338,-5406.5791,4393.7588,0.0000,-3967.2999,-6194.3336,-3694.6912,-4660.5031,5441.2247,4063.2841,5290.6709,-3683.2662,5511.0183,3541.7076,4201.1817,-5366.3459,-3906.1102,-3305.9431,-4712.4328,1691.1843,3007.0003,-4639.8188,0.0000,-4538.0169,-4689.9397,-2765.9494,-4677.1109,3168.2045,6667.3554,0.0000,3018.0266,-4226.7572,-2381.5179,-2453.8675,-6339.4449,131802.4483,127515.9079,131750.5557,130075.6188,135225.8378,128053.2079,120697.9737,129871.3943,-114376774.6890,-114395186.7649,-114396594.7368,-114398096.2950,129480.4050,-114388883.5027,
