sl_100_5400_20290113 Coordinates.csv
2029/01/13 07:47:00.0000 UTC

Generated: Tue Oct  8 21:45:49 2024,
Start: 2029/01/13 07:47:00.00, Stop: 2029/01/13 09:17:00.00,
TIME_UNITS,STARLINK-3459 - X-Coordinate,STARLINK-3048 - X-Coordinate,STARLINK-2278 - X-Coordinate,STARLINK-31281 - X-Coordinate,STARLINK-4190 - X-Coordinate,STARLINK-4137 - X-Coordinate,STARLINK-6180 - X-Coordinate,STARLINK-3803 - X-Coordinate,STARLINK-11139 [DTC] - X-Coordinate,STARLINK-5047 - X-Coordinate,STARLINK-4786 - X-Coordinate,STARLINK-31042 - X-Coordinate,STARLINK-6354 - X-Coordinate,STARLINK-1183 - X-Coordinate,STARLINK-1153 - X-Coordinate,STARLINK-3643 - X-Coordinate,STARLINK-3717 - X-Coordinate,STARLINK-32131 - X-Coordinate,STARLINK-32167 - X-Coordinate,STARLINK-5072 - X-Coordinate,STARLINK-3347 - X-Coordinate,STARLINK-4589 - X-Coordinate,STARLINK-6237 - X-Coordinate,STARLINK-30979 - X-Coordinate,STARLINK-6077 - X-Coordinate,STARLINK-31835 - X-Coordinate,STARLINK-3218 - X-Coordinate,STARLINK-5108 - X-Coordinate,STARLINK-5432 - X-Coordinate,STARLINK-4088 - X-Coordinate,STARLINK-1505 - X-Coordinate,STARLINK-2116 - X-Coordinate,STARLINK-1342 - X-Coordinate,STARLINK-30129 - X-Coordinate,STARLINK-5672 - X-Coordinate,STARLINK-11232 [DTC] - X-Coordinate,STARLINK-4382 - X-Coordinate,STARLINK-5972 - X-Coordinate,STARLINK-5908 - X-Coordinate,STARLINK-5184 - X-Coordinate,STARLINK-4197 - X-Coordinate,STARLINK-31957 - X-Coordinate,STARLINK-30564 - X-Coordinate,STARLINK-4740 - X-Coordinate,STARLINK-31583 - X-Coordinate,STARLINK-31389 - X-Coordinate,STARLINK-1395 - X-Coordinate,STARLINK-31888 - X-Coordinate,STARLINK-3271 - X-Coordinate,STARLINK-30451 - X-Coordinate,STARLINK-3635 - X-Coordinate,STARLINK-5918 - X-Coordinate,STARLINK-4273 - X-Coordinate,STARLINK-6104 - X-Coordinate,STARLINK-31751 - X-Coordinate,STARLINK-2065 - X-Coordinate,STARLINK-30404 - X-Coordinate,STARLINK-1029 - X-Coordinate,STARLINK-5761 - X-Coordinate,STARLINK-30084 - X-Coordinate,STARLINK-1151 - X-Coordinate,STARLINK-31589 - X-Coordinate,STARLINK-3692 - X-Coordinate,STARLINK-30090 - X-Coordinate,STARLINK-31391 - X-Coordinate,STARLINK-30036 - X-Coordinate,STARLINK-3650 - X-Coordinate,STARLINK-4363 - X-Coordinate,STARLINK-31070 - X-Coordinate,STARLINK-32105 - X-Coordinate,STARLINK-3247 - X-Coordinate,STARLINK-2120 - X-Coordinate,STARLINK-30792 - X-Coordinate,STARLINK-4763 - X-Coordinate,STARLINK-30808 - X-Coordinate,STARLINK-2275 - X-Coordinate,STARLINK-4345 - X-Coordinate,STARLINK-4756 - X-Coordinate,STARLINK-31324 - X-Coordinate,STARLINK-5613 - X-Coordinate,STARLINK-30904 - X-Coordinate,STARLINK-1030 - X-Coordinate,STARLINK-32234 - X-Coordinate,STARLINK-3302 - X-Coordinate,STARLINK-30145 - X-Coordinate,STARLINK-30270 - X-Coordinate,STARLINK-11249 [DTC] - X-Coordinate,STARLINK-6078 - X-Coordinate,STARLINK-6253 - X-Coordinate,STARLINK-4025 - X-Coordinate,STARLINK-6168 - X-Coordinate,STARLINK-30335 - X-Coordinate,STARLINK-2066 - X-Coordinate,STARLINK-4123 - X-Coordinate,STARLINK-5694 - X-Coordinate,STARLINK-31728 - X-Coordinate,STARLINK-3952 - X-Coordinate,STARLINK-1498 - X-Coordinate,STARLINK-5131 - X-Coordinate,STARLINK-6226 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3459 - Y-Coordinate,STARLINK-3048 - Y-Coordinate,STARLINK-2278 - Y-Coordinate,STARLINK-31281 - Y-Coordinate,STARLINK-4190 - Y-Coordinate,STARLINK-4137 - Y-Coordinate,STARLINK-6180 - Y-Coordinate,STARLINK-3803 - Y-Coordinate,STARLINK-11139 [DTC] - Y-Coordinate,STARLINK-5047 - Y-Coordinate,STARLINK-4786 - Y-Coordinate,STARLINK-31042 - Y-Coordinate,STARLINK-6354 - Y-Coordinate,STARLINK-1183 - Y-Coordinate,STARLINK-1153 - Y-Coordinate,STARLINK-3643 - Y-Coordinate,STARLINK-3717 - Y-Coordinate,STARLINK-32131 - Y-Coordinate,STARLINK-32167 - Y-Coordinate,STARLINK-5072 - Y-Coordinate,STARLINK-3347 - Y-Coordinate,STARLINK-4589 - Y-Coordinate,STARLINK-6237 - Y-Coordinate,STARLINK-30979 - Y-Coordinate,STARLINK-6077 - Y-Coordinate,STARLINK-31835 - Y-Coordinate,STARLINK-3218 - Y-Coordinate,STARLINK-5108 - Y-Coordinate,STARLINK-5432 - Y-Coordinate,STARLINK-4088 - Y-Coordinate,STARLINK-1505 - Y-Coordinate,STARLINK-2116 - Y-Coordinate,STARLINK-1342 - Y-Coordinate,STARLINK-30129 - Y-Coordinate,STARLINK-5672 - Y-Coordinate,STARLINK-11232 [DTC] - Y-Coordinate,STARLINK-4382 - Y-Coordinate,STARLINK-5972 - Y-Coordinate,STARLINK-5908 - Y-Coordinate,STARLINK-5184 - Y-Coordinate,STARLINK-4197 - Y-Coordinate,STARLINK-31957 - Y-Coordinate,STARLINK-30564 - Y-Coordinate,STARLINK-4740 - Y-Coordinate,STARLINK-31583 - Y-Coordinate,STARLINK-31389 - Y-Coordinate,STARLINK-1395 - Y-Coordinate,STARLINK-31888 - Y-Coordinate,STARLINK-3271 - Y-Coordinate,STARLINK-30451 - Y-Coordinate,STARLINK-3635 - Y-Coordinate,STARLINK-5918 - Y-Coordinate,STARLINK-4273 - Y-Coordinate,STARLINK-6104 - Y-Coordinate,STARLINK-31751 - Y-Coordinate,STARLINK-2065 - Y-Coordinate,STARLINK-30404 - Y-Coordinate,STARLINK-1029 - Y-Coordinate,STARLINK-5761 - Y-Coordinate,STARLINK-30084 - Y-Coordinate,STARLINK-1151 - Y-Coordinate,STARLINK-31589 - Y-Coordinate,STARLINK-3692 - Y-Coordinate,STARLINK-30090 - Y-Coordinate,STARLINK-31391 - Y-Coordinate,STARLINK-30036 - Y-Coordinate,STARLINK-3650 - Y-Coordinate,STARLINK-4363 - Y-Coordinate,STARLINK-31070 - Y-Coordinate,STARLINK-32105 - Y-Coordinate,STARLINK-3247 - Y-Coordinate,STARLINK-2120 - Y-Coordinate,STARLINK-30792 - Y-Coordinate,STARLINK-4763 - Y-Coordinate,STARLINK-30808 - Y-Coordinate,STARLINK-2275 - Y-Coordinate,STARLINK-4345 - Y-Coordinate,STARLINK-4756 - Y-Coordinate,STARLINK-31324 - Y-Coordinate,STARLINK-5613 - Y-Coordinate,STARLINK-30904 - Y-Coordinate,STARLINK-1030 - Y-Coordinate,STARLINK-32234 - Y-Coordinate,STARLINK-3302 - Y-Coordinate,STARLINK-30145 - Y-Coordinate,STARLINK-30270 - Y-Coordinate,STARLINK-11249 [DTC] - Y-Coordinate,STARLINK-6078 - Y-Coordinate,STARLINK-6253 - Y-Coordinate,STARLINK-4025 - Y-Coordinate,STARLINK-6168 - Y-Coordinate,STARLINK-30335 - Y-Coordinate,STARLINK-2066 - Y-Coordinate,STARLINK-4123 - Y-Coordinate,STARLINK-5694 - Y-Coordinate,STARLINK-31728 - Y-Coordinate,STARLINK-3952 - Y-Coordinate,STARLINK-1498 - Y-Coordinate,STARLINK-5131 - Y-Coordinate,STARLINK-6226 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3459 - Z-Coordinate,STARLINK-3048 - Z-Coordinate,STARLINK-2278 - Z-Coordinate,STARLINK-31281 - Z-Coordinate,STARLINK-4190 - Z-Coordinate,STARLINK-4137 - Z-Coordinate,STARLINK-6180 - Z-Coordinate,STARLINK-3803 - Z-Coordinate,STARLINK-11139 [DTC] - Z-Coordinate,STARLINK-5047 - Z-Coordinate,STARLINK-4786 - Z-Coordinate,STARLINK-31042 - Z-Coordinate,STARLINK-6354 - Z-Coordinate,STARLINK-1183 - Z-Coordinate,STARLINK-1153 - Z-Coordinate,STARLINK-3643 - Z-Coordinate,STARLINK-3717 - Z-Coordinate,STARLINK-32131 - Z-Coordinate,STARLINK-32167 - Z-Coordinate,STARLINK-5072 - Z-Coordinate,STARLINK-3347 - Z-Coordinate,STARLINK-4589 - Z-Coordinate,STARLINK-6237 - Z-Coordinate,STARLINK-30979 - Z-Coordinate,STARLINK-6077 - Z-Coordinate,STARLINK-31835 - Z-Coordinate,STARLINK-3218 - Z-Coordinate,STARLINK-5108 - Z-Coordinate,STARLINK-5432 - Z-Coordinate,STARLINK-4088 - Z-Coordinate,STARLINK-1505 - Z-Coordinate,STARLINK-2116 - Z-Coordinate,STARLINK-1342 - Z-Coordinate,STARLINK-30129 - Z-Coordinate,STARLINK-5672 - Z-Coordinate,STARLINK-11232 [DTC] - Z-Coordinate,STARLINK-4382 - Z-Coordinate,STARLINK-5972 - Z-Coordinate,STARLINK-5908 - Z-Coordinate,STARLINK-5184 - Z-Coordinate,STARLINK-4197 - Z-Coordinate,STARLINK-31957 - Z-Coordinate,STARLINK-30564 - Z-Coordinate,STARLINK-4740 - Z-Coordinate,STARLINK-31583 - Z-Coordinate,STARLINK-31389 - Z-Coordinate,STARLINK-1395 - Z-Coordinate,STARLINK-31888 - Z-Coordinate,STARLINK-3271 - Z-Coordinate,STARLINK-30451 - Z-Coordinate,STARLINK-3635 - Z-Coordinate,STARLINK-5918 - Z-Coordinate,STARLINK-4273 - Z-Coordinate,STARLINK-6104 - Z-Coordinate,STARLINK-31751 - Z-Coordinate,STARLINK-2065 - Z-Coordinate,STARLINK-30404 - Z-Coordinate,STARLINK-1029 - Z-Coordinate,STARLINK-5761 - Z-Coordinate,STARLINK-30084 - Z-Coordinate,STARLINK-1151 - Z-Coordinate,STARLINK-31589 - Z-Coordinate,STARLINK-3692 - Z-Coordinate,STARLINK-30090 - Z-Coordinate,STARLINK-31391 - Z-Coordinate,STARLINK-30036 - Z-Coordinate,STARLINK-3650 - Z-Coordinate,STARLINK-4363 - Z-Coordinate,STARLINK-31070 - Z-Coordinate,STARLINK-32105 - Z-Coordinate,STARLINK-3247 - Z-Coordinate,STARLINK-2120 - Z-Coordinate,STARLINK-30792 - Z-Coordinate,STARLINK-4763 - Z-Coordinate,STARLINK-30808 - Z-Coordinate,STARLINK-2275 - Z-Coordinate,STARLINK-4345 - Z-Coordinate,STARLINK-4756 - Z-Coordinate,STARLINK-31324 - Z-Coordinate,STARLINK-5613 - Z-Coordinate,STARLINK-30904 - Z-Coordinate,STARLINK-1030 - Z-Coordinate,STARLINK-32234 - Z-Coordinate,STARLINK-3302 - Z-Coordinate,STARLINK-30145 - Z-Coordinate,STARLINK-30270 - Z-Coordinate,STARLINK-11249 [DTC] - Z-Coordinate,STARLINK-6078 - Z-Coordinate,STARLINK-6253 - Z-Coordinate,STARLINK-4025 - Z-Coordinate,STARLINK-6168 - Z-Coordinate,STARLINK-30335 - Z-Coordinate,STARLINK-2066 - Z-Coordinate,STARLINK-4123 - Z-Coordinate,STARLINK-5694 - Z-Coordinate,STARLINK-31728 - Z-Coordinate,STARLINK-3952 - Z-Coordinate,STARLINK-1498 - Z-Coordinate,STARLINK-5131 - Z-Coordinate,STARLINK-6226 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,3027.9520,2336.8873,4047.0803,4903.1802,-5066.1897,-3824.4969,3321.5936,-1568.7506,508.1375,-2300.2181,410.1749,4962.9571,-6242.9689,275.0803,-425.6174,5083.4501,4267.6714,-4567.6250,489.9800,1660.4729,2290.4080,6331.6939,5387.1743,3493.8403,6771.7036,-608.0634,2996.8017,-1527.3990,1456.3859,-3955.1624,0.0000,-5940.0901,-4830.9818,-3352.5392,-3361.1853,382.0377,5059.2858,-5435.5737,-3455.2807,3691.7065,5410.3175,-4757.6455,-2862.0420,4577.0312,-5613.6041,-4447.3282,-5437.6675,-5892.7691,3212.0710,-4712.6714,3342.4475,438.4841,0.0000,-3253.1955,6797.1365,4555.6962,-1438.0205,-5222.7436,4232.2140,-2661.2649,-4536.5933,4560.6887,4109.7743,-5596.6699,-4539.2685,4643.2584,4803.9765,5216.0617,5651.5119,-4250.1896,4569.3289,-2627.3150,4222.4383,-6522.8385,-3581.5365,4462.5697,-5866.3668,4121.8422,3024.8709,-393.6713,-6377.4297,1808.1856,-4307.6778,4376.3023,-5378.3574,5931.8651,496.5473,5631.4441,-4097.6431,3069.7341,-542.2620,-3575.8208,-687.3710,3974.0886,-3746.0345,1030.7058,-4138.2931,0.0000,-6651.0489,-4854.5223,-235616.2061,-246461.7962,-231862.4399,-232658.6997,-239966.3551,-239202.1515,-240352.7732,-236082.0971,-126113324.5694,-126135885.9178,-126081981.0244,-126082229.4724,-237753.8818,-126095335.0046,3386.7210,6531.5107,1038.7261,-1171.0025,2680.5876,-3306.6807,-4306.9378,-5203.8753,-4379.2478,6340.5731,4308.7525,1185.3358,-2994.4157,-5272.2479,4131.9865,4337.3006,2398.2364,-2462.0342,-6251.0953,3981.2677,-3741.8785,-274.9655,3613.3552,5803.6691,703.3857,-4761.5111,-4839.9884,-5177.5688,-5220.9211,1376.1506,0.0000,3462.4634,-138.8148,3871.7916,3807.5876,6208.3489,-3290.7733,-2183.2759,-1645.4996,-2590.0137,1279.0351,2629.2625,-3259.2411,-2304.0069,-652.1818,4548.9297,-2335.8729,-1034.9342,-2953.8093,3576.3709,-2436.5139,3250.1692,0.0000,-4722.8553,-280.1514,-2385.8482,4038.3400,-842.4420,-4857.0542,-6293.8224,3172.7580,4943.4227,1310.0814,2006.0286,3612.7688,-2005.5927,-4599.0244,-2526.2924,-1083.4588,-2909.1835,3562.2261,3222.9358,-5483.9351,1297.0102,-5819.6418,5136.7098,-3068.9724,-4361.6929,2967.5216,6936.6933,-1762.6038,5577.3961,4299.7091,5286.4092,1254.5347,615.2837,4462.8748,1157.1439,2978.9082,-4437.4233,6896.5697,4211.1124,6364.6660,3246.1324,4021.0097,5140.1456,-1407.1056,0.0000,-910.7445,4203.7384,264873.5021,253002.4366,259155.8027,261110.8296,265569.5347,263630.8902,256135.5878,257999.7496,-109324991.5333,-109336345.1132,-109337704.4565,-109335431.1301,258673.6859,-109332497.7249,5137.4514,251.0069,-5239.0861,-4632.5061,-3820.5527,4687.7665,-4291.4498,-4285.5826,5098.7181,-1604.3412,5394.4780,4669.7833,270.4360,-4406.1367,5487.0550,-1790.3576,-4881.4566,-4350.9699,2538.2910,-5449.8830,5093.4325,2737.0891,2465.3192,-1475.2091,-1346.0701,-4868.1459,-3921.7952,-4307.8706,-4301.9200,-5593.0687,0.0000,432.5389,-4701.7450,-4669.0552,-4690.5156,-2584.1010,-3435.0060,3682.7360,5778.0732,5224.5996,4080.2576,-4105.2576,5351.8364,-4600.5724,-3759.0419,2507.4377,3576.6849,3143.1203,-5324.8745,3332.5495,5489.3833,6128.4353,0.0000,-3884.2157,-199.7079,4500.2207,-5312.2432,-4339.4327,2536.5440,-1087.3868,3902.1427,-1258.9575,5362.4034,-3557.4670,-3505.9915,4713.7325,-1335.6561,3800.7707,3697.2559,4454.8545,3829.5985,-5523.1003,375.3833,1839.2433,1103.4795,51.4328,-2071.5919,-3372.0366,-5362.1159,130.2830,-1945.7920,3646.2557,3176.9421,-835.2780,-4094.3564,-3526.1476,-5028.6691,3877.4186,4712.2672,-4328.8132,-362.9731,4123.4872,-2481.9216,-4622.3397,-4205.8824,-4344.6191,5320.9708,0.0000,1643.6106,-2590.7386,-156827.4864,-154640.2810,-154398.0098,-154169.2462,-150381.2125,-159039.6367,-164528.4973,-155839.7695,-2690150.0859,-2707798.5973,-2687729.8511,-2684636.1337,-156067.6067,-2684033.4514,
300.000,4801.1614,2826.2034,3925.3156,4015.8969,-3352.4114,-5428.0234,1927.7489,-3258.2153,-1392.9610,-1750.2118,1411.9629,5421.7889,-6115.8322,-1315.0804,1709.6822,5979.5084,5674.6758,-4342.0490,-928.0800,2102.3346,853.3667,6637.6808,6435.3651,4481.2234,6317.8446,-2471.8203,2045.8099,-3226.4472,-368.0846,-3036.8747,0.0000,-5133.4731,-5500.1848,-1756.7920,-1527.6240,1725.6163,5964.2970,-6043.0302,-2552.0574,2966.7329,4647.3268,-3105.4999,-4614.3660,2798.6363,-6142.3244,-2827.3884,-6499.0154,-5311.5700,1274.7736,-2918.6251,2073.3163,2107.5251,0.0000,-4952.8230,6429.3620,4351.2753,750.0667,-4350.1746,2463.2673,-4013.0955,-4154.7930,5275.5294,4089.6995,-5303.2261,-2704.7289,3592.8378,3435.5785,4034.8278,5626.4305,-4914.9769,5931.2213,-875.1512,2887.4497,-5490.3912,-4819.4613,5134.6424,-5915.5302,2331.6263,4662.5030,241.0204,-6093.6475,3353.4344,-3665.0450,4955.3852,-4149.5240,6432.4608,2468.4924,6319.8445,-2717.8933,2132.2027,964.9981,-2302.8191,573.1298,5536.0895,-1783.5699,3050.7442,-5147.1888,0.0000,-6072.8446,-3951.2723,-241406.8486,-251945.8755,-237276.1046,-238142.1772,-245394.2979,-244620.6089,-245740.3645,-241506.9023,-123689745.7577,-123712115.9301,-123658173.0317,-123658612.0610,-243155.0649,-123671799.3101,2488.7244,6063.9583,-1169.0036,-3149.3422,3484.0797,-2438.6505,-5705.1416,-5361.9912,-5075.2563,6686.1398,2538.1663,-872.5895,-2242.3614,-5997.6153,4326.2218,3475.1136,1157.7712,-433.7949,-5381.3024,1998.1945,-5172.9834,-1603.5337,2387.3230,4461.1831,-881.6923,-5134.3037,-6132.2006,-5344.5918,-5989.8881,3319.9265,0.0000,4386.1400,1619.4754,5236.7720,4939.9005,6454.2713,-3293.9361,-2964.8485,265.4093,-4456.2742,-512.7053,3958.6231,-2173.5865,-3329.6374,1149.4090,4796.1932,-1234.9893,850.6200,-3940.9611,4454.3600,-4163.7092,4253.1150,0.0000,-3942.9551,-1772.6501,-4164.6434,4063.1556,976.0425,-5315.6286,-5616.2232,4768.6628,3448.8701,-870.9938,3778.8840,4480.2474,-3874.6258,-5016.0746,-1454.6593,-2934.1739,-843.5220,2767.9762,4472.1366,-6194.3265,2380.0119,-4951.3778,4060.1912,-3617.2077,-4552.1541,1666.0266,6660.6960,-46.3788,5658.5630,5600.8515,4086.2938,2958.7711,-1103.7465,4763.5658,-578.9930,4606.7917,-5867.1079,6756.3581,5675.7127,6799.6396,2356.8388,4784.3038,4938.2377,374.5205,0.0000,429.4655,5562.1872,259716.5645,247786.6385,253996.0302,255974.4924,260561.6685,258547.0041,251168.5779,252902.8146,-112051680.6545,-112063784.0872,-112063854.1678,-112061480.6665,253642.5993,-112059102.4585,4220.2734,-1859.3687,-5303.9087,-4563.3959,-4907.2186,3486.5125,-3424.4013,-2919.8166,4213.3400,517.2835,6275.6762,4207.0665,2354.9042,-3094.3184,5072.6984,2.0803,-3773.5688,-5178.5057,3988.8935,-6316.0333,4210.1467,1031.2843,1033.3853,-2845.0378,-2735.4437,-3776.6775,-2445.4725,-2950.9526,-3444.4069,-5345.5302,0.0000,-1377.1754,-3547.0783,-4185.1733,-4588.9918,-843.3977,-1335.1310,1616.0291,6437.3555,4358.5636,5066.6655,-4592.5621,4632.0205,-5339.3578,-2647.4889,3966.6650,2021.5971,4088.7572,-5499.0553,4210.2801,5061.5730,5080.9455,0.0000,-2808.6231,1347.7030,3232.4323,-5433.6206,-5191.1640,3686.6905,456.4376,2429.4888,-2665.9943,5465.5172,-2363.6041,-4308.9304,4459.6224,-3011.4642,5440.9251,2557.5064,4636.3495,2330.0312,-5198.9809,-1164.8396,3430.6349,-439.3943,1849.6890,150.3073,-4608.2925,-4710.7394,-1973.7733,-3231.5385,2106.8714,1536.9079,-2562.3661,-4614.6502,-2322.2970,-4082.1482,2798.8880,4389.7278,-2978.1139,1177.5194,3166.5757,-745.2240,-3388.4212,-4671.4669,-3558.5160,4561.0968,0.0000,3266.2467,-1176.2001,-156816.9750,-154618.7630,-154288.5158,-154310.0429,-150290.8790,-158740.6202,-164579.6348,-156279.5728,-2691339.7968,-2708912.1321,-2688164.6221,-2685236.5717,-156032.6461,-2684997.6825,
600.000,6092.3295,3050.5962,3437.8245,2766.3954,-1305.0882,-6488.5284,378.0376,-4603.7202,-3114.0006,-1014.0299,2345.7190,5389.3522,-5375.3894,-2743.0897,3659.5816,6280.1096,6529.7468,-3713.2372,-2290.2609,2414.4349,-631.9222,6283.8273,6860.0024,5060.9963,5262.8907,-4056.3468,918.5406,-4582.3202,-2131.8223,-1882.5983,0.0000,-3801.9881,-5607.5533,-23.5648,429.5114,2873.3685,6229.6885,-5977.4495,-1462.5108,1994.9854,3461.6052,-1156.4845,-5919.0560,756.5634,-6051.1805,-895.3758,-6915.1089,-4202.9887,-764.6242,-824.2602,645.7662,3519.5083,0.0000,-6166.4103,5400.0392,3732.9427,2861.6424,-3076.5499,441.0176,-4976.9240,-3358.7013,5480.8518,3720.2716,-4514.0625,-592.0780,2232.1187,1685.2520,2376.3352,5053.4055,-5121.8064,6706.7490,924.6035,1263.3981,-3908.9467,-5591.2740,5285.6847,-5320.7939,288.2075,5843.6954,877.1549,-5228.4181,4546.5852,-2665.8017,5065.5268,-2538.3914,6320.1016,4152.7282,6411.8450,-1110.0404,1016.3700,2389.8036,-833.1905,1766.8942,6546.2657,344.8810,4747.9752,-5675.6713,0.0000,-4901.3360,-2673.5676,-247087.2050,-257316.3932,-242586.1055,-243523.4890,-250716.6588,-249927.5297,-251024.1894,-246941.9806,-121207221.1599,-121229384.8216,-121175452.4201,-121176091.2397,-248449.8581,-121189321.0014,1385.2198,4970.2413,-3253.1704,-4827.6052,3993.4345,-1365.8776,-6560.4067,-5013.7110,-5265.1896,6347.9644,539.3257,-2827.9790,-1232.3187,-6135.9093,4141.2560,2266.7445,-157.1600,1662.4726,-3957.2288,-178.2509,-6067.1816,-2760.6195,940.4928,2679.0823,-2406.4409,-5014.1480,-6812.0242,-5003.7868,-6197.4961,4965.1807,0.0000,4881.6551,3173.9680,6118.1505,5626.7651,6005.8171,-2922.7018,-3441.5799,2191.8305,-5880.8063,-2291.8425,4924.3702,-919.8610,-4078.9922,2811.2018,4590.2983,-34.2452,2675.6983,-4588.8442,4914.4094,-5497.2483,4876.5560,0.0000,-2806.5340,-3096.3250,-5500.0574,3731.2583,2733.9801,-5290.1235,-4387.9593,5847.6724,1593.3847,-2966.2524,5172.7722,4925.8872,-5382.0962,-4933.1335,-290.7203,-4473.5361,1297.4519,1728.1183,5321.0834,-6310.6144,3263.5809,-3598.2481,2544.8492,-3769.1391,-4333.4685,241.8529,5709.8558,1700.0329,5191.2615,6325.2289,2463.5714,4403.4439,-2696.6299,4594.7378,-2236.6055,5808.4573,-6713.8928,5959.4937,6587.5235,6543.2540,1270.5549,5126.9840,4264.1982,2081.9823,0.0000,1761.8740,6374.3284,254422.4156,242453.9286,248722.3732,250717.5058,255439.3122,253340.8925,246089.5191,247742.6738,-114724664.4486,-114737511.2970,-114736286.0404,-114733821.6425,248498.7380,-114732004.0171,2837.7083,-3771.6527,-4743.5691,-3988.2857,-5459.9971,1906.5873,-2190.2963,-1240.0066,2838.7566,2583.4175,6483.1954,3291.8733,4186.6244,-1443.2648,4105.0940,1794.2616,-2258.7208,-5413.4967,4980.4698,-6514.2342,2834.5899,-786.2793,-508.8454,-3910.5772,-3833.1037,-2264.2698,-705.0361,-1274.5753,-2216.4050,-4540.4623,0.0000,-3036.7695,-1980.6452,-3253.5034,-3993.1940,995.7824,907.0471,-624.5222,6410.1159,3020.9321,5503.2302,-4563.0697,3408.0403,-5497.0317,-1234.0851,4983.8227,248.6182,4562.7531,-5074.2905,4609.3400,4079.6927,3495.8201,0.0000,-1431.5900,2742.4807,1604.0925,-4948.0003,-5467.0208,4440.8257,1951.0348,678.4892,-3776.4961,4972.5973,-916.1859,-4619.7570,3725.3180,-4343.8618,6499.4762,1133.0256,4295.4628,582.6217,-4315.3515,-2580.3260,4649.5435,-1935.0348,3438.3985,2356.0916,-5341.9973,-3534.4092,-3868.2220,-4166.3677,339.3868,-272.4179,-4013.1619,-4629.7071,-869.2936,-2661.5529,1421.2675,3595.4985,-1306.5778,2591.5035,1865.4062,1073.6532,-1787.8332,-4635.4699,-2370.8579,3304.4500,0.0000,4535.8917,364.7972,-156805.0223,-154597.6620,-154182.2436,-154454.6522,-150203.6317,-158435.3556,-164625.9326,-156701.4680,-2692526.4767,-2710024.6219,-2688595.4465,-2685836.4644,-155997.5867,-2685961.7503,
