sl_100_5400_20290320 Coordinates.csv
2029/03/20 07:47:00.0000 UTC

Generated: Tue Oct  8 21:46:07 2024,
Start: 2029/03/20 07:47:00.00, Stop: 2029/03/20 09:17:00.00,
TIME_UNITS,STARLINK-5247 - X-Coordinate,STARLINK-4186 - X-Coordinate,STARLINK-3746 - X-Coordinate,STARLINK-32164 - X-Coordinate,STARLINK-30067 - X-Coordinate,STARLINK-31995 - X-Coordinate,STARLINK-31435 - X-Coordinate,STARLINK-1131 - X-Coordinate,STARLINK-2411 - X-Coordinate,STARLINK-2504 - X-Coordinate,STARLINK-11265 [DTC] - X-Coordinate,STARLINK-5498 - X-Coordinate,STARLINK-1228 - X-Coordinate,STARLINK-3160 - X-Coordinate,STARLINK-6106 - X-Coordinate,STARLINK-5752 - X-Coordinate,STARLINK-5087 - X-Coordinate,STARLINK-4630 - X-Coordinate,STARLINK-31731 - X-Coordinate,STARLINK-31505 - X-Coordinate,STARLINK-2179 - X-Coordinate,STARLINK-1393 - X-Coordinate,STARLINK-3839 - X-Coordinate,STARLINK-4743 - X-Coordinate,STARLINK-6117 - X-Coordinate,STARLINK-31044 - X-Coordinate,STARLINK-31468 - X-Coordinate,STARLINK-31472 - X-Coordinate,STARLINK-31673 - X-Coordinate,STARLINK-4362 - X-Coordinate,STARLINK-6323 - X-Coordinate,STARLINK-30194 - X-Coordinate,STARLINK-5397 - X-Coordinate,STARLINK-4126 - X-Coordinate,STARLINK-6184 - X-Coordinate,STARLINK-1926 - X-Coordinate,STARLINK-5341 - X-Coordinate,STARLINK-32242 - X-Coordinate,STARLINK-5400 - X-Coordinate,STARLINK-5395 - X-Coordinate,STARLINK-6121 - X-Coordinate,STARLINK-5193 - X-Coordinate,STARLINK-31372 - X-Coordinate,STARLINK-1355 - X-Coordinate,STARLINK-30471 - X-Coordinate,STARLINK-2111 - X-Coordinate,STARLINK-6328 - X-Coordinate,STARLINK-30114 - X-Coordinate,STARLINK-30350 - X-Coordinate,STARLINK-1061 - X-Coordinate,STARLINK-3537 - X-Coordinate,STARLINK-3860 - X-Coordinate,STARLINK-2531 - X-Coordinate,STARLINK-2087 - X-Coordinate,STARLINK-31543 - X-Coordinate,STARLINK-6092 - X-Coordinate,STARLINK-1479 - X-Coordinate,STARLINK-4372 - X-Coordinate,STARLINK-2051 - X-Coordinate,STARLINK-2693 - X-Coordinate,STARLINK-31648 - X-Coordinate,STARLINK-4079 - X-Coordinate,STARLINK-11106 [DTC] - X-Coordinate,STARLINK-30128 - X-Coordinate,STARLINK-30969 - X-Coordinate,STARLINK-5965 - X-Coordinate,STARLINK-5848 - X-Coordinate,STARLINK-31367 - X-Coordinate,STARLINK-2162 - X-Coordinate,STARLINK-2163 - X-Coordinate,STARLINK-31438 - X-Coordinate,STARLINK-4140 - X-Coordinate,STARLINK-1782 - X-Coordinate,STARLINK-4504 - X-Coordinate,STARLINK-5980 - X-Coordinate,STARLINK-30541 - X-Coordinate,STARLINK-30904 - X-Coordinate,STARLINK-31997 - X-Coordinate,STARLINK-6086 - X-Coordinate,STARLINK-31500 - X-Coordinate,STARLINK-31689 - X-Coordinate,STARLINK-30447 - X-Coordinate,STARLINK-4493 - X-Coordinate,STARLINK-3764 - X-Coordinate,STARLINK-31277 - X-Coordinate,STARLINK-30066 - X-Coordinate,STARLINK-11086 [DTC] - X-Coordinate,STARLINK-2025 - X-Coordinate,STARLINK-5816 - X-Coordinate,STARLINK-3276 - X-Coordinate,STARLINK-2562 - X-Coordinate,STARLINK-5284 - X-Coordinate,STARLINK-30780 - X-Coordinate,STARLINK-31010 - X-Coordinate,STARLINK-31852 - X-Coordinate,STARLINK-5600 - X-Coordinate,STARLINK-2429 - X-Coordinate,STARLINK-5351 - X-Coordinate,STARLINK-31082 - X-Coordinate,STARLINK-32105 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5247 - Y-Coordinate,STARLINK-4186 - Y-Coordinate,STARLINK-3746 - Y-Coordinate,STARLINK-32164 - Y-Coordinate,STARLINK-30067 - Y-Coordinate,STARLINK-31995 - Y-Coordinate,STARLINK-31435 - Y-Coordinate,STARLINK-1131 - Y-Coordinate,STARLINK-2411 - Y-Coordinate,STARLINK-2504 - Y-Coordinate,STARLINK-11265 [DTC] - Y-Coordinate,STARLINK-5498 - Y-Coordinate,STARLINK-1228 - Y-Coordinate,STARLINK-3160 - Y-Coordinate,STARLINK-6106 - Y-Coordinate,STARLINK-5752 - Y-Coordinate,STARLINK-5087 - Y-Coordinate,STARLINK-4630 - Y-Coordinate,STARLINK-31731 - Y-Coordinate,STARLINK-31505 - Y-Coordinate,STARLINK-2179 - Y-Coordinate,STARLINK-1393 - Y-Coordinate,STARLINK-3839 - Y-Coordinate,STARLINK-4743 - Y-Coordinate,STARLINK-6117 - Y-Coordinate,STARLINK-31044 - Y-Coordinate,STARLINK-31468 - Y-Coordinate,STARLINK-31472 - Y-Coordinate,STARLINK-31673 - Y-Coordinate,STARLINK-4362 - Y-Coordinate,STARLINK-6323 - Y-Coordinate,STARLINK-30194 - Y-Coordinate,STARLINK-5397 - Y-Coordinate,STARLINK-4126 - Y-Coordinate,STARLINK-6184 - Y-Coordinate,STARLINK-1926 - Y-Coordinate,STARLINK-5341 - Y-Coordinate,STARLINK-32242 - Y-Coordinate,STARLINK-5400 - Y-Coordinate,STARLINK-5395 - Y-Coordinate,STARLINK-6121 - Y-Coordinate,STARLINK-5193 - Y-Coordinate,STARLINK-31372 - Y-Coordinate,STARLINK-1355 - Y-Coordinate,STARLINK-30471 - Y-Coordinate,STARLINK-2111 - Y-Coordinate,STARLINK-6328 - Y-Coordinate,STARLINK-30114 - Y-Coordinate,STARLINK-30350 - Y-Coordinate,STARLINK-1061 - Y-Coordinate,STARLINK-3537 - Y-Coordinate,STARLINK-3860 - Y-Coordinate,STARLINK-2531 - Y-Coordinate,STARLINK-2087 - Y-Coordinate,STARLINK-31543 - Y-Coordinate,STARLINK-6092 - Y-Coordinate,STARLINK-1479 - Y-Coordinate,STARLINK-4372 - Y-Coordinate,STARLINK-2051 - Y-Coordinate,STARLINK-2693 - Y-Coordinate,STARLINK-31648 - Y-Coordinate,STARLINK-4079 - Y-Coordinate,STARLINK-11106 [DTC] - Y-Coordinate,STARLINK-30128 - Y-Coordinate,STARLINK-30969 - Y-Coordinate,STARLINK-5965 - Y-Coordinate,STARLINK-5848 - Y-Coordinate,STARLINK-31367 - Y-Coordinate,STARLINK-2162 - Y-Coordinate,STARLINK-2163 - Y-Coordinate,STARLINK-31438 - Y-Coordinate,STARLINK-4140 - Y-Coordinate,STARLINK-1782 - Y-Coordinate,STARLINK-4504 - Y-Coordinate,STARLINK-5980 - Y-Coordinate,STARLINK-30541 - Y-Coordinate,STARLINK-30904 - Y-Coordinate,STARLINK-31997 - Y-Coordinate,STARLINK-6086 - Y-Coordinate,STARLINK-31500 - Y-Coordinate,STARLINK-31689 - Y-Coordinate,STARLINK-30447 - Y-Coordinate,STARLINK-4493 - Y-Coordinate,STARLINK-3764 - Y-Coordinate,STARLINK-31277 - Y-Coordinate,STARLINK-30066 - Y-Coordinate,STARLINK-11086 [DTC] - Y-Coordinate,STARLINK-2025 - Y-Coordinate,STARLINK-5816 - Y-Coordinate,STARLINK-3276 - Y-Coordinate,STARLINK-2562 - Y-Coordinate,STARLINK-5284 - Y-Coordinate,STARLINK-30780 - Y-Coordinate,STARLINK-31010 - Y-Coordinate,STARLINK-31852 - Y-Coordinate,STARLINK-5600 - Y-Coordinate,STARLINK-2429 - Y-Coordinate,STARLINK-5351 - Y-Coordinate,STARLINK-31082 - Y-Coordinate,STARLINK-32105 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5247 - Z-Coordinate,STARLINK-4186 - Z-Coordinate,STARLINK-3746 - Z-Coordinate,STARLINK-32164 - Z-Coordinate,STARLINK-30067 - Z-Coordinate,STARLINK-31995 - Z-Coordinate,STARLINK-31435 - Z-Coordinate,STARLINK-1131 - Z-Coordinate,STARLINK-2411 - Z-Coordinate,STARLINK-2504 - Z-Coordinate,STARLINK-11265 [DTC] - Z-Coordinate,STARLINK-5498 - Z-Coordinate,STARLINK-1228 - Z-Coordinate,STARLINK-3160 - Z-Coordinate,STARLINK-6106 - Z-Coordinate,STARLINK-5752 - Z-Coordinate,STARLINK-5087 - Z-Coordinate,STARLINK-4630 - Z-Coordinate,STARLINK-31731 - Z-Coordinate,STARLINK-31505 - Z-Coordinate,STARLINK-2179 - Z-Coordinate,STARLINK-1393 - Z-Coordinate,STARLINK-3839 - Z-Coordinate,STARLINK-4743 - Z-Coordinate,STARLINK-6117 - Z-Coordinate,STARLINK-31044 - Z-Coordinate,STARLINK-31468 - Z-Coordinate,STARLINK-31472 - Z-Coordinate,STARLINK-31673 - Z-Coordinate,STARLINK-4362 - Z-Coordinate,STARLINK-6323 - Z-Coordinate,STARLINK-30194 - Z-Coordinate,STARLINK-5397 - Z-Coordinate,STARLINK-4126 - Z-Coordinate,STARLINK-6184 - Z-Coordinate,STARLINK-1926 - Z-Coordinate,STARLINK-5341 - Z-Coordinate,STARLINK-32242 - Z-Coordinate,STARLINK-5400 - Z-Coordinate,STARLINK-5395 - Z-Coordinate,STARLINK-6121 - Z-Coordinate,STARLINK-5193 - Z-Coordinate,STARLINK-31372 - Z-Coordinate,STARLINK-1355 - Z-Coordinate,STARLINK-30471 - Z-Coordinate,STARLINK-2111 - Z-Coordinate,STARLINK-6328 - Z-Coordinate,STARLINK-30114 - Z-Coordinate,STARLINK-30350 - Z-Coordinate,STARLINK-1061 - Z-Coordinate,STARLINK-3537 - Z-Coordinate,STARLINK-3860 - Z-Coordinate,STARLINK-2531 - Z-Coordinate,STARLINK-2087 - Z-Coordinate,STARLINK-31543 - Z-Coordinate,STARLINK-6092 - Z-Coordinate,STARLINK-1479 - Z-Coordinate,STARLINK-4372 - Z-Coordinate,STARLINK-2051 - Z-Coordinate,STARLINK-2693 - Z-Coordinate,STARLINK-31648 - Z-Coordinate,STARLINK-4079 - Z-Coordinate,STARLINK-11106 [DTC] - Z-Coordinate,STARLINK-30128 - Z-Coordinate,STARLINK-30969 - Z-Coordinate,STARLINK-5965 - Z-Coordinate,STARLINK-5848 - Z-Coordinate,STARLINK-31367 - Z-Coordinate,STARLINK-2162 - Z-Coordinate,STARLINK-2163 - Z-Coordinate,STARLINK-31438 - Z-Coordinate,STARLINK-4140 - Z-Coordinate,STARLINK-1782 - Z-Coordinate,STARLINK-4504 - Z-Coordinate,STARLINK-5980 - Z-Coordinate,STARLINK-30541 - Z-Coordinate,STARLINK-30904 - Z-Coordinate,STARLINK-31997 - Z-Coordinate,STARLINK-6086 - Z-Coordinate,STARLINK-31500 - Z-Coordinate,STARLINK-31689 - Z-Coordinate,STARLINK-30447 - Z-Coordinate,STARLINK-4493 - Z-Coordinate,STARLINK-3764 - Z-Coordinate,STARLINK-31277 - Z-Coordinate,STARLINK-30066 - Z-Coordinate,STARLINK-11086 [DTC] - Z-Coordinate,STARLINK-2025 - Z-Coordinate,STARLINK-5816 - Z-Coordinate,STARLINK-3276 - Z-Coordinate,STARLINK-2562 - Z-Coordinate,STARLINK-5284 - Z-Coordinate,STARLINK-30780 - Z-Coordinate,STARLINK-31010 - Z-Coordinate,STARLINK-31852 - Z-Coordinate,STARLINK-5600 - Z-Coordinate,STARLINK-2429 - Z-Coordinate,STARLINK-5351 - Z-Coordinate,STARLINK-31082 - Z-Coordinate,STARLINK-32105 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-3246.8719,5622.5536,-6268.5082,2825.8139,-4795.5602,-4710.1408,4182.5865,-4520.1661,1237.3879,916.6331,6252.3671,-6935.7605,969.9454,-1962.9329,-6003.2830,-4133.8296,4525.3793,3084.9334,3800.9363,-4133.0576,-4796.7765,1765.1434,-5042.1648,3545.9701,5329.6971,4006.6122,1282.4087,-2098.4305,-3207.2368,-741.5301,1640.7326,230.7278,5555.4970,-5706.6441,4864.5549,0.0000,6383.1768,-3130.9565,-4275.6879,-4503.7305,-4995.2837,3227.9459,-4310.1306,3308.7234,-5356.0653,-5388.8498,-5661.1419,-2543.4466,-1553.7415,-1234.7018,6564.4763,2148.6212,-687.1039,1531.3504,-4616.2333,-283.3003,4202.3696,-1512.5856,5003.7303,-2290.2312,5035.2349,253.8313,2090.5086,-3685.1291,-873.4862,-5033.5797,-2403.1289,2125.0708,-2766.6786,431.7076,-2994.9564,128.5521,2205.5292,2585.5621,2576.5338,-6574.7683,-4317.6560,-4454.0634,2453.1960,5946.2646,3548.5200,-3278.2683,4935.5347,1161.6322,4626.8681,-4618.7242,-3979.6088,-3799.0771,-4259.7705,4659.2499,323.0933,-5755.8009,6584.6138,-6506.6758,1991.0043,-516.9798,6622.2494,-4531.6190,-5047.0070,-838.7142,174448.6740,175920.7462,176295.9451,173832.7847,166620.1538,168746.5412,174968.4030,172727.5679,29087597.5706,29078969.1976,29073996.3721,29086525.3009,173838.4315,29088579.2907,5991.0764,3804.5181,505.2180,-2987.4238,3463.4072,-264.4938,-2489.8531,4193.7128,6658.7156,-6561.5898,1434.4639,-262.5773,6451.2093,-4885.6126,940.6010,3749.8218,4142.9658,-1133.3819,-3861.9688,-3354.6949,-4794.6197,-6244.2508,-4084.8869,5843.6729,4145.4560,5389.5543,4050.2614,-6056.8586,3094.9514,643.9335,4708.3640,5351.8776,1504.9257,-2280.1393,1621.4235,0.0000,2449.3581,-5755.2179,2749.0751,2387.5187,-916.1732,-5647.3961,5265.8187,3809.3304,147.3014,-2733.4621,2439.0590,6003.4160,4827.5791,-6413.7989,-1885.9482,-3562.4312,6799.9302,-5085.9152,3089.0026,-6909.1749,3403.3423,6506.0644,-3280.7130,-3575.3802,-165.9146,6293.4371,3810.9992,5171.7261,-4986.3437,-1561.6795,44.0563,-6367.6178,3816.3348,-6777.3820,-5080.0576,6540.7143,-4848.3011,-3751.5203,2423.2263,-2154.9957,-2858.4096,-3576.1248,-4550.6418,3316.9816,4925.3008,5079.1703,-2723.6993,-5136.3759,-1930.6776,-2647.3800,787.6552,-3492.9385,-984.3769,2839.7930,4709.0769,1114.1783,-915.8203,-2471.7524,-4890.8848,-5190.3091,997.9075,-1807.2217,-184.3279,4916.3909,325236.2709,318753.3688,332687.4739,332938.4737,328350.6962,328072.0047,323906.5930,326023.3437,-93764062.8159,-93801415.9923,-93791133.1881,-93777583.4880,327353.7525,-93783442.9498,-954.2089,1293.9770,2818.7352,-5479.4888,-3623.2359,4881.9154,-4781.6324,2735.6172,1054.8485,1538.6725,1871.9252,319.3000,2207.3577,-4472.9969,-3327.1285,-4123.4496,-3238.6630,-6101.1221,4170.3607,-4051.5667,-1341.8912,2193.4530,2327.2448,-1291.6739,-1586.4281,-1651.9460,5335.3952,-1731.5301,-4921.9757,-6867.8059,-4646.2704,4396.8554,-3887.0199,-3154.4248,-4678.3508,0.0000,1222.2797,-2187.1433,4721.9196,4698.0910,4716.6737,-2241.1377,607.7079,-4708.2542,4479.8596,-3301.9292,3142.6589,2354.0073,4722.6859,-2177.8751,538.2390,5500.1038,-755.8967,-4190.8448,-3955.4875,-176.9813,-4237.8432,177.0717,3270.9522,5320.9974,4633.0894,-2816.3340,-5132.2472,2798.2182,4717.0278,4495.2662,-6548.3849,872.8999,5024.8326,-1146.2007,-3483.1682,2162.2581,4378.4893,5181.1739,5957.1674,-65.4094,-4554.7434,3752.7322,-4599.9918,22.7522,3062.0487,-3428.0388,3970.4978,4455.3195,4440.0063,-4414.6716,5370.3744,-4582.9499,-5399.6100,4227.1316,-5011.3440,3769.3274,-2057.7967,97.8577,-4301.8140,-4565.8478,-1665.4780,-4481.7661,4687.7920,-4648.3608,154627.9030,156208.5854,156516.5666,156394.1022,160417.6744,151966.5137,146204.8593,154407.0406,683332.9939,657088.6428,706249.4989,696637.3975,154716.2555,689722.6111,
300.000,-2137.5844,5755.6809,-6543.5410,1179.6986,-4016.9560,-5405.9877,2326.0525,-3875.2421,2423.8624,-307.7428,6680.8262,-6508.3554,2123.2349,-3716.2065,-6038.8484,-2243.3365,5051.1738,1362.9371,1842.9560,-4755.5176,-5664.2866,597.0379,-6050.7017,4577.3969,5756.7714,4849.3479,3340.6350,-3369.0851,-1134.8889,-2630.3690,3587.1230,2212.8889,5221.8733,-5244.7730,5119.2683,0.0000,5942.7466,-4350.0760,-2868.7565,-3177.4133,-5075.2789,1660.3876,-3254.3979,5020.6278,-4635.7902,-5072.1001,-4177.7681,-1143.0177,527.8754,-2525.8051,6033.0214,114.1224,579.4650,182.2600,-2849.6733,-1761.7240,4326.7071,-1864.1008,4641.8532,-4184.9513,3855.2788,1565.2081,4049.3829,-2489.3285,-2937.8915,-5792.1663,-2528.7912,633.0682,-1598.0331,-787.4908,-4682.7769,1397.9875,1003.6854,461.4549,656.0923,-6706.7268,-4993.5608,-4508.5224,363.3711,6380.9153,4436.1792,-1989.0132,3182.8944,-717.1368,3881.5119,-5791.9657,-3547.6629,-4130.1875,-5721.9082,6017.2411,2206.5623,-6410.2952,5635.9580,-6701.6477,-156.5556,-2520.0934,6061.4559,-4939.3221,-4992.2336,1317.7599,168093.7843,169061.7176,169445.6157,166938.5387,159628.1126,161838.5263,167956.8181,165686.4261,31133694.5315,31125588.2123,31120167.0511,31132147.9177,166879.9004,31134740.7189,6480.7872,2409.1220,1856.0506,-4384.8360,5095.8815,1530.2422,-3489.0234,5429.1866,6367.8044,-6791.2049,224.2477,376.2662,5385.1219,-4880.4042,2691.2685,4635.5768,2275.9044,195.9058,-4687.7374,-1300.5136,-3933.5279,-6812.4469,-3257.7855,5210.7898,2520.0026,3920.5772,3697.2604,-4834.8507,3822.2219,-544.7265,3770.3846,4566.4709,-515.5319,-593.5570,-515.8887,0.0000,1593.0346,-5346.0585,4373.1378,4084.9368,1232.4659,-5518.7674,5885.2205,3163.3692,2150.6764,-973.6022,3674.1271,6778.7305,5306.2223,-6389.9753,-2986.4582,-4336.5726,6384.6072,-6150.8050,4214.5903,-6547.9590,1419.5842,6071.2292,-4718.6043,-2689.9183,-1873.9731,5240.6056,3231.8467,6322.2414,-4422.4951,329.6930,2201.7002,-6706.0164,5363.5748,-6807.3582,-4452.5607,6737.2883,-6101.7054,-4108.8974,1462.4887,-628.0015,-810.7310,-1678.2332,-5073.6424,1834.8040,3191.3871,6285.7593,-3518.7970,-4386.6443,-3902.3403,-1009.6807,2909.6845,-1472.9862,-203.3850,1836.6995,5149.7558,2015.3624,-2377.6248,-954.5707,-4985.6062,-4412.1464,-357.5576,359.1961,1948.7599,5041.0402,328908.1836,322145.7377,336180.4858,336379.2213,331903.8756,331604.2067,327510.8775,329640.6102,-93103604.1371,-93140953.5586,-93131358.4280,-93117785.7353,330921.8753,-93123053.6105,867.2668,2966.9786,1122.6856,-5130.4293,-2449.9375,3813.6374,-5382.9998,1020.0973,-765.2342,-275.9610,57.3737,2397.7035,3727.7334,-3177.1123,-2066.1022,-4650.9095,-4176.6117,-6791.7049,4623.4024,-4521.9581,465.8648,426.8818,573.6165,515.8057,-2937.8176,-2992.6833,4658.7516,-3061.7197,-5309.1111,-6396.0930,-4400.4165,4719.6011,-4550.1085,-4456.7306,-4658.6789,0.0000,3218.2025,-423.0724,4559.5458,4612.7926,4557.2702,-3759.4320,-1215.7330,-3521.7352,4760.7861,-4554.8200,4111.1166,906.2638,4427.1151,-413.1868,-1282.6041,5361.2183,-2490.4531,-2810.1050,-4540.5503,1357.9134,-5144.8974,-2081.4064,1649.0929,4648.6653,5334.1556,-4206.8968,-4287.5787,1420.5404,4438.0337,3787.4083,-6116.8181,-690.3795,4021.2427,668.9553,-2269.0030,393.2393,3055.1339,5522.6711,6739.0038,-1588.0678,-4686.8142,4851.6195,-4691.6557,-1515.7861,4042.5342,-2194.4240,5000.8765,5273.3310,3816.9413,-3641.0599,4925.4307,-5330.0564,-3935.1545,2843.8661,-3999.5955,1859.1158,-3320.5098,1614.6370,-4638.0670,-4715.2684,-3281.5322,-4400.1581,4332.4250,-4396.8472,154835.6612,156243.7093,156629.5314,156261.9572,160512.6323,152278.7188,146167.2175,154936.9672,684345.5973,657863.8923,706875.8493,697467.1704,154760.5214,690510.3396,
600.000,-802.7499,5337.8113,-6165.4949,-543.6848,-2872.4701,-5565.6485,248.2477,-2824.9017,3370.8809,-1503.0310,6370.3874,-5420.9110,3104.8082,-5080.6224,-5501.2493,-145.4768,5128.8164,-559.3007,-292.0137,-4910.1303,-5970.1163,-627.2732,-6448.4640,5165.4105,5650.0650,5246.1727,5049.7071,-4298.4005,1051.0760,-4189.0332,5181.6819,4003.2514,4425.0232,-4296.3935,4925.1877,0.0000,4915.7525,-5130.3527,-1220.6699,-1580.2317,-4707.9052,-104.6516,-1851.3275,6226.1265,-3518.1913,-4286.2465,-2295.1606,359.4029,2542.8525,-3557.5249,4879.0539,-1907.0401,1815.1781,-1155.1172,-806.3460,-3081.1854,4070.2487,-1959.8539,3813.9176,-5655.0902,2322.2066,2765.3766,5569.6497,-1066.7077,-4722.0319,-6016.1409,-2481.0375,-931.6979,-312.9310,-1934.8988,-5891.0139,2522.2874,-264.8062,-1704.2231,-1286.6158,-6190.2009,-5222.5615,-4150.9690,-1752.1343,6169.1068,4907.6153,-529.3496,1115.3856,-2560.0938,2756.8156,-6418.7084,-2791.1901,-4109.5148,-6613.9220,6775.0910,3841.9910,-6429.1040,4155.2242,-6260.6501,-2292.6176,-4298.3058,4907.4450,-4842.5700,-4487.2274,3332.0921,161619.4046,162136.9355,162521.8567,159976.7954,152564.1369,154868.8036,160870.5040,158663.1369,33164816.8509,33157228.3679,33151390.3938,33162837.8397,159848.2502,33165930.5155,6318.4119,748.8712,3008.3655,-5374.5178,6229.4307,3133.4202,-4186.7228,6076.0942,5423.4079,-6309.7503,-1010.0091,1008.4941,3782.0580,-4419.4119,4165.9891,5118.2550,181.0260,1424.7357,-5084.8366,890.0195,-2675.8771,-6682.4474,-2109.3177,4064.2646,634.2215,2059.2463,3015.2201,-3077.5239,4179.9885,-1751.2707,2489.0710,3378.7103,-2506.3450,1187.5750,-2597.3250,0.0000,536.1340,-4405.0650,5601.2897,5412.9835,3256.5796,-4863.8251,5905.0806,2240.6003,3971.1344,915.8009,4590.3602,6896.8346,5311.0155,-5722.5693,-3795.0459,-4732.7224,5329.0040,-6571.5182,4953.8954,-5546.3261,-721.6517,4907.5103,-5655.9455,-1577.0818,-3434.9936,3678.6583,2353.3897,6860.1789,-3471.0662,2164.4875,4128.7934,-6345.8854,6384.9490,-6149.9749,-3397.4691,6256.7830,-6750.8689,-4118.4958,262.2276,974.5769,1304.4861,412.1534,-5147.5610,151.6622,1127.9895,6888.7068,-4018.0999,-3246.2095,-5455.9899,696.6124,4720.9444,698.3658,547.5213,682.3156,5109.0988,2691.1091,-3642.9908,668.3628,-4616.6459,-3248.6038,-1712.0972,2475.3060,3883.5883,4694.7516,332524.8964,325395.5705,339522.8436,339664.3441,335307.6622,334989.6461,330965.1539,333210.7117,-92398511.5672,-92435842.3381,-92426947.9550,-92413398.7988,334342.1132,-92418028.0066,2593.6564,4319.2762,-695.6630,-4214.1794,-1014.7725,2311.7340,-5382.3009,-813.7885,-2500.6362,-2059.3707,-1764.0646,4220.9397,4841.2839,-1537.7669,-583.3227,-4682.9467,-4669.2258,-6758.4031,4561.8065,-4455.6097,2223.2448,-1387.0662,-1242.4598,2268.5372,-3975.4421,-4011.0490,3460.0722,-4020.0477,-5049.6655,-5244.3485,-3660.0760,4537.6833,-4729.7176,-5277.8613,-4143.1326,0.0000,4871.4548,1386.8276,3911.3112,4034.7356,3910.7895,-4866.7397,-2903.3285,-1953.3573,4544.2832,-5311.3561,4637.3394,-638.5213,3658.1251,1396.6813,-2961.2943,4641.3112,-3952.0758,-1106.0997,-4616.1545,2746.2820,-5487.9525,-4091.7795,-158.0685,3452.6079,5443.6384,-5141.5612,-2941.4620,-108.7125,3682.2849,2673.8513,-5045.1165,-2174.3540,2580.1422,2410.9551,-802.9399,-1418.6707,1399.8886,5266.4329,6801.6709,-2939.8064,-4310.4289,5409.5390,-4279.4624,-2883.1724,4564.9001,-727.4883,5488.3288,5519.8324,2741.9974,-2475.2165,3906.5717,-5500.8412,-2052.7282,1152.5353,-2551.2478,-246.8285,-4232.1733,2960.4426,-4452.2005,-4360.8985,-4541.9276,-3782.2575,3505.8380,-3651.6091,155040.9931,156277.8948,156738.8505,156126.0754,160604.3552,152596.8702,146134.1904,155452.6386,685360.9867,658641.3732,707497.2975,698261.4215,154804.7000,691298.0664,
