sl_5_86400_20290102 Coordinates.csv
2029/01/02 07:47:00.0000 UTC

Generated: Tue Oct  8 21:11:33 2024,
Start: 2029/01/02 07:47:00.00, Stop: 2029/01/03 07:47:00.00,
TIME_UNITS,STARLINK-30871 - X-Coordinate,STARLINK-11207 [DTC] - X-Coordinate,STARLINK-1170 - X-Coordinate,STARLINK-1269 - X-Coordinate,STARLINK-31824 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30871 - Y-Coordinate,STARLINK-11207 [DTC] - Y-Coordinate,STARLINK-1170 - Y-Coordinate,STARLINK-1269 - Y-Coordinate,STARLINK-31824 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30871 - Z-Coordinate,STARLINK-11207 [DTC] - Z-Coordinate,STARLINK-1170 - Z-Coordinate,STARLINK-1269 - Z-Coordinate,STARLINK-31824 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,480.2316,5803.1097,-159.7656,-5816.6069,6145.4462,31755.0590,15339.1950,31118.7202,30696.2751,24335.3030,24740.0022,22197.6249,25253.6248,-152306162.8473,-152356187.6155,-152328620.0276,-152324124.1566,25226.1763,-152321072.1549,6243.8613,1841.2473,-6435.2502,3198.8950,-555.5289,-359216.3177,-357550.5041,-354203.2374,-352198.2327,-346472.6566,-348498.6667,-355655.2642,-353199.4575,-101178564.2230,-101191060.9722,-101177701.5151,-101193914.4461,-353646.3489,-101188877.8635,-2973.5475,-2788.4928,1784.0733,-1875.9676,2921.2146,116288.1771,115201.3244,115426.3289,115716.8817,119475.1425,110780.8417,105332.1592,115491.4953,1194740.5542,1220644.9594,1221874.6397,1196266.0928,113784.1110,1204159.7865,
3600.000,-2916.5386,-3254.4365,2937.4187,2571.0748,-3274.7624,122979.1090,101988.9346,118099.3142,116503.3890,111584.5681,112361.2400,109900.4261,112671.5519,-120821998.9917,-120873444.9305,-120852032.8427,-120832443.7578,112795.7097,-120837551.8563,-6259.6416,2345.1664,2958.8820,-3880.5724,3779.2627,-339343.4574,-342659.8629,-338475.4824,-336528.1859,-328993.1746,-332730.6418,-337635.5801,-336778.3816,-137163950.5944,-137186686.3250,-137166036.7321,-137181878.5298,-336402.1196,-137175122.8403,-585.7839,5348.9075,-5226.5112,5077.5728,-4660.1274,115559.8187,113841.0258,114918.1816,112229.2184,118774.3563,113109.0590,103429.3895,110837.7491,1179138.0805,1200670.5245,1202295.0596,1177920.0441,112615.5692,1186256.3593,
7200.000,4359.3351,-63.6468,-5266.8664,1908.3618,-348.0314,205592.0636,182611.0279,197778.0485,192430.7277,191752.2702,194593.6548,190186.5321,193774.5344,-81097960.3740,-81147451.7572,-81133536.9264,-81102277.5536,193352.9751,-81113685.2913,3840.3782,-6031.1098,1836.8624,4352.9318,-6151.6230,-296644.8834,-306883.8299,-301368.0240,-299870.5881,-290367.8158,-298931.0848,-298303.7474,-297473.4103,-163747089.7168,-163780683.9077,-163755454.5249,-163762117.2044,-297812.1136,-163759383.2082,3769.9932,-2909.8825,3669.2944,-5003.3079,2943.2056,114676.3815,112428.7119,113781.6801,110112.8792,117632.7595,113447.3614,102155.9797,113124.6140,1164020.8581,1180598.2358,1182046.2618,1162404.3343,111435.7677,1168377.1884,
10800.000,-5123.7998,2394.1762,4806.8510,-5137.7082,3100.2811,274167.6819,252138.0690,265152.1400,257329.4402,259821.0168,264223.3728,258004.9436,261267.2613,-35855348.7299,-35899400.2606,-35893235.0910,-35857890.9005,261780.6925,-35870705.5887,127.0543,5820.7691,-4434.3747,-4289.9420,6014.0578,-234370.5168,-252286.7734,-245109.2035,-241730.6702,-232999.4322,-244111.9319,-240273.4790,-240752.6469,-179116995.9746,-179160852.4485,-179133674.5841,-179126528.2539,-240286.0291,-179130405.8754,-4668.8590,-2285.4877,1363.3094,1651.1201,929.5141,113680.2191,110982.1257,112005.3302,111397.6708,116062.0000,108624.4804,101497.3592,108570.6205,1149210.0169,1160456.6154,1161298.9050,1148391.8516,110244.8165,1150522.2734,
14400.000,5101.9041,-3814.7363,-599.0165,5715.0557,-4621.4920,324334.2204,306180.5318,315916.7500,307804.7350,311547.5916,316519.1730,309187.3522,314461.2859,11809148.9937,11773686.7523,11772681.3693,11803600.0558,313720.9760,11794627.5561,-3824.4345,-1395.2403,4259.8186,2702.7347,-2876.4399,-156928.7242,-182141.8902,-173131.4139,-168337.5357,-160505.1364,-171403.0903,-167291.6025,-166736.9594,-182230492.2318,-182282833.3012,-182255891.5398,-182235530.8264,-167438.1704,-182244747.3240,2706.9743,5310.7608,-5117.9767,2746.3699,-4134.3889,112595.2749,109511.4033,109746.1287,112323.4789,114050.7806,104244.6038,101473.4854,110506.7783,1134508.4154,1140269.6019,1140200.1391,1134874.7109,109042.8270,1132691.6136,
18000.000,-3774.1148,4422.8073,-4610.2422,-4246.1698,5039.1222,353010.9956,341297.5102,346749.9276,339146.2598,343762.9673,348459.7715,340713.9055,345192.0076,58635405.7102,58610948.2412,58603839.9105,58623860.5887,345853.0809,58621992.0168,5742.5714,-3730.4290,-2740.3407,770.3103,-1721.9876,-69608.3147,-100728.5917,-89913.0733,-84629.2412,-77499.7976,-87333.3128,-83956.3338,-84812.3447,-172882970.7986,-172941033.8743,-172915863.3843,-172887733.4117,-83860.7553,-172897604.3861,891.2739,-3372.2843,3975.7481,-5385.1780,4270.0988,111436.6328,108022.9957,107287.5187,112586.1939,111563.1665,100805.6154,102142.4447,106451.1300,1119713.4086,1120057.6342,1118880.2377,1120796.1558,107829.9122,1114885.2086,
21600.000,812.9496,-2976.6464,6579.6900,2231.6048,-4202.9237,358570.8187,355216.4898,355572.7841,348936.0230,354634.5967,358127.6773,350960.5492,356733.6806,101422809.9558,101410746.4762,101398732.1064,101406230.2526,356106.0068,101410510.1116,-5630.3491,5734.5793,686.1643,-4715.7162,5234.5319,21767.2991,-13067.5890,-729.3262,4243.8253,10628.9193,2145.2510,4656.7054,6469.6053,-151721790.6861,-151782154.3517,-151759606.8353,-151732122.2053,5165.2641,-151736262.7273,-3962.5055,-1756.4772,933.7902,4499.3902,-1270.3339,110214.5166,106521.3756,104963.4579,112297.3037,108538.1176,98154.0326,103603.7591,107669.4432,1104629.9713,1099838.4665,1097458.8463,1104570.5593,106606.1863,1097103.0578,
25200.000,3007.9961,-1046.8115,-3880.2267,-547.1081,1627.5366,340910.3471,346983.9086,341740.1687,336388.4194,343903.0000,345038.0124,340123.4417,343464.1313,137248992.0159,137249538.0753,137233631.5643,137233792.0262,343792.3227,137237544.4974,4209.9850,-4055.1442,2211.4851,6838.6036,-6069.9644,111218.9580,75391.6003,88691.9210,92760.9211,97711.1903,91113.4438,93553.5557,92506.5417,-120201442.8672,-120260429.0381,-120240790.5938,-120220231.7202,94003.6796,-120215281.3274,4601.6088,5212.0739,-4974.9640,-713.4629,-2687.5125,108936.2293,105009.8824,103068.9489,111530.4325,104984.6537,96185.5684,105866.1756,104449.1886,1089083.3285,1079627.7925,1076050.7150,1083680.2984,105371.7651,1079345.1607,
28800.000,-6054.3202,5420.4776,-801.7301,-1199.8487,2271.6524,301423.2304,317034.9121,306116.2668,302216.9316,311717.0985,310159.6931,310769.3814,309686.2003,163669382.8880,163681591.1049,163662410.2891,163661631.9121,309654.5409,163658327.2687,-2325.2247,1029.2399,-5081.1008,-5782.7647,4457.6462,192994.7347,159112.2211,172580.4917,175387.2266,176105.0183,173855.0629,178265.7917,178745.5930,-80483590.8431,-80537679.7622,-80520905.3988,-80502820.4169,177019.7627,-80496515.2227,-2447.9559,-3796.2970,4254.7847,-3567.2972,4641.7937,107607.1945,103491.1838,101781.0108,110323.4503,102804.4040,94847.1322,106137.7568,104664.0544,1072930.2741,1059439.7318,1054771.1528,1058476.7531,104126.7659,1061611.5168,
