sl_100_5400_20270317 Coordinates.csv
2027/03/17 07:47:00.0000 UTC

Generated: Tue Oct  8 15:36:22 2024,
Start: 2027/03/17 07:47:00.00, Stop: 2027/03/17 09:17:00.00,
TIME_UNITS,STARLINK-4012 - X-Coordinate,STARLINK-5147 - X-Coordinate,STARLINK-30597 - X-Coordinate,STARLINK-1481 - X-Coordinate,STARLINK-32241 - X-Coordinate,STARLINK-5541 - X-Coordinate,STARLINK-31725 - X-Coordinate,STARLINK-3250 - X-Coordinate,STARLINK-1130 (DARKSAT) - X-Coordinate,STARLINK-5244 - X-Coordinate,STARLINK-6140 - X-Coordinate,STARLINK-5639 - X-Coordinate,STARLINK-31327 - X-Coordinate,STARLINK-31825 - X-Coordinate,STARLINK-31335 - X-Coordinate,STARLINK-1805 - X-Coordinate,STARLINK-32031 - X-Coordinate,STARLINK-5192 - X-Coordinate,STARLINK-31232 - X-Coordinate,STARLINK-4547 - X-Coordinate,STARLINK-6296 - X-Coordinate,STARLINK-32099 - X-Coordinate,STARLINK-5564 - X-Coordinate,STARLINK-2751 - X-Coordinate,STARLINK-5277 - X-Coordinate,STARLINK-3768 - X-Coordinate,STARLINK-3388 - X-Coordinate,STARLINK-1806 - X-Coordinate,STARLINK-31591 - X-Coordinate,STARLINK-1614 - X-Coordinate,STARLINK-30844 - X-Coordinate,STARLINK-3914 - X-Coordinate,STARLINK-3570 - X-Coordinate,STARLINK-6309 - X-Coordinate,STARLINK-4280 - X-Coordinate,STARLINK-4415 - X-Coordinate,STARLINK-30129 - X-Coordinate,STARLINK-5300 - X-Coordinate,STARLINK-4677 - X-Coordinate,STARLINK-11111 [DTC] - X-Coordinate,STARLINK-5127 - X-Coordinate,STARLINK-30498 - X-Coordinate,STARLINK-31642 - X-Coordinate,STARLINK-11101 [DTC] - X-Coordinate,STARLINK-30917 - X-Coordinate,STARLINK-4036 - X-Coordinate,STARLINK-5155 - X-Coordinate,STARLINK-2634 - X-Coordinate,STARLINK-31184 - X-Coordinate,STARLINK-3801 - X-Coordinate,STARLINK-1552 - X-Coordinate,STARLINK-4718 - X-Coordinate,STARLINK-2000 - X-Coordinate,STARLINK-30963 - X-Coordinate,STARLINK-6347 - X-Coordinate,STARLINK-30387 - X-Coordinate,STARLINK-5315 - X-Coordinate,STARLINK-5348 - X-Coordinate,STARLINK-1187 - X-Coordinate,STARLINK-30926 - X-Coordinate,STARLINK-2675 - X-Coordinate,STARLINK-31369 - X-Coordinate,STARLINK-5634 - X-Coordinate,STARLINK-6310 - X-Coordinate,STARLINK-4022 - X-Coordinate,STARLINK-32173 - X-Coordinate,STARLINK-30275 - X-Coordinate,STARLINK-30404 - X-Coordinate,STARLINK-3197 - X-Coordinate,STARLINK-32091 - X-Coordinate,STARLINK-30910 - X-Coordinate,STARLINK-2466 - X-Coordinate,STARLINK-2621 - X-Coordinate,STARLINK-5755 - X-Coordinate,STARLINK-4614 - X-Coordinate,STARLINK-30842 - X-Coordinate,STARLINK-30237 - X-Coordinate,STARLINK-32126 - X-Coordinate,STARLINK-3593 - X-Coordinate,STARLINK-5809 - X-Coordinate,STARLINK-5678 - X-Coordinate,STARLINK-3835 - X-Coordinate,STARLINK-5414 - X-Coordinate,STARLINK-3511 - X-Coordinate,STARLINK-1928 - X-Coordinate,STARLINK-4470 - X-Coordinate,STARLINK-3646 - X-Coordinate,STARLINK-4689 - X-Coordinate,STARLINK-2437 - X-Coordinate,STARLINK-6316 - X-Coordinate,STARLINK-1762 - X-Coordinate,STARLINK-6301 - X-Coordinate,STARLINK-6367 - X-Coordinate,STARLINK-30989 - X-Coordinate,STARLINK-31630 - X-Coordinate,STARLINK-5301 - X-Coordinate,STARLINK-30841 - X-Coordinate,STARLINK-3689 - X-Coordinate,STARLINK-1224 - X-Coordinate,STARLINK-5095 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-4012 - Y-Coordinate,STARLINK-5147 - Y-Coordinate,STARLINK-30597 - Y-Coordinate,STARLINK-1481 - Y-Coordinate,STARLINK-32241 - Y-Coordinate,STARLINK-5541 - Y-Coordinate,STARLINK-31725 - Y-Coordinate,STARLINK-3250 - Y-Coordinate,STARLINK-1130 (DARKSAT) - Y-Coordinate,STARLINK-5244 - Y-Coordinate,STARLINK-6140 - Y-Coordinate,STARLINK-5639 - Y-Coordinate,STARLINK-31327 - Y-Coordinate,STARLINK-31825 - Y-Coordinate,STARLINK-31335 - Y-Coordinate,STARLINK-1805 - Y-Coordinate,STARLINK-32031 - Y-Coordinate,STARLINK-5192 - Y-Coordinate,STARLINK-31232 - Y-Coordinate,STARLINK-4547 - Y-Coordinate,STARLINK-6296 - Y-Coordinate,STARLINK-32099 - Y-Coordinate,STARLINK-5564 - Y-Coordinate,STARLINK-2751 - Y-Coordinate,STARLINK-5277 - Y-Coordinate,STARLINK-3768 - Y-Coordinate,STARLINK-3388 - Y-Coordinate,STARLINK-1806 - Y-Coordinate,STARLINK-31591 - Y-Coordinate,STARLINK-1614 - Y-Coordinate,STARLINK-30844 - Y-Coordinate,STARLINK-3914 - Y-Coordinate,STARLINK-3570 - Y-Coordinate,STARLINK-6309 - Y-Coordinate,STARLINK-4280 - Y-Coordinate,STARLINK-4415 - Y-Coordinate,STARLINK-30129 - Y-Coordinate,STARLINK-5300 - Y-Coordinate,STARLINK-4677 - Y-Coordinate,STARLINK-11111 [DTC] - Y-Coordinate,STARLINK-5127 - Y-Coordinate,STARLINK-30498 - Y-Coordinate,STARLINK-31642 - Y-Coordinate,STARLINK-11101 [DTC] - Y-Coordinate,STARLINK-30917 - Y-Coordinate,STARLINK-4036 - Y-Coordinate,STARLINK-5155 - Y-Coordinate,STARLINK-2634 - Y-Coordinate,STARLINK-31184 - Y-Coordinate,STARLINK-3801 - Y-Coordinate,STARLINK-1552 - Y-Coordinate,STARLINK-4718 - Y-Coordinate,STARLINK-2000 - Y-Coordinate,STARLINK-30963 - Y-Coordinate,STARLINK-6347 - Y-Coordinate,STARLINK-30387 - Y-Coordinate,STARLINK-5315 - Y-Coordinate,STARLINK-5348 - Y-Coordinate,STARLINK-1187 - Y-Coordinate,STARLINK-30926 - Y-Coordinate,STARLINK-2675 - Y-Coordinate,STARLINK-31369 - Y-Coordinate,STARLINK-5634 - Y-Coordinate,STARLINK-6310 - Y-Coordinate,STARLINK-4022 - Y-Coordinate,STARLINK-32173 - Y-Coordinate,STARLINK-30275 - Y-Coordinate,STARLINK-30404 - Y-Coordinate,STARLINK-3197 - Y-Coordinate,STARLINK-32091 - Y-Coordinate,STARLINK-30910 - Y-Coordinate,STARLINK-2466 - Y-Coordinate,STARLINK-2621 - Y-Coordinate,STARLINK-5755 - Y-Coordinate,STARLINK-4614 - Y-Coordinate,STARLINK-30842 - Y-Coordinate,STARLINK-30237 - Y-Coordinate,STARLINK-32126 - Y-Coordinate,STARLINK-3593 - Y-Coordinate,STARLINK-5809 - Y-Coordinate,STARLINK-5678 - Y-Coordinate,STARLINK-3835 - Y-Coordinate,STARLINK-5414 - Y-Coordinate,STARLINK-3511 - Y-Coordinate,STARLINK-1928 - Y-Coordinate,STARLINK-4470 - Y-Coordinate,STARLINK-3646 - Y-Coordinate,STARLINK-4689 - Y-Coordinate,STARLINK-2437 - Y-Coordinate,STARLINK-6316 - Y-Coordinate,STARLINK-1762 - Y-Coordinate,STARLINK-6301 - Y-Coordinate,STARLINK-6367 - Y-Coordinate,STARLINK-30989 - Y-Coordinate,STARLINK-31630 - Y-Coordinate,STARLINK-5301 - Y-Coordinate,STARLINK-30841 - Y-Coordinate,STARLINK-3689 - Y-Coordinate,STARLINK-1224 - Y-Coordinate,STARLINK-5095 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-4012 - Z-Coordinate,STARLINK-5147 - Z-Coordinate,STARLINK-30597 - Z-Coordinate,STARLINK-1481 - Z-Coordinate,STARLINK-32241 - Z-Coordinate,STARLINK-5541 - Z-Coordinate,STARLINK-31725 - Z-Coordinate,STARLINK-3250 - Z-Coordinate,STARLINK-1130 (DARKSAT) - Z-Coordinate,STARLINK-5244 - Z-Coordinate,STARLINK-6140 - Z-Coordinate,STARLINK-5639 - Z-Coordinate,STARLINK-31327 - Z-Coordinate,STARLINK-31825 - Z-Coordinate,STARLINK-31335 - Z-Coordinate,STARLINK-1805 - Z-Coordinate,STARLINK-32031 - Z-Coordinate,STARLINK-5192 - Z-Coordinate,STARLINK-31232 - Z-Coordinate,STARLINK-4547 - Z-Coordinate,STARLINK-6296 - Z-Coordinate,STARLINK-32099 - Z-Coordinate,STARLINK-5564 - Z-Coordinate,STARLINK-2751 - Z-Coordinate,STARLINK-5277 - Z-Coordinate,STARLINK-3768 - Z-Coordinate,STARLINK-3388 - Z-Coordinate,STARLINK-1806 - Z-Coordinate,STARLINK-31591 - Z-Coordinate,STARLINK-1614 - Z-Coordinate,STARLINK-30844 - Z-Coordinate,STARLINK-3914 - Z-Coordinate,STARLINK-3570 - Z-Coordinate,STARLINK-6309 - Z-Coordinate,STARLINK-4280 - Z-Coordinate,STARLINK-4415 - Z-Coordinate,STARLINK-30129 - Z-Coordinate,STARLINK-5300 - Z-Coordinate,STARLINK-4677 - Z-Coordinate,STARLINK-11111 [DTC] - Z-Coordinate,STARLINK-5127 - Z-Coordinate,STARLINK-30498 - Z-Coordinate,STARLINK-31642 - Z-Coordinate,STARLINK-11101 [DTC] - Z-Coordinate,STARLINK-30917 - Z-Coordinate,STARLINK-4036 - Z-Coordinate,STARLINK-5155 - Z-Coordinate,STARLINK-2634 - Z-Coordinate,STARLINK-31184 - Z-Coordinate,STARLINK-3801 - Z-Coordinate,STARLINK-1552 - Z-Coordinate,STARLINK-4718 - Z-Coordinate,STARLINK-2000 - Z-Coordinate,STARLINK-30963 - Z-Coordinate,STARLINK-6347 - Z-Coordinate,STARLINK-30387 - Z-Coordinate,STARLINK-5315 - Z-Coordinate,STARLINK-5348 - Z-Coordinate,STARLINK-1187 - Z-Coordinate,STARLINK-30926 - Z-Coordinate,STARLINK-2675 - Z-Coordinate,STARLINK-31369 - Z-Coordinate,STARLINK-5634 - Z-Coordinate,STARLINK-6310 - Z-Coordinate,STARLINK-4022 - Z-Coordinate,STARLINK-32173 - Z-Coordinate,STARLINK-30275 - Z-Coordinate,STARLINK-30404 - Z-Coordinate,STARLINK-3197 - Z-Coordinate,STARLINK-32091 - Z-Coordinate,STARLINK-30910 - Z-Coordinate,STARLINK-2466 - Z-Coordinate,STARLINK-2621 - Z-Coordinate,STARLINK-5755 - Z-Coordinate,STARLINK-4614 - Z-Coordinate,STARLINK-30842 - Z-Coordinate,STARLINK-30237 - Z-Coordinate,STARLINK-32126 - Z-Coordinate,STARLINK-3593 - Z-Coordinate,STARLINK-5809 - Z-Coordinate,STARLINK-5678 - Z-Coordinate,STARLINK-3835 - Z-Coordinate,STARLINK-5414 - Z-Coordinate,STARLINK-3511 - Z-Coordinate,STARLINK-1928 - Z-Coordinate,STARLINK-4470 - Z-Coordinate,STARLINK-3646 - Z-Coordinate,STARLINK-4689 - Z-Coordinate,STARLINK-2437 - Z-Coordinate,STARLINK-6316 - Z-Coordinate,STARLINK-1762 - Z-Coordinate,STARLINK-6301 - Z-Coordinate,STARLINK-6367 - Z-Coordinate,STARLINK-30989 - Z-Coordinate,STARLINK-31630 - Z-Coordinate,STARLINK-5301 - Z-Coordinate,STARLINK-30841 - Z-Coordinate,STARLINK-3689 - Z-Coordinate,STARLINK-1224 - Z-Coordinate,STARLINK-5095 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,1746.1869,-2690.9650,-4834.2381,-3683.1531,6795.5509,-6214.1167,197.8961,-6239.6139,-5085.7900,1973.6588,-2825.4131,3305.3608,-4646.4314,5613.6677,-5992.8133,4335.3265,5273.5729,-76.8161,2476.5369,-4434.8574,-6198.1845,-2618.0476,-693.5291,1899.6640,1528.9355,-3338.6028,4491.0317,-3480.4246,5710.6162,-5138.9165,4149.5854,-4874.8733,-6590.4799,-2368.1803,2380.2089,722.3453,-5213.0661,-1606.9797,2517.2106,5298.8153,-5249.7205,-379.7455,-3091.6531,1577.3684,828.6667,-4624.8037,5467.4189,-6684.8766,698.8825,2844.9523,2645.6053,1214.3787,4238.2740,-3681.0678,4775.3295,167.5362,5936.6778,-5436.7139,4989.3449,2521.0419,5217.7560,-1395.4111,1197.4570,4094.9391,3025.2627,-6736.2481,5944.0024,4958.7700,6004.4119,4802.5364,-3805.3793,-6351.1843,-644.7808,3178.2332,3394.8788,6902.9670,-5024.5226,5844.1005,-858.7791,2720.6580,-1277.5477,-454.3130,6434.0921,-3250.2745,-2670.2113,-2590.0363,1312.9795,-3287.9164,2293.7119,1274.8303,-4408.6587,-6659.2409,-207.1281,-5882.2865,0.0000,-2085.6663,-6483.6640,-3168.6516,5750.4453,-4407.1105,342795.8881,323212.2454,331612.4576,333501.3731,326765.7865,328857.9153,335222.8501,333704.4446,87499916.5923,87508836.9697,87517490.7162,87509848.7341,333652.2241,87507432.1315,6632.7805,5392.2692,-4265.7145,-2129.8827,522.8833,-2485.6400,5321.4145,-1827.1095,-3232.5240,3940.6438,5700.6900,-3890.3868,-1987.8677,2040.3939,3092.4018,902.7025,-4330.6956,-4172.7857,-3290.6262,5155.6126,-2399.5657,6141.4567,5110.7654,-6640.6744,2474.8100,-5492.7714,3234.8662,3960.3713,-1401.7389,4436.1640,-5317.4727,1125.9704,1291.1888,6337.3998,-3581.4514,-2863.5378,-2692.3625,-2567.0125,-6379.1252,-3853.6368,4419.0583,-5251.8216,-2693.0145,4306.0634,6447.3540,4941.8385,2109.8933,222.8734,-6736.1658,-4071.6644,3308.9120,-5798.0887,-871.0060,-3728.3435,1702.3609,5108.2005,-3590.7938,4220.5631,2247.0868,-6355.0542,2062.6309,4167.9878,4364.6991,3296.4475,4136.2007,917.3917,-41.9664,-4172.7208,-297.6075,2812.2916,-5333.0682,-2574.2342,-4608.0861,-4640.5083,-5040.1995,301.0674,-1148.1143,1268.0640,4149.3325,-3962.9680,4949.3535,-5028.6998,-1407.1967,2735.9748,6198.8118,2869.3296,-4158.2593,-2840.8595,-3601.0020,-6780.8069,2698.8236,1907.7456,6580.6424,-612.3856,0.0000,4480.8021,633.5214,-3427.2044,-3784.8765,-3854.1625,12797.3303,-1749.0786,13873.5528,13924.9579,8511.7339,9771.5961,4476.9351,7732.6577,-60490520.4498,-60477072.4263,-60461454.2296,-60462584.4067,8079.7870,-60471567.1509,786.2673,3370.4394,2574.4105,-5432.0964,-717.9855,1855.1658,4192.4141,2309.8879,-3262.9451,-5328.0211,-2713.3626,4680.4919,4634.8520,-3330.8476,963.7962,5256.0118,-89.9569,5500.6901,-5460.6667,1197.8835,-2036.4971,-1324.1364,4614.0699,-350.5364,-6308.5397,2526.1114,4100.4679,-4468.6789,-3448.2532,-807.7556,1446.1521,4762.4191,-1612.2534,1489.6370,-5407.1933,6243.4444,-3696.5650,-6253.3849,869.1846,-1546.6268,854.2547,4478.0545,5451.3804,4911.6296,-2418.4418,-1386.0148,-3659.5181,1682.9526,875.4128,-4781.4461,-5391.7187,-3397.2748,-5441.7272,4538.0251,4718.5121,4664.4263,263.4502,-829.8822,-4233.6208,1135.6207,4026.2499,5175.7008,5260.3181,4501.1666,4609.2574,-432.6049,-3421.9739,-2169.4279,-3436.0698,3935.1261,-1978.2407,-816.5943,5070.7967,4038.4364,3291.6579,542.9282,-4634.7181,-3360.2403,-5460.1732,5023.7403,-4678.5507,4702.2805,-2065.6720,-5420.3184,-592.0707,-5711.4994,5376.6980,-5377.8679,-5454.3553,660.0143,-4541.1859,80.3221,2150.6836,3623.6847,0.0000,4909.1403,-2368.7806,5081.5770,-452.5104,3699.5963,158086.0202,153424.9159,155190.4379,159263.4797,160447.7373,150245.6722,147501.9965,156942.7515,33857790.9488,33879546.3044,33860167.9510,33861652.4477,155217.0589,33856498.7789,
300.000,2777.9941,-926.3082,-5303.1594,-4905.3281,6355.9189,-5626.4042,2186.1603,-5738.2865,-4939.7507,3936.3214,-1461.8420,1426.0702,-5438.0763,6558.0198,-4889.3576,5151.1342,4216.5344,-2203.8332,745.6084,-3496.3859,-5559.7973,-1186.1570,1362.2865,675.1881,2375.6847,-3975.7233,4473.4102,-1474.5780,5876.4843,-4238.6721,2537.6271,-5108.3833,-5620.1442,-698.3515,288.2290,904.1744,-5276.6138,-3608.6963,1355.6857,4608.2676,-4037.8186,-2417.2040,-4460.2354,3536.4888,2332.4843,-3251.2181,6504.2747,-5878.4680,-871.6772,763.3446,3919.6326,-428.9366,4087.3503,-4725.1324,5230.3232,2265.8028,5242.2793,-4395.8899,6207.6064,894.5340,6345.6633,783.4239,2530.3659,5493.7844,3745.9876,-6332.8780,4831.5414,3446.6536,4843.0882,5038.1743,-4361.9473,-6681.2353,-2582.5387,1136.0472,2521.7219,6512.5572,-5008.9513,6630.2105,1314.8753,2581.2187,767.9340,-2094.1475,6354.6045,-2093.8836,-1471.0001,-4130.9318,-857.4797,-4089.9431,218.8860,-229.6337,-2554.7216,-5906.0388,1409.2259,-5198.1476,0.0000,-1713.0930,-6495.0336,-4917.7463,4897.1496,-4952.4497,342549.9412,323231.3176,331501.1401,333317.8493,326521.6021,328603.4747,334972.1440,333962.3659,88804640.3832,88813459.0055,88821671.8790,88813900.5280,333433.2801,88812069.4581,5794.2112,5055.1101,-2497.4380,-428.0951,-731.1522,-1533.5845,5499.5338,-324.9802,-1449.1138,3401.7815,6629.5437,-4948.0261,-20.4021,892.4395,3907.1555,-958.0244,-5026.0997,-4194.5060,-4563.3880,5924.6034,-1430.5166,6696.5266,5445.7176,-6725.8426,445.3269,-3998.8497,1281.3323,4211.0012,-2909.1590,5264.9848,-5758.2414,2953.0366,2372.3811,6269.9045,-4178.9457,-654.7104,-674.6967,-2635.3572,-6713.5330,-4896.9002,4983.5171,-5272.9849,-1022.8347,4190.0275,5451.7543,5281.1982,967.4527,1455.4668,-6355.8496,-4194.5655,1532.8533,-5012.0323,-2937.4058,-1850.7108,-397.0747,4603.9027,-3897.5907,5310.2412,1078.5124,-6377.6747,873.3138,4000.5820,5271.1329,1808.4984,2211.5846,2083.1873,-1481.1840,-4598.3743,-1675.9399,731.3913,-3905.2399,-1404.2514,-4887.8214,-5037.2733,-6215.3795,-1215.9111,1005.4083,4.0599,4030.9289,-5479.8414,5445.1933,-3764.3094,-2675.9948,4477.3898,6495.1933,3604.5896,-4083.3152,-822.0879,-4249.8526,-6872.3219,3563.1228,3243.3505,5869.2582,1275.6635,0.0000,5912.5395,2235.1337,-2554.9076,-4663.6976,-1905.2010,20162.4852,5156.6590,20895.7986,20852.5784,15483.7411,16722.7528,11529.4469,14580.7348,-58562150.1075,-58549037.0236,-58532775.8474,-58534080.9302,15065.6812,-58543146.8228,2518.9339,4608.6661,3715.3881,-4833.3365,-2460.9330,3767.9543,3305.8478,3813.7039,-4524.1604,-4554.4980,-1318.7657,4631.3141,4178.5433,-1717.2219,2683.7990,4450.0734,-1886.1449,5023.3783,-5039.2080,-617.8114,-3921.1088,224.3468,4048.4450,1453.3992,-6512.2839,3984.0856,5076.9629,-5278.4294,-1857.8505,1015.1350,2821.5480,3594.3917,-3240.5569,2856.8847,-5494.0282,6814.8407,-4449.7042,-5319.8700,-947.9884,279.9434,2578.7772,3761.2651,5059.7064,3887.5030,-3599.6094,-3047.1225,-2117.4401,3296.0757,2334.0642,-5418.6215,-5413.2784,-4619.2292,-4795.4398,4720.7167,4522.7099,4641.9065,2346.5689,715.8193,-2856.3766,2555.0191,2586.1668,5429.9601,3742.1612,3802.3925,5344.5706,1389.2733,-4638.0603,-3700.8130,-4657.3302,4530.1979,-3546.0073,998.1895,4101.8553,4611.3016,1673.6680,2028.7612,-4684.6925,-1753.4548,-5458.1621,3419.2239,-4216.0486,5388.3285,-289.8350,-4795.6158,1235.6112,-4183.7540,5523.5970,-5513.6771,-5465.1033,-885.4277,-5303.0098,1601.1018,3392.8071,4408.7778,0.0000,3266.7260,-922.5233,4113.0902,1356.5962,4448.3447,158058.2879,153354.0847,155228.2668,159044.8297,160486.6203,150401.9455,147309.7332,156759.9265,33858514.2248,33880641.1553,33861679.5507,33863080.0405,155153.1398,33857482.4381,
600.000,3560.0496,962.7759,-5293.6871,-5674.3941,5271.3046,-4489.9753,3930.2129,-4685.6837,-4333.3064,5507.9199,31.8526,-568.3123,-5719.2961,6827.3955,-3265.1697,5485.0781,2709.3026,-4101.4024,-1021.2319,-2202.5748,-4382.6294,369.9023,3268.9204,-632.5110,3061.7265,-4259.9679,4060.8515,685.8957,5443.7359,-2892.6316,659.0824,-4866.8837,-4089.1715,1061.8626,-1816.2220,891.0453,-4870.9502,-5231.7005,48.8420,3416.1624,-2407.4442,-4205.4454,-5407.2784,5097.9304,3643.9332,-1532.6526,6893.8388,-4488.8796,-2375.8679,-1402.9694,4844.8875,-2069.7097,3590.5175,-5353.3189,5219.5745,4153.2510,3997.9359,-2923.5561,6814.7167,-839.4936,6845.1507,2889.1025,3567.0559,6374.8121,4151.5161,-5265.6466,3250.7553,1561.8215,3224.0521,4804.1721,-4508.8879,-6344.9371,-4237.9549,-1019.5152,1415.9037,5492.7332,-4553.9688,6742.9851,3360.5166,2224.3323,2720.8110,-3571.5064,5639.3961,-777.8349,-102.1532,-5248.8471,-2947.4345,-4544.8481,-1858.6691,-1720.2592,-455.1650,-4574.6867,2918.6803,-4043.4053,0.0000,-1210.8879,-5880.0132,-6180.5256,3543.4660,-5059.8419,342142.4038,323104.1689,331244.8475,332990.8201,326133.0936,328208.3715,334572.0421,334036.5506,90066875.1868,90075607.2860,90083344.5016,90075454.1375,333068.1189,90074215.8788,4371.1781,4254.7885,-474.8548,1276.1257,-1938.1928,-381.6791,5134.7270,1246.1944,509.8927,2576.5578,6910.5852,-5563.9982,1925.8130,-327.8230,4343.5980,-2689.3425,-5217.9065,-3854.3638,-5408.9170,6105.1565,-271.1003,6563.6833,5286.4386,-6145.3306,-1597.4257,-2095.3662,-820.1716,4102.4304,-4096.8317,5558.6951,-5653.7728,4463.4527,3253.5711,5609.0750,-4420.9426,1627.8318,1421.9934,-2505.5164,-6382.1186,-5412.1185,5075.9546,-4813.3009,710.4104,3663.2207,3939.7652,5121.5357,-247.6919,2578.9650,-5335.3790,-3958.6716,-362.8759,-3741.9240,-4708.9857,186.7683,-2444.5333,3695.6680,-3833.9786,5889.5075,-165.4314,-5794.6792,-374.2121,3476.0225,5671.9527,177.5209,73.0231,3047.4452,-2817.1922,-4589.0272,-2936.7828,-1431.1324,-2061.9154,-82.6292,-4716.3204,-4989.3449,-6767.2723,-2634.2385,3062.5243,-1240.6827,3573.8598,-6431.2684,5449.7750,-2163.3508,-3673.5680,5788.5805,6107.4985,3893.0632,-3667.0833,1256.9673,-4538.0828,-6298.3754,4127.7938,4278.5753,4600.5728,3068.6974,0.0000,6744.9983,3611.9362,-1473.6714,-5087.1329,232.3600,27521.2154,12063.9724,27908.8882,27771.4673,22449.0284,23665.5327,18575.5632,21482.0216,-56605638.8151,-56592865.4528,-56575987.6942,-56577488.9141,22045.9943,-56586588.8685,3978.3848,5348.3146,4460.3382,-3711.1065,-3931.4912,5279.6868,2041.2762,4903.6047,-5285.3188,-3290.6391,218.0835,4085.9653,3261.0703,87.9709,4100.8906,3156.6147,-3470.8938,4003.4834,-4057.6583,-2366.6196,-5390.0746,1747.3981,3047.9335,3100.4244,-6026.4444,5010.9734,5500.7338,-5519.7169,-58.1773,2724.5928,3890.2399,2038.0781,-4518.4826,3917.4571,-4988.6719,6652.4035,-4727.9479,-3822.2875,-2662.8440,2073.7226,4024.9450,2638.9693,4101.5013,2407.7411,-4396.5214,-4379.0326,-346.3115,4550.8434,3531.1430,-5468.1649,-4838.1284,-5325.3760,-3641.2577,4398.8288,3842.3531,4120.7252,4179.4125,2184.7588,-1171.5527,3700.4376,866.3153,5068.0325,1825.4923,2695.1669,5499.3226,3054.2131,-5342.8247,-4819.4966,-5379.4912,4616.0202,-4719.9181,2704.5155,2685.1858,4689.5634,-125.0715,3297.0013,-4234.0481,47.1981,-4868.4836,1452.6099,-3302.3176,5490.9485,1517.4489,-3648.6195,2921.5034,-2201.9151,5078.6154,-5056.5392,-4891.2126,-2336.0603,-5486.1511,2949.8844,4270.7170,4723.1480,0.0000,1280.2447,622.6185,2699.0562,3018.1686,4720.0995,158029.4356,153283.4096,155265.8392,158821.0050,160521.8647,150564.2837,147122.5402,156447.8903,33859237.0171,33881729.4795,33863186.0875,33864490.5592,155089.1072,33858466.0800,
