sl_100_86400_20270714 Coordinates.csv
2027/07/14 07:47:00.0000 UTC

Generated: Tue Oct  8 16:25:16 2024,
Start: 2027/07/14 07:47:00.00, Stop: 2027/07/15 07:47:00.00,
TIME_UNITS,STARLINK-5433 - X-Coordinate,STARLINK-6331 - X-Coordinate,STARLINK-4355 - X-Coordinate,STARLINK-31387 - X-Coordinate,STARLINK-3505 - X-Coordinate,STARLINK-30759 - X-Coordinate,STARLINK-5630 - X-Coordinate,STARLINK-32204 - X-Coordinate,STARLINK-5211 - X-Coordinate,STARLINK-2057 - X-Coordinate,STARLINK-2517 - X-Coordinate,STARLINK-31220 - X-Coordinate,STARLINK-32027 - X-Coordinate,STARLINK-5672 - X-Coordinate,STARLINK-4389 - X-Coordinate,STARLINK-1262 - X-Coordinate,STARLINK-31368 - X-Coordinate,STARLINK-31800 - X-Coordinate,STARLINK-30462 - X-Coordinate,STARLINK-3985 - X-Coordinate,STARLINK-1791 - X-Coordinate,STARLINK-1199 - X-Coordinate,STARLINK-1215 - X-Coordinate,STARLINK-30207 - X-Coordinate,STARLINK-11158 [DTC] - X-Coordinate,STARLINK-31956 - X-Coordinate,STARLINK-1401 - X-Coordinate,STARLINK-5826 - X-Coordinate,STARLINK-11075 [DTC] - X-Coordinate,STARLINK-30351 - X-Coordinate,STARLINK-30273 - X-Coordinate,STARLINK-31124 - X-Coordinate,STARLINK-3678 - X-Coordinate,STARLINK-1089 - X-Coordinate,STARLINK-4520 - X-Coordinate,STARLINK-1672 - X-Coordinate,STARLINK-31310 - X-Coordinate,STARLINK-2374 - X-Coordinate,STARLINK-3833 - X-Coordinate,STARLINK-11210 [DTC] - X-Coordinate,STARLINK-31165 - X-Coordinate,STARLINK-3253 - X-Coordinate,STARLINK-5732 - X-Coordinate,STARLINK-1061 - X-Coordinate,STARLINK-1591 - X-Coordinate,STARLINK-1663 - X-Coordinate,STARLINK-1059 - X-Coordinate,STARLINK-6121 - X-Coordinate,STARLINK-2346 - X-Coordinate,STARLINK-3369 - X-Coordinate,STARLINK-3141 - X-Coordinate,STARLINK-30920 - X-Coordinate,STARLINK-1780 - X-Coordinate,STARLINK-31655 - X-Coordinate,STARLINK-4120 - X-Coordinate,STARLINK-3973 - X-Coordinate,STARLINK-3254 - X-Coordinate,STARLINK-4467 - X-Coordinate,STARLINK-3053 - X-Coordinate,STARLINK-4140 - X-Coordinate,STARLINK-3983 - X-Coordinate,STARLINK-30341 - X-Coordinate,STARLINK-5682 - X-Coordinate,STARLINK-30367 - X-Coordinate,STARLINK-31403 - X-Coordinate,STARLINK-4650 - X-Coordinate,STARLINK-2188 - X-Coordinate,STARLINK-31318 - X-Coordinate,STARLINK-1484 - X-Coordinate,STARLINK-30513 - X-Coordinate,STARLINK-2411 - X-Coordinate,STARLINK-30432 - X-Coordinate,STARLINK-3574 - X-Coordinate,STARLINK-6064 - X-Coordinate,STARLINK-5301 - X-Coordinate,STARLINK-11261 [DTC] - X-Coordinate,STARLINK-4454 - X-Coordinate,STARLINK-11150 [DTC] - X-Coordinate,STARLINK-5939 - X-Coordinate,STARLINK-1323 - X-Coordinate,STARLINK-6045 - X-Coordinate,STARLINK-31364 - X-Coordinate,STARLINK-6288 - X-Coordinate,STARLINK-31201 - X-Coordinate,STARLINK-5555 - X-Coordinate,STARLINK-1738 - X-Coordinate,STARLINK-31190 - X-Coordinate,STARLINK-4177 - X-Coordinate,STARLINK-1032 - X-Coordinate,STARLINK-6143 - X-Coordinate,STARLINK-2639 - X-Coordinate,STARLINK-5209 - X-Coordinate,STARLINK-32122 - X-Coordinate,STARLINK-31775 - X-Coordinate,STARLINK-3257 - X-Coordinate,STARLINK-31222 - X-Coordinate,STARLINK-2391 - X-Coordinate,STARLINK-1212 - X-Coordinate,STARLINK-5473 - X-Coordinate,STARLINK-5716 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5433 - Y-Coordinate,STARLINK-6331 - Y-Coordinate,STARLINK-4355 - Y-Coordinate,STARLINK-31387 - Y-Coordinate,STARLINK-3505 - Y-Coordinate,STARLINK-30759 - Y-Coordinate,STARLINK-5630 - Y-Coordinate,STARLINK-32204 - Y-Coordinate,STARLINK-5211 - Y-Coordinate,STARLINK-2057 - Y-Coordinate,STARLINK-2517 - Y-Coordinate,STARLINK-31220 - Y-Coordinate,STARLINK-32027 - Y-Coordinate,STARLINK-5672 - Y-Coordinate,STARLINK-4389 - Y-Coordinate,STARLINK-1262 - Y-Coordinate,STARLINK-31368 - Y-Coordinate,STARLINK-31800 - Y-Coordinate,STARLINK-30462 - Y-Coordinate,STARLINK-3985 - Y-Coordinate,STARLINK-1791 - Y-Coordinate,STARLINK-1199 - Y-Coordinate,STARLINK-1215 - Y-Coordinate,STARLINK-30207 - Y-Coordinate,STARLINK-11158 [DTC] - Y-Coordinate,STARLINK-31956 - Y-Coordinate,STARLINK-1401 - Y-Coordinate,STARLINK-5826 - Y-Coordinate,STARLINK-11075 [DTC] - Y-Coordinate,STARLINK-30351 - Y-Coordinate,STARLINK-30273 - Y-Coordinate,STARLINK-31124 - Y-Coordinate,STARLINK-3678 - Y-Coordinate,STARLINK-1089 - Y-Coordinate,STARLINK-4520 - Y-Coordinate,STARLINK-1672 - Y-Coordinate,STARLINK-31310 - Y-Coordinate,STARLINK-2374 - Y-Coordinate,STARLINK-3833 - Y-Coordinate,STARLINK-11210 [DTC] - Y-Coordinate,STARLINK-31165 - Y-Coordinate,STARLINK-3253 - Y-Coordinate,STARLINK-5732 - Y-Coordinate,STARLINK-1061 - Y-Coordinate,STARLINK-1591 - Y-Coordinate,STARLINK-1663 - Y-Coordinate,STARLINK-1059 - Y-Coordinate,STARLINK-6121 - Y-Coordinate,STARLINK-2346 - Y-Coordinate,STARLINK-3369 - Y-Coordinate,STARLINK-3141 - Y-Coordinate,STARLINK-30920 - Y-Coordinate,STARLINK-1780 - Y-Coordinate,STARLINK-31655 - Y-Coordinate,STARLINK-4120 - Y-Coordinate,STARLINK-3973 - Y-Coordinate,STARLINK-3254 - Y-Coordinate,STARLINK-4467 - Y-Coordinate,STARLINK-3053 - Y-Coordinate,STARLINK-4140 - Y-Coordinate,STARLINK-3983 - Y-Coordinate,STARLINK-30341 - Y-Coordinate,STARLINK-5682 - Y-Coordinate,STARLINK-30367 - Y-Coordinate,STARLINK-31403 - Y-Coordinate,STARLINK-4650 - Y-Coordinate,STARLINK-2188 - Y-Coordinate,STARLINK-31318 - Y-Coordinate,STARLINK-1484 - Y-Coordinate,STARLINK-30513 - Y-Coordinate,STARLINK-2411 - Y-Coordinate,STARLINK-30432 - Y-Coordinate,STARLINK-3574 - Y-Coordinate,STARLINK-6064 - Y-Coordinate,STARLINK-5301 - Y-Coordinate,STARLINK-11261 [DTC] - Y-Coordinate,STARLINK-4454 - Y-Coordinate,STARLINK-11150 [DTC] - Y-Coordinate,STARLINK-5939 - Y-Coordinate,STARLINK-1323 - Y-Coordinate,STARLINK-6045 - Y-Coordinate,STARLINK-31364 - Y-Coordinate,STARLINK-6288 - Y-Coordinate,STARLINK-31201 - Y-Coordinate,STARLINK-5555 - Y-Coordinate,STARLINK-1738 - Y-Coordinate,STARLINK-31190 - Y-Coordinate,STARLINK-4177 - Y-Coordinate,STARLINK-1032 - Y-Coordinate,STARLINK-6143 - Y-Coordinate,STARLINK-2639 - Y-Coordinate,STARLINK-5209 - Y-Coordinate,STARLINK-32122 - Y-Coordinate,STARLINK-31775 - Y-Coordinate,STARLINK-3257 - Y-Coordinate,STARLINK-31222 - Y-Coordinate,STARLINK-2391 - Y-Coordinate,STARLINK-1212 - Y-Coordinate,STARLINK-5473 - Y-Coordinate,STARLINK-5716 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5433 - Z-Coordinate,STARLINK-6331 - Z-Coordinate,STARLINK-4355 - Z-Coordinate,STARLINK-31387 - Z-Coordinate,STARLINK-3505 - Z-Coordinate,STARLINK-30759 - Z-Coordinate,STARLINK-5630 - Z-Coordinate,STARLINK-32204 - Z-Coordinate,STARLINK-5211 - Z-Coordinate,STARLINK-2057 - Z-Coordinate,STARLINK-2517 - Z-Coordinate,STARLINK-31220 - Z-Coordinate,STARLINK-32027 - Z-Coordinate,STARLINK-5672 - Z-Coordinate,STARLINK-4389 - Z-Coordinate,STARLINK-1262 - Z-Coordinate,STARLINK-31368 - Z-Coordinate,STARLINK-31800 - Z-Coordinate,STARLINK-30462 - Z-Coordinate,STARLINK-3985 - Z-Coordinate,STARLINK-1791 - Z-Coordinate,STARLINK-1199 - Z-Coordinate,STARLINK-1215 - Z-Coordinate,STARLINK-30207 - Z-Coordinate,STARLINK-11158 [DTC] - Z-Coordinate,STARLINK-31956 - Z-Coordinate,STARLINK-1401 - Z-Coordinate,STARLINK-5826 - Z-Coordinate,STARLINK-11075 [DTC] - Z-Coordinate,STARLINK-30351 - Z-Coordinate,STARLINK-30273 - Z-Coordinate,STARLINK-31124 - Z-Coordinate,STARLINK-3678 - Z-Coordinate,STARLINK-1089 - Z-Coordinate,STARLINK-4520 - Z-Coordinate,STARLINK-1672 - Z-Coordinate,STARLINK-31310 - Z-Coordinate,STARLINK-2374 - Z-Coordinate,STARLINK-3833 - Z-Coordinate,STARLINK-11210 [DTC] - Z-Coordinate,STARLINK-31165 - Z-Coordinate,STARLINK-3253 - Z-Coordinate,STARLINK-5732 - Z-Coordinate,STARLINK-1061 - Z-Coordinate,STARLINK-1591 - Z-Coordinate,STARLINK-1663 - Z-Coordinate,STARLINK-1059 - Z-Coordinate,STARLINK-6121 - Z-Coordinate,STARLINK-2346 - Z-Coordinate,STARLINK-3369 - Z-Coordinate,STARLINK-3141 - Z-Coordinate,STARLINK-30920 - Z-Coordinate,STARLINK-1780 - Z-Coordinate,STARLINK-31655 - Z-Coordinate,STARLINK-4120 - Z-Coordinate,STARLINK-3973 - Z-Coordinate,STARLINK-3254 - Z-Coordinate,STARLINK-4467 - Z-Coordinate,STARLINK-3053 - Z-Coordinate,STARLINK-4140 - Z-Coordinate,STARLINK-3983 - Z-Coordinate,STARLINK-30341 - Z-Coordinate,STARLINK-5682 - Z-Coordinate,STARLINK-30367 - Z-Coordinate,STARLINK-31403 - Z-Coordinate,STARLINK-4650 - Z-Coordinate,STARLINK-2188 - Z-Coordinate,STARLINK-31318 - Z-Coordinate,STARLINK-1484 - Z-Coordinate,STARLINK-30513 - Z-Coordinate,STARLINK-2411 - Z-Coordinate,STARLINK-30432 - Z-Coordinate,STARLINK-3574 - Z-Coordinate,STARLINK-6064 - Z-Coordinate,STARLINK-5301 - Z-Coordinate,STARLINK-11261 [DTC] - Z-Coordinate,STARLINK-4454 - Z-Coordinate,STARLINK-11150 [DTC] - Z-Coordinate,STARLINK-5939 - Z-Coordinate,STARLINK-1323 - Z-Coordinate,STARLINK-6045 - Z-Coordinate,STARLINK-31364 - Z-Coordinate,STARLINK-6288 - Z-Coordinate,STARLINK-31201 - Z-Coordinate,STARLINK-5555 - Z-Coordinate,STARLINK-1738 - Z-Coordinate,STARLINK-31190 - Z-Coordinate,STARLINK-4177 - Z-Coordinate,STARLINK-1032 - Z-Coordinate,STARLINK-6143 - Z-Coordinate,STARLINK-2639 - Z-Coordinate,STARLINK-5209 - Z-Coordinate,STARLINK-32122 - Z-Coordinate,STARLINK-31775 - Z-Coordinate,STARLINK-3257 - Z-Coordinate,STARLINK-31222 - Z-Coordinate,STARLINK-2391 - Z-Coordinate,STARLINK-1212 - Z-Coordinate,STARLINK-5473 - Z-Coordinate,STARLINK-5716 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-691.0370,-2924.1306,-2138.5304,5188.5867,2814.2331,3163.4501,5188.4679,-496.8527,-6090.4664,4469.2914,4455.5134,1272.3166,-2317.3859,4826.7736,-245.9147,-2294.1641,4107.3086,-1883.6057,4081.3416,2276.4519,-485.8357,-2013.6594,4575.5884,-6605.0208,2829.5343,4052.8332,0.0000,5926.0131,-1070.8280,5519.0365,6629.7022,-5854.3776,5794.0260,0.0000,3323.3488,-6743.6272,1208.9882,-4365.4659,5637.1993,-1913.7784,3326.7985,-4747.3315,-5413.3823,4290.3745,3914.1880,776.2869,0.0000,-5253.9245,4114.1987,4005.4456,-4130.9736,6322.8937,-2075.2037,4875.2122,6088.8561,144.8011,1819.5080,-4051.5494,483.6706,-1265.7901,-2872.0671,5303.1607,3339.5280,5663.0558,-5604.9536,1716.7589,4171.7893,2849.5902,2883.6786,-1338.0864,-4754.6323,4690.8363,857.2401,2641.2916,1168.3238,-1278.1899,923.4331,2297.4568,6781.8000,2228.4762,-706.1735,-5745.9898,6663.6153,-1976.5692,-3863.2460,-3687.8508,4107.4072,-1688.1144,-1072.8613,-1388.9178,-4838.1042,-5641.6262,4855.1908,-5334.0153,1791.4871,-1180.8397,-288.0390,3870.8991,-2178.3967,-2102.9709,332789.7092,359306.3448,345543.2711,345129.1407,352948.8119,351125.4522,352801.3775,349897.3505,162966435.8494,162947452.1021,162933019.1570,162941103.7343,350313.4539,162946352.2277,6841.4977,-4154.0245,-2254.9952,3635.8686,3281.2595,-5792.7088,-3936.6421,-4409.0941,-1464.7910,-622.3506,5042.6979,-6719.2142,6399.5036,3160.6798,6919.4693,6146.3873,-793.9266,6445.0534,4480.6801,5600.5255,-5343.4838,5942.9177,-3536.1500,2081.5202,5345.8713,-4650.2742,0.0000,1290.6377,-5490.2980,-830.4440,677.8943,2621.8872,867.2038,0.0000,-2469.2380,1107.5003,4887.2795,-1487.8974,703.0013,6443.3441,5974.1569,-1541.5797,2113.9549,2619.2207,1979.8260,-6854.6131,0.0000,1649.4646,-129.6025,3870.9965,702.2522,2217.7454,3859.7154,3566.7658,3092.8767,4640.1017,5909.2577,3314.3199,5744.9935,-6043.9305,3277.4071,-3845.0600,-4408.0499,-2487.9527,3742.4875,6172.6430,-71.4940,-3967.3393,-5904.0103,6111.4596,-3061.5535,1986.3252,-6562.9673,36.1171,-3327.9670,-4732.4114,-2957.9821,-6246.9020,682.0991,-4180.1486,6349.1428,1665.1023,754.0224,-6552.4746,-4143.5119,5749.8656,633.2501,-5169.3203,-6784.0595,-5500.1363,959.0885,-1407.0731,-1552.4699,3580.5958,5000.1691,-3947.9473,5359.1563,-4699.1018,-4723.6026,-4817.6802,-78120.9586,-67498.6480,-78294.0287,-77176.9733,-80854.3961,-79507.9990,-71494.3309,-73743.4403,187544332.6663,187544564.5429,187547371.8524,187545581.6972,-74435.6736,187541238.7090,630.0360,-4722.2648,6192.0848,2485.5547,-5391.5633,-2065.3549,2390.5162,-5155.0258,2844.4417,-5255.0468,-1390.3495,569.3400,316.6033,3811.8902,-507.6829,2170.4659,5395.2847,-1186.5725,3343.1195,-3320.1060,-4153.1698,2886.0220,-3778.4630,-147.8307,-2989.9117,-2869.1392,0.0000,3393.0105,-3723.2678,-4108.6378,1532.9362,-2111.2307,-3670.3068,0.0000,-5441.6797,249.0713,4663.4172,-5037.0494,3919.0249,295.6461,623.4813,4789.8287,-3785.6788,4720.0659,5362.6018,-625.0922,0.0000,4209.1777,5422.1846,-4072.8216,-5496.4112,1337.6089,-5348.6041,3223.7206,-1049.9842,-5116.3478,-3084.1848,-4534.5303,3857.9131,-3089.9965,-5365.8297,-2187.2177,4156.9800,-3139.8341,1033.0690,-1699.9716,-5326.9700,4758.0844,-953.7563,2665.9700,-3936.0876,4688.5390,1936.2169,6419.2100,6005.3984,4598.4805,6200.9295,368.7181,-1235.6455,-4973.1669,-2737.4572,3262.6593,-1764.9134,155.1640,-3973.6927,-973.4749,5395.5361,-4246.7590,853.3002,-3992.4722,-4832.7410,3712.0814,4511.1453,2331.1613,-4447.4810,-5468.2898,4083.4523,-3276.8120,-4613.2132,-4524.8250,-169462.9240,-170542.6015,-171845.2806,-168461.7987,-166777.7862,-176782.4199,-180019.5469,-173777.1888,2582273.8438,2602153.3526,2577963.4882,2575846.6650,-172141.1355,2580162.8868,
3600.000,-1017.5993,5816.5755,-2260.4950,-6509.4428,-6122.7440,-1005.6797,-2080.6780,4735.2944,6687.7903,-2232.4555,-4436.4851,1336.0361,-324.6144,-5050.3196,1954.1722,-689.4849,-3894.2812,-887.8727,-5028.4862,-4168.7190,3882.7476,518.8868,-4016.2571,4709.7146,-4780.0076,-1819.6768,0.0000,-6670.2133,3664.1479,-3141.1085,-6004.5554,4057.7581,-3372.4964,0.0000,35.9049,4493.6635,-5085.7703,3568.0827,-6804.6040,-758.6766,-4841.2868,6779.1499,2253.7585,-4038.2943,-6325.3986,1151.9998,0.0000,4860.9571,-3294.4698,-6199.6002,2709.5902,-4655.6595,-564.7633,-6336.9246,-5058.9284,-3265.6799,-3584.0537,6595.0195,-1725.4296,3230.0056,-1186.0504,-3719.7041,-1210.0772,-2399.9790,2194.5788,-3604.9084,-2748.3123,-1163.6994,106.5445,-2619.5592,3982.6523,-5566.9073,1643.8428,-1113.8721,2973.8278,4577.2965,-157.6980,683.7638,-6284.6623,-84.6797,-682.4345,2229.1255,-4968.0759,3967.8603,5177.2116,947.7583,-3796.3757,4154.6496,2435.2955,4386.3873,5541.5915,6882.0723,-852.9046,4117.5707,-4343.9765,5318.7965,-3688.6065,-2825.9301,3319.4104,5409.2274,342576.6201,366646.9499,352292.6299,353219.0104,360603.0747,358871.2725,359871.0788,358060.9034,108817294.7278,108802382.5669,108783212.3494,108787277.2345,357681.9401,108797342.9501,-5812.8851,1471.2046,-1086.6860,-1251.6546,-1605.7142,6630.1171,2791.8723,1830.9757,-172.7481,4362.9101,-1834.7119,5949.6234,-5131.7024,938.5483,-4139.3167,-4515.7433,4885.7446,-6156.2053,-650.7071,-5392.7366,1749.8852,-6734.6287,5604.3657,-3853.0582,-4313.5507,6450.1486,0.0000,-1316.3896,5495.6833,4190.0767,1151.1247,-4950.8982,2399.9698,0.0000,5600.4611,-2732.0945,-3173.0816,-3289.6912,1171.7551,-5125.9353,-3759.3128,-512.5367,-4596.7305,1820.0376,628.2328,5230.1947,0.0000,-4744.6699,4673.8486,-3021.7556,-4746.5317,728.0924,-6358.9064,-2253.6153,-466.0079,-5767.2569,-5766.3238,-2007.7509,-1888.1697,2712.6373,-4961.9753,5595.8560,6698.9007,4468.6668,-4908.2645,-1896.7690,4826.7466,6661.9404,5225.7139,-4240.3566,-1170.6818,1922.2505,4316.4872,4258.4030,1425.8895,4925.4421,-2500.3034,4970.1619,1580.1576,6699.5791,-3225.1368,-4493.1841,2057.7490,4190.0376,208.2012,-5004.0934,4044.2293,5498.6415,5541.4236,2760.3376,-3897.8293,-265.6748,4327.9106,-4933.2673,-5348.5814,2833.6514,-2156.9764,6227.0039,6100.4978,3755.1905,6909.4488,25054.3066,12929.3081,13895.8852,9004.9857,10939.5722,17615.3899,15285.9829,223404707.9660,223406074.7739,223400555.0149,223398921.7721,15512.4195,223400433.0516,3579.9983,3461.4821,-6471.3688,1549.5340,2756.2916,-1687.2711,-6008.7328,4509.7506,1610.1463,4882.0437,4904.2279,3138.9937,-4478.3201,-4642.6171,5206.8386,-5192.3392,-2778.1173,-2797.0267,-4723.3677,-1039.9267,5268.2254,1448.2940,-390.9575,-3313.5848,-2010.1757,-1155.0309,0.0000,1467.6240,-1220.4482,4524.0011,3054.6884,-2151.5138,5525.4651,0.0000,3907.5119,-4376.7170,-3360.8735,4791.5454,167.3375,4284.4739,3087.2416,-1318.9788,4664.5873,-5296.5143,-2776.4932,4383.6808,0.0000,-1420.1681,-3711.3014,-16.2359,4216.8252,-4957.0880,2641.9610,1289.2543,4674.3112,1929.2429,-1273.4214,-591.0696,-6458.9538,5455.5062,4650.5076,-1590.8651,-1273.8999,4717.4595,-4199.0227,5215.6098,3849.8146,-925.8447,-4098.0747,-4636.6984,5485.8553,-3659.1871,-5127.4445,-5388.7227,-6150.8165,-258.8268,-6475.4966,4380.8748,-2447.6204,1489.2513,6105.3018,-4622.4092,4367.0423,-3689.2274,4571.8303,4644.4090,-3970.5227,246.5981,3348.5472,4595.6066,1312.0711,467.4245,-5199.2226,2322.8832,673.3732,3234.0393,-5228.3640,-1013.1727,-30.8323,2154.3682,-170320.2200,-171208.4604,-171295.6392,-171300.0868,-166442.2893,-174198.9389,-181714.0801,-171000.7279,2535965.2214,2560436.4159,2541261.5727,2538264.5707,-172714.0713,2536981.2142,
7200.000,3336.1973,-6868.1593,3394.3385,4710.2745,6714.7859,-1929.1919,-2598.9206,-6777.7194,-4154.7409,413.3976,3728.0428,-4163.8197,3945.7375,4485.8424,-501.8642,4371.7799,2441.1205,3929.8579,5226.1764,4369.8155,-6226.6957,1661.4943,1550.3234,-954.5631,4215.3308,-1630.2617,0.0000,4222.7005,-4135.4473,571.8038,2409.6403,380.4156,773.5797,0.0000,-2280.3498,-62.7662,6802.0528,-2421.0390,4862.5398,4243.8068,5009.2005,-5928.4758,1008.3679,3552.0339,6391.6195,-3791.9166,0.0000,-2927.9757,1844.8183,5506.4084,-1368.1445,1602.5196,2188.9824,4742.9939,2830.9710,4438.8940,4058.3941,-4386.8955,4114.3270,-5250.4802,3909.7116,359.9565,-1084.4410,-1260.7759,2481.4162,4528.5889,960.5812,-877.7050,-4225.7439,5977.3182,-3021.8861,5123.7001,-4664.2679,833.4457,-6301.1201,-4789.4157,-2979.3271,-4500.3792,3467.8470,-1612.8215,3568.3494,1660.2360,2091.1302,-5100.3747,-5576.8780,3081.8977,2656.9775,-4611.4809,-3763.9471,-6495.3023,-3995.1872,-4965.5217,-2558.5693,-277.6658,4831.9770,-6587.7767,6398.7703,265.8993,-2764.4961,-6513.8092,331088.0236,350224.1315,336677.0637,340115.6817,345519.2506,342520.5028,344679.6978,342050.2813,47213982.1051,47202069.5454,47184225.7370,47187563.3306,342336.8172,47194668.1212,2461.9884,936.6314,5323.5834,-2187.9768,65.7291,-5002.5111,-2229.9331,372.2867,2246.6297,-6742.9378,-2743.2170,-2813.1867,1893.3085,-4595.3220,-948.0893,2073.9084,-6098.8511,3065.1733,-3234.5116,2510.2993,1600.2028,4598.3793,-5179.6347,4971.0691,132.9667,-5038.1853,0.0000,173.4534,-1594.3982,-6553.0898,-3365.5472,4953.3874,-5648.9414,0.0000,-6425.4726,4302.6102,935.7270,6303.5257,-2587.0835,1167.2516,-417.9891,1972.5834,6295.7351,-5384.9855,-2234.2718,-1913.0895,0.0000,5877.3782,-6507.7139,785.2320,6766.3244,-4446.1343,6326.3457,-606.8475,-3331.8475,4674.4129,2856.2145,-518.0936,-1999.7242,1135.4540,5608.5979,-5360.7570,-6399.9098,-5881.0186,4778.6668,-3518.4352,-6643.5708,-5722.5500,-1318.7802,1251.4446,5158.3934,-4649.2448,-984.2308,-6793.2634,-819.3075,-1895.5625,5557.4057,-859.4422,-3829.4454,-5955.5051,-459.2101,6131.0042,-4992.4702,129.1717,3373.9003,3121.8130,-6263.2247,-3331.7881,-1882.3988,103.9039,4738.2358,1983.2791,-6016.8103,4308.7743,3515.4209,-1300.5412,-984.8823,-5107.9323,-4390.6122,-1825.4835,92076.3574,116664.2875,103402.6748,105197.0255,98007.0821,102652.4120,105624.9354,104397.5171,244010714.2034,244015285.6064,244000319.6844,243998031.8183,104416.0334,244005448.5133,-5526.9581,-114.4357,2865.0186,-4408.4521,1612.6186,4355.0807,6023.3166,-352.3064,-5010.3848,-1520.2930,-5080.6803,-4679.9349,5213.0268,2568.7731,-6861.4304,4928.6558,-1897.7270,4641.9276,3182.7900,4696.3087,-2164.7136,-4886.7376,4286.7514,4717.2185,5252.9793,4257.1847,0.0000,-5530.2793,5036.3072,-2179.8659,-5450.0546,4561.6592,-3910.7499,0.0000,467.0559,5306.0445,-270.7322,-1006.6112,-4171.6016,-5094.8770,-4683.9491,-2987.4952,-2730.7705,2446.2742,-1505.9072,-5475.0582,0.0000,-2244.0632,-837.1561,4070.5528,-279.0615,4927.4906,1711.4210,-4911.8371,-5353.6469,2468.7793,4795.4187,5323.0396,5208.4439,-4340.0911,-1007.7563,4325.6422,-2416.3127,-3457.1331,4173.1525,-3329.6471,810.9569,-3622.5039,4937.0479,2990.6248,-3424.0327,378.6628,4976.8448,1202.1423,2861.4184,-4333.2513,2889.5816,-4847.9245,4601.9302,3001.6733,-5951.3955,2466.7987,-4338.6865,4555.2264,-2321.4942,-5328.0150,-472.5432,3890.6007,-5499.3554,-2432.5503,3029.7385,-4370.3103,1910.6388,-5305.7254,3490.4405,1306.5543,1900.0248,4640.0324,4609.9425,1506.8075,-171191.3600,-171902.7294,-171111.8145,-174592.4984,-166559.7856,-171237.6956,-182723.3519,-175066.4893,2489701.9973,2517825.5735,2503829.3451,2500327.5418,-173272.6875,2493779.1419,
