sl_100_5400_20270404 Coordinates.csv
2027/04/04 07:47:00.0000 UTC

Generated: Tue Oct  8 15:36:49 2024,
Start: 2027/04/04 07:47:00.00, Stop: 2027/04/04 09:17:00.00,
TIME_UNITS,STARLINK-5532 - X-Coordinate,STARLINK-2109 - X-Coordinate,STARLINK-31652 - X-Coordinate,STARLINK-31093 - X-Coordinate,STARLINK-30332 - X-Coordinate,STARLINK-30210 - X-Coordinate,STARLINK-5925 - X-Coordinate,STARLINK-2617 - X-Coordinate,STARLINK-5186 - X-Coordinate,STARLINK-2536 - X-Coordinate,STARLINK-31857 - X-Coordinate,STARLINK-1028 - X-Coordinate,STARLINK-4150 - X-Coordinate,STARLINK-3967 - X-Coordinate,STARLINK-31483 - X-Coordinate,STARLINK-4126 - X-Coordinate,STARLINK-5366 - X-Coordinate,STARLINK-5238 - X-Coordinate,STARLINK-11226 [DTC] - X-Coordinate,STARLINK-2613 - X-Coordinate,STARLINK-3315 - X-Coordinate,STARLINK-3107 - X-Coordinate,STARLINK-3300 - X-Coordinate,STARLINK-2755 - X-Coordinate,STARLINK-3245 - X-Coordinate,STARLINK-6336 - X-Coordinate,STARLINK-2602 - X-Coordinate,STARLINK-31252 - X-Coordinate,STARLINK-30262 - X-Coordinate,STARLINK-4162 - X-Coordinate,STARLINK-4151 - X-Coordinate,STARLINK-6282 - X-Coordinate,STARLINK-30785 - X-Coordinate,STARLINK-31137 - X-Coordinate,STARLINK-3940 - X-Coordinate,STARLINK-1277 - X-Coordinate,STARLINK-32275 - X-Coordinate,STARLINK-4479 - X-Coordinate,STARLINK-4165 - X-Coordinate,STARLINK-30158 - X-Coordinate,STARLINK-31456 - X-Coordinate,STARLINK-3555 - X-Coordinate,STARLINK-31123 - X-Coordinate,STARLINK-2530 - X-Coordinate,STARLINK-5161 - X-Coordinate,STARLINK-3945 - X-Coordinate,STARLINK-2171 - X-Coordinate,STARLINK-2699 - X-Coordinate,STARLINK-11250 [DTC] - X-Coordinate,STARLINK-2356 - X-Coordinate,STARLINK-6335 - X-Coordinate,STARLINK-32041 - X-Coordinate,STARLINK-1864 - X-Coordinate,STARLINK-11092 [DTC] - X-Coordinate,STARLINK-3415 - X-Coordinate,STARLINK-3328 - X-Coordinate,STARLINK-4562 - X-Coordinate,STARLINK-6140 - X-Coordinate,STARLINK-3208 - X-Coordinate,STARLINK-3117 - X-Coordinate,STARLINK-30871 - X-Coordinate,STARLINK-2642 - X-Coordinate,STARLINK-31952 - X-Coordinate,STARLINK-1236 - X-Coordinate,STARLINK-5136 - X-Coordinate,STARLINK-4756 - X-Coordinate,STARLINK-3841 - X-Coordinate,STARLINK-31989 - X-Coordinate,STARLINK-30992 - X-Coordinate,STARLINK-6104 - X-Coordinate,STARLINK-4104 - X-Coordinate,STARLINK-5072 - X-Coordinate,STARLINK-31642 - X-Coordinate,STARLINK-3146 - X-Coordinate,STARLINK-30560 - X-Coordinate,STARLINK-3109 - X-Coordinate,STARLINK-3112 - X-Coordinate,STARLINK-2561 - X-Coordinate,STARLINK-3218 - X-Coordinate,STARLINK-5656 - X-Coordinate,STARLINK-5885 - X-Coordinate,STARLINK-31636 - X-Coordinate,STARLINK-30933 - X-Coordinate,STARLINK-31333 - X-Coordinate,STARLINK-11272 [DTC] - X-Coordinate,STARLINK-31676 - X-Coordinate,STARLINK-31159 - X-Coordinate,STARLINK-3584 - X-Coordinate,STARLINK-4371 - X-Coordinate,STARLINK-30826 - X-Coordinate,STARLINK-30795 - X-Coordinate,STARLINK-11158 [DTC] - X-Coordinate,STARLINK-1488 - X-Coordinate,STARLINK-5697 - X-Coordinate,STARLINK-5033 - X-Coordinate,STARLINK-30971 - X-Coordinate,STARLINK-2714 - X-Coordinate,STARLINK-30196 - X-Coordinate,STARLINK-30111 - X-Coordinate,STARLINK-5275 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5532 - Y-Coordinate,STARLINK-2109 - Y-Coordinate,STARLINK-31652 - Y-Coordinate,STARLINK-31093 - Y-Coordinate,STARLINK-30332 - Y-Coordinate,STARLINK-30210 - Y-Coordinate,STARLINK-5925 - Y-Coordinate,STARLINK-2617 - Y-Coordinate,STARLINK-5186 - Y-Coordinate,STARLINK-2536 - Y-Coordinate,STARLINK-31857 - Y-Coordinate,STARLINK-1028 - Y-Coordinate,STARLINK-4150 - Y-Coordinate,STARLINK-3967 - Y-Coordinate,STARLINK-31483 - Y-Coordinate,STARLINK-4126 - Y-Coordinate,STARLINK-5366 - Y-Coordinate,STARLINK-5238 - Y-Coordinate,STARLINK-11226 [DTC] - Y-Coordinate,STARLINK-2613 - Y-Coordinate,STARLINK-3315 - Y-Coordinate,STARLINK-3107 - Y-Coordinate,STARLINK-3300 - Y-Coordinate,STARLINK-2755 - Y-Coordinate,STARLINK-3245 - Y-Coordinate,STARLINK-6336 - Y-Coordinate,STARLINK-2602 - Y-Coordinate,STARLINK-31252 - Y-Coordinate,STARLINK-30262 - Y-Coordinate,STARLINK-4162 - Y-Coordinate,STARLINK-4151 - Y-Coordinate,STARLINK-6282 - Y-Coordinate,STARLINK-30785 - Y-Coordinate,STARLINK-31137 - Y-Coordinate,STARLINK-3940 - Y-Coordinate,STARLINK-1277 - Y-Coordinate,STARLINK-32275 - Y-Coordinate,STARLINK-4479 - Y-Coordinate,STARLINK-4165 - Y-Coordinate,STARLINK-30158 - Y-Coordinate,STARLINK-31456 - Y-Coordinate,STARLINK-3555 - Y-Coordinate,STARLINK-31123 - Y-Coordinate,STARLINK-2530 - Y-Coordinate,STARLINK-5161 - Y-Coordinate,STARLINK-3945 - Y-Coordinate,STARLINK-2171 - Y-Coordinate,STARLINK-2699 - Y-Coordinate,STARLINK-11250 [DTC] - Y-Coordinate,STARLINK-2356 - Y-Coordinate,STARLINK-6335 - Y-Coordinate,STARLINK-32041 - Y-Coordinate,STARLINK-1864 - Y-Coordinate,STARLINK-11092 [DTC] - Y-Coordinate,STARLINK-3415 - Y-Coordinate,STARLINK-3328 - Y-Coordinate,STARLINK-4562 - Y-Coordinate,STARLINK-6140 - Y-Coordinate,STARLINK-3208 - Y-Coordinate,STARLINK-3117 - Y-Coordinate,STARLINK-30871 - Y-Coordinate,STARLINK-2642 - Y-Coordinate,STARLINK-31952 - Y-Coordinate,STARLINK-1236 - Y-Coordinate,STARLINK-5136 - Y-Coordinate,STARLINK-4756 - Y-Coordinate,STARLINK-3841 - Y-Coordinate,STARLINK-31989 - Y-Coordinate,STARLINK-30992 - Y-Coordinate,STARLINK-6104 - Y-Coordinate,STARLINK-4104 - Y-Coordinate,STARLINK-5072 - Y-Coordinate,STARLINK-31642 - Y-Coordinate,STARLINK-3146 - Y-Coordinate,STARLINK-30560 - Y-Coordinate,STARLINK-3109 - Y-Coordinate,STARLINK-3112 - Y-Coordinate,STARLINK-2561 - Y-Coordinate,STARLINK-3218 - Y-Coordinate,STARLINK-5656 - Y-Coordinate,STARLINK-5885 - Y-Coordinate,STARLINK-31636 - Y-Coordinate,STARLINK-30933 - Y-Coordinate,STARLINK-31333 - Y-Coordinate,STARLINK-11272 [DTC] - Y-Coordinate,STARLINK-31676 - Y-Coordinate,STARLINK-31159 - Y-Coordinate,STARLINK-3584 - Y-Coordinate,STARLINK-4371 - Y-Coordinate,STARLINK-30826 - Y-Coordinate,STARLINK-30795 - Y-Coordinate,STARLINK-11158 [DTC] - Y-Coordinate,STARLINK-1488 - Y-Coordinate,STARLINK-5697 - Y-Coordinate,STARLINK-5033 - Y-Coordinate,STARLINK-30971 - Y-Coordinate,STARLINK-2714 - Y-Coordinate,STARLINK-30196 - Y-Coordinate,STARLINK-30111 - Y-Coordinate,STARLINK-5275 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5532 - Z-Coordinate,STARLINK-2109 - Z-Coordinate,STARLINK-31652 - Z-Coordinate,STARLINK-31093 - Z-Coordinate,STARLINK-30332 - Z-Coordinate,STARLINK-30210 - Z-Coordinate,STARLINK-5925 - Z-Coordinate,STARLINK-2617 - Z-Coordinate,STARLINK-5186 - Z-Coordinate,STARLINK-2536 - Z-Coordinate,STARLINK-31857 - Z-Coordinate,STARLINK-1028 - Z-Coordinate,STARLINK-4150 - Z-Coordinate,STARLINK-3967 - Z-Coordinate,STARLINK-31483 - Z-Coordinate,STARLINK-4126 - Z-Coordinate,STARLINK-5366 - Z-Coordinate,STARLINK-5238 - Z-Coordinate,STARLINK-11226 [DTC] - Z-Coordinate,STARLINK-2613 - Z-Coordinate,STARLINK-3315 - Z-Coordinate,STARLINK-3107 - Z-Coordinate,STARLINK-3300 - Z-Coordinate,STARLINK-2755 - Z-Coordinate,STARLINK-3245 - Z-Coordinate,STARLINK-6336 - Z-Coordinate,STARLINK-2602 - Z-Coordinate,STARLINK-31252 - Z-Coordinate,STARLINK-30262 - Z-Coordinate,STARLINK-4162 - Z-Coordinate,STARLINK-4151 - Z-Coordinate,STARLINK-6282 - Z-Coordinate,STARLINK-30785 - Z-Coordinate,STARLINK-31137 - Z-Coordinate,STARLINK-3940 - Z-Coordinate,STARLINK-1277 - Z-Coordinate,STARLINK-32275 - Z-Coordinate,STARLINK-4479 - Z-Coordinate,STARLINK-4165 - Z-Coordinate,STARLINK-30158 - Z-Coordinate,STARLINK-31456 - Z-Coordinate,STARLINK-3555 - Z-Coordinate,STARLINK-31123 - Z-Coordinate,STARLINK-2530 - Z-Coordinate,STARLINK-5161 - Z-Coordinate,STARLINK-3945 - Z-Coordinate,STARLINK-2171 - Z-Coordinate,STARLINK-2699 - Z-Coordinate,STARLINK-11250 [DTC] - Z-Coordinate,STARLINK-2356 - Z-Coordinate,STARLINK-6335 - Z-Coordinate,STARLINK-32041 - Z-Coordinate,STARLINK-1864 - Z-Coordinate,STARLINK-11092 [DTC] - Z-Coordinate,STARLINK-3415 - Z-Coordinate,STARLINK-3328 - Z-Coordinate,STARLINK-4562 - Z-Coordinate,STARLINK-6140 - Z-Coordinate,STARLINK-3208 - Z-Coordinate,STARLINK-3117 - Z-Coordinate,STARLINK-30871 - Z-Coordinate,STARLINK-2642 - Z-Coordinate,STARLINK-31952 - Z-Coordinate,STARLINK-1236 - Z-Coordinate,STARLINK-5136 - Z-Coordinate,STARLINK-4756 - Z-Coordinate,STARLINK-3841 - Z-Coordinate,STARLINK-31989 - Z-Coordinate,STARLINK-30992 - Z-Coordinate,STARLINK-6104 - Z-Coordinate,STARLINK-4104 - Z-Coordinate,STARLINK-5072 - Z-Coordinate,STARLINK-31642 - Z-Coordinate,STARLINK-3146 - Z-Coordinate,STARLINK-30560 - Z-Coordinate,STARLINK-3109 - Z-Coordinate,STARLINK-3112 - Z-Coordinate,STARLINK-2561 - Z-Coordinate,STARLINK-3218 - Z-Coordinate,STARLINK-5656 - Z-Coordinate,STARLINK-5885 - Z-Coordinate,STARLINK-31636 - Z-Coordinate,STARLINK-30933 - Z-Coordinate,STARLINK-31333 - Z-Coordinate,STARLINK-11272 [DTC] - Z-Coordinate,STARLINK-31676 - Z-Coordinate,STARLINK-31159 - Z-Coordinate,STARLINK-3584 - Z-Coordinate,STARLINK-4371 - Z-Coordinate,STARLINK-30826 - Z-Coordinate,STARLINK-30795 - Z-Coordinate,STARLINK-11158 [DTC] - Z-Coordinate,STARLINK-1488 - Z-Coordinate,STARLINK-5697 - Z-Coordinate,STARLINK-5033 - Z-Coordinate,STARLINK-30971 - Z-Coordinate,STARLINK-2714 - Z-Coordinate,STARLINK-30196 - Z-Coordinate,STARLINK-30111 - Z-Coordinate,STARLINK-5275 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,1028.9143,-4699.4083,-614.4808,2250.6635,4103.6690,1088.5804,1062.8972,-3998.9326,845.0223,-3706.3112,4685.7531,4558.5253,2233.6111,6855.8215,5850.2836,2205.6244,-1413.6119,3982.5091,0.0000,3873.3064,-3743.1708,2295.9803,3007.9996,1492.7828,-2154.2444,2705.6385,-6764.6068,0.0000,3260.0953,3080.5738,3654.8402,3377.5497,-4687.0006,3955.2320,-6714.3182,-4376.6273,2300.6978,6861.1677,-1893.5559,-4898.5198,-2877.9090,-3797.0739,-3503.2911,2374.5774,-4145.9668,2943.9963,3236.0772,-187.7199,6444.1057,3799.6944,3471.7090,4250.6884,2800.7947,-4327.0807,-6839.8085,4060.2277,-2296.0687,-6464.4534,2652.7155,836.3081,-3687.8628,-1852.3261,1055.4726,4018.8033,2182.0437,-314.5750,4144.8106,-4804.1159,3616.4656,-564.0861,-2000.6658,-2364.7762,447.6906,-471.9660,4379.9372,-3597.1851,5745.6748,3945.6447,4900.1350,-5854.7751,-1095.3389,-1404.3828,3139.3214,-1136.5595,364.3732,5315.5826,1610.0769,3308.5119,1764.4185,4768.7551,-5994.0980,3579.1372,0.0000,2750.8354,-3753.2956,5092.2917,-6607.0433,-4807.5056,4670.8509,-5890.6868,-318998.4147,-328230.3521,-329589.0211,-327891.9543,-332681.9683,-331076.2607,-323409.1801,-327255.6709,118240969.3495,118230924.5900,118224537.4568,118231898.5380,-325982.5446,118235115.8590,2172.6563,912.0424,-4159.3817,-4611.9230,-4128.4749,6625.2527,3490.9474,-4022.8423,-6757.3264,-3843.2867,4081.2203,-474.2291,5207.5179,-349.7136,-1356.5121,6518.8049,-5405.5983,1400.7524,0.0000,1886.9239,3703.9735,744.4585,4837.0183,-5546.7239,3632.1644,664.9563,439.6712,0.0000,-4638.8165,-4863.7166,3898.0889,4574.9318,-2707.1817,3785.8481,1416.6556,2092.5790,6254.3686,305.0815,-6350.7766,-4339.4258,-5905.8596,-2462.7369,-4380.2251,3796.0614,-1297.1316,-6133.7709,6111.0501,-4920.1399,1767.6639,4548.7354,4376.2676,-1512.5904,-4606.4440,1733.5247,901.5699,-1687.9332,2281.2170,-2367.4487,3200.6416,6293.6473,4341.3759,6577.7548,-4854.4475,-1164.9594,6094.9533,4353.4236,-335.5332,693.2779,3988.1084,-5528.7740,6596.0201,-1356.9806,-5316.1332,4587.9348,523.5394,5940.2071,3449.3018,-5026.3932,-1470.4359,3397.9763,395.0298,-6530.4921,-5375.7555,4843.7424,-4953.0785,-3928.6429,-5642.2689,-3862.6274,-1886.3997,2719.5854,3475.4135,2838.7619,0.0000,-6058.1402,1075.3551,316.3280,-1569.5677,-4816.5279,-1985.2659,1641.7544,232414.1932,199679.2896,224544.8493,225104.1821,217912.0232,219705.9207,216618.8044,219386.9032,-32186116.3633,-32207235.9696,-32227832.4565,-32197340.3677,219572.7353,-32205572.2605,6520.3809,-4985.0048,5388.5891,-4663.0955,3726.7789,1686.1818,5907.8285,3964.8313,1161.7345,4378.1929,-2774.9059,-5137.4784,-3961.5057,-816.4116,-3252.2510,-638.0290,-4099.0594,5465.7360,0.0000,5394.8652,4462.3043,6512.8914,-3925.2209,-3871.6301,5469.5749,6358.1799,653.2071,0.0000,3775.2891,-3817.8294,-4400.3660,-3958.9272,4297.0194,4113.6667,573.0989,4922.8434,-1449.8691,381.6725,1957.3251,-2288.7980,-1929.4217,-5213.8563,4065.3430,-5283.8451,-5382.0569,1226.4685,219.1205,4826.2790,447.5598,3467.6245,-4058.4425,-5059.8926,-3915.5131,4860.2320,358.3012,-5336.1501,-6135.5648,630.4723,-5522.8637,2720.3926,3943.4561,933.2662,4628.3649,5473.9213,-2486.2115,5331.9255,-5527.9075,-4826.1250,-4380.7693,4130.7363,-478.6745,-6393.3750,4253.6761,5143.0391,5161.1544,138.1948,-1701.5934,2646.0803,-4653.5686,1356.3501,6834.6366,1431.7861,-2886.8536,4681.1727,-4561.3054,-1616.7047,-3688.2406,4679.4040,-6449.5820,-4208.1051,-54.6169,4950.8834,0.0000,1934.4948,5738.5945,4650.0144,1151.7887,-1255.2790,-4728.6939,3286.4727,-30630.3721,-34747.7303,-34272.6596,-30304.3045,-29038.4904,-39214.3415,-42035.5571,-33072.9638,38495001.8670,38464471.3749,38484654.5107,38501010.3744,-34294.7308,38492860.5389,
300.000,2820.4922,-3347.5654,-2620.9575,214.2743,2187.4659,2612.7849,1943.6342,-5490.3279,-361.8134,-5311.6276,5956.8950,4869.1150,3193.6827,6243.8717,4586.7078,3283.7456,-3068.7044,4181.4902,0.0000,4195.5996,-3060.4248,2538.7537,3701.5836,214.4658,-66.3882,2010.7491,-6158.4136,0.0000,1931.5619,2151.3112,5266.4782,4395.7994,-5888.3402,4725.5013,-6275.5651,-4146.0423,3225.8825,6465.9230,-2875.2537,-6063.5835,-3664.5359,-4123.1110,-5076.2193,4273.9484,-4081.6252,1554.4124,4163.0120,-1947.5218,6532.2095,5226.2917,4465.7873,4091.7408,1785.3936,-4185.4811,-6247.3427,3650.2753,-4030.7181,-6533.7266,4089.7527,2183.7194,-2479.3195,-659.3806,-1103.8939,3012.7591,3441.8900,1774.9767,3648.4721,-5159.7009,5238.1932,-2406.9090,-714.5735,-4074.2206,-1088.8380,1359.6679,5065.3843,-2860.6517,5735.4358,3125.9235,5035.1097,-4542.4595,-2879.0733,-2902.4964,1826.9393,401.8583,-1471.7821,3830.5236,-26.5719,2440.8888,3632.1548,5967.7041,-4946.0470,5188.1219,0.0000,1370.1266,-4648.5731,4780.8716,-6847.6941,-5837.5420,3655.4953,-6341.9627,-323892.7825,-332437.1201,-334075.1524,-332419.5308,-337281.3417,-335677.2301,-328039.6618,-331429.3655,118920604.6219,118910734.2971,118904915.4056,118911122.5417,-330561.9941,118914850.4997,900.1854,2543.1775,-3276.7203,-4366.0973,-4804.6889,6410.0997,1546.2229,-3391.0063,-6869.5661,-3188.9062,2982.6276,-2428.7739,3550.6581,-1531.1367,-2869.3368,5964.2685,-4134.8794,-769.5167,0.0000,-267.1918,5319.3959,-1442.5413,3061.5034,-6498.0158,4254.6679,-1430.0183,1626.2264,0.0000,-5963.9835,-6142.0641,3273.2107,2779.2555,-1129.8304,1817.5578,2551.2925,3974.7530,5145.9801,-917.9799,-5196.7283,-3254.3039,-4602.1768,-332.0162,-3913.9441,3116.7789,873.8957,-6074.0775,5297.4300,-3778.7553,523.8577,4038.1727,2541.2130,-3496.9525,-5932.2688,3666.7016,2034.6494,-3685.0458,2953.6349,-791.9059,1575.2851,6476.4601,5787.9643,6810.5631,-5055.6837,-3098.3096,4788.5489,3747.8096,-2446.0778,2543.0431,2824.4707,-4532.7979,6498.6642,-186.1727,-6088.1219,5310.3046,-1384.9135,5921.5774,1982.7119,-6100.9723,-3269.4456,4412.1413,-902.7070,-6184.8161,-6435.5566,5860.3375,-3949.9758,-4779.6222,-6448.3155,-5457.1715,-2572.9658,1175.8988,4591.1522,1702.2303,0.0000,-6779.5654,2626.4805,-1821.8955,-374.2783,-3703.0209,-3864.1439,2513.4166,225727.0048,192690.4523,217649.7376,218098.2617,210931.3788,212702.0024,209711.7832,212351.4860,-29593092.6844,-29613955.5607,-29634969.7213,-29604647.1546,212612.7247,-29612548.2334,6287.9096,-5485.5741,5395.3470,-5382.5812,4459.4564,170.5533,6483.8504,2506.7049,-653.9862,3053.7375,-1385.7355,-4217.2004,-4999.5924,-2545.2370,-4168.8818,1177.4661,-4637.9786,5442.7130,0.0000,5476.7708,3163.6529,6302.8906,-4978.0812,-2387.2484,5444.8138,6488.5851,2403.7661,0.0000,2668.2804,-2314.1685,-3075.0653,-4579.0931,3439.1557,4610.0106,-1244.1776,3847.8877,-3105.8758,2153.0652,3528.1824,-832.1740,-3506.0053,-5527.6954,2632.2736,-4469.8177,-5514.7756,2908.1316,-1579.3665,5427.0335,-1389.2716,1887.7398,-4612.8378,-4120.7453,-2450.1197,3796.3121,2128.2467,-4571.5203,-4811.6465,2109.4090,-5345.2328,1012.6581,2893.1824,-881.9167,4396.3312,5366.6938,-3650.1744,5502.9181,-5343.4380,-3708.4337,-3571.4673,4647.2575,-2239.2004,-5627.8185,2887.3290,4206.7960,4305.8376,2228.7479,-3315.3912,934.2850,-3431.9956,2745.4348,6242.5432,-108.8605,-1522.1998,3491.7147,-5263.7052,-2966.4553,-2537.7642,3471.4848,-5334.7305,-3292.8522,-1576.9571,3947.8940,0.0000,439.5669,4438.0899,4634.4402,-662.8751,283.4932,-4452.3312,1299.7375,-30481.1382,-34627.9368,-34034.0987,-30323.0220,-28800.0358,-38856.0090,-42025.7161,-32640.3605,38496017.9525,38465397.5339,38485130.0716,38502071.4547,-34157.7822,38493619.5652,
600.000,4371.9971,-1704.6354,-4382.4897,-1863.7366,57.2348,3881.0759,2707.6057,-6430.0566,-1539.8978,-6381.1669,6612.6072,4731.7320,3892.4483,5011.9415,2874.8448,4046.4803,-4461.6820,4025.5778,0.0000,4161.4367,-2107.5160,2606.7288,4084.5286,-1058.9827,2009.2876,1193.1291,-4910.0666,0.0000,431.5495,1033.3155,6349.4806,5031.3169,-6529.4765,5065.6718,-5200.4975,-3545.0547,3851.7514,5418.3624,-3610.2247,-6637.5775,-4115.0798,-4100.8104,-6137.0926,5753.7499,-3675.0166,-17.3281,4692.1137,-3554.7532,5906.6283,6112.5579,5066.0045,3546.9773,600.2381,-3635.3780,-5028.7437,2929.2934,-5359.7735,-5972.9377,5163.1674,3302.5403,-1058.0433,609.4815,-3140.3244,1759.9913,4403.9058,3706.4641,2850.1956,-5020.6794,6361.6053,-4045.9162,666.4980,-5405.5087,-2483.7922,3024.7250,5258.9004,-1807.7683,5180.3792,2005.3029,4702.4037,-2776.4313,-4302.0066,-4107.0181,346.4106,1864.0050,-3190.7544,1942.4248,-1638.5407,1369.7383,5139.9202,6597.7056,-3410.7637,6250.3140,0.0000,-139.3320,-5113.9648,4045.6633,-6399.5678,-6299.4851,2327.3598,-6154.3370,-328647.9137,-336494.9710,-338410.4260,-336794.8708,-341729.9783,-340123.3454,-332524.2524,-335383.6454,119543377.8818,119533669.1764,119528435.0932,119533505.7348,-334992.8213,119537722.8769,-393.6669,3967.9123,-2114.3433,-3747.9085,-5054.8362,5571.5954,-525.3301,-2450.3908,-6296.0251,-2250.4759,1590.8026,-4116.2684,1550.5652,-2588.8984,-4128.9261,4809.2456,-2491.7330,-2856.3848,0.0000,-2386.3471,6398.5333,-3470.9976,982.8198,-6812.3482,4513.1322,-3407.4283,2670.8936,0.0000,-6683.4104,-6804.9775,2357.8433,724.4875,528.2656,-326.4766,3442.3744,5449.5865,3497.7357,-2072.6160,-3522.4247,-1860.9322,-2818.5672,1827.6658,-3088.6983,2179.7348,2961.9799,-5427.7861,3949.1809,-2303.9156,-793.4756,3136.8487,468.2408,-5099.8256,-6597.3758,5190.8474,2988.5678,-5312.7725,3246.3540,879.3677,-163.5194,6017.3287,6676.1829,6362.1334,-4778.0972,-4746.7489,3022.8100,2825.8598,-4323.9721,4107.4151,1421.9721,-3130.3304,5762.1538,937.6374,-6246.5142,5540.0310,-3117.8365,5315.5532,291.4801,-6565.0462,-4722.8372,5018.5319,-2175.0965,-5211.1143,-6850.3559,6292.8561,-2570.1432,-5167.7535,-6639.1448,-6509.5877,-2914.7607,-453.5143,5274.6454,427.4548,0.0000,-6842.3230,3870.3746,-3787.2991,866.1362,-2225.8496,-5384.9921,3113.3441,218934.9525,185613.9951,210656.0817,210994.5933,203854.7141,205601.7077,202707.4917,205260.4974,-26985746.9916,-27006346.7393,-27027758.6918,-26997663.1412,205557.2187,-27005198.3631,5390.4334,-5395.4876,4801.6652,-5528.0385,4711.1740,-1363.4297,6372.3855,779.1333,-2398.9954,1398.9439,160.3084,-2836.7704,-5499.6034,-3999.5171,-4619.7774,2865.5716,-4680.9119,4832.4423,0.0000,4967.2248,1522.4137,5425.2800,-5496.0471,-646.6242,4833.5354,5930.6035,3882.7852,0.0000,1260.5348,-560.0758,-1419.1969,-4709.3904,2210.1934,4595.4829,-2925.6188,2358.1283,-4413.2717,3688.3017,4717.7092,713.6046,-4693.7723,-5244.5348,917.0752,-3176.7585,-5055.0173,4275.7616,-3207.8335,5439.0176,-3061.3460,100.1000,-4668.6193,-2710.8354,-690.0856,2290.2874,3667.7475,-3314.6240,-2974.9018,3360.4186,-4592.1847,-804.6563,1532.8956,-2601.2860,3664.6972,4676.3368,-4424.2757,5076.1193,-4584.9504,-2178.7851,-2381.5143,4665.4579,-3757.7619,-4266.4885,1197.3575,2816.5433,2961.3209,4081.8400,-4571.8834,-878.2156,-1840.6157,3836.8180,4985.5294,-1637.3466,10.5854,1912.4795,-5356.3202,-3980.8693,-1115.3369,1889.1395,-3654.3129,-2022.9347,-2930.2648,2485.6092,0.0000,-1102.5074,2665.5223,4117.5505,-2405.2416,1791.6993,-3701.0828,-825.5025,-30332.3489,-34508.0967,-33795.7527,-30346.7681,-28565.0815,-38491.4701,-42010.6839,-32328.1721,38497032.8829,38466328.2944,38485607.4335,38503114.3412,-34020.8130,38494378.5208,
